,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Missouri,60559,24088.0,,38450.1,14975.0,23987.0,30122.7,13756.2,31089.3,-36471.0,,-22108.9,-45584.0,-36572.0,-30436.3,-46802.8,-29469.7,,True,False,False,True,False,True
Montana,6084,2520.0,,6404.5,758.0,1036.0,2497.6,8030.9,18025.8,-3564.0,,320.5,-5326.0,-5048.0,-3586.4,1946.9,11941.8,,True,False,False,False,True,False
Nebraska,13926,8416.0,,6070.4,1652.0,6506.0,3008.8,942.3,7565.8,-5510.0,,-7855.6,-12274.0,-7420.0,-10917.2,-12983.7,-6360.2,,False,False,False,False,False,False
Nevada,46886,41888.0,,116854.1,38412.0,31776.0,34555.1,57926.3,70544.7,-4998.0,,69968.1,-8474.0,-15110.0,-12330.9,11040.3,23658.7,,False,False,False,False,False,False
New Hampshire,1374,1240.0,,375.7,307.0,595.0,843.5,522.2,663.6,-134.0,,-998.3,-1067.0,-779.0,-530.5,-851.8,-710.4,,False,False,False,False,False,False
New Jersey,20658,17280.0,,11406.9,1001.0,13805.0,22149.8,311.7,27027.3,-3378.0,,-9251.1,-19657.0,-6853.0,1491.8,-20346.3,6369.3,,False,False,False,True,False,False
New Mexico,12115,11552.0,,9721.2,4760.0,9199.0,15984.8,5674.9,22557.3,-563.0,,-2393.8,-7355.0,-2916.0,3869.8,-6440.1,10442.3,,False,False,False,False,False,False
New York,36702,37400.0,,34202.2,6961.0,17095.0,23586.8,450.7,65160.1,698.0,,-2499.8,-29741.0,-19607.0,-13115.2,-36251.3,28458.1,,False,False,False,False,False,False
North Carolina,96598,86864.0,,83719.0,142507.0,171208.0,65740.6,78623.2,90563.1,-9734.0,,-12879.0,45909.0,74610.0,-30857.4,-17974.8,-6034.9,,False,False,False,False,False,True
North Dakota,7705,2568.0,,1810.0,753.0,1573.0,847.3,563.3,7581.2,-5137.0,,-5895.0,-6952.0,-6132.0,-6857.7,-7141.7,-123.8,,False,False,False,False,False,True
Ohio,65137,53824.0,,71202.6,60743.0,32240.0,75177.2,25631.1,144592.5,-11313.0,,6065.6,-4394.0,-32897.0,10040.2,-39505.9,79455.5,,True,True,False,True,False,False
Oklahoma,41705,24016.0,,48913.4,17482.0,57027.0,23729.8,27636.6,41552.8,-17689.0,,7208.4,-24223.0,15322.0,-17975.2,-14068.4,-152.2,,True,False,True,False,True,True
Oregon,16363,14688.0,,20882.6,12382.0,19907.0,16248.4,20972.0,28539.2,-1675.0,,4519.6,-3981.0,3544.0,-114.6,4609.0,12176.2,,False,False,False,True,False,False
Pennsylvania,43654,35808.0,,35882.9,8881.0,38451.0,46363.8,7970.1,64238.1,-7846.0,,-7771.1,-34773.0,-5203.0,2709.8,-35683.9,20584.1,,True,False,True,True,False,False
Rhode Island,4692,2640.0,,1411.5,492.0,1790.0,1119.9,120.5,1064.5,-2052.0,,-3280.5,-4200.0,-2902.0,-3572.1,-4571.5,-3627.5,,False,False,False,False,False,False
South Carolina,73863,91576.0,,139417.3,48134.0,135840.0,59002.8,81910.7,104908.3,17713.0,,65554.3,-25729.0,61977.0,-14860.2,8047.7,31045.3,,False,False,False,True,True,False
South Dakota,5914,3216.0,,4056.5,1318.0,5374.0,2509.8,678.8,4801.3,-2698.0,,-1857.5,-4596.0,-540.0,-3404.2,-5235.2,-1112.7,,True,False,True,False,False,True
Tennessee,102140,79744.0,,87438.7,95982.0,72983.0,64374.9,54429.5,114584.8,-22396.0,,-14701.3,-6158.0,-29157.0,-37765.1,-47710.5,12444.8,,True,True,False,False,False,True
Texas,435491,370072.0,,649541.8,414956.0,1025736.0,243018.1,358534.2,347009.0,-65419.0,,214050.8,-20535.0,590245.0,-192472.9,-76956.8,-88482.0,,False,True,False,False,False,False
Utah,26864,31312.0,,40966.0,41700.0,57521.0,22867.8,29072.2,22103.8,4448.0,,14102.0,14836.0,30657.0,-3996.2,2208.2,-4760.2,,False,False,False,True,True,False
Vermont,367,304.0,,94.0,33.0,243.0,410.2,0.2,304.4,-63.0,,-273.0,-334.0,-124.0,43.2,-366.8,-62.6,,False,False,False,True,False,True
Virginia,53700,30896.0,,15789.5,9422.0,32822.0,31570.3,8671.5,11625.9,-22804.0,,-37910.5,-44278.0,-20878.0,-22129.7,-45028.5,-42074.1,,False,False,True,True,False,False
Washington,38983,30744.0,,40603.8,16834.0,45086.0,34512.8,14443.9,59574.7,-8239.0,,1620.8,-22149.0,6103.0,-4470.2,-24539.1,20591.7,,True,False,True,True,False,False
West Virginia,6765,3384.0,,4800.8,2709.0,3040.0,4504.2,2307.5,20104.9,-3381.0,,-1964.2,-4056.0,-3725.0,-2260.8,-4457.5,13339.9,,True,False,False,True,False,False
Wisconsin,43745,30152.0,,29690.4,11748.0,25964.0,37523.0,19017.2,58532.3,-13593.0,,-14054.6,-31997.0,-17781.0,-6222.0,-24727.8,14787.3,,False,False,False,True,False,False
Wyoming,2205,1712.0,,4593.1,1126.0,759.0,2517.3,1480.3,1690.3,-493.0,,2388.1,-1079.0,-1446.0,312.3,-724.7,-514.7,,False,False,False,True,False,False
US,3109320,2633416.0,4254372.0,4398037.1,2447634.0,3634535.0,2875146.2,1914077.5,4383441.7,-475904.0,1145052.0,1288717.1,-661686.0,525215.0,-234173.8,-1195242.5,1274121.7,False,False,False,False,True,False,False
