,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Illinois,51312,42528.0,43174.0,,52178.7,615.0,32406.6,28856.9,40315.0,64434.1,68054.7,31911.6,44177.1,,45736.1,52783.0,27931.0,57742.4,41375.0,-8784.0,-8138.0,,866.7,-50697.0,-18905.4,-22455.1,-10997.0,13122.1,16742.7,-19400.4,-7134.9,,-5575.9,1471.0,-23381.0,6430.4,-9937.0,True,,True,False,False,False,False,False,False,False,True,,True,True,False,True,False
Indiana,25312,22408.0,22308.0,,28412.7,8398.0,18558.6,37180.6,22184.0,31218.9,45634.1,16951.5,22006.2,,17381.8,26018.9,18334.8,22119.9,20365.0,-2904.0,-3004.0,,3100.7,-16914.0,-6753.4,11868.6,-3128.0,5906.9,20322.1,-8360.5,-3305.8,,-7930.2,706.9,-6977.2,-3192.1,-4947.0,False,,False,False,False,False,False,False,False,False,False,,False,True,False,False,False
Iowa,18319,13628.0,12821.0,,15155.0,3312.0,12142.2,22688.5,11559.0,17196.4,19266.1,10575.1,12869.5,,10545.2,12426.0,14814.9,13341.9,11125.0,-4691.0,-5498.0,,-3164.0,-15007.0,-6176.8,4369.5,-6760.0,-1122.6,947.1,-7743.9,-5449.5,,-7773.8,-5893.0,-3504.1,-4977.1,-7194.0,False,,True,False,False,True,False,True,True,False,False,,False,False,True,False,False
Kansas,14003,10332.0,8929.0,,15636.3,3612.0,11992.2,8852.2,15667.0,19543.2,28384.6,6050.0,8701.4,,8234.7,8735.9,,5938.6,7296.0,-3671.0,-5074.0,,1633.3,-10391.0,-2010.8,-5150.8,1664.0,5540.2,14381.6,-7953.0,-5301.6,,-5768.3,-5267.1,,-8064.4,-6707.0,False,,True,False,True,False,True,False,False,False,False,,False,False,,False,False
Kentucky,16854,15836.0,15647.0,,24039.7,13267.0,27998.9,13159.1,17838.0,27724.8,42939.1,12129.5,15458.6,,15191.5,13576.6,18077.0,14591.6,16464.0,-1018.0,-1207.0,,7185.7,-3587.0,11144.9,-3694.9,984.0,10870.8,26085.1,-4724.5,-1395.4,,-1662.5,-3277.4,1223.0,-2262.4,-390.0,False,,False,False,False,False,True,False,False,False,False,,False,False,False,False,True
Louisiana,29963,50184.0,47661.0,,60184.0,39998.0,68990.6,92987.1,52035.0,43077.3,44727.6,57285.5,41683.6,,54223.8,40515.2,,29763.8,23839.0,20221.0,17698.0,,30221.0,10035.0,39027.6,63024.1,22072.0,13114.3,14764.6,27322.5,11720.6,,24260.8,10552.2,,-199.2,-6124.0,True,,False,True,False,False,False,True,True,False,True,,False,True,,True,True
Maine,555,588.0,535.0,,447.8,193.0,537.4,775.7,416.0,1238.1,364.9,449.0,635.4,,533.6,619.8,676.4,767.5,834.0,33.0,-20.0,,-107.2,-362.0,-17.6,220.7,-139.0,683.1,-190.1,-106.0,80.4,,-21.4,64.8,121.4,212.5,279.0,True,,False,False,True,False,False,False,False,False,False,,True,False,False,False,False
Maryland,17929,25244.0,20997.0,,33450.8,9464.0,17968.0,19724.6,18636.0,20216.8,46206.5,19211.0,25871.7,,17978.2,41695.4,,29813.5,25948.0,7315.0,3068.0,,15521.8,-8465.0,39.0,1795.6,707.0,2287.8,28277.5,1282.0,7942.7,,49.2,23766.4,,11884.5,8019.0,True,,False,False,True,True,True,True,False,True,False,,True,False,,False,False
Massachusetts,8423,11088.0,11586.0,,12090.2,136.0,8575.7,32746.3,9329.0,21057.6,11196.3,8261.8,15653.3,,7242.6,17304.8,,21391.6,14049.0,2665.0,3163.0,,3667.2,-8287.0,152.7,24323.3,906.0,12634.6,2773.3,-161.2,7230.3,,-1180.4,8881.8,,12968.6,5626.0,False,,False,False,True,False,True,False,False,True,False,,True,False,,False,False
Michigan,19804,22840.0,20161.0,,24365.2,4799.0,21274.6,13759.1,25472.0,57141.0,48229.4,13035.6,18317.1,,14542.6,30556.9,,20160.2,23543.0,3036.0,357.0,,4561.2,-15005.0,1470.6,-6044.9,5668.0,37337.0,28425.4,-6768.4,-1486.9,,-5261.4,10752.9,,356.2,3739.0,True,,False,False,True,False,False,False,False,False,True,,False,False,,True,False
Minnesota,19069,19588.0,19753.0,,26086.6,6310.0,15049.4,13154.3,24219.0,23031.5,32856.5,15709.6,19760.1,,16151.7,22191.4,20121.3,21696.5,20794.0,519.0,684.0,,7017.6,-12759.0,-4019.6,-5914.7,5150.0,3962.5,13787.5,-3359.4,691.1,,-2917.3,3122.4,1052.3,2627.5,1725.0,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Mississippi,22148,35600.0,33053.0,,43722.9,35113.0,26075.8,66970.5,33212.0,27705.3,64483.1,19049.6,28410.5,,35441.2,31594.1,49988.0,21058.4,20567.0,13452.0,10905.0,,21574.9,12965.0,3927.8,44822.5,11064.0,5557.3,42335.1,-3098.4,6262.5,,13293.2,9446.1,27840.0,-1089.6,-1581.0,True,,False,True,True,False,True,True,False,True,True,,True,True,False,True,True
Missouri,31536,42392.0,35786.0,,65133.3,40336.0,28329.6,35426.2,37200.0,42618.8,92937.6,18630.3,33599.8,,28283.0,49797.7,52493.1,31832.7,58854.0,10856.0,4250.0,,33597.3,8800.0,-3206.4,3890.2,5664.0,11082.8,61401.6,-12905.7,2063.8,,-3253.0,18261.7,20957.1,296.7,27318.0,True,,False,True,True,True,True,False,False,False,True,,True,False,False,True,False
Montana,3170,3288.0,3484.0,,5747.7,2197.0,4132.7,1419.7,4543.0,4889.6,1881.7,3659.1,3592.6,,3016.1,2665.5,,3786.5,3743.0,118.0,314.0,,2577.7,-973.0,962.7,-1750.3,1373.0,1719.6,-1288.3,489.1,422.6,,-153.9,-504.5,,616.5,573.0,False,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
Nebraska,7362,7984.0,7730.0,,10953.9,1122.0,6209.1,17704.7,6878.0,8166.2,14671.7,6143.7,9553.8,,6029.7,10262.8,6007.9,9664.4,6418.0,622.0,368.0,,3591.9,-6240.0,-1152.9,10342.7,-484.0,804.2,7309.7,-1218.3,2191.8,,-1332.3,2900.8,-1354.1,2302.4,-944.0,True,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Nevada,19387,29032.0,26819.0,,33983.9,26221.0,27833.6,63205.3,25918.0,20515.4,53036.0,24379.0,26159.1,,29862.0,25827.7,50797.3,26539.8,19522.0,9645.0,7432.0,,14596.9,6834.0,8446.6,43818.3,6531.0,1128.4,33649.0,4992.0,6772.1,,10475.0,6440.7,31410.3,7152.8,135.0,True,,False,True,True,False,True,True,False,True,True,,False,True,False,True,True
New Hampshire,632,796.0,789.0,,949.8,59.0,718.3,2242.3,657.0,1851.7,214.4,486.5,832.0,,565.7,833.7,638.8,1403.6,696.0,164.0,157.0,,317.8,-573.0,86.3,1610.3,25.0,1219.7,-417.6,-145.5,200.0,,-66.3,201.7,6.8,771.6,64.0,True,,False,False,True,False,True,False,False,True,False,,True,False,True,False,True
New Jersey,9291,12684.0,10043.0,,7595.6,133.0,8367.7,35055.0,11774.0,16122.0,5786.4,7248.2,15080.5,,7298.9,10661.9,,17509.8,18766.0,3393.0,752.0,,-1695.4,-9158.0,-923.3,25764.0,2483.0,6831.0,-3504.6,-2042.8,5789.5,,-1992.1,1370.9,,8218.8,9475.0,True,,True,False,True,False,True,False,False,True,False,,True,True,,False,False
New Mexico,4382,8032.0,7650.0,,9231.6,3978.0,7304.0,9185.3,7524.0,12159.5,12785.4,4620.9,6847.9,,8614.5,8166.9,8930.5,4046.2,7465.0,3650.0,3268.0,,4849.6,-404.0,2922.0,4803.3,3142.0,7777.5,8403.4,238.9,2465.9,,4232.5,3784.9,4548.5,-335.8,3083.0,True,,False,True,True,False,True,False,False,True,True,,False,False,False,True,True
New York,17635,18268.0,17972.0,,15216.4,455.0,16746.7,58937.1,11366.0,62918.1,21995.0,11808.8,19982.4,,16424.0,20111.7,,18335.7,16633.0,633.0,337.0,,-2418.6,-17180.0,-888.3,41302.1,-6269.0,45283.1,4360.0,-5826.2,2347.4,,-1211.0,2476.7,,700.7,-1002.0,True,,False,False,False,False,False,False,False,False,False,,False,False,,False,False
North Carolina,43297,50340.0,50245.0,,50908.2,79246.0,37967.8,67755.2,60514.0,65546.2,66957.8,30996.0,41545.7,,46959.8,42921.7,76486.3,32602.0,40976.0,7043.0,6948.0,,7611.2,35949.0,-5329.2,24458.2,17217.0,22249.2,23660.8,-12301.0,-1751.3,,3662.8,-375.3,33189.3,-10695.0,-2321.0,True,,False,False,True,False,False,False,False,False,True,,True,True,False,False,True
North Dakota,4882,3464.0,2916.0,,5803.9,713.0,3312.6,2549.2,2910.0,3639.9,3081.4,1964.9,2791.9,,2293.8,3965.1,,2359.6,2967.0,-1418.0,-1966.0,,921.9,-4169.0,-1569.4,-2332.8,-1972.0,-1242.1,-1800.6,-2917.1,-2090.1,,-2588.2,-916.9,,-2522.4,-1915.0,False,,True,False,False,False,False,True,False,False,False,,False,True,,False,False
Ohio,29233,35612.0,33751.0,,37878.3,20085.0,31975.9,74267.5,33168.0,68105.9,42840.7,22768.4,31449.8,,34736.8,32693.8,40125.6,29745.6,30392.0,6379.0,4518.0,,8645.3,-9148.0,2742.9,45034.5,3935.0,38872.9,13607.7,-6464.6,2216.8,,5503.8,3460.8,10892.6,512.6,1159.0,True,,False,False,True,False,True,False,False,False,True,,True,True,False,True,True
Oklahoma,19622,30600.0,23788.0,,30796.1,23256.0,22269.8,28001.6,30607.0,39966.5,47992.0,15795.6,23464.4,,21563.5,24527.5,,18006.6,31068.0,10978.0,4166.0,,11174.1,3634.0,2647.8,8379.6,10985.0,20344.5,28370.0,-3826.4,3842.4,,1941.5,4905.5,,-1615.4,11446.0,True,,False,True,True,True,False,False,False,True,True,,True,True,,True,False
Oregon,7476,9300.0,8927.0,,9832.6,11182.0,7941.4,9957.6,7345.0,19999.6,11810.1,6970.0,9198.6,,8301.8,8854.3,,8894.4,9287.0,1824.0,1451.0,,2356.6,3706.0,465.4,2481.6,-131.0,12523.6,4334.1,-506.0,1722.6,,825.8,1378.3,,1418.4,1811.0,True,,False,False,True,False,True,False,False,True,True,,True,True,,True,True
Pennsylvania,20108,25412.0,24199.0,,29522.4,1154.0,21216.4,33997.4,19327.0,58404.6,43553.9,13694.8,24199.2,,16921.4,27179.7,11374.8,20448.3,22750.0,5304.0,4091.0,,9414.4,-18954.0,1108.4,13889.4,-781.0,38296.6,23445.9,-6413.2,4091.2,,-3186.6,7071.7,-8733.2,340.3,2642.0,True,,False,False,True,False,True,False,False,False,True,,True,False,False,True,True
Rhode Island,2661,3192.0,1908.0,,3490.0,38.0,1656.0,1692.3,2776.0,690.2,1277.7,1017.2,1834.5,,4118.1,2779.1,1062.9,2180.3,1733.0,531.0,-753.0,,829.0,-2623.0,-1005.0,-968.7,115.0,-1970.8,-1383.3,-1643.8,-826.5,,1457.1,118.1,-1598.1,-480.7,-928.0,False,,False,False,False,False,True,False,False,False,False,,False,True,False,True,False
South Carolina,26650,42364.0,37931.0,,37807.7,46931.0,38741.7,64037.3,39582.0,42614.6,49172.6,27967.6,38078.2,,35403.8,32774.1,59001.9,28345.9,29355.0,15714.0,11281.0,,11157.7,20281.0,12091.7,37387.3,12932.0,15964.6,22522.6,1317.6,11428.2,,8753.8,6124.1,32351.9,1695.9,2705.0,True,,True,False,True,False,True,False,False,True,True,,True,True,False,True,True
South Dakota,4075,2248.0,2148.0,,2269.3,683.0,1849.7,2421.3,1929.0,1776.4,2291.0,1838.3,2537.2,,1640.7,4270.2,1590.2,3389.7,2134.0,-1827.0,-1927.0,,-1805.7,-3392.0,-2225.3,-1653.7,-2146.0,-2298.6,-1784.0,-2236.7,-1537.8,,-2434.3,195.2,-2484.8,-685.3,-1941.0,False,,True,False,False,True,False,False,True,False,True,,False,True,False,True,False
Tennessee,44096,69552.0,54447.0,,76300.6,67993.0,50427.8,43546.5,54889.0,56187.6,140144.1,36851.9,48847.5,,53612.0,73699.7,103704.0,50701.9,52957.0,25456.0,10351.0,,32204.6,23897.0,6331.8,-549.5,10793.0,12091.6,96048.1,-7244.1,4751.5,,9516.0,29603.7,59608.0,6605.9,8861.0,True,,False,True,True,True,True,True,False,True,True,,True,False,False,True,True
Texas,182013,217808.0,209022.0,,245331.9,306782.0,189086.9,753840.9,248502.0,213624.3,229574.2,73192.3,166165.7,,154147.8,177848.2,,115406.3,130189.0,35795.0,27009.0,,63318.9,124769.0,7073.9,571827.9,66489.0,31611.3,47561.2,-108820.7,-15847.3,,-27865.2,-4164.8,,-66606.7,-51824.0,True,,False,False,True,False,False,True,False,False,True,,True,True,,False,False
Utah,10704,12316.0,12012.0,,15662.2,15987.0,12491.8,11277.1,10945.0,15950.8,17432.5,8821.8,11459.0,,,12741.9,22585.2,8110.7,8889.0,1612.0,1308.0,,4958.2,5283.0,1787.8,573.1,241.0,5246.8,6728.5,-1882.2,755.0,,,2037.9,11881.2,-2593.3,-1815.0,True,,False,False,False,True,True,False,False,False,True,,,False,False,False,False
Vermont,184,100.0,112.0,,86.9,17.0,191.8,4.1,118.0,609.0,328.4,61.2,140.5,,137.2,228.9,,92.3,79.0,-84.0,-72.0,,-97.1,-167.0,7.8,-179.9,-66.0,425.0,144.4,-122.8,-43.5,,-46.8,44.9,,-91.7,-105.0,True,,False,False,True,False,True,False,False,False,True,,True,True,,False,False
Virginia,28008,28768.0,25076.0,,40059.8,10576.0,22241.4,6472.4,24786.0,38441.3,59294.0,19400.1,24902.6,,33577.1,36071.8,24860.8,21958.3,0.0,760.0,-2932.0,,12051.8,-17432.0,-5766.6,-21535.6,-3222.0,10433.3,31286.0,-8607.9,-3105.4,,5569.1,8063.8,-3147.2,-6049.7,-28008.0,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Washington,16338,22768.0,21659.0,,27469.4,21683.0,18589.5,19532.5,18537.0,35269.8,47628.1,16760.8,19790.9,,20212.1,24076.0,,23393.2,20046.0,6430.0,5321.0,,11131.4,5345.0,2251.5,3194.5,2199.0,18931.8,31290.1,422.8,3452.9,,3874.1,7738.0,,7055.2,3708.0,True,,False,True,True,True,True,False,False,True,True,,True,False,,False,True
West Virginia,3232,3852.0,3960.0,,4249.2,3407.0,4589.8,718.6,3874.0,8028.1,4518.6,3347.8,4091.5,,3817.0,4381.7,,4823.7,4444.0,620.0,728.0,,1017.2,175.0,1357.8,-2513.4,642.0,4796.1,1286.6,115.8,859.5,,585.0,1149.7,,1591.7,1212.0,False,,False,True,False,False,False,False,False,True,False,,True,False,,False,False
Wisconsin,20798,24528.0,24054.0,,31676.2,15041.0,22211.2,35682.9,19393.0,36047.8,53483.6,20826.4,22919.5,,25341.1,22456.2,32283.2,24710.7,20593.0,3730.0,3256.0,,10878.2,-5757.0,1413.2,14884.9,-1405.0,15249.8,32685.6,28.4,2121.5,,4543.1,1658.2,11485.2,3912.7,-205.0,True,,False,False,True,False,True,False,False,True,True,,False,True,False,False,True
Wyoming,1042,1292.0,1271.0,,1515.1,845.0,1273.1,91.4,1072.0,2098.4,2503.9,918.0,1310.2,,1307.5,1465.5,,1063.7,1350.0,250.0,229.0,,473.1,-197.0,231.1,-950.6,30.0,1056.4,1461.9,-124.0,268.2,,265.5,423.5,,21.7,308.0,True,,False,True,True,False,True,False,False,True,False,,False,False,,True,False
US,1341351,1765896.0,1644314.0,1232776.0,1960933.5,1637411.0,1511675.6,2988522.3,1716046.0,1974952.6,2444450.4,1025661.7,1538110.5,1435654.6,1645652.9,1641986.6,1724438.8,1256848.4,1312991.0,424545.0,302963.0,-108575.0,619582.5,296060.0,170324.6,1647171.3,374695.0,633601.6,1103099.4,-315689.3,196759.5,94303.6,304301.9,300635.6,383087.8,-84502.6,-28360.0,True,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True
