,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01029,28,44.0,41.2,,17.0,15.0,,,,,,16.0,13.9,,18.7,20.4,33.0,,7.6,,38.3,,,,,32.1,16.0,13.2,,-11.0,-13.0,,,,,,-12.0,-14.1,,-9.3,-7.6,5.0,,-20.4,,10.3,,,,,4.1,True,,True,True,,,,,,True,True,,True,True,True,,False,,True,,,,,True
01031,78,94.0,106.2,,68.0,84.0,,,,,,77.0,80.4,,37.0,57.4,67.0,,45.5,,94.4,,,,,82.0,16.0,28.2,,-10.0,6.0,,,,,,-1.0,2.4,,-41.0,-20.6,-11.0,,-32.5,,16.4,,,,,4.0,False,,True,True,,,,,,True,True,,False,False,True,,False,,False,,,,,True
01033,89,72.0,77.7,,59.0,53.0,,,,,,89.0,79.2,,34.8,58.8,61.0,,38.2,,58.3,,,,,87.4,-17.0,-11.3,,-30.0,-36.0,,,,,,0.0,-9.8,,-54.2,-30.2,-28.0,,-50.8,,-30.7,,,,,-1.6,True,,False,False,,,,,,True,True,,False,False,False,,False,,False,,,,,True
01035,23,18.0,18.5,,12.0,7.0,,,,,,27.0,16.5,,6.3,12.3,19.0,,4.7,,17.5,,,,,24.6,-5.0,-4.5,,-11.0,-16.0,,,,,,4.0,-6.5,,-16.7,-10.7,-4.0,,-18.3,,-5.5,,,,,1.6,True,,False,False,,,,,,True,False,,False,False,True,,False,,False,,,,,True
01037,8,6.0,6.1,,3.0,0.0,,,,,,14.0,8.4,,0.7,2.2,,,1.2,,8.1,,,,,7.9,-2.0,-1.9,,-5.0,-8.0,,,,,,6.0,0.4,,-7.3,-5.8,,,-6.8,,0.1,,,,,-0.1,True,,False,False,,,,,,False,True,,False,False,,,False,,True,,,,,True
01039,61,46.0,45.1,,39.0,18.0,,,,,,60.0,69.7,,22.0,35.3,39.0,,36.5,,42.5,,,,,46.1,-15.0,-15.9,,-22.0,-43.0,,,,,,-1.0,8.7,,-39.0,-25.7,-22.0,,-24.5,,-18.5,,,,,-14.9,False,,False,False,,,,,,True,True,,False,False,False,,False,,False,,,,,True
01041,35,19.0,19.1,,17.0,15.0,,,,,,22.0,20.2,,6.8,14.0,15.0,,23.6,,22.1,,,,,14.5,-16.0,-15.9,,-18.0,-20.0,,,,,,-13.0,-14.8,,-28.2,-21.0,-20.0,,-11.4,,-12.9,,,,,-20.5,True,,False,False,,,,,,True,True,,False,False,False,,True,,True,,,,,False
01043,100,103.0,102.4,,91.0,91.0,,,,,,123.0,126.3,,47.0,68.3,69.0,,38.4,,105.2,,,,,96.1,3.0,2.4,,-9.0,-9.0,,,,,,23.0,26.3,,-53.0,-31.7,-31.0,,-61.6,,5.2,,,,,-3.9,True,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01045,65,83.0,93.0,,62.0,64.0,,,,,,70.0,67.2,,59.5,56.7,61.0,,38.3,,81.0,,,,,85.9,18.0,28.0,,-3.0,-1.0,,,,,,5.0,2.2,,-5.5,-8.3,-4.0,,-26.7,,16.0,,,,,20.9,False,,True,True,,,,,,True,True,,True,True,True,,False,,True,,,,,False
01047,77,39.0,37.4,,34.0,23.0,,,,,,85.0,39.2,,19.0,31.7,46.0,,49.8,,34.7,,,,,45.2,-38.0,-39.6,,-43.0,-54.0,,,,,,8.0,-37.8,,-58.0,-45.3,-31.0,,-27.2,,-42.3,,,,,-31.8,False,,False,False,,,,,,True,True,,False,False,True,,True,,False,,,,,True
01049,82,83.0,81.9,,77.0,58.0,,,,,,129.0,94.3,,53.0,76.6,86.0,,56.2,,80.8,,,,,87.7,1.0,-0.1,,-5.0,-24.0,,,,,,47.0,12.3,,-29.0,-5.4,4.0,,-25.8,,-1.2,,,,,5.7,True,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01051,154,109.0,109.9,,79.0,91.0,,,,,,97.0,79.2,,54.6,66.0,80.0,,43.6,,113.5,,,,,148.5,-45.0,-44.1,,-75.0,-63.0,,,,,,-57.0,-74.8,,-99.4,-88.0,-74.0,,-110.3,,-40.5,,,,,-5.5,True,,False,False,,,,,,False,False,,False,False,False,,False,,True,,,,,True
01053,75,65.0,62.4,,55.0,28.0,,,,,,76.0,81.1,,30.0,39.1,52.0,,47.8,,61.3,,,,,75.2,-10.0,-12.6,,-20.0,-47.0,,,,,,1.0,6.1,,-45.0,-35.9,-23.0,,-27.2,,-13.7,,,,,0.2,False,,False,False,,,,,,True,True,,False,False,False,,False,,False,,,,,True
01055,174,251.0,250.0,,198.0,283.0,,,,,,155.0,222.3,,198.2,198.6,178.0,,197.5,,233.7,,,,,222.0,77.0,76.0,,24.0,109.0,,,,,,-19.0,48.3,,24.2,24.6,4.0,,23.5,,59.7,,,,,48.0,True,,True,False,,,,,,True,True,,True,True,True,,True,,True,,,,,True
01057,22,28.0,28.1,,27.0,27.0,,,,,,28.0,31.4,,20.3,28.3,20.0,,27.1,,26.5,,,,,28.5,6.0,6.1,,5.0,5.0,,,,,,6.0,9.4,,-1.7,6.3,-2.0,,5.1,,4.5,,,,,6.5,False,,True,True,,,,,,False,False,,True,False,True,,True,,True,,,,,False
01059,102,98.0,94.0,,69.0,86.0,,,,,,73.0,31.0,,49.3,64.1,68.0,,63.9,,92.6,,,,,94.8,-4.0,-8.0,,-33.0,-16.0,,,,,,-29.0,-71.0,,-52.7,-37.9,-34.0,,-38.1,,-9.4,,,,,-7.2,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01061,31,67.0,68.5,,49.0,56.0,,,,,,48.0,52.9,,49.6,46.8,50.0,,29.9,,64.0,,,,,47.8,36.0,37.5,,18.0,25.0,,,,,,17.0,21.9,,18.6,15.8,19.0,,-1.1,,33.0,,,,,16.8,False,,True,True,,,,,,True,True,,True,True,True,,True,,True,,,,,True
01063,10,11.0,11.2,,6.0,7.0,,,,,,16.0,7.6,,2.9,5.8,12.0,,3.4,,10.2,,,,,12.8,1.0,1.2,,-4.0,-3.0,,,,,,6.0,-2.4,,-7.1,-4.2,2.0,,-6.6,,0.2,,,,,2.8,False,,False,False,,,,,,False,False,,False,False,False,,False,,True,,,,,False
01065,22,17.0,17.3,,14.0,14.0,,,,,,35.0,13.8,,6.3,12.0,18.0,,13.4,,19.0,,,,,22.2,-5.0,-4.7,,-8.0,-8.0,,,,,,13.0,-8.2,,-15.7,-10.0,-4.0,,-8.6,,-3.0,,,,,0.2,True,,False,False,,,,,,False,False,,False,False,True,,False,,True,,,,,True
01067,26,27.0,25.0,,22.0,11.0,,,,,,22.0,17.4,,22.9,24.3,26.0,,18.4,,26.8,,,,,22.6,1.0,-1.0,,-4.0,-15.0,,,,,,-4.0,-8.6,,-3.1,-1.7,0.0,,-7.6,,0.8,,,,,-3.4,True,,False,False,,,,,,False,False,,False,False,True,,False,,True,,,,,False
01069,140,215.0,221.6,,177.0,330.0,,,,,,137.0,161.2,,204.7,148.6,159.0,,101.1,,215.5,,,,,178.4,75.0,81.6,,37.0,190.0,,,,,,-3.0,21.2,,64.7,8.6,19.0,,-38.9,,75.5,,,,,38.4,False,,True,False,,,,,,True,True,,True,True,True,,True,,False,,,,,True
01071,64,88.0,92.9,,76.0,78.0,,,,,,72.0,119.0,,52.8,74.2,71.0,,66.7,,87.7,,,,,94.6,24.0,28.9,,12.0,14.0,,,,,,8.0,55.0,,-11.2,10.2,7.0,,2.7,,23.7,,,,,30.6,False,,True,True,,,,,,True,False,,True,True,True,,True,,True,,,,,False
01073,1251,674.0,604.9,792.7,567.0,529.0,,,,,,780.0,814.8,,471.6,471.3,570.0,,332.5,,647.7,415.0,,,,908.3,-577.0,-646.1,-458.3,-684.0,-722.0,,,,,,-471.0,-436.2,,-779.4,-779.7,-681.0,,-918.5,,-603.3,-836.0,,,,-342.7,False,True,False,False,,,,,,True,True,,False,False,False,,False,,False,False,,,,True
01075,15,20.0,19.7,,15.0,15.0,,,,,,22.0,20.0,,6.7,14.0,13.0,,10.5,,18.0,,,,,22.1,5.0,4.7,,0.0,0.0,,,,,,7.0,5.0,,-8.3,-1.0,-2.0,,-4.5,,3.0,,,,,7.1,True,,True,True,,,,,,False,True,,False,True,True,,True,,True,,,,,False
01077,85,89.0,89.0,,80.0,61.0,,,,,,124.0,125.3,,53.6,76.5,76.0,,67.2,,92.6,,,,,100.3,4.0,4.0,,-5.0,-24.0,,,,,,39.0,40.3,,-31.4,-8.5,-9.0,,-17.8,,7.6,,,,,15.3,True,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01079,61,29.0,29.5,,29.0,14.0,,,,,,61.0,42.5,,22.2,30.0,27.0,,20.8,,30.8,,,,,29.3,-32.0,-31.5,,-32.0,-47.0,,,,,,0.0,-18.5,,-38.8,-31.0,-34.0,,-40.2,,-30.2,,,,,-31.7,True,,False,False,,,,,,True,True,,False,True,False,,False,,True,,,,,True
01081,1084,156.0,158.0,,158.0,158.0,,,,,,181.0,217.2,,63.6,101.2,139.0,,90.3,,157.8,79.0,,,,167.2,-928.0,-926.0,,-926.0,-926.0,,,,,,-903.0,-866.8,,-1020.4,-982.8,-945.0,,-993.7,,-926.2,-1005.0,,,,-916.8,True,,True,True,,,,,,True,True,,False,False,False,,False,,True,False,,,,True
01083,108,90.0,90.1,,77.0,77.0,,,,,,125.0,97.4,,59.2,76.7,72.0,,71.2,,87.3,,,,,114.9,-18.0,-17.9,,-31.0,-31.0,,,,,,17.0,-10.6,,-48.8,-31.3,-36.0,,-36.8,,-20.7,,,,,6.9,True,,False,False,,,,,,True,True,,False,False,False,,False,,False,,,,,True
01085,17,8.0,3.4,,6.0,2.0,,,,,,18.0,5.7,,2.2,8.2,14.0,,34.1,,7.9,,,,,13.6,-9.0,-13.6,,-11.0,-15.0,,,,,,1.0,-11.3,,-14.8,-8.8,-3.0,,17.1,,-9.1,,,,,-3.4,False,,False,False,,,,,,True,False,,False,True,True,,False,,False,,,,,True
01087,36,28.0,24.9,,18.0,15.0,,,,,,24.0,24.0,,8.7,18.8,22.0,,11.5,,27.9,,,,,21.7,-8.0,-11.1,,-18.0,-21.0,,,,,,-12.0,-12.0,,-27.3,-17.2,-14.0,,-24.5,,-8.1,,,,,-14.3,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01089,383,217.0,215.3,186.8,190.0,175.0,,,,,,404.0,482.1,,158.2,193.9,203.0,,140.1,,211.2,127.0,,,,298.9,-166.0,-167.7,-196.2,-193.0,-208.0,,,,,,21.0,99.1,,-224.8,-189.1,-180.0,,-242.9,,-171.8,-256.0,,,,-84.1,False,False,False,False,,,,,,True,True,,False,False,False,,False,,False,False,,,,True
01091,21,23.0,27.5,,21.0,24.0,,,,,,45.0,23.3,,8.0,18.9,20.0,,16.8,,27.0,,,,,29.1,2.0,6.5,,0.0,3.0,,,,,,24.0,2.3,,-13.0,-2.1,-1.0,,-4.2,,6.0,,,,,8.1,False,,True,False,,,,,,False,False,,False,False,True,,False,,False,,,,,False
01093,61,49.0,47.3,,39.0,34.0,,,,,,51.0,47.1,,31.7,43.5,40.0,,20.2,,45.5,,,,,48.3,-12.0,-13.7,,-22.0,-27.0,,,,,,-10.0,-13.9,,-29.3,-17.5,-21.0,,-40.8,,-15.5,,,,,-12.7,False,,False,False,,,,,,True,False,,False,False,False,,False,,False,,,,,False
01095,92,182.0,182.6,,132.0,137.0,,,,,,161.0,142.0,,103.5,127.6,162.0,,103.2,,180.5,,,,,173.1,90.0,90.6,,40.0,45.0,,,,,,69.0,50.0,,11.5,35.6,70.0,,11.2,,88.5,,,,,81.1,False,,True,True,,,,,,True,True,,True,True,True,,True,,True,,,,,True
01097,531,549.0,560.4,567.7,489.0,354.0,,,,,,625.0,728.2,,418.2,370.9,461.0,,282.4,,591.3,345.0,,,,651.2,18.0,29.4,36.7,-42.0,-177.0,,,,,,94.0,197.2,,-112.8,-160.1,-70.0,,-248.6,,60.3,-186.0,,,,120.2,False,False,False,False,,,,,,False,False,,False,False,False,,False,,False,False,,,,False
01099,24,14.0,12.2,,13.0,7.0,,,,,,36.0,20.8,,6.8,12.7,17.0,,16.2,,12.7,,,,,23.1,-10.0,-11.8,,-11.0,-17.0,,,,,,12.0,-3.2,,-17.2,-11.3,-7.0,,-7.8,,-11.3,,,,,-0.9,False,,False,False,,,,,,False,True,,False,False,True,,True,,False,,,,,True
01101,370,328.0,340.4,251.0,216.0,242.0,,,,,,317.0,205.2,,160.4,188.3,264.0,,171.7,,248.1,191.0,,,,432.3,-42.0,-29.6,-119.0,-154.0,-128.0,,,,,,-53.0,-164.8,,-209.6,-181.7,-106.0,,-198.3,,-121.9,-179.0,,,,62.3,True,False,False,False,,,,,,False,False,,False,False,False,,False,,False,False,,,,False
01103,196,124.0,128.5,,102.0,111.0,,,,,,174.0,116.1,,55.6,86.4,105.0,,83.3,,128.2,,,,,164.6,-72.0,-67.5,,-94.0,-85.0,,,,,,-22.0,-79.9,,-140.4,-109.6,-91.0,,-112.7,,-67.8,,,,,-31.4,True,,False,False,,,,,,True,False,,False,False,False,,False,,True,,,,,True
01105,9,13.0,9.9,,10.0,8.0,,,,,,20.0,13.7,,9.3,16.4,17.0,,9.1,,17.4,,,,,18.4,4.0,0.9,,1.0,-1.0,,,,,,11.0,4.7,,0.3,7.4,8.0,,0.1,,8.4,,,,,9.4,True,,True,True,,,,,,False,False,,True,False,False,,True,,False,,,,,False
01107,37,58.0,58.4,,46.0,46.0,,,,,,44.0,29.3,,45.4,43.1,,,59.5,,58.6,,,,,46.8,21.0,21.4,,9.0,9.0,,,,,,7.0,-7.7,,8.4,6.1,,,22.5,,21.6,,,,,9.8,False,,True,True,,,,,,True,True,,True,True,,,False,,False,,,,,True
01109,78,52.0,49.2,,43.0,27.0,,,,,,51.0,33.3,,40.2,46.3,47.0,,40.0,,50.3,,,,,35.1,-26.0,-28.8,,-35.0,-51.0,,,,,,-27.0,-44.7,,-37.8,-31.7,-31.0,,-38.0,,-27.7,,,,,-42.9,False,,False,False,,,,,,False,False,,False,False,False,,False,,False,,,,,False
01111,51,21.0,24.3,,21.0,5.0,,,,,,31.0,28.7,,15.4,24.8,24.0,,9.9,,25.1,,,,,18.3,-30.0,-26.7,,-30.0,-46.0,,,,,,-20.0,-22.3,,-35.6,-26.2,-27.0,,-41.0,,-25.9,,,,,-32.7,True,,False,False,,,,,,True,True,,False,True,True,,False,,True,,,,,False
01113,75,88.0,86.8,,60.0,48.0,,,,,,80.0,69.0,,35.1,54.3,77.0,,65.8,,75.7,,,,,77.5,13.0,11.8,,-15.0,-27.0,,,,,,5.0,-6.0,,-39.9,-20.7,2.0,,-9.2,,0.7,,,,,2.5,True,,False,False,,,,,,True,True,,False,False,True,,True,,True,,,,,True
01115,141,119.0,116.2,,117.0,119.0,,,,,,107.0,133.3,,131.4,134.9,115.0,,83.2,,118.2,,,,,87.0,-22.0,-24.8,,-24.0,-22.0,,,,,,-34.0,-7.7,,-9.6,-6.1,-26.0,,-57.8,,-22.8,,,,,-54.0,False,,False,False,,,,,,False,True,,True,True,False,,False,,False,,,,,False
01117,560,159.0,158.7,,153.0,127.0,,,,,,254.0,271.6,,109.4,133.2,137.0,,165.1,,152.8,92.0,,,,240.1,-401.0,-401.4,,-407.0,-433.0,,,,,,-306.0,-288.4,,-450.6,-426.8,-423.0,,-394.9,,-407.2,-468.0,,,,-319.9,False,,False,False,,,,,,True,True,,False,False,False,,True,,False,False,,,,True
01119,6,17.0,21.4,,15.0,14.0,,,,,,26.0,5.1,,3.4,10.8,,,15.0,,17.2,,,,,18.5,11.0,15.4,,9.0,8.0,,,,,,20.0,-0.9,,-2.6,4.8,,,9.0,,11.2,,,,,12.5,False,,True,True,,,,,,False,True,,True,True,,,True,,False,,,,,False
01121,190,88.0,88.1,,84.0,80.0,,,,,,116.0,181.3,,43.5,65.5,66.0,,56.5,,88.8,,,,,122.2,-102.0,-101.9,,-106.0,-110.0,,,,,,-74.0,-8.7,,-146.5,-124.5,-124.0,,-133.4,,-101.2,,,,,-67.8,True,,False,False,,,,,,True,True,,False,False,False,,False,,True,,,,,True
01123,37,30.0,29.6,,27.0,20.0,,,,,,58.0,43.5,,9.2,24.6,32.0,,22.1,,32.0,,,,,35.9,-7.0,-7.4,,-10.0,-17.0,,,,,,21.0,6.5,,-27.8,-12.4,-5.0,,-14.9,,-5.0,,,,,-1.1,False,,False,False,,,,,,False,True,,False,False,True,,False,,True,,,,,True
01125,814,358.0,364.9,,296.0,432.0,,,,,,305.0,212.7,,295.8,290.4,262.0,,263.3,,360.4,236.0,,,,317.5,-456.0,-449.1,,-518.0,-382.0,,,,,,-509.0,-601.3,,-518.2,-523.6,-552.0,,-550.7,,-453.6,-578.0,,,,-496.5,True,,False,True,,,,,,False,False,,False,False,False,,False,,True,False,,,,False
01127,105,107.0,110.2,,89.0,139.0,,,,,,106.0,55.3,,55.7,81.2,78.0,,62.5,,96.3,,,,,108.7,2.0,5.2,,-16.0,34.0,,,,,,1.0,-49.7,,-49.3,-23.8,-27.0,,-42.5,,-8.7,,,,,3.7,False,,False,False,,,,,,True,False,,False,False,False,,False,,False,,,,,False
01129,17,19.0,23.5,,19.0,42.0,,,,,,28.0,28.1,,3.0,15.0,19.0,,13.7,,18.0,,,,,34.2,2.0,6.5,,2.0,25.0,,,,,,11.0,11.1,,-14.0,-2.0,2.0,,-3.3,,1.0,,,,,17.2,False,,False,False,,,,,,False,False,,False,True,False,,False,,True,,,,,False
01131,19,20.0,20.2,,15.0,15.0,,,,,,21.0,11.9,,5.5,15.3,15.0,,15.5,,18.3,,,,,18.6,1.0,1.2,,-4.0,-4.0,,,,,,2.0,-7.1,,-13.5,-3.7,-4.0,,-3.5,,-0.7,,,,,-0.4,False,,False,False,,,,,,False,False,,False,False,False,,False,,True,,,,,True
01133,51,34.0,33.5,,19.0,20.0,,,,,,45.0,27.1,,9.3,18.8,20.0,,16.0,,32.9,,,,,44.7,-17.0,-17.5,,-32.0,-31.0,,,,,,-6.0,-23.9,,-41.7,-32.2,-31.0,,-35.0,,-18.1,,,,,-6.3,False,,False,False,,,,,,True,False,,False,False,False,,False,,False,,,,,True
02013,0,0.0,0.0,,0.0,0.0,,,,,,,1.1,,,0.0,0.0,,0.0,,0.0,,,,,1.0,0.0,0.0,,0.0,0.0,,,,,,,1.1,,,0.0,0.0,,0.0,,0.0,,,,,1.0,True,,True,True,,,,,,,False,,,False,True,,False,,False,,,,,False
02016,3,0.0,0.6,,0.0,0.0,,,,,,,1.5,,,0.0,,,0.5,,0.0,,,,,1.5,-3.0,-2.4,,-3.0,-3.0,,,,,,,-1.5,,,-3.0,,,-2.5,,-3.0,,,,,-1.5,True,,False,False,,,,,,,True,,,True,,,True,,True,,,,,True
