,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Indiana,36780,27450.0,,33299.0,5828.0,44297.4,26149.0,22722.3,61036.0,95072.0,29523.1,-9330.0,,-3481.0,-30952.0,7517.4,-10631.0,-14057.7,24256.0,58292.0,-7256.9,,True,False,True,False,False,False,False,True
Iowa,25299,21930.0,,33214.5,4700.0,18633.4,16182.0,15062.5,21496.3,17713.7,34779.2,-3369.0,,7915.5,-20599.0,-6665.6,-9117.0,-10236.5,-3802.7,-7585.3,9480.2,,False,False,False,False,False,False,False,False
Kansas,19902,18036.0,,32707.3,2985.0,4908.1,16667.0,11069.5,19376.7,12121.8,60864.7,-1866.0,,12805.3,-16917.0,-14993.9,-3235.0,-8832.5,-525.3,-7780.2,40962.7,,False,False,False,False,False,True,False,False
Kentucky,25393,18378.0,,22305.2,13375.0,26690.9,18398.0,29054.1,38718.4,133898.3,8039.8,-7015.0,,-3087.8,-12018.0,1297.9,-6995.0,3661.1,13325.4,108505.3,-17353.2,,True,False,True,True,True,False,False,False
Louisiana,58354,70722.0,,112087.8,40612.0,81353.6,91384.0,79005.2,246676.3,52015.2,31653.3,12368.0,,53733.8,-17742.0,22999.6,33030.0,20651.2,188322.3,-6338.8,-26700.7,,False,False,False,False,False,False,True,False
Maine,848,750.0,,401.2,407.0,1948.0,157.0,605.0,690.0,539.1,2336.3,-98.0,,-446.8,-441.0,1100.0,-691.0,-243.0,-158.0,-308.9,1488.3,,False,False,False,False,False,False,False,False
Maryland,30088,28434.0,,17179.7,3340.0,40655.6,16214.0,20908.0,67791.6,86850.6,28069.4,-1654.0,,-12908.3,-26748.0,10567.6,-13874.0,-9180.0,37703.6,56762.6,-2018.6,,False,False,False,False,False,False,False,False
Massachusetts,12253,11040.0,,7890.0,507.0,63808.7,6718.0,6335.5,15098.3,15999.9,11753.3,-1213.0,,-4363.0,-11746.0,51555.7,-5535.0,-5917.5,2845.3,3746.9,-499.7,,False,False,False,False,False,False,False,True
Michigan,29798,29808.0,,33959.5,4790.0,65539.3,36086.0,17904.1,58105.5,50763.8,64595.5,10.0,,4161.5,-25008.0,35741.3,6288.0,-11893.9,28307.5,20965.8,34797.5,,False,False,False,False,False,False,False,False
Minnesota,28787,23394.0,,23943.5,5445.0,8104.6,31151.0,17309.1,27079.5,30026.4,7620.4,-5393.0,,-4843.5,-23342.0,-20682.4,2364.0,-11477.9,-1707.5,1239.4,-21166.6,,True,False,False,True,False,True,True,False
Mississippi,40183,38562.0,,42698.3,20439.0,100653.4,34862.0,27104.7,37577.8,41278.3,30577.2,-1621.0,,2515.3,-19744.0,60470.4,-5321.0,-13078.3,-2605.2,1095.3,-9605.8,,False,False,False,False,False,False,True,False
Missouri,50464,30588.0,,38307.2,19296.0,24749.9,26200.0,26789.5,62363.9,62974.2,23827.7,-19876.0,,-12156.8,-31168.0,-25714.1,-24264.0,-23674.5,11899.9,12510.2,-26636.3,,True,False,False,False,False,True,True,False
Montana,4780,4764.0,,11060.1,2451.0,12208.7,6191.0,4416.8,4327.6,3079.3,16712.3,-16.0,,6280.1,-2329.0,7428.7,1411.0,-363.2,-452.4,-1700.7,11932.3,,False,False,False,False,False,False,False,False
Nebraska,11272,8898.0,,6115.5,651.0,835.6,8617.0,3913.7,10393.8,5585.3,5310.0,-2374.0,,-5156.5,-10621.0,-10436.4,-2655.0,-7358.3,-878.2,-5686.7,-5962.0,,False,False,False,False,False,True,False,False
Nevada,33984,45834.0,,76981.8,33204.0,139103.1,38367.0,45279.8,49058.1,67713.7,53546.3,11850.0,,42997.8,-780.0,105119.1,4383.0,11295.8,15074.1,33729.7,19562.3,,False,True,False,True,True,False,False,False
New Hampshire,1058,984.0,,196.5,135.0,2647.4,685.0,499.2,680.3,1159.8,403.4,-74.0,,-861.5,-923.0,1589.4,-373.0,-558.8,-377.7,101.8,-654.6,,False,False,False,False,False,False,False,False
New Jersey,14537,11130.0,,9972.9,459.0,133154.4,9285.0,3680.9,5885.2,4332.7,21608.6,-3407.0,,-4564.1,-14078.0,118617.4,-5252.0,-10856.1,-8651.8,-10204.3,7071.6,,False,False,False,False,False,False,False,False
New Mexico,8442,11778.0,,12811.2,3836.0,24217.8,11172.0,7783.2,12773.5,10390.6,18486.1,3336.0,,4369.2,-4606.0,15775.8,2730.0,-658.8,4331.5,1948.6,10044.1,,False,False,False,True,True,False,True,False
New York,27097,31656.0,,25354.8,1747.0,119964.0,14036.0,15483.4,46342.8,28661.2,52509.0,4559.0,,-1742.2,-25350.0,92867.0,-13061.0,-11613.6,19245.8,1564.2,25412.0,,True,False,False,False,False,False,True,False
North Carolina,69883,85116.0,,76573.2,116566.0,35632.8,100148.0,52794.8,100611.5,73556.8,66441.0,15233.0,,6690.2,46683.0,-34250.2,30265.0,-17088.2,30728.5,3673.8,-3442.0,,True,False,False,False,False,False,True,True
North Dakota,6577,3984.0,,5353.9,314.0,10769.5,3659.0,3147.3,8395.4,9739.8,6517.0,-2593.0,,-1223.1,-6263.0,4192.5,-2918.0,-3429.7,1818.4,3162.8,-60.0,,True,False,False,False,False,True,False,True
Ohio,47499,57642.0,,67774.8,23082.0,59215.7,52023.0,36040.2,65900.0,63321.8,123206.7,10143.0,,20275.8,-24417.0,11716.7,4524.0,-11458.8,18401.0,15822.8,75707.7,,False,False,False,True,False,False,False,False
Oklahoma,32296,31668.0,,41873.6,21149.0,24395.7,52612.0,14496.9,25669.0,9499.2,33787.6,-628.0,,9577.6,-11147.0,-7900.3,20316.0,-17799.1,-6627.0,-22796.8,1491.6,,False,False,False,False,False,False,False,False
Oregon,12144,13788.0,,15990.7,12474.0,12323.6,12812.0,12242.7,13329.2,27471.1,23721.1,1644.0,,3846.7,330.0,179.6,668.0,98.7,1185.2,15327.1,11577.1,,False,True,True,True,True,True,False,False
Pennsylvania,32796,33384.0,,41564.6,3428.0,54494.8,21321.0,18479.9,38932.1,32207.0,52083.7,588.0,,8768.6,-29368.0,21698.8,-11475.0,-14316.1,6136.1,-589.0,19287.7,,False,False,False,False,False,False,False,False
Rhode Island,3890,2886.0,,2213.4,108.0,2165.3,6564.0,876.5,2171.9,3045.2,618.9,-1004.0,,-1676.6,-3782.0,-1724.7,2674.0,-3013.5,-1718.1,-844.8,-3271.1,,False,False,False,False,False,False,True,False
South Carolina,49637,77478.0,,107198.3,37391.0,163721.3,76273.0,76286.5,66058.6,72168.7,73408.4,27841.0,,57561.3,-12246.0,114084.3,26636.0,26649.5,16421.6,22531.7,23771.4,,False,True,False,True,True,True,True,True
South Dakota,5080,2448.0,,1920.6,780.0,5329.9,2162.0,1611.4,13129.0,2430.4,3744.3,-2632.0,,-3159.4,-4300.0,249.9,-2918.0,-3468.6,8049.0,-2649.6,-1335.7,,False,False,True,False,False,False,False,True
Tennessee,75944,91980.0,,109795.2,86070.0,56713.4,78978.0,60174.3,89314.6,82507.4,80652.3,16036.0,,33851.2,10126.0,-19230.6,3034.0,-15769.7,13370.6,6563.4,4708.3,,False,True,False,True,True,True,True,True
Texas,302689,436146.0,,581420.6,431378.0,1222045.0,600846.0,259571.0,390843.8,237214.3,229530.9,133457.0,,278731.6,128689.0,919356.0,298157.0,-43118.0,88154.8,-65474.7,-73158.1,,False,True,False,False,True,True,True,True
Utah,18074,26862.0,,24290.2,31101.0,56088.1,22540.0,23631.1,25321.6,38031.6,14161.1,8788.0,,6216.2,13027.0,38014.1,4466.0,5557.1,7247.6,19957.6,-3912.9,,True,False,False,True,True,True,False,True
Vermont,267,330.0,,95.2,16.0,11.0,244.0,210.2,348.6,511.5,222.3,63.0,,-171.8,-251.0,-256.0,-23.0,-56.8,81.6,244.5,-44.7,,False,False,False,True,True,False,False,True
Virginia,42436,39546.0,,33092.4,12917.0,98570.0,32354.0,26952.3,55833.8,77364.5,5081.3,-2890.0,,-9343.6,-29519.0,56134.0,-10082.0,-15483.7,13397.8,34928.5,-37354.7,,False,False,False,False,False,False,False,False
Washington,27853,40848.0,,38629.9,20909.0,58356.6,30603.0,27371.9,42821.7,63645.4,49017.8,12995.0,,10776.9,-6944.0,30503.6,2750.0,-481.1,14968.7,35792.4,21164.8,,True,True,False,True,True,False,False,False
West Virginia,5076,4488.0,,11789.7,3944.0,823.8,3099.0,2822.2,6192.6,2741.7,18471.7,-588.0,,6713.7,-1132.0,-4252.2,-1977.0,-2253.8,1116.6,-2334.3,13395.7,,False,False,False,False,False,False,False,False
Wisconsin,33315,34836.0,,41268.7,13845.0,6708.4,30561.0,26610.2,53560.7,44855.5,47125.9,1521.0,,7953.7,-19470.0,-26606.6,-2754.0,-6704.8,20245.7,11540.5,13810.9,,False,False,False,False,False,False,False,False
Wyoming,1703,1614.0,,2555.5,880.0,14.2,1666.0,980.5,2046.3,978.2,1240.1,-89.0,,852.5,-823.0,-1688.8,-37.0,-722.5,343.3,-724.8,-462.9,,False,False,False,True,False,False,False,False
US,2244130,2792928.0,2329566.0,3641664.5,2138351.0,4366357.7,3129361.0,1820794.0,3175641.3,2398686.0,3457567.3,548798.0,85436.0,1397534.5,-105779.0,2122227.7,885231.0,-423336.0,931511.3,154556.0,1213437.3,True,False,True,False,False,True,False,True,False
