,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,15536,17054.0,17084.5,15150.0,15994.0,,12684.9,18787.0,15462.1,16993.5,20753.0,18184.0,14349.8,19214.9,13101.4,14225.4,14766.0,,13521.5,22636.4,16411.0,12924.4,14886.7,14661.0,1518.0,1548.5,-386.0,458.0,,-2851.1,3251.0,-73.9,1457.5,5217.0,2648.0,-1186.2,3678.9,-2434.6,-1310.6,-770.0,,-2014.5,7100.4,875.0,-2611.6,-649.3,-875.0,False,True,True,,False,False,True,True,False,False,True,False,False,True,True,,False,False,True,False,True,True
Hawaii,1783,1531.0,1550.6,1584.0,1552.0,,2533.7,1584.0,1675.2,1672.5,,,2183.2,3163.2,1796.9,1584.7,2245.0,,1465.8,685.5,1677.4,1381.4,1821.0,1615.0,-252.0,-232.4,-199.0,-231.0,,750.7,-199.0,-107.8,-110.5,,,400.2,1380.2,13.9,-198.3,462.0,,-317.2,-1097.5,-105.6,-401.6,38.0,-168.0,True,True,True,,False,True,True,True,,,False,False,True,True,False,,False,False,True,False,True,True
Idaho,2009,2184.0,2153.3,2120.0,1813.0,,1516.6,2631.0,6297.1,1222.7,2084.0,2179.0,3321.6,2697.4,1656.3,1906.9,1857.0,,1706.1,4202.5,2078.2,1738.5,1637.0,1863.0,175.0,144.3,111.0,-196.0,,-492.4,622.0,4288.1,-786.3,75.0,170.0,1312.6,688.4,-352.7,-102.1,-152.0,,-302.9,2193.5,69.2,-270.5,-372.0,-146.0,True,True,False,,False,False,False,False,True,True,False,False,False,True,True,,False,False,True,False,False,True
Illinois,13365,13850.0,13856.4,13474.0,15085.0,,12017.5,3826.0,12292.0,14593.0,12242.0,12563.0,13456.1,16987.8,13043.0,13828.8,14864.0,,13473.9,8217.0,14378.2,7306.0,15707.6,14052.0,485.0,491.4,109.0,1720.0,,-1347.5,-9539.0,-1073.0,1228.0,-1123.0,-802.0,91.1,3622.8,-322.0,463.8,1499.0,,108.9,-5148.0,1013.2,-6059.0,2342.6,687.0,False,True,False,,False,False,False,False,False,False,True,False,True,True,False,,True,False,False,False,False,False
Indiana,7117,5641.0,5590.9,5137.0,5383.0,,5355.6,2599.0,4967.6,5037.9,6831.0,5058.0,7219.7,6758.9,4859.8,4908.3,5672.0,,4650.7,3538.2,5137.0,3539.8,5571.6,5378.0,-1476.0,-1526.1,-1980.0,-1734.0,,-1761.4,-4518.0,-2149.4,-2079.1,-286.0,-2059.0,102.7,-358.1,-2257.2,-2208.7,-1445.0,,-2466.3,-3578.8,-1980.0,-3577.2,-1545.4,-1739.0,False,False,False,,False,False,False,False,True,False,True,True,False,False,True,,False,False,False,False,False,False
Iowa,7616,3931.0,3988.5,3530.0,4802.0,,3061.3,1129.0,2690.7,4384.5,3562.0,3530.0,3435.9,3294.5,3879.4,3588.5,4437.0,,3496.4,1590.2,4243.1,1929.0,4511.3,3886.0,-3685.0,-3627.5,-4086.0,-2814.0,,-4554.7,-6487.0,-4925.3,-3231.5,-4054.0,-4086.0,-4180.1,-4321.5,-3736.6,-4027.5,-3179.0,,-4119.6,-6025.8,-3372.9,-5687.0,-3104.7,-3730.0,True,False,True,,False,False,False,True,False,False,False,False,False,False,True,,False,False,True,False,True,False
Kansas,4207,3503.0,3493.9,3142.0,4144.0,,2600.1,2649.0,2556.5,3373.3,3676.0,4572.0,4456.5,3129.3,2988.4,3385.8,4165.0,,2287.6,3440.0,3142.1,2562.4,3652.6,3903.0,-704.0,-713.1,-1065.0,-63.0,,-1606.9,-1558.0,-1650.5,-833.7,-531.0,365.0,249.5,-1077.7,-1218.6,-821.2,-42.0,,-1919.4,-767.0,-1064.9,-1644.6,-554.4,-304.0,False,False,True,,False,False,False,False,True,True,True,False,False,False,True,,False,False,False,False,True,True
Kentucky,4511,4136.0,4134.7,3875.0,4231.0,,3401.9,3935.0,5512.6,4099.9,6056.0,5215.0,4052.8,4377.8,2315.8,3274.0,3927.0,,1422.4,4530.7,4135.2,2834.4,3275.6,4811.0,-375.0,-376.3,-636.0,-280.0,,-1109.1,-576.0,1001.6,-411.1,1545.0,704.0,-458.2,-133.2,-2195.2,-1237.0,-584.0,,-3088.6,19.7,-375.8,-1676.6,-1235.4,300.0,False,False,True,,False,False,False,False,False,False,False,True,False,False,False,,False,True,False,False,False,True
Louisiana,4523,4983.0,5042.7,4707.0,3820.0,,2308.5,7629.0,12231.9,2047.9,4830.0,6970.0,4295.2,4477.2,5412.6,4114.6,3894.0,,4706.9,9098.8,4902.7,,3910.0,3491.0,460.0,519.7,184.0,-703.0,,-2214.5,3106.0,7708.9,-2475.1,307.0,2447.0,-227.8,-45.8,889.6,-408.4,-629.0,,183.9,4575.8,379.7,,-613.0,-1032.0,False,True,False,,False,False,False,False,True,False,True,True,False,True,False,,True,False,True,,False,False
Maine,174,174.0,166.3,147.0,193.0,,138.9,62.0,121.5,212.0,134.0,140.0,245.9,87.0,146.8,156.4,223.0,,88.0,298.9,168.9,110.8,206.5,208.0,0.0,-7.7,-27.0,19.0,,-35.1,-112.0,-52.5,38.0,-40.0,-34.0,71.9,-87.0,-27.2,-17.6,49.0,,-86.0,124.9,-5.1,-63.2,32.5,34.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,3771,3830.0,3719.3,3668.0,3600.0,,3224.2,1549.0,4322.2,2957.0,3744.0,4256.0,4261.5,3778.2,3667.9,3549.5,3628.0,,3373.3,7209.8,4140.6,,3775.8,3613.0,59.0,-51.7,-103.0,-171.0,,-546.8,-2222.0,551.2,-814.0,-27.0,485.0,490.5,7.2,-103.1,-221.5,-143.0,,-397.7,3438.8,369.6,,4.8,-158.0,True,False,False,,False,False,False,False,True,False,False,True,False,False,False,,False,False,False,,True,False
Massachusetts,2284,2161.0,2167.3,1357.0,224.0,,2406.9,1357.0,1894.8,1549.4,1302.0,4802.0,1607.9,3266.3,1261.9,1321.6,1840.0,,1294.8,448.3,2381.3,,157.2,2155.0,-123.0,-116.7,-927.0,-2060.0,,122.9,-927.0,-389.2,-734.6,-982.0,2518.0,-676.1,982.3,-1022.1,-962.4,-444.0,,-989.2,-1835.7,97.3,,-2126.8,-129.0,True,False,False,,True,False,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False
Michigan,5092,4262.0,4181.6,4597.0,4052.0,,3984.9,3024.0,5391.7,4432.8,4909.0,5126.0,8099.4,5330.3,4700.2,4487.5,4735.0,,3957.1,6656.9,4630.9,,5050.8,3594.0,-830.0,-910.4,-495.0,-1040.0,,-1107.1,-2068.0,299.7,-659.2,-183.0,34.0,3007.4,238.3,-391.8,-604.5,-357.0,,-1134.9,1564.9,-461.1,,-41.2,-1498.0,False,True,False,,False,False,True,True,True,True,False,True,True,True,True,,False,False,True,,True,False
Minnesota,5390,4454.0,4405.1,4405.0,4453.0,,3323.0,1859.0,3995.6,4415.5,4437.0,4185.0,4983.5,4381.6,4684.9,4108.6,4314.0,,3808.4,1221.5,4568.7,2649.6,5401.7,4549.0,-936.0,-984.9,-985.0,-937.0,,-2067.0,-3531.0,-1394.4,-974.5,-953.0,-1205.0,-406.5,-1008.4,-705.1,-1281.4,-1076.0,,-1581.6,-4168.5,-821.3,-2740.4,11.7,-841.0,False,False,False,,False,False,False,False,False,False,True,False,True,False,False,,False,False,True,False,True,True
Mississippi,4761,5513.0,5410.9,4835.0,5119.0,,3064.7,4894.0,4903.0,5501.3,8029.0,4813.0,4560.5,4325.0,5143.2,4710.6,5002.0,,3714.9,4308.0,6045.8,3625.0,5756.9,3570.0,752.0,649.9,74.0,358.0,,-1696.3,133.0,142.0,740.3,3268.0,52.0,-200.5,-436.0,382.2,-50.4,241.0,,-1046.1,-453.0,1284.8,-1136.0,995.9,-1191.0,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,,False,True,False,False,False,False
Missouri,8216,7948.0,7090.0,7090.0,7737.0,,6000.3,7481.0,7340.0,7542.6,10475.0,7663.0,9015.6,7261.6,6453.9,6964.3,8160.0,,5423.9,10134.1,6469.6,4412.3,6399.4,7781.0,-268.0,-1126.0,-1126.0,-479.0,,-2215.7,-735.0,-876.0,-673.4,2259.0,-553.0,799.6,-954.4,-1762.1,-1251.7,-56.0,,-2792.1,1918.1,-1746.4,-3803.7,-1816.6,-435.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
Montana,875,717.0,720.4,689.0,519.0,,509.6,728.0,729.6,706.9,852.0,1060.0,915.0,831.3,687.3,604.1,672.0,,450.6,1930.9,615.2,555.9,703.8,727.0,-158.0,-154.6,-186.0,-356.0,,-365.4,-147.0,-145.4,-168.1,-23.0,185.0,40.0,-43.7,-187.7,-270.9,-203.0,,-424.4,1055.9,-259.8,-319.1,-171.2,-148.0,True,False,False,,False,True,True,False,True,False,True,True,False,False,False,,False,False,False,False,False,True
Nebraska,1973,1539.0,1553.6,1392.0,1392.0,,1413.0,598.0,1336.3,1500.6,2048.0,1804.0,1677.8,2490.8,1143.3,1339.1,1488.0,,1216.2,1646.3,1535.6,1210.5,1238.4,1361.0,-434.0,-419.4,-581.0,-581.0,,-560.0,-1375.0,-636.7,-472.4,75.0,-169.0,-295.2,517.8,-829.7,-633.9,-485.0,,-756.8,-326.7,-437.4,-762.5,-734.6,-612.0,True,False,False,,False,False,False,False,True,True,True,False,False,False,False,,False,True,False,False,False,False
Nevada,3392,4461.0,4430.7,3972.0,4343.0,,2738.5,5143.0,4062.4,3653.0,5253.0,4569.0,3196.3,4329.5,3635.6,3487.0,3856.0,,3528.5,6009.3,4334.3,3033.4,3612.5,3795.0,1069.0,1038.7,580.0,951.0,,-653.5,1751.0,670.4,261.0,1861.0,1177.0,-195.7,937.5,243.6,95.0,464.0,,136.5,2617.3,942.3,-358.6,220.5,403.0,True,True,True,,True,False,True,True,False,False,True,True,True,True,True,,True,False,True,True,True,True
New Hampshire,152,114.0,113.4,113.0,107.0,,144.1,8.0,142.2,119.4,141.0,119.0,257.5,56.9,102.4,101.6,108.0,,97.1,36.9,112.7,209.5,125.9,106.0,-38.0,-38.6,-39.0,-45.0,,-7.9,-144.0,-9.8,-32.6,-11.0,-33.0,105.5,-95.1,-49.6,-50.4,-44.0,,-54.9,-115.1,-39.3,57.5,-26.1,-46.0,False,False,False,,True,False,True,True,True,True,False,False,False,False,False,,False,False,False,False,True,False
New Jersey,1974,1904.0,1953.0,2231.0,2484.0,,2751.9,126.0,2047.2,1831.7,1446.0,2931.0,3315.2,2877.4,1531.3,1757.7,2021.0,,3503.8,820.2,1841.8,,2230.7,1523.0,-70.0,-21.0,257.0,510.0,,777.9,-1848.0,73.2,-142.3,-528.0,957.0,1341.2,903.4,-442.7,-216.3,47.0,,1529.8,-1153.8,-132.2,,256.7,-451.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False
New Mexico,876,1000.0,980.1,937.0,802.0,,470.0,898.0,955.6,988.6,1053.0,1251.0,1149.3,860.4,966.7,858.5,856.0,,930.2,1945.8,944.7,721.5,1161.8,870.0,124.0,104.1,61.0,-74.0,,-406.0,22.0,79.6,112.6,177.0,375.0,273.3,-15.6,90.7,-17.5,-20.0,,54.2,1069.8,68.7,-154.5,285.8,-6.0,True,True,True,,False,True,True,True,False,False,False,True,True,True,True,,True,False,True,False,False,True
New York,4237,4264.0,4285.1,4116.0,4191.0,,4116.4,96.0,4300.1,4419.4,4676.0,3617.0,7163.6,4920.2,3770.4,4202.4,4332.0,,3987.3,213.2,3856.6,,4224.0,4413.0,27.0,48.1,-121.0,-46.0,,-120.6,-4141.0,63.1,182.4,439.0,-620.0,2926.6,683.2,-466.6,-34.6,95.0,,-249.7,-4023.8,-380.4,,-13.0,176.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False
North Carolina,11436,9936.0,9943.0,9930.0,10648.0,,6356.9,14277.0,7741.2,10164.8,12401.0,8354.0,10697.5,8825.5,10150.4,9617.7,9747.0,,7890.1,14837.1,9972.6,6755.8,12264.7,8073.0,-1500.0,-1493.0,-1506.0,-788.0,,-5079.1,2841.0,-3694.8,-1271.2,965.0,-3082.0,-738.5,-2610.5,-1285.6,-1818.3,-1689.0,,-3545.9,3401.1,-1463.4,-4680.2,828.7,-3363.0,True,False,True,,False,False,False,True,True,False,True,False,True,False,False,,False,False,True,False,True,False
North Dakota,1748,1292.0,1285.6,1171.0,1416.0,,971.5,80.0,1100.7,1308.7,1242.0,887.0,889.3,1010.5,1359.8,1211.4,1499.0,,1170.7,965.3,1346.1,935.3,1806.0,1317.0,-456.0,-462.4,-577.0,-332.0,,-776.5,-1668.0,-647.3,-439.3,-506.0,-861.0,-858.7,-737.5,-388.2,-536.6,-249.0,,-577.3,-782.7,-401.9,-812.7,58.0,-431.0,False,False,True,,False,False,False,True,False,False,False,False,True,False,True,,False,False,True,False,True,True
Ohio,7155,6491.0,6455.6,6266.0,6321.0,,4490.3,6266.0,5599.5,6495.8,8131.0,6524.0,11124.6,6731.0,5380.5,5867.9,5902.0,,5089.3,1202.8,6391.1,3795.5,6119.8,6317.0,-664.0,-699.4,-889.0,-834.0,,-2664.7,-889.0,-1555.5,-659.2,976.0,-631.0,3969.6,-424.0,-1774.5,-1287.1,-1253.0,,-2065.7,-5952.2,-763.9,-3359.5,-1035.2,-838.0,False,False,False,,False,False,False,True,False,True,False,True,False,False,False,,False,False,False,False,False,False
Oklahoma,4754,4801.0,4605.5,4631.0,5130.0,,3297.4,4960.0,4127.3,4767.3,5630.0,4827.0,6666.6,4189.4,4631.4,4229.2,4731.0,,3045.6,5752.6,4785.6,3221.5,5583.6,4482.0,47.0,-148.5,-123.0,376.0,,-1456.6,206.0,-626.7,13.3,876.0,73.0,1912.6,-564.6,-122.6,-524.8,-23.0,,-1708.4,998.6,31.6,-1532.5,829.6,-272.0,False,False,False,,False,False,False,True,False,False,False,False,False,False,True,,False,False,True,False,False,False
Oregon,1583,1692.0,1691.1,1620.0,1542.0,,1500.5,2576.0,1533.9,1345.2,2112.0,1730.0,3481.5,1896.5,1608.0,1561.5,1601.0,,1403.0,3569.6,1616.8,1168.4,1682.7,1795.0,109.0,108.1,37.0,-41.0,,-82.5,993.0,-49.1,-237.8,529.0,147.0,1898.5,313.5,25.0,-21.5,18.0,,-180.0,1986.6,33.8,-414.6,99.7,212.0,True,True,True,,True,False,True,False,False,False,False,False,True,True,True,,False,False,True,False,True,False
Pennsylvania,4416,4629.0,4516.9,4288.0,4227.0,,4091.7,1823.0,4562.4,4614.5,4978.0,3727.0,7640.7,4502.2,4006.6,4288.3,4506.0,,3551.9,5202.7,4467.7,2473.5,4387.3,4385.0,213.0,100.9,-128.0,-189.0,,-324.3,-2593.0,146.4,198.5,562.0,-689.0,3224.7,86.2,-409.4,-127.7,90.0,,-864.1,786.7,51.7,-1942.5,-28.7,-31.0,True,True,True,,False,False,True,True,False,False,False,True,False,True,True,,False,False,True,False,True,True
Rhode Island,661,687.0,716.7,533.0,533.0,,648.3,3.0,906.7,665.5,478.0,1958.0,357.0,868.4,334.1,483.8,540.0,,314.6,68.1,727.4,,608.1,463.0,26.0,55.7,-128.0,-128.0,,-12.7,-658.0,245.7,4.5,-183.0,1297.0,-304.0,207.4,-326.9,-177.2,-121.0,,-346.4,-592.9,66.4,,-52.9,-198.0,False,False,False,,True,False,False,True,False,False,False,False,False,False,False,,False,False,False,,False,False
South Carolina,5954,5413.0,5376.8,5117.0,4669.0,,2963.0,5307.0,4613.3,4827.2,6830.0,5496.0,4101.4,5598.7,5174.0,4808.4,4553.0,,4140.2,10232.3,5102.5,3975.4,5618.1,4430.0,-541.0,-577.2,-837.0,-1285.0,,-2991.0,-647.0,-1340.7,-1126.8,876.0,-458.0,-1852.6,-355.3,-780.0,-1145.6,-1401.0,,-1813.8,4278.3,-851.5,-1978.6,-335.9,-1524.0,False,False,False,,False,False,False,False,False,True,False,True,False,False,False,,False,False,False,False,True,False
South Dakota,1807,1017.0,1015.6,985.0,945.0,,1014.8,119.0,694.5,1293.8,1031.0,675.0,431.2,827.5,1095.2,985.5,1239.0,,1012.1,309.3,1074.8,227.9,1616.0,1078.0,-790.0,-791.4,-822.0,-862.0,,-792.2,-1688.0,-1112.5,-513.2,-776.0,-1132.0,-1375.8,-979.5,-711.8,-821.5,-568.0,,-794.9,-1497.7,-732.2,-1579.1,-191.0,-729.0,False,False,False,,False,False,False,True,True,False,False,False,True,False,True,,False,False,True,False,True,True
Tennessee,10197,10336.0,10781.2,9573.0,9573.0,,5935.3,9211.0,10083.4,10346.2,13471.0,8844.0,10417.4,8739.5,11026.9,8956.3,9275.0,,9068.1,10874.5,9821.7,6685.0,10187.5,8542.0,139.0,584.2,-624.0,-624.0,,-4261.7,-986.0,-113.6,149.2,3274.0,-1353.0,220.4,-1457.5,829.9,-1240.7,-922.0,,-1128.9,677.5,-375.3,-3512.0,-9.5,-1655.0,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,True,False
Texas,37472,42797.0,43331.9,34431.0,37395.0,,28639.2,42246.0,34362.4,43584.2,44674.0,52584.0,35058.3,41578.7,30313.1,34431.3,36644.0,,31065.5,106452.9,41234.4,30819.6,28346.1,39010.0,5325.0,5859.9,-3041.0,-77.0,,-8832.8,4774.0,-3109.6,6112.2,7202.0,15112.0,-2413.7,4106.7,-7158.9,-3040.7,-828.0,,-6406.5,68980.9,3762.4,-6652.4,-9125.9,1538.0,False,True,True,,False,True,True,False,False,False,True,True,False,True,True,,False,False,True,False,False,True
Utah,2592,2493.0,2466.9,2208.0,1997.0,,1661.1,2233.0,1875.8,2496.2,2589.0,2208.0,2268.8,2211.4,2324.8,2258.0,2235.0,,1668.2,3372.0,2585.5,1869.8,2003.3,2074.0,-99.0,-125.1,-384.0,-595.0,,-930.9,-359.0,-716.2,-95.8,-3.0,-384.0,-323.2,-380.6,-267.2,-334.0,-357.0,,-923.8,780.0,-6.5,-722.2,-588.7,-518.0,False,False,False,,False,False,False,True,True,False,False,False,False,False,False,,False,False,True,False,False,False
Vermont,52,44.0,45.6,39.0,44.0,,55.3,12.0,40.5,48.0,44.0,32.0,125.4,63.7,29.6,38.6,55.0,,28.5,33.5,45.3,,52.3,47.0,-8.0,-6.4,-13.0,-8.0,,3.3,-40.0,-11.5,-4.0,-8.0,-20.0,73.4,11.7,-22.4,-13.4,3.0,,-23.5,-18.5,-6.7,,0.3,-5.0,True,False,False,,True,False,False,True,False,False,False,False,False,False,True,,False,False,True,,True,True
