,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Kansas,22908,19432.0,,35381.2,3056.0,28557.0,11571.5,26301.5,7649.5,65818.3,-3476.0,,12473.2,-19852.0,5649.0,-11336.5,3393.5,-15258.5,42910.3,,False,False,False,False,True,False,False
Kentucky,28456,19215.0,,21871.7,9923.0,16770.0,10161.5,14736.6,8367.2,9471.8,-9241.0,,-6584.3,-18533.0,-11686.0,-18294.5,-13719.4,-20088.8,-18984.2,,True,False,False,False,False,False,False
Louisiana,70141,94598.0,,121301.4,30556.0,195940.0,46328.3,90037.8,54698.3,41973.1,24457.0,,51160.4,-39585.0,125799.0,-23812.7,19896.8,-15442.7,-28167.9,,False,False,False,True,True,True,False
Maine,973,861.0,,751.4,592.0,809.0,377.4,467.7,650.3,2642.1,-112.0,,-221.6,-381.0,-164.0,-595.6,-505.3,-322.7,1669.1,,False,False,False,False,False,False,False
Maryland,34827,21882.0,,13605.7,2953.0,13820.0,13964.0,67978.2,4499.4,32116.4,-12945.0,,-21221.3,-31874.0,-21007.0,-20863.0,33151.2,-30327.6,-2710.6,,False,False,False,False,False,False,True
Massachusetts,13838,10920.0,,7416.6,941.0,7994.0,5635.9,8384.5,710.3,13526.3,-2918.0,,-6421.4,-12897.0,-5844.0,-8202.1,-5453.5,-13127.7,-311.7,,False,False,False,False,False,False,True
Michigan,34766,26523.0,,30694.7,5308.0,40643.0,13744.0,59229.9,3440.3,69789.2,-8243.0,,-4071.3,-29458.0,5877.0,-21022.0,24463.9,-31325.7,35023.2,,True,False,True,False,False,False,False
Minnesota,32686,27629.0,,25452.2,5145.0,47055.0,19351.7,26745.1,4232.8,9634.1,-5057.0,,-7233.8,-27541.0,14369.0,-13334.3,-5940.9,-28453.2,-23051.9,,False,False,False,False,False,False,False
Mississippi,46610,33215.0,,54075.7,20657.0,47119.0,26192.5,34901.4,21812.2,39320.5,-13395.0,,7465.7,-25953.0,509.0,-20417.5,-11708.6,-24797.8,-7289.5,,True,False,True,False,True,False,True
Missouri,55562,28161.0,,36527.7,15927.0,28818.0,12276.8,44496.1,18800.0,27619.2,-27401.0,,-19034.3,-39635.0,-26744.0,-43285.2,-11065.9,-36762.0,-27942.8,,True,False,True,False,True,False,False
Montana,5574,3570.0,,9473.6,1239.0,4588.0,4545.0,9743.8,15888.0,17515.5,-2004.0,,3899.6,-4335.0,-986.0,-1029.0,4169.8,10314.0,11941.5,,False,False,True,True,False,False,False
Nebraska,12755,8197.0,,6289.7,1051.0,23120.0,4850.0,6760.5,876.7,6436.7,-4558.0,,-6465.3,-11704.0,10365.0,-7905.0,-5994.5,-11878.3,-6318.3,,False,False,False,False,False,False,False
Nevada,41623,36841.0,,67195.0,32139.0,68638.0,29734.9,32425.1,46616.6,63038.8,-4782.0,,25572.0,-9484.0,27015.0,-11888.1,-9197.9,4993.6,21415.8,,False,False,False,False,False,False,False
New Hampshire,1222,1064.0,,192.8,206.0,800.0,578.4,867.5,339.0,521.5,-158.0,,-1029.2,-1016.0,-422.0,-643.6,-354.5,-883.0,-700.5,,False,False,False,False,False,False,False
New Jersey,16392,13482.0,,9851.2,635.0,15963.0,6374.9,11080.6,203.9,24470.0,-2910.0,,-6540.8,-15757.0,-429.0,-10017.1,-5311.4,-16188.1,8078.0,,False,False,True,False,False,False,False
New Mexico,10405,11970.0,,15605.9,4074.0,15729.0,7347.5,17716.7,6235.8,20709.5,1565.0,,5200.9,-6331.0,5324.0,-3057.5,7311.7,-4169.2,10304.5,,False,False,False,False,False,False,False
New York,31879,31017.0,,27707.1,3517.0,118346.0,15223.7,27413.9,275.1,59302.6,-862.0,,-4171.9,-28362.0,86467.0,-16655.3,-4465.1,-31603.9,27423.6,,False,False,False,False,False,False,False
North Carolina,83885,85652.0,,88780.3,130299.0,228447.0,58490.9,99328.8,74502.9,78788.2,1767.0,,4895.3,46414.0,144562.0,-25394.1,15443.8,-9382.1,-5096.8,,False,False,False,False,False,False,False
North Dakota,7241,3248.0,,3359.6,493.0,6296.0,2640.4,4503.2,1285.3,7128.3,-3993.0,,-3881.4,-6748.0,-945.0,-4600.6,-2737.8,-5955.7,-112.7,,True,False,True,False,True,False,True
Ohio,57106,56217.0,,74868.0,47575.0,69020.0,43185.1,86880.1,32341.1,135233.2,-889.0,,17762.0,-9531.0,11914.0,-13920.9,29774.1,-24764.9,78127.2,,False,False,False,False,False,False,False
Oklahoma,37574,28917.0,,43593.6,18992.0,242288.0,18500.3,36066.1,36172.6,38006.4,-8657.0,,6019.6,-18582.0,204714.0,-19073.7,-1507.9,-1401.4,432.4,,True,False,False,False,True,True,True
Oregon,14442,13447.0,,19312.7,11032.0,26981.0,11176.9,13427.8,22310.6,26355.5,-995.0,,4870.7,-3410.0,12539.0,-3265.1,-1014.2,7868.6,11913.5,,False,False,False,False,False,False,False
Pennsylvania,38360,37058.0,,43531.3,5632.0,47557.0,17695.9,93538.7,6810.1,58636.5,-1302.0,,5171.3,-32728.0,9197.0,-20664.1,55178.7,-31549.9,20276.5,,False,False,False,False,False,False,False
Rhode Island,4371,2247.0,,1234.9,192.0,4120.0,667.4,1664.4,96.8,824.6,-2124.0,,-3136.1,-4179.0,-251.0,-3703.6,-2706.6,-4274.2,-3546.4,,False,False,True,False,False,False,False
South Carolina,62550,79191.0,,120718.8,39680.0,76046.0,74720.0,69226.8,55776.6,90250.8,16641.0,,58168.8,-22870.0,13496.0,12170.0,6676.8,-6773.4,27700.8,,False,False,True,True,True,True,False
South Dakota,5488,2982.0,,2655.7,1051.0,3047.0,1676.5,1839.6,837.3,4304.3,-2506.0,,-2832.3,-4437.0,-2441.0,-3811.5,-3648.4,-4650.7,-1183.7,,False,False,True,False,False,False,True
Tennessee,91274,76062.0,,100161.8,84934.0,87905.0,35156.8,61464.0,54539.7,99584.2,-15212.0,,8887.8,-6340.0,-3369.0,-56117.2,-29810.0,-36734.3,8310.2,,True,True,True,False,False,False,True
Texas,375385,423199.0,,751763.5,400435.0,963888.0,307315.5,543604.3,478058.9,290402.9,47814.0,,376378.5,25050.0,588503.0,-68069.5,168219.3,102673.9,-84982.1,,False,True,False,False,False,False,False
Utah,22551,30191.0,,36287.0,35373.0,41141.0,20434.4,33077.1,29021.1,18060.1,7640.0,,13736.0,12822.0,18590.0,-2116.6,10526.1,6470.1,-4490.9,,False,False,False,True,False,True,True
Vermont,322,315.0,,81.0,20.0,237.0,190.5,301.1,0.0,263.4,-7.0,,-241.0,-302.0,-85.0,-131.5,-20.9,-322.0,-58.6,,False,False,False,False,False,False,False
Virginia,49027,32711.0,,22668.7,10481.0,38551.0,22323.9,42051.4,10859.1,7989.4,-16316.0,,-26358.3,-38546.0,-10476.0,-26703.1,-6975.6,-38167.9,-41037.6,,False,False,True,False,True,False,False
Washington,34213,27797.0,,48745.3,18092.0,27307.0,27291.3,60761.2,18983.6,54739.3,-6416.0,,14532.3,-16121.0,-6906.0,-6921.7,26548.2,-15229.4,20526.3,,False,False,False,False,False,False,False
West Virginia,5824,6587.0,,11250.9,5748.0,4227.0,5345.9,8144.8,8546.7,19444.1,763.0,,5426.9,-76.0,-1597.0,-478.1,2320.8,2722.7,13620.1,,False,True,False,True,False,False,False
Wisconsin,39121,32368.0,,40872.8,11915.0,39030.0,24965.2,39529.5,20750.8,53448.8,-6753.0,,1751.8,-27206.0,-91.0,-14155.8,408.5,-18370.2,14327.8,,True,False,True,False,True,False,False
Wyoming,1972,1631.0,,3467.4,985.0,1273.0,896.4,1530.3,1591.8,1467.1,-341.0,,1495.4,-987.0,-699.0,-1075.6,-441.7,-380.2,-504.9,,False,False,False,False,False,False,False
US,2707372,2832788.0,2894743.0,4090758.7,2194776.0,3782923.0,1744589.1,3394032.3,2044542.0,3960434.9,125416.0,187371.0,1383386.7,-512596.0,1075551.0,-962782.9,686660.3,-662830.0,1253062.9,False,False,False,False,False,False,False,False
