,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01089,4048,5320.0,6138.1,,,,6982.0,21832.9,4344.7,10558.1,,,1272.0,2090.1,,,,2934.0,17784.9,296.7,6510.1,,,False,,,,False,False,True,False,,
01091,273,350.0,,,,,492.0,141.1,93.7,,,,77.0,,,,,219.0,-131.9,-179.3,,,,,,,,False,False,False,,,
01093,434,392.0,,,,,256.0,766.3,156.9,,,,-42.0,,,,,-178.0,332.3,-277.1,,,,,,,,False,False,False,,,
01095,1549,1568.0,2329.1,,,,4331.0,1787.7,790.5,1174.6,,,19.0,780.1,,,,2782.0,238.7,-758.5,-374.4,,,False,,,,False,False,False,False,,
01097,7168,5236.0,1806.7,,,,8692.0,9053.0,1922.5,10571.0,,,-1932.0,-5361.3,,,,1524.0,1885.0,-5245.5,3403.0,,,False,,,,True,True,False,False,,
01099,202,147.0,,,,,397.0,18.2,141.3,,,,-55.0,,,,,195.0,-183.8,-60.7,,,,,,,,False,False,False,,,
01101,3230,2863.0,2748.7,,,,6191.0,1221.3,1103.3,1607.0,,,-367.0,-481.3,,,,2961.0,-2008.7,-2126.7,-1623.0,,,False,,,,False,False,False,False,,
01103,1508,1386.0,2461.6,,,,3671.0,1274.0,785.3,,,,-122.0,953.6,,,,2163.0,-234.0,-722.7,,,,False,,,,False,False,False,,,
01105,242,462.0,,,,,38.0,916.8,50.2,,,,220.0,,,,,-204.0,674.8,-191.8,,,,,,,,True,False,True,,,
01107,257,294.0,,,,,135.0,292.8,155.2,,,,37.0,,,,,-122.0,35.8,-101.8,,,,,,,,False,True,False,,,
01109,346,364.0,,,,,1585.0,38.3,151.0,,,,18.0,,,,,1239.0,-307.7,-195.0,,,,,,,,False,False,False,,,
01111,203,406.0,,,,,217.0,296.8,119.8,,,,203.0,,,,,14.0,93.8,-83.2,,,,,,,,True,True,True,,,
01113,863,910.0,915.8,,,,663.0,792.9,458.5,,,,47.0,52.8,,,,-200.0,-70.1,-404.5,,,,False,,,,False,False,False,,,
01115,1113,1029.0,742.2,,,,832.0,2158.9,836.6,,,,-84.0,-370.8,,,,-281.0,1045.9,-276.4,,,,False,,,,False,False,False,,,
01117,2283,2905.0,2484.6,,,,4663.0,4544.6,1652.5,3443.6,,,622.0,201.6,,,,2380.0,2261.6,-630.5,1160.6,,,True,,,,False,False,False,False,,
01119,109,49.0,,,,,125.0,2.7,10.2,,,,-60.0,,,,,16.0,-106.3,-98.8,,,,,,,,True,False,False,,,
01121,908,602.0,669.2,,,,905.0,723.6,623.6,967.1,,,-306.0,-238.8,,,,-3.0,-184.4,-284.4,59.1,,,True,,,,True,True,True,True,,
01123,306,280.0,,,,,608.0,102.7,108.4,,,,-26.0,,,,,302.0,-203.3,-197.6,,,,,,,,False,False,False,,,
01125,2448,2842.0,3951.3,,,,6818.0,2871.6,1210.4,2849.2,,,394.0,1503.3,,,,4370.0,423.6,-1237.6,401.2,,,False,,,,False,False,False,False,,
01127,747,1029.0,596.1,,,,2088.0,257.3,382.5,1784.6,,,282.0,-150.9,,,,1341.0,-489.7,-364.5,1037.6,,,True,,,,False,False,False,False,,
01129,356,252.0,,,,,300.0,69.9,59.0,,,,-104.0,,,,,-56.0,-286.1,-297.0,,,,,,,,True,False,False,,,
01131,175,91.0,,,,,75.0,13.4,36.5,,,,-84.0,,,,,-100.0,-161.6,-138.5,,,,,,,,False,False,False,,,
01133,243,294.0,,,,,316.0,223.3,194.2,,,,51.0,,,,,73.0,-19.7,-48.8,,,,,,,,False,True,True,,,
02013,2,0.0,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,
02016,87,7.0,,,,,,,,,,,-80.0,,,,,,,,,,,,,,,,,,,,
02020,2402,1022.0,860.4,,,,,854.2,1289.8,868.7,,,-1380.0,-1541.6,,,,,-1547.8,-1112.2,-1533.3,,,False,,,,,False,True,False,,
02050,44,14.0,,,,,,3.1,,,,,-30.0,,,,,,-40.9,,,,,,,,,,False,,,,
02060,0,21.0,,,,,,0.5,,,,,21.0,,,,,,0.5,,,,,,,,,,True,,,,
02068,4,0.0,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,,,,
02070,5,0.0,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,,,,
02090,429,420.0,83.0,,,,,2148.0,246.6,,,,-9.0,-346.0,,,,,1719.0,-182.4,,,,False,,,,,False,False,,,
02100,2,0.0,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,
02105,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
02110,205,21.0,,,,,,20.8,,,,,-184.0,,,,,,-184.2,,,,,,,,,,False,,,,
02122,376,217.0,439.6,,,,,69.7,255.2,,,,-159.0,63.6,,,,,-306.3,-120.8,,,,True,,,,,False,True,,,
02130,29,7.0,,,,,,4.0,,,,,-22.0,,,,,,-25.0,,,,,,,,,,False,,,,
02150,47,0.0,,,,,,0.4,,,,,-47.0,,,,,,-46.6,,,,,,,,,,True,,,,
02158,6,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
02164,17,0.0,,,,,,,,,,,-17.0,,,,,,,,,,,,,,,,,,,,
02170,349,140.0,305.2,,,,,253.9,294.0,,,,-209.0,-43.8,,,,,-95.1,-55.0,,,,True,,,,,True,True,,,
02180,25,21.0,,,,,,1.7,,,,,-4.0,,,,,,-23.3,,,,,,,,,,False,,,,
02185,40,0.0,,,,,,0.2,,,,,-40.0,,,,,,-39.8,,,,,,,,,,True,,,,
02188,60,7.0,,,,,,0.6,,,,,-53.0,,,,,,-59.4,,,,,,,,,,False,,,,
02195,3,7.0,,,,,,0.7,,,,,4.0,,,,,,-2.3,,,,,,,,,,True,,,,
02198,21,0.0,,,,,,0.2,,,,,-21.0,,,,,,-20.8,,,,,,,,,,True,,,,
02220,35,0.0,,,,,,1.8,,,,,-35.0,,,,,,-33.2,,,,,,,,,,True,,,,
02230,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
02240,10,0.0,,,,,,1.0,,,,,-10.0,,,,,,-9.0,,,,,,,,,,True,,,,
02261,94,14.0,,,,,,1.0,,,,,-80.0,,,,,,-93.0,,,,,,,,,,False,,,,
02275,9,0.0,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,
02282,21,0.0,,,,,,,,,,,-21.0,,,,,,,,,,,,,,,,,,,,
02290,66,21.0,,,,,,3.5,,,,,-45.0,,,,,,-62.5,,,,,,,,,,False,,,,
04001,791,896.0,2470.6,,,,812.0,250.5,94.8,1248.1,,,105.0,1679.6,,,,21.0,-540.5,-696.2,457.1,,,False,,,,True,False,False,False,,
04003,801,1960.0,1657.2,,,,1236.0,702.5,936.8,,,,1159.0,856.2,,,,435.0,-98.5,135.8,,,,True,,,,True,True,True,,,
04005,893,2240.0,2284.7,,,,3420.0,1571.8,613.5,4065.0,,,1347.0,1391.7,,,,2527.0,678.8,-279.5,3172.0,,,False,,,,False,True,True,False,,
04007,679,728.0,507.1,,,,446.0,938.3,310.4,,,,49.0,-171.9,,,,-233.0,259.3,-368.6,,,,False,,,,False,False,False,,,
04009,520,518.0,,,,,189.0,189.5,240.4,,,,-2.0,,,,,-331.0,-330.5,-279.6,,,,,,,,False,False,False,,,
04011,32,98.0,,,,,157.0,6.2,,,,,66.0,,,,,125.0,-25.8,,,,,,,,,False,True,,,,
04012,103,287.0,,,,,522.0,40.7,79.6,,,,184.0,,,,,419.0,-62.3,-23.4,,,,,,,,False,True,True,,,
04013,54908,130564.0,235943.6,,,,158892.0,127724.0,55889.8,90756.4,,,75656.0,181035.6,,,,103984.0,72816.0,981.8,35848.4,,,False,,,,False,True,True,True,,
04015,1838,2807.0,4635.6,,,,3349.0,2894.6,1591.6,7111.1,,,969.0,2797.6,,,,1511.0,1056.6,-246.4,5273.1,,,False,,,,False,False,True,False,,
04017,1317,3017.0,4807.8,,,,2003.0,2096.4,976.6,3104.2,,,1700.0,3490.8,,,,686.0,779.4,-340.4,1787.2,,,False,,,,True,True,True,False,,
04019,9698,14910.0,42712.9,,,,16040.0,13610.6,6994.4,13944.1,,,5212.0,33014.9,,,,6342.0,3912.6,-2703.6,4246.1,,,False,,,,False,True,True,True,,
04021,4011,8932.0,14627.5,,,,5532.0,10693.6,3208.9,5238.0,,,4921.0,10616.5,,,,1521.0,6682.6,-802.1,1227.0,,,False,,,,True,False,True,True,,
04023,593,1610.0,,,,,3180.0,332.4,95.5,,,,1017.0,,,,,2587.0,-260.6,-497.5,,,,,,,,False,True,True,,,
04025,1205,1407.0,3386.8,,,,1809.0,1753.2,1576.0,968.3,,,202.0,2181.8,,,,604.0,548.2,371.0,-236.7,,,False,,,,False,False,False,False,,
04027,4072,7567.0,13008.9,,,,896.0,1864.4,3150.0,2360.1,,,3495.0,8936.9,,,,-3176.0,-2207.6,-922.0,-1711.9,,,False,,,,True,True,True,True,,
05001,222,133.0,,,,,70.0,46.6,,,,,-89.0,,,,,-152.0,-175.4,,,,,,,,,False,False,,,,
05003,292,119.0,,,,,213.0,74.6,,,,,-173.0,,,,,-79.0,-217.4,,,,,,,,,True,False,,,,
05005,105,35.0,,,,,60.0,7.6,,,,,-70.0,,,,,-45.0,-97.4,,,,,,,,,True,False,,,,
05007,1897,3185.0,5044.3,,,,3036.0,1372.1,1186.4,3099.2,,,1288.0,3147.3,,,,1139.0,-524.9,-710.6,1202.2,,,False,,,,True,True,True,True,,
05009,270,119.0,,,,,312.0,46.8,,,,,-151.0,,,,,42.0,-223.2,,,,,,,,,True,False,,,,
05011,214,133.0,,,,,169.0,53.5,,,,,-81.0,,,,,-45.0,-160.5,,,,,,,,,True,False,,,,
05013,23,0.0,,,,,0.0,,,,,,-23.0,,,,,-23.0,,,,,,,,,,False,,,,,
05015,234,266.0,,,,,186.0,125.2,205.8,,,,32.0,,,,,-48.0,-108.8,-28.2,,,,,,,,False,False,True,,,
05017,751,357.0,,,,,298.0,51.8,106.7,,,,-394.0,,,,,-453.0,-699.2,-644.3,,,,,,,,False,False,False,,,
05019,156,119.0,,,,,242.0,27.6,,,,,-37.0,,,,,86.0,-128.4,,,,,,,,,False,False,,,,
05021,98,105.0,,,,,77.0,139.3,,,,,7.0,,,,,-21.0,41.3,,,,,,,,,False,False,,,,
05023,126,140.0,,,,,261.0,58.8,48.6,,,,14.0,,,,,135.0,-67.2,-77.4,,,,,,,,False,False,False,,,
05025,100,42.0,,,,,52.0,8.0,,,,,-58.0,,,,,-48.0,-92.0,,,,,,,,,True,False,,,,
05027,184,126.0,,,,,296.0,30.4,111.5,,,,-58.0,,,,,112.0,-153.6,-72.5,,,,,,,,False,False,False,,,
05029,112,140.0,,,,,362.0,158.8,,,,,28.0,,,,,250.0,46.8,,,,,,,,,False,False,,,,
05031,1288,483.0,470.8,,,,1730.0,121.6,264.5,686.1,,,-805.0,-817.2,,,,442.0,-1166.4,-1023.5,-601.9,,,False,,,,True,False,False,True,,
05033,640,434.0,1256.4,,,,2371.0,266.2,569.7,,,,-206.0,616.4,,,,1731.0,-373.8,-70.3,,,,False,,,,False,False,True,,,
05035,802,469.0,,,,,1282.0,129.8,167.3,,,,-333.0,,,,,480.0,-672.2,-634.7,,,,,,,,False,False,False,,,
05037,171,49.0,,,,,286.0,11.2,,,,,-122.0,,,,,115.0,-159.8,,,,,,,,,True,False,,,,
05039,106,0.0,,,,,30.0,6.6,,,,,-106.0,,,,,-76.0,-99.4,,,,,,,,,True,True,,,,
05041,158,140.0,,,,,152.0,88.3,,,,,-18.0,,,,,-6.0,-69.7,,,,,,,,,True,False,,,,
05043,215,112.0,,,,,185.0,150.6,,,,,-103.0,,,,,-30.0,-64.4,,,,,,,,,True,True,,,,
05045,892,1351.0,2827.0,,,,1590.0,2052.6,1142.3,,,,459.0,1935.0,,,,698.0,1160.6,250.3,,,,False,,,,False,False,True,,,
05047,130,28.0,,,,,411.0,45.1,,,,,-102.0,,,,,281.0,-84.9,,,,,,,,,False,True,,,,
05049,50,14.0,,,,,38.0,8.1,,,,,-36.0,,,,,-12.0,-41.9,,,,,,,,,True,False,,,,
05051,1080,301.0,137.1,,,,1833.0,323.4,432.5,,,,-779.0,-942.9,,,,753.0,-756.6,-647.5,,,,False,,,,True,True,True,,,
05053,130,56.0,,,,,63.0,93.4,,,,,-74.0,,,,,-67.0,-36.6,,,,,,,,,True,True,,,,
05055,478,182.0,,,,,339.0,108.5,221.5,,,,-296.0,,,,,-139.0,-369.5,-256.5,,,,,,,,True,False,True,,,
05057,253,112.0,,,,,210.0,122.0,,,,,-141.0,,,,,-43.0,-131.0,,,,,,,,,True,True,,,,
05059,500,4410.0,,,,,993.0,3792.9,926.3,,,,3910.0,,,,,493.0,3292.9,426.3,,,,,,,,True,True,True,,,
05061,286,245.0,,,,,420.0,163.6,118.7,,,,-41.0,,,,,134.0,-122.4,-167.3,,,,,,,,False,False,False,,,
05063,684,77.0,,,,,629.0,48.2,,,,,-607.0,,,,,-55.0,-635.8,,,,,,,,,True,False,,,,
05065,77,14.0,,,,,61.0,6.4,,,,,-63.0,,,,,-16.0,-70.6,,,,,,,,,True,False,,,,
05067,143,63.0,,,,,323.0,90.1,,,,,-80.0,,,,,180.0,-52.9,,,,,,,,,False,True,,,,
05069,1232,791.0,236.8,,,,862.0,701.3,107.1,709.1,,,-441.0,-995.2,,,,-370.0,-530.7,-1124.9,-522.9,,,False,,,,True,False,False,False,,
05071,390,658.0,,,,,1232.0,400.4,261.3,,,,268.0,,,,,842.0,10.4,-128.7,,,,,,,,False,True,True,,,
05073,42,21.0,,,,,8.0,10.3,,,,,-21.0,,,,,-34.0,-31.7,,,,,,,,,False,False,,,,
05075,136,91.0,,,,,183.0,9.2,23.6,,,,-45.0,,,,,47.0,-126.8,-112.4,,,,,,,,False,False,False,,,
05077,176,189.0,,,,,208.0,21.3,45.0,,,,13.0,,,,,32.0,-154.7,-131.0,,,,,,,,False,False,False,,,
05079,522,49.0,,,,,264.0,5.0,2.3,,,,-473.0,,,,,-258.0,-517.0,-519.7,,,,,,,,True,False,False,,,
05081,234,14.0,,,,,151.0,88.6,,,,,-220.0,,,,,-83.0,-145.4,,,,,,,,,True,True,,,,
05083,288,133.0,,,,,716.0,148.7,,,,,-155.0,,,,,428.0,-139.3,,,,,,,,,False,True,,,,
05085,511,210.0,358.2,,,,576.0,59.0,432.4,,,,-301.0,-152.8,,,,65.0,-452.0,-78.6,,,,True,,,,True,False,True,,,
05087,74,154.0,,,,,251.0,9.6,111.6,,,,80.0,,,,,177.0,-64.4,37.6,,,,,,,,False,True,True,,,
05089,32,7.0,,,,,49.0,6.2,,,,,-25.0,,,,,17.0,-25.8,,,,,,,,,True,False,,,,
05091,351,875.0,,,,,1188.0,82.5,390.9,,,,524.0,,,,,837.0,-268.5,39.9,,,,,,,,False,True,True,,,
05093,1041,714.0,,,,,919.0,2174.8,477.7,,,,-327.0,,,,,-122.0,1133.8,-563.3,,,,,,,,True,False,False,,,
05095,74,28.0,,,,,21.0,13.4,,,,,-46.0,,,,,-53.0,-60.6,,,,,,,,,False,False,,,,
05097,87,21.0,,,,,39.0,0.8,,,,,-66.0,,,,,-48.0,-86.2,,,,,,,,,True,False,,,,
05099,54,35.0,,,,,103.0,1.3,25.7,,,,-19.0,,,,,49.0,-52.7,-28.3,,,,,,,,False,False,False,,,
05101,112,0.0,,,,,58.0,2.4,,,,,-112.0,,,,,-54.0,-109.6,,,,,,,,,True,True,,,,
05103,115,84.0,,,,,150.0,21.7,,,,,-31.0,,,,,35.0,-93.3,,,,,,,,,False,False,,,,
05105,31,0.0,,,,,51.0,27.4,,,,,-31.0,,,,,20.0,-3.6,,,,,,,,,True,True,,,,
05107,225,119.0,,,,,439.0,35.8,67.1,,,,-106.0,,,,,214.0,-189.2,-157.9,,,,,,,,False,False,False,,,
05109,153,91.0,,,,,71.0,4.2,,,,,-62.0,,,,,-82.0,-148.8,,,,,,,,,False,False,,,,
05111,406,77.0,,,,,237.0,18.9,,,,,-329.0,,,,,-169.0,-387.1,,,,,,,,,True,False,,,,
05113,137,70.0,,,,,476.0,79.3,,,,,-67.0,,,,,339.0,-57.7,,,,,,,,,False,True,,,,
05115,1075,1155.0,2089.4,,,,1307.0,762.2,515.4,,,,80.0,1014.4,,,,232.0,-312.8,-559.6,,,,False,,,,False,False,False,,,
05117,86,49.0,,,,,60.0,20.9,,,,,-37.0,,,,,-26.0,-65.1,,,,,,,,,True,False,,,,
05119,4105,3787.0,3918.0,,,,4062.0,4239.4,2781.1,4444.6,,,-318.0,-187.0,,,,-43.0,134.4,-1323.9,339.6,,,True,,,,True,True,False,False,,
05121,233,147.0,,,,,116.0,61.5,,,,,-86.0,,,,,-117.0,-171.5,,,,,,,,,False,False,,,,
05123,440,154.0,,,,,847.0,8.4,15.5,,,,-286.0,,,,,407.0,-431.6,-424.5,,,,,,,,False,False,False,,,
05125,1089,847.0,728.4,,,,1321.0,616.6,940.9,,,,-242.0,-360.6,,,,232.0,-472.4,-148.1,,,,False,,,,True,False,True,,,
05127,70,28.0,,,,,149.0,11.3,,,,,-42.0,,,,,79.0,-58.7,,,,,,,,,False,False,,,,
05129,81,28.0,,,,,25.0,2.4,,,,,-53.0,,,,,-56.0,-78.6,,,,,,,,,False,False,,,,
05131,2036,1603.0,2007.8,,,,13140.0,1533.6,1154.5,,,,-433.0,-28.2,,,,11104.0,-502.4,-881.5,,,,True,,,,False,False,False,,,
05133,353,476.0,,,,,1587.0,87.9,42.4,,,,123.0,,,,,1234.0,-265.1,-310.6,,,,,,,,False,False,False,,,
05135,91,42.0,,,,,51.0,21.9,,,,,-49.0,,,,,-40.0,-69.1,,,,,,,,,True,False,,,,
05137,169,28.0,,,,,25.0,3.7,,,,,-141.0,,,,,-144.0,-165.3,,,,,,,,,False,False,,,,
05139,416,147.0,,,,,614.0,42.0,66.8,,,,-269.0,,,,,198.0,-374.0,-349.2,,,,,,,,True,False,False,,,
05141,81,14.0,,,,,40.0,6.6,,,,,-67.0,,,,,-41.0,-74.4,,,,,,,,,True,False,,,,
05143,2394,3668.0,11220.9,,,,8081.0,897.4,1253.6,1070.8,,,1274.0,8826.9,,,,5687.0,-1496.6,-1140.4,-1323.2,,,False,,,,False,False,True,False,,
05145,393,245.0,100.2,,,,956.0,652.1,239.9,,,,-148.0,-292.8,,,,563.0,259.1,-153.1,,,,False,,,,False,False,False,,,
05147,16,28.0,,,,,55.0,6.3,,,,,12.0,,,,,39.0,-9.7,,,,,,,,,False,True,,,,
05149,313,1036.0,,,,,841.0,194.2,427.1,,,,723.0,,,,,528.0,-118.8,114.1,,,,,,,,True,True,True,,,
06001,10122,8183.0,6966.4,,,,15115.0,4945.2,8837.1,5271.6,,,-1939.0,-3155.6,,,,4993.0,-5176.8,-1284.9,-4850.4,,,False,,,,False,False,True,False,,
06003,0,0.0,,,,,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,True,False,,,,
06005,238,63.0,,,,,162.0,5.5,,,,,-175.0,,,,,-76.0,-232.5,,,,,,,,,True,False,,,,
06007,1548,924.0,840.1,,,,2364.0,199.7,1624.7,,,,-624.0,-707.9,,,,816.0,-1348.3,76.7,,,,False,,,,False,False,True,,,
06009,169,98.0,,,,,224.0,13.8,,,,,-71.0,,,,,55.0,-155.2,,,,,,,,,True,False,,,,
06011,331,301.0,,,,,340.0,263.5,247.4,,,,-30.0,,,,,9.0,-67.5,-83.6,,,,,,,,True,False,False,,,
06013,9094,7287.0,9200.9,,,,12210.0,5549.0,12283.6,10552.2,,,-1807.0,106.9,,,,3116.0,-3545.0,3189.6,1458.2,,,True,,,,False,False,False,True,,
06015,62,14.0,,,,,144.0,6.4,,,,,-48.0,,,,,82.0,-55.6,,,,,,,,,False,False,,,,
