,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,333,345.0,,364.4,,289.0,240.0,,,,,328.5,,221.8,241.0,257.0,,321.9,519.2,,,,,,12.0,,31.4,,-44.0,-93.0,,,,,-4.5,,-111.2,-92.0,-76.0,,-11.1,186.2,,,,,,,False,,False,False,,,,,True,,False,False,False,,True,False,,,,,
01023,38,30.0,,29.2,,29.0,43.0,,,,,42.1,,7.8,28.9,67.0,,28.9,33.6,,,,,,-8.0,,-8.8,,-9.0,5.0,,,,,4.1,,-30.2,-9.1,29.0,,-9.1,-4.4,,,,,,,False,,False,True,,,,,True,,False,False,False,,False,True,,,,,
01025,298,549.0,,527.5,,420.0,373.0,,,,,147.1,,1242.7,211.4,391.0,,47.1,465.5,,,,,,251.0,,229.5,,122.0,75.0,,,,,-150.9,,944.7,-86.6,93.0,,-250.9,167.5,,,,,,,True,,True,True,,,,,True,,False,True,True,,True,True,,,,,
01027,112,156.0,,155.6,,142.0,182.0,,,,,96.6,,73.4,122.3,101.0,,167.6,105.7,,,,,,44.0,,43.6,,30.0,70.0,,,,,-15.4,,-38.6,10.3,-11.0,,55.6,-6.3,,,,,,,True,,True,False,,,,,True,,True,True,True,,False,True,,,,,
01029,96,42.0,,46.9,,28.0,42.0,,,,,52.4,,4.5,24.4,35.0,,13.5,33.8,,,,,,-54.0,,-49.1,,-68.0,-54.0,,,,,-43.6,,-91.5,-71.6,-61.0,,-82.5,-62.2,,,,,,,True,,False,False,,,,,True,,False,False,False,,False,False,,,,,
01031,270,183.0,282.8,164.2,,152.0,113.0,,,,,253.0,,118.9,146.9,213.0,,89.0,146.8,,,,,,-87.0,12.8,-105.8,,-118.0,-157.0,,,,,-17.0,,-151.1,-123.1,-57.0,,-181.1,-123.2,,,,,,True,False,,False,False,,,,,True,,False,False,True,,False,False,,,,,
01033,248,363.0,635.5,418.2,,308.0,268.0,,,,,333.7,,200.4,261.9,339.0,,310.7,378.3,,,,,,115.0,387.5,170.2,,60.0,20.0,,,,,85.7,,-47.6,13.9,91.0,,62.7,130.3,,,,,,False,False,,True,True,,,,,True,,True,True,True,,True,False,,,,,
01035,66,75.0,,79.4,,69.0,72.0,,,,,90.2,,34.0,68.3,102.0,,40.2,52.6,,,,,,9.0,,13.4,,3.0,6.0,,,,,24.2,,-32.0,2.3,36.0,,-25.8,-13.4,,,,,,,False,,True,True,,,,,False,,False,True,False,,False,False,,,,,
01037,26,36.0,,38.7,,28.0,29.0,,,,,33.8,,20.4,21.2,30.0,,28.5,42.0,,,,,,10.0,,12.7,,2.0,3.0,,,,,7.8,,-5.6,-4.8,4.0,,2.5,16.0,,,,,,,False,,True,True,,,,,True,,True,True,True,,True,False,,,,,
01039,211,150.0,,157.9,,104.0,91.0,,,,,300.1,,29.4,86.2,179.0,,53.4,106.3,,,,,,-61.0,,-53.1,,-107.0,-120.0,,,,,89.1,,-181.6,-124.8,-32.0,,-157.6,-104.7,,,,,,,True,,False,False,,,,,False,,False,False,True,,False,False,,,,,
01041,122,105.0,,112.5,,92.0,123.0,,,,,56.3,,33.1,79.0,101.0,,71.3,108.7,,,,,,-17.0,,-9.5,,-30.0,1.0,,,,,-65.7,,-88.9,-43.0,-21.0,,-50.7,-13.3,,,,,,,True,,False,True,,,,,False,,False,False,False,,False,True,,,,,
01043,312,390.0,953.0,420.1,,382.0,371.0,,,,,548.6,,132.0,247.4,342.0,,353.4,433.9,,,,,,78.0,641.0,108.1,,70.0,59.0,,,,,236.6,,-180.0,-64.6,30.0,,41.4,121.9,,,,,,False,False,,True,True,,,,,False,,False,True,True,,True,False,,,,,
01045,229,192.0,,250.9,,175.0,75.0,,,,,325.6,,112.7,159.8,224.0,,77.4,217.1,,,,,,-37.0,,21.9,,-54.0,-154.0,,,,,96.6,,-116.3,-69.2,-5.0,,-151.6,-11.9,,,,,,,True,,False,False,,,,,False,,False,False,True,,False,True,,,,,
01047,196,159.0,,165.2,,141.0,117.0,,,,,170.8,,49.2,138.5,308.0,,189.0,115.2,,,,,,-37.0,,-30.8,,-55.0,-79.0,,,,,-25.2,,-146.8,-57.5,112.0,,-7.0,-80.8,,,,,,,True,,False,False,,,,,True,,False,False,False,,True,False,,,,,
01049,274,444.0,751.1,460.8,,430.0,432.0,,,,,537.2,,310.8,346.0,496.0,,317.8,363.2,,,,,,170.0,477.1,186.8,,156.0,158.0,,,,,263.2,,36.8,72.0,222.0,,43.8,89.2,,,,,,False,False,,True,True,,,,,False,,True,True,False,,True,True,,,,,
01051,390,459.0,874.3,463.8,,407.0,290.0,,,,,410.1,,278.9,325.1,486.0,,424.0,428.4,,,,,,69.0,484.3,73.8,,17.0,-100.0,,,,,20.1,,-111.1,-64.9,96.0,,34.0,38.4,,,,,,False,False,,True,False,,,,,True,,False,True,False,,True,True,,,,,
01053,216,369.0,,408.0,,264.0,254.0,,,,,436.2,,208.1,255.8,338.0,,63.0,241.9,,,,,,153.0,,192.0,,48.0,38.0,,,,,220.2,,-7.9,39.8,122.0,,-153.0,25.9,,,,,,,False,,True,True,,,,,False,,True,True,True,,True,True,,,,,
01055,605,660.0,1188.7,660.2,,569.0,481.0,,,,,1041.7,,546.5,431.3,646.0,,471.6,497.2,,,,,,55.0,583.7,55.2,,-36.0,-124.0,,,,,436.7,,-58.5,-173.7,41.0,,-133.4,-107.8,,,,,,False,False,,True,False,,,,,False,,False,False,True,,False,False,,,,,
01057,100,111.0,,105.8,,98.0,166.0,,,,,115.3,,101.2,94.0,83.0,,66.8,83.7,,,,,,11.0,,5.8,,-2.0,66.0,,,,,15.3,,1.2,-6.0,-17.0,,-33.2,-16.3,,,,,,,True,,True,False,,,,,False,,True,True,False,,False,False,,,,,
01059,254,315.0,,320.0,,288.0,392.0,,,,,81.3,,153.8,243.8,347.0,,321.5,264.0,,,,,,61.0,,66.0,,34.0,138.0,,,,,-172.7,,-100.2,-10.2,93.0,,67.5,10.0,,,,,,,False,,True,False,,,,,False,,False,True,False,,False,True,,,,,
01061,147,123.0,,120.0,,120.0,128.0,,,,,203.0,,28.0,87.9,86.0,,124.1,76.5,,,,,,-24.0,,-27.0,,-27.0,-19.0,,,,,56.0,,-119.0,-59.1,-61.0,,-22.9,-70.5,,,,,,,False,,False,True,,,,,False,,False,False,False,,True,False,,,,,
01063,31,33.0,,31.3,,25.0,21.0,,,,,28.2,,6.6,21.8,60.0,,33.0,28.3,,,,,,2.0,,0.3,,-6.0,-10.0,,,,,-2.8,,-24.4,-9.2,29.0,,2.0,-2.7,,,,,,,True,,False,False,,,,,False,,False,False,False,,True,False,,,,,
01065,67,75.0,,82.1,,73.0,72.0,,,,,53.3,,19.4,66.7,116.0,,75.6,80.7,,,,,,8.0,,15.1,,6.0,5.0,,,,,-13.7,,-47.6,-0.3,49.0,,8.6,13.7,,,,,,,False,,True,True,,,,,False,,False,True,False,,False,False,,,,,
01067,90,63.0,,68.2,,52.0,63.0,,,,,78.4,,23.1,64.1,73.0,,32.5,39.6,,,,,,-27.0,,-21.8,,-38.0,-27.0,,,,,-11.6,,-66.9,-25.9,-17.0,,-57.5,-50.4,,,,,,,True,,False,False,,,,,True,,False,True,True,,False,False,,,,,
01069,596,333.0,972.2,365.3,,333.0,140.0,,,,,566.9,,173.8,253.7,370.0,,100.0,1206.7,,,,,,-263.0,376.2,-230.7,,-263.0,-456.0,,,,,-29.1,,-422.2,-342.3,-226.0,,-495.9,610.7,,,,,,False,True,,False,False,,,,,True,,False,False,True,,False,False,,,,,
01071,294,555.0,716.3,577.3,,486.0,1075.0,,,,,467.6,,444.1,437.8,390.0,,386.9,458.6,,,,,,261.0,422.3,283.3,,192.0,781.0,,,,,173.6,,150.1,143.8,96.0,,92.9,164.6,,,,,,False,False,,True,False,,,,,True,,True,True,True,,True,True,,,,,
01073,2957,4512.0,5983.7,4421.0,3844.9,4146.0,6216.0,,,,,4303.9,,4253.3,3276.9,4068.0,,4145.9,3744.4,3269.0,,,,,1555.0,3026.7,1464.0,887.9,1189.0,3259.0,,,,,1346.9,,1296.3,319.9,1111.0,,1188.9,787.4,312.0,,,,,False,True,True,True,False,,,,,True,,True,True,True,,True,True,True,,,,
01075,58,87.0,,96.1,,68.0,103.0,,,,,89.9,,40.8,73.2,73.0,,58.0,49.2,,,,,,29.0,,38.1,,10.0,45.0,,,,,31.9,,-17.2,15.2,15.0,,0.0,-8.8,,,,,,,False,,True,False,,,,,False,,True,True,True,,True,True,,,,,
01077,254,387.0,718.5,359.3,,356.0,312.0,,,,,622.7,,214.2,272.2,345.0,,251.0,367.0,,,,,,133.0,464.5,105.3,,102.0,58.0,,,,,368.7,,-39.8,18.2,91.0,,-3.0,113.0,,,,,,False,True,,True,True,,,,,False,,True,True,True,,True,True,,,,,
01079,118,150.0,,143.2,,144.0,138.0,,,,,217.3,,52.2,102.4,117.0,,175.4,231.7,,,,,,32.0,,25.2,,26.0,20.0,,,,,99.3,,-65.8,-15.6,-1.0,,57.4,113.7,,,,,,,True,,True,True,,,,,False,,False,True,True,,False,False,,,,,
01081,1564,615.0,1677.0,556.4,,558.0,672.0,,,,,963.1,,556.5,473.4,735.0,,450.3,473.5,429.0,,,,,-949.0,113.0,-1007.6,,-1006.0,-892.0,,,,,-600.9,,-1007.5,-1090.6,-829.0,,-1113.7,-1090.5,-1135.0,,,,,True,False,,False,True,,,,,True,,False,False,True,,False,False,False,,,,
01083,330,489.0,1083.7,497.2,,471.0,484.0,,,,,538.5,,431.8,428.8,426.0,,273.4,520.5,,,,,,159.0,753.7,167.2,,141.0,154.0,,,,,208.5,,101.8,98.8,96.0,,-56.6,190.5,,,,,,False,False,,True,True,,,,,False,,True,True,True,,True,False,,,,,
01085,37,78.0,,77.7,,37.0,19.0,,,,,21.6,,11.8,57.4,138.0,,29.8,51.1,,,,,,41.0,,40.7,,0.0,-18.0,,,,,-15.4,,-25.2,20.4,101.0,,-7.2,14.1,,,,,,,True,,True,True,,,,,True,,True,True,False,,True,True,,,,,
01087,84,90.0,,84.0,,74.0,66.0,,,,,95.8,,25.2,65.2,99.0,,90.5,91.1,,,,,,6.0,,-0.0,,-10.0,-18.0,,,,,11.8,,-58.8,-18.8,15.0,,6.5,7.1,,,,,,,True,,False,False,,,,,False,,False,False,False,,False,False,,,,,
01089,968,1491.0,3667.8,1165.5,1379.9,1211.0,1107.0,,,,,2862.5,,1129.8,1000.7,1487.0,,432.6,1528.4,864.0,,,,,523.0,2699.8,197.5,411.9,243.0,139.0,,,,,1894.5,,161.8,32.7,519.0,,-535.4,560.4,-104.0,,,,,False,True,True,True,True,,,,,False,,True,True,True,,False,False,True,,,,
01091,81,141.0,,132.0,,107.0,113.0,,,,,84.2,,54.3,89.6,151.0,,101.3,186.4,,,,,,60.0,,51.0,,26.0,32.0,,,,,3.2,,-26.7,8.6,70.0,,20.3,105.4,,,,,,,True,,True,True,,,,,True,,True,True,False,,True,False,,,,,
01093,172,126.0,,117.2,,112.0,74.0,,,,,188.5,,62.7,99.8,152.0,,100.4,144.9,,,,,,-46.0,,-54.8,,-60.0,-98.0,,,,,16.5,,-109.3,-72.2,-20.0,,-71.6,-27.1,,,,,,,False,,False,False,,,,,True,,False,False,True,,False,True,,,,,
01095,387,756.0,1467.7,752.4,,660.0,690.0,,,,,799.9,,585.9,561.6,859.0,,631.5,509.3,,,,,,369.0,1080.7,365.4,,273.0,303.0,,,,,412.9,,198.9,174.6,472.0,,244.5,122.3,,,,,,False,True,,True,True,,,,,False,,True,True,False,,True,True,,,,,
01097,2167,4110.0,4306.1,3988.1,2944.6,3192.0,3427.0,,,,,2719.6,,2907.8,2509.9,2976.0,,2994.9,5333.4,2624.0,,,,,1943.0,2139.1,1821.1,777.6,1025.0,1260.0,,,,,552.6,,740.8,342.9,809.0,,827.9,3166.4,457.0,,,,,False,True,True,True,True,,,,,True,,True,True,True,,True,False,True,,,,
01099,69,102.0,,99.1,,86.0,70.0,,,,,131.0,,26.6,74.1,117.0,,113.5,82.1,,,,,,33.0,,30.1,,17.0,1.0,,,,,62.0,,-42.4,5.1,48.0,,44.5,13.1,,,,,,,True,,True,True,,,,,False,,False,True,False,,False,True,,,,,
01101,1104,1548.0,2802.9,1574.5,1253.8,1580.0,1702.0,,,,,799.6,,1765.8,2082.0,1980.0,,1358.5,1579.3,1818.0,,,,,444.0,1698.9,470.5,149.8,476.0,598.0,,,,,-304.4,,661.8,978.0,876.0,,254.5,475.3,714.0,,,,,False,False,True,False,False,,,,,True,,False,False,False,,True,False,False,,,,
01103,459,639.0,1126.0,607.4,,576.0,610.0,,,,,767.8,,414.8,471.1,673.0,,378.9,438.0,,,,,,180.0,667.0,148.4,,117.0,151.0,,,,,308.8,,-44.2,12.1,214.0,,-80.1,-21.0,,,,,,False,True,,True,True,,,,,False,,True,True,False,,True,True,,,,,
01105,43,63.0,,71.0,,53.0,61.0,,,,,79.2,,15.5,43.4,104.0,,20.1,52.0,,,,,,20.0,,28.0,,10.0,18.0,,,,,36.2,,-27.5,0.4,61.0,,-22.9,9.0,,,,,,,False,,True,True,,,,,False,,False,True,False,,False,True,,,,,
01107,151,99.0,,99.8,,91.0,81.0,,,,,93.4,,73.7,113.6,119.0,,166.8,66.9,,,,,,-52.0,,-51.2,,-60.0,-70.0,,,,,-57.6,,-77.3,-37.4,-32.0,,15.8,-84.1,,,,,,,True,,False,False,,,,,False,,False,True,True,,True,False,,,,,
01109,203,177.0,,166.5,,151.0,154.0,,,,,133.3,,68.6,148.7,197.0,,134.0,193.6,,,,,,-26.0,,-36.5,,-52.0,-49.0,,,,,-69.7,,-134.4,-54.3,-6.0,,-69.0,-9.4,,,,,,,False,,False,False,,,,,False,,False,False,True,,False,True,,,,,
01111,98,30.0,,33.2,,32.0,9.0,,,,,128.8,,15.6,45.6,95.0,,10.9,82.4,,,,,,-68.0,,-64.8,,-66.0,-89.0,,,,,30.8,,-82.4,-52.4,-3.0,,-87.1,-15.6,,,,,,,True,,True,False,,,,,True,,False,True,True,,False,True,,,,,
01113,219,519.0,692.5,487.9,,514.0,569.0,,,,,356.7,,351.2,333.4,432.0,,652.3,684.6,,,,,,300.0,473.5,268.9,,295.0,350.0,,,,,137.7,,132.2,114.4,213.0,,433.3,465.6,,,,,,False,True,,True,False,,,,,True,,True,True,True,,False,False,,,,,
01115,393,477.0,891.3,486.4,,457.0,424.0,,,,,684.2,,328.7,356.0,410.0,,460.0,374.5,,,,,,84.0,498.3,93.4,,64.0,31.0,,,,,291.2,,-64.3,-37.0,17.0,,67.0,-18.5,,,,,,False,False,,True,True,,,,,False,,True,True,True,,True,True,,,,,
01117,1029,918.0,2085.0,925.8,,848.0,890.0,,,,,1356.5,,743.8,623.1,925.0,,395.4,805.6,569.0,,,,,-111.0,1056.0,-103.2,,-181.0,-139.0,,,,,327.5,,-285.2,-405.9,-104.0,,-633.6,-223.4,-460.0,,,,,False,True,,False,False,,,,,False,,False,False,True,,False,False,False,,,,
01119,37,0.0,,0.0,,7.0,21.0,,,,,13.6,,0.2,12.4,,,10.4,12.5,,,,,,-37.0,,-37.0,,-30.0,-16.0,,,,,-23.4,,-36.8,-24.6,,,-26.6,-24.5,,,,,,,False,,True,True,,,,,True,,True,True,,,True,True,,,,,
01121,478,441.0,1104.3,431.2,,431.0,349.0,,,,,706.1,,323.0,347.5,329.0,,373.6,697.0,,,,,,-37.0,626.3,-46.8,,-47.0,-129.0,,,,,228.1,,-155.0,-130.5,-149.0,,-104.4,219.0,,,,,,False,False,,False,False,,,,,False,,False,False,False,,False,False,,,,,
01123,122,159.0,,171.9,,136.0,128.0,,,,,173.2,,63.1,120.6,221.0,,139.5,184.2,,,,,,37.0,,49.9,,14.0,6.0,,,,,51.2,,-58.9,-1.4,99.0,,17.5,62.2,,,,,,,False,,True,True,,,,,False,,False,True,False,,True,False,,,,,
01125,1623,1017.0,1054.9,1025.5,,860.0,1073.0,,,,,909.0,,716.6,654.0,1119.0,,892.6,768.2,820.0,,,,,-606.0,-568.1,-597.5,,-763.0,-550.0,,,,,-714.0,,-906.4,-969.0,-504.0,,-730.4,-854.8,-803.0,,,,,True,True,,False,True,,,,,False,,False,False,True,,False,False,False,,,,
01127,344,210.0,244.9,203.4,,175.0,100.0,,,,,298.6,,91.8,169.6,373.0,,85.2,150.3,,,,,,-134.0,-99.1,-140.6,,-169.0,-244.0,,,,,-45.4,,-252.2,-174.4,29.0,,-258.8,-193.7,,,,,,True,False,,False,False,,,,,True,,False,False,True,,False,False,,,,,
01129,123,246.0,,261.3,,174.0,213.0,,,,,123.0,,138.1,151.8,183.0,,24.9,196.8,,,,,,123.0,,138.3,,51.0,90.0,,,,,-0.0,,15.1,28.8,60.0,,-98.1,73.8,,,,,,,False,,True,True,,,,,True,,True,True,True,,True,True,,,,,
01131,72,78.0,,72.6,,66.0,62.0,,,,,41.4,,32.0,68.8,115.0,,78.8,61.0,,,,,,6.0,,0.6,,-6.0,-10.0,,,,,-30.6,,-40.0,-3.2,43.0,,6.8,-11.0,,,,,,,True,,False,False,,,,,False,,False,True,False,,False,False,,,,,
01133,111,72.0,,70.0,,72.0,61.0,,,,,150.2,,42.1,83.4,118.0,,114.2,49.2,,,,,,-39.0,,-41.0,,-39.0,-50.0,,,,,39.2,,-68.9,-27.6,7.0,,3.2,-61.8,,,,,,,False,,False,False,,,,,False,,False,True,True,,True,False,,,,,
02013,0,3.0,,3.3,,3.0,0.0,,,,,12.7,,,0.4,0.0,,0.4,,,,,,,3.0,,3.3,,3.0,0.0,,,,,12.7,,,0.4,0.0,,0.4,,,,,,,,False,,False,True,,,,,False,,,True,True,,True,,,,,,
02016,4,0.0,,0.0,,0.0,0.0,,,,,13.9,,,0.7,,,2.0,,,,,,,-4.0,,-4.0,,-4.0,-4.0,,,,,9.9,,,-3.3,,,-2.0,,,,,,,,False,,False,False,,,,,False,,,True,,,True,,,,,,
02020,894,993.0,1833.1,811.1,,861.0,488.0,,,,,2383.9,,618.8,790.1,877.0,,558.3,1561.4,916.0,,,,,99.0,939.1,-82.9,,-33.0,-406.0,,,,,1489.9,,-275.2,-103.9,-17.0,,-335.7,667.4,22.0,,,,,False,True,,True,False,,,,,False,,False,False,True,,False,False,True,,,,
02050,35,6.0,,6.2,,0.0,0.0,,,,,6.7,,0.7,0.8,,,4.7,,,,,,,-29.0,,-28.8,,-35.0,-35.0,,,,,-28.3,,-34.3,-34.2,,,-30.3,,,,,,,,True,,False,False,,,,,True,,False,False,,,False,,,,,,
02060,0,9.0,,8.3,,4.0,0.0,,,,,0.0,,1.3,1.9,,,6.2,7.6,,,,,,9.0,,8.3,,4.0,0.0,,,,,0.0,,1.3,1.9,,,6.2,7.6,,,,,,,True,,True,True,,,,,True,,True,True,,,True,True,,,,,
02068,1,0.0,,0.7,,0.0,0.0,,,,,2.2,,,0.1,0.0,,0.0,,,,,,,-1.0,,-0.3,,-1.0,-1.0,,,,,1.2,,,-0.9,-1.0,,-1.0,,,,,,,,True,,False,False,,,,,False,,,True,False,,False,,,,,,
02070,4,0.0,,0.4,,0.0,0.0,,,,,6.7,,0.0,0.1,0.0,,0.0,,,,,,,-4.0,,-3.6,,-4.0,-4.0,,,,,2.7,,-4.0,-3.9,-4.0,,-4.0,,,,,,,,True,,False,False,,,,,True,,True,True,False,,False,,,,,,
02090,200,84.0,226.1,75.4,,81.0,,,,,,297.7,,65.1,101.3,,,67.5,148.7,,,,,,-116.0,26.1,-124.6,,-119.0,,,,,,97.7,,-134.9,-98.7,,,-132.5,-51.3,,,,,,True,False,,False,,,,,,True,,False,True,,,False,True,,,,,
02100,0,0.0,,0.2,,0.0,0.0,,,,,1.8,,,0.0,0.0,,0.2,,,,,,,0.0,,0.2,,0.0,0.0,,,,,1.8,,,0.0,0.0,,0.2,,,,,,,,False,,True,True,,,,,False,,,False,True,,False,,,,,,
02105,0,0.0,,0.0,,0.0,0.0,,,,,13.5,,,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,,,13.5,,,0.0,0.0,,0.0,,,,,,,,True,,True,True,,,,,False,,,False,True,,True,,,,,,
02110,88,42.0,,41.8,,42.0,42.0,,,,,89.6,,26.3,54.2,51.0,,38.5,130.8,,,,,,-46.0,,-46.2,,-46.0,-46.0,,,,,1.6,,-61.7,-33.8,-37.0,,-49.5,42.8,,,,,,,False,,False,False,,,,,True,,False,True,True,,False,True,,,,,
02122,89,48.0,355.1,46.7,,47.0,43.0,,,,,184.2,,21.5,59.3,,,46.7,38.1,,,,,,-41.0,266.1,-42.3,,-42.0,-46.0,,,,,95.2,,-67.5,-29.7,,,-42.3,-50.9,,,,,,False,False,,False,False,,,,,False,,False,True,,,False,False,,,,,
02130,10,6.0,,6.3,,1.0,0.0,,,,,4.3,,1.2,1.4,20.0,,0.6,9.7,,,,,,-4.0,,-3.7,,-9.0,-10.0,,,,,-5.7,,-8.8,-8.6,10.0,,-9.4,-0.3,,,,,,,True,,False,False,,,,,False,,False,False,False,,False,True,,,,,
