,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,32590,43482.0,43490.4,37094.0,37302.0,,32453.6,40052.0,42955.2,20541.5,41698.0,33433.0,42140.1,25573.4,31818.9,37817.0,,29118.5,36546.3,38376.4,48263.4,30360.4,40153.0,10892.0,10900.4,4504.0,4712.0,,-136.4,7462.0,10365.2,-12048.5,9108.0,843.0,9550.1,-7016.6,-771.1,5227.0,,-3471.5,3956.3,5786.4,15673.4,-2229.6,7563.0,False,True,True,,True,True,True,False,True,True,True,True,True,True,,True,True,True,False,True,True
Hawaii,3314,2958.0,2972.7,3400.0,3410.0,,4949.8,3188.0,4415.0,2314.5,,5006.0,7945.6,3867.9,3221.2,5042.0,,3120.7,3090.9,3146.7,,4731.8,3407.0,-356.0,-341.3,86.0,96.0,,1635.8,-126.0,1101.0,-999.5,,1692.0,4631.6,553.9,-92.8,1728.0,,-193.3,-223.1,-167.3,,1417.8,93.0,True,True,True,,False,True,False,False,,False,False,False,True,False,,True,True,True,,False,True
Idaho,4193,5956.0,6056.9,5306.0,5787.0,,3824.4,5370.0,16853.0,3101.8,5306.0,8760.9,6615.7,3734.7,4973.0,5372.0,,3919.8,6122.3,4549.4,5943.3,4188.1,5026.0,1763.0,1863.9,1113.0,1594.0,,-368.6,1177.0,12660.0,-1091.2,1113.0,4567.9,2422.7,-458.3,780.0,1179.0,,-273.2,1929.3,356.4,1750.3,-4.9,833.0,False,True,True,,True,True,False,True,True,False,False,True,True,True,,True,False,True,True,True,True
Illinois,27215,23706.0,23785.9,23710.0,27237.0,,23493.7,4765.0,26734.9,12838.0,21256.0,26116.3,33470.1,20012.6,23072.4,28679.0,,22809.2,14797.9,28804.5,17274.9,25689.0,23659.0,-3509.0,-3429.1,-3505.0,22.0,,-3721.3,-22450.0,-480.1,-14377.0,-5959.0,-1098.7,6255.1,-7202.4,-4142.6,1464.0,,-4405.8,-12417.1,1589.5,-9940.1,-1526.0,-3556.0,True,True,True,,False,False,True,False,False,True,False,False,False,True,,False,False,True,False,True,False
Indiana,12758,12778.0,13056.9,12645.0,14840.0,,13360.6,5328.0,12622.2,6734.6,9544.0,16141.7,14496.0,10426.0,10836.6,14479.0,,11188.6,7331.6,14370.9,11398.3,12070.3,14559.0,20.0,298.9,-113.0,2082.0,,602.6,-7430.0,-135.8,-6023.4,-3214.0,3383.7,1738.0,-2332.0,-1921.4,1721.0,,-1569.4,-5426.4,1612.9,-1359.7,-687.7,1801.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Iowa,11547,7060.0,7031.8,6345.0,8732.0,,5095.1,1782.0,5375.5,3625.4,5264.0,7416.6,6196.8,6630.9,6447.2,7617.0,,5226.9,4790.1,6460.0,6794.2,9194.2,5083.0,-4487.0,-4515.2,-5202.0,-2815.0,,-6451.9,-9765.0,-6171.5,-7921.6,-6283.0,-4130.4,-5350.2,-4916.1,-5099.8,-3930.0,,-6320.1,-6756.9,-5087.0,-4752.8,-2352.8,-6464.0,False,False,True,,False,False,False,False,False,True,False,False,False,True,,False,False,False,False,True,False
Kansas,7710,6844.0,6819.1,6087.0,10556.0,,,4922.0,4667.1,4287.4,7206.0,8275.3,6151.8,4461.5,5380.5,7458.0,,2699.5,4729.6,5621.0,7695.6,6276.1,6621.0,-866.0,-890.9,-1623.0,2846.0,,,-2788.0,-3042.9,-3422.6,-504.0,565.3,-1558.2,-3248.5,-2329.5,-252.0,,-5010.5,-2980.4,-2089.0,-14.4,-1433.9,-1089.0,False,False,False,,,False,False,False,True,True,False,False,False,True,,False,False,False,True,False,False
Kentucky,8647,8704.0,8566.2,7768.0,10818.0,,,6784.0,19578.1,4661.2,8700.0,10619.4,7174.7,4958.1,5418.9,9330.0,,3529.5,6737.2,9523.8,9756.4,6751.0,7707.0,57.0,-80.8,-879.0,2171.0,,,-1863.0,10931.1,-3985.8,53.0,1972.4,-1472.3,-3688.9,-3228.1,683.0,,-5117.5,-1909.8,876.8,1109.4,-1896.0,-940.0,False,False,False,,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
Louisiana,9506,15982.0,14155.9,13129.0,11617.0,,,16212.0,24923.9,4810.7,18608.0,12697.5,17149.2,10890.7,9628.0,10013.0,,10815.1,24509.4,14749.9,,8905.6,8976.0,6476.0,4649.9,3623.0,2111.0,,,6706.0,15417.9,-4695.3,9102.0,3191.5,7643.2,1384.7,122.0,507.0,,1309.1,15003.4,5243.9,,-600.4,-530.0,True,True,True,,,False,False,True,False,True,False,True,True,True,,True,False,True,,True,True
Maine,348,232.0,252.3,243.0,247.0,,,109.0,220.6,111.6,65.0,458.4,176.0,264.1,257.3,248.0,,238.8,225.1,253.9,,360.3,200.0,-116.0,-95.7,-105.0,-101.0,,,-239.0,-127.4,-236.4,-283.0,110.4,-172.0,-83.9,-90.7,-100.0,,-109.2,-122.9,-94.1,,12.3,-148.0,True,True,True,,,False,False,False,False,True,False,True,True,True,,True,False,True,,True,False
Maryland,7601,10224.0,10139.6,8622.0,11086.0,,,3932.0,11011.5,5017.1,8356.0,9417.0,8754.0,7421.7,7631.6,8947.0,,8468.7,1059.4,10783.0,6533.0,7850.4,8712.0,2623.0,2538.6,1021.0,3485.0,,,-3669.0,3410.5,-2583.9,755.0,1816.0,1153.0,-179.3,30.6,1346.0,,867.7,-6541.6,3182.0,-1068.0,249.4,1111.0,True,True,False,,,False,False,True,True,True,True,True,True,True,,True,False,False,True,True,True
Massachusetts,4831,4976.0,4977.0,4513.0,1071.0,,,3309.0,6337.4,2560.2,4803.0,3118.9,6862.4,4356.0,5222.6,5465.0,,423.2,0.0,5755.4,566.7,1603.8,4725.0,145.0,146.0,-318.0,-3760.0,,,-1522.0,1506.4,-2270.8,-28.0,-1712.1,2031.4,-475.0,391.6,634.0,,-4407.8,-4831.0,924.4,-4264.3,-3227.2,-106.0,False,False,False,,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,True
Michigan,9354,11182.0,11218.1,11094.0,13466.0,,,840.0,14165.3,5868.4,11420.0,18769.9,11908.3,8675.1,10256.1,12132.0,,7560.9,16046.3,12378.7,,10035.1,11121.0,1828.0,1864.1,1740.0,4112.0,,,-8514.0,4811.3,-3485.6,2066.0,9415.9,2554.3,-678.9,902.1,2778.0,,-1793.1,6692.3,3024.7,,681.1,1767.0,False,True,False,,,False,False,False,False,False,False,True,True,False,,True,False,False,,True,True
Minnesota,9844,8624.0,8650.8,8233.0,7667.0,,,3768.0,9280.0,4521.2,8556.0,10062.6,9540.9,8552.0,7601.6,8673.0,,7609.7,6284.3,6812.4,7808.5,9356.2,7869.0,-1220.0,-1193.2,-1611.0,-2177.0,,,-6076.0,-564.0,-5322.8,-1288.0,218.6,-303.1,-1292.0,-2242.4,-1171.0,,-2234.3,-3559.7,-3031.6,-2035.5,-487.8,-1975.0,True,False,False,,,False,True,False,False,True,True,False,False,True,,False,False,False,False,True,False
Mississippi,10274,10218.0,10060.5,9379.0,8352.0,,,12741.0,11991.6,5742.6,11377.0,11134.4,10657.8,6895.3,7396.4,8133.0,,5818.2,13423.8,9087.8,15282.6,6764.0,8090.0,-56.0,-213.5,-895.0,-1922.0,,,2467.0,1717.6,-4531.4,1103.0,860.4,383.8,-3378.7,-2877.6,-2141.0,,-4455.8,3149.8,-1186.2,5008.6,-3510.0,-2184.0,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Missouri,16164,17966.0,17124.3,16155.0,22508.0,,,15704.0,18572.7,9027.6,13388.0,18419.4,16316.8,15594.2,15155.9,16829.0,,10426.5,32500.7,28582.0,24640.7,18722.2,15359.0,1802.0,960.3,-9.0,6344.0,,,-460.0,2408.7,-7136.4,-2776.0,2255.4,152.8,-569.8,-1008.1,665.0,,-5737.5,16336.7,12418.0,8476.7,2558.2,-805.0,True,True,False,,,True,False,False,False,False,True,True,True,True,,False,False,False,False,False,True
Montana,1592,1540.0,1531.0,1542.0,1047.0,,,1304.0,2142.3,879.4,2066.0,2219.5,1818.3,1553.7,1407.9,1527.0,,995.8,2803.1,1091.3,1300.2,1648.7,1583.0,-52.0,-61.0,-50.0,-545.0,,,-288.0,550.3,-712.6,474.0,627.5,226.3,-38.3,-184.1,-65.0,,-596.2,1211.1,-500.7,-291.8,56.7,-9.0,False,True,False,,,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,True
Nebraska,3512,3992.0,3878.9,3278.0,4419.0,,,819.0,3163.0,1892.2,3250.0,3529.1,5263.5,2830.8,3228.9,3963.0,,2467.7,166.8,3947.0,2527.5,3371.0,3505.0,480.0,366.9,-234.0,907.0,,,-2693.0,-349.0,-1619.8,-262.0,17.1,1751.5,-681.2,-283.1,451.0,,-1044.3,-3345.2,435.0,-984.5,-141.0,-7.0,True,True,False,,,False,True,False,True,True,False,False,True,True,,False,False,True,False,True,True
Nevada,7853,10378.0,10490.0,8991.0,8153.0,,,12991.0,11459.9,5713.2,9051.0,8137.5,10023.6,9150.2,7986.9,8269.0,,8042.0,20974.3,8756.0,7747.2,9045.1,8511.0,2525.0,2637.0,1138.0,300.0,,,5138.0,3606.9,-2139.8,1198.0,284.5,2170.6,1297.2,133.9,416.0,,189.0,13121.3,903.0,-105.8,1192.1,658.0,False,True,True,,,False,False,True,True,True,True,True,True,True,,True,False,True,True,True,True
New Hampshire,266,324.0,328.8,288.0,384.0,,,21.0,333.9,181.3,296.0,707.8,125.9,250.0,259.0,332.0,,255.6,0.0,328.0,243.3,292.7,315.0,58.0,62.8,22.0,118.0,,,-245.0,67.9,-84.7,30.0,441.8,-140.1,-16.0,-7.0,66.0,,-10.4,-266.0,62.0,-22.7,26.7,49.0,False,True,False,,,False,False,False,True,False,False,True,True,False,,True,False,False,True,True,True
New Jersey,3878,6026.0,5681.9,5526.0,6926.0,,,264.0,5225.5,3106.5,4793.0,7147.1,5808.3,3835.3,4878.4,6006.0,,4821.3,6625.8,7006.0,,6184.6,5775.0,2148.0,1803.9,1648.0,3048.0,,,-3614.0,1347.5,-771.5,915.0,3269.1,1930.3,-42.7,1000.4,2128.0,,943.3,2747.8,3128.0,,2306.6,1897.0,True,True,False,,,False,True,True,True,False,True,True,True,True,,True,False,False,,False,True
New Mexico,1876,2374.0,2637.4,2159.0,2047.0,,,2248.0,2334.8,1063.5,3210.0,3364.2,1898.8,1673.4,1724.2,1645.0,,1599.0,4566.5,2356.3,3280.0,1807.3,1788.0,498.0,761.4,283.0,171.0,,,372.0,458.8,-812.5,1334.0,1488.2,22.8,-202.6,-151.8,-231.0,,-277.0,2690.5,480.3,1404.0,-68.7,-88.0,False,True,True,,,True,True,False,False,False,True,True,True,True,,True,False,True,False,True,True
New York,8501,9112.0,9156.4,9015.0,9356.0,,,156.0,11565.1,4880.1,5890.0,16595.5,9907.9,7607.4,9346.6,9432.0,,7085.4,9501.8,8584.9,,11114.2,9814.0,611.0,655.4,514.0,855.0,,,-8345.0,3064.1,-3620.9,-2611.0,8094.5,1406.9,-893.6,845.6,931.0,,-1415.6,1000.8,83.9,,2613.2,1313.0,False,True,False,,,False,False,False,False,False,False,False,False,False,,False,False,True,,False,False
North Carolina,21372,17512.0,17865.7,16704.0,16842.0,,,23974.0,16305.5,8689.0,17688.0,25661.9,18075.5,14904.2,14832.1,14140.0,,13883.2,19683.2,16462.9,10480.0,15059.9,14992.0,-3860.0,-3506.3,-4668.0,-4530.0,,,2602.0,-5066.5,-12683.0,-3684.0,4289.9,-3296.5,-6467.8,-6539.9,-7232.0,,-7488.8,-1688.8,-4909.1,-10892.0,-6312.1,-6380.0,True,False,False,,,True,False,False,True,False,True,False,False,False,,False,True,False,False,False,False
North Dakota,3040,1872.0,1865.6,1868.0,1770.0,,,207.0,2489.6,1010.8,1498.0,1903.6,1845.5,1724.3,1811.7,2187.0,,2306.2,2696.4,2034.1,1928.1,2058.7,1893.0,-1168.0,-1174.4,-1172.0,-1270.0,,,-2833.0,-550.4,-2029.2,-1542.0,-1136.4,-1194.5,-1315.7,-1228.3,-853.0,,-733.8,-343.6,-1005.9,-1111.9,-981.3,-1147.0,False,False,False,,,False,True,False,False,True,False,False,False,True,,True,True,True,True,True,True
Ohio,13646,15410.0,15350.4,13640.0,16101.0,,,11185.0,14536.0,8044.8,13796.0,25671.2,14492.2,10696.7,12516.4,13360.0,,9474.1,14007.0,14855.9,16392.4,11489.9,14112.0,1764.0,1704.4,-6.0,2455.0,,,-2461.0,890.0,-5601.2,150.0,12025.2,846.2,-2949.3,-1129.6,-286.0,,-4171.9,361.0,1209.9,2746.4,-2156.1,466.0,True,True,False,,,False,True,False,True,False,True,False,True,True,,False,True,True,False,False,True
Oklahoma,9555,9436.0,9149.2,9159.0,8310.0,,,11940.0,9902.5,5295.9,10821.0,15323.5,8779.4,7738.2,8503.6,8708.0,,4780.0,15092.3,8865.5,8158.9,9508.2,8999.0,-119.0,-405.8,-396.0,-1245.0,,,2385.0,347.5,-4259.1,1266.0,5768.5,-775.6,-1816.8,-1051.4,-847.0,,-4775.0,5537.3,-689.5,-1396.1,-46.8,-556.0,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,False
Oregon,3275,4016.0,4033.5,3780.0,3740.0,,,4514.0,3799.4,2219.0,3575.0,8376.0,4561.6,3562.5,3662.1,3709.0,,3408.2,4853.9,3512.0,3842.4,4051.8,3975.0,741.0,758.5,505.0,465.0,,,1239.0,524.4,-1056.0,300.0,5101.0,1286.6,287.5,387.1,434.0,,133.2,1578.9,237.0,567.4,776.8,700.0,False,True,True,,,False,True,False,True,False,False,True,True,True,,True,False,True,True,False,True
Pennsylvania,9045,11732.0,11660.5,10438.0,15090.0,,,3911.0,11534.0,5899.4,7448.0,19422.7,10590.6,8421.8,10225.8,10831.0,,8222.8,10012.1,13116.3,9456.1,11409.2,10501.0,2687.0,2615.5,1393.0,6045.0,,,-5134.0,2489.0,-3145.6,-1597.0,10377.7,1545.6,-623.2,1180.8,1786.0,,-822.2,967.1,4071.3,411.1,2364.2,1456.0,True,True,False,,,False,True,False,True,False,True,True,True,True,,True,True,False,True,True,True
Rhode Island,1348,1194.0,1175.3,1036.0,1636.0,,,9.0,1287.1,501.3,1354.0,451.8,1772.3,546.0,918.0,1080.0,,362.7,702.1,1173.2,,1225.2,850.0,-154.0,-172.7,-312.0,288.0,,,-1339.0,-60.9,-846.7,6.0,-896.2,424.3,-802.0,-430.0,-268.0,,-985.3,-645.9,-174.8,,-122.8,-498.0,False,False,False,,,False,True,False,True,False,False,False,False,False,,False,False,False,,True,False
South Carolina,11367,12844.0,12665.5,11082.0,10333.0,,,13701.0,11417.4,6038.9,13288.0,16655.7,12995.9,8623.5,9544.5,9101.0,,8751.0,12746.5,11084.2,5382.4,9030.1,8880.0,1477.0,1298.5,-285.0,-1034.0,,,2334.0,50.4,-5328.1,1921.0,5288.7,1628.9,-2743.5,-1822.5,-2266.0,,-2616.0,1379.5,-282.8,-5984.6,-2336.9,-2487.0,True,True,True,,,False,True,False,False,False,False,False,False,False,,False,True,True,False,False,False
South Dakota,2824,1282.0,1272.0,1306.0,1209.0,,,268.0,1345.3,648.8,937.0,893.2,1488.3,1409.6,1507.6,1598.0,,1337.6,1593.7,1453.1,911.5,1942.5,1345.0,-1542.0,-1552.0,-1518.0,-1615.0,,,-2556.0,-1478.7,-2175.2,-1887.0,-1930.8,-1335.7,-1414.4,-1316.4,-1226.0,,-1486.4,-1230.3,-1370.9,-1912.5,-881.5,-1479.0,False,True,False,,,False,True,False,False,False,True,True,True,True,,True,True,True,False,True,True
Tennessee,20533,22324.0,23304.7,21494.0,21702.0,,,22430.0,25776.3,11172.1,19588.0,23945.9,20997.8,22472.7,18465.6,18309.0,,16303.6,24541.3,19505.0,29871.2,20191.7,17691.0,1791.0,2771.7,961.0,1169.0,,,1897.0,5243.3,-9360.9,-945.0,3412.9,464.8,1939.7,-2067.4,-2224.0,,-4229.4,4008.3,-1028.0,9338.2,-341.3,-2842.0,False,True,True,,,False,False,False,True,False,True,False,False,False,,False,False,True,False,True,False
Texas,80199,97840.0,99878.3,97182.0,99789.0,,,102350.0,95835.1,50450.5,113036.0,85767.4,92810.3,107507.3,104120.7,85250.0,,52810.1,66211.4,78846.2,117314.8,88412.7,76818.0,17641.0,19679.3,16983.0,19590.0,,,22151.0,15636.1,-29748.5,32837.0,5568.4,12611.3,27308.3,23921.7,5051.0,,-27388.9,-13987.6,-1352.8,37115.8,8213.7,-3381.0,False,True,False,,,False,True,False,False,True,True,False,False,True,,False,True,True,False,True,True
Utah,5085,5140.0,5052.1,4416.0,4165.0,,,4989.0,4242.1,2712.3,4216.0,5465.7,4712.0,4305.6,4318.6,4170.0,,3201.1,4971.1,5293.0,3286.7,3933.1,3964.0,55.0,-32.9,-669.0,-920.0,,,-96.0,-842.9,-2372.7,-869.0,380.7,-373.0,-779.4,-766.4,-915.0,,-1883.9,-113.9,208.0,-1798.3,-1151.9,-1121.0,True,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Vermont,96,110.0,110.1,95.0,107.0,,,10.0,92.3,81.6,63.0,314.9,129.9,92.7,99.3,168.0,,42.8,58.3,116.0,,135.9,98.0,14.0,14.1,-1.0,11.0,,,-86.0,-3.7,-14.4,-33.0,218.9,33.9,-3.3,3.3,72.0,,-53.2,-37.7,20.0,,39.9,2.0,False,True,True,,,False,True,False,False,False,False,True,True,False,,False,False,False,,False,True
Virginia,13044,13122.0,13380.7,12250.0,12751.0,,,6661.0,14684.4,7127.3,11460.0,15898.8,15510.4,11435.8,12353.9,14167.0,,8921.2,7929.4,10789.1,11898.9,12449.7,0.0,78.0,336.7,-794.0,-293.0,,,-6383.0,1640.4,-5916.7,-1584.0,2854.8,2466.4,-1608.2,-690.1,1123.0,,-4122.8,-5114.6,-2254.9,-1145.1,-594.3,-13044.0,False,False,False,,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Washington,6994,8724.0,8898.0,8113.0,8148.0,,,10543.0,9841.8,4718.2,7410.0,12925.0,8916.6,7695.0,7643.5,7741.0,,7518.4,8659.6,9273.8,,7866.1,8602.0,1730.0,1904.0,1119.0,1154.0,,,3549.0,2847.8,-2275.8,416.0,5931.0,1922.6,701.0,649.5,747.0,,524.4,1665.6,2279.8,,872.1,1608.0,False,True,True,,,False,False,False,True,False,False,True,True,True,,True,True,False,,True,True
West Virginia,1508,1798.0,1806.8,1753.0,2087.0,,,1675.0,2149.5,969.4,1395.0,3200.7,2108.4,1652.5,1583.7,1765.0,,1268.5,1495.4,1587.7,,2030.7,1880.0,290.0,298.8,245.0,579.0,,,167.0,641.5,-538.6,-113.0,1692.7,600.4,144.5,75.7,257.0,,-239.5,-12.6,79.7,,522.7,372.0,False,True,False,,,True,False,False,True,False,False,True,True,True,,True,True,True,,False,False
Wisconsin,9744,10246.0,10410.8,9770.0,10283.0,,,9306.0,12072.6,5662.8,8387.0,14043.9,10432.7,9347.1,8670.8,9878.0,,7577.8,11994.5,6543.1,11823.3,10891.8,9168.0,502.0,666.8,26.0,539.0,,,-438.0,2328.6,-4081.2,-1357.0,4299.9,688.7,-396.9,-1073.2,134.0,,-2166.2,2250.5,-3200.9,2079.3,1147.8,-576.0,False,True,False,,,True,False,False,False,False,False,True,False,True,,False,False,False,False,False,False
