,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
05083,307,96.0,,,,,392.0,,,,,-211.0,,,,,85.0,,,,,,,,,True,,,,
05085,541,296.0,,,,,320.0,2767.8,,,,-245.0,,,,,-221.0,2226.8,,,,,,,,True,False,,,
05087,99,200.0,,,,,156.0,965.7,,,,101.0,,,,,57.0,866.7,,,,,,,,True,False,,,
05089,33,64.0,,,,,8.0,,,,,31.0,,,,,-25.0,,,,,,,,,True,,,,
05091,476,176.0,,,,,309.0,1290.9,,,,-300.0,,,,,-167.0,814.9,,,,,,,,True,False,,,
05093,1143,424.0,,,,,708.0,2047.8,,,,-719.0,,,,,-435.0,904.8,,,,,,,,True,False,,,
05095,78,32.0,,,,,16.0,,,,,-46.0,,,,,-62.0,,,,,,,,,False,,,,
05097,90,8.0,,,,,0.0,,,,,-82.0,,,,,-90.0,,,,,,,,,False,,,,
05099,59,24.0,,,,,26.0,210.5,,,,-35.0,,,,,-33.0,151.5,,,,,,,,True,False,,,
05101,113,24.0,,,,,2.0,,,,,-89.0,,,,,-111.0,,,,,,,,,False,,,,
05103,127,16.0,,,,,17.0,,,,,-111.0,,,,,-110.0,,,,,,,,,True,,,,
05105,32,64.0,,,,,18.0,,,,,32.0,,,,,-14.0,,,,,,,,,True,,,,
05107,242,224.0,,,,,271.0,771.6,,,,-18.0,,,,,29.0,529.6,,,,,,,,False,False,,,
05109,166,16.0,,,,,8.0,,,,,-150.0,,,,,-158.0,,,,,,,,,False,,,,
05111,417,40.0,,,,,106.0,,,,,-377.0,,,,,-311.0,,,,,,,,,True,,,,
05113,147,48.0,,,,,255.0,,,,,-99.0,,,,,108.0,,,,,,,,,False,,,,
05115,1240,592.0,,,,,1194.0,2615.8,,,,-648.0,,,,,-46.0,1375.8,,,,,,,,True,False,,,
05117,93,8.0,,,,,8.0,,,,,-85.0,,,,,-85.0,,,,,,,,,False,,,,
05119,4646,4280.0,,,,,3990.0,13346.0,6813.8,,,-366.0,,,,,-656.0,8700.0,2167.8,,,,,,,False,False,False,,
05121,254,64.0,,,,,26.0,,,,,-190.0,,,,,-228.0,,,,,,,,,False,,,,
05123,462,576.0,,,,,428.0,114.8,,,,114.0,,,,,-34.0,-347.2,,,,,,,,True,False,,,
05125,1210,728.0,,,,,1043.0,3602.8,,,,-482.0,,,,,-167.0,2392.8,,,,,,,,True,False,,,
05127,74,16.0,,,,,15.0,,,,,-58.0,,,,,-59.0,,,,,,,,,False,,,,
05129,85,40.0,,,,,8.0,,,,,-45.0,,,,,-77.0,,,,,,,,,False,,,,
05131,2265,1592.0,,,,,23783.0,6169.7,,,,-673.0,,,,,21518.0,3904.7,,,,,,,,False,False,,,
05133,421,640.0,,,,,1346.0,299.0,,,,219.0,,,,,925.0,-122.0,,,,,,,,False,True,,,
05135,99,40.0,,,,,9.0,,,,,-59.0,,,,,-90.0,,,,,,,,,False,,,,
05137,173,40.0,,,,,8.0,,,,,-133.0,,,,,-165.0,,,,,,,,,False,,,,
05139,437,56.0,,,,,460.0,556.8,,,,-381.0,,,,,23.0,119.8,,,,,,,,True,True,,,
05141,84,0.0,,,,,24.0,,,,,-84.0,,,,,-60.0,,,,,,,,,True,,,,
05143,2918,5552.0,,,,,11272.0,17120.4,8653.8,,,2634.0,,,,,8354.0,14202.4,5735.8,,,,,,,False,False,False,,
05145,428,88.0,,,,,481.0,,,,,-340.0,,,,,53.0,,,,,,,,,True,,,,
05147,20,16.0,,,,,8.0,,,,,-4.0,,,,,-12.0,,,,,,,,,False,,,,
05149,461,1168.0,,,,,833.0,2421.8,,,,707.0,,,,,372.0,1960.8,,,,,,,,True,False,,,
06001,11291,8504.0,,,,,15566.0,34263.4,10379.7,,,-2787.0,,,,,4275.0,22972.4,-911.3,,,,,,,False,False,True,,
06003,0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,True,,,,
06005,247,88.0,,,,,39.0,,,,,-159.0,,,,,-208.0,,,,,,,,,False,,,,
06007,1680,504.0,,,,,2165.0,5163.4,,,,-1176.0,,,,,485.0,3483.4,,,,,,,,True,False,,,
06009,183,168.0,,,,,65.0,,,,,-15.0,,,,,-118.0,,,,,,,,,False,,,,
06011,374,424.0,,,,,323.0,,,,,50.0,,,,,-51.0,,,,,,,,,False,,,,
06013,10135,7008.0,,,,,13437.0,46535.7,8123.1,,,-3127.0,,,,,3302.0,36400.7,-2011.9,,,,,,,False,False,True,,
06015,64,64.0,,,,,56.0,,,,,0.0,,,,,-8.0,,,,,,,,,False,,,,
06017,725,544.0,,,,,890.0,4816.2,,,,-181.0,,,,,165.0,4091.2,,,,,,,,True,False,,,
06019,18761,11016.0,,,,,25246.0,60574.2,6186.8,,,-7745.0,,,,,6485.0,41813.2,-12574.2,,,,,,,True,False,False,,
06021,347,280.0,,,,,463.0,1355.6,,,,-67.0,,,,,116.0,1008.6,,,,,,,,False,False,,,
06023,224,120.0,,,,,590.0,436.8,,,,-104.0,,,,,366.0,212.8,,,,,,,,False,False,,,
06025,3628,7984.0,,,,,2557.0,4136.3,14723.0,,,4356.0,,,,,-1071.0,508.3,11095.0,,,,,,,True,True,False,,
06027,168,48.0,,,,,80.0,,,,,-120.0,,,,,-88.0,,,,,,,,,True,,,,
06029,23831,6320.0,,,,,13851.0,27070.4,7875.0,,,-17511.0,,,,,-9980.0,3239.4,-15956.0,,,,,,,True,True,True,,
06031,3503,2256.0,,,,,5256.0,4450.1,2780.1,,,-1247.0,,,,,1753.0,947.1,-722.9,,,,,,,False,True,True,,
06033,237,336.0,,,,,471.0,,,,,99.0,,,,,234.0,,,,,,,,,False,,,,
06035,487,176.0,,,,,213.0,852.0,,,,-311.0,,,,,-274.0,365.0,,,,,,,,True,False,,,
06037,131930,99528.0,,,,,184162.0,322450.3,140730.9,,,-32402.0,,,,,52232.0,190520.3,8800.9,,,,,,,False,False,True,,
06039,3096,1304.0,,,,,2949.0,10115.0,,,,-1792.0,,,,,-147.0,7019.0,,,,,,,,True,False,,,
06041,3354,7784.0,,,,,2066.0,14748.3,18126.9,,,4430.0,,,,,-1288.0,11394.3,14772.9,,,,,,,True,False,False,,
06043,44,32.0,,,,,14.0,,,,,-12.0,,,,,-30.0,,,,,,,,,False,,,,
06045,588,72.0,,,,,345.0,,,,,-516.0,,,,,-243.0,,,,,,,,,True,,,,
06047,6618,3584.0,,,,,7601.0,17369.6,2137.7,,,-3034.0,,,,,983.0,10751.6,-4480.3,,,,,,,True,False,False,,
06049,9,0.0,,,,,6.0,,,,,-9.0,,,,,-3.0,,,,,,,,,True,,,,
06051,117,40.0,,,,,62.0,,,,,-77.0,,,,,-55.0,,,,,,,,,True,,,,
06053,5704,3768.0,,,,,7814.0,20356.8,3110.9,,,-1936.0,,,,,2110.0,14652.8,-2593.1,,,,,,,False,False,False,,
06055,1027,848.0,,,,,2119.0,5696.5,,,,-179.0,,,,,1092.0,4669.5,,,,,,,,False,False,,,
06057,309,168.0,,,,,341.0,2511.0,,,,-141.0,,,,,32.0,2202.0,,,,,,,,True,False,,,
06059,25164,29832.0,,,,,45578.0,71875.3,37714.1,,,4668.0,,,,,20414.0,46711.3,12550.1,,,,,,,False,False,False,,
06061,2119,1736.0,,,,,2593.0,13454.7,3400.1,,,-383.0,,,,,474.0,11335.7,1281.1,,,,,,,False,False,False,,
06063,29,32.0,,,,,228.0,,,,,3.0,,,,,199.0,,,,,,,,,False,,,,
06065,32410,30456.0,,,,,11008.0,71373.9,32025.0,,,-1954.0,,,,,-21402.0,38963.9,-385.0,,,,,,,False,False,True,,
06067,13146,10704.0,,,,,17244.0,54773.7,13765.8,,,-2442.0,,,,,4098.0,41627.7,619.8,,,,,,,False,False,True,,
06069,816,480.0,,,,,1453.0,2989.9,,,,-336.0,,,,,637.0,2173.9,,,,,,,,False,False,,,
06071,34090,19088.0,,,,,9617.0,75329.0,70215.0,,,-15002.0,,,,,-24473.0,41239.0,36125.0,,,,,,,False,False,False,,
06073,22351,22872.0,,,,,4607.0,54289.5,26041.1,,,521.0,,,,,-17744.0,31938.5,3690.1,,,,,,,False,False,False,,
06075,5573,2464.0,,,,,5371.0,6747.5,7589.7,,,-3109.0,,,,,-202.0,1174.5,2016.7,,,,,,,True,True,True,,
06077,12640,11048.0,,,,,14618.0,51394.2,9755.4,,,-1592.0,,,,,1978.0,38754.2,-2884.6,,,,,,,False,False,False,,
06079,2181,1544.0,,,,,4314.0,9003.8,,,,-637.0,,,,,2133.0,6822.8,,,,,,,,False,False,,,
06081,4538,3624.0,,,,,6148.0,17899.1,6161.4,,,-914.0,,,,,1610.0,13361.1,1623.4,,,,,,,False,False,False,,
06083,4753,4392.0,,,,,6590.0,11050.8,3422.9,,,-361.0,,,,,1837.0,6297.8,-1330.1,,,,,,,False,False,False,,
06085,11936,8744.0,,,,,16717.0,25539.2,8722.7,,,-3192.0,,,,,4781.0,13603.2,-3213.3,,,,,,,False,False,False,,
06087,1292,848.0,,,,,2167.0,4607.9,,,,-444.0,,,,,875.0,3315.9,,,,,,,,False,False,,,
06089,414,376.0,,,,,1134.0,3418.2,,,,-38.0,,,,,720.0,3004.2,,,,,,,,False,False,,,
06091,5,0.0,,,,,8.0,,,,,-5.0,,,,,3.0,,,,,,,,,True,,,,
06093,97,32.0,,,,,26.0,,,,,-65.0,,,,,-71.0,,,,,,,,,False,,,,
06095,3912,2864.0,,,,,5090.0,18078.0,4577.4,,,-1048.0,,,,,1178.0,14166.0,665.4,,,,,,,False,False,True,,
06097,4295,2824.0,,,,,3617.0,13333.7,,,,-1471.0,,,,,-678.0,9038.7,,,,,,,,True,False,,,
