,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,363,412.0,,448.0,268.0,,,,,,488.0,471.9,,449.6,445.6,,,492.6,1279.9,,,,,,49.0,,85.0,-95.0,,,,,,125.0,108.9,,86.6,82.6,,,129.6,916.9,,,,,,,False,False,,,,,,False,False,,False,False,,,False,False,,,,,
01023,46,60.0,,52.0,76.0,,,,,,155.0,65.0,,12.2,60.0,,,46.5,47.4,,,,,,14.0,,6.0,30.0,,,,,,109.0,19.0,,-33.8,14.0,,,0.5,1.4,,,,,,,True,False,,,,,,False,False,,False,False,,,True,True,,,,,
01025,442,192.0,,196.0,236.0,,,,,,373.0,196.8,,143.9,196.2,,,171.5,226.8,,,,,,-250.0,,-246.0,-206.0,,,,,,-69.0,-245.2,,-298.1,-245.8,,,-270.5,-215.2,,,,,,,True,True,,,,,,True,True,,False,True,,,False,True,,,,,
01027,147,208.0,,180.0,288.0,,,,,,86.0,110.4,,150.8,210.6,,,434.5,150.8,,,,,,61.0,,33.0,141.0,,,,,,-61.0,-36.6,,3.8,63.6,,,287.5,3.8,,,,,,,True,False,,,,,,False,True,,True,False,,,False,True,,,,,
01029,88,68.0,,64.0,112.0,,,,,,68.0,77.5,,16.1,63.6,,,14.9,141.8,,,,,,-20.0,,-24.0,24.0,,,,,,-20.0,-10.5,,-71.9,-24.4,,,-73.1,53.8,,,,,,,False,False,,,,,,False,True,,False,False,,,False,False,,,,,
01031,253,308.0,301.1,277.0,239.0,,,,,,576.0,344.8,,179.6,269.9,,,160.6,358.4,,,,,,55.0,48.1,24.0,-14.0,,,,,,323.0,91.8,,-73.4,16.9,,,-92.4,105.4,,,,,,True,True,True,,,,,,False,False,,False,True,,,False,False,,,,,
01033,368,736.0,1033.4,724.0,690.0,,,,,,597.0,467.7,,720.1,658.4,,,865.6,906.2,,,,,,368.0,665.4,356.0,322.0,,,,,,229.0,99.7,,352.1,290.4,,,497.6,538.2,,,,,,False,True,True,,,,,,True,True,,True,True,,,False,False,,,,,
01035,72,136.0,,136.0,167.0,,,,,,186.0,126.9,,78.7,162.2,73.5,,156.6,83.6,,,,,,64.0,,64.0,95.0,,,,,,114.0,54.9,,6.7,90.2,1.5,,84.6,11.6,,,,,,,False,False,,,,,,False,True,,True,False,True,,False,True,,,,,
01037,24,32.0,,28.0,34.0,,,,,,43.0,40.2,,3.4,24.3,,,17.3,35.1,,,,,,8.0,,4.0,10.0,,,,,,19.0,16.2,,-20.6,0.3,,,-6.7,11.1,,,,,,,True,False,,,,,,False,False,,False,True,,,True,False,,,,,
01039,151,236.0,,247.0,201.0,,,,,,551.0,432.5,,245.6,315.7,212.9,,359.0,141.7,,,,,,85.0,,96.0,50.0,,,,,,400.0,281.5,,94.6,164.7,61.9,,208.0,-9.3,,,,,,,False,True,,,,,,False,False,,False,False,True,,False,True,,,,,
01041,111,224.0,,143.0,292.0,,,,,,139.0,68.7,,180.3,157.7,59.5,,65.2,138.6,,,,,,113.0,,32.0,181.0,,,,,,28.0,-42.3,,69.3,46.7,-51.5,,-45.8,27.6,,,,,,,True,False,,,,,,True,True,,True,True,True,,True,True,,,,,
01043,335,632.0,836.4,648.0,612.0,,,,,,840.0,891.1,,343.1,602.0,526.4,,734.8,979.6,,,,,,297.0,501.4,313.0,277.0,,,,,,505.0,556.1,,8.1,267.0,191.4,,399.8,644.6,,,,,,False,False,True,,,,,,False,False,,True,True,True,,False,False,,,,,
01045,242,364.0,,337.0,170.0,,,,,,531.0,505.3,,246.2,340.6,243.0,,288.7,341.7,,,,,,122.0,,95.0,-72.0,,,,,,289.0,263.3,,4.2,98.6,1.0,,46.7,99.7,,,,,,,True,True,,,,,,False,False,,True,True,True,,True,True,,,,,
01047,166,324.0,,255.0,241.0,,,,,,583.0,282.7,,186.1,346.9,12.0,,347.2,247.7,,,,,,158.0,,89.0,75.0,,,,,,417.0,116.7,,20.1,180.9,-154.0,,181.2,81.7,,,,,,,True,True,,,,,,False,True,,True,False,True,,False,True,,,,,
01049,394,724.0,953.7,702.0,472.0,,,,,,871.0,745.4,,759.6,694.5,426.4,,440.8,747.7,,,,,,330.0,559.7,308.0,78.0,,,,,,477.0,351.4,,365.6,300.5,32.4,,46.8,353.7,,,,,,False,True,True,,,,,,False,False,,False,True,True,,True,False,,,,,
01051,434,528.0,665.3,506.0,245.0,,,,,,724.0,487.1,,465.3,560.7,379.8,,647.6,419.4,,,,,,94.0,231.3,72.0,-189.0,,,,,,290.0,53.1,,31.3,126.7,-54.2,,213.6,-14.6,,,,,,False,True,False,,,,,,False,True,,True,False,True,,False,True,,,,,
01053,263,568.0,,484.0,510.0,,,,,,696.0,607.4,,331.0,552.5,232.9,,323.7,310.8,,,,,,305.0,,221.0,247.0,,,,,,433.0,344.4,,68.0,289.5,-30.1,,60.7,47.8,,,,,,,True,True,,,,,,False,False,,True,True,True,,True,True,,,,,
01055,760,1076.0,1262.1,943.0,797.0,,,,,,1031.0,1407.5,,954.3,876.0,699.8,,556.4,703.4,,,,,,316.0,502.1,183.0,37.0,,,,,,271.0,647.5,,194.3,116.0,-60.2,,-203.6,-56.6,,,,,,False,True,True,,,,,,True,False,,True,True,True,,True,True,,,,,
01057,117,132.0,,117.0,264.0,,,,,,128.0,148.3,,59.0,108.9,97.9,,34.5,108.6,,,,,,15.0,,0.0,147.0,,,,,,11.0,31.3,,-58.0,-8.1,-19.1,,-82.5,-8.4,,,,,,,True,False,,,,,,True,False,,False,True,False,,False,True,,,,,
01059,363,360.0,,300.0,446.0,,,,,,475.0,124.8,,267.6,380.3,174.0,,254.6,301.1,,,,,,-3.0,,-63.0,83.0,,,,,,112.0,-238.2,,-95.4,17.3,-189.0,,-108.4,-61.9,,,,,,,False,False,,,,,,False,False,,False,False,False,,False,False,,,,,
01061,159,132.0,,133.0,145.0,,,,,,345.0,276.2,,82.7,180.2,126.5,,55.5,101.1,,,,,,-27.0,,-26.0,-14.0,,,,,,186.0,117.2,,-76.3,21.2,-32.5,,-103.5,-57.9,,,,,,,True,True,,,,,,False,False,,False,True,False,,False,False,,,,,
01063,37,32.0,,31.0,34.0,,,,,,72.0,44.3,,3.3,37.5,0.4,,57.0,27.5,,,,,,-5.0,,-6.0,-3.0,,,,,,35.0,7.3,,-33.7,0.5,-36.6,,20.0,-9.5,,,,,,,False,True,,,,,,False,False,,False,True,False,,False,False,,,,,
01065,83,116.0,,91.0,136.0,,,,,,177.0,72.5,,22.1,90.3,6.0,,82.2,147.3,,,,,,33.0,,8.0,53.0,,,,,,94.0,-10.5,,-60.9,7.3,-77.0,,-0.8,64.3,,,,,,,True,False,,,,,,False,True,,False,True,False,,True,False,,,,,
01067,84,128.0,,116.0,154.0,,,,,,106.0,91.7,,33.1,115.7,62.3,,185.5,133.4,,,,,,44.0,,32.0,70.0,,,,,,22.0,7.7,,-50.9,31.7,-21.7,,101.5,49.4,,,,,,,True,False,,,,,,True,True,,False,True,True,,False,False,,,,,
01069,532,864.0,1537.0,806.0,482.0,,,,,,1148.0,857.6,,643.8,802.7,636.2,,788.4,1513.4,,,,,,332.0,1005.0,274.0,-50.0,,,,,,616.0,325.6,,111.8,270.7,104.2,,256.4,981.4,,,,,,False,True,True,,,,,,False,True,,True,True,True,,True,False,,,,,
01071,476,580.0,679.1,575.0,1016.0,,,,,,434.0,625.6,,953.9,743.9,300.9,,559.3,590.0,,,,,,104.0,203.1,99.0,540.0,,,,,,-42.0,149.6,,477.9,267.9,-175.1,,83.3,114.0,,,,,,False,True,False,,,,,,True,False,,False,False,False,,True,False,,,,,
01073,4126,5480.0,8220.4,5195.0,5928.0,,,,,,7087.0,5917.5,,5976.8,5104.9,3305.2,,4132.5,4966.8,4625.0,,,,,1354.0,4094.4,1069.0,1802.0,,,,,,2961.0,1791.5,,1850.8,978.9,-820.8,,6.5,840.8,499.0,,,,,False,True,False,,,,,,False,False,,False,True,True,,True,True,True,,,,
01075,77,116.0,,102.0,187.0,,,,,,120.0,115.9,,69.3,101.6,98.8,,62.2,166.3,,,,,,39.0,,25.0,110.0,,,,,,43.0,38.9,,-7.7,24.6,21.8,,-14.8,89.3,,,,,,,True,False,,,,,,False,True,,True,True,True,,True,False,,,,,
01077,370,576.0,819.6,607.0,479.0,,,,,,939.0,834.3,,653.3,598.0,496.5,,722.8,585.5,,,,,,206.0,449.6,237.0,109.0,,,,,,569.0,464.3,,283.3,228.0,126.5,,352.8,215.5,,,,,,False,False,True,,,,,,False,False,,False,False,True,,False,False,,,,,
01079,144,232.0,,237.0,298.0,,,,,,335.0,305.8,,215.0,245.3,202.3,,213.6,105.6,,,,,,88.0,,93.0,154.0,,,,,,191.0,161.8,,71.0,101.3,58.3,,69.6,-38.4,,,,,,,False,False,,,,,,False,False,,True,False,True,,True,True,,,,,
01081,746,940.0,2017.9,860.0,605.0,,,,,,1524.0,1238.0,,852.1,921.6,733.9,,655.0,750.3,577.0,,,,,194.0,1271.9,114.0,-141.0,,,,,,778.0,492.0,,106.1,175.6,-12.1,,-91.0,4.3,-169.0,,,,,False,True,True,,,,,,False,False,,True,True,True,,True,True,True,,,,
01083,463,616.0,1165.7,669.0,424.0,,,,,,807.0,711.6,,708.6,636.2,541.1,,678.7,759.3,,,,,,153.0,702.7,206.0,-39.0,,,,,,344.0,248.6,,245.6,173.2,78.1,,215.7,296.3,,,,,,False,False,True,,,,,,False,False,,False,False,True,,False,False,,,,,
01085,60,60.0,,36.0,26.0,,,,,,97.0,30.1,,4.5,57.4,1.3,,70.0,35.5,,,,,,0.0,,-24.0,-34.0,,,,,,37.0,-29.9,,-55.5,-2.6,-58.7,,10.0,-24.5,,,,,,,False,False,,,,,,False,False,,False,False,False,,False,False,,,,,
01087,88,80.0,,84.0,74.0,,,,,,108.0,130.0,,17.6,97.3,33.4,,84.8,125.7,,,,,,-8.0,,-4.0,-14.0,,,,,,20.0,42.0,,-70.4,9.3,-54.6,,-3.2,37.7,,,,,,,True,False,,,,,,False,False,,False,False,False,,True,False,,,,,
01089,1350,2700.0,4447.3,2700.0,3042.0,,,,,,2548.0,3983.2,,2916.5,2507.2,2176.0,,2523.7,5437.5,1576.0,,,,,1350.0,3097.3,1350.0,1692.0,,,,,,1198.0,2633.2,,1566.5,1157.2,826.0,,1173.7,4087.5,226.0,,,,,False,False,False,,,,,,True,False,,False,True,True,,True,False,True,,,,
01091,119,132.0,,142.0,189.0,,,,,,282.0,128.7,,54.8,152.4,103.9,,134.9,212.1,,,,,,13.0,,23.0,70.0,,,,,,163.0,9.7,,-64.2,33.4,-15.1,,15.9,93.1,,,,,,,False,False,,,,,,False,True,,False,False,False,,False,False,,,,,
01093,181,260.0,,210.0,172.0,,,,,,317.0,264.4,,199.8,235.8,186.6,,110.5,1151.1,,,,,,79.0,,29.0,-9.0,,,,,,136.0,83.4,,18.8,54.8,5.6,,-70.5,970.1,,,,,,,True,True,,,,,,False,False,,True,True,True,,True,False,,,,,
01095,597,1028.0,2074.5,1065.0,658.0,,,,,,1146.0,968.7,,1111.0,1161.2,621.6,,1236.0,677.2,,,,,,431.0,1477.5,468.0,61.0,,,,,,549.0,371.7,,514.0,564.2,24.6,,639.0,80.2,,,,,,False,False,True,,,,,,False,True,,False,False,True,,False,True,,,,,
01097,3455,5480.0,5053.3,5542.0,8193.0,,,,,,5490.0,3630.7,,10918.3,9056.3,2607.8,,16554.4,4585.8,11625.0,,,,,2025.0,1598.3,2087.0,4738.0,,,,,,2035.0,175.7,,7463.3,5601.3,-847.2,,13099.4,1130.8,8170.0,,,,,True,False,False,,,,,,False,True,,False,False,True,,False,True,False,,,,
01099,68,148.0,,135.0,136.0,,,,,,272.0,210.9,,26.0,118.2,80.3,,146.3,113.7,,,,,,80.0,,67.0,68.0,,,,,,204.0,142.9,,-42.0,50.2,12.3,,78.3,45.7,,,,,,,True,True,,,,,,False,False,,True,True,True,,True,True,,,,,
01101,1567,1956.0,3553.9,1952.0,1072.0,,,,,,2920.0,1025.2,,1332.4,2142.8,1219.6,,2069.9,2013.3,1662.0,,,,,389.0,1986.9,385.0,-495.0,,,,,,1353.0,-541.8,,-234.6,575.8,-347.4,,502.9,446.3,95.0,,,,,False,True,False,,,,,,False,False,,True,False,True,,False,False,True,,,,
01103,621,968.0,1428.1,970.0,681.0,,,,,,1191.0,1164.6,,814.2,1057.9,631.9,,1128.4,946.7,,,,,,347.0,807.1,349.0,60.0,,,,,,570.0,543.6,,193.2,436.9,10.9,,507.4,325.7,,,,,,False,False,True,,,,,,False,False,,True,False,True,,False,True,,,,,
01105,59,168.0,,122.0,132.0,,,,,,99.0,132.5,,106.9,185.2,0.0,,156.1,95.2,,,,,,109.0,,63.0,73.0,,,,,,40.0,73.5,,47.9,126.2,-59.0,,97.1,36.2,,,,,,,True,True,,,,,,True,True,,True,False,True,,True,True,,,,,
01107,167,116.0,,103.0,103.0,,,,,,221.0,123.1,,67.6,128.9,71.0,,106.7,79.8,,,,,,-51.0,,-64.0,-64.0,,,,,,54.0,-43.9,,-99.4,-38.1,-96.0,,-60.3,-87.2,,,,,,,False,False,,,,,,False,True,,False,True,False,,False,False,,,,,
01109,174,240.0,,186.0,293.0,,,,,,453.0,161.2,,83.0,249.0,96.0,,171.4,178.6,,,,,,66.0,,12.0,119.0,,,,,,279.0,-12.8,,-91.0,75.0,-78.0,,-2.6,4.6,,,,,,,True,False,,,,,,False,True,,False,False,False,,True,True,,,,,
01111,75,116.0,,100.0,72.0,,,,,,185.0,169.1,,29.9,112.4,101.5,,93.6,100.6,,,,,,41.0,,25.0,-3.0,,,,,,110.0,94.1,,-45.1,37.4,26.5,,18.6,25.6,,,,,,,True,True,,,,,,False,False,,False,True,True,,True,True,,,,,
01113,353,616.0,927.3,540.0,386.0,,,,,,585.0,500.2,,497.4,644.7,325.0,,707.8,381.3,,,,,,263.0,574.3,187.0,33.0,,,,,,232.0,147.2,,144.4,291.7,-28.0,,354.8,28.3,,,,,,False,True,True,,,,,,True,True,,True,False,True,,False,True,,,,,
01115,457,844.0,1035.8,741.0,769.0,,,,,,669.0,935.0,,748.8,662.4,619.8,,465.0,973.4,,,,,,387.0,578.8,284.0,312.0,,,,,,212.0,478.0,,291.8,205.4,162.8,,8.0,516.4,,,,,,False,True,True,,,,,,True,False,,True,True,True,,True,False,,,,,
01117,971,1436.0,2854.9,1426.0,1255.0,,,,,,1617.0,1922.2,,1456.8,1279.5,1015.2,,925.5,1507.0,1097.0,,,,,465.0,1883.9,455.0,284.0,,,,,,646.0,951.2,,485.8,308.5,44.2,,-45.5,536.0,126.0,,,,,False,True,True,,,,,,False,False,,False,True,True,,True,False,True,,,,
01119,38,92.0,,56.0,76.0,,,,,,139.0,30.1,,8.3,62.4,0.9,,55.9,61.7,,,,,,54.0,,18.0,38.0,,,,,,101.0,-7.9,,-29.7,24.4,-37.1,,17.9,23.7,,,,,,,True,True,,,,,,False,True,,True,True,True,,True,True,,,,,
01121,435,640.0,805.5,666.0,645.0,,,,,,720.0,944.8,,638.7,625.6,484.4,,662.7,2034.5,,,,,,205.0,370.5,231.0,210.0,,,,,,285.0,509.8,,203.7,190.6,49.4,,227.7,1599.5,,,,,,False,False,False,,,,,,False,False,,True,True,True,,False,False,,,,,
01123,133,188.0,,178.0,175.0,,,,,,370.0,236.8,,94.2,175.2,66.6,,126.0,247.4,,,,,,55.0,,45.0,42.0,,,,,,237.0,103.8,,-38.8,42.2,-66.4,,-7.0,114.4,,,,,,,True,True,,,,,,False,False,,True,True,False,,True,False,,,,,
01125,1229,1380.0,1292.0,1191.0,1018.0,,,,,,2443.0,1325.4,,1087.2,1239.7,953.7,,1560.0,1271.2,1120.0,,,,,151.0,63.0,-38.0,-211.0,,,,,,1214.0,96.4,,-141.8,10.7,-275.3,,331.0,42.2,-109.0,,,,,True,True,False,,,,,,False,True,,True,True,False,,False,True,True,,,,
01127,358,376.0,978.2,309.0,214.0,,,,,,764.0,471.0,,94.9,311.7,250.0,,398.1,255.6,,,,,,18.0,620.2,-49.0,-144.0,,,,,,406.0,113.0,,-263.1,-46.3,-108.0,,40.1,-102.4,,,,,,False,False,False,,,,,,False,False,,False,False,False,,False,False,,,,,
01129,193,140.0,,133.0,243.0,,,,,,212.0,143.0,,32.5,149.0,64.4,,63.3,133.0,,,,,,-53.0,,-60.0,50.0,,,,,,19.0,-50.0,,-160.5,-44.0,-128.6,,-129.7,-60.0,,,,,,,False,True,,,,,,True,True,,False,True,False,,False,False,,,,,
01131,78,80.0,,67.0,76.0,,,,,,121.0,54.6,,21.7,91.0,2.8,,65.8,56.4,,,,,,2.0,,-11.0,-2.0,,,,,,43.0,-23.4,,-56.3,13.0,-75.2,,-12.2,-21.6,,,,,,,False,False,,,,,,False,False,,False,False,False,,False,False,,,,,
01133,113,192.0,,165.0,170.0,,,,,,261.0,210.1,,118.0,184.0,122.3,,163.7,115.6,,,,,,79.0,,52.0,57.0,,,,,,148.0,97.1,,5.0,71.0,9.3,,50.7,2.6,,,,,,,True,True,,,,,,False,False,,True,True,True,,True,True,,,,,
02013,1,0.0,,0.0,0.0,,,,,,,11.8,,,0.0,,,1.5,,,,,,,-1.0,,-1.0,-1.0,,,,,,,10.8,,,-1.0,,,0.5,,,,,,,,False,False,,,,,,,False,,,True,,,True,,,,,,
02016,5,12.0,,6.0,0.0,,,,,,,43.8,,,1.6,,,4.9,,,,,,,7.0,,1.0,-5.0,,,,,,,38.8,,,-3.4,,,-0.1,,,,,,,,True,True,,,,,,,False,,,True,,,True,,,,,,
02020,1240,2356.0,1599.5,2343.0,4049.0,,,,,,,3254.1,,2168.4,2311.2,1570.4,,4283.3,2485.2,6816.0,,,,,1116.0,359.5,1103.0,2809.0,,,,,,,2014.1,,928.4,1071.2,330.4,,3043.3,1245.2,5576.0,,,,,True,True,False,,,,,,,False,,True,True,True,,False,False,False,,,,
02050,37,8.0,,5.0,0.0,,,,,,,5.5,,2.5,7.5,,,13.7,,,,,,,-29.0,,-32.0,-37.0,,,,,,,-31.5,,-34.5,-29.5,,,-23.3,,,,,,,,False,False,,,,,,,False,,False,False,,,True,,,,,,
02060,0,0.0,,0.0,0.0,,,,,,,0.0,,0.3,0.1,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,0.3,0.1,,,0.0,,,,,,,,True,True,,,,,,,True,,False,False,,,True,,,,,,
02068,1,0.0,,0.0,0.0,,,,,,,3.2,,,0.0,,,1.4,,,,,,,-1.0,,-1.0,-1.0,,,,,,,2.2,,,-1.0,,,0.4,,,,,,,,False,False,,,,,,,False,,,True,,,True,,,,,,
02070,5,0.0,,0.0,0.0,,,,,,,18.6,,0.0,0.0,,,1.1,,,,,,,-5.0,,-5.0,-5.0,,,,,,,13.6,,-5.0,-5.0,,,-3.9,,,,,,,,False,False,,,,,,,False,,True,True,,,True,,,,,,
02090,234,180.0,320.2,175.0,,,,,,,,401.1,,94.6,169.5,276.4,,121.0,693.3,,,,,,-54.0,86.2,-59.0,,,,,,,,167.1,,-139.4,-64.5,42.4,,-113.0,459.3,,,,,,False,False,,,,,,,,False,,False,False,True,,False,False,,,,,
02100,0,0.0,,0.0,0.0,,,,,,,3.5,,,0.1,,,0.5,,,,,,,0.0,,0.0,0.0,,,,,,,3.5,,,0.1,,,0.5,,,,,,,,True,True,,,,,,,False,,,False,,,False,,,,,,
02105,0,0.0,,0.0,0.0,,,,,,,28.0,,,0.0,,,0.0,,,,,,,0.0,,0.0,0.0,,,,,,,28.0,,,0.0,,,0.0,,,,,,,,True,True,,,,,,,False,,,False,,,True,,,,,,
02110,108,56.0,,36.0,66.0,,,,,,,114.9,,13.9,36.4,,,0.9,178.9,,,,,,-52.0,,-72.0,-42.0,,,,,,,6.9,,-94.1,-71.6,,,-107.1,70.9,,,,,,,False,True,,,,,,,True,,False,False,,,False,False,,,,,
02122,118,120.0,320.8,120.0,72.0,,,,,,,308.3,,30.8,141.5,188.3,,55.0,126.4,,,,,,2.0,202.8,2.0,-46.0,,,,,,,190.3,,-87.2,23.5,70.3,,-63.0,8.4,,,,,,False,False,False,,,,,,,False,,False,False,False,,False,False,,,,,
02130,12,12.0,,4.0,0.0,,,,,,,6.6,,2.4,4.0,,,12.3,12.8,,,,,,0.0,,-8.0,-12.0,,,,,,,-5.4,,-9.6,-8.0,,,0.3,0.8,,,,,,,False,False,,,,,,,False,,False,False,,,False,False,,,,,
02150,41,4.0,,0.0,0.0,,,,,,,4.2,,0.2,0.8,,,0.1,,,,,,,-37.0,,-41.0,-41.0,,,,,,,-36.8,,-40.8,-40.2,,,-40.9,,,,,,,,False,False,,,,,,,True,,False,False,,,False,,,,,,
02158,4,4.0,,0.0,0.0,,,,,,,,,,0.6,,,0.0,,,,,,,0.0,,-4.0,-4.0,,,,,,,,,,-3.4,,,-4.0,,,,,,,,False,False,,,,,,,,,,False,,,False,,,,,,
02164,7,0.0,,0.0,0.0,,,,,,,7.2,,,0.0,,,0.0,,,,,,,-7.0,,-7.0,-7.0,,,,,,,0.2,,,-7.0,,,-7.0,,,,,,,,False,False,,,,,,,True,,,True,,,False,,,,,,
