,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Oklahoma,27272,25120.0,,31046.8,21547.0,37116.0,36947.0,48052.9,42570.7,37272.9,,19251.0,52820.3,32038.0,-2152.0,,3774.8,-5725.0,9844.0,9675.0,20780.9,15298.7,10000.9,,-8021.0,25548.3,4766.0,,False,False,False,False,False,False,False,,False,False,False
Oregon,9801,9775.0,,11973.5,11759.0,14740.2,9183.0,26850.1,17052.0,10742.5,,10245.2,10774.1,9895.0,-26.0,,2172.5,1958.0,4939.2,-618.0,17049.1,7251.0,941.5,,444.2,973.1,94.0,,False,False,False,False,False,False,False,,False,False,False
Pennsylvania,26461,31675.0,,39330.3,2026.0,33282.9,24745.0,71863.4,56683.6,17442.5,,36020.8,35153.1,32961.0,5214.0,,12869.3,-24435.0,6821.9,-1716.0,45402.4,30222.6,-9018.5,,9559.8,8692.1,6500.0,,False,False,False,True,False,False,False,,False,False,False
Rhode Island,3459,2155.0,,2870.0,73.0,3092.6,3739.0,474.4,660.9,936.0,,2026.7,2112.7,1169.0,-1304.0,,-589.0,-3386.0,-366.4,280.0,-2984.6,-2798.1,-2523.0,,-1432.3,-1346.3,-2290.0,,True,False,True,True,False,False,False,,False,False,False
South Carolina,37241,61980.0,,77382.4,68867.0,74209.2,51356.0,57530.8,77223.8,33847.8,,47875.0,29756.7,29650.0,24739.0,,40141.4,31626.0,36968.2,14115.0,20289.8,39982.8,-3393.2,,10634.0,-7484.3,-7591.0,,False,False,False,True,True,False,True,,True,True,True
South Dakota,4637,2215.0,,1595.7,960.0,4236.1,1591.0,2555.2,1893.8,1736.7,,3406.8,4105.4,2561.0,-2422.0,,-3041.3,-3677.0,-400.9,-3046.0,-2081.8,-2743.2,-2900.3,,-1230.2,-531.6,-2076.0,,False,False,True,False,True,False,False,,True,True,True
Tennessee,61484,72300.0,,115677.6,77287.0,52565.9,60249.0,67615.2,191156.8,87626.4,,65917.4,67320.3,64951.0,10816.0,,54193.6,15803.0,-8918.1,-1235.0,6131.2,129672.8,26142.4,,4433.4,5836.3,3467.0,,False,False,True,True,True,False,False,,True,True,True
Texas,239289,315900.0,,482172.2,399793.0,1063905.5,459075.0,304479.8,393073.4,94786.4,,260665.9,131435.1,147528.0,76611.0,,242883.2,160504.0,824616.5,219786.0,65190.8,153784.4,-144502.6,,21376.9,-107853.9,-91761.0,,False,False,False,False,True,False,False,,True,False,False
Utah,13783,21455.0,,22210.2,27429.0,32238.6,17971.0,25122.6,26787.0,11237.4,,20304.5,11119.8,13188.0,7672.0,,8427.2,13646.0,18455.6,4188.0,11339.6,13004.0,-2545.6,,6521.5,-2663.2,-595.0,,False,False,False,True,False,False,True,,True,True,True
Vermont,209,290.0,,226.3,17.0,4.7,154.0,1352.2,459.3,139.2,,337.4,364.7,206.0,81.0,,17.3,-192.0,-204.3,-55.0,1143.2,250.3,-69.8,,128.4,155.7,-3.0,,True,False,False,True,False,False,True,,False,False,True
Virginia,35200,36180.0,,36504.3,11502.0,21394.5,30934.0,51342.0,88541.2,24677.0,,61011.4,39978.3,5039.0,980.0,,1304.3,-23698.0,-13805.5,-4266.0,16142.0,53341.2,-10523.0,,25811.4,4778.3,-30161.0,,False,False,False,False,False,False,False,,False,False,False
Washington,22216,29115.0,,32290.0,26582.0,56708.3,23730.0,43479.8,62420.6,20225.3,,32823.8,24247.8,25172.0,6899.0,,10074.0,4366.0,34492.3,1514.0,21263.8,40204.6,-1990.7,,10607.8,2031.8,2956.0,,False,True,False,True,False,False,True,,False,True,True
West Virginia,4195,4405.0,,7581.0,3149.0,782.7,2422.0,9493.5,5592.8,4004.4,,4445.0,6771.7,4958.0,210.0,,3386.0,-1046.0,-3412.3,-1773.0,5298.5,1397.8,-190.6,,250.0,2576.7,763.0,,False,False,False,False,False,False,True,,False,False,False
Wisconsin,26930,31925.0,,37195.2,13813.0,7587.2,26745.0,48547.9,78982.8,24650.1,,30143.4,38539.3,27795.0,4995.0,,10265.2,-13117.0,-19342.8,-185.0,21617.9,52052.8,-2279.9,,3213.4,11609.3,865.0,,False,False,False,True,False,False,True,,True,False,True
Wyoming,1365,1690.0,,2254.9,934.0,7.0,1063.0,2858.5,3146.7,1194.9,,2422.4,2117.8,1628.0,325.0,,889.9,-431.0,-1358.0,-302.0,1493.5,1781.7,-170.1,,1057.4,752.8,263.0,,False,False,False,True,False,False,True,,False,False,True
US,1775676,2333040.0,1820014.0,3105246.1,2018182.0,3610488.6,2287636.0,2657551.5,3876693.8,1387083.6,2269247.3,2470128.9,1926281.8,1615461.0,557364.0,44338.0,1329570.1,242506.0,1834812.6,511960.0,881875.5,2101017.8,-388592.4,493571.3,694452.9,150605.8,-160215.0,True,False,True,False,True,False,False,True,True,False,True,True
