,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Kentucky,131528,104993.0,,109816.7,,117430.0,151390.5,70902.1,,65929.3,65995.0,-26535.0,,-21711.3,,-14098.0,19862.5,-60625.9,,-65598.7,-65533.0,,True,,True,True,False,,False,False
Louisiana,122086,98455.0,,114324.4,,134793.0,117937.1,65807.9,,87907.7,52123.0,-23631.0,,-7761.6,,12707.0,-4148.9,-56278.1,,-34178.3,-69963.0,,True,,True,True,False,,False,False
Maine,20878,19663.0,,28706.4,,24919.0,44805.7,43823.8,,21110.6,14064.0,-1215.0,,7828.4,,4041.0,23927.7,22945.8,,232.6,-6814.0,,False,,False,False,False,,True,False
Maryland,104696,116802.0,,110966.7,,111771.0,136176.9,54219.5,,125121.2,60158.0,12106.0,,6270.7,,7075.0,31480.9,-50476.5,,20425.2,-44538.0,,True,,True,False,False,,False,False
Massachusetts,206293,212324.0,,228718.3,,243730.0,343922.4,129476.5,,138454.0,141708.0,6031.0,,22425.3,,37437.0,137629.4,-76816.5,,-67839.0,-64585.0,,False,,False,False,False,,False,False
Michigan,112630,141890.0,,111664.9,,179120.0,140527.0,39689.3,,323834.2,84499.0,29260.0,,-965.1,,66490.0,27897.0,-72940.7,,211204.2,-28131.0,,True,,False,True,False,,False,True
Minnesota,66246,83370.0,,76350.6,,121422.0,82770.4,18022.2,,55385.7,54225.0,17124.0,,10104.6,,55176.0,16524.4,-48223.8,,-10860.3,-12021.0,,True,,False,True,False,,True,True
Mississippi,81320,90384.0,,96498.0,,106584.0,107424.6,62256.9,,78612.9,53023.0,9064.0,,15178.0,,25264.0,26104.6,-19063.1,,-2707.1,-28297.0,,False,,False,False,False,,True,False
Missouri,128549,125475.0,,125154.3,,141334.0,149306.2,53250.0,,122815.1,65075.0,-3074.0,,-3394.7,,12785.0,20757.2,-75299.0,,-5733.9,-63474.0,,False,,False,False,False,,False,False
Montana,17864,19698.0,,18600.4,,26034.0,19973.5,7524.4,,11101.5,11304.0,1834.0,,736.4,,8170.0,2109.5,-10339.6,,-6762.5,-6560.0,,True,,False,False,False,,False,False
Nebraska,35690,41454.0,,40639.4,,45397.0,52674.3,11025.9,,58049.3,22222.0,5764.0,,4949.4,,9707.0,16984.3,-24664.1,,22359.3,-13468.0,,True,,False,False,False,,False,False
Nevada,72183,96565.0,,89459.1,,105562.0,135753.2,48229.9,,85844.9,52744.0,24382.0,,17276.1,,33379.0,63570.2,-23953.1,,13661.9,-19439.0,,True,,False,False,True,,True,True
New Hampshire,29625,30268.0,,33515.5,,36822.0,55461.7,29546.0,,29451.7,23760.0,643.0,,3890.5,,7197.0,25836.7,-79.0,,-173.3,-5865.0,,False,,False,False,True,,True,False
New Jersey,237095,220388.0,,202140.8,,208133.0,293768.0,101857.9,,159105.9,122589.0,-16707.0,,-34954.2,,-28962.0,56673.0,-135237.1,,-77989.1,-114506.0,,False,,False,False,False,,False,False
New Mexico,43063,58072.0,,48712.4,,67656.0,75986.3,20929.9,,24044.6,29794.0,15009.0,,5649.4,,24593.0,32923.3,-22133.1,,-19018.4,-13269.0,,True,,False,False,False,,False,True
New York,607526,535059.0,,502581.8,,469879.0,734280.7,463291.7,,463631.4,293434.0,-72467.0,,-104944.2,,-137647.0,126754.7,-144234.3,,-143894.6,-314092.0,,False,,False,False,False,,False,False
North Carolina,304794,291634.0,,274280.7,,327163.0,400100.4,237152.7,,267913.8,136564.0,-13160.0,,-30513.3,,22369.0,95306.4,-67641.3,,-36880.2,-168230.0,,False,,False,False,False,,False,False
North Dakota,7206,10990.0,,9570.8,,18597.0,10343.2,2636.5,,18049.8,5684.0,3784.0,,2364.8,,11391.0,3137.2,-4569.5,,10843.8,-1522.0,,True,,False,True,False,,False,True
Ohio,272873,351673.0,,357713.1,,424923.0,631996.1,165937.2,,273881.0,246472.0,78800.0,,84840.1,,152050.0,359123.1,-106935.8,,1008.0,-26401.0,,False,,False,False,False,,True,True
Oklahoma,135768,144480.0,,146431.4,,177113.0,220998.4,97565.3,,101850.1,99412.0,8712.0,,10663.4,,41345.0,85230.4,-38202.7,,-33917.9,-36356.0,,False,,False,False,False,,False,False
Oregon,41708,45584.0,,46418.7,,52744.0,61073.4,24125.6,,36365.0,35359.0,3876.0,,4710.7,,11036.0,19365.4,-17582.4,,-5343.0,-6349.0,,False,,False,False,False,,False,False
Pennsylvania,285893,391104.0,,370198.4,,423403.0,616914.8,261644.6,,290507.7,234735.0,105211.0,,84305.4,,137510.0,331021.8,-24248.4,,4614.7,-51158.0,,True,,False,False,True,,True,True
Rhode Island,38755,29778.0,,29681.7,,30655.0,36245.8,14588.4,,20521.6,12136.0,-8977.0,,-9073.3,,-8100.0,-2509.2,-24166.6,,-18233.4,-26619.0,,False,,True,True,False,,False,False
South Carolina,194248,128485.0,,159254.3,,149062.0,227266.9,137687.4,,141244.2,77123.0,-65763.0,,-34993.7,,-45186.0,33018.9,-56560.6,,-53003.8,-117125.0,,True,,True,True,True,,True,False
South Dakota,13242,18389.0,,17938.9,,23900.0,19882.7,5282.6,,25172.3,10984.0,5147.0,,4696.9,,10658.0,6640.7,-7959.4,,11930.3,-2258.0,,True,,False,False,False,,False,True
Tennessee,195179,400687.0,,379943.5,,409241.0,712002.7,448143.0,,336089.6,226489.0,205508.0,,184764.5,,214062.0,516823.7,252964.0,,140910.6,31310.0,,True,,False,False,False,,True,True
Texas,893700,587517.0,,626358.8,,875705.0,1010758.7,611505.3,,418728.3,332249.0,-306183.0,,-267341.2,,-17995.0,117058.7,-282194.7,,-474971.7,-561451.0,,True,,True,True,True,,False,False
Utah,96506,105756.0,,109258.5,,127917.0,133982.1,35747.7,,62269.6,61295.0,9250.0,,12752.5,,31411.0,37476.1,-60758.3,,-34236.4,-35211.0,,False,,False,False,False,,False,False
Vermont,6595,4361.0,,3956.2,,5084.0,5715.4,3472.8,,4362.8,2837.0,-2234.0,,-2638.8,,-1511.0,-879.6,-3122.2,,-2232.2,-3758.0,,False,,True,True,False,,True,False
Virginia,217847,186235.0,,175524.3,,203245.0,258844.6,177266.0,,113645.2,91910.0,-31612.0,,-42322.7,,-14602.0,40997.6,-40581.0,,-104201.8,-125937.0,,False,,True,False,False,,False,False
Washington,91328,98833.0,,76567.2,,104050.0,170961.8,38096.3,,86417.5,61436.0,7505.0,,-14760.8,,12722.0,79633.8,-53231.7,,-4910.5,-29892.0,,False,,False,False,False,,True,False
West Virginia,47105,62734.0,,67770.5,,60008.0,100376.4,47986.4,,45229.1,35301.0,15629.0,,20665.5,,12903.0,53271.4,881.4,,-1875.9,-11804.0,,False,,True,False,True,,True,True
Wisconsin,100629,107401.0,,99117.3,,154135.0,176383.3,42560.9,,96764.2,55875.0,6772.0,,-1511.7,,53506.0,75754.3,-58068.1,,-3864.8,-44754.0,,True,,False,False,False,,True,False
Wyoming,9940,11606.0,,11735.8,,15800.0,15297.0,4923.7,,10963.8,5779.0,1666.0,,1795.8,,5860.0,5357.0,-5016.3,,1023.8,-4161.0,,False,,False,False,False,,True,False
US,8544256,9289301.0,10039025.0,7749443.3,9018671.0,9383539.0,14760059.3,8472617.3,8966988.0,6716316.5,5620727.0,745045.0,1494769.0,-794812.7,474415.0,839283.0,6215803.3,-71638.7,422732.0,-1827939.5,-2923529.0,False,False,True,False,False,True,True,False,False
