,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01023,24,21.0,,19.3,,32.0,6.0,,,,,41.3,,30.4,,,135.0,56.1,38.0,,,0.0,19.0,,,,28.0,44.0,33.7,,,,,,,,,,31.7,50.4,-3.0,,-4.7,,8.0,-18.0,,,,,17.3,,6.4,,,111.0,32.1,14.0,,,-24.0,-5.0,,,,4.0,20.0,9.7,,,,,,,,,,7.7,26.4,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
01025,404,552.0,,550.9,,409.0,732.0,,,,,308.2,,326.3,,,249.0,458.5,306.5,,,545.0,383.8,,,,702.0,367.0,413.4,,,,,,329.3,,,,854.0,676.1,148.0,,146.9,,5.0,328.0,,,,,-95.8,,-77.7,,,-155.0,54.5,-97.5,,,141.0,-20.2,,,,298.0,-37.0,9.4,,,,,,-74.7,,,,450.0,272.1,,True,,True,False,,,,,True,,True,,,False,True,True,,,True,True,,,,False,True,True,,,,,,True,,,,False,False
01027,93,108.0,,113.4,,112.0,46.0,,,,,101.6,,81.5,,,153.0,49.8,89.0,,,128.0,88.1,,,,85.0,99.0,162.2,,,,,,,,,,131.4,112.6,15.0,,20.4,,19.0,-47.0,,,,,8.6,,-11.5,,,60.0,-43.2,-4.0,,,35.0,-4.9,,,,-8.0,6.0,69.2,,,,,,,,,,38.4,19.6,,False,,False,False,,,,,True,,True,,,False,False,True,,,False,True,,,,True,True,False,,,,,,,,,,False,False
01029,121,129.0,,112.8,,118.0,43.0,,,,,104.8,,106.9,,,179.0,105.0,109.7,,,135.0,97.0,,,,138.0,111.0,186.6,,,,,,,,,,181.8,133.9,8.0,,-8.2,,-3.0,-78.0,,,,,-16.2,,-14.1,,,58.0,-16.0,-11.3,,,14.0,-24.0,,,,17.0,-10.0,65.6,,,,,,,,,,60.8,12.9,,False,,True,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
01031,541,678.0,,727.5,,524.0,653.0,,,,,487.7,,411.9,,,527.0,327.9,552.4,443.0,,409.0,440.8,,,,670.0,542.0,731.5,,,,,,435.8,,,,794.9,829.7,137.0,,186.5,,-17.0,112.0,,,,,-53.3,,-129.1,,,-14.0,-213.1,11.4,-98.0,,-132.0,-100.2,,,,129.0,1.0,190.5,,,,,,-105.2,,,,253.9,288.7,,False,,True,True,,,,,True,,True,,,True,False,True,True,,True,True,,,,True,True,False,,,,,,True,,,,False,False
01033,441,564.0,,574.3,,428.0,397.0,,,,,523.9,,373.6,,,720.0,337.5,464.6,257.0,,332.0,348.0,,,,519.0,494.0,494.3,,,,,,346.5,,,,498.7,606.1,123.0,,133.3,,-13.0,-44.0,,,,,82.9,,-67.4,,,279.0,-103.5,23.6,-184.0,,-109.0,-93.0,,,,78.0,53.0,53.3,,,,,,-94.5,,,,57.7,165.1,,False,,True,True,,,,,True,,True,,,False,True,True,False,,True,True,,,,True,True,True,,,,,,True,,,,True,False
01035,72,108.0,,110.9,,90.0,91.0,,,,,81.5,,85.8,,,103.0,74.0,81.8,,,79.0,72.1,,,,142.0,91.0,95.3,,,,,,,,,,119.9,96.6,36.0,,38.9,,18.0,19.0,,,,,9.5,,13.8,,,31.0,2.0,9.8,,,7.0,0.1,,,,70.0,19.0,23.3,,,,,,,,,,47.9,24.6,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,,,,False,True
01037,202,87.0,,72.5,,60.0,32.0,,,,,49.1,,69.0,,,91.0,20.6,57.6,,,39.0,58.4,,,,92.0,99.0,67.2,,,,,,,,,,89.6,72.1,-115.0,,-129.5,,-142.0,-170.0,,,,,-152.9,,-133.0,,,-111.0,-181.4,-144.4,,,-163.0,-143.6,,,,-110.0,-103.0,-134.8,,,,,,,,,,-112.4,-129.9,,False,,False,False,,,,,False,,False,,,True,False,False,,,False,False,,,,True,True,False,,,,,,,,,,True,False
01039,437,348.0,,383.5,,299.0,272.0,,,,,327.5,,252.1,,,380.0,114.2,309.0,186.0,,308.0,247.0,,,,295.0,324.0,286.4,,,,,,391.8,,,,470.6,351.3,-89.0,,-53.5,,-138.0,-165.0,,,,,-109.5,,-184.9,,,-57.0,-322.8,-128.0,-251.0,,-129.0,-190.0,,,,-142.0,-113.0,-150.6,,,,,,-45.2,,,,33.6,-85.7,,True,,False,False,,,,,False,,False,,,True,False,False,False,,False,False,,,,False,False,False,,,,,,True,,,,True,True
01041,153,153.0,,230.6,,121.0,61.0,,,,,113.1,,103.8,,,131.0,55.3,150.7,,,120.0,114.9,,,,152.0,123.0,122.7,,,,,,,,,,206.2,174.1,0.0,,77.6,,-32.0,-92.0,,,,,-39.9,,-49.2,,,-22.0,-97.7,-2.3,,,-33.0,-38.1,,,,-1.0,-30.0,-30.3,,,,,,,,,,53.2,21.1,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,,,,False,False
01043,531,774.0,,806.4,,672.0,724.0,,,,,754.1,,569.0,,,1251.0,435.3,687.1,236.0,,444.0,498.6,,,,648.0,626.0,520.3,,,,,,891.5,,,,961.0,1130.3,243.0,,275.4,,141.0,193.0,,,,,223.1,,38.0,,,720.0,-95.7,156.1,-295.0,,-87.0,-32.4,,,,117.0,95.0,-10.7,,,,,,360.5,,,,430.0,599.3,,False,,True,True,,,,,True,,True,,,False,True,True,False,,True,True,,,,True,True,True,,,,,,False,,,,False,False
01045,413,459.0,,472.8,,378.0,176.0,,,,,421.7,,326.0,,,507.0,381.3,431.9,387.0,,287.5,343.7,,,,491.0,371.0,306.8,,,,,,364.9,,,,495.4,560.3,46.0,,59.8,,-35.0,-237.0,,,,,8.7,,-87.0,,,94.0,-31.7,18.9,-26.0,,-125.5,-69.3,,,,78.0,-42.0,-106.2,,,,,,-48.1,,,,82.4,147.3,,False,,True,False,,,,,True,,False,,,False,True,True,True,,False,False,,,,False,True,False,,,,,,False,,,,False,False
01047,153,303.0,,306.6,,301.0,365.0,,,,,258.5,,207.8,,,317.0,405.7,229.8,252.0,,231.0,199.2,,,,322.0,237.0,309.4,,,,,,279.6,,,,435.6,309.5,150.0,,153.6,,148.0,212.0,,,,,105.5,,54.8,,,164.0,252.7,76.8,99.0,,78.0,46.2,,,,169.0,84.0,156.4,,,,,,126.6,,,,282.6,156.5,,False,,True,False,,,,,True,,True,,,False,False,True,True,,True,True,,,,False,True,False,,,,,,True,,,,False,False
01049,472,600.0,,637.2,,621.0,698.0,,,,,688.8,,465.0,,,1044.0,480.4,536.3,270.5,,420.0,453.7,,,,585.0,520.0,782.7,,,,,,538.1,,,,833.6,747.5,128.0,,165.2,,149.0,226.0,,,,,216.8,,-7.0,,,572.0,8.4,64.3,-201.5,,-52.0,-18.3,,,,113.0,48.0,310.7,,,,,,66.1,,,,361.6,275.5,,False,,False,False,,,,,False,,True,,,False,True,True,False,,True,True,,,,True,True,False,,,,,,True,,,,False,False
01051,905,1200.0,,1200.5,,808.0,855.0,,,,,935.0,,660.8,,,818.0,541.9,831.8,387.5,,641.0,728.5,,,,1133.0,959.0,828.4,,,,,,628.9,,,,1440.5,1402.6,295.0,,295.5,,-97.0,-50.0,,,,,30.0,,-244.2,,,-87.0,-363.1,-73.2,-517.5,,-264.0,-176.5,,,,228.0,54.0,-76.6,,,,,,-276.1,,,,535.5,497.6,,False,,True,True,,,,,True,,True,,,True,False,True,False,,True,True,,,,True,True,True,,,,,,True,,,,False,False
01053,358,552.0,,538.5,,424.0,162.0,,,,,361.4,,349.8,,,393.0,407.2,369.3,476.5,,554.5,362.3,,,,718.0,413.0,574.9,,,,,,391.1,,,,795.0,581.4,194.0,,180.5,,66.0,-196.0,,,,,3.4,,-8.2,,,35.0,49.2,11.3,118.5,,196.5,4.3,,,,360.0,55.0,216.9,,,,,,33.1,,,,437.0,223.4,,True,,True,False,,,,,True,,True,,,True,True,True,True,,False,True,,,,False,True,False,,,,,,True,,,,False,False
01055,866,1149.0,,1188.1,,1076.0,1362.0,,,,,1171.3,,777.9,,,1426.0,867.3,1020.6,379.5,,707.0,816.3,,,,1172.0,1005.0,1296.1,,,,,,1073.8,,,,1211.2,1673.3,283.0,,322.1,,210.0,496.0,,,,,305.3,,-88.1,,,560.0,1.3,154.6,-486.5,,-159.0,-49.7,,,,306.0,139.0,430.1,,,,,,207.8,,,,345.2,807.3,,False,,True,False,,,,,False,,True,,,False,True,True,False,,True,True,,,,False,True,False,,,,,,True,,,,False,False
01057,161,321.0,,317.6,,230.0,309.0,,,,,144.9,,159.5,,,231.0,254.2,206.8,,,304.0,205.8,,,,311.0,216.0,171.1,,,,,,,,,,304.9,254.7,160.0,,156.6,,69.0,148.0,,,,,-16.1,,-1.5,,,70.0,93.2,45.8,,,143.0,44.8,,,,150.0,55.0,10.1,,,,,,,,,,143.9,93.7,,True,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,True,True,True,,,,,,,,,,True,True
01059,204,267.0,,287.6,,231.0,165.0,,,,,330.3,,173.7,,,505.0,138.9,291.9,122.0,,148.0,181.0,,,,254.0,254.0,246.1,,,,,,173.1,,,,370.6,333.6,63.0,,83.6,,27.0,-39.0,,,,,126.3,,-30.3,,,301.0,-65.1,87.9,-82.0,,-56.0,-23.0,,,,50.0,50.0,42.1,,,,,,-30.9,,,,166.6,129.6,,False,,True,True,,,,,False,,True,,,False,False,False,False,,True,True,,,,True,True,True,,,,,,True,,,,False,False
01061,243,321.0,,294.0,,269.0,193.0,,,,,212.3,,201.5,,,275.0,164.0,238.3,,,276.0,218.5,,,,278.0,279.0,321.3,,,,,,,,,,300.3,338.2,78.0,,51.0,,26.0,-50.0,,,,,-30.7,,-41.5,,,32.0,-79.0,-4.7,,,33.0,-24.5,,,,35.0,36.0,78.3,,,,,,,,,,57.3,95.2,,True,,True,True,,,,,True,,True,,,True,False,True,,,True,True,,,,True,True,False,,,,,,,,,,True,False
01063,72,66.0,,70.2,,62.0,24.0,,,,,63.2,,66.2,,,73.0,25.9,55.4,,,5.0,40.5,,,,69.0,54.0,113.7,,,,,,,,,,120.0,73.4,-6.0,,-1.8,,-10.0,-48.0,,,,,-8.8,,-5.8,,,1.0,-46.1,-16.6,,,-67.0,-31.5,,,,-3.0,-18.0,41.7,,,,,,,,,,48.0,1.4,,True,,False,False,,,,,False,,True,,,True,False,False,,,False,False,,,,True,False,False,,,,,,,,,,False,True
01065,177,285.0,,308.1,,171.0,178.0,,,,,160.3,,167.5,,,164.0,93.8,191.2,,,157.0,162.6,,,,287.0,177.0,124.5,,,,,,,,,,387.4,309.3,108.0,,131.1,,-6.0,1.0,,,,,-16.7,,-9.5,,,-13.0,-83.2,14.2,,,-20.0,-14.4,,,,110.0,0.0,-52.5,,,,,,,,,,210.4,132.3,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,,,,False,False
01067,181,204.0,,194.3,,155.0,68.0,,,,,154.6,,138.6,,,155.0,151.9,158.4,,,114.0,131.1,,,,251.0,191.0,186.2,,,,,,,,,,280.7,252.5,23.0,,13.3,,-26.0,-113.0,,,,,-26.4,,-42.4,,,-26.0,-29.1,-22.6,,,-67.0,-49.9,,,,70.0,10.0,5.2,,,,,,,,,,99.7,71.5,,True,,False,False,,,,,False,,False,,,False,False,True,,,False,False,,,,False,True,True,,,,,,,,,,False,False
01069,885,1296.0,,1405.8,,972.0,986.0,,,,,955.0,,885.6,,,1029.0,679.3,932.0,833.0,,881.0,781.5,,,,1324.0,1141.0,1598.9,,,,,,767.0,,,,1100.6,1343.9,411.0,,520.8,,87.0,101.0,,,,,70.0,,0.6,,,144.0,-205.7,47.0,-52.0,,-4.0,-103.5,,,,439.0,256.0,713.9,,,,,,-118.0,,,,215.6,458.9,,False,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,False,,,,,,True,,,,True,False
01071,418,609.0,,555.3,,509.0,613.0,,,,,543.2,,418.7,,,688.0,212.1,488.5,206.0,,341.0,404.8,,,,567.0,488.0,433.7,,,,,,489.5,,,,692.0,845.7,191.0,,137.3,,91.0,195.0,,,,,125.2,,0.7,,,270.0,-205.9,70.5,-212.0,,-77.0,-13.2,,,,149.0,70.0,15.7,,,,,,71.5,,,,274.0,427.7,,True,,True,False,,,,,True,,True,,,False,False,True,False,,True,True,,,,True,True,True,,,,,,True,,,,False,False
01073,4927,8046.0,,7784.1,8277.6,5915.0,5775.0,,,,,6362.1,,4698.2,,6022.2,7190.0,3759.3,7450.1,5489.0,,5381.5,5205.9,,,,7574.0,5861.0,5157.5,,,,,,5085.1,4555.0,,,8841.0,8775.3,3119.0,,2857.1,3350.6,988.0,848.0,,,,,1435.1,,-228.8,,1095.2,2263.0,-1167.7,2523.1,562.0,,454.5,278.9,,,,2647.0,934.0,230.5,,,,,,158.1,-372.0,,,3914.0,3848.3,,True,False,True,True,,,,,True,,True,,True,True,True,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,False,False
01075,78,72.0,,67.0,,64.0,32.0,,,,,89.5,,65.9,,,168.0,39.5,82.6,,,34.0,56.4,,,,65.0,76.0,74.7,,,,,,,,,,97.5,151.0,-6.0,,-11.0,,-14.0,-46.0,,,,,11.5,,-12.1,,,90.0,-38.5,4.6,,,-44.0,-21.6,,,,-13.0,-2.0,-3.3,,,,,,,,,,19.5,73.0,,False,,False,False,,,,,False,,False,,,False,False,True,,,False,False,,,,False,True,True,,,,,,,,,,False,False
01077,613,957.0,,978.6,,697.0,724.0,,,,,794.8,,645.0,,,1127.0,549.8,781.4,296.0,,551.5,585.8,,,,963.0,825.0,601.5,,,,,,563.8,,,,1211.7,1086.4,344.0,,365.6,,84.0,111.0,,,,,181.8,,32.0,,,514.0,-63.2,168.4,-317.0,,-61.5,-27.2,,,,350.0,212.0,-11.5,,,,,,-49.2,,,,598.7,473.4,,False,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,False,True,True,,,,,,True,,,,False,False
01079,238,324.0,,322.4,,251.0,197.0,,,,,253.1,,251.6,,,482.0,117.5,254.7,275.0,,176.0,212.3,,,,294.0,257.0,221.6,,,,,,201.0,,,,419.2,422.7,86.0,,84.4,,13.0,-41.0,,,,,15.1,,13.6,,,244.0,-120.5,16.7,37.0,,-62.0,-25.7,,,,56.0,19.0,-16.4,,,,,,-37.0,,,,181.2,184.7,,True,,True,True,,,,,True,,True,,,False,False,True,True,,True,True,,,,True,True,True,,,,,,True,,,,False,False
01081,1426,2232.0,,2117.1,,1695.0,1340.0,,,,,1505.6,,1239.2,,2416.1,1469.0,1905.4,1764.6,1045.0,,1939.0,1642.5,,,,2809.0,1646.0,1479.4,,,,,,1626.3,1480.0,,,2582.1,2949.6,806.0,,691.1,,269.0,-86.0,,,,,79.6,,-186.8,,990.1,43.0,479.4,338.6,-381.0,,513.0,216.5,,,,1383.0,220.0,53.4,,,,,,200.3,54.0,,,1156.1,1523.6,,True,,True,True,,,,,True,,True,,False,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,False,False
01083,832,1074.0,,1004.8,,848.0,756.0,,,,,866.8,,648.4,,,1116.0,607.4,792.3,807.5,,659.0,696.4,,,,1043.0,880.0,727.2,,,,,,1087.6,,,,1149.0,1283.5,242.0,,172.8,,16.0,-76.0,,,,,34.8,,-183.6,,,284.0,-224.6,-39.7,-24.5,,-173.0,-135.6,,,,211.0,48.0,-104.8,,,,,,255.6,,,,317.0,451.5,,True,,True,True,,,,,True,,True,,,False,True,True,True,,True,True,,,,True,True,True,,,,,,False,,,,False,False
