,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,100650,157485.0,160779.1,160363.7,147838.0,189368.0,,152473.6,191016.0,130508.7,,155238.2,,146146.2,166951.0,96902.9,142326.0,118231.9,132677.5,143322.8,124569.5,119688.9,238281.3,168424.3,161071.7,185594.0,138622.0,,134936.9,,122388.0,,153159.5,260628.8,153006.1,148650.0,188195.5,,56835.0,60129.1,59713.7,47188.0,88718.0,,51823.6,90366.0,29858.7,,54588.2,,45496.2,66301.0,-3747.1,41676.0,17581.9,32027.5,42672.8,23919.5,19038.9,137631.3,67774.3,60421.7,84944.0,37972.0,,34286.9,,21738.0,,52509.5,159978.8,52356.1,48000.0,87545.5,,False,False,True,False,,True,False,True,,True,,True,False,True,True,True,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,True,True,False,
Hawaii,1779,2286.0,2410.3,2317.1,2597.0,2015.0,,2672.8,5163.0,2802.1,,3145.8,,2535.2,,1431.2,2314.0,4632.9,2983.0,3771.8,1785.0,2258.3,3097.5,3013.3,2877.9,2865.0,3079.0,,2638.4,,4332.3,,1829.8,4591.3,2531.8,1929.0,2988.4,,507.0,631.3,538.1,818.0,236.0,,893.8,3384.0,1023.1,,1366.8,,756.2,,-347.8,535.0,2853.9,1204.0,1992.8,6.0,479.3,1318.5,1234.3,1098.9,1086.0,1300.0,,859.4,,2553.3,,50.8,2812.3,752.8,150.0,1209.4,,False,False,False,True,,False,False,False,,False,,False,,True,False,False,False,False,True,True,False,False,False,False,False,,False,,False,,True,False,False,True,False,
Idaho,8158,12147.0,10531.7,12124.4,11103.0,8268.0,,13213.4,7191.0,24943.4,,12116.4,,9158.7,12996.0,5531.9,11957.0,11650.5,12887.0,10851.9,5420.0,8549.0,7798.9,15235.1,12787.9,13133.0,16138.0,,8220.0,,9387.8,,9415.6,17762.4,16439.9,11952.0,19556.9,,3989.0,2373.7,3966.4,2945.0,110.0,,5055.4,-967.0,16785.4,,3958.4,,1000.7,4838.0,-2626.1,3799.0,3492.5,4729.0,2693.9,-2738.0,391.0,-359.1,7077.1,4629.9,4975.0,7980.0,,62.0,,1229.8,,1257.6,9604.4,8281.9,3794.0,11398.9,,True,True,True,True,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,True,False,False,False,False,,True,,True,,True,False,False,True,False,
Illinois,61996,101580.0,83239.0,99413.8,84370.0,88610.0,,98147.9,22566.0,66039.6,,103181.6,,86471.6,92927.0,41880.7,84284.0,88676.7,96645.0,76342.0,67798.5,78529.8,34180.9,66734.1,104124.1,96835.0,117730.0,,92901.9,,24979.5,,75222.1,141205.6,108441.5,81544.0,153079.6,,39584.0,21243.0,37417.8,22374.0,26614.0,,36151.9,-39430.0,4043.6,,41185.6,,24475.6,30931.0,-20115.3,22288.0,26680.7,34649.0,14346.0,5802.5,16533.8,-27815.1,4738.1,42128.1,34839.0,55734.0,,30905.9,,-37016.5,,13226.1,79209.6,46445.5,19548.0,91083.6,,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,,True,,True,False,False,True,False,
Indiana,39138,64410.0,61549.7,65895.6,60361.0,47965.0,,64698.4,43735.0,53808.7,,65692.3,,47861.3,64304.0,21652.3,64972.0,54186.2,64027.0,64714.4,37238.5,44957.3,22239.9,43699.6,73323.2,61922.0,70931.0,,50687.7,,24950.3,,84703.8,96072.4,57216.1,51580.0,97005.9,,25272.0,22411.7,26757.6,21223.0,8827.0,,25560.4,4597.0,14670.7,,26554.3,,8723.3,25166.0,-17485.7,25834.0,15048.2,24889.0,25576.4,-1899.5,5819.3,-16898.1,4561.6,34185.2,22784.0,31793.0,,11549.7,,-14187.7,,45565.8,56934.4,18078.1,12442.0,57867.9,,True,False,True,True,,False,True,True,,False,,True,True,True,False,True,True,False,True,True,True,True,False,True,False,,True,,True,,False,False,True,True,False,
Iowa,16417,23622.0,14992.1,21991.1,19832.0,21273.0,,23138.0,248366.0,15195.1,,25841.2,,19878.2,18496.0,6697.3,23775.0,19617.2,16745.5,23852.7,17272.5,17438.6,12210.2,10761.1,22456.6,22669.0,34569.0,,20468.0,,6214.9,,18640.2,30167.9,29485.1,18472.0,24077.0,,7205.0,-1424.9,5574.1,3415.0,4856.0,,6721.0,231949.0,-1221.9,,9424.2,,3461.2,2079.0,-9719.7,7358.0,3200.2,328.5,7435.7,855.5,1021.6,-4206.8,-5655.9,6039.6,6252.0,18152.0,,4051.0,,-10202.1,,2223.2,13750.9,13068.1,2055.0,7660.0,,True,True,True,True,,True,False,True,,False,,True,True,False,False,True,True,False,True,True,True,True,True,True,False,,True,,False,,True,False,False,True,False,
Kansas,19567,31662.0,28838.0,30845.0,28670.0,25874.0,,32987.2,25068.0,12358.8,,36905.7,,36988.7,29305.0,19063.9,30111.0,24399.1,22634.0,29348.2,22889.0,19014.2,18917.0,32103.7,37617.8,32868.0,33338.0,,32341.9,,9583.9,,20657.6,47519.5,39448.5,19403.0,35541.9,,12095.0,9271.0,11278.0,9103.0,6307.0,,13420.2,5501.0,-7208.2,,17338.7,,17421.7,9738.0,-503.1,10544.0,4832.1,3067.0,9781.2,3322.0,-552.8,-650.0,12536.7,18050.8,13301.0,13771.0,,12774.9,,-9983.1,,1090.6,27952.5,19881.5,-164.0,15974.9,,True,True,True,True,,False,True,True,,False,,False,True,True,True,True,True,True,True,True,True,False,False,False,False,,False,,True,,True,False,False,True,False,
Kentucky,42523,60729.0,54930.6,60421.4,58358.0,64005.0,,66894.5,32305.0,84522.5,,48294.6,,59905.1,59995.0,36228.7,59963.0,45632.5,59515.5,59850.5,40963.5,43238.8,64864.2,87274.0,61245.8,73946.0,56496.0,,55252.0,,25331.7,,44148.1,92056.9,70350.6,51497.0,76688.2,,18206.0,12407.6,17898.4,15835.0,21482.0,,24371.5,-10218.0,41999.5,,5771.6,,17382.1,17472.0,-6294.3,17440.0,3109.5,16992.5,17327.5,-1559.5,715.8,22341.2,44751.0,18722.8,31423.0,13973.0,,12729.0,,-17191.3,,1625.1,49533.9,27827.6,8974.0,34165.2,,True,True,True,False,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,False,False,False,False,True,,True,,True,,True,False,False,True,False,
Louisiana,38330,46206.0,51223.4,44767.5,46296.0,30711.0,,49398.5,43376.0,976165.6,,45643.9,,48211.8,52185.0,31742.0,44063.0,43393.6,46162.5,36951.5,33993.0,35088.3,55470.9,42440.8,54924.7,51354.0,47816.0,,39520.9,,46919.6,,44312.7,101229.1,57491.8,24954.0,59535.6,,7876.0,12893.4,6437.5,7966.0,-7619.0,,11068.5,5046.0,937835.6,,7313.9,,9881.8,13855.0,-6588.0,5733.0,5063.6,7832.5,-1378.5,-4337.0,-3241.7,17140.9,4110.8,16594.7,13024.0,9486.0,,1190.9,,8589.6,,5982.7,62899.1,19161.8,-13376.0,21205.6,,False,True,False,True,,False,True,False,,True,,False,False,True,True,True,True,True,True,True,False,True,False,False,False,,True,,False,,True,False,False,False,False,
Maine,5827,10137.0,10527.5,10324.6,10682.0,7790.0,,11091.5,8135.0,8278.0,,12852.5,,12565.7,11384.0,9573.3,12812.0,11312.1,12476.0,12203.6,9138.0,7448.0,10962.0,11957.2,12305.4,15364.0,10995.0,,8269.6,,14591.2,,9528.9,17525.2,12133.7,8116.0,12824.2,,4310.0,4700.5,4497.6,4855.0,1963.0,,5264.5,2308.0,2451.0,,7025.5,,6738.7,5557.0,3746.3,6985.0,5485.1,6649.0,6376.6,3311.0,1621.0,5135.0,6130.2,6478.4,9537.0,5168.0,,2442.6,,8764.2,,3701.9,11698.2,6306.7,2289.0,6997.2,,False,False,False,True,,False,True,True,,False,,False,False,True,False,False,False,False,True,True,False,False,False,False,False,,True,,False,,True,False,False,True,False,
Maryland,30829,45828.0,46382.4,43977.0,45098.0,34837.0,,50030.6,399752.0,40914.3,,42843.2,,40981.6,45125.0,28228.9,46772.0,46947.1,53037.5,54508.5,33240.0,39544.6,49911.3,38679.5,55481.2,51838.0,44937.0,,47528.9,,51262.2,,40537.8,79086.5,55179.5,40588.0,56214.2,,14999.0,15553.4,13148.0,14269.0,4008.0,,19201.6,368923.0,10085.3,,12014.2,,10152.6,14296.0,-2600.1,15943.0,16118.1,22208.5,23679.5,2411.0,8715.6,19082.3,7850.5,24652.2,21009.0,14108.0,,16699.9,,20433.2,,9708.8,48257.5,24350.5,9759.0,25385.2,,False,True,True,True,,False,False,True,,True,,True,True,True,False,False,False,False,True,True,False,True,False,False,True,,False,,False,,True,False,False,True,False,
Massachusetts,59802,91101.0,90994.7,84840.5,85212.0,90955.0,,96401.2,76644.0,91445.7,,63631.4,,86570.9,100157.0,50831.6,82559.0,53627.4,91362.5,83598.4,61267.0,77291.8,80409.1,69600.2,108853.1,101178.0,77383.0,,89416.6,,82788.1,,116171.5,163062.0,123166.6,76768.0,105066.5,,31299.0,31192.7,25038.5,25410.0,31153.0,,36599.2,16842.0,31643.7,,3829.4,,26768.9,40355.0,-8970.4,22757.0,-6174.6,31560.5,23796.4,1465.0,17489.8,20607.1,9798.2,49051.1,41376.0,17581.0,,29614.6,,22986.1,,56369.5,103260.0,63364.6,16966.0,45264.5,,True,True,True,True,,False,True,False,,True,,True,False,True,True,True,False,True,True,True,True,True,False,False,True,,True,,True,,False,False,False,True,False,
Michigan,32210,44883.0,41323.1,46524.8,40516.0,48350.0,,42465.6,16146.0,85897.0,,57887.9,,37913.9,49022.0,17982.9,44336.0,55458.6,45117.5,32456.0,30453.5,35422.9,14872.5,29956.9,43563.6,44140.0,58154.0,,43753.5,,14128.4,,51913.1,54899.6,41588.9,33410.0,58348.5,,12673.0,9113.1,14314.8,8306.0,16140.0,,10255.6,-16064.0,53687.0,,25677.9,,5703.9,16812.0,-14227.1,12126.0,23248.6,12907.5,246.0,-1756.5,3212.9,-17337.5,-2253.1,11353.6,11930.0,25944.0,,11543.5,,-18081.6,,19703.1,22689.6,9378.9,1200.0,26138.5,,True,False,True,False,,True,False,False,,False,,True,False,False,True,False,False,True,True,True,False,True,True,True,False,,True,,False,,False,False,True,True,False,
Minnesota,18983,26283.0,20544.6,25247.4,21898.0,27545.0,,26073.9,5022.0,21183.6,,32584.8,,21354.7,29621.0,8511.8,25062.0,26832.7,24577.5,19352.6,17375.5,18895.4,18610.8,17977.1,24721.3,23566.0,38996.0,,23417.3,,6065.2,,19683.8,24109.7,36429.8,20862.0,34751.8,,7300.0,1561.6,6264.4,2915.0,8562.0,,7090.9,-13961.0,2200.6,,13601.8,,2371.7,10638.0,-10471.2,6079.0,7849.7,5594.5,369.6,-1607.5,-87.6,-372.2,-1005.9,5738.3,4583.0,20013.0,,4434.3,,-12917.8,,700.8,5126.7,17446.8,1879.0,15768.8,,True,True,True,False,,True,False,True,,False,,True,False,False,True,False,True,True,True,True,True,True,True,True,False,,True,,False,,True,True,False,True,False,
Mississippi,23320,36462.0,34574.0,37539.5,33959.0,28893.0,,38865.4,30765.0,35070.3,,36386.8,,32296.0,36128.0,22876.8,37673.0,28161.3,37032.5,31410.9,21750.5,25436.3,29186.2,20914.9,37777.1,39191.0,33916.0,,29611.1,,21821.7,,26950.8,56957.4,36249.9,37394.0,42101.5,,13142.0,11254.0,14219.5,10639.0,5573.0,,15545.4,7445.0,11750.3,,13066.8,,8976.0,12808.0,-443.2,14353.0,4841.3,13712.5,8090.9,-1569.5,2116.3,5866.2,-2405.1,14457.1,15871.0,10596.0,,6291.1,,-1498.3,,3630.8,33637.4,12929.9,14074.0,18781.5,,True,False,True,True,,False,True,True,,True,,True,True,True,False,True,False,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,False,False,
Missouri,34498,35421.0,36012.6,35417.2,35421.0,21493.0,,36435.3,28022.0,35594.2,,28600.5,,30981.3,36560.0,11864.3,34274.0,32887.2,39590.0,35086.6,24638.0,30094.3,52226.3,37925.1,43346.6,35144.0,51912.0,,31292.4,,23184.9,,36550.1,55909.5,41217.6,27481.0,43318.7,,923.0,1514.6,919.2,923.0,-13005.0,,1937.3,-6476.0,1096.2,,-5897.5,,-3516.7,2062.0,-22633.7,-224.0,-1610.8,5092.0,588.6,-9860.0,-4403.7,17728.3,3427.1,8848.6,646.0,17414.0,,-3205.6,,-11313.1,,2052.1,21411.5,6719.6,-7017.0,8820.7,,False,True,False,False,,False,False,False,,False,,False,False,False,True,False,False,True,False,False,False,False,False,True,False,,False,,False,,False,False,False,False,False,
Montana,5887,7062.0,5706.7,7559.7,6136.0,4947.0,,7340.5,3244.0,5606.2,,8508.1,,6137.2,8051.0,2592.7,7499.0,5503.8,7079.0,5493.4,4198.5,5157.6,1545.3,5566.9,7138.7,7637.0,10320.0,,7865.9,,3019.7,,4399.8,8005.4,8441.6,6658.0,7251.9,,1175.0,-180.3,1672.7,249.0,-940.0,,1453.5,-2643.0,-280.8,,2621.1,,250.2,2164.0,-3294.3,1612.0,-383.2,1192.0,-393.6,-1688.5,-729.4,-4341.7,-320.1,1251.7,1750.0,4433.0,,1978.9,,-2867.3,,-1487.2,2118.4,2554.6,771.0,1364.9,,True,False,True,True,,False,False,True,,False,,True,False,False,False,True,False,True,False,True,False,True,False,False,False,,False,,False,,False,False,False,True,False,
