,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Kentucky,113120,110448.0,250997.0,,89004.6,27325.0,,100699.0,153228.7,77646.3,142014.0,,75628.9,69469.0,51796.8,-2672.0,137877.0,,-24115.4,-85795.0,,-12421.0,40108.7,-35473.7,28894.0,,-37491.1,-43651.0,-61323.2,False,,False,False,,False,False,False,False,,False,False,False
Louisiana,103310,112656.0,387055.0,,114143.0,80003.0,,106096.0,158238.1,75845.0,104448.0,,117815.4,44239.0,88030.1,9346.0,283745.0,,10833.0,-23307.0,,2786.0,54928.1,-27465.0,1138.0,,14505.4,-59071.0,-15279.9,False,,False,False,,True,False,False,True,,False,False,False
Maine,17180,22188.0,37603.0,,25253.8,16526.0,,19360.0,25731.5,30013.8,20085.5,,16035.7,19438.0,28492.8,5008.0,20423.0,,8073.8,-654.0,,2180.0,8551.5,12833.8,2905.5,,-1144.3,2258.0,11312.8,False,,False,True,,True,False,False,True,,True,True,False
Maryland,86965,106386.0,175052.0,,108498.9,50809.0,,98044.0,120710.2,97092.3,115667.0,,107312.3,69154.0,62914.4,19421.0,88087.0,,21533.9,-36156.0,,11079.0,33745.2,10127.3,28702.0,,20347.3,-17811.0,-24050.6,False,,False,False,,True,False,True,False,,False,True,False
Massachusetts,171714,207474.0,367979.0,,209609.1,108155.0,,209703.0,232569.7,150112.8,188453.0,,245273.1,149591.0,141709.5,35760.0,196265.0,,37895.1,-63559.0,,37989.0,60855.7,-21601.2,16739.0,,73559.1,-22123.0,-30004.5,False,,False,False,,False,False,True,True,,False,True,True
Michigan,90835,130770.0,304747.0,,101582.9,47050.0,,115407.0,132804.1,181070.7,122405.5,,221310.6,66948.0,46797.5,39935.0,213912.0,,10747.9,-43785.0,,24572.0,41969.1,90235.7,31570.5,,130475.6,-23887.0,-44037.5,False,,True,False,,True,False,False,True,,False,True,False
Minnesota,54959,67722.0,161698.0,,56094.7,57468.0,,70900.0,40570.7,85834.7,74780.5,,58881.8,39380.0,25076.3,12763.0,106739.0,,1135.7,2509.0,,15941.0,-14388.3,30875.7,19821.5,,3922.8,-15579.0,-29882.7,False,,True,True,,False,False,False,False,,True,False,False
Mississippi,66066,91524.0,136686.0,,81379.4,95077.0,,86079.0,85094.5,55836.9,81487.5,,60395.3,54837.0,73497.2,25458.0,70620.0,,15313.4,29011.0,,20013.0,19028.5,-10229.1,15421.5,,-5670.7,-11229.0,7431.2,False,,True,False,,True,True,True,True,,True,True,True
Missouri,102585,119034.0,210699.0,,103839.0,53684.0,,107602.0,86344.1,77002.0,100382.5,,113411.8,64975.0,,16449.0,108114.0,,1254.0,-48901.0,,5017.0,-16240.9,-25583.0,-2202.5,,10826.8,-37610.0,,False,,True,False,,True,True,False,True,,True,False,
Montana,15353,15066.0,10706.0,,13775.5,3472.0,,16973.0,14035.5,10416.2,9146.5,,9975.6,6985.0,7037.1,-287.0,-4647.0,,-1577.5,-11881.0,,1620.0,-1317.5,-4936.8,-6206.5,,-5377.4,-8368.0,-8315.9,False,,False,False,,False,False,False,False,,False,False,False
Nebraska,28765,41550.0,84880.0,,36595.4,8387.0,,32261.0,30325.0,34335.3,30867.0,,58258.3,23513.0,19766.3,12785.0,56115.0,,7830.4,-20378.0,,3496.0,1560.0,5570.3,2102.0,,29493.3,-5252.0,-8998.7,False,,True,False,,True,True,True,True,,False,True,True
Nevada,58965,79308.0,76756.0,,72646.5,35965.0,,75689.0,48539.6,47256.8,64450.5,,75410.7,50659.0,,20343.0,17791.0,,13681.5,-23000.0,,16724.0,-10425.4,-11708.2,5485.5,,16445.7,-8306.0,,True,,True,False,,True,True,True,True,,True,True,
New Hampshire,24142,31638.0,53665.0,,30312.6,22320.0,,32737.0,53766.8,24728.2,34267.5,,23047.0,23335.0,20754.5,7496.0,29523.0,,6170.6,-1822.0,,8595.0,29624.8,586.2,10125.5,,-1095.0,-807.0,-3387.5,False,,True,True,,False,False,True,False,,True,True,True
New Jersey,202617,176826.0,316243.0,,198323.8,145309.0,,165756.0,166376.0,180210.7,150810.5,,117745.6,116036.0,141817.9,-25791.0,113626.0,,-4293.2,-57308.0,,-36861.0,-36241.0,-22406.3,-51806.5,,-84871.4,-86581.0,-60799.1,False,,True,False,,False,False,True,False,,False,False,False
New Mexico,34910,48918.0,61898.0,,42927.4,14757.0,,44424.0,45009.5,27175.2,37987.5,,21137.8,28036.0,28335.0,14008.0,26988.0,,8017.4,-20153.0,,9514.0,10099.5,-7734.8,3077.5,,-13772.2,-6874.0,-6575.0,False,,True,False,,True,True,True,True,,True,True,True
New York,519875,525906.0,881526.0,,717656.5,575499.0,,435355.0,915275.3,567000.2,757818.5,,1046652.7,333521.0,384255.3,6031.0,361651.0,,197781.5,55624.0,,-84520.0,395400.3,47125.2,237943.5,,526777.7,-186354.0,-135619.7,False,,False,False,,False,False,False,False,,False,False,False
North Carolina,260287,267042.0,491793.0,,262848.8,322467.0,,282337.0,313610.6,201447.5,234493.5,,245938.4,149059.0,203482.9,6755.0,231506.0,,2561.8,62180.0,,22050.0,53323.6,-58839.5,-25793.5,,-14348.6,-111228.0,-56804.1,False,,True,False,,False,False,False,False,,False,False,False
North Dakota,5669,9222.0,6005.0,,7313.1,1164.0,,12379.0,5413.8,8088.6,5020.0,,13073.4,4237.0,3761.0,3553.0,336.0,,1644.1,-4505.0,,6710.0,-255.2,2419.6,-649.0,,7404.4,-1432.0,-1908.0,True,,True,False,,False,True,True,True,,False,True,True
Ohio,222868,300030.0,554424.0,,284564.2,336012.0,,294559.0,219575.0,178259.0,249083.0,,187563.2,212735.0,129375.7,77162.0,331556.0,,61696.2,113144.0,,71691.0,-3293.0,-44609.0,26215.0,,-35304.8,-10133.0,-93492.3,False,,True,False,,True,True,True,True,,True,True,False
Oklahoma,116221,117282.0,121392.0,,104472.9,151018.0,,119548.0,98101.2,77588.2,168779.5,,98252.7,80945.0,116623.6,1061.0,5171.0,,-11748.1,34797.0,,3327.0,-18119.8,-38632.8,52558.5,,-17968.3,-35276.0,402.6,False,,False,False,,False,False,False,False,,False,False,True
Oregon,33686,48132.0,111104.0,,37763.8,48902.0,,40347.0,41394.5,43198.9,56683.5,,44607.2,34250.0,24653.0,14446.0,77418.0,,4077.8,15216.0,,6661.0,7708.5,9512.9,22997.5,,10921.2,564.0,-9033.0,False,,True,False,,True,True,True,False,,True,True,True
Pennsylvania,234080,310878.0,746806.0,,290516.1,463381.0,,307549.0,224124.8,238519.5,237715.5,,350730.6,202610.0,185254.4,76798.0,512726.0,,56436.1,229301.0,,73469.0,-9955.2,4439.5,3635.5,,116650.6,-31470.0,-48825.6,False,,True,False,,True,True,True,True,,False,True,True
Rhode Island,32872,35298.0,20551.0,,31738.3,10268.0,,27828.0,38890.1,21963.7,18601.0,,25512.0,8441.0,12688.7,2426.0,-12321.0,,-1133.7,-22604.0,,-5044.0,6018.1,-10908.3,-14271.0,,-7360.0,-24431.0,-20183.3,False,,True,False,,False,False,False,False,,False,False,False
South Carolina,170422,142956.0,192602.0,,151122.0,94808.0,,133450.0,182026.8,84590.2,161171.5,,163321.6,70278.0,161664.5,-27466.0,22180.0,,-19300.0,-75614.0,,-36972.0,11604.8,-85831.8,-9250.5,,-7100.4,-100144.0,-8757.5,True,,True,False,,False,True,False,True,,True,False,True
South Dakota,10376,17196.0,10412.0,,14914.6,4061.0,,16623.0,7152.0,9679.3,15898.0,,18278.7,8424.0,7642.7,6820.0,36.0,,4538.6,-6315.0,,6247.0,-3224.0,-696.7,5522.0,,7902.7,-1952.0,-2733.3,True,,True,True,,True,True,True,True,,False,True,True
Tennessee,151939,259440.0,314337.0,,255493.0,324196.0,,243051.0,89336.2,147344.6,254594.0,,196191.7,177956.0,243309.1,107501.0,162398.0,,103554.0,172257.0,,91112.0,-62602.8,-4594.4,102655.0,,44252.7,26017.0,91370.1,False,,True,False,,True,True,True,True,,True,True,True
Texas,762874,751890.0,2134851.0,,679410.5,379836.0,,664480.0,1349050.8,593003.0,640566.0,,648823.4,393245.0,415678.1,-10984.0,1371977.0,,-83463.5,-383038.0,,-98394.0,586176.8,-169871.0,-122308.0,,-114050.6,-369629.0,-347195.9,False,,False,False,,False,False,False,False,,False,False,False
Utah,78930,105456.0,208287.0,,102516.7,86765.0,,94786.0,72617.2,51930.8,121354.0,,69923.2,62089.0,59281.7,26526.0,129357.0,,23586.7,7835.0,,15856.0,-6312.8,-26999.2,42424.0,,-9006.8,-16841.0,-19648.3,False,,True,True,,True,True,False,False,,True,True,True
Vermont,5872,4338.0,10216.0,,3884.1,5750.0,,4359.0,11211.7,6846.6,4352.0,,7184.9,3041.0,2811.1,-1534.0,4344.0,,-1987.9,-122.0,,-1513.0,5339.7,974.6,-1520.0,,1312.9,-2831.0,-3060.9,False,,False,True,,True,False,True,True,,True,False,False
Virginia,188669,175068.0,271811.0,,170320.2,110846.0,,151494.0,204971.5,164605.9,184877.5,,84171.5,92583.0,174814.9,-13601.0,83142.0,,-18348.8,-77823.0,,-37175.0,16302.5,-24063.1,-3791.5,,-104497.5,-96086.0,-13854.1,False,,False,False,,False,False,False,True,,False,False,False
Washington,81295,60198.0,193271.0,,92018.6,31002.0,,81364.0,94975.7,64137.9,94374.5,,54801.0,46557.0,,-21097.0,111976.0,,10723.6,-50293.0,,69.0,13680.7,-17157.1,13079.5,,-26494.0,-34738.0,,False,,True,False,,True,True,True,True,,False,False,
West Virginia,37955,54900.0,71267.0,,50576.9,58992.0,,46805.0,57076.9,36610.5,54209.0,,46111.0,34118.0,58257.0,16945.0,33312.0,,12621.9,21037.0,,8850.0,19121.9,-1344.5,16254.0,,8156.0,-3837.0,20302.0,False,,True,False,,True,False,True,True,,True,True,False
Wisconsin,82999,105780.0,204753.0,,84570.7,19142.0,,101642.0,71052.9,64680.2,72966.0,,112707.3,50769.0,48832.6,22781.0,121754.0,,1571.7,-63857.0,,18643.0,-11946.1,-18318.8,-10033.0,,29708.3,-32230.0,-34166.4,False,,True,False,,True,True,True,True,,False,False,False
Wyoming,8513,8562.0,5257.0,,8052.8,2911.0,,9508.0,9284.7,5548.9,8554.0,,10629.6,4765.0,4239.0,49.0,-3256.0,,-460.2,-5602.0,,995.0,771.7,-2964.1,41.0,,2116.6,-3748.0,-4274.0,False,,False,False,,False,False,False,True,,False,False,False
US,7090655,8604348.0,15390165.0,6506513.0,8844317.4,6124488.0,9323184.0,7256032.0,8843449.6,6372286.2,7750273.5,8962098.0,7013219.8,5308133.0,,1513693.0,8299510.0,-584142.0,1753662.4,-966167.0,2232529.0,165377.0,1752794.6,-718368.8,659618.5,1871443.0,-77435.2,-1782522.0,,False,True,False,True,False,True,False,True,True,False,True,False,
