,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,213956,318650.0,457908.0,,411819.1,356789.0,,306907.0,306911.3,182139.9,424583.6,402770.5,,,286824.8,268103.0,104694.0,243952.0,,197863.1,142833.0,,92951.0,92955.3,-31816.1,210627.6,188814.5,,,72868.8,54147.0,False,,False,False,,True,True,True,False,False,,,True,True
Hawaii,3607,6135.0,8507.0,,5659.9,5144.0,,,7974.7,18275.8,5857.1,7282.0,,,3896.5,5015.0,2528.0,4900.0,,2052.9,1537.0,,,4367.7,14668.8,2250.1,3675.0,,,289.5,1408.0,False,,True,True,,,False,False,True,False,,,True,True
Idaho,18248,35180.0,64719.0,,30562.1,13054.0,,30706.0,16569.1,23644.2,23119.8,30044.0,,,24875.3,22419.0,16932.0,46471.0,,12314.1,-5194.0,,12458.0,-1678.9,5396.2,4871.8,11796.0,,,6627.3,4171.0,False,,True,True,,True,True,True,True,True,,,True,True
Illinois,136484,243435.0,447577.0,,215785.2,25649.0,,210094.0,153479.4,147766.2,131985.6,240650.5,,,182612.7,172598.0,106951.0,311093.0,,79301.2,-110835.0,,73610.0,16995.4,11282.2,-4498.4,104166.5,,,46128.7,36114.0,False,,True,False,,True,True,True,True,True,,,True,True
Indiana,89097,177350.0,293683.0,,161675.6,61390.0,,169599.0,131374.5,99547.7,126302.7,194918.5,,,191199.0,123432.0,88253.0,204586.0,,72578.6,-27707.0,,80502.0,42277.5,10450.7,37205.7,105821.5,,,102102.0,34335.0,False,,True,True,,True,True,True,True,False,,,False,True
Iowa,32868,61380.0,107713.0,,53992.2,385832.0,,55685.0,30788.4,37152.5,56716.9,55736.5,,,62550.8,35146.0,28512.0,74845.0,,21124.2,352964.0,,22817.0,-2079.6,4284.5,23848.9,22868.5,,,29682.8,2278.0,False,,True,False,,True,True,True,True,True,,,False,True
Kansas,43892,66670.0,54490.0,,64796.1,208715.0,,73301.0,148145.0,44301.2,49183.7,3028.5,,,58959.6,48789.0,22778.0,10598.0,,20904.1,164823.0,,29409.0,104253.0,409.2,5291.7,-40863.5,,,15067.6,4897.0,True,,True,False,,False,False,True,True,False,,,True,True
Kentucky,86693,132135.0,214579.0,,124914.1,47221.0,,120212.0,218712.9,75915.8,84472.2,163626.0,,,96233.3,87283.0,45442.0,127886.0,,38221.1,-39472.0,,33519.0,132019.9,-10777.2,-2220.8,76933.0,,,9540.3,590.0,False,,True,True,,True,False,True,True,False,,,True,True
Louisiana,77154,130780.0,222259.0,,137135.7,68560.0,,130482.0,170373.7,73991.6,113662.7,110603.0,,,113661.3,85786.0,53626.0,145105.0,,59981.7,-8594.0,,53328.0,93219.7,-3162.4,36508.7,33449.0,,,36507.3,8632.0,False,,False,True,,True,False,True,True,True,,,True,True
Maine,13406,18870.0,25053.0,,18988.8,13071.0,,17393.0,23879.5,25543.9,37698.5,16803.5,,,16242.4,18771.0,5464.0,11647.0,,5582.8,-335.0,,3987.0,10473.5,12137.9,24292.5,3397.5,,,2836.4,5365.0,False,,False,True,,True,False,False,False,True,,,True,True
Maryland,66772,100965.0,129141.0,,101039.1,691356.0,,96602.0,104180.5,91698.8,95754.8,121329.5,,,114244.6,81112.0,34193.0,62369.0,,34267.1,624584.0,,29830.0,37408.5,24926.8,28982.8,54557.5,,,47472.6,14340.0,False,,False,False,,True,False,True,True,False,,,False,True
Massachusetts,128760,214770.0,361443.0,,197605.5,123400.0,,199001.0,222346.3,130989.0,191793.9,238874.0,,,261931.7,171337.0,86010.0,232683.0,,68845.5,-5360.0,,70241.0,93586.3,2229.0,63033.9,110114.0,,,133171.7,42577.0,False,,True,True,,True,False,True,True,False,,,False,True
Michigan,66403,122160.0,287697.0,,99959.2,22476.0,,129335.0,124942.3,187959.8,61457.5,108175.0,,,158681.5,91930.0,55757.0,221294.0,,33556.2,-43927.0,,62932.0,58539.3,121556.8,-4945.5,41772.0,,,92278.5,25527.0,False,,True,True,,False,False,False,True,True,,,False,True
Minnesota,38378,82905.0,210518.0,,71706.2,11015.0,,81001.0,45950.4,76125.9,18566.9,74541.0,,,82767.4,49333.0,44527.0,172140.0,,33328.2,-27363.0,,42623.0,7572.4,37747.9,-19811.1,36163.0,,,44389.4,10955.0,False,,True,True,,True,True,True,True,True,,,True,True
Mississippi,49475,82955.0,106959.0,,74628.2,57004.0,,85453.0,90240.9,50545.7,100090.7,105187.0,,,67758.9,54602.0,33480.0,57484.0,,25153.2,7529.0,,35978.0,40765.9,1070.7,50615.7,55712.0,,,18283.9,5127.0,False,,True,True,,False,False,True,False,False,,,True,True
Missouri,73355,108190.0,170910.0,,102076.6,42783.0,,114477.0,76204.5,67487.8,67808.3,102809.5,,,105498.9,75627.0,34835.0,97555.0,,28721.6,-30572.0,,41122.0,2849.5,-5867.2,-5546.7,29454.5,,,32143.9,2272.0,False,,True,True,,False,True,True,True,True,,,True,True
Montana,11195,20790.0,33742.0,,15507.5,3255.0,,19585.0,13117.2,9067.1,8112.1,12182.0,,,12958.0,11209.0,9595.0,22547.0,,4312.5,-7940.0,,8390.0,1922.2,-2127.9,-3082.9,987.0,,,1763.0,14.0,False,,True,True,,True,True,True,True,True,,,True,True
Nebraska,21407,36790.0,34381.0,,34543.7,3574.0,,36461.0,25074.9,30982.9,16427.4,29941.0,,,45249.2,24586.0,15383.0,12974.0,,13136.7,-17833.0,,15054.0,3667.9,9575.9,-4979.6,8534.0,,,23842.2,3179.0,True,,True,False,,True,True,True,True,True,,,False,True
Nevada,41527,87190.0,201432.0,,74960.1,30366.0,,75015.0,51253.7,39826.6,61615.8,88120.5,,,88316.7,57866.0,45663.0,159905.0,,33433.1,-11161.0,,33488.0,9726.7,-1700.4,20088.8,46593.5,,,46789.7,16339.0,False,,True,True,,True,True,True,True,False,,,False,True
New Hampshire,18385,28325.0,58215.0,,25841.4,11051.0,,28589.0,55784.6,24173.8,23414.2,23150.5,,,20477.7,23513.0,9940.0,39830.0,,7456.4,-7334.0,,10204.0,37399.6,5788.8,5029.2,4765.5,,,2092.7,5128.0,False,,True,True,,False,False,True,True,True,,,True,True
New Jersey,164569,190240.0,374876.0,,222651.8,78204.0,,164511.0,180003.5,173640.9,160122.9,217325.0,,,141929.9,149746.0,25671.0,210307.0,,58082.8,-86365.0,,-58.0,15434.5,9071.9,-4446.1,52756.0,,,-22639.1,-14823.0,False,,False,False,,True,True,True,True,False,,,True,True
New Mexico,25335,47875.0,72693.0,,42427.6,7023.0,,44621.0,41466.1,25847.1,26613.9,53073.0,,,39303.1,32247.0,22540.0,47358.0,,17092.6,-18312.0,,19286.0,16131.1,512.1,1278.9,27738.0,,,13968.1,6912.0,False,,True,True,,True,True,True,True,False,,,True,True
New York,412256,538095.0,791918.0,,612734.0,374044.0,,481790.0,836768.3,531165.7,678155.4,722347.5,,,860501.6,428343.0,125839.0,379662.0,,200478.0,-38212.0,,69534.0,424512.3,118909.7,265899.4,310091.5,,,448245.6,16087.0,False,,False,True,,True,False,True,False,False,,,False,True
North Carolina,204369,279590.0,400801.0,,281443.4,174967.0,,314711.0,351665.6,193817.5,355849.2,371129.0,,,255301.1,253994.0,75221.0,196432.0,,77074.4,-29402.0,,110342.0,147296.6,-10551.5,151480.2,166760.0,,,50932.1,49625.0,False,,False,True,,False,False,True,False,False,,,True,True
North Dakota,4002,8335.0,7705.0,,8094.5,900.0,,11825.0,3541.3,7266.0,2825.4,6424.0,,,9589.3,4511.0,4333.0,3703.0,,4092.5,-3102.0,,7823.0,-460.7,3264.0,-1176.6,2422.0,,,5587.3,509.0,True,,True,True,,False,True,True,True,True,,,False,True
Ohio,166564,281520.0,400345.0,,256874.0,74113.0,,297778.0,213714.2,163334.3,203522.7,265530.0,,,247501.0,223246.0,114956.0,233781.0,,90310.0,-92451.0,,131214.0,47150.2,-3229.7,36958.7,98966.0,,,80937.0,56682.0,False,,True,True,,False,True,True,True,True,,,True,True
Oklahoma,87401,144100.0,254213.0,,132488.6,63391.0,,136240.0,134167.5,67008.0,92712.1,137988.5,,,119366.8,90770.0,56699.0,166812.0,,45087.6,-24010.0,,48839.0,46766.5,-20393.0,5311.1,50587.5,,,31965.8,3369.0,False,,True,True,,True,True,True,True,True,,,True,True
Oregon,25558,40640.0,66707.0,,38013.0,16995.0,,39098.0,46045.0,42968.4,31526.2,32476.0,,,31494.6,31345.0,15082.0,41149.0,,12455.0,-8563.0,,13540.0,20487.0,17410.4,5968.2,6918.0,,,5936.6,5787.0,False,,True,True,,True,False,False,True,True,,,True,True
Pennsylvania,177383,283485.0,454367.0,,243333.4,100023.0,,271393.0,186747.9,220669.1,199672.0,297781.0,,,278303.4,217587.0,106102.0,276984.0,,65950.4,-77360.0,,94010.0,9364.9,43286.1,22289.0,120398.0,,,100920.4,40204.0,False,,True,True,,True,True,True,True,False,,,True,True
Rhode Island,23207,48325.0,73053.0,,40120.8,9179.0,,35637.0,29139.0,21840.1,27510.2,40586.0,,,29579.7,14867.0,25118.0,49846.0,,16913.8,-14028.0,,12430.0,5932.0,-1366.9,4303.2,17379.0,,,6372.7,-8340.0,False,,True,True,,True,True,True,True,True,,,True,True
South Carolina,133056,186830.0,360781.0,,168274.0,314587.0,,142506.0,198726.5,78328.4,258531.2,194274.5,,,168798.4,136121.0,53774.0,227725.0,,35218.0,181531.0,,9450.0,65670.5,-54727.6,125475.2,61218.5,,,35742.4,3065.0,False,,True,False,,True,False,False,False,False,,,True,True
South Dakota,7304,15360.0,15114.0,,13081.9,7740.0,,14772.0,5338.8,8695.5,6590.7,11796.0,,,13887.9,8554.0,8056.0,7810.0,,5777.9,436.0,,7468.0,-1965.2,1391.5,-713.3,4492.0,,,6583.9,1250.0,True,,True,True,,True,True,True,True,True,,,True,True
Tennessee,109621,211590.0,312747.0,,215795.7,151625.0,,272624.0,111964.5,128946.5,239548.1,177756.5,,,172883.4,144780.0,101969.0,203126.0,,106174.7,42004.0,,163003.0,2343.5,19325.5,129927.1,68135.5,,,63262.4,35159.0,False,,False,True,,False,True,True,False,True,,,True,True
Texas,612140,753670.0,1503659.0,,756305.0,462701.0,,726415.0,1021671.9,541624.7,692378.8,684637.0,,,581011.7,532627.0,141530.0,891519.0,,144165.0,-149439.0,,114275.0,409531.9,-70515.3,80238.8,72497.0,,,-31128.3,-79513.0,False,,False,False,,True,False,True,True,True,,,True,True
Utah,56861,110345.0,74442.0,,105873.4,109902.0,,109700.0,70875.4,41602.5,66352.6,113779.5,,,77581.6,74669.0,53484.0,17581.0,,49012.4,53041.0,,52839.0,14014.4,-15258.5,9491.6,56918.5,,,20720.6,17808.0,True,,True,True,,True,True,True,True,False,,,True,True
Vermont,4771,5505.0,13990.0,,4895.0,2952.0,,6462.0,15408.5,6923.5,10762.5,9098.5,,,5791.8,5383.0,734.0,9219.0,,124.0,-1819.0,,1691.0,10637.5,2152.5,5991.5,4327.5,,,1020.8,612.0,False,,True,False,,False,False,False,False,False,,,False,True
Virginia,153709,174800.0,254625.0,,174151.6,96035.0,,161748.0,210906.1,161596.0,214347.2,187377.5,,,111731.5,104051.0,21091.0,100916.0,,20442.6,-57674.0,,8039.0,57197.1,7887.0,60638.2,33668.5,,,-41977.5,-49658.0,False,,True,False,,True,False,True,False,False,,,False,False
Washington,56452,124215.0,111007.0,,186987.5,49344.0,,82839.0,297628.1,63961.6,97590.6,82676.0,,,107591.6,64111.0,67763.0,54555.0,,130535.5,-7108.0,,26387.0,241176.1,7509.6,41138.6,26224.0,,,51139.6,7659.0,True,,False,True,,True,False,True,True,True,,,True,True
West Virginia,27504,52255.0,68985.0,,48992.8,32486.0,,52692.0,59179.3,33550.0,49944.0,49992.5,,,48425.6,41209.0,24751.0,41481.0,,21488.8,4982.0,,25188.0,31675.3,6046.0,22440.0,22488.5,,,20921.6,13705.0,False,,True,True,,False,False,True,True,True,,,True,True
Wisconsin,58517,122410.0,297656.0,,107859.2,14917.0,,108950.0,46019.3,56578.3,51908.8,115999.5,,,114814.5,67951.0,63893.0,239139.0,,49342.2,-43600.0,,50433.0,-12497.7,-1938.7,-6608.2,57482.5,,,56297.5,9434.0,False,,True,True,,True,True,True,True,True,,,True,True
Wyoming,6367,10730.0,13766.0,,8632.4,1125.0,,9791.0,11196.1,5189.5,3324.6,8595.5,,,13109.0,5825.0,4363.0,7399.0,,2265.4,-5242.0,,3424.0,4829.1,-1177.5,-3042.4,2228.5,,,6742.0,-542.0,False,,True,False,,True,False,True,True,True,,,False,True
US,5373209,8530500.0,14524165.0,8365046.0,9096396.9,8552481.0,9018899.0,7546705.0,8787221.2,5877475.2,8038958.5,9128148.5,7920176.0,9009982.0,9073937.7,6326749.0,3157291.0,9150956.0,2991837.0,3723187.9,3179272.0,3645690.0,2173496.0,3414012.2,504266.2,2665749.5,3754939.5,2546967.0,3636773.0,3700728.7,953540.0,False,True,False,False,False,True,False,True,True,False,True,False,False,True
