,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,153145,243244.0,282382.1,245657.4,258240.0,204594.0,,275112.7,287103.0,299722.0,234863.6,,286944.0,265582.0,186226.1,253877.0,171773.7,309627.2,251175.5,194044.1,350237.2,242037.4,263928.1,222095.0,,243000.3,,138987.5,,228070.5,362273.6,267313.5,263448.0,277481.4,,90099.0,129237.1,92512.4,105095.0,51449.0,,121967.7,133958.0,146577.0,81718.6,,133799.0,112437.0,33081.1,100732.0,18628.7,156482.2,98030.5,40899.1,197092.2,88892.4,110783.1,68950.0,,89855.3,,-14157.5,,74925.5,209128.6,114168.5,110303.0,124336.4,,False,False,False,True,,False,False,False,True,,False,False,True,False,True,False,False,True,False,True,False,True,,True,,True,,True,False,False,False,False,
Hawaii,2541,4264.0,4475.8,4212.7,4691.0,2512.0,,5080.3,10295.0,4420.2,6199.2,,5811.0,,7446.6,5415.0,9852.3,5006.7,4349.5,4237.8,4687.1,4876.0,4464.8,4998.0,,4409.2,,5602.6,,3520.4,6192.5,3731.7,4931.0,5218.3,,1723.0,1934.8,1671.7,2150.0,-29.0,,2539.3,7754.0,1879.2,3658.2,,3270.0,,4905.6,2874.0,7311.3,2465.7,1808.5,1696.8,2146.1,2335.0,1923.8,2457.0,,1868.2,,3061.6,,979.4,3651.5,1190.7,2390.0,2677.3,,False,True,False,True,,False,False,False,False,,False,,False,False,False,False,False,True,False,False,False,False,,False,,False,,True,False,True,False,False,
Idaho,12207,24164.0,19509.1,24215.3,21704.0,24065.0,,22667.4,8821.0,41900.3,32499.1,,21933.4,25713.0,13833.4,24759.0,19199.7,16555.1,18417.5,21835.5,13305.5,23961.8,21616.2,28138.0,,18117.2,,14000.4,,16526.8,22648.5,32625.9,20913.0,27279.9,,11957.0,7302.1,12008.3,9497.0,11858.0,,10460.4,-3386.0,29693.3,20292.1,,9726.4,13506.0,1626.4,12552.0,6992.7,4348.1,6210.5,9628.5,1098.5,11754.8,9409.2,15931.0,,5910.2,,1793.4,,4319.8,10441.5,20418.9,8706.0,15072.9,,True,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,False,True,False,
Illinois,95856,162512.0,142047.2,157952.9,152495.0,165331.0,,154576.2,18181.0,128285.6,208759.4,,159923.7,165630.0,141910.3,178841.0,125472.7,103731.8,141876.0,146705.1,102499.1,90982.0,163794.3,155861.0,,132711.5,,39560.1,,111207.7,209350.9,166697.7,144349.0,269075.1,,66656.0,46191.2,62096.9,56639.0,69475.0,,58720.2,-77675.0,32429.6,112903.4,,64067.7,69774.0,46054.3,82985.0,29616.7,7875.8,46020.0,50849.1,6643.1,-4874.0,67938.3,60005.0,,36855.5,,-56295.9,,15351.7,113494.9,70841.7,48493.0,173219.1,,True,True,True,False,,True,False,True,False,,True,False,True,False,True,True,True,True,True,True,False,True,,True,,True,,True,False,False,True,False,
Indiana,60608,113956.0,114676.1,113349.6,100377.0,90399.0,,115050.9,55919.0,107904.1,152393.3,,111179.4,122500.0,84003.9,107402.0,82238.5,95719.2,88881.5,97095.9,29602.1,78234.8,117415.7,86150.0,,80807.6,,40417.1,,66324.0,145472.6,77750.7,106115.0,170020.7,,53348.0,54068.1,52741.6,39769.0,29791.0,,54442.9,-4689.0,47296.1,91785.3,,50571.4,61892.0,23395.9,46794.0,21630.5,35111.2,28273.5,36487.9,-31005.9,17626.8,56807.7,25542.0,,20199.6,,-20190.9,,5716.0,84864.6,17142.7,45507.0,109412.7,,False,True,True,True,,False,True,True,False,,True,False,True,True,True,True,True,True,True,True,False,True,,True,,True,,True,False,True,True,False,
Iowa,24291,34308.0,26915.8,31626.9,32711.0,24947.0,,36520.7,349925.0,26920.3,64494.8,,27674.5,37751.0,20176.2,37867.0,30481.9,31036.7,21775.0,32649.2,37054.7,15598.9,35506.3,44419.0,,25913.2,,4092.6,,25766.7,44753.6,91794.1,29454.0,37012.8,,10017.0,2624.8,7335.9,8420.0,656.0,,12229.7,325634.0,2629.3,40203.8,,3383.5,13460.0,-4114.8,13576.0,6190.9,6745.7,-2516.0,8358.2,12763.7,-8692.1,11215.3,20128.0,,1622.2,,-20198.4,,1475.7,20462.6,67503.1,5163.0,12721.8,,True,True,True,True,,False,False,True,False,,True,False,True,False,True,True,True,True,False,True,False,False,,True,,False,,True,False,False,True,False,
Kansas,30121,55084.0,55575.2,51609.2,52569.0,43516.0,,55081.1,70364.0,11247.2,70357.6,,80151.7,61831.0,37724.2,62432.0,39200.8,39918.1,11008.5,44169.4,17801.2,51370.0,61930.2,50845.0,,28805.0,,15516.2,,55311.0,65875.8,59817.5,45444.0,54728.6,,24963.0,25454.2,21488.2,22448.0,13395.0,,24960.1,40243.0,-18873.8,40236.6,,50030.7,31710.0,7603.2,32311.0,9079.8,9797.1,-19112.5,14048.4,-12319.8,21249.0,31809.2,20724.0,,-1316.0,,-14604.8,,25190.0,35754.8,29696.5,15323.0,24607.6,,False,True,True,True,,True,False,True,False,,False,False,True,False,True,True,True,True,True,True,False,True,,True,,True,,False,False,False,True,True,
Kentucky,62766,95708.0,97316.5,98148.8,94909.0,81060.0,,108125.0,47288.0,358099.3,118923.8,,126075.6,101661.0,178094.5,100203.0,67386.6,79366.8,62551.5,84868.9,72448.3,91307.7,97678.7,74555.0,,104149.8,,38399.4,,57874.2,117863.3,85112.5,100252.0,117592.4,,32942.0,34550.5,35382.8,32143.0,18294.0,,45359.0,-15478.0,295333.3,56157.8,,63309.6,38895.0,115328.5,37437.0,4620.6,16600.8,-214.5,22102.9,9682.3,28541.7,34912.7,11789.0,,41383.8,,-24366.6,,-4891.8,55097.3,22346.5,37486.0,54826.4,,False,False,True,True,,False,True,False,False,,False,False,False,False,True,True,True,True,True,True,False,True,,False,,True,,True,False,True,False,False,
Louisiana,53732,93688.0,81631.3,92498.6,91479.0,96945.0,,98134.2,53805.0,647819.8,96050.3,,104916.1,97487.0,88704.7,87124.0,68126.5,96792.2,74658.5,84229.0,100380.0,68440.3,101163.7,85667.0,,93642.4,,65766.0,,65111.2,140376.9,63567.2,84256.0,111777.3,,39956.0,27899.3,38766.6,37747.0,43213.0,,44402.2,73.0,594087.8,42318.3,,51184.1,43755.0,34972.7,33392.0,14394.5,43060.2,20926.5,30497.0,46648.0,14708.3,47431.7,31935.0,,39910.4,,12034.0,,11379.2,86644.9,9835.2,30524.0,58045.3,,True,True,True,False,,False,True,False,False,,False,False,True,True,True,False,True,True,False,True,False,True,,True,,True,,True,False,True,True,False,
Maine,9206,16800.0,18062.9,16448.6,17402.0,19811.0,,16588.3,9414.0,19673.8,29806.1,,21973.2,15839.0,10251.3,21243.0,19044.9,26447.8,17465.0,15542.1,16969.8,24762.4,18951.6,15282.0,,13948.7,,19350.1,,14624.3,22572.3,21753.4,20768.0,19135.2,,7594.0,8856.9,7242.6,8196.0,10605.0,,7382.3,208.0,10467.8,20600.1,,12767.2,6633.0,1045.3,12037.0,9838.9,17241.8,8259.0,6336.1,7763.8,15556.4,9745.6,6076.0,,4742.7,,10144.1,,5418.3,13366.3,12547.4,11562.0,9929.2,,False,True,False,False,,True,True,False,False,,False,True,True,False,False,False,False,True,False,False,False,True,,True,,False,,True,False,False,False,False,
Maryland,46105,82668.0,73443.6,82995.9,82316.0,64255.0,,84353.8,790233.0,74400.5,93857.8,,99833.9,88704.0,68185.2,86259.0,72502.1,79237.5,84508.0,74651.0,55660.9,60796.2,86284.4,84061.0,,73421.4,,81328.4,,68910.6,101706.0,73671.0,84743.0,105500.7,,36563.0,27338.6,36890.9,36211.0,18150.0,,38248.8,744128.0,28295.5,47752.8,,53728.9,42599.0,22080.2,40154.0,26397.1,33132.5,38403.0,28546.0,9555.9,14691.2,40179.4,37956.0,,27316.4,,35223.4,,22805.6,55601.0,27566.0,38638.0,59395.7,,True,False,True,True,,False,False,True,False,,False,False,True,False,True,True,False,True,True,True,False,False,,True,,True,,True,False,True,False,False,
Massachusetts,90169,154364.0,149042.5,149235.1,157336.0,146947.0,,161435.1,92868.0,181767.4,193969.2,,170972.9,175282.0,171162.0,169413.0,97429.3,167207.9,142984.0,134132.3,162852.1,114475.8,165454.5,102756.0,,144925.1,,117363.1,,85114.0,223733.4,185752.7,163948.0,257325.3,,64195.0,58873.5,59066.1,67167.0,56778.0,,71266.1,2699.0,91598.4,103800.2,,80803.9,85113.0,80993.0,79244.0,7260.3,77038.9,52815.0,43963.3,72683.1,24306.8,75285.5,12587.0,,54756.1,,27194.1,,-5055.0,133564.4,95583.7,73779.0,167156.3,,True,True,False,True,,False,True,False,False,,False,False,False,False,True,False,True,True,False,True,False,True,,True,,True,,True,False,False,False,False,
Michigan,47171,76928.0,78231.3,72342.5,72072.0,79158.0,,70114.1,13724.0,142685.6,123738.1,,72424.6,91859.0,85000.7,86159.0,95159.2,44188.0,47511.5,72674.8,73338.6,96958.3,69367.4,68253.0,,46909.8,,23154.4,,83998.7,71883.0,49580.0,72684.0,90674.6,,29757.0,31060.3,25171.5,24901.0,31987.0,,22943.1,-33447.0,95514.6,76567.1,,25253.6,44688.0,37829.7,38988.0,47988.2,-2983.0,340.5,25503.8,26167.6,49787.3,22196.4,21082.0,,-261.2,,-24016.6,,36827.7,24712.0,2409.0,25513.0,43503.6,,False,True,True,False,,True,False,False,False,,True,False,False,False,False,True,True,True,True,False,True,True,,True,,True,,False,True,True,True,False,
Minnesota,27744,42536.0,42977.6,44323.4,40713.0,28520.0,,44267.0,6422.0,42621.3,77869.8,,34667.4,58260.0,37846.3,59856.0,40272.9,29014.3,22307.0,33937.0,57275.6,29750.5,41084.7,50609.0,,35473.0,,10264.1,,24866.4,40247.4,72615.9,39312.0,61305.4,,14792.0,15233.6,16579.4,12969.0,776.0,,16523.0,-21322.0,14877.3,50125.8,,6923.4,30516.0,10102.3,32112.0,12528.9,1270.3,-5437.0,6193.0,29531.6,2006.5,13340.7,22865.0,,7729.0,,-17479.9,,-2877.6,12503.4,44871.9,11568.0,33561.4,,False,False,True,True,,False,False,False,False,,True,False,True,False,True,True,True,True,False,True,True,False,,True,,False,,True,True,False,True,False,
Mississippi,35474,56004.0,55193.8,55050.5,54280.0,50872.0,,60546.7,43906.0,65682.8,74418.7,,58230.1,70759.0,46948.3,62395.0,41658.6,76190.9,46811.0,47329.5,48961.8,52376.5,59267.0,50221.0,,48361.1,,31337.1,,44517.1,87102.6,54351.6,53908.0,66138.6,,20530.0,19719.8,19576.5,18806.0,15398.0,,25072.7,8432.0,30208.8,38944.7,,22756.1,35285.0,11474.3,26921.0,6184.6,40716.9,11337.0,11855.5,13487.8,16902.5,23793.0,14747.0,,12887.1,,-4136.9,,9043.1,51628.6,18877.6,18434.0,30664.6,,True,True,True,True,,False,True,False,False,,False,False,True,False,True,False,True,True,True,True,False,True,,True,,True,,True,False,True,True,False,
Missouri,51106,63992.0,73466.6,62260.3,60663.0,37676.0,,71152.4,30530.0,63904.4,69655.4,,57043.1,78234.0,58318.8,72948.0,53304.1,50286.8,47800.5,50710.9,86242.1,60669.7,68474.9,72374.0,,54950.0,,24176.8,,46434.2,91238.4,62908.8,63241.0,69397.3,,12886.0,22360.6,11154.3,9557.0,-13430.0,,20046.4,-20576.0,12798.4,18549.4,,5937.1,27128.0,7212.8,21842.0,2198.1,-819.2,-3305.5,-395.1,35136.1,9563.7,17368.9,21268.0,,3844.0,,-26929.2,,-4671.8,40132.4,11802.8,12135.0,18291.3,,False,True,True,False,,False,False,True,False,,True,False,True,False,True,True,True,True,False,True,False,False,,True,,False,,True,False,True,True,False,
Montana,8241,11816.0,10881.9,10646.1,11379.0,12587.0,,12166.2,2625.0,10646.1,19860.0,,14164.9,15425.0,26481.4,16171.0,7955.8,7926.6,10379.0,12439.4,2541.0,9328.6,11999.1,15430.0,,10232.0,,4808.0,,6263.7,8410.3,14042.7,10753.0,12507.6,,3575.0,2640.9,2405.1,3138.0,4346.0,,3925.2,-5616.0,2405.1,11619.0,,5923.9,7184.0,18240.4,7930.0,-285.2,-314.4,2138.0,4198.4,-5700.0,1087.6,3758.1,7189.0,,1991.0,,-3433.0,,-1977.3,169.3,5801.7,2512.0,4266.6,,True,True,True,False,,False,False,True,False,,False,False,False,False,True,True,True,False,False,True,False,False,,True,,True,,True,True,False,True,False,
Nebraska,16117,21160.0,17813.0,20962.5,20851.0,11760.0,,25016.9,2104.0,20135.8,32017.0,,21084.4,25891.0,19030.8,24831.0,22591.9,12492.4,25783.5,23216.4,31740.2,18018.9,24442.6,26127.0,,19108.0,,6568.3,,19697.9,19544.4,20672.5,20108.0,25553.8,,5043.0,1696.0,4845.5,4734.0,-4357.0,,8899.9,-14013.0,4018.8,15900.0,,4967.4,9774.0,2913.8,8714.0,6474.9,-3624.6,9666.5,7099.4,15623.2,1901.9,8325.6,10010.0,,2991.0,,-9548.7,,3580.9,3427.4,4555.5,3991.0,9436.8,,True,True,True,True,,False,False,True,False,,True,False,True,False,False,True,False,False,False,True,False,False,,True,,False,,True,True,True,True,False,
Nevada,27746,55124.0,53565.3,60411.4,51466.0,104595.0,,57453.6,24476.0,62486.7,60945.8,,52780.4,63233.0,61017.1,66144.0,39037.9,44419.9,45389.0,44153.8,36395.5,53804.6,51021.6,42382.0,,42451.3,,29052.5,,45264.7,70875.6,51484.4,51508.0,52304.3,,27378.0,25819.3,32665.4,23720.0,76849.0,,29707.6,-3270.0,34740.7,33199.8,,25034.4,35487.0,33271.1,38398.0,11291.9,16673.9,17643.0,16407.8,8649.5,26058.6,23275.6,14636.0,,14705.3,,1306.5,,17518.7,43129.6,23738.4,23762.0,24558.3,,True,False,True,False,,False,True,False,False,,True,False,False,False,True,True,True,True,True,True,True,True,,True,,True,,True,False,True,True,True,
New Hampshire,13151,20296.0,23575.0,20787.0,19621.0,14732.0,,19246.1,7720.0,31938.4,23331.8,,18327.1,24285.0,19693.2,22684.0,18501.8,18799.5,17851.0,20207.5,13370.6,14094.3,21662.7,13797.0,,15729.2,,22580.6,,14320.3,31254.0,21253.2,20580.0,21886.3,,7145.0,10424.0,7636.0,6470.0,1581.0,,6095.1,-5431.0,18787.4,10180.8,,5176.1,11134.0,6542.2,9533.0,5350.8,5648.5,4700.0,7056.5,219.6,943.3,8511.7,646.0,,2578.2,,9429.6,,1169.3,18103.0,8102.2,7429.0,8735.3,,False,False,True,True,,True,True,False,False,,True,False,True,False,True,True,True,True,True,True,False,True,,True,,False,,True,False,False,False,False,
