,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01021,187,176.0,,185.9,,147.0,178.0,122.0,,,,,182.4,,89.7,,,363.0,85.7,,183.1,138.5,,97.5,128.9,,,,143.0,132.0,323.4,,,,,,140.1,112.3,,,,172.4,242.4,-11.0,,-1.1,,-40.0,-9.0,-65.0,,,,,-4.6,,-97.3,,,176.0,-101.3,,-3.9,-48.5,,-89.5,-58.1,,,,-44.0,-55.0,136.4,,,,,,-46.9,-74.7,,,,-14.6,55.4,,True,,False,True,False,,,,,True,,False,,,False,False,,True,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01023,13,22.0,,21.6,,22.0,31.0,14.0,,,,,27.4,,4.2,,,94.0,11.7,,22.1,,,31.0,25.7,,,,8.0,17.0,,,,,,,,52.5,,,,19.4,42.6,9.0,,8.6,,9.0,18.0,1.0,,,,,14.4,,-8.8,,,81.0,-1.3,,9.1,,,18.0,12.7,,,,-5.0,4.0,,,,,,,,39.5,,,,6.4,29.6,,True,,False,False,True,,,,,False,,True,,,False,True,,False,,,False,False,,,,True,True,,,,,,,,False,,,,True,False
01025,202,404.0,,403.4,,394.0,395.0,447.0,,,,,224.8,,63.9,,,188.0,434.2,,213.3,,,416.0,352.6,,,,463.0,245.0,327.5,,,,,,286.6,282.8,,,,404.1,572.8,202.0,,201.4,,192.0,193.0,245.0,,,,,22.8,,-138.1,,,-14.0,232.2,,11.3,,,214.0,150.6,,,,261.0,43.0,125.5,,,,,,84.6,80.8,,,,202.1,370.8,,True,,True,True,False,,,,,True,,True,,,True,False,,True,,,False,True,,,,False,True,True,,,,,,True,True,,,,False,False
01027,67,52.0,,55.5,,58.0,59.0,47.0,,,,,62.5,,25.6,,,107.0,79.9,,43.4,,,33.0,39.9,,,,40.0,43.0,111.9,,,,,,,37.6,,,,60.9,78.1,-15.0,,-11.5,,-9.0,-8.0,-20.0,,,,,-4.5,,-41.4,,,40.0,12.9,,-23.6,,,-34.0,-27.1,,,,-27.0,-24.0,44.9,,,,,,,-29.4,,,,-6.1,11.1,,True,,True,True,False,,,,,True,,False,,,False,True,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,True,True
01029,70,102.0,,92.7,,92.0,93.0,48.0,,,,,62.1,,32.0,,,126.0,83.7,,66.2,,,106.0,93.4,,,,88.0,69.0,115.9,,,,,,,96.3,,,,100.4,95.7,32.0,,22.7,,22.0,23.0,-22.0,,,,,-7.9,,-38.0,,,56.0,13.7,,-3.8,,,36.0,23.4,,,,18.0,-1.0,45.9,,,,,,,26.3,,,,30.4,25.7,,True,,True,True,True,,,,,True,,False,,,False,True,,True,,,False,True,,,,True,True,False,,,,,,,True,,,,True,True
01031,291,500.0,,531.6,,403.0,441.0,373.0,,,,,285.5,,128.2,,,394.0,286.1,,320.1,285.0,,462.5,430.7,,,,453.0,356.0,492.6,,,,,,400.8,366.1,,,,495.6,506.9,209.0,,240.6,,112.0,150.0,82.0,,,,,-5.5,,-162.8,,,103.0,-4.9,,29.1,-6.0,,171.5,139.7,,,,162.0,65.0,201.6,,,,,,109.8,75.1,,,,204.6,215.9,,False,,True,True,True,,,,,True,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True,False
01033,217,448.0,,464.0,,321.0,339.0,444.0,,,,,285.7,,157.5,,,484.0,277.0,,298.4,167.0,,256.0,306.3,,,,355.0,305.0,398.8,,,,,,352.9,370.4,,,,363.8,414.2,231.0,,247.0,,104.0,122.0,227.0,,,,,68.7,,-59.5,,,267.0,60.0,,81.4,-50.0,,39.0,89.3,,,,138.0,88.0,181.8,,,,,,135.9,153.4,,,,146.8,197.2,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True,True
01035,49,46.0,,47.3,,54.0,52.0,57.0,,,,,50.8,,22.3,,,78.0,77.7,,44.8,,,57.0,46.3,,,,62.0,36.0,68.9,,,,,,,61.7,,,,47.6,54.8,-3.0,,-1.7,,5.0,3.0,8.0,,,,,1.8,,-26.7,,,29.0,28.7,,-4.2,,,8.0,-2.7,,,,13.0,-13.0,19.9,,,,,,,12.7,,,,-1.4,5.8,,True,,False,False,False,,,,,True,,False,,,False,False,,False,,,False,True,,,,False,False,False,,,,,,,False,,,,True,False
01037,162,80.0,,73.5,,57.0,55.0,73.0,,,,,34.3,,15.1,,,67.0,50.6,,41.0,,,56.0,49.5,,,,85.0,43.0,57.0,,,,,,,61.2,,,,73.5,63.1,-82.0,,-88.5,,-105.0,-107.0,-89.0,,,,,-127.7,,-146.9,,,-95.0,-111.4,,-121.0,,,-106.0,-112.5,,,,-77.0,-119.0,-105.0,,,,,,,-100.8,,,,-88.5,-98.9,,False,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,True,False,False,,,,,,,False,,,,False,False
01039,290,294.0,,319.8,,250.0,266.0,384.0,,,,,193.2,,73.6,,,285.0,151.1,,208.2,115.0,,292.0,274.4,,,,248.0,200.0,257.1,,,,,,275.1,198.6,,,,262.5,306.3,4.0,,29.8,,-40.0,-24.0,94.0,,,,,-96.8,,-216.4,,,-5.0,-138.9,,-81.8,-175.0,,2.0,-15.6,,,,-42.0,-90.0,-32.9,,,,,,-14.9,-91.4,,,,-27.5,16.3,,False,,False,False,False,,,,,False,,False,,,False,False,,False,False,,True,False,,,,False,False,False,,,,,,False,False,,,,False,False
01041,97,112.0,,163.8,,97.0,110.0,93.0,,,,,75.6,,31.0,,,98.0,48.2,,87.2,,,99.0,97.7,,,,95.0,71.0,90.6,,,,,,,90.9,,,,106.2,164.8,15.0,,66.8,,0.0,13.0,-4.0,,,,,-21.4,,-66.0,,,1.0,-48.8,,-9.8,,,2.0,0.7,,,,-2.0,-26.0,-6.4,,,,,,,-6.1,,,,9.2,67.8,,False,,True,True,True,,,,,False,,False,,,True,False,,True,,,True,True,,,,True,False,True,,,,,,,True,,,,True,False
01043,284,494.0,,515.7,,418.0,460.0,458.0,,,,,379.3,,249.2,,,853.0,332.4,,398.6,286.0,,400.5,413.8,,,,381.0,334.0,554.1,,,,,,548.0,307.6,,,,353.0,589.4,210.0,,231.7,,134.0,176.0,174.0,,,,,95.3,,-34.8,,,569.0,48.4,,114.6,2.0,,116.5,129.8,,,,97.0,50.0,270.1,,,,,,264.0,23.6,,,,69.0,305.4,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,False,True,,,,True,False
01045,248,330.0,,337.3,,286.0,311.0,279.0,,,,,241.6,,122.7,,,378.0,170.3,,235.2,200.5,,302.0,268.9,,,,275.0,230.0,295.6,,,,,,249.7,254.4,,,,327.6,426.4,82.0,,89.3,,38.0,63.0,31.0,,,,,-6.4,,-125.3,,,130.0,-77.7,,-12.8,-47.5,,54.0,20.9,,,,27.0,-18.0,47.6,,,,,,1.7,6.4,,,,79.6,178.4,,False,,True,True,True,,,,,True,,False,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True,False
01047,87,132.0,,130.8,,146.0,159.0,126.0,,,,,151.4,,59.4,,,239.0,386.2,,128.4,124.0,,118.0,176.0,,,,135.0,85.0,191.5,,,,,,131.9,139.1,,,,144.0,220.1,45.0,,43.8,,59.0,72.0,39.0,,,,,64.4,,-27.6,,,152.0,299.2,,41.4,37.0,,31.0,89.0,,,,48.0,-2.0,104.5,,,,,,44.9,52.1,,,,57.0,133.1,,True,,False,False,True,,,,,False,,True,,,False,False,,True,True,,True,False,,,,False,True,False,,,,,,True,False,,,,False,False
01049,254,436.0,,451.5,,372.0,391.0,380.0,,,,,371.2,,181.5,,,680.0,239.6,,306.8,240.5,,319.0,365.3,,,,326.0,303.0,540.0,,,,,,278.4,280.1,,,,442.5,495.4,182.0,,197.5,,118.0,137.0,126.0,,,,,117.2,,-72.5,,,426.0,-14.4,,52.8,-13.5,,65.0,111.3,,,,72.0,49.0,286.0,,,,,,24.4,26.1,,,,188.5,241.4,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,False,False
01051,554,702.0,,709.4,,634.0,745.0,648.0,,,,,510.9,,133.3,,,592.0,565.4,,459.1,124.0,,874.0,576.5,,,,625.0,513.0,712.7,,,,,,451.1,508.7,,,,682.3,992.5,148.0,,155.4,,80.0,191.0,94.0,,,,,-43.1,,-420.7,,,38.0,11.4,,-94.9,-430.0,,320.0,22.5,,,,71.0,-41.0,158.7,,,,,,-102.9,-45.3,,,,128.3,438.5,,False,,True,False,True,,,,,True,,False,,,True,True,,True,False,,False,True,,,,True,True,False,,,,,,True,True,,,,True,False
01053,211,294.0,,283.6,,279.0,296.0,204.0,,,,,209.8,,99.7,,,296.0,365.0,,216.5,233.0,,272.0,261.2,,,,337.0,208.0,432.1,,,,,,196.0,216.0,,,,286.6,346.2,83.0,,72.6,,68.0,85.0,-7.0,,,,,-1.2,,-111.3,,,85.0,154.0,,5.5,22.0,,61.0,50.2,,,,126.0,-3.0,221.1,,,,,,-15.0,5.0,,,,75.6,135.2,,True,,True,False,True,,,,,True,,False,,,False,False,,True,True,,True,True,,,,False,True,False,,,,,,True,True,,,,True,False
01055,512,708.0,,784.6,,656.0,765.0,723.0,,,,,611.8,,325.2,,,908.0,388.9,,704.0,292.0,,532.0,629.7,,,,528.0,532.0,940.2,,,,,,635.1,657.1,,,,570.1,1089.2,196.0,,272.6,,144.0,253.0,211.0,,,,,99.8,,-186.8,,,396.0,-123.1,,192.0,-220.0,,20.0,117.7,,,,16.0,20.0,428.2,,,,,,123.1,145.1,,,,58.1,577.2,,False,,True,False,False,,,,,True,,True,,,False,True,,True,False,,True,True,,,,True,True,False,,,,,,True,True,,,,True,False
01057,91,140.0,,139.8,,135.0,140.0,137.0,,,,,92.4,,54.4,,,152.0,216.7,,105.8,,,74.0,110.4,,,,123.0,104.0,230.5,,,,,,,119.1,,,,141.0,185.3,49.0,,48.8,,44.0,49.0,46.0,,,,,1.4,,-36.6,,,61.0,125.7,,14.8,,,-17.0,19.4,,,,32.0,13.0,139.5,,,,,,,28.1,,,,50.0,94.3,,True,,True,False,True,,,,,True,,True,,,False,False,,True,,,True,True,,,,True,True,False,,,,,,,True,,,,False,False
01059,113,182.0,,192.1,,144.0,155.0,131.0,,,,,181.3,,75.9,,,326.0,81.4,,165.5,128.5,,73.0,123.4,,,,143.0,128.0,213.0,,,,,,141.5,153.3,,,,172.2,230.7,69.0,,79.1,,31.0,42.0,18.0,,,,,68.3,,-37.1,,,213.0,-31.6,,52.5,15.5,,-40.0,10.4,,,,30.0,15.0,100.0,,,,,,28.5,40.3,,,,59.2,117.7,,False,,True,True,True,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,True,False
01061,113,260.0,,250.3,,188.0,213.0,186.0,,,,,141.3,,57.8,,,213.0,184.1,,159.8,,,239.0,200.2,,,,219.0,173.0,183.0,,,,,,196.3,188.0,,,,227.8,245.1,147.0,,137.3,,75.0,100.0,73.0,,,,,28.3,,-55.2,,,100.0,71.1,,46.8,,,126.0,87.2,,,,106.0,60.0,70.0,,,,,,83.3,75.0,,,,114.8,132.1,,True,,True,True,True,,,,,True,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,True,True,,,,True,True
01063,56,32.0,,32.4,,28.0,39.0,24.0,,,,,41.7,,18.0,,,51.0,16.2,,32.1,,,15.0,31.5,,,,35.0,22.0,78.9,,,,,,,30.6,,,,13.4,53.8,-24.0,,-23.6,,-28.0,-17.0,-32.0,,,,,-14.3,,-38.0,,,-5.0,-39.8,,-23.9,,,-41.0,-24.5,,,,-21.0,-34.0,22.9,,,,,,,-25.4,,,,-42.6,-2.2,,True,,False,True,False,,,,,True,,False,,,True,False,,True,,,False,False,,,,True,False,True,,,,,,,False,,,,False,True
01065,96,162.0,,178.8,,134.0,157.0,118.0,,,,,113.9,,25.1,,,121.0,110.4,,113.6,,,145.0,154.0,,,,146.0,98.0,116.9,,,,,,,130.6,,,,159.1,232.1,66.0,,82.8,,38.0,61.0,22.0,,,,,17.9,,-70.9,,,25.0,14.4,,17.6,,,49.0,58.0,,,,50.0,2.0,20.9,,,,,,,34.6,,,,63.1,136.1,,False,,True,True,True,,,,,True,,False,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True,False
01067,120,122.0,,119.1,,108.0,135.0,52.0,,,,,98.8,,41.5,,,118.0,80.3,,94.0,,,166.0,114.6,,,,117.0,86.0,105.2,,,,,,,95.9,,,,131.2,184.0,2.0,,-0.9,,-12.0,15.0,-68.0,,,,,-21.2,,-78.5,,,-2.0,-39.7,,-26.0,,,46.0,-5.4,,,,-3.0,-34.0,-14.8,,,,,,,-24.1,,,,11.2,64.0,,True,,False,False,False,,,,,False,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01069,504,762.0,,819.7,,828.0,846.0,837.0,,,,,579.2,,258.5,,,793.0,2342.6,,548.3,498.5,,977.5,697.4,,,,730.0,554.0,1014.9,,,,,,522.6,583.8,,,,743.7,957.1,258.0,,315.7,,324.0,342.0,333.0,,,,,75.2,,-245.5,,,289.0,1838.6,,44.3,-5.5,,473.5,193.4,,,,226.0,50.0,510.9,,,,,,18.6,79.8,,,,239.7,453.1,,False,,False,False,False,,,,,True,,True,,,False,False,,True,True,,False,True,,,,True,True,False,,,,,,True,True,,,,True,False
01071,209,418.0,,397.6,,349.0,412.0,470.0,,,,,294.1,,151.9,,,451.0,293.8,,273.4,77.0,,338.0,349.9,,,,404.0,294.0,726.8,,,,,,374.4,263.3,,,,149.8,458.4,209.0,,188.6,,140.0,203.0,261.0,,,,,85.1,,-57.1,,,242.0,84.8,,64.4,-132.0,,129.0,140.9,,,,195.0,85.0,517.8,,,,,,165.4,54.3,,,,-59.2,249.4,,True,,True,True,False,,,,,True,,True,,,False,True,,True,True,,True,True,,,,True,True,False,,,,,,True,True,,,,True,False
01073,3041,3772.0,,3771.7,4443.2,3354.0,4039.0,3300.0,,,,,3492.6,,2991.4,,3227.6,4828.0,3302.3,,3821.2,2663.0,,3409.0,3676.0,,,,3562.0,2510.0,4170.8,,,,,,3018.6,3727.4,3154.0,,,3046.5,5766.2,731.0,,730.7,1402.2,313.0,998.0,259.0,,,,,451.6,,-49.6,,186.6,1787.0,261.3,,780.2,-378.0,,368.0,635.0,,,,521.0,-531.0,1129.8,,,,,,-22.4,686.4,113.0,,,5.5,2725.2,,True,False,True,False,True,,,,,True,,True,,True,False,True,,False,True,,True,True,,,,True,True,False,,,,,,True,True,True,,,True,False
