,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01031,1754,1673.0,,,,1522.0,,1597.7,,,1298.8,,,-81.0,,,,-232.0,,-156.3,,,-455.2,,,,,,False,,False,,,False,,
01033,1526,2177.0,,,,2492.0,,800.7,,,961.8,,,651.0,,,,966.0,,-725.3,,,-564.2,,,,,,False,,False,,,True,,
01035,226,147.0,,,,348.0,,40.6,0.0,,,,,-79.0,,,,122.0,,-185.4,-226.0,,,,,,,,False,,False,False,,,,
01037,359,161.0,,,,276.0,,45.5,0.0,,,,,-198.0,,,,-83.0,,-313.5,-359.0,,,,,,,,True,,False,False,,,,
01039,1032,651.0,,,,1175.0,,630.2,195.9,,577.5,,,-381.0,,,,143.0,,-401.8,-836.1,,-454.5,,,,,,True,,False,False,,False,,
01041,491,490.0,,,,366.0,,1015.3,49.9,,,,,-1.0,,,,-125.0,,524.3,-441.1,,,,,,,,False,,False,False,,,,
01043,2063,3388.0,,,,4177.0,,1966.2,753.6,,2396.7,,,1325.0,,,,2114.0,,-96.8,-1309.4,,333.7,,,,,,False,,True,True,,True,,
01045,1347,1204.0,,,,1523.0,,1514.4,325.5,,514.6,,,-143.0,,,,176.0,,167.4,-1021.5,,-832.4,,,,,,False,,False,False,,False,,
01047,599,637.0,,,,1050.0,,319.1,0.0,,284.1,,,38.0,,,,451.0,,-279.9,-599.0,,-314.9,,,,,,False,,False,False,,False,,
01049,1633,2450.0,,,,3665.0,,2196.3,536.6,,1606.7,,,817.0,,,,2032.0,,563.3,-1096.4,,-26.3,,,,,,False,,True,False,,True,,
01051,3147,3283.0,,,,2467.0,,3713.5,353.1,,2060.2,,,136.0,,,,-680.0,,566.5,-2793.9,,-1086.8,,,,,,False,,False,False,,False,,
01053,1184,980.0,,,,1276.0,,777.6,101.7,,793.9,,,-204.0,,,,92.0,,-406.4,-1082.3,,-390.1,,,,,,True,,False,False,,False,,
01055,3317,5572.0,,,,4806.0,,3166.2,788.6,,2286.3,,,2255.0,,,,1489.0,,-150.8,-2528.4,,-1030.7,,,,,,True,,True,False,,True,,
01057,558,609.0,,,,659.0,,270.1,68.9,,,,,51.0,,,,101.0,,-287.9,-489.1,,,,,,,,False,,False,False,,,,
01059,810,868.0,,,,1662.0,,440.8,109.4,,363.8,,,58.0,,,,852.0,,-369.2,-700.6,,-446.2,,,,,,False,,False,False,,False,,
01061,760,714.0,,,,920.0,,360.1,121.0,,,,,-46.0,,,,160.0,,-399.9,-639.0,,,,,,,,False,,False,False,,,,
01063,226,294.0,,,,219.0,,149.8,0.0,,,,,68.0,,,,-7.0,,-76.2,-226.0,,,,,,,,True,,False,False,,,,
01065,653,791.0,,,,467.0,,1251.8,58.2,,,,,138.0,,,,-186.0,,598.8,-594.8,,,,,,,,False,,False,False,,,,
01067,616,553.0,,,,472.0,,915.1,88.4,,,,,-63.0,,,,-144.0,,299.1,-527.6,,,,,,,,False,,False,False,,,,
01069,3002,2408.0,,,,2949.0,,2433.5,581.4,,1275.3,,,-594.0,,,,-53.0,,-568.5,-2420.6,,-1726.7,,,,,,True,,True,False,,False,,
01071,1525,1701.0,,,,2472.0,,359.6,0.0,,974.8,,,176.0,,,,947.0,,-1165.4,-1525.0,,-550.2,,,,,,False,,False,False,,False,,
01073,20086,29302.0,,,,28869.0,,25800.3,6947.1,,15825.9,14578.0,,9216.0,,,,8783.0,,5714.3,-13138.9,,-4260.1,-5508.0,,,,,True,,True,False,,True,True,
01075,270,476.0,,,,506.0,,487.6,36.8,,,,,206.0,,,,236.0,,217.6,-233.2,,,,,,,,False,,False,False,,,,
01077,2421,3556.0,,,,4261.0,,1951.6,942.3,,1304.9,,,1135.0,,,,1840.0,,-469.4,-1478.7,,-1116.1,,,,,,False,,True,False,,True,,
01079,847,1295.0,,,,1638.0,,1239.8,78.7,,,,,448.0,,,,791.0,,392.8,-768.3,,,,,,,,False,,True,False,,,,
01081,4763,3619.0,,,,4257.0,,4524.2,1.4,,2803.5,2143.0,,-1144.0,,,,-506.0,,-238.8,-4761.6,,-1959.5,-2620.0,,,,,True,,True,False,,False,False,
01083,2673,3892.0,,,,3776.0,,4096.9,619.2,,3157.7,,,1219.0,,,,1103.0,,1423.9,-2053.8,,484.7,,,,,,True,,False,False,,True,,
01085,368,161.0,,,,177.0,,106.3,0.0,,,,,-207.0,,,,-191.0,,-261.7,-368.0,,,,,,,,True,,False,False,,,,
01087,408,441.0,,,,392.0,,333.5,38.1,,,,,33.0,,,,-16.0,,-74.5,-369.9,,,,,,,,True,,False,False,,,,
01089,10394,13832.0,,,,13735.0,,12752.7,2791.0,,14114.3,7189.0,,3438.0,,,,3341.0,,2358.7,-7603.0,,3720.3,-3205.0,,,,,True,,True,False,,False,True,
01091,516,1008.0,,,,702.0,,1070.0,119.9,,,,,492.0,,,,186.0,,554.0,-396.1,,,,,,,,True,,False,True,,,,
01093,712,1043.0,,,,1234.0,,942.2,103.7,,,,,331.0,,,,522.0,,230.2,-608.3,,,,,,,,False,,True,False,,,,
01095,2259,3549.0,,,,4687.0,,1171.1,353.7,,1643.8,,,1290.0,,,,2428.0,,-1087.9,-1905.3,,-615.2,,,,,,False,,True,False,,True,,
01097,10094,10108.0,,,,12055.0,,6298.9,0.7,,6546.7,16240.0,,14.0,,,,1961.0,,-3795.1,-10093.3,,-3547.3,6146.0,,,,,False,,False,False,,False,False,
01099,537,560.0,,,,634.0,,1108.5,63.9,,,,,23.0,,,,97.0,,571.5,-473.1,,,,,,,,False,,False,False,,,,
01101,6471,5201.0,,,,6200.0,,7094.2,1211.4,,5943.5,3028.0,,-1270.0,,,,-271.0,,623.2,-5259.6,,-527.5,-3443.0,,,,,True,,True,False,,True,False,
01103,3251,5936.0,,,,5650.0,,3012.4,1244.9,,2040.6,,,2685.0,,,,2399.0,,-238.6,-2006.1,,-1210.4,,,,,,True,,True,True,,True,,
01105,260,266.0,,,,221.0,,518.1,0.0,,,,,6.0,,,,-39.0,,258.1,-260.0,,,,,,,,False,,False,False,,,,
01107,526,714.0,,,,719.0,,1193.6,96.7,,,,,188.0,,,,193.0,,667.6,-429.3,,,,,,,,False,,False,False,,,,
01109,982,581.0,,,,926.0,,418.6,132.8,,,,,-401.0,,,,-56.0,,-563.4,-849.2,,,,,,,,True,,False,False,,,,
01111,368,294.0,,,,793.0,,141.5,51.8,,,,,-74.0,,,,425.0,,-226.5,-316.2,,,,,,,,False,,False,False,,,,
01113,1257,714.0,,,,1631.0,,350.3,0.0,,699.0,,,-543.0,,,,374.0,,-906.7,-1257.0,,-558.0,,,,,,True,,False,False,,False,,
01115,2382,3297.0,,,,3015.0,,1744.4,439.9,,1123.7,,,915.0,,,,633.0,,-637.6,-1942.1,,-1258.3,,,,,,True,,True,False,,False,,
01117,6337,7819.0,,,,8043.0,,4368.9,1593.2,,3655.4,4462.0,,1482.0,,,,1706.0,,-1968.1,-4743.8,,-2681.6,-1875.0,,,,,False,,False,False,,False,False,
01119,156,546.0,,,,336.0,,1428.4,50.9,,,,,390.0,,,,180.0,,1272.4,-105.1,,,,,,,,True,,False,True,,,,
01121,2340,2037.0,,,,3104.0,,906.5,249.7,,1887.4,,,-303.0,,,,764.0,,-1433.5,-2090.3,,-452.6,,,,,,False,,False,False,,False,,
01123,1180,910.0,,,,1263.0,,285.4,66.5,,330.7,,,-270.0,,,,83.0,,-894.6,-1113.5,,-849.3,,,,,,True,,False,False,,False,,
01125,5730,7833.0,,,,8166.0,,5434.8,2536.0,,5852.6,2672.0,,2103.0,,,,2436.0,,-295.2,-3194.0,,122.6,-3058.0,,,,,False,,True,False,,True,False,
01127,1331,2261.0,,,,2840.0,,1135.2,172.4,,1311.0,,,930.0,,,,1509.0,,-195.8,-1158.6,,-20.0,,,,,,False,,True,False,,True,,
01129,381,441.0,,,,653.0,,729.9,0.0,,,,,60.0,,,,272.0,,348.9,-381.0,,,,,,,,False,,False,False,,,,
01131,339,280.0,,,,198.0,,388.9,0.0,,,,,-59.0,,,,-141.0,,49.9,-339.0,,,,,,,,False,,True,False,,,,
01133,553,1057.0,,,,1069.0,,272.7,111.2,,,,,504.0,,,,516.0,,-280.3,-441.8,,,,,,,,False,,True,True,,,,
02013,311,0.0,,,,,,0.0,,,,,,-311.0,,,,,,-311.0,,,,,,,,,,,True,,,,,
02016,212,112.0,,,,,,19.8,0.0,,,,,-100.0,,,,,,-192.2,-212.0,,,,,,,,,,False,False,,,,
02020,3696,5887.0,,,,,,2031.6,0.1,,11090.7,1305.0,,2191.0,,,,,,-1664.4,-3695.9,,7394.7,-2391.0,,,,,,,True,False,,False,False,
02050,1366,637.0,,,,,,142.7,0.0,,,,,-729.0,,,,,,-1223.3,-1366.0,,,,,,,,,,False,False,,,,
02060,0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,True,,,,,
02068,8,0.0,,,,,,5.7,,,,,,-8.0,,,,,,-2.3,,,,,,,,,,,True,,,,,
02070,79,28.0,,,,,,3.6,0.0,,,,,-51.0,,,,,,-75.4,-79.0,,,,,,,,,,False,False,,,,
02090,1252,1274.0,,,,,,739.8,0.0,,900.4,,,22.0,,,,,,-512.2,-1252.0,,-351.6,,,,,,,,False,False,,False,,
02100,5,0.0,,,,,,19.2,,,,,,-5.0,,,,,,14.2,,,,,,,,,,,False,,,,,
02105,0,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,True,,,,,
02110,187,294.0,,,,,,62.1,0.0,,,,,107.0,,,,,,-124.9,-187.0,,,,,,,,,,False,False,,,,
02122,382,910.0,,,,,,202.3,0.0,,491.0,,,528.0,,,,,,-179.7,-382.0,,109.0,,,,,,,,True,True,,True,,
02130,76,21.0,,,,,,4.9,0.0,,,,,-55.0,,,,,,-71.1,-76.0,,,,,,,,,,False,False,,,,
02150,156,623.0,,,,,,198.3,0.0,,,,,467.0,,,,,,42.3,-156.0,,,,,,,,,,True,True,,,,
02158,490,133.0,,,,,,119.5,,,,,,-357.0,,,,,,-370.5,,,,,,,,,,,False,,,,,
02164,29,0.0,,,,,,4.6,0.0,,,,,-29.0,,,,,,-24.4,-29.0,,,,,,,,,,True,False,,,,
02170,1882,1918.0,,,,,,222.9,0.0,,2245.8,,,36.0,,,,,,-1659.1,-1882.0,,363.8,,,,,,,,False,False,,False,,
02180,50,42.0,,,,,,1.3,0.0,,,,,-8.0,,,,,,-48.7,-50.0,,,,,,,,,,False,False,,,,
02185,205,315.0,,,,,,132.1,0.0,,,,,110.0,,,,,,-72.9,-205.0,,,,,,,,,,True,False,,,,
02188,180,77.0,,,,,,6.9,0.0,,,,,-103.0,,,,,,-173.1,-180.0,,,,,,,,,,False,False,,,,
02195,22,7.0,,,,,,0.2,,,,,,-15.0,,,,,,-21.8,,,,,,,,,,,False,,,,,
02198,8,21.0,,,,,,5.6,,,,,,13.0,,,,,,-2.4,,,,,,,,,,,True,,,,,
02220,41,91.0,,,,,,14.5,0.0,,,,,50.0,,,,,,-26.5,-41.0,,,,,,,,,,True,True,,,,
02230,2,7.0,,,,,,0.1,,,,,,5.0,,,,,,-1.9,,,,,,,,,,,True,,,,,
02240,49,133.0,,,,,,25.8,0.0,,,,,84.0,,,,,,-23.2,-49.0,,,,,,,,,,True,True,,,,
02261,131,119.0,,,,,,23.5,0.0,,,,,-12.0,,,,,,-107.5,-131.0,,,,,,,,,,False,False,,,,
02275,3,0.0,,,,,,2.8,,,,,,-3.0,,,,,,-0.2,,,,,,,,,,,True,,,,,
02282,15,0.0,,,,,,0.0,,,,,,-15.0,,,,,,-15.0,,,,,,,,,,,True,,,,,
02290,114,0.0,,,,,,22.2,0.0,,,,,-114.0,,,,,,-91.8,-114.0,,,,,,,,,,True,False,,,,
04001,2918,2793.0,,,,2343.0,,906.3,0.0,,1248.0,,,-125.0,,,,-575.0,,-2011.7,-2918.0,,-1670.0,,,,,,False,,False,False,,False,,
04003,3748,7448.0,,,,3156.0,,5177.2,1771.6,,5273.7,,,3700.0,,,,-592.0,,1429.2,-1976.4,,1525.7,,,,,,True,,True,True,,True,,
04005,5272,5698.0,,,,3356.0,,3196.3,2327.5,,2446.4,3647.0,,426.0,,,,-1916.0,,-2075.7,-2944.5,,-2825.6,-1625.0,,,,,False,,False,False,,False,False,
04007,2019,2030.0,,,,1573.0,,1143.0,738.1,,1327.3,,,11.0,,,,-446.0,,-876.0,-1280.9,,-691.7,,,,,,False,,False,False,,False,,
04009,2137,2226.0,,,,973.0,,829.4,299.9,,1159.1,,,89.0,,,,-1164.0,,-1307.6,-1837.1,,-977.9,,,,,,False,,False,False,,False,,
04011,167,154.0,,,,214.0,,26.4,0.0,,,,,-13.0,,,,47.0,,-140.6,-167.0,,,,,,,,False,,False,False,,,,
04012,1037,1106.0,,,,1225.0,,497.6,0.0,,,,,69.0,,,,188.0,,-539.4,-1037.0,,,,,,,,False,,False,False,,,,
04013,194434,178983.0,,,,145047.0,,108366.4,67259.9,,133034.7,64971.0,,-15451.0,,,,-49387.0,,-86067.6,-127174.1,,-61399.3,-129463.0,,,,,False,,False,False,,False,False,
04015,9136,11088.0,,,,6886.0,,10148.4,1323.9,,7450.0,8900.0,,1952.0,,,,-2250.0,,1012.4,-7812.1,,-1686.0,-236.0,,,,,False,,True,False,,True,True,
04017,4307,4739.0,,,,3758.0,,2140.2,644.2,,3035.1,,,432.0,,,,-549.0,,-2166.8,-3662.8,,-1271.9,,,,,,False,,False,False,,False,,
04019,40895,53214.0,,,,37127.0,,39437.2,10954.4,,45776.6,20676.0,,12319.0,,,,-3768.0,,-1457.8,-29940.6,,4881.6,-20219.0,,,,,True,,True,False,,True,False,
04021,18780,16548.0,,,,18186.0,,9252.8,2773.1,,9826.1,7194.0,,-2232.0,,,,-594.0,,-9527.2,-16006.9,,-8953.9,-11586.0,,,,,True,,False,False,,False,False,
04023,1837,2926.0,,,,1982.0,,1079.7,342.4,,1357.4,,,1089.0,,,,145.0,,-757.3,-1494.6,,-479.6,,,,,,True,,True,False,,True,,
04025,6227,9163.0,,,,7027.0,,5170.0,2277.0,,2680.9,5037.0,,2936.0,,,,800.0,,-1057.0,-3950.0,,-3546.1,-1190.0,,,,,True,,True,False,,False,True,
04027,9428,15554.0,,,,7757.0,,7928.9,5199.9,,5763.3,7065.0,,6126.0,,,,-1671.0,,-1499.1,-4228.1,,-3664.7,-2363.0,,,,,True,,True,True,,True,True,
05001,673,469.0,,,,731.0,,345.6,79.9,,,,,-204.0,,,,58.0,,-327.4,-593.1,,,,,,,,True,,False,False,,,,
05003,506,546.0,,,,806.0,,255.5,122.1,,,,,40.0,,,,300.0,,-250.5,-383.9,,,,,,,,False,,False,False,,,,
05005,814,917.0,,,,1099.0,,552.7,262.7,,,,,103.0,,,,285.0,,-261.3,-551.3,,,,,,,,False,,False,False,,,,
05007,9593,9205.0,,,,8963.0,,5512.4,2166.1,,7876.3,2710.0,,-388.0,,,,-630.0,,-4080.6,-7426.9,,-1716.7,-6883.0,,,,,False,,False,False,,False,False,
05009,1090,1022.0,,,,1066.0,,327.1,169.6,,,,,-68.0,,,,-24.0,,-762.9,-920.4,,,,,,,,True,,False,False,,,,
05011,426,623.0,,,,404.0,,544.6,42.1,,,,,197.0,,,,-22.0,,118.6,-383.9,,,,,,,,True,,True,False,,,,
05013,167,154.0,,,,170.0,,131.2,0.3,,,,,-13.0,,,,3.0,,-35.8,-166.7,,,,,,,,True,,False,False,,,,
05015,699,658.0,,,,623.0,,329.1,180.6,,,,,-41.0,,,,-76.0,,-369.9,-518.4,,,,,,,,False,,False,False,,,,
05017,197,280.0,,,,409.0,,51.0,0.0,,,,,83.0,,,,212.0,,-146.0,-197.0,,,,,,,,False,,False,False,,,,
05019,668,742.0,,,,760.0,,543.3,145.8,,,,,74.0,,,,92.0,,-124.7,-522.2,,,,,,,,False,,False,False,,,,
05021,387,497.0,,,,576.0,,94.0,0.0,,,,,110.0,,,,189.0,,-293.0,-387.0,,,,,,,,False,,False,False,,,,
05023,727,777.0,,,,901.0,,622.0,150.0,,,,,50.0,,,,174.0,,-105.0,-577.0,,,,,,,,False,,False,False,,,,
05025,368,203.0,,,,254.0,,82.0,0.0,,,,,-165.0,,,,-114.0,,-286.0,-368.0,,,,,,,,True,,False,False,,,,
05027,593,602.0,,,,879.0,,226.2,138.6,,,,,9.0,,,,286.0,,-366.8,-454.4,,,,,,,,False,,False,False,,,,
05029,906,1036.0,,,,923.0,,788.2,83.2,,,,,130.0,,,,17.0,,-117.8,-822.8,,,,,,,,True,,True,False,,,,
05031,3010,3808.0,,,,4672.0,,1883.1,1083.0,,2572.6,,,798.0,,,,1662.0,,-1126.9,-1927.0,,-437.4,,,,,,False,,False,False,,True,,
05033,2407,1750.0,,,,3335.0,,1119.0,307.1,,,,,-657.0,,,,928.0,,-1288.0,-2099.9,,,,,,,,False,,False,False,,,,
05035,1414,1631.0,,,,1720.0,,691.3,149.0,,1485.4,,,217.0,,,,306.0,,-722.7,-1265.0,,71.4,,,,,,False,,False,False,,True,,
05037,565,714.0,,,,727.0,,617.5,109.7,,,,,149.0,,,,162.0,,52.5,-455.3,,,,,,,,False,,True,False,,,,
05039,249,280.0,,,,245.0,,130.3,19.2,,,,,31.0,,,,-4.0,,-118.7,-229.8,,,,,,,,True,,False,False,,,,
05041,386,560.0,,,,370.0,,270.9,46.9,,,,,174.0,,,,-16.0,,-115.1,-339.1,,,,,,,,True,,True,False,,,,
05043,536,847.0,,,,688.0,,245.5,0.0,,,,,311.0,,,,152.0,,-290.5,-536.0,,,,,,,,True,,True,False,,,,
05045,4359,3927.0,,,,4395.0,,2342.6,886.5,,4548.9,,,-432.0,,,,36.0,,-2016.4,-3472.5,,189.9,,,,,,True,,False,False,,True,,
05047,535,378.0,,,,787.0,,111.7,0.0,,,,,-157.0,,,,252.0,,-423.3,-535.0,,,,,,,,False,,False,False,,,,
05049,226,539.0,,,,317.0,,1601.3,80.2,,,,,313.0,,,,91.0,,1375.3,-145.8,,,,,,,,True,,False,True,,,,
05051,3842,2940.0,,,,4140.0,,2038.1,466.0,,3703.7,,,-902.0,,,,298.0,,-1803.9,-3376.0,,-138.3,,,,,,True,,False,False,,True,,
05053,548,917.0,,,,635.0,,843.0,82.5,,,,,369.0,,,,87.0,,295.0,-465.5,,,,,,,,True,,True,False,,,,
05055,1466,1820.0,,,,2013.0,,401.8,0.0,,2777.9,,,354.0,,,,547.0,,-1064.2,-1466.0,,1311.9,,,,,,False,,False,False,,False,,
05057,585,623.0,,,,780.0,,336.8,127.9,,,,,38.0,,,,195.0,,-248.2,-457.1,,,,,,,,False,,False,False,,,,
05059,1185,1253.0,,,,1560.0,,927.8,0.0,,1003.1,,,68.0,,,,375.0,,-257.2,-1185.0,,-181.9,,,,,,False,,False,False,,False,,
05061,425,357.0,,,,454.0,,391.1,112.1,,,,,-68.0,,,,29.0,,-33.9,-312.9,,,,,,,,True,,True,False,,,,
05063,972,1106.0,,,,1976.0,,442.3,0.0,,541.4,,,134.0,,,,1004.0,,-529.7,-972.0,,-430.6,,,,,,False,,False,False,,False,,
05065,422,525.0,,,,411.0,,407.4,0.0,,,,,103.0,,,,-11.0,,-14.6,-422.0,,,,,,,,True,,True,False,,,,
05067,370,581.0,,,,752.0,,331.4,0.0,,,,,211.0,,,,382.0,,-38.6,-370.0,,,,,,,,False,,True,False,,,,
05069,1942,2429.0,,,,2332.0,,4142.5,323.6,,628.5,,,487.0,,,,390.0,,2200.5,-1618.4,,-1313.5,,,,,,True,,False,False,,False,,
05071,904,840.0,,,,1316.0,,1141.3,101.6,,,,,-64.0,,,,412.0,,237.3,-802.4,,,,,,,,False,,False,False,,,,
05073,162,112.0,,,,185.0,,130.3,0.0,,,,,-50.0,,,,23.0,,-31.7,-162.0,,,,,,,,True,,True,False,,,,
05075,485,777.0,,,,706.0,,219.6,127.1,,,,,292.0,,,,221.0,,-265.4,-357.9,,,,,,,,True,,True,False,,,,
05077,216,336.0,,,,369.0,,80.8,0.0,,,,,120.0,,,,153.0,,-135.2,-216.0,,,,,,,,False,,False,False,,,,
05079,332,448.0,,,,471.0,,70.1,0.0,,163.0,,,116.0,,,,139.0,,-261.9,-332.0,,-169.0,,,,,,False,,False,False,,False,,
05081,338,357.0,,,,460.0,,135.5,0.0,,,,,19.0,,,,122.0,,-202.5,-338.0,,,,,,,,False,,False,False,,,,
05083,782,588.0,,,,1177.0,,257.6,143.6,,,,,-194.0,,,,395.0,,-524.4,-638.4,,,,,,,,False,,False,False,,,,
05085,2685,2093.0,,,,2627.0,,1800.6,566.8,,1570.6,,,-592.0,,,,-58.0,,-884.4,-2118.2,,-1114.4,,,,,,True,,False,False,,False,,
05087,412,504.0,,,,511.0,,171.9,0.0,,,,,92.0,,,,99.0,,-240.1,-412.0,,,,,,,,False,,False,False,,,,
05089,326,252.0,,,,374.0,,99.0,0.0,,,,,-74.0,,,,48.0,,-227.0,-326.0,,,,,,,,True,,False,False,,,,
05091,1045,1337.0,,,,1421.0,,682.0,205.7,,719.1,,,292.0,,,,376.0,,-363.0,-839.3,,-325.9,,,,,,False,,False,False,,False,,
05093,1260,1477.0,,,,1961.0,,515.5,0.0,,595.5,,,217.0,,,,701.0,,-744.5,-1260.0,,-664.5,,,,,,False,,False,False,,False,,
05095,361,315.0,,,,259.0,,186.2,8.3,,,,,-46.0,,,,-102.0,,-174.8,-352.7,,,,,,,,False,,False,False,,,,
05097,238,231.0,,,,315.0,,76.1,0.0,,,,,-7.0,,,,77.0,,-161.9,-238.0,,,,,,,,False,,False,False,,,,
05099,176,266.0,,,,362.0,,105.7,20.8,,,,,90.0,,,,186.0,,-70.3,-155.2,,,,,,,,False,,True,False,,,,
05101,128,182.0,,,,222.0,,33.0,0.0,,,,,54.0,,,,94.0,,-95.0,-128.0,,,,,,,,False,,False,False,,,,
05103,831,777.0,,,,872.0,,211.4,0.0,,,,,-54.0,,,,41.0,,-619.6,-831.0,,,,,,,,True,,False,False,,,,
05105,374,343.0,,,,336.0,,264.7,18.4,,,,,-31.0,,,,-38.0,,-109.3,-355.6,,,,,,,,False,,False,False,,,,
05107,431,497.0,,,,800.0,,607.1,42.5,,,,,66.0,,,,369.0,,176.1,-388.5,,,,,,,,False,,False,False,,,,
05109,279,665.0,,,,404.0,,284.7,36.0,,,,,386.0,,,,125.0,,5.7,-243.0,,,,,,,,True,,True,True,,,,
05111,742,1218.0,,,,1223.0,,840.7,177.3,,626.6,,,476.0,,,,481.0,,98.7,-564.7,,-115.4,,,,,,False,,True,False,,True,,
05113,663,462.0,,,,873.0,,118.8,0.0,,,,,-201.0,,,,210.0,,-544.2,-663.0,,,,,,,,False,,False,False,,,,
05115,2339,2933.0,,,,2638.0,,2021.5,390.6,,749.9,,,594.0,,,,299.0,,-317.5,-1948.4,,-1589.1,,,,,,True,,True,False,,False,,
05117,341,441.0,,,,298.0,,672.1,25.1,,,,,100.0,,,,-43.0,,331.1,-315.9,,,,,,,,True,,False,False,,,,
05119,13296,11165.0,,,,13183.0,,9215.3,2264.8,,3267.4,5318.0,,-2131.0,,,,-113.0,,-4080.7,-11031.2,,-10028.6,-7978.0,,,,,True,,False,False,,False,False,
05121,543,511.0,,,,704.0,,225.2,74.0,,,,,-32.0,,,,161.0,,-317.8,-469.0,,,,,,,,False,,False,False,,,,
05123,736,903.0,,,,1106.0,,505.1,0.0,,489.5,,,167.0,,,,370.0,,-230.9,-736.0,,-246.5,,,,,,False,,False,False,,False,,
05125,4013,3276.0,,,,5398.0,,1450.0,1033.4,,2643.8,,,-737.0,,,,1385.0,,-2563.0,-2979.6,,-1369.2,,,,,,False,,False,False,,False,,
05127,389,210.0,,,,465.0,,38.3,0.0,,,,,-179.0,,,,76.0,,-350.7,-389.0,,,,,,,,True,,False,False,,,,
