,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Georgia,56950,87400.0,91442.2,84268.8,84149.0,74517.0,76938.0,,90092.9,112191.0,86160.4,,91499.8,,72167.1,88160.0,93318.8,87674.0,67202.2,73032.0,64108.4,59845.0,64880.1,86213.6,82717.8,77246.8,95483.0,64856.0,,68135.1,91433.0,84773.3,,84676.3,73962.8,96980.8,84807.0,83747.3,,30450.0,34492.2,27318.8,27199.0,17567.0,19988.0,,33142.9,55241.0,29210.4,,34549.8,,15217.1,31210.0,36368.8,30724.0,10252.2,16082.0,7158.4,2895.0,7930.1,29263.6,25767.8,20296.8,38533.0,7906.0,,11185.1,34483.0,27823.3,,27726.3,17012.8,40030.8,27857.0,26797.3,,False,True,True,True,True,,False,False,True,,False,,True,False,False,False,True,True,True,True,True,True,True,True,False,True,,True,False,True,,True,True,False,True,True,
Hawaii,1021,1516.0,1566.3,1576.2,1460.0,1876.0,1407.0,,1501.2,2999.0,1210.9,,1635.5,,1188.4,,939.5,1680.0,2647.8,1359.0,1169.0,1149.0,1115.9,1864.5,2320.9,1484.6,1588.0,1986.0,,1097.3,1590.0,2402.0,,1345.6,1566.3,1542.3,1288.0,1399.6,,495.0,545.3,555.2,439.0,855.0,386.0,,480.2,1978.0,189.9,,614.5,,167.4,,-81.5,659.0,1626.8,338.0,148.0,128.0,94.9,843.5,1299.9,463.6,567.0,965.0,,76.3,569.0,1381.0,,324.6,545.3,521.3,267.0,378.6,,False,False,True,False,True,,True,False,True,,False,,True,,True,False,False,True,True,True,True,False,False,True,False,False,,True,False,False,,True,False,False,True,True,
Idaho,4800,6716.0,6264.6,6972.0,5992.0,6589.0,5137.0,,6820.2,4240.0,16924.4,,6415.4,,4747.7,6173.0,5128.1,5950.0,6715.1,6095.0,6314.4,3964.5,4362.0,5187.5,7063.4,5849.7,6451.0,6920.0,,6275.4,7075.0,5591.5,,5782.6,5555.9,8065.8,5529.0,5434.4,,1916.0,1464.6,2172.0,1192.0,1789.0,337.0,,2020.2,-560.0,12124.4,,1615.4,,-52.3,1373.0,328.1,1150.0,1915.1,1295.0,1514.4,-835.5,-438.0,387.5,2263.4,1049.7,1651.0,2120.0,,1475.4,2275.0,791.5,,982.6,755.9,3265.8,729.0,634.4,,True,False,True,True,True,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,False,,True,False,True,,True,True,False,True,True,
Illinois,36650,50692.0,45643.0,51288.6,44266.0,50076.0,41889.0,,54587.4,18611.0,39579.8,,42808.2,,39227.1,53548.0,29635.9,46365.0,54623.2,47189.5,47123.1,30302.5,36368.8,55134.3,33205.6,46907.0,43262.0,54207.0,,47029.9,41214.0,17250.4,,42253.3,50690.0,43824.9,47695.0,39286.0,,14042.0,8993.0,14638.6,7616.0,13426.0,5239.0,,17937.4,-18039.0,2929.8,,6158.2,,2577.1,16898.0,-7014.1,9715.0,17973.2,10539.5,10473.1,-6347.5,-281.2,18484.3,-3444.4,10257.0,6612.0,17557.0,,10379.9,4564.0,-19399.6,,5603.3,14040.0,7174.9,11045.0,2636.0,,True,False,True,True,True,,False,False,True,,True,,True,False,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,False,,True,True,True,True,True,
Indiana,22698,32880.0,28890.3,35280.6,26147.0,31133.0,25775.0,,33335.7,26310.0,28206.3,,31389.8,,23703.7,34085.0,17150.0,28654.0,30175.3,27646.0,22578.4,18172.0,23435.8,17755.1,20077.0,30608.0,30687.0,31036.0,,23881.9,24563.0,16532.9,,47087.8,29269.3,28668.7,29171.0,19145.6,,10182.0,6192.3,12582.6,3449.0,8435.0,3077.0,,10637.7,3612.0,5508.3,,8691.8,,1005.7,11387.0,-5548.0,5956.0,7477.3,4948.0,-119.6,-4526.0,737.8,-4942.9,-2621.0,7910.0,7989.0,8338.0,,1183.9,1865.0,-6165.1,,24389.8,6571.3,5970.7,6473.0,-3552.4,,True,False,True,True,True,,False,True,True,,True,,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,False,True,True,True,True,
Iowa,9929,12976.0,9067.0,11847.1,10160.0,15409.0,10892.0,,13547.4,36002.0,9052.0,,15196.3,,10059.4,11807.0,8165.5,11895.0,12381.4,9191.5,10198.8,7724.0,9751.9,7052.3,6222.1,10893.0,12751.0,18848.0,,10520.8,11190.0,1880.8,,9045.8,12154.7,17380.5,11436.0,11576.6,,3047.0,-862.0,1918.1,231.0,5480.0,963.0,,3618.4,26073.0,-877.0,,5267.3,,130.4,1878.0,-1763.5,1966.0,2452.4,-737.5,269.8,-2205.0,-177.1,-2876.7,-3706.9,964.0,2822.0,8919.0,,591.8,1261.0,-8048.2,,-883.2,2225.7,7451.5,1507.0,1647.6,,True,True,True,False,True,,False,False,True,,False,,True,True,True,True,True,True,True,True,True,True,False,True,True,False,,True,True,False,,True,True,False,True,True,
Kansas,11519,16096.0,15186.1,15813.0,13004.0,17115.0,11924.0,,16763.2,9097.0,8995.1,,18380.6,,15682.0,17147.0,7825.4,13818.0,13764.8,10327.5,11195.0,8500.5,10697.1,10191.1,13003.6,16819.8,15943.0,18461.0,,13132.2,16096.0,6847.5,,15050.5,13641.3,18945.0,11879.0,14929.5,,4577.0,3667.1,4294.0,1485.0,5596.0,405.0,,5244.2,-2422.0,-2523.9,,6861.6,,4163.0,5628.0,-3693.6,2299.0,2245.8,-1191.5,-324.0,-3018.5,-821.9,-1327.9,1484.6,5300.8,4424.0,6942.0,,1613.2,4577.0,-4671.5,,3531.5,2122.3,7426.0,360.0,3410.5,,True,True,True,False,True,,False,True,True,,False,,True,False,True,True,True,True,True,True,True,True,True,False,True,False,,True,False,False,,True,True,False,True,True,
Kentucky,25975,33096.0,33403.2,34015.3,31725.0,31231.0,31765.0,,36256.2,18816.0,66747.6,,32992.7,,26959.7,32615.0,26216.2,34656.0,25827.6,28709.0,28274.4,23055.0,24438.7,35524.9,42055.0,27882.2,36897.0,31892.0,,29217.0,43719.0,14635.6,,26557.2,26244.1,41986.5,33024.0,30988.4,,7121.0,7428.2,8040.3,5750.0,5256.0,5790.0,,10281.2,-7159.0,40772.6,,7017.7,,984.7,6640.0,241.2,8681.0,-147.4,2734.0,2299.4,-2920.0,-1536.3,9549.9,16080.0,1907.2,10922.0,5917.0,,3242.0,17744.0,-11339.4,,582.2,269.1,16011.5,7049.0,5013.4,,False,False,True,True,True,,False,False,False,,True,,True,True,True,False,True,True,True,True,True,False,False,True,False,True,,True,False,False,,True,True,False,True,True,
Louisiana,21309,34042.0,26825.9,32328.0,29565.0,31024.0,32988.0,,32049.7,28267.0,680334.6,,25227.5,,25453.8,31449.0,15571.4,36334.0,25077.7,28454.5,21880.1,23073.0,23700.0,29953.6,24584.2,28304.7,30816.0,31387.0,,23672.5,34042.0,29794.6,,37353.6,27802.2,32851.3,28684.0,32534.4,,12733.0,5516.9,11019.0,8256.0,9715.0,11679.0,,10740.7,6958.0,659025.6,,3918.5,,4144.8,10140.0,-5737.6,15025.0,3768.7,7145.5,571.1,1764.0,2391.0,8644.6,3275.2,6995.7,9507.0,10078.0,,2363.5,12733.0,8485.6,,16044.6,6493.2,11542.3,7375.0,11225.4,,True,True,True,True,True,,True,True,False,,True,,True,True,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,True,,False,True,True,True,True,
Maine,3257,5140.0,6060.9,5161.1,5310.0,6234.0,4272.0,,5717.7,4247.0,4179.7,,6296.6,,3858.2,6526.0,6976.8,5131.0,5006.8,6194.0,4086.4,4807.0,4127.6,5717.5,5425.5,5812.6,6847.0,6126.0,,6484.2,4145.0,8587.7,,4912.1,3493.3,5501.4,5174.0,5513.8,,1883.0,2803.9,1904.1,2053.0,2977.0,1015.0,,2460.7,990.0,922.7,,3039.6,,601.2,3269.0,3719.8,1874.0,1749.8,2937.0,829.4,1550.0,870.6,2460.5,2168.5,2555.6,3590.0,2869.0,,3227.2,888.0,5330.7,,1655.1,236.3,2244.4,1917.0,2256.8,,False,False,False,False,True,,False,True,True,,False,,True,False,False,True,True,False,True,True,True,False,False,False,False,False,,False,True,False,,True,True,False,False,False,
Maryland,17410,26838.0,25481.0,26237.9,25780.0,26281.0,27791.0,,27486.1,118806.0,25923.6,,22232.4,,22016.7,26851.0,16973.6,27244.0,24429.5,29554.0,21972.4,18891.0,21088.7,22648.2,20888.6,25140.1,27041.0,23131.0,,25464.3,26732.0,27591.7,,24901.0,23969.5,31348.2,26834.0,26496.5,,9428.0,8071.0,8827.9,8370.0,8871.0,10381.0,,10076.1,101396.0,8513.6,,4822.4,,4606.7,9441.0,-436.4,9834.0,7019.5,12144.0,4562.4,1481.0,3678.7,5238.2,3478.6,7730.1,9631.0,5721.0,,8054.3,9322.0,10181.7,,7491.0,6559.5,13938.2,9424.0,9086.5,,True,True,True,True,False,,False,False,True,,True,,True,False,True,False,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,True,False,True,True,
Massachusetts,34535,50534.0,47665.3,48209.9,45437.0,44533.0,46830.0,,52027.2,45134.0,62087.2,,37205.8,,40207.8,48934.0,32244.6,46983.0,27547.9,46812.0,37560.8,29601.0,35758.0,41636.0,52893.0,44710.5,50342.0,40388.0,,42287.6,46888.0,51455.2,,72259.2,34540.7,68471.6,45366.0,44843.4,,15999.0,13130.3,13674.9,10902.0,9998.0,12295.0,,17492.2,10599.0,27552.2,,2670.8,,5672.8,14399.0,-2290.4,12448.0,-6987.1,12277.0,3025.8,-4934.0,1223.0,7101.0,18358.0,10175.5,15807.0,5853.0,,7752.6,12353.0,16920.2,,37724.2,5.7,33936.6,10831.0,10308.4,,True,True,True,True,True,,False,True,False,,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,False,,False,True,False,True,True,
Michigan,18818,26784.0,21346.2,27442.2,22267.0,24637.0,27331.0,,25767.9,8428.0,100507.3,,28694.2,,19500.4,27473.0,15089.8,28483.0,27185.1,22013.5,20708.0,17731.5,20095.5,16670.7,23074.2,22220.7,25147.0,26388.0,,17536.1,24373.0,9920.4,,33425.4,29289.5,28456.0,23162.0,20219.4,,7966.0,2528.2,8624.2,3449.0,5819.0,8513.0,,6949.9,-10390.0,81689.3,,9876.2,,682.4,8655.0,-3728.2,9665.0,8367.1,3195.5,1890.0,-1086.5,1277.5,-2147.3,4256.2,3402.7,6329.0,7570.0,,-1281.9,5555.0,-8897.6,,14607.4,10471.5,9638.0,4344.0,1401.4,,True,False,True,True,False,,True,False,False,,False,,True,False,True,False,False,True,True,True,True,True,True,True,True,True,,True,True,False,,False,False,False,True,True,
Minnesota,11972,14022.0,10267.1,13069.9,11599.0,14740.0,13682.0,,14643.8,4901.0,14117.3,,14029.0,,10834.7,18394.0,6026.3,11984.0,17373.8,11946.5,10022.6,8848.0,10811.0,9963.1,9974.3,11738.0,12958.0,17558.0,,12507.7,11600.0,4095.9,,12834.6,11997.7,11064.4,13914.0,10120.7,,2050.0,-1704.9,1097.9,-373.0,2768.0,1710.0,,2671.8,-7071.0,2145.3,,2057.0,,-1137.3,6422.0,-5945.7,12.0,5401.8,-25.5,-1949.4,-3124.0,-1161.0,-2008.9,-1997.7,-234.0,986.0,5586.0,,535.7,-372.0,-7876.1,,862.6,25.7,-907.6,1942.0,-1851.3,,True,True,True,False,True,,False,False,False,,False,,True,False,False,True,False,True,True,False,True,True,True,True,True,False,,True,True,False,,True,True,True,True,True,
Mississippi,12153,22334.0,19486.2,22362.7,19877.0,19751.0,17609.0,,21720.0,18978.0,22102.6,,19188.0,,17740.1,21767.0,17854.3,21577.0,16337.6,20520.0,20028.7,14014.0,16543.2,20229.4,16898.6,19044.7,22304.0,19810.0,,16444.1,21991.0,13484.6,,18118.7,19103.5,22817.4,21811.0,20629.5,,10181.0,7333.2,10209.7,7724.0,7598.0,5456.0,,9567.0,6825.0,9949.6,,7035.0,,5587.1,9614.0,5701.3,9424.0,4184.6,8367.0,7875.7,1861.0,4390.2,8076.4,4745.6,6891.7,10151.0,7657.0,,4291.1,9838.0,1331.6,,5965.7,6950.5,10664.4,9658.0,8476.5,,True,False,True,True,True,,True,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,False,True,True,
Missouri,19422,22268.0,17418.6,22253.5,19072.0,20633.0,18427.0,,21170.2,17408.0,18085.9,,18346.0,,19051.0,21824.0,9624.7,20895.0,18685.0,18164.0,19385.2,12789.0,15507.9,19738.4,21174.1,18643.9,20493.0,20823.0,,16687.5,21784.0,10489.4,,23940.0,21595.1,31838.9,19229.0,16117.0,,2846.0,-2003.4,2831.5,-350.0,1211.0,-995.0,,1748.2,-2014.0,-1336.1,,-1076.0,,-371.0,2402.0,-9797.3,1473.0,-737.0,-1258.0,-36.8,-6633.0,-3914.1,316.4,1752.1,-778.1,1071.0,1401.0,,-2734.5,2362.0,-8932.6,,4518.0,2173.1,12416.9,-193.0,-3305.0,,True,True,True,True,True,,True,True,True,,True,,True,True,False,True,True,True,True,False,False,True,True,True,True,True,,True,True,False,,False,True,False,True,False,
