,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
01021,109,78.0,,81.6,,68.0,58.0,47.0,,,,,64.1,,,106.6,,,145.0,100.3,,69.2,33.0,,37.0,62.2,,,,65.0,64.0,75.8,,,,,,66.9,65.1,,,,72.5,-31.0,,-27.4,,-41.0,-51.0,-62.0,,,,,-44.9,,,-2.4,,,36.0,-8.7,,-39.8,-76.0,,-72.0,-46.8,,,,-44.0,-45.0,-33.2,,,,,,-42.1,-43.9,,,,-36.5,,True,,False,False,False,,,,,False,,,True,,,False,True,,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False
01023,3,10.0,,9.8,,10.0,13.0,7.0,,,,,9.1,,,10.1,,,41.0,13.8,,10.3,,,7.0,5.4,,,,5.0,10.0,21.1,,,,,,,21.4,,,,16.3,7.0,,6.8,,7.0,10.0,4.0,,,,,6.1,,,7.1,,,38.0,10.8,,7.3,,,4.0,2.4,,,,2.0,7.0,18.1,,,,,,,18.4,,,,13.3,,True,,False,False,True,,,,,True,,,False,,,False,False,,False,,,True,True,,,,True,False,False,,,,,,,False,,,,False
01025,57,145.0,,149.4,,94.0,104.0,163.0,,,,,78.0,,,51.4,,,76.0,314.7,,109.3,,,69.0,91.8,,,,168.0,114.0,26.4,,,,,,124.7,127.0,,,,201.0,88.0,,92.4,,37.0,47.0,106.0,,,,,21.0,,,-5.6,,,19.0,257.7,,52.3,,,12.0,34.8,,,,111.0,57.0,-30.6,,,,,,67.7,70.0,,,,144.0,,False,,True,True,False,,,,,True,,,True,,,True,False,,True,,,True,True,,,,False,True,True,,,,,,True,True,,,,False
01027,36,31.0,,31.3,,27.0,27.0,21.0,,,,,22.4,,,41.4,,,42.0,22.6,,25.6,,,16.0,27.4,,,,20.0,25.0,43.6,,,,,,,31.6,,,,34.8,-5.0,,-4.7,,-9.0,-9.0,-15.0,,,,,-13.6,,,5.4,,,6.0,-13.4,,-10.4,,,-20.0,-8.6,,,,-16.0,-11.0,7.6,,,,,,,-4.4,,,,-1.2,,True,,False,False,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,False,False,False,,,,,,,True,,,,True
01029,18,52.0,,50.3,,41.0,34.0,24.0,,,,,23.1,,,17.7,,,51.0,61.6,,31.1,,,29.0,32.4,,,,46.0,42.0,50.0,,,,,,,33.6,,,,40.5,34.0,,32.3,,23.0,16.0,6.0,,,,,5.1,,,-0.3,,,33.0,43.6,,13.1,,,11.0,14.4,,,,28.0,24.0,32.0,,,,,,,15.6,,,,22.5,,True,,True,True,True,,,,,True,,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01031,77,214.0,,218.1,,168.0,156.0,222.0,,,,,101.1,,,112.7,,,165.0,259.8,,168.2,79.0,,145.0,152.0,,,,209.0,175.0,202.2,,,,,,209.0,158.4,,,,203.4,137.0,,141.1,,91.0,79.0,145.0,,,,,24.1,,,35.7,,,88.0,182.8,,91.2,2.0,,68.0,75.0,,,,132.0,98.0,125.2,,,,,,132.0,81.4,,,,126.4,,False,,True,True,False,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01033,60,157.0,,165.4,,135.0,122.0,173.0,,,,,100.6,,,129.3,,,179.0,274.3,,154.2,67.0,,82.0,113.9,,,,145.0,152.0,79.1,,,,,,132.1,127.8,,,,212.0,97.0,,105.4,,75.0,62.0,113.0,,,,,40.6,,,69.3,,,119.0,214.3,,94.2,7.0,,22.0,53.9,,,,85.0,92.0,19.1,,,,,,72.1,67.8,,,,152.0,,False,,True,True,False,,,,,True,,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01035,19,30.0,,31.3,,23.0,25.0,29.0,,,,,17.9,,,26.4,,,35.0,23.9,,20.6,,,23.0,19.1,,,,29.0,23.0,14.7,,,,,,,38.3,,,,27.0,11.0,,12.3,,4.0,6.0,10.0,,,,,-1.1,,,7.4,,,16.0,4.9,,1.6,,,4.0,0.1,,,,10.0,4.0,-4.3,,,,,,,19.3,,,,8.0,,False,,True,True,True,,,,,True,,,True,,,False,True,,True,,,True,True,,,,True,True,True,,,,,,,False,,,,True
01037,90,72.0,,71.3,,50.0,49.0,52.0,,,,,14.0,,,54.0,,,32.0,95.3,,27.9,,,70.0,45.7,,,,66.0,49.0,18.8,,,,,,,61.8,,,,58.9,-18.0,,-18.7,,-40.0,-41.0,-38.0,,,,,-76.0,,,-36.0,,,-58.0,5.3,,-62.1,,,-20.0,-44.3,,,,-24.0,-41.0,-71.2,,,,,,,-28.2,,,,-31.1,,False,,False,False,False,,,,,False,,,False,,,False,True,,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False
01039,90,200.0,,214.1,,128.0,124.0,193.0,,,,,72.7,,,115.9,,,114.0,263.0,,108.9,65.0,,129.0,130.1,,,,169.0,145.0,117.2,,,,,,190.2,137.3,,,,120.9,110.0,,124.1,,38.0,34.0,103.0,,,,,-17.3,,,25.9,,,24.0,173.0,,18.9,-25.0,,39.0,40.1,,,,79.0,55.0,27.2,,,,,,100.2,47.3,,,,30.9,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01041,39,58.0,,66.3,,44.0,40.0,47.0,,,,,27.1,,,49.0,,,41.0,57.5,,38.7,,,21.0,35.2,,,,50.0,46.0,19.1,,,,,,,49.7,,,,67.0,19.0,,27.3,,5.0,1.0,8.0,,,,,-11.9,,,10.0,,,2.0,18.5,,-0.3,,,-18.0,-3.8,,,,11.0,7.0,-19.9,,,,,,,10.7,,,,28.0,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,,,True,True,,,,True,True,False,,,,,,,True,,,,False
01043,65,219.0,,229.8,,167.0,153.0,179.0,,,,,132.1,,,145.5,,,308.0,253.2,,182.3,69.0,,125.0,155.3,,,,177.0,176.0,111.4,,,,,,245.8,167.2,,,,245.5,154.0,,164.8,,102.0,88.0,114.0,,,,,67.1,,,80.5,,,243.0,188.2,,117.3,4.0,,60.0,90.3,,,,112.0,111.0,46.4,,,,,,180.8,102.2,,,,180.5,,False,,True,True,True,,,,,True,,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,False,True,,,,False
01045,114,134.0,,138.2,,108.0,95.0,110.0,,,,,85.2,,,100.9,,,161.0,132.6,,97.3,73.0,,71.0,105.4,,,,127.0,109.0,72.0,,,,,,109.3,106.6,,,,160.8,20.0,,24.2,,-6.0,-19.0,-4.0,,,,,-28.8,,,-13.1,,,47.0,18.6,,-16.7,-41.0,,-43.0,-8.6,,,,13.0,-5.0,-42.0,,,,,,-4.7,-7.4,,,,46.8,,False,,True,True,True,,,,,False,,,True,,,False,True,,True,False,,False,True,,,,True,True,False,,,,,,True,True,,,,False
01047,14,73.0,,73.7,,55.0,53.0,72.0,,,,,52.1,,,37.2,,,110.0,53.5,,67.9,33.0,,24.0,40.4,,,,61.0,57.0,43.0,,,,,,65.4,70.6,,,,87.5,59.0,,59.7,,41.0,39.0,58.0,,,,,38.1,,,23.2,,,96.0,39.5,,53.9,19.0,,10.0,26.4,,,,47.0,43.0,29.0,,,,,,51.4,56.6,,,,73.5,,False,,True,True,True,,,,,True,,,True,,,False,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01049,83,171.0,,168.8,,147.0,127.0,192.0,,,,,130.2,,,140.3,,,248.0,197.5,,158.1,67.0,,95.0,128.7,,,,145.0,138.0,103.7,,,,,,128.7,144.0,,,,192.2,88.0,,85.8,,64.0,44.0,109.0,,,,,47.2,,,57.3,,,165.0,114.5,,75.1,-16.0,,12.0,45.7,,,,62.0,55.0,20.7,,,,,,45.7,61.0,,,,109.2,,True,,True,True,False,,,,,True,,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01051,219,335.0,,336.8,,240.0,232.0,292.0,,,,,184.1,,,321.4,,,230.0,315.2,,247.4,123.0,,230.0,249.6,,,,288.0,284.0,106.3,,,,,,309.7,269.7,,,,283.2,116.0,,117.8,,21.0,13.0,73.0,,,,,-34.9,,,102.4,,,11.0,96.2,,28.4,-96.0,,11.0,30.6,,,,69.0,65.0,-112.7,,,,,,90.7,50.7,,,,64.2,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01053,76,135.0,,134.2,,100.0,94.0,91.0,,,,,74.5,,,85.9,,,117.0,156.1,,92.7,65.5,,67.0,83.6,,,,130.0,108.0,131.0,,,,,,101.5,106.9,,,,128.9,59.0,,58.2,,24.0,18.0,15.0,,,,,-1.5,,,9.9,,,41.0,80.1,,16.7,-10.5,,-9.0,7.6,,,,54.0,32.0,55.0,,,,,,25.5,30.9,,,,52.9,,True,,True,True,True,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,True
01055,156,356.0,,385.6,,271.0,264.0,345.0,,,,,215.2,,,166.1,,,338.0,405.9,,262.5,139.5,,178.0,246.4,,,,264.0,287.0,195.2,,,,,,345.7,354.2,,,,372.0,200.0,,229.6,,115.0,108.0,189.0,,,,,59.2,,,10.1,,,182.0,249.9,,106.5,-16.5,,22.0,90.4,,,,108.0,131.0,39.2,,,,,,189.7,198.2,,,,216.0,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01057,23,68.0,,70.1,,54.0,46.0,55.0,,,,,33.1,,,52.6,,,56.0,56.9,,48.9,,,19.0,45.0,,,,51.0,53.0,44.6,,,,,,,50.5,,,,82.7,45.0,,47.1,,31.0,23.0,32.0,,,,,10.1,,,29.6,,,33.0,33.9,,25.9,,,-4.0,22.0,,,,28.0,30.0,21.6,,,,,,,27.5,,,,59.7,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01059,42,71.0,,72.0,,62.0,54.0,57.0,,,,,60.0,,,63.7,,,118.0,73.3,,60.6,33.0,,39.0,57.6,,,,57.0,66.0,34.6,,,,,,61.6,62.5,,,,78.2,29.0,,30.0,,20.0,12.0,15.0,,,,,18.0,,,21.7,,,76.0,31.3,,18.6,-9.0,,-3.0,15.6,,,,15.0,24.0,-7.4,,,,,,19.6,20.5,,,,36.2,,False,,True,True,True,,,,,True,,,True,,,False,False,,True,True,,True,True,,,,True,True,True,,,,,,True,True,,,,False
01061,27,85.0,,81.1,,83.0,66.0,92.0,,,,,48.0,,,17.6,,,89.0,163.0,,66.4,,,51.0,55.7,,,,86.0,87.0,82.3,,,,,,69.7,66.9,,,,88.2,58.0,,54.1,,56.0,39.0,65.0,,,,,21.0,,,-9.4,,,62.0,136.0,,39.4,,,24.0,28.7,,,,59.0,60.0,55.3,,,,,,42.7,39.9,,,,61.2,,True,,True,True,False,,,,,True,,,True,,,False,False,,True,,,True,True,,,,False,False,True,,,,,,True,True,,,,False
01063,25,29.0,,29.5,,19.0,18.0,17.0,,,,,14.1,,,16.7,,,24.0,18.1,,17.7,,,19.0,15.8,,,,24.0,19.0,14.8,,,,,,,21.2,,,,26.3,4.0,,4.5,,-6.0,-7.0,-8.0,,,,,-10.9,,,-8.3,,,-1.0,-6.9,,-7.3,,,-6.0,-9.2,,,,-1.0,-6.0,-10.2,,,,,,,-3.8,,,,1.3,,False,,False,False,False,,,,,False,,,False,,,True,False,,False,,,False,False,,,,True,False,False,,,,,,,True,,,,True
01065,24,72.0,,75.8,,52.0,45.0,70.0,,,,,39.2,,,19.2,,,51.0,95.4,,52.2,,,20.0,36.3,,,,63.0,53.0,39.1,,,,,,,55.0,,,,73.3,48.0,,51.8,,28.0,21.0,46.0,,,,,15.2,,,-4.8,,,27.0,71.4,,28.2,,,-4.0,12.3,,,,39.0,29.0,15.1,,,,,,,31.0,,,,49.3,,False,,True,True,True,,,,,True,,,True,,,True,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01067,34,86.0,,88.2,,56.0,59.0,33.0,,,,,35.4,,,33.8,,,56.0,40.5,,52.5,,,63.0,55.4,,,,75.0,71.0,42.8,,,,,,,65.3,,,,77.7,52.0,,54.2,,22.0,25.0,-1.0,,,,,1.4,,,-0.2,,,22.0,6.5,,18.5,,,29.0,21.4,,,,41.0,37.0,8.8,,,,,,,31.3,,,,43.7,,False,,True,True,True,,,,,True,,,True,,,True,True,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,True
01069,173,331.0,,338.7,,314.0,252.0,340.0,,,,,201.6,,,234.0,,,318.0,1053.6,,270.9,130.5,,113.0,228.5,,,,303.0,342.0,343.5,,,,,,297.0,257.1,,,,310.3,158.0,,165.7,,141.0,79.0,167.0,,,,,28.6,,,61.0,,,145.0,880.6,,97.9,-42.5,,-60.0,55.5,,,,130.0,169.0,170.5,,,,,,124.0,84.1,,,,137.3,,False,,True,True,False,,,,,True,,,True,,,True,False,,True,True,,True,True,,,,True,False,False,,,,,,True,True,,,,True
01071,57,152.0,,138.0,,132.0,123.0,162.0,,,,,100.7,,,54.3,,,167.0,275.4,,124.4,60.0,,78.0,111.6,,,,152.0,130.0,186.0,,,,,,167.9,116.8,,,,234.5,95.0,,81.0,,75.0,66.0,105.0,,,,,43.7,,,-2.7,,,110.0,218.4,,67.4,3.0,,21.0,54.6,,,,95.0,73.0,129.0,,,,,,110.9,59.8,,,,177.5,,True,,True,True,False,,,,,True,,,True,,,False,False,,True,True,,True,True,,,,False,True,False,,,,,,False,True,,,,False
01073,1042,1999.0,,1976.8,1803.4,1405.0,1302.0,1672.0,,,,,1184.3,,,1335.0,,1383.2,1831.0,1560.5,,1658.6,1014.0,,979.0,1317.7,,,,1608.0,1476.0,1237.5,,,,,,1869.4,1580.7,1163.0,,,1471.6,957.0,,934.8,761.4,363.0,260.0,630.0,,,,,142.3,,,293.0,,341.2,789.0,518.5,,616.6,-28.0,,-63.0,275.7,,,,566.0,434.0,195.5,,,,,,827.4,538.7,121.0,,,429.6,,True,True,True,True,True,,,,,True,,,True,,True,True,True,,True,True,,True,True,,,,True,True,True,,,,,,True,True,True,,,True
01075,10,32.0,,32.0,,25.0,23.0,19.0,,,,,19.0,,,19.8,,,46.0,35.6,,21.7,,,12.0,18.4,,,,28.0,28.0,26.0,,,,,,,28.2,,,,42.7,22.0,,22.0,,15.0,13.0,9.0,,,,,9.0,,,9.8,,,36.0,25.6,,11.7,,,2.0,8.4,,,,18.0,18.0,16.0,,,,,,,18.2,,,,32.7,,True,,True,True,True,,,,,True,,,True,,,False,False,,True,,,True,True,,,,True,True,True,,,,,,,True,,,,False
01077,110,216.0,,217.7,,196.0,152.0,211.0,,,,,143.5,,,136.0,,,299.0,286.7,,162.7,96.0,,129.0,181.3,,,,184.0,224.0,90.7,,,,,,184.5,152.7,,,,214.4,106.0,,107.7,,86.0,42.0,101.0,,,,,33.5,,,26.0,,,189.0,176.7,,52.7,-14.0,,19.0,71.3,,,,74.0,114.0,-19.3,,,,,,74.5,42.7,,,,104.4,,False,,True,True,True,,,,,True,,,True,,,False,False,,True,True,,True,True,,,,True,False,True,,,,,,True,True,,,,True
