,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU
Georgia,25406,31544.0,30749.9,31782.2,30199.0,25031.0,27900.0,,33005.0,32124.0,35190.7,,23608.2,27256.2,,26791.1,31994.0,42108.4,24287.0,27981.1,33592.5,27645.7,22570.5,26535.1,56508.1,30533.8,28272.7,35192.0,20188.0,,30199.0,27062.0,43974.5,,29324.1,28596.7,37890.5,29709.0,,6138.0,5343.9,6376.2,4793.0,-375.0,2494.0,,7599.0,6718.0,9784.7,,-1797.8,1850.2,,1385.1,6588.0,16702.4,-1119.0,2575.1,8186.5,2239.7,-2835.5,1129.1,31102.1,5127.8,2866.7,9786.0,-5218.0,,4793.0,1656.0,18568.5,,3918.1,3190.7,12484.5,4303.0,,True,False,True,True,True,,False,False,False,,True,True,,True,False,False,True,True,False,True,True,True,False,True,True,False,True,,True,True,False,,True,True,False,True,
Hawaii,404,617.0,581.9,609.1,595.0,675.0,593.0,,587.0,342.0,658.3,,579.2,742.5,,536.5,,479.9,667.0,1102.1,551.0,552.2,541.0,542.9,611.1,903.2,656.6,668.0,709.0,,434.2,515.0,1218.9,,613.3,540.4,660.4,604.0,,213.0,177.9,205.1,191.0,271.0,189.0,,183.0,-62.0,254.3,,175.2,338.5,,132.5,,75.9,263.0,698.1,147.0,148.2,137.0,138.9,207.1,499.2,252.6,264.0,305.0,,30.2,111.0,814.9,,209.3,136.4,256.4,200.0,,True,True,True,False,True,,True,True,False,,True,False,,True,,True,False,False,True,True,True,True,True,False,False,False,False,,True,True,False,,True,True,False,True,
Idaho,2274,2526.0,1742.0,2495.3,2229.0,2293.0,2271.0,,2585.3,1814.0,4711.3,,1997.2,2098.1,,2153.7,2550.0,1844.9,2331.0,2883.0,2553.0,2111.5,1267.0,1973.4,2226.6,3655.8,2273.4,2544.0,2113.0,,2168.6,2392.0,2499.3,,2399.0,2599.2,2783.3,2650.0,,252.0,-532.0,221.3,-45.0,19.0,-3.0,,311.3,-460.0,2437.3,,-276.8,-175.9,,-120.3,276.0,-429.1,57.0,609.0,279.0,-162.5,-1007.0,-300.6,-47.4,1381.8,-0.6,270.0,-161.0,,-105.4,118.0,225.3,,125.0,325.2,509.3,376.0,,False,True,True,True,True,,False,False,False,,False,True,,True,False,False,True,False,False,True,False,False,True,False,True,False,True,,True,True,True,,True,False,False,False,
Illinois,16242,20408.0,15054.8,20378.3,18286.0,16720.0,19305.0,,20003.7,10784.0,18202.6,,17108.6,18070.5,,16656.4,18286.0,13390.7,19033.0,23374.8,16915.5,19750.9,13766.5,17441.7,14584.3,19561.5,17996.2,19557.0,14910.0,,19264.3,16766.0,21243.0,,18846.8,21082.5,19005.9,18846.0,,4166.0,-1187.2,4136.3,2044.0,478.0,3063.0,,3761.7,-5458.0,1960.6,,866.6,1828.5,,414.4,2044.0,-2851.3,2791.0,7132.8,673.5,3508.9,-2475.5,1199.7,-1657.7,3319.5,1754.2,3315.0,-1332.0,,3022.3,524.0,5001.0,,2604.8,4840.5,2763.9,2604.0,,True,True,True,True,True,,True,False,True,,True,True,,True,True,True,True,False,True,True,True,True,True,True,True,True,True,,True,True,False,,True,False,True,True,
Indiana,9670,13028.0,12238.2,12827.7,11391.0,9577.0,10614.0,,12582.2,11863.0,12615.9,,10191.5,15376.6,,10651.2,12891.0,6843.8,11541.0,12669.9,11221.5,10114.9,8709.0,12582.3,9698.7,11391.4,11151.0,11676.0,7886.0,,11888.4,10892.0,17349.1,,17348.4,11911.9,10417.6,12018.0,,3358.0,2568.2,3157.7,1721.0,-93.0,944.0,,2912.2,2193.0,2945.9,,521.5,5706.6,,981.2,3221.0,-2826.2,1871.0,2999.9,1551.5,444.9,-961.0,2912.3,28.7,1721.4,1481.0,2006.0,-1784.0,,2218.4,1222.0,7679.1,,7678.4,2241.9,747.6,2348.0,,True,True,True,True,True,,True,True,True,,True,False,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,True,
Iowa,4733,5196.0,4720.5,5007.1,4699.0,4775.0,4981.0,,5448.8,7449.0,4054.6,,4167.1,5845.4,,4246.9,5856.0,4700.3,5306.0,5627.6,4028.5,4692.1,3323.0,4279.0,4162.3,4621.5,4378.0,5074.0,4491.0,,4277.7,4575.0,2508.5,,4790.4,5592.4,,5067.0,,463.0,-12.5,274.1,-34.0,42.0,248.0,,715.8,2716.0,-678.4,,-565.9,1112.4,,-486.1,1123.0,-32.7,573.0,894.6,-704.5,-40.9,-1410.0,-454.0,-570.7,-111.5,-355.0,341.0,-242.0,,-455.3,-158.0,-2224.5,,57.4,859.4,,334.0,,True,True,True,True,True,,False,False,False,,False,False,,False,False,True,False,False,False,True,False,True,False,True,True,True,True,,True,True,False,,True,False,,True,
Kansas,4549,6970.0,5027.5,7074.5,5960.0,5300.0,5988.0,,6514.2,2786.0,4209.4,,4985.4,4828.8,,6257.6,6616.0,3837.3,6114.0,5981.3,4037.5,5444.1,3708.0,4930.1,4470.3,8483.5,6499.0,6491.0,5156.0,,5820.6,6211.0,2844.2,,6981.7,6081.2,8884.9,5711.0,,2421.0,478.5,2525.5,1411.0,751.0,1439.0,,1965.2,-1763.0,-339.6,,436.4,279.8,,1708.6,2067.0,-711.7,1565.0,1432.3,-511.5,895.1,-841.0,381.1,-78.7,3934.5,1950.0,1942.0,607.0,,1271.6,1662.0,-1704.8,,2432.7,1532.2,4335.9,1162.0,,True,False,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,,True,True,True,,False,True,False,True,
Kentucky,10837,15138.0,11681.0,15166.7,13933.0,12094.0,13703.0,,14795.0,8964.0,410054.1,,13602.0,12763.1,,13597.8,14254.0,14867.0,14769.0,11388.1,13190.5,13067.9,9919.5,10818.8,9043.1,25811.9,12215.6,15978.0,11149.0,,11646.6,13988.0,6351.8,,13933.0,12471.1,20113.1,14624.0,,4301.0,844.0,4329.7,3096.0,1257.0,2866.0,,3958.0,-1873.0,399217.1,,2765.0,1926.1,,2760.8,3417.0,4030.0,3932.0,551.1,2353.5,2230.9,-917.5,-18.2,-1793.9,14974.9,1378.6,5141.0,312.0,,809.6,3151.0,-4485.2,,3096.0,1634.1,9276.1,3787.0,,True,False,True,True,True,,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,True,False,,True,True,False,True,
Louisiana,8724,12585.0,10688.1,12553.6,11711.0,9998.0,12654.0,,12723.0,13745.0,826077.4,,7082.4,9227.4,,10384.9,13274.0,12075.5,12133.0,10685.4,11402.5,10271.8,8718.5,9667.1,13467.8,10427.6,10646.8,12540.0,9383.0,,10246.3,6489.0,13981.4,,12969.3,11591.1,13236.1,9531.0,,3861.0,1964.1,3829.6,2987.0,1274.0,3930.0,,3999.0,5021.0,817353.4,,-1641.6,503.4,,1660.9,4550.0,3351.5,3409.0,1961.4,2678.5,1547.8,-5.5,943.1,4743.8,1703.6,1922.8,3816.0,659.0,,1522.3,-2235.0,5257.4,,4245.3,2867.1,4512.1,807.0,,True,True,True,True,False,,False,False,False,,True,True,,True,False,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,False,,False,True,False,True,
Maine,1360,1897.0,1776.0,1826.8,1767.0,1607.0,1693.0,,1991.2,1536.0,2110.5,,1017.4,1811.9,,1479.4,2039.0,1972.0,1586.0,2038.0,2403.5,1617.0,1290.5,1527.7,1759.3,1757.8,1867.4,2362.0,1352.0,,1799.0,1867.0,4268.8,,1832.3,1511.3,1266.0,1676.0,,537.0,416.0,466.8,407.0,247.0,333.0,,631.2,176.0,750.5,,-342.6,451.9,,119.4,679.0,612.0,226.0,678.0,1043.5,257.0,-69.5,167.7,399.3,397.8,507.4,1002.0,-8.0,,439.0,507.0,2908.8,,472.3,151.3,-94.0,316.0,,True,True,True,True,True,,False,True,False,,True,True,,True,False,False,True,False,False,True,True,True,True,True,True,False,True,,True,True,False,,True,True,True,True,
Maryland,8052,9358.0,8116.7,9496.2,9152.0,7225.0,8600.0,,9974.7,12079.0,10542.5,,6340.5,8778.6,,8293.4,10921.0,8592.3,8263.0,10181.1,11277.0,7769.0,7344.0,8641.1,10081.5,11348.1,8825.6,10177.0,5378.0,,10199.1,6853.0,12638.7,,8581.7,8592.3,10360.9,9207.0,,1306.0,64.7,1444.2,1100.0,-827.0,548.0,,1922.7,4027.0,2490.5,,-1711.5,726.6,,241.4,2869.0,540.3,211.0,2129.1,3225.0,-283.0,-708.0,589.1,2029.5,3296.1,773.6,2125.0,-2674.0,,2147.1,-1199.0,4586.7,,529.7,540.3,2308.9,1155.0,,True,False,True,True,True,,False,False,False,,False,True,,True,False,True,True,False,False,True,True,True,False,False,True,False,False,,False,True,False,,True,True,False,True,
Massachusetts,15068,19467.0,16238.3,19168.2,17865.0,13199.0,18254.0,,19276.4,18985.0,27435.6,,15188.5,18549.4,,16760.2,17865.0,15366.4,17877.0,11771.4,16305.5,16292.5,14956.0,17582.2,17513.6,18080.7,17685.4,19744.0,13027.0,,19878.1,16443.0,23726.2,,24810.3,12890.6,24973.5,19305.0,,4399.0,1170.3,4100.2,2797.0,-1869.0,3186.0,,4208.4,3917.0,12367.6,,120.5,3481.4,,1692.2,2797.0,298.4,2809.0,-3296.6,1237.5,1224.5,-112.0,2514.2,2445.6,3012.7,2617.4,4676.0,-2041.0,,4810.1,1375.0,8658.2,,9742.3,-2177.4,9905.5,4237.0,,True,True,True,True,True,,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,False,True,False,,False,True,False,True,
Michigan,8271,10547.0,8250.3,10383.9,9485.0,8650.0,9877.0,,10491.6,3859.0,52791.3,,8032.2,9639.4,,9420.2,10024.0,8810.8,9237.0,12496.0,10935.0,9295.2,7342.0,9240.2,4849.8,9549.8,9136.0,10531.0,6602.0,,8170.0,,5303.9,,12444.9,11815.6,13974.5,9676.0,,2276.0,-20.7,2112.9,1214.0,379.0,1606.0,,2220.6,-4412.0,44520.3,,-238.8,1368.4,,1149.2,1753.0,539.8,966.0,4225.0,2664.0,1024.2,-929.0,969.2,-3421.2,1278.8,865.0,2260.0,-1669.0,,-101.0,,-2967.1,,4173.9,3544.6,5703.5,1405.0,,True,True,True,True,True,,True,False,False,,True,True,,True,True,True,True,False,False,True,True,True,False,True,True,True,True,,True,,False,,False,False,False,True,
Minnesota,5574,6398.0,3573.1,6362.1,5724.0,5762.0,6266.0,,6018.8,2449.0,4618.0,,5553.5,5817.2,,5714.8,6685.0,3346.9,6201.0,7285.4,5353.0,4446.1,4524.5,5760.4,4711.0,5104.8,5962.7,5891.0,5759.0,,5549.4,6161.0,2367.5,,7683.5,5494.9,5543.6,6426.0,,824.0,-2000.9,788.1,150.0,188.0,692.0,,444.8,-3125.0,-956.0,,-20.5,243.2,,140.8,1111.0,-2227.1,627.0,1711.4,-221.0,-1127.9,-1049.5,186.4,-863.0,-469.2,388.7,317.0,185.0,,-24.6,587.0,-3206.5,,2109.5,-79.1,-30.4,852.0,,False,True,True,True,True,,True,False,False,,True,True,,True,False,False,True,False,True,False,False,True,False,True,True,True,True,,True,True,False,,False,True,True,False,
Mississippi,5565,6588.0,7050.0,6648.6,6588.0,6024.0,6732.0,,7737.1,7983.0,8434.4,,3641.7,6287.5,,6173.7,8316.0,8112.9,6136.0,6474.5,7332.5,6007.6,4804.0,6075.8,6973.7,7836.5,6468.3,7779.0,5342.0,,6571.5,5274.0,6189.9,,6318.3,7647.8,6849.7,6536.0,,1023.0,1485.0,1083.6,1023.0,459.0,1167.0,,2172.1,2418.0,2869.4,,-1923.3,722.5,,608.7,2751.0,2547.9,571.0,909.5,1767.5,442.6,-761.0,510.8,1408.7,2271.5,903.3,2214.0,-223.0,,1006.5,-291.0,624.9,,753.3,2082.8,1284.7,971.0,,False,False,False,True,False,,False,False,False,,False,True,,True,False,False,True,True,False,True,True,True,False,False,True,False,True,,True,True,True,,True,False,False,True,
Missouri,7580,8241.0,7139.4,8747.5,7428.0,6841.0,7039.0,,8299.4,7957.0,8035.4,,6139.2,7515.4,,6334.7,7073.0,6493.7,8151.0,8404.0,8986.5,8582.9,5373.0,6953.4,4702.2,12200.0,7194.6,8282.0,5837.0,,7705.6,7294.0,7556.2,,6949.9,8273.3,9271.0,7694.0,,661.0,-440.6,1167.5,-152.0,-739.0,-541.0,,719.4,377.0,455.4,,-1440.8,-64.6,,-1245.3,-507.0,-1086.3,571.0,824.0,1406.5,1002.9,-2207.0,-626.6,-2877.8,4620.0,-385.4,702.0,-1743.0,,125.6,-286.0,-23.8,,-630.1,693.3,1691.0,114.0,,True,False,True,False,True,,False,True,True,,False,True,,False,True,False,True,False,False,False,False,True,False,False,True,False,False,,True,True,True,,True,False,False,True,
