,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,380508,354080.0,,394687.1,,357221.0,665513.8,437042.2,,214056.7,184037.0,-26428.0,,14179.1,,-23287.0,285005.8,56534.2,,-166451.3,-196471.0,,True,,True,False,False,,False,False
Hawaii,6640,6912.0,,7184.4,,,8690.4,9781.3,,3885.0,5154.0,272.0,,544.4,,,2050.4,3141.3,,-2755.0,-1486.0,,False,,,False,False,,False,False
Idaho,38414,67496.0,,67517.6,,63555.0,115559.9,35578.2,,37501.4,21751.0,29082.0,,29103.6,,25141.0,77145.9,-2835.8,,-912.6,-16663.0,,False,,True,False,True,,True,True
Illinois,266156,421432.0,,325328.6,,383787.0,704721.0,168167.4,,306981.1,167436.0,155276.0,,59172.6,,117631.0,438565.0,-97988.6,,40825.1,-98720.0,,True,,True,False,True,,True,True
Indiana,189786,306680.0,,307789.7,,327519.0,552155.8,127525.5,,359509.9,135352.0,116894.0,,118003.7,,137733.0,362369.8,-62260.5,,169723.9,-54434.0,,False,,False,False,True,,False,True
Iowa,62080,95600.0,,70761.4,,96612.0,152003.5,20108.8,,105763.7,38261.0,33520.0,,8681.4,,34532.0,89923.5,-41971.2,,43683.7,-23819.0,,True,,False,False,False,,False,True
Kansas,85218,121512.0,,108314.7,,105789.0,188330.0,70224.7,,125907.9,51579.0,36294.0,,23096.7,,20571.0,103112.0,-14993.3,,40689.9,-33639.0,,True,,True,False,True,,False,True
Kentucky,146527,159232.0,,178171.6,,162514.0,274269.5,142460.8,,122906.6,72839.0,12705.0,,31644.6,,15987.0,127742.5,-4066.2,,-23620.4,-73688.0,,False,,False,False,True,,False,False
Louisiana,136151,145944.0,,147267.0,,146125.0,208050.0,89658.9,,129133.1,58881.0,9793.0,,11116.0,,9974.0,71899.0,-46492.1,,-7017.9,-77270.0,,False,,False,False,False,,True,False
Maine,23687,24944.0,,31003.1,,26331.0,66389.8,93594.8,,28919.2,17171.0,1257.0,,7316.1,,2644.0,42702.8,69907.8,,5232.2,-6516.0,,False,,False,False,False,,False,False
Maryland,121382,133960.0,,148386.0,,137218.0,221204.0,106397.1,,159328.6,61506.0,12578.0,,27004.0,,15836.0,99822.0,-14984.9,,37946.6,-59876.0,,False,,False,False,False,,False,False
Massachusetts,236625,268360.0,,297918.7,,294683.0,589617.2,239264.3,,165739.8,128385.0,31735.0,,61293.7,,58058.0,352992.2,2639.3,,-70885.2,-108240.0,,False,,False,False,True,,False,False
Michigan,132900,247176.0,,175150.4,,241605.0,318081.5,59828.9,,414062.8,86258.0,114276.0,,42250.4,,108705.0,185181.5,-73071.1,,281162.8,-46642.0,,True,,True,False,True,,False,True
Minnesota,78156,153896.0,,142275.3,,187252.0,212877.9,28699.7,,114143.4,51469.0,75740.0,,64119.3,,109096.0,134721.9,-49456.3,,35987.4,-26687.0,,True,,False,False,True,,True,True
Mississippi,94232,113312.0,,127750.8,,126284.0,215709.4,122486.6,,122798.6,59130.0,19080.0,,33518.8,,32052.0,121477.4,28254.6,,28566.6,-35102.0,,False,,False,False,False,,False,False
Missouri,149627,177224.0,,161564.4,,151463.0,293327.9,103613.9,,147642.1,86271.0,27597.0,,11937.4,,1836.0,143700.9,-46013.1,,-1984.9,-63356.0,,True,,True,False,False,,True,False
Montana,20678,31800.0,,27421.7,,39799.0,39305.8,11117.8,,14862.1,11997.0,11122.0,,6743.7,,19121.0,18627.8,-9560.2,,-5815.9,-8681.0,,True,,False,False,True,,True,True
Nebraska,41612,61816.0,,52966.5,,57569.0,71574.7,18740.0,,14109.4,19948.0,20204.0,,11354.5,,15957.0,29962.7,-22872.0,,-27502.6,-21664.0,,True,,True,False,False,,False,False
Nevada,85978,143272.0,,136856.2,,134373.0,224669.9,85410.8,,150641.5,63229.0,57294.0,,50878.2,,48395.0,138691.9,-567.2,,64663.5,-22749.0,,True,,True,False,True,,False,True
New Hampshire,34394,42920.0,,50569.3,,53630.0,104256.0,67666.6,,57958.6,19542.0,8526.0,,16175.3,,19236.0,69862.0,33272.6,,23564.6,-14852.0,,False,,False,False,False,,False,False
New Jersey,272735,247368.0,,185784.5,,225681.0,381715.4,159157.4,,235672.2,121944.0,-25367.0,,-86950.5,,-47054.0,108980.4,-113577.6,,-37062.8,-150791.0,,False,,False,False,False,,False,False
New Mexico,51359,84576.0,,70279.2,,84084.0,91559.4,42496.1,,38239.9,37218.0,33217.0,,18920.2,,32725.0,40200.4,-8862.9,,-13119.1,-14141.0,,True,,True,False,True,,True,True
New York,683762,586448.0,,643683.8,,530337.0,1187625.0,1303410.5,,1215453.8,305860.0,-97314.0,,-40078.2,,-153425.0,503863.0,619648.5,,531691.8,-377902.0,,True,,False,False,False,,False,False
North Carolina,346456,339936.0,,360663.1,,370949.0,689834.8,426369.1,,444729.8,200632.0,-6520.0,,14207.1,,24493.0,343378.8,79913.1,,98273.8,-145824.0,,False,,False,False,False,,False,False
North Dakota,8776,17552.0,,17672.8,,32837.0,19864.6,6701.8,,4868.9,6066.0,8776.0,,8896.8,,24061.0,11088.6,-2074.2,,-3907.1,-2710.0,,False,,False,False,True,,True,True
Ohio,323112,487744.0,,492635.8,,534182.0,801355.3,290197.2,,416906.5,217887.0,164632.0,,169523.8,,211070.0,478243.3,-32914.8,,93794.5,-105225.0,,False,,False,False,True,,True,True
Oklahoma,156408,180256.0,,206537.3,,200408.0,260333.2,113949.8,,134953.1,96150.0,23848.0,,50129.3,,44000.0,103925.2,-42458.2,,-21454.9,-60258.0,,False,,False,False,False,,True,False
Oregon,48220,71800.0,,70157.9,,65202.0,118937.6,34970.1,,49760.2,32973.0,23580.0,,21937.9,,16982.0,70717.6,-13249.9,,1540.2,-15247.0,,True,,True,False,True,,True,True
Pennsylvania,341765,540520.0,,544127.4,,559990.0,1088900.0,664970.3,,280430.7,238506.0,198755.0,,202362.4,,218225.0,747135.0,323205.3,,-61334.3,-103259.0,,False,,False,False,False,,True,True
Rhode Island,43009,55952.0,,53150.1,,52737.0,101609.1,26873.7,,44512.6,13985.0,12943.0,,10141.1,,9728.0,58600.1,-16135.3,,1503.6,-29024.0,,True,,True,False,False,,True,False
South Carolina,212603,173912.0,,191869.7,,175519.0,366204.0,241228.7,,157899.9,78474.0,-38691.0,,-20733.3,,-37084.0,153601.0,28625.7,,-54703.1,-134129.0,,True,,True,False,True,,False,False
South Dakota,15869,31432.0,,27543.2,,36232.0,39741.9,10573.1,,38817.9,12314.0,15563.0,,11674.2,,20363.0,23872.9,-5295.9,,22948.9,-3555.0,,True,,False,False,True,,False,True
Tennessee,252420,485584.0,,514868.8,,540335.0,867284.3,1117937.6,,510476.5,350372.0,233164.0,,262448.8,,287915.0,614864.3,865517.6,,258056.5,97952.0,,False,,False,False,False,,False,True
Texas,978888,890832.0,,993628.0,,934275.0,1636600.1,912877.0,,786688.6,442050.0,-88056.0,,14740.0,,-44613.0,657712.1,-66011.0,,-192199.4,-536838.0,,True,,True,False,True,,False,False
Utah,111614,137192.0,,145817.0,,152858.0,226982.3,43710.5,,81076.1,65183.0,25578.0,,34203.0,,41244.0,115368.3,-67903.5,,-30537.9,-46431.0,,False,,False,False,False,,False,False
Vermont,7218,5736.0,,5941.0,,6730.0,8667.9,7026.8,,14960.6,2525.0,-1482.0,,-1277.0,,-488.0,1449.9,-191.2,,7742.6,-4693.0,,True,,True,True,True,,False,False
Virginia,244452,194856.0,,206424.5,,186942.0,421297.7,343111.6,,170015.2,102518.0,-49596.0,,-38027.5,,-57510.0,176845.7,98659.6,,-74436.8,-141934.0,,True,,False,False,False,,False,False
Washington,105447,111064.0,,48053.8,,130864.0,219942.0,46484.7,,94431.7,34907.0,5617.0,,-57393.2,,25417.0,114495.0,-58962.3,,-11015.3,-70540.0,,False,,False,False,False,,False,False
West Virginia,56067,72512.0,,77172.6,,69554.0,129936.1,72060.8,,82471.4,37326.0,16445.0,,21105.6,,13487.0,73869.1,15993.8,,26404.4,-18741.0,,False,,True,False,True,,False,False
Wisconsin,115972,197504.0,,175071.4,,183102.0,325855.1,73773.6,,149948.0,80837.0,81532.0,,59099.4,,67130.0,209883.1,-42198.4,,33976.0,-35135.0,,True,,True,False,True,,True,True
Wyoming,11598,20648.0,,15433.1,,22412.0,23068.4,5639.0,,14649.3,6456.0,9050.0,,3835.1,,10814.0,11470.4,-5959.0,,3051.3,-5142.0,,True,,False,False,True,,True,True
US,9876813,12098976.0,26806481.0,12225821.3,11882257.0,11871322.0,22734746.9,14536009.4,12162261.0,9256533.4,6183977.0,2222163.0,16929668.0,2349008.3,2005444.0,1994509.0,12857933.9,4659196.4,2285448.0,-620279.6,-3692836.0,False,False,True,True,False,False,False,True,False
