,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Kentucky,667,705.3,496.5,535.1,506.0,597.5,765.9,602.7,711.5,38.3,-170.5,-131.9,-161.0,-69.5,98.9,-64.3,44.5,False,False,False,False,False,False,False
Louisiana,3509,3476.7,3086.4,2944.0,3126.0,3594.8,3240.5,1911.4,3579.5,-32.3,-422.6,-565.0,-383.0,85.8,-268.5,-1597.6,70.5,False,False,False,False,False,False,False
Maine,117,164.4,115.3,157.5,194.0,120.7,101.8,162.2,115.2,47.4,-1.7,40.5,77.0,3.7,-15.2,45.2,-1.8,True,True,False,True,True,True,True
Maryland,3368,4280.6,3296.4,2874.5,3718.0,3683.9,4149.6,3379.2,4413.5,912.6,-71.6,-493.5,350.0,315.9,781.6,11.2,1045.5,True,True,True,True,True,True,False
Massachusetts,8419,10096.3,7629.3,8863.2,8657.0,8237.5,8643.4,7267.8,8506.9,1677.3,-789.7,444.2,238.0,-181.5,224.4,-1151.2,87.9,True,True,True,True,True,True,True
Michigan,6364,7294.4,5892.5,5964.3,6075.0,6957.0,6318.1,5261.5,6382.7,1170.4,-231.5,-159.7,-49.0,833.0,194.1,-862.5,258.7,True,True,True,True,True,True,True
Minnesota,1578,2229.4,1698.2,1666.8,3416.0,1838.8,1767.1,1376.9,2455.9,651.4,120.2,88.8,1838.0,260.8,189.1,-201.1,877.9,True,True,False,True,True,True,False
Mississippi,1346,1481.4,895.9,943.5,884.0,1336.6,1078.5,1218.9,1764.3,135.4,-450.1,-402.5,-462.0,-9.4,-267.5,-127.1,418.3,False,False,False,True,False,True,False
Missouri,1148,1393.1,825.4,979.8,1060.0,1145.6,1357.1,989.4,1608.7,291.1,-276.6,-122.2,-42.0,43.6,255.1,-112.6,506.7,True,True,True,True,True,True,False
Montana,37,23.9,18.2,16.0,17.0,29.8,20.4,15.2,20.0,-13.1,-18.8,-21.0,-20.0,-7.2,-16.6,-21.8,-17.0,False,False,False,True,False,False,False
Nebraska,301,327.7,320.0,424.8,364.0,273.7,314.2,190.3,437.9,26.7,19.0,123.8,63.0,-27.3,13.2,-110.7,136.9,True,False,False,False,True,False,False
Nevada,646,670.7,482.4,673.1,620.0,561.5,580.8,532.8,640.7,24.7,-163.6,27.1,-26.0,-84.5,-65.2,-113.2,-5.3,False,False,False,False,False,False,True
New Hampshire,396,491.9,266.2,346.3,279.0,449.0,422.8,357.5,597.1,95.9,-129.8,-49.7,-117.0,53.0,26.8,-38.5,201.1,False,True,False,True,True,True,False
New Jersey,15699,15538.0,12475.2,12569.7,13385.0,14350.5,13829.8,11615.4,13789.5,1659.0,-1403.8,-1309.3,-494.0,471.5,-49.2,-2263.6,-89.5,True,True,True,True,True,False,True
New Mexico,569,623.4,417.4,544.7,455.0,526.1,575.8,431.4,665.0,54.4,-151.6,-24.3,-114.0,-42.9,6.8,-137.6,96.0,False,True,False,True,True,False,False
New York,32497,34193.1,31686.8,31281.9,32915.0,32602.8,31228.3,28807.8,31950.4,2611.1,104.8,-300.1,1333.0,1020.8,-353.7,-2774.2,368.4,True,True,True,True,True,False,True
North Carolina,1648,1986.1,1416.2,1455.0,1302.0,1929.1,1700.4,2268.2,2004.7,338.1,-231.8,-193.0,-346.0,281.1,52.4,620.2,356.7,True,True,False,True,True,False,False
North Dakota,90,115.9,92.5,91.4,229.0,77.5,86.3,87.5,147.9,25.9,2.5,1.4,139.0,-12.5,-3.7,-2.5,57.9,True,True,False,True,True,True,False
Ohio,2844,3430.4,2597.2,3155.4,2835.0,3105.3,3113.0,2610.4,4032.1,541.4,-291.8,266.4,-54.0,216.3,224.0,-278.6,1143.1,True,True,True,True,True,True,False
Oklahoma,451,491.7,382.0,360.8,365.0,374.8,387.1,461.0,489.2,40.7,-69.0,-90.2,-86.0,-76.2,-63.9,10.0,38.2,False,False,False,False,False,True,True
Oregon,257,187.3,171.7,174.1,175.0,200.7,203.4,215.8,190.1,-69.7,-85.3,-82.9,-82.0,-56.3,-53.6,-41.2,-66.9,False,False,False,True,True,True,True
Pennsylvania,7015,8428.1,6131.8,6394.0,5936.0,7085.9,7592.6,6064.8,7591.8,1413.1,-883.2,-621.0,-1079.0,70.9,577.6,-950.2,576.8,True,True,True,True,True,True,True
Rhode Island,1012,1472.3,770.2,1138.6,962.0,979.6,952.7,634.6,1283.2,569.3,-132.8,235.6,59.0,76.6,49.7,-268.4,380.2,True,True,True,True,True,True,True
South Carolina,1135,898.6,608.0,698.2,613.0,962.8,787.7,845.9,1105.5,-236.4,-527.0,-436.8,-522.0,-172.2,-347.3,-289.1,-29.5,False,False,False,True,False,False,True
South Dakota,116,144.3,102.3,75.1,104.0,86.4,87.5,75.4,163.0,28.3,-13.7,-40.9,-12.0,-29.6,-28.5,-40.6,47.0,True,False,True,False,False,False,False
Tennessee,838,556.0,563.0,678.0,606.0,491.7,465.1,475.0,661.5,-282.0,-275.0,-160.0,-232.0,-346.3,-372.9,-363.0,-176.5,True,True,True,False,False,False,True
Texas,4830,2683.0,2457.2,2001.9,2528.0,2951.5,2720.5,2874.3,3512.3,-1956.0,-2181.8,-2637.1,-2111.0,-1687.5,-1918.5,-1764.7,-1126.7,False,False,False,True,True,True,True
Utah,243,222.7,238.5,208.9,178.0,237.3,219.3,165.2,292.9,-20.3,-4.5,-34.1,-65.0,-5.7,-23.7,-77.8,49.9,True,False,False,True,False,False,False
Vermont,56,61.9,56.9,56.5,55.0,60.8,66.4,54.3,60.7,5.9,0.9,0.5,-1.0,4.8,10.4,-1.7,4.7,True,True,True,True,False,True,True
Virginia,2025,2773.9,1885.2,2475.8,2100.0,2216.8,2437.2,2547.3,2682.1,748.9,-139.8,450.8,75.0,191.8,412.2,522.3,657.1,True,True,True,True,True,True,True
Washington,1448,1508.9,1276.6,1193.0,1306.0,1483.8,1275.6,1288.0,1388.8,65.9,-166.4,-250.0,-137.0,40.8,-167.4,-155.0,-54.2,False,False,False,True,False,False,True
West Virginia,100,95.6,101.6,105.6,78.0,123.6,127.3,118.2,104.6,-4.4,1.6,5.6,-22.0,23.6,27.3,18.2,4.6,True,False,False,False,False,False,False
Wisconsin,879,1154.3,843.8,783.6,964.0,831.6,846.6,1523.1,1075.9,333.3,22.8,-37.4,143.0,10.6,25.6,702.1,254.9,True,True,True,True,True,False,True
Wyoming,24,43.4,21.3,36.6,17.0,23.4,17.9,17.4,42.2,19.4,-2.7,12.6,-7.0,-0.6,-6.1,-6.6,18.2,True,True,True,True,True,True,True
US,140803,150063.3,120185.8,130910.0,130514.0,131449.1,126410.1,121150.4,146361.7,12709.3,-17168.2,-6444.0,-6840.0,-5904.9,-10943.9,-16203.6,9007.7,False,True,True,True,True,False,True
