,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Indiana,2820,2995.1,2906.0,3028.5,2930.2,2922.0,2853.5,3045.6,2792.0,,,2729.3,2623.0,2949.0,2824.6,2894.3,3579.0,2805.3,2935.7,2812.5,2900.0,2748.5,2871.0,3080.1,2974.0,3013.0,3224.0,175.1,86.0,208.5,110.2,102.0,33.5,225.6,-28.0,,,-90.7,-197.0,129.0,4.6,74.3,759.0,-14.7,115.7,-7.5,80.0,-71.5,51.0,260.1,154.0,193.0,404.0,True,False,True,True,True,False,True,,,True,False,True,True,True,False,True,True,True,True,True,True,False,True,False,False
Iowa,789,817.1,812.0,805.0,816.2,1031.0,891.3,829.8,777.0,754.2,,786.6,753.0,982.3,812.3,882.6,,792.7,771.4,925.0,771.0,812.5,799.0,824.1,796.0,822.2,,28.1,23.0,16.0,27.2,242.0,102.3,40.8,-12.0,-34.8,,-2.4,-36.0,193.3,23.3,93.6,,3.7,-17.6,136.0,-18.0,23.5,10.0,35.1,7.0,33.2,,True,True,True,False,False,False,True,False,,True,False,False,True,False,,True,True,False,True,True,True,False,True,False,
Kansas,308,303.3,316.0,300.3,313.3,404.0,292.5,353.5,268.0,344.0,,310.8,312.0,456.2,301.2,276.3,,292.2,348.3,301.0,294.0,282.9,307.0,214.8,320.0,304.1,,-4.7,8.0,-7.7,5.3,96.0,-15.5,45.5,-40.0,36.0,,2.8,4.0,148.2,-6.8,-31.7,,-15.8,40.3,-7.0,-14.0,-25.1,-1.0,-93.2,12.0,-3.9,,False,False,False,False,False,False,False,False,,True,True,False,False,False,,False,False,False,False,False,True,False,False,True,
Kentucky,667,630.1,612.0,624.1,653.6,680.0,615.4,867.5,672.0,729.2,,635.1,628.0,912.2,630.4,604.3,763.0,572.0,642.6,599.0,585.0,685.2,601.0,610.1,646.0,632.7,,-36.9,-55.0,-42.9,-13.4,13.0,-51.6,200.5,5.0,62.2,,-31.9,-39.0,245.2,-36.6,-62.7,96.0,-95.0,-24.4,-68.0,-82.0,18.2,-66.0,-56.9,-21.0,-34.3,,False,False,True,True,False,False,True,False,,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,
Louisiana,3509,3456.0,3341.0,3506.9,3439.1,3849.0,3411.1,3411.6,3275.0,3923.1,,3573.2,3396.0,3620.2,3344.8,3256.1,,3378.3,3623.9,3277.0,3312.0,3267.9,3410.0,3152.9,3238.0,3411.9,3641.0,-53.0,-168.0,-2.1,-69.9,340.0,-97.9,-97.4,-234.0,414.1,,64.2,-113.0,111.2,-164.2,-252.9,,-130.7,114.9,-232.0,-197.0,-241.1,-99.0,-356.1,-271.0,-97.1,132.0,False,True,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False
Maine,117,109.7,116.0,111.2,112.0,111.0,111.8,121.9,131.0,114.2,,110.7,108.0,142.8,113.4,111.1,,113.5,106.6,112.0,103.0,107.3,110.0,118.9,112.0,111.1,,-7.3,-1.0,-5.8,-5.0,-6.0,-5.2,4.9,14.0,-2.8,,-6.3,-9.0,25.8,-3.6,-5.9,,-3.5,-10.4,-5.0,-14.0,-9.7,-7.0,1.9,-5.0,-5.9,,True,True,True,True,True,True,False,True,,True,False,False,True,True,,True,False,True,False,False,True,True,True,True,
Maryland,3368,3555.9,3476.0,3555.1,3453.6,3432.0,3424.3,3481.9,3362.0,3639.0,,3360.7,3606.0,4102.9,3366.4,3497.3,,3379.6,3278.5,3478.5,3316.0,3393.2,3318.0,3458.7,3690.0,3479.3,3682.0,187.9,108.0,187.1,85.6,64.0,56.3,113.9,-6.0,271.0,,-7.3,238.0,734.9,-1.6,129.3,,11.6,-89.5,110.5,-52.0,25.2,-50.0,90.7,322.0,111.3,314.0,True,True,True,True,True,True,True,False,,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,False
Massachusetts,8419,8755.7,8478.0,8839.1,8388.7,8147.0,8206.9,8291.4,8113.0,,,8348.3,8578.0,8656.5,8320.4,8626.3,,8333.6,8226.5,8485.5,8306.0,8344.4,8276.0,8192.8,8537.5,8400.8,8798.0,337.7,60.0,421.1,-29.3,-271.0,-211.1,-126.6,-305.0,,,-69.7,160.0,238.5,-97.6,208.3,,-84.4,-191.5,67.5,-112.0,-73.6,-142.0,-225.2,119.5,-17.2,380.0,True,False,True,True,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,False
Michigan,6364,6375.4,6392.0,6434.6,6431.8,6397.0,6290.3,6460.0,6170.0,6683.4,,6271.9,6680.0,6958.8,6725.6,6280.6,7170.5,6177.9,6487.5,6318.0,6315.0,6466.8,6332.0,6168.4,6235.0,6300.8,,11.4,28.0,70.6,67.8,33.0,-73.7,96.0,-194.0,319.4,,-92.1,316.0,594.8,361.6,-83.4,806.5,-186.1,123.5,-46.0,-49.0,102.8,-32.0,-195.6,-129.0,-63.2,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Minnesota,1578,1732.1,1723.0,1764.3,1736.7,1696.0,1745.6,1700.4,1608.0,1710.8,,1665.0,1678.0,2178.3,1764.6,1890.9,2310.0,1535.6,1646.4,1764.0,1694.0,1705.4,1636.0,1461.5,1756.0,1782.2,,154.1,145.0,186.3,158.7,118.0,167.6,122.4,30.0,132.8,,87.0,100.0,600.3,186.6,312.9,732.0,-42.4,68.4,186.0,116.0,127.4,58.0,-116.5,178.0,204.2,,True,False,False,True,False,True,True,True,,True,True,False,False,False,False,True,True,False,True,True,True,True,False,False,
Mississippi,1346,1119.3,1086.0,1134.3,1121.0,1162.0,1308.2,1373.4,1227.0,1084.6,,1106.5,1032.0,1214.3,1027.9,1183.3,,1137.1,1027.4,1176.0,1110.0,1099.4,988.0,1095.3,1082.0,1209.7,,-226.7,-260.0,-211.7,-225.0,-184.0,-37.8,27.4,-119.0,-261.4,,-239.5,-314.0,-131.7,-318.1,-162.7,,-208.9,-318.6,-170.0,-236.0,-246.6,-358.0,-250.7,-264.0,-136.3,,False,True,True,True,True,True,True,False,,False,False,True,False,True,,True,False,True,False,False,False,False,False,True,
Missouri,1136,1273.6,1175.0,1285.0,1281.1,1452.0,1153.7,1820.4,1151.0,1389.3,,1365.6,1157.0,1378.7,1277.8,1049.1,,1123.1,1417.4,1020.0,1297.0,1300.7,1478.0,1220.8,1187.0,1131.9,,147.6,49.0,159.0,155.1,326.0,27.7,694.4,25.0,263.3,,239.6,31.0,252.7,151.8,-76.9,,-2.9,291.4,-106.0,171.0,174.7,352.0,94.8,61.0,5.9,,True,False,False,False,True,False,True,False,,False,True,False,False,True,,True,False,True,False,False,False,True,True,True,
Montana,37,23.9,23.0,28.0,27.6,20.0,22.4,45.5,21.0,28.6,,24.0,22.0,53.2,35.0,20.7,,28.1,39.5,20.0,28.0,22.1,41.0,20.3,24.0,23.7,,-13.1,-14.0,-9.0,-9.4,-17.0,-14.6,8.5,-16.0,-8.4,,-13.0,-15.0,16.2,-2.0,-16.3,,-8.9,2.5,-17.0,-9.0,-14.9,4.0,-16.7,-13.0,-13.3,,False,True,True,False,False,True,False,True,,True,False,False,True,False,,True,True,False,True,False,True,False,True,False,
Nebraska,301,355.9,331.0,360.0,326.2,327.0,298.8,340.3,263.0,,,339.3,284.0,468.3,294.2,349.5,,281.9,352.5,448.0,313.0,304.0,292.0,255.3,345.0,364.0,,54.9,30.0,59.0,25.2,26.0,-2.2,39.3,-38.0,,,38.3,-17.0,167.3,-6.8,48.5,,-19.1,51.5,147.0,12.0,3.0,-9.0,-45.7,44.0,63.0,,True,False,True,True,True,True,True,,,True,True,False,True,True,,True,True,False,True,True,True,True,True,False,
Nevada,646,579.6,566.0,582.2,634.5,1006.0,605.8,,660.0,662.0,,616.0,611.0,788.2,651.7,535.9,,621.3,712.5,528.0,583.0,574.2,681.0,624.4,575.0,583.6,,-66.4,-80.0,-63.8,-11.5,360.0,-40.2,,14.0,16.0,,-30.0,-35.0,142.2,5.7,-110.1,,-24.7,66.5,-118.0,-63.0,-71.8,35.0,-21.6,-71.0,-62.4,,False,True,True,False,True,,True,True,,True,True,False,True,False,,True,False,False,True,False,True,True,False,True,
New Hampshire,396,412.3,417.0,422.8,419.1,409.0,419.8,378.2,425.0,419.0,,471.7,338.0,476.1,399.0,471.2,,385.6,384.9,433.0,390.0,427.8,380.0,406.0,510.0,421.8,,16.3,21.0,26.8,23.1,13.0,23.8,-17.8,29.0,23.0,,75.7,-58.0,80.1,3.0,75.2,,-10.4,-11.1,37.0,-6.0,31.8,-16.0,10.0,114.0,25.8,,False,False,False,True,False,False,False,False,,False,False,False,True,False,,True,True,False,True,False,True,True,False,False,
New Jersey,15699,14019.0,13946.0,14163.9,13634.1,13391.0,13302.4,13360.4,13216.0,,,13427.2,13831.0,14028.7,13658.3,13520.4,,12991.9,13541.0,13712.0,13320.0,13721.8,13498.0,12964.6,13873.0,13438.1,14195.0,-1680.0,-1753.0,-1535.1,-2064.9,-2308.0,-2396.6,-2338.6,-2483.0,,,-2271.8,-1868.0,-1670.3,-2040.7,-2178.6,,-2707.1,-2158.0,-1987.0,-2379.0,-1977.2,-2201.0,-2734.4,-1826.0,-2260.9,-1504.0,False,True,False,False,False,False,False,,,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,True
New Mexico,569,600.1,536.0,605.9,580.1,526.0,596.9,621.3,563.0,693.5,,617.4,519.0,660.2,567.1,595.5,,581.8,575.5,539.0,663.0,554.7,560.0,524.9,610.5,579.5,,31.1,-33.0,36.9,11.1,-43.0,27.9,52.3,-6.0,124.5,,48.4,-50.0,91.2,-1.9,26.5,,12.8,6.5,-30.0,94.0,-14.3,-9.0,-44.1,41.5,10.5,,False,False,True,False,True,False,True,False,,False,False,False,True,True,,True,True,True,False,True,True,False,False,True,
New York,32478,32282.1,32870.0,32725.5,31830.4,31946.0,31474.9,31704.6,31233.0,,,31609.0,32082.0,32668.2,31915.4,31380.7,,24994.6,31923.8,31503.0,31513.0,31751.8,31818.0,32668.5,31765.5,31620.5,32514.0,418.1,1006.0,861.5,-33.6,82.0,-389.1,-159.4,-631.0,,,-255.0,218.0,804.2,51.4,-483.3,,-6869.4,59.8,-361.0,-351.0,-112.2,-46.0,804.5,-98.5,-243.5,650.0,False,False,True,True,True,True,False,,,True,True,False,True,False,,False,True,True,True,True,True,False,True,True,False
North Carolina,1648,1535.1,1549.0,1567.1,1884.3,4505.0,1837.2,,2503.0,1725.6,3104.7,1533.8,1545.0,2405.5,1590.5,1520.2,,1639.3,1458.7,1499.0,1639.0,1664.8,1450.0,1645.3,1624.0,1582.0,,-104.9,-91.0,-72.9,244.3,2865.0,197.2,,863.0,85.6,1464.7,-106.2,-95.0,765.5,-49.5,-119.8,,-0.7,-181.3,-141.0,-1.0,24.8,-190.0,5.3,-16.0,-58.0,,True,True,False,False,False,,False,True,False,False,True,False,True,False,,True,False,False,True,True,False,True,True,True,
North Dakota,90,88.6,93.0,85.0,95.9,81.0,83.5,121.5,86.0,99.3,,85.3,88.0,140.4,89.0,92.4,,105.1,88.6,131.0,92.0,90.1,90.0,84.4,116.0,99.1,,-1.4,3.0,-5.0,5.9,-9.0,-6.5,31.5,-4.0,9.3,,-4.7,-2.0,50.4,-1.0,2.4,,15.1,-1.4,41.0,2.0,0.1,0.0,-5.6,26.0,9.1,,False,False,False,False,False,False,False,False,,False,False,False,True,False,,False,True,False,False,True,True,False,False,False,
Ohio,3132,3243.9,3235.0,3261.1,3290.6,3549.0,3120.1,3111.2,3077.0,3653.1,,3129.9,3125.0,4166.0,3321.4,3255.1,3495.0,3019.8,3593.8,3229.0,3286.0,3129.5,3361.0,3211.0,3276.0,3257.1,3443.0,111.9,103.0,129.1,158.6,417.0,-11.9,-20.8,-55.0,521.1,,-2.1,-7.0,1034.0,189.4,123.1,363.0,-112.2,461.8,97.0,154.0,-2.5,229.0,79.0,144.0,125.1,311.0,True,False,False,False,True,True,True,False,,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False
Oklahoma,451,407.6,421.0,406.3,481.0,917.0,433.6,,502.0,512.9,,432.8,450.0,550.8,490.8,381.1,,398.7,446.5,388.0,482.0,405.1,623.0,479.6,420.0,435.1,,-43.4,-30.0,-44.7,30.0,466.0,-17.4,,51.0,61.9,,-18.2,-1.0,99.8,39.8,-69.9,,-52.3,-4.5,-63.0,31.0,-45.9,172.0,28.6,-31.0,-15.9,,True,False,True,False,True,,False,False,,True,True,False,True,False,,False,True,False,True,False,False,True,True,True,
Oregon,257,234.3,232.0,248.0,244.7,320.0,221.4,,253.0,307.9,,284.0,227.0,391.1,231.3,209.6,,230.8,302.8,198.0,211.0,219.4,228.0,270.5,235.0,228.3,,-20.7,-23.0,-7.0,-10.3,65.0,-33.6,,-2.0,52.9,,29.0,-28.0,136.1,-23.7,-45.4,,-24.2,47.8,-57.0,-44.0,-35.6,-27.0,15.5,-20.0,-26.7,,False,True,True,False,False,,True,False,,False,False,False,False,False,,False,False,False,False,False,False,True,True,False,
Pennsylvania,7015,7225.3,7091.0,7256.8,7048.8,7133.0,7338.6,6955.1,6928.0,,,6945.6,6717.0,7537.5,7141.3,7170.4,,7090.7,6922.2,7143.5,6905.0,7049.8,6885.0,7053.1,7219.5,6999.3,7363.0,210.3,76.0,241.8,33.8,118.0,323.6,-59.9,-87.0,,,-69.4,-298.0,522.5,126.3,155.4,,75.7,-92.8,128.5,-110.0,34.8,-130.0,38.1,204.5,-15.7,348.0,True,False,True,True,False,True,True,,,True,False,False,True,True,,True,True,True,True,True,True,True,True,True,False
Rhode Island,990,1129.3,980.0,1137.8,1031.1,964.0,1002.0,970.7,982.0,1420.8,,1045.0,994.0,939.9,972.7,1091.6,,982.9,1024.1,1088.0,932.0,1022.1,963.0,776.4,1112.5,1044.4,,139.3,-10.0,147.8,41.1,-26.0,12.0,-19.3,-8.0,430.8,,55.0,4.0,-50.1,-17.3,101.6,,-7.1,34.1,98.0,-58.0,32.1,-27.0,-213.6,122.5,54.4,,True,False,True,True,True,True,True,False,,True,True,True,True,True,,True,True,True,True,True,True,False,True,True,
South Carolina,1135,857.4,894.0,824.1,1010.0,2168.0,1200.9,,841.0,985.6,,853.2,837.0,1109.2,953.2,777.1,,957.3,945.6,788.0,1253.0,903.3,1228.0,1057.9,883.5,937.4,,-277.6,-241.0,-310.9,-125.0,1033.0,65.9,,-294.0,-149.4,,-281.8,-298.0,-25.8,-181.8,-357.9,,-177.7,-189.4,-347.0,118.0,-231.7,93.0,-77.1,-251.5,-197.6,,True,False,True,False,True,,False,True,,False,False,True,True,False,,True,True,False,True,True,True,True,True,True,
South Dakota,116,104.1,111.0,105.1,114.3,127.0,98.8,150.9,102.0,125.9,,119.5,88.0,160.3,99.8,99.3,,92.0,103.9,142.0,95.0,93.1,100.0,97.5,146.0,112.5,,-11.9,-5.0,-10.9,-1.7,11.0,-17.2,34.9,-14.0,9.9,,3.5,-28.0,44.3,-16.2,-16.7,,-24.0,-12.1,26.0,-21.0,-22.9,-16.0,-18.5,30.0,-3.5,,True,True,True,True,False,False,False,True,,True,False,False,False,False,,False,False,False,False,False,False,False,False,True,
Tennessee,838,726.6,710.0,732.0,802.1,1496.0,698.9,932.8,764.0,856.3,,754.5,816.0,999.4,705.5,742.5,,653.5,908.0,677.0,750.0,648.8,704.0,687.5,770.0,742.8,,-111.4,-128.0,-106.0,-35.9,658.0,-139.1,94.8,-74.0,18.3,,-83.5,-22.0,161.4,-132.5,-95.5,,-184.5,70.0,-161.0,-88.0,-189.2,-134.0,-150.5,-68.0,-95.2,,False,True,True,False,False,True,True,True,,True,True,False,False,True,,False,True,False,True,False,False,False,True,True,
