,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,3169,3012.3,3197.0,3019.0,3213.7,3679.0,,3374.6,4298.4,3632.0,,3793.3,3068.5,3186.0,3228.1,3075.6,3259.2,3244.4,,2957.2,3108.1,3026.5,,2988.5,,3043.0,3197.0,3196.0,,3508.3,3549.3,3016.0,3172.2,3089.3,-156.7,28.0,-150.0,44.7,510.0,,205.6,1129.4,463.0,,624.3,-100.5,17.0,59.1,-93.4,90.2,75.4,,-211.8,-60.9,-142.5,,-180.5,,-126.0,28.0,27.0,,339.3,380.3,-153.0,3.2,-79.7,True,True,True,False,,False,False,False,,False,True,True,True,True,True,True,,False,True,True,,False,,True,True,True,,False,False,True,True,True
Hawaii,24,20.9,22.0,21.0,20.1,19.0,,20.8,31.2,20.0,,,17.8,,20.9,21.0,18.5,19.5,,21.9,21.6,19.0,,19.0,,21.0,19.3,21.0,,19.5,22.7,20.0,19.5,,-3.1,-2.0,-3.0,-3.9,-5.0,,-3.2,7.2,-4.0,,,-6.2,,-3.1,-3.0,-5.5,-4.5,,-2.1,-2.4,-5.0,,-5.0,,-3.0,-4.7,-3.0,,-4.5,-1.3,-4.0,-4.5,,True,True,False,False,,False,False,False,,,False,,True,True,False,False,,True,True,False,,False,,True,False,True,,False,True,False,False,
Idaho,119,96.7,121.0,97.0,104.5,158.0,,133.9,143.3,134.0,103.2,,100.9,115.0,126.3,114.1,111.8,97.2,,101.7,105.3,93.0,,94.3,,100.0,98.0,106.0,,135.5,112.0,96.0,98.0,,-22.3,2.0,-22.0,-14.5,39.0,,14.9,24.3,15.0,-15.8,,-18.1,-4.0,7.3,-4.9,-7.2,-21.8,,-17.3,-13.7,-26.0,,-24.7,,-19.0,-21.0,-13.0,,16.5,-7.0,-23.0,-21.0,,True,True,True,False,,True,False,True,True,,True,True,True,True,True,True,,True,True,False,,False,,True,True,True,,True,True,False,True,
Illinois,7483,7265.1,7509.0,7296.3,7476.3,7459.0,,7212.0,7663.0,7154.0,6930.7,,7416.8,7621.0,7554.6,7387.6,7041.0,7457.2,7867.0,7492.6,7327.9,8577.0,,7290.7,,7258.0,7426.4,7274.0,,7241.3,7348.8,7256.0,7278.5,7272.3,-217.9,26.0,-186.7,-6.7,-24.0,,-271.0,180.0,-329.0,-552.3,,-66.2,138.0,71.6,-95.4,-442.0,-25.8,384.0,9.6,-155.1,1094.0,,-192.3,,-225.0,-56.6,-209.0,,-241.7,-134.2,-227.0,-204.5,-210.7,True,True,True,True,,False,True,False,False,,True,True,True,True,False,True,False,True,True,False,,True,,False,True,True,,False,True,False,True,True
Indiana,2820,2830.4,2853.0,2829.2,2846.7,2809.0,,2794.2,2908.5,2858.0,2730.7,,2632.3,2746.0,2738.9,2913.0,2923.4,2823.8,2842.0,2791.9,2851.2,2773.5,,2535.7,,2831.0,2813.0,2875.0,,2903.2,2852.9,2901.0,2833.7,2903.3,10.4,33.0,9.2,26.7,-11.0,,-25.8,88.5,38.0,-89.3,,-187.7,-74.0,-81.1,93.0,103.4,3.8,22.0,-28.1,31.2,-46.5,,-284.3,,11.0,-7.0,55.0,,83.2,32.9,81.0,13.7,83.3,False,True,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,,False,,False,True,False,,False,False,False,False,False
Iowa,789,748.9,830.0,755.0,772.0,821.0,,835.3,781.2,792.0,712.4,,757.7,757.0,826.7,775.9,915.2,779.6,,737.8,763.0,840.5,,755.9,,742.0,758.2,749.0,,800.8,788.0,741.0,757.1,,-40.1,41.0,-34.0,-17.0,32.0,,46.3,-7.8,3.0,-76.6,,-31.3,-32.0,37.7,-13.1,126.2,-9.4,,-51.2,-26.0,51.5,,-33.1,,-47.0,-30.8,-40.0,,11.8,-1.0,-48.0,-31.9,,False,True,True,True,,False,True,True,False,,True,True,True,True,False,True,,False,True,False,,True,,False,True,True,,True,True,False,True,
Kansas,308,311.9,340.0,313.0,314.6,330.0,,322.6,372.9,311.0,307.5,,320.6,303.0,361.4,316.4,307.9,301.9,,311.0,332.3,312.0,,298.1,,295.0,300.1,319.0,,308.7,339.9,324.0,306.7,,3.9,32.0,5.0,6.6,22.0,,14.6,64.9,3.0,-0.5,,12.6,-5.0,53.4,8.4,-0.1,-6.1,,3.0,24.3,4.0,,-9.9,,-13.0,-7.9,11.0,,0.7,31.9,16.0,-1.3,,False,False,False,False,,False,False,True,True,,False,False,False,False,True,False,,True,False,False,,False,,False,False,False,,True,False,False,True,
Kentucky,667,635.1,651.0,647.0,642.7,622.0,,622.2,789.3,652.0,638.4,,639.3,671.0,728.5,612.8,883.1,629.3,697.5,652.7,638.0,624.0,,624.7,,604.0,628.1,624.0,,663.8,647.6,638.0,636.5,,-31.9,-16.0,-20.0,-24.3,-45.0,,-44.8,122.3,-15.0,-28.6,,-27.7,4.0,61.5,-54.2,216.1,-37.7,30.5,-14.3,-29.0,-43.0,,-42.3,,-63.0,-38.9,-43.0,,-3.2,-19.4,-29.0,-30.5,,True,True,True,False,,False,False,True,True,,True,True,False,False,False,False,True,True,True,False,,False,,False,False,False,,True,True,True,True,
Louisiana,3509,3453.3,3510.0,3454.0,3501.8,3673.0,,3435.2,3395.1,3753.0,3384.1,,3486.6,3600.0,3512.5,3524.6,3416.1,3617.2,,3381.2,3545.7,3358.5,,3301.2,,3596.0,3422.0,3534.0,,3599.2,3575.0,3438.0,3455.9,3491.0,-55.7,1.0,-55.0,-7.2,164.0,,-73.8,-113.9,244.0,-124.9,,-22.4,91.0,3.5,15.6,-92.9,108.2,,-127.8,36.7,-150.5,,-207.8,,87.0,-87.0,25.0,,90.2,66.0,-71.0,-53.1,-18.0,True,True,True,False,,False,False,False,False,,True,False,True,True,False,False,,False,True,False,,False,,False,False,True,,False,False,False,True,True
Maine,117,118.3,120.0,113.0,113.6,132.0,,112.2,120.9,117.0,107.2,,113.6,111.0,127.0,114.1,150.7,110.6,,116.4,116.4,107.0,,114.8,,119.0,110.8,116.0,,121.0,112.7,113.0,115.0,,1.3,3.0,-4.0,-3.4,15.0,,-4.8,3.9,0.0,-9.8,,-3.4,-6.0,10.0,-2.9,33.7,-6.4,,-0.6,-0.6,-10.0,,-2.2,,2.0,-6.2,-1.0,,4.0,-4.3,-4.0,-2.0,,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,,True,True,False,,False,,False,False,True,,False,False,False,False,
Maryland,3368,3382.3,3474.0,3394.0,3397.6,3445.0,,3345.4,3401.8,3325.0,3149.7,,3353.2,3536.0,3537.0,3399.7,3876.3,3408.0,,3363.6,3404.8,3376.5,,3300.5,,3369.0,3378.0,3365.0,,3438.7,3397.2,3476.0,3394.6,3447.7,14.3,106.0,26.0,29.6,77.0,,-22.6,33.8,-43.0,-218.3,,-14.8,168.0,169.0,31.7,508.3,40.0,,-4.4,36.8,8.5,,-67.5,,1.0,10.0,-3.0,,70.7,29.2,108.0,26.6,79.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,,True,False,True,,False,,True,True,True,,False,False,False,False,False
Massachusetts,8419,8411.4,8535.0,8435.8,8436.9,8371.0,,8229.9,8399.2,8304.0,8154.1,,8648.0,8587.0,8402.1,8445.8,8329.7,8472.3,,8400.1,8445.2,8313.0,,8419.1,,8405.0,8417.7,8355.0,,8283.7,8480.5,8554.0,8393.0,8572.7,-7.6,116.0,16.8,17.9,-48.0,,-189.1,-19.8,-115.0,-264.9,,229.0,168.0,-16.9,26.8,-89.3,53.3,,-18.9,26.2,-106.0,,0.1,,-14.0,-1.3,-64.0,,-135.3,61.5,135.0,-26.0,153.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,,False,False,False,,True,,False,True,False,,False,False,False,False,False
Michigan,6364,6331.3,6451.0,6350.1,6344.4,6403.0,,6285.6,6423.8,6505.0,6285.4,,6303.3,6382.0,6463.6,6393.4,7006.1,6287.4,6383.0,6323.1,6355.1,6303.0,,6077.3,,6262.0,6310.1,6329.0,,6412.7,6422.3,6269.0,6332.5,6357.3,-32.7,87.0,-13.9,-19.6,39.0,,-78.4,59.8,141.0,-78.6,,-60.7,18.0,99.6,29.4,642.1,-76.6,19.0,-40.9,-8.9,-61.0,,-286.7,,-102.0,-53.9,-35.0,,48.7,58.3,-95.0,-31.5,-6.7,False,True,True,False,,False,False,False,False,,False,True,False,True,False,False,True,False,True,False,,False,,False,False,False,,False,False,False,True,True
Minnesota,1578,1597.1,1637.0,1605.1,1606.9,1632.0,,1659.0,1622.7,1622.0,1479.1,,1618.2,1559.0,1705.3,1595.2,1905.8,1652.0,1664.0,1557.6,1582.2,1577.5,,1570.2,,1568.0,1594.2,1574.0,,1613.0,1625.6,1585.0,1610.0,1609.0,19.1,59.0,27.1,28.9,54.0,,81.0,44.7,44.0,-98.9,,40.2,-19.0,127.3,17.2,327.8,74.0,86.0,-20.4,4.2,-0.5,,-7.8,,-10.0,16.2,-4.0,,35.0,47.6,7.0,32.0,31.0,False,False,False,False,,False,False,False,False,,False,True,False,True,False,False,False,False,True,True,,True,,True,True,True,,False,False,True,False,False
Mississippi,1346,1244.7,1230.0,1251.1,1271.8,1332.0,,1327.5,1337.6,1401.0,1016.1,,1303.1,1262.0,1262.4,1224.7,1524.1,1268.8,,1224.3,1340.6,1207.0,,1268.8,,1230.0,1264.0,1247.0,,1352.7,1356.0,1246.0,1260.3,1295.3,-101.3,-116.0,-94.9,-74.2,-14.0,,-18.5,-8.4,55.0,-329.9,,-42.9,-84.0,-83.6,-121.3,178.1,-77.2,,-121.7,-5.4,-139.0,,-77.2,,-116.0,-82.0,-99.0,,6.7,10.0,-100.0,-85.7,-50.7,False,True,True,True,,True,True,True,False,,True,True,True,False,False,True,,False,True,False,,True,,False,True,True,,True,True,True,True,True
Missouri,1136,1119.7,1136.0,1122.0,1145.2,1177.0,,1178.5,1635.7,1229.0,1083.1,,1187.6,1143.0,1159.8,1159.0,1325.2,1125.7,,1114.8,1143.4,1105.0,,1007.1,,1078.0,1150.0,1120.0,,1227.7,1227.2,1143.0,1120.8,,-16.3,0.0,-14.0,9.2,41.0,,42.5,499.7,93.0,-52.9,,51.6,7.0,23.8,23.0,189.2,-10.3,,-21.2,7.4,-31.0,,-128.9,,-58.0,14.0,-16.0,,91.7,91.2,7.0,-15.2,,True,True,True,False,,False,False,False,False,,False,True,False,False,False,True,,False,True,False,,False,,False,True,True,,False,False,True,True,
Montana,37,24.9,27.0,25.0,28.0,23.0,,26.5,41.4,29.0,25.6,,21.6,24.0,36.1,31.5,24.2,25.7,,34.4,25.9,23.0,,37.0,,26.0,26.1,31.0,,35.8,31.9,26.0,25.1,,-12.1,-10.0,-12.0,-9.0,-14.0,,-10.5,4.4,-8.0,-11.4,,-15.4,-13.0,-0.9,-5.5,-12.8,-11.3,,-2.6,-11.1,-14.0,,-0.0,,-11.0,-10.9,-6.0,,-1.2,-5.1,-11.0,-11.9,,True,True,True,False,,True,True,True,True,,False,False,True,True,False,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
Nebraska,301,315.6,352.0,318.0,324.6,315.0,,305.1,329.0,300.0,277.6,,342.4,317.0,363.1,314.4,369.9,327.7,,328.4,320.3,364.0,,327.0,,316.0,309.3,309.0,,301.0,317.0,325.0,319.0,,14.6,51.0,17.0,23.6,14.0,,4.1,28.0,-1.0,-23.4,,41.4,16.0,62.1,13.4,68.9,26.7,,27.4,19.3,63.0,,26.0,,15.0,8.3,8.0,,-0.0,16.0,24.0,18.0,,False,False,False,True,,True,False,True,False,,False,False,False,True,False,False,,False,False,False,,False,,False,True,True,,True,False,False,False,
Nevada,646,597.1,614.0,590.0,613.1,733.0,,627.9,871.8,762.0,,,617.2,567.0,689.5,607.1,602.3,607.2,,558.4,626.6,555.0,,565.5,,609.0,584.3,631.0,,726.5,653.1,599.0,595.3,,-48.9,-32.0,-56.0,-32.9,87.0,,-18.1,225.8,116.0,,,-28.8,-79.0,43.5,-38.9,-43.7,-38.8,,-87.6,-19.4,-91.0,,-80.5,,-37.0,-61.7,-15.0,,80.5,7.1,-47.0,-50.7,,True,False,True,False,,True,False,False,,,True,False,True,True,True,True,,False,True,False,,False,,True,False,True,,False,True,True,False,
New Hampshire,396,407.0,422.0,403.0,411.5,390.0,,411.5,393.4,410.0,369.9,,424.3,381.0,417.1,403.7,528.4,425.0,,400.7,405.0,414.0,,416.1,,392.0,416.0,402.0,,410.3,403.9,427.0,411.4,,11.0,26.0,7.0,15.5,-6.0,,15.5,-2.6,14.0,-26.1,,28.3,-15.0,21.1,7.7,132.4,29.0,,4.7,9.0,18.0,,20.1,,-4.0,20.0,6.0,,14.3,7.9,31.0,15.4,,False,True,False,True,,False,True,False,False,,False,False,False,True,False,False,,True,True,False,,False,,True,False,True,,False,True,False,False,
New Jersey,15699,15649.3,17528.0,15681.0,15606.8,15520.0,,13345.2,15476.6,15476.0,,,15510.1,16743.0,15635.0,15623.7,13393.1,16148.9,,15512.6,15653.8,15712.5,,13568.1,,15639.0,15649.1,15484.0,,15317.7,16515.7,15662.5,15475.3,13893.0,-49.7,1829.0,-18.0,-92.2,-179.0,,-2353.8,-222.4,-223.0,,,-188.9,1044.0,-64.0,-75.3,-2305.9,449.9,,-186.4,-45.2,13.5,,-2130.9,,-60.0,-49.9,-215.0,,-381.3,816.7,-36.5,-223.7,-1806.0,False,True,False,False,,False,False,False,,,False,False,False,False,False,False,,False,True,True,,False,,False,False,False,,False,False,True,False,False
New Mexico,569,552.0,563.0,557.1,566.3,547.0,,594.8,580.7,591.0,521.6,,585.2,540.0,595.7,571.1,596.5,561.9,,547.1,572.5,563.0,,553.1,,573.0,563.7,555.0,,589.4,603.3,559.0,555.2,,-17.0,-6.0,-11.9,-2.7,-22.0,,25.8,11.7,22.0,-47.4,,16.2,-29.0,26.7,2.1,27.5,-7.1,,-21.9,3.5,-6.0,,-15.9,,4.0,-5.3,-14.0,,20.4,34.3,-10.0,-13.8,,True,True,True,False,,False,True,False,False,,True,False,False,True,False,True,,False,True,True,,True,,True,True,True,,False,False,True,True,
New York,32497,32694.4,33471.0,32626.5,32534.3,32595.0,,32192.6,32203.3,32606.0,32239.9,,31572.4,33334.0,32423.5,32651.6,27242.0,32288.1,,32107.7,32672.3,32315.0,,25299.0,,32336.0,32396.6,32687.0,,32297.1,32612.7,32639.5,32488.7,32669.0,235.4,1012.0,167.5,75.3,136.0,,-266.4,-255.7,147.0,-219.1,,-886.6,875.0,-35.5,192.6,-5217.0,-170.9,,-351.3,213.3,-144.0,,-7160.0,,-123.0,-62.4,228.0,,-161.9,153.7,180.5,29.7,210.0,False,True,True,True,,False,False,True,True,,False,False,True,True,False,True,,False,True,True,,False,,True,True,True,,True,True,True,True,True
North Carolina,1648,1554.9,1681.0,1560.0,1635.2,1949.0,,1744.8,1900.3,1923.0,1386.2,1830.3,1537.5,1511.0,1863.8,1561.7,1561.6,1665.1,,1543.6,1568.0,1576.0,,1527.5,,1515.0,1665.1,1550.0,,1756.9,1687.9,1633.0,1566.8,1632.0,-93.1,33.0,-88.0,-12.8,301.0,,96.8,252.3,275.0,-261.8,182.3,-110.5,-137.0,215.8,-86.3,-86.4,17.1,,-104.4,-80.0,-72.0,,-120.5,,-133.0,17.1,-98.0,,108.9,39.9,-15.0,-81.2,-16.0,True,True,True,False,,False,False,False,False,False,False,False,False,True,True,True,,False,True,True,,False,,False,True,False,,False,True,True,True,True
