,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Oklahoma,451,429.7,367.5,293.0,434.7,497.3,463.1,-21.3,-83.5,-158.0,-16.3,46.3,12.1,False,False,True,False,True
Oregon,257,225.6,228.5,158.0,235.7,257.1,205.1,-31.4,-28.5,-99.0,-21.3,0.1,-51.9,True,False,True,True,False
Pennsylvania,7015,10597.6,9400.4,6364.5,7360.3,5411.2,10391.0,3582.6,2385.4,-650.5,345.3,-1603.8,3376.0,True,True,True,True,True
Rhode Island,991,1181.0,773.5,1250.0,886.7,547.0,1136.4,239.0,-168.5,308.0,-55.3,-395.0,194.4,True,False,True,False,True
South Carolina,1135,863.3,484.9,418.0,667.3,647.1,1365.3,-271.7,-650.1,-717.0,-467.7,-487.9,230.3,False,False,False,False,True
South Dakota,116,132.6,125.0,192.0,75.3,57.0,192.1,16.6,9.0,76.0,-40.7,-59.0,76.1,True,False,False,False,False
Tennessee,838,785.1,486.5,728.0,600.9,508.5,540.6,-52.9,-351.5,-110.0,-237.1,-329.5,-297.4,False,False,False,False,False
Texas,4576,3548.4,3477.3,2180.0,2782.3,3247.5,5675.5,-959.6,-1030.7,-2328.0,-1725.7,-1260.5,1167.5,False,False,False,False,False
Utah,243,195.1,147.9,88.0,136.9,171.2,264.4,-47.9,-95.1,-155.0,-106.1,-71.8,21.4,False,False,False,False,True
Vermont,56,62.9,49.0,53.0,75.7,64.1,70.9,6.9,-7.0,-3.0,19.7,8.1,14.9,False,True,False,False,False
Virginia,2025,2524.6,1951.5,1449.0,1836.0,2103.6,2737.8,499.6,-73.5,-576.0,-189.0,78.6,712.8,True,False,True,True,False
Washington,1444,1621.0,1258.8,1254.0,1290.1,1243.8,1364.0,177.0,-185.2,-190.0,-153.9,-200.2,-80.0,False,False,True,False,True
West Virginia,100,182.1,106.7,64.0,113.2,111.7,131.6,82.1,6.7,-36.0,13.2,11.7,31.6,True,True,True,True,True
Wisconsin,843,922.4,727.6,1059.0,728.8,1123.0,825.5,79.4,-115.4,216.0,-114.2,280.0,-17.5,False,False,False,False,True
Wyoming,24,16.9,4.0,7.0,13.5,10.5,15.2,-7.1,-20.0,-17.0,-10.5,-13.5,-8.8,False,False,False,False,False
US,140776,178452.3,140005.1,120893.5,133851.9,116712.8,171758.5,40618.3,2171.1,-16940.5,-3982.1,-21121.2,33924.5,True,True,True,True,True
