,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Indiana,2820,3000.0,2930.6,2741.0,2730.8,2490.0,2875.6,3398.0,2934.0,,2951.0,2734.3,3019.6,3124.8,180.0,110.6,-79.0,-89.2,-330.0,55.6,578.0,114.0,,131.0,-85.7,199.6,304.8,True,True,True,False,True,False,True,,True,True,False,False
Iowa,789,880.3,987.3,777.0,900.0,750.0,897.8,,1154.0,,1208.0,824.7,829.9,885.7,91.3,198.3,-12.0,111.0,-39.0,108.8,,365.0,,419.0,35.7,40.9,96.7,False,True,False,True,False,,False,,False,True,True,False
Kansas,308,303.3,285.1,264.0,313.7,323.0,278.7,,280.0,,328.0,282.5,201.5,306.7,-4.7,-22.9,-44.0,5.7,15.0,-29.3,,-28.0,,20.0,-25.5,-106.5,-1.3,False,False,False,False,False,,False,,False,False,False,True
Kentucky,667,639.9,620.1,664.0,650.4,588.0,647.7,950.0,599.0,,656.0,676.3,629.0,700.7,-27.1,-46.9,-3.0,-16.6,-79.0,-19.3,283.0,-68.0,,-11.0,9.3,-38.0,33.7,False,True,True,False,True,False,False,,True,True,False,False
Louisiana,3509,3392.9,3461.0,3478.0,3572.1,3392.0,3863.1,,3284.0,,3331.0,3283.0,3155.2,3526.3,-116.1,-48.0,-31.0,63.1,-117.0,354.1,,-225.0,,-178.0,-226.0,-353.8,17.3,True,True,True,False,False,,False,,False,False,False,True
Maine,117,104.9,105.6,157.0,130.9,119.0,122.3,,115.0,,112.0,107.8,136.2,117.6,-12.1,-11.4,40.0,13.9,2.0,5.3,,-2.0,,-5.0,-9.2,19.2,0.6,True,False,False,True,True,,True,,True,True,False,True
Maryland,3368,3861.9,3508.1,3530.0,3730.7,3777.0,3436.8,,3535.5,,3517.0,3405.7,3562.8,3731.7,493.9,140.1,162.0,362.7,409.0,68.8,,167.5,,149.0,37.7,194.8,363.7,True,True,True,True,True,,True,,True,True,True,True
Massachusetts,8419,9120.0,8233.1,8060.0,8141.5,8810.0,8376.4,,8642.0,,8532.0,8302.9,8231.3,8569.0,701.0,-185.9,-359.0,-277.5,391.0,-42.6,,223.0,,113.0,-116.1,-187.7,150.0,True,True,True,True,True,,True,,True,True,True,True
Michigan,6364,6448.3,6350.9,6636.0,6917.8,7008.0,6350.6,7001.5,7002.0,,6270.0,6560.3,6111.7,6431.5,84.3,-13.1,272.0,553.8,644.0,-13.4,637.5,638.0,,-94.0,196.3,-252.3,67.5,True,False,False,False,True,False,False,,False,False,False,True
Minnesota,1578,1970.1,1871.7,1766.0,1852.7,1691.0,1787.9,2011.5,1835.0,,2649.0,1728.8,1422.3,1985.2,392.1,293.7,188.0,274.7,113.0,209.9,433.5,257.0,,1071.0,150.8,-155.7,407.2,True,True,True,True,True,False,True,,False,True,True,False
Mississippi,1346,1250.4,1442.2,1201.0,1165.7,991.0,1204.8,,1283.5,,1375.0,1115.5,1218.6,1359.5,-95.6,96.2,-145.0,-180.3,-355.0,-141.2,,-62.5,,29.0,-230.5,-127.4,13.5,False,False,False,False,False,,True,,True,False,False,True
Missouri,1136,1055.0,1163.8,1150.0,1183.6,1101.0,1162.1,,971.0,,1249.0,1333.4,1122.3,1347.0,-77.0,31.8,18.0,51.6,-31.0,30.1,,-161.0,,117.0,201.4,-9.7,215.0,True,True,True,True,True,,False,,False,False,True,False
Montana,37,23.9,20.0,19.0,20.3,18.0,28.4,,19.0,,24.0,21.3,18.4,21.6,-13.1,-17.0,-18.0,-16.7,-19.0,-8.6,,-18.0,,-13.0,-15.7,-18.6,-15.4,False,False,False,False,True,,False,,True,False,False,False
Nebraska,301,351.0,303.3,240.0,311.8,274.0,258.6,,460.0,,339.0,299.9,238.1,358.6,50.0,2.3,-61.0,10.8,-27.0,-42.4,,159.0,,38.0,-1.1,-62.9,57.6,True,False,True,True,True,,False,,True,True,False,False
Nevada,646,584.4,609.9,746.0,604.1,595.0,639.2,,528.0,,593.0,565.1,631.3,612.4,-61.6,-36.1,100.0,-41.9,-51.0,-6.8,,-118.0,,-53.0,-80.9,-14.7,-33.6,True,False,True,True,True,,False,,True,False,True,True
New Hampshire,396,485.1,431.2,469.0,494.0,333.0,389.5,,430.0,,566.0,440.2,420.0,516.7,89.1,35.2,73.0,98.0,-63.0,-6.5,,34.0,,170.0,44.2,24.0,120.7,True,True,False,True,True,,True,,False,True,True,False
New Jersey,15699,15005.0,13204.4,13095.0,13520.6,13886.0,13574.8,,13747.5,,13682.0,13749.1,12993.5,13885.9,1162.0,-638.6,-748.0,-322.4,43.0,-268.2,,-95.5,,-161.0,-93.9,-849.5,42.9,True,True,True,True,True,,True,,True,True,True,True
New Mexico,569,624.4,661.2,559.0,650.2,512.0,521.5,,549.5,,797.0,545.4,525.7,621.1,55.4,92.2,-10.0,81.2,-57.0,-47.5,,-19.5,,228.0,-23.6,-43.3,52.1,False,True,False,False,True,,True,,False,True,True,True
New York,32497,33015.6,31409.8,31046.0,32324.3,32517.0,31951.4,,31572.0,,25013.0,31514.3,32528.9,31868.7,1288.6,-317.2,-681.0,597.3,790.0,224.4,,-155.0,,-6714.0,-212.7,801.9,141.7,True,True,True,True,True,,True,,False,True,True,True
North Carolina,1648,1617.7,1964.8,2205.0,1620.8,1590.0,1766.3,,1526.0,,1879.0,1798.2,1987.7,1806.5,-30.3,316.8,557.0,-27.2,-58.0,118.3,,-122.0,,231.0,150.2,339.7,158.5,False,False,True,False,False,,False,,False,False,False,False
North Dakota,90,83.7,80.2,91.0,101.6,107.0,96.6,,157.0,,123.0,92.1,88.8,108.2,-6.3,-9.8,1.0,11.6,17.0,6.6,,67.0,,33.0,2.1,-1.2,18.2,False,True,False,False,False,,False,,False,True,True,False
Ohio,3132,3433.3,3213.9,3036.0,3059.6,3102.0,3216.1,4820.0,3541.0,,3572.0,3116.5,3083.7,3486.1,301.3,81.9,-96.0,-72.4,-30.0,84.1,1688.0,409.0,,440.0,-15.5,-48.3,354.1,True,True,True,True,True,False,False,,False,True,True,False
Oklahoma,451,412.4,412.2,558.0,469.0,406.0,490.4,,394.0,,400.0,393.7,474.5,425.4,-38.6,-38.8,107.0,18.0,-45.0,39.4,,-57.0,,-51.0,-57.3,23.5,-25.6,False,False,True,False,False,,False,,False,False,True,True
Oregon,257,221.6,198.3,222.0,252.9,210.0,211.7,,188.0,,185.0,207.2,260.2,211.6,-32.4,-55.7,-32.0,-1.1,-44.0,-42.3,,-66.0,,-69.0,-46.8,6.2,-42.4,False,True,True,False,False,,False,,False,False,True,False
Pennsylvania,7015,7536.1,7648.4,7398.0,7265.0,6699.0,7391.2,,7390.5,,7845.0,7186.8,7122.8,7303.2,521.1,633.4,383.0,250.0,-316.0,376.2,,375.5,,830.0,171.8,107.8,288.2,False,True,True,True,True,,True,,False,True,True,True
Rhode Island,991,1129.3,1001.8,974.0,1035.1,977.0,940.8,,1113.5,,1071.0,1015.6,764.7,1095.4,188.3,60.8,33.0,94.1,36.0,-0.2,,172.5,,130.0,74.6,-176.3,154.4,True,True,True,True,True,,True,,True,True,True,True
South Carolina,1135,862.3,1150.2,1493.0,1171.6,765.0,959.1,,769.0,,890.0,851.7,1181.0,999.1,-272.7,15.2,358.0,36.6,-370.0,-175.9,,-366.0,,-245.0,-283.3,46.0,-135.9,True,False,True,False,True,,False,,True,False,True,True
South Dakota,116,123.6,97.4,101.0,121.9,88.0,103.8,,160.0,,102.0,91.3,96.0,117.2,7.6,-18.6,-15.0,5.9,-28.0,-12.2,,44.0,,-14.0,-24.7,-20.0,1.2,False,False,True,False,False,,False,,False,False,False,True
Tennessee,838,746.0,660.9,615.0,859.1,769.0,632.2,,659.0,,695.0,643.2,657.9,704.7,-92.0,-177.1,-223.0,21.1,-69.0,-205.8,,-179.0,,-143.0,-194.8,-180.1,-133.3,False,False,True,True,False,,False,,False,False,False,False
Texas,4576,2678.6,2883.8,2747.0,2846.2,2755.0,2714.3,,2714.0,5366.0,2786.0,2446.1,3150.2,2892.1,-1734.4,-1529.2,-1666.0,-1566.8,-1658.0,-1698.7,,-1699.0,953.0,-1627.0,-1966.9,-1262.8,-1520.9,True,True,True,True,True,,True,True,True,False,True,True
Utah,243,226.4,303.0,262.0,239.4,203.0,206.7,,277.0,,203.0,182.1,246.0,242.4,-16.6,60.0,19.0,-3.6,-40.0,-36.3,,34.0,,-40.0,-60.9,3.0,-0.6,False,False,True,False,False,,False,,False,False,True,True
Vermont,56,55.0,61.7,58.0,57.7,57.0,72.5,,60.0,,57.0,62.4,54.2,58.4,-1.0,5.7,2.0,1.7,1.0,16.5,,4.0,,1.0,6.4,-1.8,2.4,False,False,False,False,False,,False,,False,False,False,False
Virginia,2025,1905.4,2135.7,2005.0,1825.7,1939.0,1763.3,,1967.5,,1975.0,1798.5,1803.8,2064.7,-119.6,110.7,-20.0,-199.3,-86.0,-261.7,,-57.5,,-50.0,-226.5,-221.2,39.7,True,True,False,True,False,,True,,True,False,False,True
Washington,1444,1508.4,1360.7,1652.0,1363.8,1377.0,1410.4,,1328.5,,1363.0,1312.9,1440.2,1455.6,64.4,-83.3,208.0,-80.2,-67.0,-33.6,,-115.5,,-81.0,-131.1,-3.8,11.6,False,False,False,False,True,,False,,False,False,True,True
West Virginia,100,107.4,91.8,119.0,110.5,87.0,104.5,,93.0,,95.0,113.9,119.5,111.1,7.4,-8.2,19.0,10.5,-13.0,4.5,,-7.0,,-5.0,13.9,19.5,11.1,False,False,False,False,True,,True,,True,False,False,False
Wisconsin,843,910.6,898.2,1099.0,930.7,914.0,837.2,1496.5,933.0,,962.0,822.3,798.9,1000.3,67.6,55.2,256.0,87.7,71.0,-5.8,653.5,90.0,,119.0,-20.7,-44.1,157.3,True,False,False,False,True,False,False,,False,True,True,False
Wyoming,24,22.9,22.2,30.0,17.7,18.0,30.7,,18.0,,79.0,19.1,27.5,23.7,-1.1,-1.8,6.0,-6.3,-6.0,6.7,,-6.0,,55.0,-4.9,3.5,-0.3,False,False,False,False,False,,False,,False,False,False,True
US,140776,140780.3,136092.1,138614.0,138772.2,134203.0,138384.8,,140170.0,135800.0,,128741.5,134114.2,139689.4,2850.3,-1837.9,684.0,842.2,-3727.0,454.8,,2240.0,-2130.0,,-9188.5,-3815.8,1759.4,True,True,True,False,True,,True,True,,False,False,True
