,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,3169,3163.7,3245.0,3177.8,3346.0,4049.0,3329.6,3452.0,3148.0,3793.3,3441.5,3338.0,3395.7,3398.7,3219.6,3149.4,,3009.9,3398.9,3178.5,,3181.0,3329.0,3255.6,3837.0,2903.1,3678.3,3139.0,3342.9,3412.3,-5.3,76.0,8.8,177.0,880.0,160.6,283.0,-21.0,624.3,272.5,169.0,226.7,229.7,50.6,-19.6,,-159.1,229.9,9.5,,12.0,160.0,86.6,668.0,-265.9,509.3,-30.0,173.9,243.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Hawaii,24,20.9,21.0,21.0,19.6,18.0,21.2,18.0,,,18.3,,21.5,21.4,18.5,18.4,,21.4,19.0,18.0,,19.0,20.0,18.5,23.0,22.6,22.7,19.0,18.6,,-3.1,-3.0,-3.0,-4.4,-6.0,-2.8,-6.0,,,-5.7,,-2.5,-2.6,-5.5,-5.6,,-2.6,-5.0,-6.0,,-5.0,-4.0,-5.5,-1.0,-1.4,-1.3,-5.0,-5.4,,True,True,False,False,True,False,,,False,,True,True,False,False,,True,False,False,,False,False,False,True,True,True,False,False,
Idaho,119,96.7,115.0,98.0,106.6,108.0,123.4,120.0,108.1,,100.0,95.0,138.9,110.8,112.6,92.7,,113.2,111.0,96.0,,,100.0,96.2,117.0,117.7,120.2,95.0,98.2,,-22.3,-4.0,-21.0,-12.4,-11.0,4.4,1.0,-10.9,,-19.0,-24.0,19.9,-8.2,-6.4,-26.3,,-5.8,-8.0,-23.0,,,-19.0,-22.8,-2.0,-1.3,1.2,-24.0,-20.8,,True,True,True,True,True,True,True,,True,False,True,True,True,False,,True,True,False,,,True,False,True,True,True,False,True,
Illinois,7483,7576.6,7586.0,7617.4,7673.9,7317.0,7173.7,7083.0,7373.2,,7527.4,8005.0,8091.5,7663.1,7367.1,7678.5,8074.5,7583.4,7725.3,9885.5,,7531.0,7392.0,7302.9,7442.0,7078.5,7312.6,7562.0,7546.1,7600.0,93.6,103.0,134.4,190.9,-166.0,-309.3,-400.0,-109.8,,44.4,522.0,608.5,180.1,-115.9,195.5,591.5,100.4,242.3,2402.5,,48.0,-91.0,-180.1,-41.0,-404.5,-170.4,79.0,63.1,117.0,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,,True,True,False,True,False,False,True,True,False
Indiana,2820,2844.7,2861.0,2856.2,2843.2,2822.0,2799.3,2795.0,,,2629.6,2702.0,2814.8,2895.0,2922.4,2846.3,2889.5,2787.3,2890.9,2800.0,,2829.0,2816.0,2748.7,2868.0,3038.7,2867.7,2906.0,2863.1,,24.7,41.0,36.2,23.2,2.0,-20.7,-25.0,,,-190.4,-118.0,-5.2,75.0,102.4,26.3,69.5,-32.7,70.9,-20.0,,9.0,-4.0,-71.3,48.0,218.7,47.7,86.0,43.1,,False,False,True,True,True,False,,,False,False,True,False,False,False,False,False,False,True,,True,True,False,False,False,False,False,False,
Iowa,789,763.1,829.0,773.0,807.7,950.0,849.2,764.0,751.8,,763.9,770.0,899.0,804.1,918.6,813.1,,734.9,772.8,928.0,,829.0,779.0,791.1,781.0,814.6,812.3,791.0,791.1,,-25.9,40.0,-16.0,18.7,161.0,60.2,-25.0,-37.2,,-25.1,-19.0,110.0,15.1,129.6,24.1,,-54.1,-16.2,139.0,,40.0,-10.0,2.1,-8.0,25.6,23.3,2.0,2.1,,False,True,True,False,False,True,False,,True,True,False,True,False,True,,False,True,False,,False,True,True,True,True,True,True,True,
Kansas,308,303.3,329.0,304.0,317.9,433.0,305.9,280.0,310.0,,311.0,283.0,415.9,318.4,316.5,283.3,,310.9,345.6,312.0,,280.0,279.0,286.0,332.0,250.2,328.7,337.0,307.1,,-4.7,21.0,-4.0,9.9,125.0,-2.1,-28.0,2.0,,3.0,-25.0,107.9,10.4,8.5,-24.7,,2.9,37.6,4.0,,-28.0,-29.0,-22.0,24.0,-57.8,20.7,29.0,-0.9,,False,True,False,False,True,False,True,,True,False,False,False,False,False,,True,False,True,,False,False,False,False,False,False,False,True,
Kentucky,667,649.4,632.0,644.0,658.8,726.0,620.3,676.0,642.3,,621.4,689.0,799.0,623.2,978.0,614.0,700.0,646.7,689.1,604.0,,618.0,642.0,665.5,643.0,624.3,651.4,664.0,646.2,,-17.6,-35.0,-23.0,-8.2,59.0,-46.7,9.0,-24.7,,-45.6,22.0,132.0,-43.8,311.0,-53.0,33.0,-20.3,22.1,-63.0,,-49.0,-25.0,-1.5,-24.0,-42.7,-15.6,-3.0,-20.8,,False,False,True,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,True,True,False,
Louisiana,3509,3467.6,3444.0,3448.2,3448.0,3784.0,3414.1,3435.0,3609.1,,3545.7,3282.0,3524.6,3539.9,3408.4,3305.1,,3325.0,3643.7,3325.0,,3337.0,3600.0,3297.3,3570.0,3121.9,3658.6,3315.0,3441.0,,-41.4,-65.0,-60.8,-61.0,275.0,-94.9,-74.0,100.1,,36.7,-227.0,15.6,30.9,-100.6,-203.9,,-184.0,134.7,-184.0,,-172.0,91.0,-211.7,61.0,-387.1,149.6,-194.0,-68.0,,False,False,False,False,False,False,False,,True,False,True,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Maine,117,109.7,117.0,110.4,112.2,107.0,111.4,119.0,109.6,,111.5,107.0,134.2,115.7,151.5,109.7,,117.6,112.7,109.0,,,110.0,107.2,113.0,112.9,116.3,109.0,110.7,,-7.3,0.0,-6.6,-4.8,-10.0,-5.6,2.0,-7.4,,-5.5,-10.0,17.2,-1.3,34.5,-7.3,,0.6,-4.3,-8.0,,,-7.0,-9.8,-4.0,-4.1,-0.7,-8.0,-6.3,,True,True,True,False,True,True,False,,True,False,False,True,False,False,,True,True,False,,,True,False,True,True,True,False,True,
Maryland,3368,3459.4,3447.0,3472.5,3397.7,3337.0,3360.3,3338.0,3277.4,,3311.6,3415.0,3690.1,3399.1,3906.8,3451.0,,3332.6,3357.6,3412.0,,3398.0,3402.0,3346.1,3364.0,3393.3,3360.7,3562.0,3456.8,3352.3,91.4,79.0,104.5,29.7,-31.0,-7.7,-30.0,-90.6,,-56.4,47.0,322.1,31.1,538.8,83.0,,-35.4,-10.4,44.0,,30.0,34.0,-21.9,-4.0,25.3,-7.3,194.0,88.8,-15.7,True,False,True,True,True,True,True,,True,True,False,True,False,True,,True,True,True,,True,True,True,True,True,True,False,True,True
Massachusetts,8419,8636.1,8513.0,8685.5,8418.3,8239.0,8204.0,8203.0,,,8501.4,8268.0,8534.1,8449.1,8359.1,8563.0,,8323.3,8584.9,8298.0,,8491.0,8659.0,8298.1,8425.0,8522.1,8485.5,8529.0,8471.9,8498.0,218.1,95.0,267.5,0.3,-179.0,-214.0,-215.0,,,83.4,-150.0,116.1,31.1,-58.9,145.0,,-94.7,166.9,-120.0,,73.0,241.0,-119.9,7.0,104.1,67.5,111.0,53.9,80.0,True,False,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,,True,False,True,True,True,True,True,True,True
Michigan,6364,6348.4,6436.0,6371.1,6400.1,6368.0,6258.5,6220.0,6708.8,,6329.3,6378.0,6620.1,6616.2,7232.8,6273.9,6805.0,6308.1,6478.8,6248.0,,6289.0,6294.0,6350.1,6381.0,6251.0,6377.6,6266.0,6352.6,,-15.6,72.0,7.1,36.1,4.0,-105.5,-144.0,344.8,,-34.7,14.0,256.1,252.2,868.8,-90.1,441.0,-55.9,114.8,-116.0,,-75.0,-70.0,-13.9,17.0,-113.0,13.6,-98.0,-11.4,,False,True,False,True,False,False,False,,False,True,False,False,False,False,False,False,False,False,,False,False,True,False,False,True,False,True,
Minnesota,1578,1597.1,1628.0,1596.3,1662.5,1779.0,1691.6,1573.0,1515.1,,1623.1,1469.0,1868.2,1690.2,1914.2,1727.7,1881.5,1551.9,1585.1,1607.0,,1670.0,1617.0,1630.6,1580.0,1455.3,1666.3,1611.0,1631.7,,19.1,50.0,18.3,84.5,201.0,113.6,-5.0,-62.9,,45.1,-109.0,290.2,112.2,336.2,149.7,303.5,-26.1,7.1,29.0,,92.0,39.0,52.6,2.0,-122.7,88.3,33.0,53.7,,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,False,False,
Mississippi,1346,1327.6,1221.0,1325.9,1301.6,1882.0,1300.0,1304.0,1298.8,,1286.0,1210.0,1270.3,1230.1,1536.0,1248.4,,1212.6,1590.8,1187.0,,1226.0,1136.0,1153.9,1297.0,1126.6,1417.1,1210.0,1318.1,,-18.4,-125.0,-20.1,-44.4,536.0,-46.0,-42.0,-47.2,,-60.0,-136.0,-75.7,-115.9,190.0,-97.6,,-133.4,244.8,-159.0,,-120.0,-210.0,-192.1,-49.0,-219.4,71.1,-136.0,-27.9,,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,
Missouri,1136,1115.4,1185.0,1120.9,1181.6,1546.0,1164.3,1197.0,1152.3,,1220.9,1185.0,1265.2,1149.6,1577.5,1062.7,,1123.5,1301.8,1059.0,,1080.0,1176.0,1204.7,1137.0,1210.5,1214.6,1153.0,1130.8,,-10.6,59.0,-5.1,55.6,420.0,38.3,71.0,26.3,,94.9,59.0,139.2,23.6,451.5,-63.3,,-2.5,175.8,-67.0,,-46.0,50.0,78.7,11.0,84.5,88.6,27.0,4.8,,False,True,False,False,False,False,False,,False,False,False,False,False,False,,True,False,False,,False,False,False,False,False,False,False,True,
Montana,37,27.7,27.0,28.0,28.5,24.0,24.9,24.0,29.4,,24.3,24.0,46.1,30.7,24.2,22.7,,51.7,41.1,22.0,,22.0,27.0,23.6,31.0,28.1,31.5,27.0,25.5,,-9.3,-10.0,-9.0,-8.5,-13.0,-12.1,-13.0,-7.6,,-12.7,-13.0,9.1,-6.3,-12.8,-14.3,,14.7,4.1,-15.0,,-15.0,-10.0,-13.4,-6.0,-8.9,-5.5,-10.0,-11.5,,False,True,True,False,False,False,True,,False,False,True,True,False,False,,False,True,False,,False,False,False,True,True,True,False,False,
Nebraska,301,332.7,349.0,336.0,338.6,333.0,298.4,283.0,,,338.7,301.0,423.0,317.7,362.1,341.2,,352.1,343.4,422.0,,325.0,333.0,305.7,311.0,269.2,309.1,363.0,348.8,,31.7,48.0,35.0,37.6,32.0,-2.6,-18.0,,,37.7,0.0,122.0,16.7,61.1,40.2,,51.1,42.4,121.0,,24.0,32.0,4.7,10.0,-31.8,8.1,62.0,47.8,,False,False,False,False,True,True,,,False,True,False,True,False,False,,False,False,False,,True,False,True,True,False,True,False,False,
Nevada,646,537.1,576.0,542.2,611.0,1092.0,629.1,670.0,562.0,,614.1,538.0,673.8,679.5,604.3,532.7,,518.6,647.2,529.0,,532.0,568.0,567.7,595.0,523.1,658.9,561.0,573.9,,-108.9,-70.0,-103.8,-35.0,446.0,-16.9,24.0,-84.0,,-31.9,-108.0,27.8,33.5,-41.7,-113.3,,-127.4,1.2,-117.0,,-114.0,-78.0,-78.3,-51.0,-122.9,12.9,-85.0,-72.1,,True,True,True,False,True,True,True,,True,True,True,True,True,False,,False,True,False,,False,True,True,True,False,True,True,True,
New Hampshire,396,447.0,428.0,451.0,432.1,396.0,415.2,419.0,465.9,,453.0,372.0,462.5,418.5,534.8,457.2,,422.3,425.5,412.0,,459.0,455.0,425.6,411.0,417.8,409.5,462.0,422.8,,51.0,32.0,55.0,36.1,0.0,19.2,23.0,69.9,,57.0,-24.0,66.5,22.5,138.8,61.2,,26.3,29.5,16.0,,63.0,59.0,29.6,15.0,21.8,13.5,66.0,26.8,,True,False,True,True,True,True,False,,False,True,False,True,False,False,,True,True,True,,False,False,True,True,True,True,False,True,
New Jersey,15699,20792.1,16503.0,21017.7,15611.1,15238.0,13329.8,15189.0,,,15460.9,16042.0,15827.1,15457.7,13427.4,16278.0,,22273.3,15472.5,15502.0,,15390.0,19147.0,15161.1,15598.0,13592.2,15784.8,15744.0,15420.5,18681.7,5093.1,804.0,5318.7,-87.9,-461.0,-2369.2,-510.0,,,-238.1,343.0,128.1,-241.3,-2271.6,579.0,,6574.3,-226.5,-197.0,,-309.0,3448.0,-537.9,-101.0,-2106.8,85.8,45.0,-278.5,2982.7,True,False,True,True,True,True,,,True,True,True,True,True,True,,False,True,True,,True,True,True,True,True,True,True,True,True
New Mexico,569,557.7,565.0,566.0,578.3,599.0,592.6,564.0,587.5,,595.2,614.0,628.7,598.5,599.7,574.7,,543.4,629.0,571.0,,568.0,593.0,552.1,558.0,543.7,582.6,573.0,564.5,,-11.3,-4.0,-3.0,9.3,30.0,23.6,-5.0,18.5,,26.2,45.0,59.7,29.5,30.7,5.7,,-25.6,60.0,2.0,,-1.0,24.0,-16.9,-11.0,-25.3,13.6,4.0,-4.5,,True,True,True,False,False,True,False,,False,False,False,False,False,True,,False,False,True,,True,False,False,True,False,False,True,True,
New York,32497,32174.1,32968.0,32431.9,31896.8,31735.0,31505.8,31453.0,,,32113.4,31832.0,32091.8,32065.6,31075.2,31541.4,,31589.0,32123.0,31634.5,,31603.0,31609.0,31664.1,31917.0,32653.0,31859.0,32014.0,31916.6,31920.0,358.1,1152.0,615.9,80.8,-81.0,-310.2,-363.0,,,297.4,16.0,275.8,249.6,-740.8,-274.6,,-227.0,307.0,-181.5,,-213.0,-207.0,-151.9,101.0,837.0,43.0,198.0,100.6,104.0,False,False,True,True,True,False,,,True,True,True,True,False,True,,True,True,True,,True,True,True,True,False,True,True,True,True
North Carolina,1648,1720.6,1643.0,1766.9,1743.6,2656.0,1782.9,2294.0,1606.9,1830.3,1600.6,1570.0,2138.7,1670.8,1608.1,1629.6,,1542.5,1743.5,1639.0,,1587.0,1686.0,1643.3,1656.0,1437.7,1725.1,1848.0,1721.4,1746.3,72.6,-5.0,118.9,95.6,1008.0,134.9,646.0,-41.1,182.3,-47.4,-78.0,490.7,22.8,-39.9,-18.4,,-105.5,95.5,-9.0,,-61.0,38.0,-4.7,8.0,-210.3,77.1,200.0,73.4,98.3,True,False,False,False,False,False,True,False,True,False,False,True,True,True,,False,False,True,,True,True,True,True,False,False,False,False,False
North Dakota,90,84.7,94.0,84.3,92.3,81.0,86.6,84.0,88.8,,83.7,93.0,119.9,88.3,107.3,88.0,,107.5,86.2,108.0,,84.0,89.0,87.1,87.0,85.7,90.1,118.0,90.6,,-5.3,4.0,-5.7,2.3,-9.0,-3.4,-6.0,-1.2,,-6.3,3.0,29.9,-1.7,17.3,-2.0,,17.5,-3.8,18.0,,-6.0,-1.0,-2.9,-3.0,-4.3,0.1,28.0,0.6,,True,False,True,False,True,False,True,,False,True,False,True,False,True,,False,True,False,,False,True,True,True,True,True,False,True,
Ohio,3132,3112.7,3089.0,3125.3,3256.3,3654.0,3158.4,3142.0,,,3202.7,3122.0,3843.6,3244.4,3743.6,3173.2,3570.0,2983.5,3507.7,3095.5,,3144.0,3191.0,3151.9,3268.0,3338.4,3417.6,3101.0,3151.2,3358.7,-19.3,-43.0,-6.7,124.3,522.0,26.4,10.0,,,70.7,-10.0,711.6,112.4,611.6,41.2,438.0,-148.5,375.7,-36.5,,12.0,59.0,19.9,136.0,206.4,285.6,-31.0,19.2,226.7,False,True,False,False,False,True,,,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,True,False
Oklahoma,451,430.7,442.0,432.0,454.8,646.0,471.7,525.0,491.3,,422.6,395.0,511.5,428.0,506.3,394.0,,422.4,451.3,394.0,,396.0,445.0,412.9,484.0,393.5,505.1,432.0,440.9,,-20.3,-9.0,-19.0,3.8,195.0,20.7,74.0,40.3,,-28.4,-56.0,60.5,-23.0,55.3,-57.0,,-28.6,0.3,-57.0,,-55.0,-6.0,-38.1,33.0,-57.5,54.1,-19.0,-10.1,,True,True,True,False,False,False,False,,False,False,False,False,False,False,,False,True,False,,False,True,False,False,False,False,True,True,
Oregon,257,236.3,239.0,241.0,260.7,376.0,239.7,273.0,259.2,,256.2,280.0,341.9,252.9,239.5,222.2,,265.6,286.4,215.0,,258.0,240.0,230.8,257.0,228.7,268.6,239.0,239.5,,-20.7,-18.0,-16.0,3.7,119.0,-17.3,16.0,2.2,,-0.8,23.0,84.9,-4.1,-17.5,-34.8,,8.6,29.4,-42.0,,1.0,-17.0,-26.2,0.0,-28.3,11.6,-18.0,-17.5,,True,True,True,False,True,True,True,,True,False,False,True,True,False,,True,False,False,,True,True,False,True,False,True,True,True,
Pennsylvania,7015,7128.9,7080.0,7158.3,7077.1,7150.0,7104.7,6932.0,7047.2,,7000.8,7101.0,7315.9,7140.3,7061.4,7085.1,,6866.2,7216.3,7002.0,,7104.0,6947.0,6994.4,7051.0,7011.3,7083.6,7131.0,7131.4,7066.7,113.9,65.0,143.3,62.1,135.0,89.7,-83.0,32.2,,-14.2,86.0,300.9,125.3,46.4,70.1,,-148.8,201.3,-13.0,,89.0,-68.0,-20.6,36.0,-3.7,68.6,116.0,116.4,51.7,True,False,True,False,True,True,True,,True,True,False,False,True,True,,False,False,True,,True,True,True,True,True,True,False,False,True
