,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,11357,13790.0,13520.9,13403.0,13316.0,,11964.8,14550.0,13157.1,13194.6,,15112.0,14504.0,12130.8,14579.3,9958.7,13859.5,11901.2,13627.5,,,9487.3,13044.5,14368.8,12128.3,13043.0,2433.0,2163.9,2046.0,1959.0,,607.8,3193.0,1800.1,1837.6,,3755.0,3147.0,773.8,3222.3,-1398.3,2502.5,544.2,2270.5,,,-1869.7,1687.5,3011.8,771.3,1686.0,True,True,True,,True,False,True,True,,False,False,True,False,True,False,True,True,,,True,True,False,True,True
Hawaii,1029,1554.0,1573.8,1446.0,1440.0,,1492.2,1446.0,1514.7,1402.7,,,,1677.5,2256.3,1859.8,1804.1,1407.6,1373.5,,,1183.0,2157.3,1676.6,1329.1,1591.0,525.0,544.8,417.0,411.0,,463.2,417.0,485.7,373.7,,,,648.5,1227.3,830.8,775.1,378.6,344.5,,,154.0,1128.3,647.6,300.1,562.0,False,True,True,,True,True,True,True,,,,False,False,False,False,True,True,,,True,False,False,True,False
Idaho,1693,1806.0,1840.5,1823.0,1074.0,,1620.4,2015.0,2803.2,1796.6,,1999.0,1976.0,1570.4,2017.1,2358.7,1932.0,1533.8,1731.1,,,273.2,1698.6,1844.1,704.6,1719.0,113.0,147.5,130.0,-619.0,,-72.6,322.0,1110.2,103.6,,306.0,283.0,-122.6,324.1,665.7,239.0,-159.2,38.1,,,-1419.8,5.6,151.1,-988.4,26.0,False,False,False,,True,False,False,True,,False,False,False,False,False,False,False,True,,,False,True,False,False,True
Illinois,11897,17036.0,17164.9,16047.0,19782.0,,13934.8,6349.0,14147.4,13526.9,,16905.0,13034.0,14476.2,27031.7,13192.7,19232.9,12200.0,15058.1,,,12432.3,18123.3,13887.1,19850.1,16996.0,5139.0,5267.9,4150.0,7885.0,,2037.8,-5548.0,2250.4,1629.9,,5008.0,1137.0,2579.2,15134.7,1295.7,7335.9,303.0,3161.1,,,535.3,6226.3,1990.1,7953.1,5099.0,False,True,False,,True,False,True,True,,True,True,True,False,True,False,True,True,,,True,False,True,False,True
Indiana,5600,6527.0,6442.1,6485.0,6676.0,,6644.7,5349.0,6260.6,6405.7,,6902.0,5648.0,6734.3,7300.7,7089.6,7131.6,6072.4,6552.9,,,5358.5,6191.3,5914.5,6674.7,6634.0,927.0,842.1,885.0,1076.0,,1044.7,-251.0,660.6,805.7,,1302.0,48.0,1134.3,1700.7,1489.6,1531.6,472.4,952.9,,,-241.5,591.3,314.5,1074.7,1034.0,True,True,False,,False,True,True,True,,False,True,False,False,False,False,True,False,,,True,True,True,False,False
Iowa,4515,6078.0,6190.8,5914.0,6039.0,,6463.4,7375.0,5377.0,7012.6,,6266.0,6587.0,8005.1,7857.9,3246.3,9533.4,4628.5,5300.1,,,4765.2,5702.5,5031.3,4846.6,5748.0,1563.0,1675.8,1399.0,1524.0,,1948.4,2860.0,862.0,2497.6,,1751.0,2072.0,3490.1,3342.9,-1268.7,5018.4,113.5,785.1,,,250.2,1187.5,516.3,331.6,1233.0,False,True,True,,False,False,True,False,,False,False,False,False,True,False,True,True,,,True,True,True,True,True
Kansas,3002,4061.0,4022.9,3523.0,4145.0,,3523.5,3188.0,3724.4,4232.8,,4181.0,4532.0,4289.4,6188.5,3670.4,4025.1,2616.1,3450.7,,,2333.2,3545.5,3903.0,3058.8,3871.0,1059.0,1020.9,521.0,1143.0,,521.5,186.0,722.4,1230.8,,1179.0,1530.0,1287.4,3186.5,668.4,1023.1,-385.9,448.7,,,-668.8,543.5,901.0,56.8,869.0,True,True,False,,True,True,True,False,,False,False,False,False,True,True,True,True,,,True,True,True,True,True
Kentucky,3951,4887.0,4917.8,4791.0,5110.0,,4663.8,4321.0,8355.2,4843.6,,5605.0,6006.0,5164.0,5850.7,4242.6,4704.0,3615.6,4501.5,,,3266.7,4715.2,3784.5,4673.8,5027.0,936.0,966.8,840.0,1159.0,,712.8,370.0,4404.2,892.6,,1654.0,2055.0,1213.0,1899.7,291.6,753.0,-335.4,550.5,,,-684.3,764.2,-166.5,722.8,1076.0,False,True,False,,True,True,False,True,,False,False,False,False,True,True,True,True,,,True,True,True,True,False
Louisiana,4750,5230.0,5097.1,4956.0,5516.0,,5026.4,4487.0,10556.5,4465.2,,4716.0,4889.0,4995.8,4665.1,2798.7,2643.6,5819.3,5170.2,,,3624.9,5022.5,5539.0,4834.9,4173.0,480.0,347.1,206.0,766.0,,276.4,-263.0,5806.5,-284.8,,-34.0,139.0,245.8,-84.9,-1951.3,-2106.4,1069.3,420.2,,,-1125.1,272.5,789.0,84.9,-577.0,True,True,False,,True,True,False,True,,True,True,True,True,False,False,False,True,,,False,True,False,True,False
Maine,202,141.0,145.2,182.0,130.0,,193.4,110.0,199.2,237.3,,141.0,141.0,188.4,201.6,278.5,175.6,194.8,195.3,,,171.0,136.9,178.3,212.2,162.0,-61.0,-56.8,-20.0,-72.0,,-8.6,-92.0,-2.8,35.3,,-61.0,-61.0,-13.6,-0.4,76.5,-26.4,-7.2,-6.7,,,-31.0,-65.1,-23.7,10.2,-40.0,True,True,False,,True,False,True,True,,False,False,True,True,False,True,True,True,,,True,False,True,True,True
Maryland,3926,4313.0,4283.4,4240.0,4708.0,,3922.4,533.0,3850.6,4400.6,,4432.0,4303.0,4298.7,4645.2,3903.0,3051.7,3939.4,4195.8,,,2547.9,4478.3,4679.3,5178.6,4469.0,387.0,357.4,314.0,782.0,,-3.6,-3393.0,-75.4,474.6,,506.0,377.0,372.7,719.2,-23.0,-874.3,13.4,269.8,,,-1378.1,552.3,753.3,1252.6,543.0,True,True,False,,True,False,True,False,,False,True,True,False,True,False,True,True,,,False,False,False,False,False
Massachusetts,2344,0.0,0.0,1873.0,2258.0,,16540.1,442.0,2384.8,1741.0,,1985.0,1938.0,2406.6,41.2,1845.6,2916.7,1809.0,2579.4,,,2279.1,0.0,,2458.6,0.0,-2344.0,-2344.0,-471.0,-86.0,,14196.1,-1902.0,40.8,-603.0,,-359.0,-406.0,62.6,-2302.8,-498.4,572.7,-535.0,235.4,,,-64.9,-2344.0,,114.6,-2344.0,False,True,True,,False,True,True,True,,True,True,True,True,True,True,True,True,,,True,False,,True,False
Michigan,5867,6055.0,5974.9,5859.0,6545.0,,4206.6,2930.0,4623.2,5662.1,,5265.0,5762.0,5426.1,6263.5,7231.2,5629.8,3157.8,3862.7,,,1175.9,6769.4,4392.6,4043.0,5038.0,188.0,107.9,-8.0,678.0,,-1660.4,-2937.0,-1243.8,-204.9,,-602.0,-105.0,-440.9,396.5,1364.2,-237.2,-2709.2,-2004.3,,,-4691.1,902.4,-1474.4,-1824.0,-829.0,True,True,False,,False,False,False,False,,False,True,False,False,False,False,False,False,,,False,False,False,False,False
Minnesota,3708,5623.0,5704.8,5466.0,5896.0,,5780.8,917.0,5083.7,6102.0,,5943.0,5970.0,5953.7,6046.9,4719.0,5452.3,5090.7,5252.1,,,4872.7,5532.5,5132.6,5771.1,6096.0,1915.0,1996.8,1758.0,2188.0,,2072.8,-2791.0,1375.7,2394.0,,2235.0,2262.0,2245.7,2338.9,1011.0,1744.3,1382.7,1544.1,,,1164.7,1824.5,1424.6,2063.1,2388.0,False,True,False,,False,False,True,False,,False,False,False,False,True,True,True,True,,,True,True,True,False,False
Mississippi,3142,4449.0,4295.2,4037.0,4112.0,,3982.4,3535.0,4208.9,4578.1,,4821.0,4871.0,4352.5,4807.1,3359.5,3627.2,3619.2,3963.9,,,2662.9,4270.9,4566.8,3750.4,4030.0,1307.0,1153.2,895.0,970.0,,840.4,393.0,1066.9,1436.1,,1679.0,1729.0,1210.5,1665.1,217.5,485.2,477.2,821.9,,,-479.1,1128.9,1424.8,608.4,888.0,True,True,True,,True,True,True,False,,False,False,True,False,True,True,True,True,,,True,True,False,True,True
Missouri,9119,10003.0,9988.3,9582.0,10382.0,,9163.7,7828.0,8513.2,10038.7,,11340.0,8794.0,10688.3,10419.9,7646.4,7646.8,9648.4,9690.7,,,6717.9,9514.7,7967.3,11462.8,10353.0,884.0,869.3,463.0,1263.0,,44.7,-1291.0,-605.8,919.7,,2221.0,-325.0,1569.3,1300.9,-1472.6,-1472.2,529.4,571.7,,,-2401.1,395.7,-1151.7,2343.8,1234.0,True,True,False,,True,False,True,False,,False,True,False,False,False,False,True,True,,,False,True,False,False,False
Montana,761,913.0,926.3,848.0,656.0,,897.0,696.0,778.2,910.1,,1004.0,1154.0,964.1,1221.4,809.1,854.6,947.0,857.2,,,694.2,750.8,904.7,981.7,1029.0,152.0,165.3,87.0,-105.0,,136.0,-65.0,17.2,149.1,,243.0,393.0,203.1,460.4,48.1,93.6,186.0,96.2,,,-66.8,-10.2,143.7,220.7,268.0,False,True,True,,True,True,True,True,,False,False,False,False,True,True,False,True,,,True,True,True,False,False
Nebraska,2315,2052.0,2075.4,1662.0,1688.0,,1929.9,436.0,1686.5,2074.1,,1997.0,2630.0,2317.2,2123.9,1673.5,2506.5,1283.8,1586.0,,,913.9,1974.9,1836.0,1512.7,2170.0,-263.0,-239.6,-653.0,-627.0,,-385.1,-1879.0,-628.5,-240.9,,-318.0,315.0,2.2,-191.1,-641.5,191.5,-1031.2,-729.0,,,-1401.1,-340.1,-479.0,-802.3,-145.0,True,False,False,,False,False,False,True,,False,False,True,True,False,True,False,False,,,False,False,False,False,True
Nevada,2118,2641.0,2648.9,2651.0,2187.0,,2844.1,3121.0,2862.4,1818.3,,2967.0,2803.0,2718.4,2783.6,1956.3,2982.9,2653.8,2703.5,,,1914.2,2495.1,2975.2,2639.1,2539.0,523.0,530.9,533.0,69.0,,726.1,1003.0,744.4,-299.7,,849.0,685.0,600.4,665.6,-161.7,864.9,535.8,585.5,,,-203.8,377.1,857.2,521.1,421.0,False,False,True,,False,False,False,True,,False,False,False,False,True,False,False,False,,,True,True,False,True,True
New Hampshire,228,178.0,178.4,175.0,194.0,,157.7,3.0,162.4,187.8,,212.0,123.0,150.3,172.3,302.2,51.5,178.8,196.8,,,134.9,173.7,252.4,216.2,201.0,-50.0,-49.6,-53.0,-34.0,,-70.3,-225.0,-65.6,-40.2,,-16.0,-105.0,-77.7,-55.7,74.2,-176.5,-49.2,-31.2,,,-93.1,-54.3,24.4,-11.8,-27.0,True,False,True,,False,False,False,True,,True,False,False,False,False,False,True,True,,,False,False,True,True,True
New Jersey,2590,2427.0,2352.9,2473.0,2689.0,,1783.4,32.0,2241.5,2679.3,,1566.0,3047.0,2375.6,2568.5,3495.8,2959.9,2131.7,2457.5,,,2927.7,2487.6,2214.3,2223.0,2546.0,-163.0,-237.1,-117.0,99.0,,-806.6,-2558.0,-348.5,89.3,,-1024.0,457.0,-214.4,-21.5,905.8,369.9,-458.3,-132.5,,,337.7,-102.4,-375.7,-367.0,-44.0,False,True,True,,False,False,False,True,,False,False,False,True,False,False,False,True,,,False,True,False,False,True
New Mexico,613,870.0,871.4,776.0,765.0,,730.7,580.0,738.3,861.2,,945.0,1018.0,846.9,832.2,932.7,610.0,736.9,745.1,,,481.8,873.5,1080.4,787.6,860.0,257.0,258.4,163.0,152.0,,117.7,-33.0,125.3,248.2,,332.0,405.0,233.9,219.2,319.7,-3.0,123.9,132.1,,,-131.2,260.5,467.4,174.6,247.0,False,True,True,,True,True,True,True,,False,False,True,True,False,True,True,True,,,True,False,False,True,True
New York,4868,5370.0,5249.6,5260.0,6119.0,,4078.0,49.0,4704.9,5303.4,,3364.0,2951.0,5076.4,5567.4,7030.9,4621.3,4759.4,5613.3,,,6515.6,5270.5,5424.6,5099.9,5525.0,502.0,381.6,392.0,1251.0,,-790.0,-4819.0,-163.1,435.4,,-1504.0,-1917.0,208.4,699.4,2162.9,-246.7,-108.6,745.3,,,1647.6,402.5,556.6,231.9,657.0,True,True,False,,False,False,True,True,,False,False,True,False,False,True,True,False,,,False,True,False,True,False
North Carolina,8250,10739.0,10644.9,9992.0,10849.0,,10415.0,13668.0,8932.5,10725.0,,11253.0,11722.0,11848.5,12912.7,8814.5,8424.2,8307.2,10138.1,,,6334.7,9842.4,10918.3,9646.7,11671.0,2489.0,2394.9,1742.0,2599.0,,2165.0,5418.0,682.5,2475.0,,3003.0,3472.0,3598.5,4662.7,564.5,174.2,57.2,1888.1,,,-1915.3,1592.4,2668.3,1396.7,3421.0,True,True,False,,True,False,True,True,,False,False,False,False,True,True,True,True,,,True,True,False,True,False
North Dakota,1817,1850.0,1937.3,1912.0,1811.0,,2318.6,30.0,1800.2,1871.5,,2141.0,1782.0,2077.9,2396.4,859.4,2302.5,2213.6,1886.0,,,2140.9,2026.6,2041.1,2471.3,2075.0,33.0,120.3,95.0,-6.0,,501.6,-1787.0,-16.8,54.5,,324.0,-35.0,260.9,579.4,-957.6,485.5,396.6,69.0,,,323.9,209.6,224.1,654.3,258.0,False,False,True,,False,False,True,False,,False,False,False,False,False,False,False,False,,,False,False,False,False,False
Ohio,6783,8465.0,8467.8,8127.0,8901.0,,7561.1,6167.0,7052.9,8818.2,,8810.0,7897.0,8881.0,9126.3,9409.3,6860.0,6497.1,8097.5,,,4482.5,8180.1,7203.0,8194.6,8807.0,1682.0,1684.8,1344.0,2118.0,,778.1,-616.0,269.9,2035.2,,2027.0,1114.0,2098.0,2343.3,2626.3,77.0,-285.9,1314.5,,,-2300.5,1397.1,420.0,1411.6,2024.0,False,True,False,,True,True,True,False,,False,True,False,False,False,True,True,True,,,False,True,True,True,False
Oklahoma,5472,5834.0,5882.5,5282.0,6688.0,,5131.9,4450.0,4396.3,6942.6,,6618.0,5410.0,6172.8,7240.7,5423.7,4601.4,4469.2,5102.5,,,3825.5,5538.1,4769.5,6244.0,6322.0,362.0,410.5,-190.0,1216.0,,-340.1,-1022.0,-1075.7,1470.6,,1146.0,-62.0,700.8,1768.7,-48.3,-870.6,-1002.8,-369.5,,,-1646.5,66.1,-702.5,772.0,850.0,False,True,False,,True,False,False,False,,False,True,False,False,True,False,False,False,,,False,True,False,False,False
Oregon,1300,1563.0,1546.1,1529.0,1350.0,,1391.8,1512.0,1402.0,1520.0,,1585.0,1650.0,1491.0,1895.5,2822.6,1554.4,1369.9,1499.5,,,1175.9,1422.3,1502.4,1666.9,1557.0,263.0,246.1,229.0,50.0,,91.8,212.0,102.0,220.0,,285.0,350.0,191.0,595.5,1522.6,254.4,69.9,199.5,,,-124.1,122.3,202.4,366.9,257.0,True,True,True,,True,True,True,True,,False,False,True,False,False,True,True,True,,,True,True,True,False,True
Pennsylvania,5355,5704.0,5427.5,5375.0,6977.0,,5030.6,1051.0,4857.5,5712.5,,5505.0,4442.0,5943.4,6235.8,6601.2,4815.1,4657.7,5323.3,,,2843.3,6076.4,5267.5,6139.3,6122.0,349.0,72.5,20.0,1622.0,,-324.4,-4304.0,-497.5,357.5,,150.0,-913.0,588.4,880.8,1246.2,-539.9,-697.3,-31.7,,,-2511.7,721.4,-87.5,784.3,767.0,True,True,False,,True,False,False,False,,True,False,False,False,False,False,False,True,,,False,False,True,False,False
Rhode Island,662,560.0,562.3,512.0,521.0,,357.9,1.0,1055.1,617.1,,415.0,1237.0,581.2,503.5,661.3,876.1,241.0,426.8,,,91.0,597.9,644.4,524.7,423.0,-102.0,-99.7,-150.0,-141.0,,-304.1,-661.0,393.1,-44.9,,-247.0,575.0,-80.8,-158.5,-0.7,214.1,-421.0,-235.2,,,-571.0,-64.1,-17.6,-137.3,-239.0,True,False,False,,False,False,False,True,,False,False,True,False,True,False,False,False,,,False,True,True,False,False
South Carolina,5689,7040.0,6698.4,6478.0,8003.0,,5867.3,3718.0,5127.8,7552.5,,7501.0,6575.0,7372.9,9593.0,2605.7,4185.5,5629.6,6381.0,,,3277.3,6846.6,7151.2,6928.3,7588.0,1351.0,1009.4,789.0,2314.0,,178.3,-1971.0,-561.2,1863.5,,1812.0,886.0,1683.9,3904.0,-3083.3,-1503.5,-59.4,692.0,,,-2411.7,1157.6,1462.2,1239.3,1899.0,True,True,False,,True,False,True,False,,False,True,False,False,False,False,True,True,,,False,True,False,True,False
South Dakota,1548,1947.0,1889.7,1809.0,2487.0,,2208.7,73.0,1736.4,2131.6,,1761.0,1944.0,2447.3,2286.7,426.4,2473.8,1638.9,1628.2,,,1729.0,2212.9,2023.8,1667.2,2106.0,399.0,341.7,261.0,939.0,,660.7,-1475.0,188.4,583.6,,213.0,396.0,899.3,738.7,-1121.6,925.8,90.9,80.2,,,181.0,664.9,475.8,119.2,558.0,True,True,False,,False,False,True,False,,True,True,False,False,False,False,True,True,,,True,False,False,True,False
Tennessee,8529,10082.0,10067.3,9275.0,9017.0,,10540.3,7256.0,9653.9,10125.3,,11174.0,8402.0,10111.2,9543.9,8036.6,7391.2,10629.2,11128.9,,,7084.4,9171.2,10020.7,10773.5,9582.0,1553.0,1538.3,746.0,488.0,,2011.3,-1273.0,1124.9,1596.3,,2645.0,-127.0,1582.2,1014.9,-492.4,-1137.8,2100.2,2599.9,,,-1444.6,642.2,1491.7,2244.5,1053.0,True,True,True,,False,True,True,False,,False,True,False,True,True,True,False,False,,,True,True,True,False,True
Texas,22340,29064.0,28966.6,27751.0,29209.0,,23872.9,28441.0,27836.6,28856.1,,32565.0,34413.0,24783.0,32210.9,22480.6,30985.1,19649.1,25464.1,,,15950.6,26481.0,32837.3,25257.7,29867.0,6724.0,6626.6,5411.0,6869.0,,1532.9,6101.0,5496.6,6516.1,,10225.0,12073.0,2443.0,9870.9,140.6,8645.1,-2690.9,3124.1,,,-6389.4,4141.0,10497.3,2917.7,7527.0,True,True,False,,True,True,True,True,,False,False,True,False,True,False,True,True,,,True,True,False,True,False
Utah,2975,2866.0,2814.6,2664.0,2338.0,,3276.7,1803.0,2386.4,3109.2,,2988.0,2420.0,3008.9,2791.4,1770.6,3403.6,2782.9,2918.1,,,1532.4,2755.1,2829.9,2582.3,2947.0,-109.0,-160.4,-311.0,-637.0,,301.7,-1172.0,-588.6,134.2,,13.0,-555.0,33.9,-183.6,-1204.4,428.6,-192.1,-56.9,,,-1442.6,-219.9,-145.1,-392.7,-28.0,False,False,False,,False,False,False,False,,True,False,True,False,False,False,False,True,,,False,False,False,False,True
Vermont,30,42.0,42.2,42.0,56.0,,40.4,14.0,36.1,45.2,,32.0,53.0,59.8,54.7,115.5,66.8,11.9,27.8,,,29.8,47.2,51.8,32.8,43.0,12.0,12.2,12.0,26.0,,10.4,-16.0,6.1,15.2,,2.0,23.0,29.8,24.7,85.5,36.8,-18.1,-2.2,,,-0.2,17.2,21.8,2.8,13.0,False,False,False,,True,False,True,False,,True,False,False,False,False,False,False,True,,,True,False,False,True,False
