,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maryland,32479,40936.0,,40397.4,8540.0,42327.4,25571.0,23357.6,81053.7,59501.2,53523.0,8457.0,,7918.4,-23939.0,9848.4,-6908.0,-9121.4,48574.7,27022.2,21044.0,,True,False,False,True,False,False,False,False
Massachusetts,14926,14210.0,,12697.8,274.0,69827.2,12009.0,7884.4,31011.1,39041.7,15493.0,-716.0,,-2228.2,-14652.0,54901.2,-2917.0,-7041.6,16085.1,24115.7,567.0,,False,False,False,False,False,False,False,True
Michigan,37436,29988.0,,42687.3,5516.0,45547.5,43698.0,21945.1,53376.5,38165.6,24331.0,-7448.0,,5251.3,-31920.0,8111.5,6262.0,-15490.9,15940.5,729.6,-13105.0,,True,False,False,True,False,False,True,False
Minnesota,33297,33747.0,,33534.4,5317.0,14663.3,42776.0,24196.9,61774.0,62121.0,39752.0,450.0,,237.4,-27980.0,-18633.7,9479.0,-9100.1,28477.0,28824.0,6455.0,,True,False,False,False,False,False,False,False
Mississippi,38639,63945.0,,78255.6,48200.0,61874.8,53707.0,41693.6,53545.3,57136.3,32409.0,25306.0,,39616.6,9561.0,23235.8,15068.0,3054.6,14906.3,18497.3,-6230.0,,False,True,True,True,True,True,True,True
Missouri,61256,58310.0,,99324.0,45384.0,23585.6,38760.0,45734.3,61516.4,130314.0,58596.0,-2946.0,,38068.0,-15872.0,-37670.4,-22496.0,-15521.7,260.4,69058.0,-2660.0,,False,False,False,False,False,True,False,True
Montana,5666,5516.0,,14877.3,2166.0,27907.1,7097.0,4298.9,4125.8,7997.7,3850.0,-150.0,,9211.3,-3500.0,22241.1,1431.0,-1367.1,-1540.2,2331.7,-1816.0,,False,False,False,False,False,False,False,False
Nebraska,13725,13398.0,,15199.0,1598.0,2594.4,10905.0,7661.8,18170.4,18322.6,12317.0,-327.0,,1474.0,-12127.0,-11130.6,-2820.0,-6063.2,4445.4,4597.6,-1408.0,,False,False,False,False,False,False,False,False
Nevada,31404,51373.0,,67730.6,48343.0,70332.9,42457.0,32091.8,38733.7,25433.1,24967.0,19969.0,,36326.6,16939.0,38928.9,11053.0,687.8,7329.7,-5970.9,-6437.0,,False,True,False,True,True,True,True,True
New Hampshire,1237,1589.0,,821.6,108.0,2414.7,1125.0,862.2,1721.5,3489.6,2194.0,352.0,,-415.4,-1129.0,1177.7,-112.0,-374.8,484.5,2252.6,957.0,,False,False,False,True,False,False,False,False
New Jersey,17479,14308.0,,12548.6,277.0,95196.9,10812.0,10197.9,8151.4,17843.3,22638.0,-3171.0,,-4930.4,-17202.0,77717.9,-6667.0,-7281.1,-9327.6,364.3,5159.0,,False,False,False,False,False,False,True,False
New Mexico,7873,14364.0,,16353.8,4628.0,15793.0,11931.0,8565.0,14943.9,14014.1,10137.0,6491.0,,8480.8,-3245.0,7920.0,4058.0,692.0,7070.9,6141.1,2264.0,,False,True,False,True,True,False,True,True
New York,31711,34265.0,,29345.7,650.0,123995.3,14790.0,16482.0,28137.7,34578.3,30797.0,2554.0,,-2365.3,-31061.0,92284.3,-16921.0,-15229.0,-3573.3,2867.3,-914.0,,True,False,False,False,False,False,False,True
North Carolina,74818,93303.0,,95831.6,133624.0,75266.1,110460.0,48972.0,85851.1,64759.5,52117.0,18485.0,,21013.6,58806.0,448.1,35642.0,-25846.0,11033.1,-10058.5,-22701.0,,False,False,True,False,False,True,True,False
North Dakota,9415,5803.0,,8928.3,1044.0,4618.8,5183.0,4519.5,8376.7,9196.8,5531.0,-3612.0,,-486.7,-8371.0,-4796.2,-4232.0,-4895.5,-1038.3,-218.2,-3884.0,,True,False,False,False,False,True,True,False
Ohio,53384,65541.0,,85998.5,23844.0,32631.9,58443.0,33243.8,54055.4,51235.1,47076.0,12157.0,,32614.5,-29540.0,-20752.1,5059.0,-20140.2,671.4,-2148.9,-6308.0,,False,False,False,True,False,True,True,True
Oklahoma,38578,35168.0,,41968.5,29717.0,55168.9,55195.0,46990.9,23940.2,68435.6,42551.0,-3410.0,,3390.5,-8861.0,16590.9,16617.0,8412.9,-14637.8,29857.6,3973.0,,True,False,False,False,False,False,False,False
Oregon,12664,13685.0,,15623.6,16900.0,20201.8,11966.0,13158.5,13200.0,14444.7,12709.0,1021.0,,2959.6,4236.0,7537.8,-698.0,494.5,536.0,1780.7,45.0,,False,False,False,True,True,True,False,True
Pennsylvania,37520,44345.0,,56179.6,2125.0,42264.3,33621.0,20689.7,49276.5,49537.5,46223.0,6825.0,,18659.6,-35395.0,4744.3,-3899.0,-16830.3,11756.5,12017.5,8703.0,,False,False,True,True,False,False,False,False
Rhode Island,4681,3017.0,,4613.4,75.0,3746.1,4422.0,1112.8,2925.2,2889.2,1414.0,-1664.0,,-67.6,-4606.0,-934.9,-259.0,-3568.2,-1755.8,-1791.8,-3267.0,,True,False,True,True,False,False,False,False
South Carolina,49970,86772.0,,101862.0,95521.0,103810.6,68639.0,41420.1,60518.0,33881.5,32104.0,36802.0,,51892.0,45551.0,53840.6,18669.0,-8549.9,10548.0,-16088.5,-17866.0,,False,False,False,True,True,True,True,True
South Dakota,8132,3101.0,,2072.8,1126.0,5740.1,2232.0,2061.0,6708.6,6304.4,3565.0,-5031.0,,-6059.2,-7006.0,-2391.9,-5900.0,-6071.0,-1423.4,-1827.6,-4567.0,,False,False,True,False,False,True,True,True
Tennessee,80095,101220.0,,165395.8,107454.0,66599.8,84019.0,108970.0,83442.6,82759.4,77531.0,21125.0,,85300.8,27359.0,-13495.2,3924.0,28875.0,3347.6,2664.4,-2564.0,,False,False,True,True,False,True,True,True
Texas,291044,442260.0,,630808.6,568862.0,1285970.0,657706.0,108121.7,326558.0,147784.6,160475.0,151216.0,,339764.6,277818.0,994926.0,366662.0,-182922.3,35514.0,-143259.4,-130569.0,,False,False,False,False,False,True,True,True
Utah,19624,30037.0,,29725.5,39553.0,43854.4,25128.0,13055.5,26904.8,13707.1,15172.0,10413.0,,10101.5,19929.0,24230.4,5504.0,-6568.5,7280.8,-5916.9,-4452.0,,True,False,False,True,True,True,True,True
Vermont,281,406.0,,315.0,18.0,5.2,202.0,164.2,510.1,556.3,266.0,125.0,,34.0,-263.0,-275.8,-79.0,-116.8,229.1,275.3,-15.0,,True,False,False,True,True,False,False,True
Virginia,49259,50652.0,,52121.1,12404.0,28817.9,40410.0,29495.2,95373.2,54838.9,5041.0,1393.0,,2862.1,-36855.0,-20441.1,-8849.0,-19763.8,46114.2,5579.9,-44218.0,,False,False,False,False,False,False,False,False
Washington,28069,40761.0,,43095.4,37003.0,84995.1,30491.0,24460.0,47787.5,31356.2,31643.0,12692.0,,15026.4,8934.0,56926.1,2422.0,-3609.0,19718.5,3287.2,3574.0,,False,True,False,True,True,False,True,True
West Virginia,6753,6167.0,,10945.6,4063.0,1002.6,3376.0,4943.7,5596.2,10339.8,6931.0,-586.0,,4192.6,-2690.0,-5750.4,-3377.0,-1809.3,-1156.8,3586.8,178.0,,False,False,False,False,False,False,False,True
Wisconsin,39733,44695.0,,50699.5,15839.0,9578.5,38546.0,29900.1,39621.7,53004.4,34202.0,4962.0,,10966.5,-23894.0,-30154.5,-1187.0,-9832.9,-111.3,13271.4,-5531.0,,False,False,False,True,False,True,False,False
Wyoming,1867,2366.0,,3459.4,1196.0,7.2,1474.0,1462.5,3689.9,3243.9,2202.0,499.0,,1592.4,-671.0,-1859.8,-393.0,-404.5,1822.9,1376.9,335.0,,False,False,False,True,True,False,False,True
US,2308361,3266256.0,2344937.0,4296300.0,2760719.0,4657633.9,3137916.0,1656241.3,3326383.5,2491427.1,1876661.0,957895.0,36576.0,1987939.0,452358.0,2349272.9,829555.0,-652119.7,1018022.5,183066.1,-431700.0,True,False,True,False,True,True,False,True,True
