,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01025,168,692.0,,704.6,,252.0,881.0,,,,,268.0,190.1,,8.1,235.0,,,130.7,,462.6,,,,,,524.0,,536.6,,84.0,713.0,,,,,100.0,22.1,,-159.9,67.0,,,-37.3,,294.6,,,,,,,False,,True,False,,,,,True,True,,True,True,,,True,,True,,,,,
01027,170,176.0,,164.9,,90.0,162.0,,,,,60.0,120.7,,80.1,133.0,,,6.5,,103.1,,,,,,6.0,,-5.1,,-80.0,-8.0,,,,,-110.0,-49.3,,-89.9,-37.0,,,-163.5,,-66.9,,,,,,,True,,False,False,,,,,False,False,,False,False,,,False,,False,,,,,
01029,197,24.0,,21.8,,20.0,7.0,,,,,55.0,72.5,,4.3,21.9,,,5.7,,38.8,,,,,,-173.0,,-175.2,,-177.0,-190.0,,,,,-142.0,-124.5,,-192.7,-175.1,,,-191.3,,-158.2,,,,,,,False,,False,False,,,,,True,True,,False,False,,,False,,True,,,,,
01031,358,196.0,340.5,179.4,,177.0,117.0,,,,,341.0,262.3,,157.2,166.0,,,112.8,,471.9,,,,,,-162.0,-17.5,-178.6,,-181.0,-241.0,,,,,-17.0,-95.7,,-200.8,-192.0,,,-245.2,,113.9,,,,,,True,False,,False,False,,,,,True,True,,False,False,,,False,,True,,,,,
01033,249,376.0,1004.5,391.3,,317.0,217.0,,,,,338.0,400.4,,176.5,244.6,,,159.1,,464.5,,,,,,127.0,755.5,142.3,,68.0,-32.0,,,,,89.0,151.4,,-72.5,-4.4,,,-89.9,,215.5,,,,,,False,False,,True,True,,,,,True,False,,True,True,,,True,,False,,,,,
01035,77,56.0,,56.5,,47.0,36.0,,,,,119.0,81.4,,11.0,40.4,0.0,,70.5,,45.6,,,,,,-21.0,,-20.5,,-30.0,-41.0,,,,,42.0,4.4,,-66.0,-36.6,-77.0,,-6.5,,-31.4,,,,,,,True,,False,False,,,,,False,True,,False,False,False,,True,,False,,,,,
01037,39,20.0,,22.1,,22.0,27.0,,,,,31.0,46.9,,0.7,9.3,28.9,,5.3,,54.3,,,,,,-19.0,,-16.9,,-17.0,-12.0,,,,,-8.0,7.9,,-38.3,-29.7,-10.1,,-33.7,,15.3,,,,,,,True,,True,True,,,,,True,True,,False,False,True,,False,,True,,,,,
01039,309,148.0,,131.0,,109.0,43.0,,,,,319.0,317.7,,76.2,109.4,111.3,,41.0,,104.7,,,,,,-161.0,,-178.0,,-200.0,-266.0,,,,,10.0,8.7,,-232.8,-199.6,-197.7,,-268.0,,-204.3,,,,,,,False,,False,False,,,,,True,True,,False,False,False,,False,,False,,,,,
01041,115,132.0,,152.9,,75.0,76.0,,,,,78.0,79.8,,27.7,72.4,0.1,,124.4,,307.1,,,,,,17.0,,37.9,,-40.0,-39.0,,,,,-37.0,-35.2,,-87.3,-42.6,-114.9,,9.4,,192.1,,,,,,,False,,False,False,,,,,False,False,,False,False,False,,True,,False,,,,,
01043,379,152.0,1548.1,203.4,,218.0,47.0,,,,,483.0,627.2,,90.1,185.5,226.4,,197.8,,452.9,,,,,,-227.0,1169.1,-175.6,,-161.0,-332.0,,,,,104.0,248.2,,-288.9,-193.5,-152.6,,-181.2,,73.9,,,,,,False,True,,True,False,,,,,True,False,,False,True,True,,True,,True,,,,,
01045,339,176.0,,194.1,,148.0,61.0,,,,,326.0,290.6,,100.2,144.1,136.7,,112.5,,261.9,,,,,,-163.0,,-144.9,,-191.0,-278.0,,,,,-13.0,-48.4,,-238.8,-194.9,-202.3,,-226.5,,-77.1,,,,,,,True,,False,False,,,,,True,True,,False,False,False,,False,,True,,,,,
01047,237,180.0,,180.5,,116.0,79.0,,,,,366.0,192.5,,64.7,124.1,2.9,,33.4,,134.3,,,,,,-57.0,,-56.5,,-121.0,-158.0,,,,,129.0,-44.5,,-172.3,-112.9,-234.1,,-203.6,,-102.7,,,,,,,True,,False,False,,,,,False,True,,False,False,False,,False,,False,,,,,
01049,308,380.0,1021.1,387.1,,265.0,216.0,,,,,566.0,508.6,,189.9,232.4,177.2,,142.4,,272.0,,,,,,72.0,713.1,79.1,,-43.0,-92.0,,,,,258.0,200.6,,-118.1,-75.6,-130.8,,-165.6,,-36.0,,,,,,False,False,,True,False,,,,,False,False,,False,False,False,,False,,True,,,,,
01051,524,340.0,810.2,375.4,,293.0,211.0,,,,,405.0,400.8,,235.2,336.9,203.1,,298.8,,274.2,,,,,,-184.0,286.2,-148.6,,-231.0,-313.0,,,,,-119.0,-123.2,,-288.8,-187.1,-320.9,,-225.2,,-249.8,,,,,,False,True,,False,False,,,,,True,True,,False,False,False,,False,,False,,,,,
01053,277,116.0,,143.0,,100.0,122.0,,,,,488.0,364.0,,41.4,98.4,0.7,,74.8,,108.1,,,,,,-161.0,,-134.0,,-177.0,-155.0,,,,,211.0,87.0,,-235.6,-178.6,-276.3,,-202.2,,-168.9,,,,,,,True,,False,True,,,,,False,True,,False,False,False,,False,,False,,,,,
01055,816,496.0,2072.8,499.5,,427.0,221.0,,,,,742.0,925.6,,304.1,440.4,385.7,,437.0,,367.4,,,,,,-320.0,1256.8,-316.5,,-389.0,-595.0,,,,,-74.0,109.6,,-511.9,-375.6,-430.3,,-379.0,,-448.6,,,,,,False,True,,False,False,,,,,True,True,,False,False,False,,False,,False,,,,,
01057,141,132.0,,130.1,,106.0,179.0,,,,,89.0,146.5,,53.4,109.6,72.9,,121.3,,89.1,,,,,,-9.0,,-10.9,,-35.0,38.0,,,,,-52.0,5.5,,-87.6,-31.4,-68.1,,-19.7,,-51.9,,,,,,,False,,False,False,,,,,False,True,,False,False,False,,False,,False,,,,,
01059,339,220.0,,210.3,,214.0,283.0,,,,,278.0,93.0,,161.3,266.6,21.9,,271.7,,185.9,,,,,,-119.0,,-128.7,,-125.0,-56.0,,,,,-61.0,-246.0,,-177.7,-72.4,-317.1,,-67.3,,-153.1,,,,,,,False,,False,True,,,,,True,False,,False,True,False,,True,,False,,,,,
01061,195,84.0,,89.3,,88.0,50.0,,,,,230.0,181.7,,30.1,75.9,94.7,,53.2,,309.4,,,,,,-111.0,,-105.7,,-107.0,-145.0,,,,,35.0,-13.3,,-164.9,-119.1,-100.3,,-141.8,,114.4,,,,,,,True,,True,False,,,,,True,True,,False,False,True,,False,,False,,,,,
01063,29,28.0,,20.9,,21.0,11.0,,,,,53.0,30.0,,7.3,24.9,0.1,,44.7,,21.0,,,,,,-1.0,,-8.1,,-8.0,-18.0,,,,,24.0,1.0,,-21.7,-4.1,-28.9,,15.7,,-8.0,,,,,,,False,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01065,79,88.0,,91.8,,72.0,83.0,,,,,119.0,55.6,,13.2,71.2,3.0,,48.4,,102.1,,,,,,9.0,,12.8,,-7.0,4.0,,,,,40.0,-23.4,,-65.8,-7.8,-76.0,,-30.6,,23.1,,,,,,,False,,True,True,,,,,False,False,,False,True,False,,False,,False,,,,,
01067,138,60.0,,66.4,,53.0,36.0,,,,,75.0,89.1,,9.5,42.5,57.3,,24.0,,54.9,,,,,,-78.0,,-71.6,,-85.0,-102.0,,,,,-63.0,-48.9,,-128.5,-95.5,-80.7,,-114.0,,-83.1,,,,,,,True,,False,False,,,,,True,True,,False,False,False,,False,,False,,,,,
01069,875,496.0,1468.5,460.7,,433.0,593.0,,,,,709.0,582.3,,289.1,292.3,271.8,,323.2,,1040.7,,,,,,-379.0,593.5,-414.3,,-442.0,-282.0,,,,,-166.0,-292.7,,-585.9,-582.7,-603.2,,-551.8,,165.7,,,,,,False,False,,False,True,,,,,True,True,,False,False,False,,False,,True,,,,,
01071,255,608.0,722.5,607.9,,433.0,685.0,,,,,325.0,550.6,,379.2,340.0,241.3,,460.1,,430.6,,,,,,353.0,467.5,352.9,,178.0,430.0,,,,,70.0,295.6,,124.2,85.0,-13.7,,205.1,,175.6,,,,,,False,True,,True,False,,,,,True,True,,True,True,True,,True,,True,,,,,
01073,3874,3744.0,13967.6,3290.0,3016.8,2744.0,1855.0,,,,,3946.0,4338.7,,2917.9,2422.9,1225.6,,1319.7,,2546.9,1784.0,,,,,-130.0,10093.6,-584.0,-857.2,-1130.0,-2019.0,,,,,72.0,464.7,,-956.1,-1451.1,-2648.4,,-2554.3,,-1327.1,-2090.0,,,,,False,False,False,False,False,,,,,True,False,,False,False,False,,False,,False,False,,,,
01075,61,76.0,,83.6,,61.0,62.0,,,,,74.0,98.1,,17.5,52.4,73.5,,19.0,,39.3,,,,,,15.0,,22.6,,0.0,1.0,,,,,13.0,37.1,,-43.5,-8.6,12.5,,-42.0,,-21.7,,,,,,,False,,True,True,,,,,True,False,,False,True,True,,False,,False,,,,,
01077,307,296.0,607.2,305.8,,272.0,133.0,,,,,487.0,607.6,,148.4,215.4,230.2,,128.8,,376.1,,,,,,-11.0,300.2,-1.2,,-35.0,-174.0,,,,,180.0,300.6,,-158.6,-91.6,-76.8,,-178.2,,69.1,,,,,,False,True,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01079,171,76.0,,82.6,,86.0,25.0,,,,,200.0,225.6,,38.8,69.7,156.4,,72.4,,132.8,,,,,,-95.0,,-88.4,,-85.0,-146.0,,,,,29.0,54.6,,-132.2,-101.3,-14.6,,-98.6,,-38.2,,,,,,,True,,True,False,,,,,True,True,,False,False,True,,False,,True,,,,,
01081,2434,400.0,2061.2,376.1,,328.0,191.0,,,,,706.0,871.4,,252.9,319.9,316.4,,206.9,,352.3,160.0,,,,,-2034.0,-372.8,-2057.9,,-2106.0,-2243.0,,,,,-1728.0,-1562.6,,-2181.1,-2114.1,-2117.6,,-2227.1,,-2081.7,-2274.0,,,,,True,False,,False,False,,,,,True,True,,False,False,False,,False,,False,False,,,,
01083,375,456.0,1076.0,440.5,,382.0,323.0,,,,,480.0,536.0,,379.9,388.8,272.7,,216.2,,393.5,,,,,,81.0,701.0,65.5,,7.0,-52.0,,,,,105.0,161.0,,4.9,13.8,-102.3,,-158.8,,18.5,,,,,,False,True,,True,True,,,,,False,False,,True,True,False,,False,,True,,,,,
01085,39,24.0,,16.2,,14.0,9.0,,,,,60.0,22.6,,2.8,33.8,0.6,,4.5,,16.7,,,,,,-15.0,,-22.8,,-25.0,-30.0,,,,,21.0,-16.4,,-36.2,-5.2,-38.4,,-34.5,,-22.3,,,,,,,False,,False,False,,,,,False,False,,False,True,False,,False,,False,,,,,
01087,95,44.0,,39.2,,36.0,37.0,,,,,74.0,101.4,,4.3,33.7,8.7,,33.9,,66.9,,,,,,-51.0,,-55.8,,-59.0,-58.0,,,,,-21.0,6.4,,-90.7,-61.3,-86.3,,-61.1,,-28.1,,,,,,,False,,False,False,,,,,True,True,,False,False,False,,False,,True,,,,,
01089,1366,1388.0,8911.3,1276.5,1130.7,1034.0,1007.0,,,,,1605.0,2345.4,,990.6,854.2,656.4,,361.6,,1054.6,423.0,,,,,22.0,7545.3,-89.5,-235.3,-332.0,-359.0,,,,,239.0,979.4,,-375.4,-511.8,-709.6,,-1004.4,,-311.4,-943.0,,,,,False,False,False,False,False,,,,,False,False,,False,False,False,,False,,False,False,,,,
01091,93,120.0,,127.8,,94.0,118.0,,,,,192.0,94.2,,32.9,93.3,0.7,,81.7,,170.8,,,,,,27.0,,34.8,,1.0,25.0,,,,,99.0,1.2,,-60.1,0.3,-92.3,,-11.3,,77.8,,,,,,,False,,True,True,,,,,False,True,,False,True,False,,True,,False,,,,,
01093,229,120.0,,98.9,,94.0,62.0,,,,,189.0,214.2,,71.9,107.6,88.2,,55.3,,95.7,,,,,,-109.0,,-130.1,,-135.0,-167.0,,,,,-40.0,-14.8,,-157.1,-121.4,-140.8,,-173.7,,-133.3,,,,,,,False,,False,False,,,,,True,True,,False,False,False,,False,,False,,,,,
01095,431,388.0,1660.4,413.9,,240.0,148.0,,,,,703.0,588.1,,103.4,193.9,168.2,,85.8,,271.8,,,,,,-43.0,1229.4,-17.1,,-191.0,-283.0,,,,,272.0,157.1,,-327.6,-237.1,-262.8,,-345.2,,-159.2,,,,,,False,True,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01097,1710,4500.0,4457.2,4473.9,3527.7,2895.0,2908.0,,,,,4219.0,3059.9,,1806.6,2048.0,2166.4,,1072.7,,5800.6,1828.0,,,,,2790.0,2747.2,2763.9,1817.7,1185.0,1198.0,,,,,2509.0,1349.9,,96.6,338.0,456.4,,-637.3,,4090.6,118.0,,,,,True,True,True,True,True,,,,,True,True,,True,True,True,,True,,False,True,,,,
01099,68,52.0,,60.5,,45.0,30.0,,,,,170.0,150.3,,8.7,42.8,26.5,,64.7,,40.3,,,,,,-16.0,,-7.5,,-23.0,-38.0,,,,,102.0,82.3,,-59.3,-25.2,-41.5,,-3.3,,-27.7,,,,,,,True,,False,False,,,,,False,False,,False,False,False,,True,,False,,,,,
01101,1208,1840.0,701.5,1835.1,1042.2,1138.0,1651.0,,,,,1694.0,757.4,,751.0,1115.4,857.2,,1527.3,,1938.4,1057.0,,,,,632.0,-506.5,627.1,-165.8,-70.0,443.0,,,,,486.0,-450.6,,-457.0,-92.6,-350.8,,319.3,,730.4,-151.0,,,,,True,True,True,True,True,,,,,True,True,,True,True,True,,True,,False,True,,,,
01103,527,476.0,607.4,458.4,,388.0,223.0,,,,,724.0,708.1,,226.6,342.2,255.1,,319.4,,430.9,,,,,,-51.0,80.4,-68.6,,-139.0,-304.0,,,,,197.0,181.1,,-300.4,-184.8,-271.9,,-207.6,,-96.1,,,,,,False,False,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01105,42,60.0,,58.9,,44.0,36.0,,,,,57.0,63.5,,17.0,44.1,0.0,,15.6,,78.0,,,,,,18.0,,16.9,,2.0,-6.0,,,,,15.0,21.5,,-25.0,2.1,-42.0,,-26.4,,36.0,,,,,,,True,,True,True,,,,,True,False,,False,True,False,,False,,False,,,,,
01107,162,168.0,,169.4,,116.0,149.0,,,,,144.0,116.3,,79.6,121.8,56.1,,115.6,,101.4,,,,,,6.0,,7.4,,-46.0,-13.0,,,,,-18.0,-45.7,,-82.4,-40.2,-105.9,,-46.4,,-60.6,,,,,,,False,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01109,319,76.0,,40.4,,61.0,42.0,,,,,214.0,120.0,,9.1,57.9,0.1,,122.6,,134.6,,,,,,-243.0,,-278.6,,-258.0,-277.0,,,,,-105.0,-199.0,,-309.9,-261.1,-318.9,,-196.4,,-184.4,,,,,,,False,,False,False,,,,,True,True,,False,False,False,,True,,True,,,,,
01111,135,52.0,,66.9,,49.0,8.0,,,,,123.0,112.7,,8.5,29.2,48.6,,50.8,,46.1,,,,,,-83.0,,-68.1,,-86.0,-127.0,,,,,-12.0,-22.3,,-126.5,-105.8,-86.4,,-84.2,,-88.9,,,,,,,True,,False,False,,,,,True,True,,False,False,False,,False,,False,,,,,
01113,228,188.0,1083.1,196.9,,152.0,93.0,,,,,344.0,273.8,,28.4,101.9,47.0,,57.3,,451.0,,,,,,-40.0,855.1,-31.1,,-76.0,-135.0,,,,,116.0,45.8,,-199.6,-126.1,-181.0,,-170.7,,223.0,,,,,,False,True,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01115,584,268.0,758.2,253.0,,257.0,104.0,,,,,423.0,614.4,,168.8,256.2,327.9,,140.3,,228.7,,,,,,-316.0,174.2,-331.0,,-327.0,-480.0,,,,,-161.0,30.4,,-415.2,-327.8,-256.1,,-443.7,,-355.3,,,,,,True,False,,False,False,,,,,True,True,,False,False,True,,False,,False,,,,,
01117,1571,824.0,3984.3,808.8,,670.0,456.0,,,,,1031.0,1446.6,,693.5,676.5,369.5,,591.3,,598.4,438.0,,,,,-747.0,2413.3,-762.2,,-901.0,-1115.0,,,,,-540.0,-124.4,,-877.5,-894.5,-1201.5,,-979.7,,-972.6,-1133.0,,,,,False,False,,False,False,,,,,True,True,,False,False,False,,False,,False,False,,,,
01119,32,52.0,,32.5,,36.0,51.0,,,,,87.0,16.2,,4.6,34.5,0.2,,54.8,,60.2,,,,,,20.0,,0.5,,4.0,19.0,,,,,55.0,-15.8,,-27.4,2.5,-31.8,,22.8,,28.2,,,,,,,True,,True,True,,,,,False,True,,False,True,False,,False,,False,,,,,
01121,524,452.0,849.5,484.3,,412.0,276.0,,,,,489.0,772.2,,283.3,353.2,257.1,,341.6,,474.1,,,,,,-72.0,325.5,-39.7,,-112.0,-248.0,,,,,-35.0,248.2,,-240.7,-170.8,-266.9,,-182.4,,-49.9,,,,,,False,True,,False,False,,,,,True,False,,False,False,False,,False,,True,,,,,
01123,134,132.0,,131.6,,94.0,94.0,,,,,228.0,190.2,,24.5,85.1,29.1,,31.7,,156.6,,,,,,-2.0,,-2.4,,-40.0,-40.0,,,,,94.0,56.2,,-109.5,-48.9,-104.9,,-102.3,,22.6,,,,,,,False,,False,False,,,,,False,False,,False,False,False,,False,,False,,,,,
01125,2108,884.0,794.9,853.2,,713.0,604.0,,,,,1255.0,900.9,,717.7,745.6,390.7,,1015.2,,708.8,492.0,,,,,-1224.0,-1313.1,-1254.8,,-1395.0,-1504.0,,,,,-853.0,-1207.1,,-1390.3,-1362.4,-1717.3,,-1092.8,,-1399.2,-1616.0,,,,,False,False,,False,False,,,,,True,True,,False,False,False,,True,,False,False,,,,
01127,484,316.0,363.4,301.4,,239.0,236.0,,,,,463.0,340.1,,184.8,348.6,99.2,,210.2,,223.9,,,,,,-168.0,-120.6,-182.6,,-245.0,-248.0,,,,,-21.0,-143.9,,-299.2,-135.4,-384.8,,-273.8,,-260.1,,,,,,True,False,,False,False,,,,,True,True,,False,True,False,,False,,False,,,,,
01129,65,312.0,,313.9,,130.0,388.0,,,,,155.0,156.6,,15.6,126.2,79.4,,101.1,,267.4,,,,,,247.0,,248.9,,65.0,323.0,,,,,90.0,91.6,,-49.4,61.2,14.4,,36.1,,202.4,,,,,,,False,,True,False,,,,,True,True,,True,True,True,,True,,True,,,,,
01131,60,88.0,,91.8,,47.0,63.0,,,,,71.0,39.9,,20.3,58.8,1.1,,32.6,,51.2,,,,,,28.0,,31.8,,-13.0,3.0,,,,,11.0,-20.1,,-39.7,-1.2,-58.9,,-27.4,,-8.8,,,,,,,False,,True,True,,,,,True,True,,False,True,False,,True,,True,,,,,
01133,181,56.0,,56.1,,76.0,34.0,,,,,163.0,133.9,,55.3,99.3,76.2,,78.3,,36.1,,,,,,-125.0,,-124.9,,-105.0,-147.0,,,,,-18.0,-47.1,,-125.7,-81.7,-104.8,,-102.7,,-144.9,,,,,,,True,,True,False,,,,,True,True,,False,True,True,,True,,False,,,,,
02013,6,0.0,,0.7,,0.0,0.0,,,,,,9.9,,,0.5,,,0.3,,0.1,,,,,,-6.0,,-5.3,,-6.0,-6.0,,,,,,3.9,,,-5.5,,,-5.7,,-5.9,,,,,,,True,,False,False,,,,,,True,,,True,,,True,,True,,,,,
02016,5,4.0,,5.2,,4.0,0.0,,,,,,19.8,,,0.9,,,4.1,,3.4,,,,,,-1.0,,0.2,,-1.0,-5.0,,,,,,14.8,,,-4.1,,,-0.9,,-1.6,,,,,,,True,,False,False,,,,,,False,,,False,,,True,,False,,,,,
02020,1113,1232.0,2042.3,1044.1,,1001.0,1539.0,,,,,,2575.9,,906.1,911.5,677.0,,972.4,,1731.4,731.0,,,,,119.0,929.3,-68.9,,-112.0,426.0,,,,,,1462.9,,-206.9,-201.5,-436.0,,-140.6,,618.4,-382.0,,,,,False,True,,True,False,,,,,,False,,False,False,False,,False,,False,False,,,,
02050,53,28.0,,29.5,,7.0,0.0,,,,,,14.7,,6.9,21.2,,,4.4,,26.1,,,,,,-25.0,,-23.5,,-46.0,-53.0,,,,,,-38.3,,-46.1,-31.8,,,-48.6,,-26.9,,,,,,,True,,False,False,,,,,,False,,False,False,,,False,,False,,,,,
