,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01033,334,605.0,1041.7,407.0,,,,509.5,,303.4,,622.7,,,271.0,707.7,73.0,,,,175.5,,-30.6,,288.7,,,False,True,,,,True,,True,,False,,
01035,93,125.0,,111.0,,,,132.1,,47.3,,72.9,,,32.0,,18.0,,,,39.1,,-45.7,,-20.1,,,,True,,,,False,,False,,True,,
01037,46,60.0,,54.0,,,,54.9,,35.2,,76.2,,,14.0,,8.0,,,,8.9,,-10.8,,30.2,,,,True,,,,True,,True,,False,,
01039,365,250.0,,133.0,,,,452.6,,44.9,,148.3,,,-115.0,,-232.0,,,,87.6,,-320.1,,-216.7,,,,False,,,,True,,False,,False,,
01041,163,175.0,,193.0,,,,88.3,,47.2,,182.8,,,12.0,,30.0,,,,-74.7,,-115.8,,19.8,,,,False,,,,False,,False,,False,,
01043,445,650.0,1693.5,628.0,,,,868.3,,166.3,,720.6,,,205.0,1248.5,183.0,,,,423.3,,-278.7,,275.6,,,False,True,,,,False,,False,,False,,
01045,386,320.0,,98.0,,,,506.2,,178.4,,361.3,,,-66.0,,-288.0,,,,120.2,,-207.6,,-24.7,,,,False,,,,False,,False,,True,,
01047,302,265.0,,174.0,,,,243.9,,68.1,,161.8,,,-37.0,,-128.0,,,,-58.1,,-233.9,,-140.2,,,,False,,,,False,,False,,False,,
01049,394,740.0,1183.8,738.0,,,,829.1,,500.0,,509.2,,,346.0,789.8,344.0,,,,435.1,,106.0,,115.2,,,False,True,,,,False,,True,,True,,
01051,639,765.0,1540.3,457.0,,,,617.9,,448.5,,654.3,,,126.0,901.3,-182.0,,,,-21.1,,-190.5,,15.3,,,False,False,,,,True,,False,,True,,
01053,329,615.0,,398.0,,,,638.5,,291.1,,321.4,,,286.0,,69.0,,,,309.5,,-37.9,,-7.6,,,,True,,,,False,,True,,True,,
01055,986,1100.0,1951.4,753.0,,,,1585.2,,885.2,,688.9,,,114.0,965.4,-233.0,,,,599.2,,-100.8,,-297.1,,,False,False,,,,False,,True,,False,,
01057,180,185.0,,308.0,,,,184.3,,200.3,,132.8,,,5.0,,128.0,,,,4.3,,20.3,,-47.2,,,,False,,,,True,,False,,False,,
01059,388,525.0,,687.0,,,,118.4,,232.4,,410.2,,,137.0,,299.0,,,,-269.6,,-155.6,,22.2,,,,False,,,,False,,False,,True,,
01061,215,205.0,,212.0,,,,314.8,,34.6,,101.3,,,-10.0,,-3.0,,,,99.8,,-180.4,,-113.7,,,,True,,,,False,,False,,False,,
01063,37,55.0,,35.0,,,,43.2,,9.2,,41.8,,,18.0,,-2.0,,,,6.2,,-27.8,,4.8,,,,True,,,,True,,False,,True,,
01065,103,125.0,,118.0,,,,76.8,,24.3,,135.2,,,22.0,,15.0,,,,-26.2,,-78.7,,32.2,,,,True,,,,False,,False,,False,,
01067,153,105.0,,101.0,,,,123.6,,28.6,,53.6,,,-48.0,,-52.0,,,,-29.4,,-124.4,,-99.4,,,,False,,,,True,,False,,False,,
01069,1012,555.0,1757.6,184.0,,,,904.8,,248.1,,2649.5,,,-457.0,745.6,-828.0,,,,-107.2,,-763.9,,1637.5,,,False,False,,,,True,,False,,False,,
01071,394,925.0,1415.4,2053.0,,,,722.5,,749.4,,668.8,,,531.0,1021.4,1659.0,,,,328.5,,355.4,,274.8,,,False,False,,,,True,,True,,True,,
01073,4818,7520.0,9467.5,11404.0,,,,6670.2,,7013.7,,5333.4,,,2702.0,4649.5,6586.0,,,,1852.2,,2195.7,,515.4,,,False,False,,,,True,,True,,True,,
01075,80,145.0,,173.0,,,,139.3,,68.5,,62.8,,,65.0,,93.0,,,,59.3,,-11.5,,-17.2,,,,False,,,,True,,True,,True,,
01077,376,645.0,1260.9,497.0,,,,965.3,,342.1,,562.0,,,269.0,884.9,121.0,,,,589.3,,-33.9,,186.0,,,False,True,,,,False,,True,,True,,
01079,195,250.0,,222.0,,,,351.9,,90.5,,427.3,,,55.0,,27.0,,,,156.9,,-104.5,,232.3,,,,True,,,,False,,False,,False,,
01081,2599,1025.0,3123.4,1183.0,,,,1486.7,,925.7,,681.1,,,-1574.0,524.4,-1416.0,,,,-1112.3,,-1673.3,,-1917.9,,,True,True,,,,True,,False,,False,,
01083,498,815.0,2061.3,835.0,,,,809.6,,721.3,,828.0,,,317.0,1563.3,337.0,,,,311.6,,223.3,,330.0,,,False,False,,,,True,,True,,False,,
01085,50,130.0,,27.0,,,,30.5,,14.6,,68.2,,,80.0,,-23.0,,,,-19.5,,-35.4,,18.2,,,,True,,,,True,,True,,True,,
01087,115,150.0,,110.0,,,,145.4,,29.5,,144.5,,,35.0,,-5.0,,,,30.4,,-85.5,,29.5,,,,True,,,,True,,False,,True,,
01089,1684,2485.0,5936.1,1727.0,,,,4481.9,,1850.8,,2249.5,,,801.0,4252.1,43.0,,,,2797.9,,166.8,,565.5,,,False,True,,,,False,,True,,True,,
01091,127,235.0,,186.0,,,,124.8,,80.5,,332.8,,,108.0,,59.0,,,,-2.2,,-46.5,,205.8,,,,True,,,,True,,True,,False,,
01093,270,210.0,,111.0,,,,296.1,,103.4,,220.0,,,-60.0,,-159.0,,,,26.1,,-166.6,,-50.0,,,,False,,,,True,,False,,True,,
01095,507,1260.0,2572.8,1153.0,,,,1183.2,,936.1,,685.9,,,753.0,2065.8,646.0,,,,676.2,,429.1,,178.9,,,False,True,,,,True,,True,,True,,
01097,2808,6850.0,7611.0,5388.0,,,,4121.9,,4877.1,,9494.1,,,4042.0,4803.0,2580.0,,,,1313.9,,2069.1,,6686.1,,,False,True,,,,True,,True,,False,,
01099,93,170.0,,112.0,,,,195.7,,30.9,,121.2,,,77.0,,19.0,,,,102.7,,-62.1,,28.2,,,,True,,,,False,,True,,True,,
01101,1567,2580.0,4863.3,3022.0,,,,1170.2,,2434.7,,2633.1,,,1013.0,3296.3,1455.0,,,,-396.8,,867.7,,1066.1,,,False,False,,,,True,,True,,False,,
01103,645,1065.0,1850.3,1032.0,,,,1160.9,,576.3,,619.7,,,420.0,1205.3,387.0,,,,515.9,,-68.7,,-25.3,,,False,True,,,,False,,True,,True,,
01105,59,105.0,,89.0,,,,111.7,,23.9,,77.4,,,46.0,,30.0,,,,52.7,,-35.1,,18.4,,,,True,,,,False,,True,,True,,
01107,202,165.0,,137.0,,,,144.8,,120.9,,90.4,,,-37.0,,-65.0,,,,-57.2,,-81.1,,-111.6,,,,False,,,,False,,False,,False,,
01109,354,295.0,,255.0,,,,198.2,,82.5,,343.3,,,-59.0,,-99.0,,,,-155.8,,-271.5,,-10.7,,,,False,,,,False,,False,,True,,
01111,151,50.0,,9.0,,,,203.7,,20.2,,152.8,,,-101.0,,-142.0,,,,52.7,,-130.8,,1.8,,,,False,,,,True,,False,,True,,
01113,276,865.0,1142.9,1020.0,,,,526.1,,532.5,,1186.4,,,589.0,866.9,744.0,,,,250.1,,256.5,,910.4,,,False,False,,,,True,,True,,False,,
01115,669,795.0,1526.5,698.0,,,,1051.5,,534.7,,515.1,,,126.0,857.5,29.0,,,,382.5,,-134.3,,-153.9,,,False,True,,,,False,,False,,False,,
01117,1801,1530.0,3635.3,1527.0,,,,2127.3,,1203.7,,1164.7,,,-271.0,1834.3,-274.0,,,,326.3,,-597.3,,-636.3,,,False,False,,,,False,,False,,False,,
01119,48,0.0,,35.0,,,,20.6,,0.3,,25.8,,,-48.0,,-13.0,,,,-27.4,,-47.7,,-22.2,,,,True,,,,True,,True,,True,,
01121,667,735.0,2176.0,596.0,,,,1083.9,,503.9,,1235.7,,,68.0,1509.0,-71.0,,,,416.9,,-163.1,,568.7,,,False,False,,,,False,,False,,False,,
01123,181,265.0,,240.0,,,,273.2,,103.4,,311.6,,,84.0,,59.0,,,,92.2,,-77.6,,130.6,,,,True,,,,False,,True,,False,,
01125,2357,1695.0,1560.4,1865.0,,,,1353.3,,1129.9,,1109.1,,,-662.0,-796.6,-492.0,,,,-1003.7,,-1227.1,,-1247.9,,,False,True,,,,False,,False,,False,,
01127,580,350.0,344.6,142.0,,,,460.8,,117.8,,212.6,,,-230.0,-235.4,-438.0,,,,-119.2,,-462.2,,-367.4,,,False,False,,,,True,,False,,False,,
01129,141,410.0,,377.0,,,,189.7,,170.2,,288.3,,,269.0,,236.0,,,,48.7,,29.2,,147.3,,,,True,,,,True,,True,,True,,
01131,86,130.0,,99.0,,,,60.5,,42.9,,86.1,,,44.0,,13.0,,,,-25.5,,-43.1,,0.1,,,,True,,,,True,,True,,True,,
01133,203,120.0,,89.0,,,,228.6,,66.6,,67.2,,,-83.0,,-114.0,,,,25.6,,-136.4,,-135.8,,,,False,,,,True,,False,,False,,
02013,6,5.0,,0.0,,,,30.0,,,,,,,-1.0,,-6.0,,,,24.0,,,,,,,,False,,,,False,,,,,,
02016,6,0.0,,0.0,,,,30.6,,,,,,,-6.0,,-6.0,,,,24.6,,,,,,,,False,,,,False,,,,,,
02020,1430,1655.0,3456.7,629.0,,,,4020.0,,859.3,,2599.8,,,225.0,2026.7,-801.0,,,,2590.0,,-570.7,,1169.8,,,False,False,,,,False,,False,,False,,
02050,60,10.0,,0.0,,,,10.9,,0.9,,,,,-50.0,,-60.0,,,,-49.1,,-59.1,,,,,,False,,,,True,,False,,,,
02060,0,15.0,,0.0,,,,0.0,,1.4,,12.2,,,15.0,,0.0,,,,0.0,,1.4,,12.2,,,,True,,,,True,,True,,True,,
02068,2,0.0,,0.0,,,,5.0,,,,,,,-2.0,,-2.0,,,,3.0,,,,,,,,False,,,,False,,,,,,
02070,5,0.0,,0.0,,,,20.4,,0.0,,,,,-5.0,,-5.0,,,,15.4,,-5.0,,,,,,False,,,,False,,True,,,,
02090,439,140.0,400.5,,,,,526.9,,104.9,,276.9,,,-299.0,-38.5,,,,,87.9,,-334.1,,-162.1,,,True,,,,,True,,False,,True,,
02100,0,0.0,,0.0,,,,2.6,,,,,,,0.0,,0.0,,,,2.6,,,,,,,,True,,,,False,,,,,,
02105,0,0.0,,0.0,,,,21.8,,,,,,,0.0,,0.0,,,,21.8,,,,,,,,True,,,,False,,,,,,
02110,147,70.0,,70.0,,,,150.3,,33.2,,300.0,,,-77.0,,-77.0,,,,3.3,,-113.8,,153.0,,,,False,,,,True,,False,,False,,
02122,111,80.0,680.5,73.0,,,,318.6,,24.1,,54.7,,,-31.0,569.5,-38.0,,,,207.6,,-86.9,,-56.3,,,False,False,,,,False,,False,,False,,
02130,15,10.0,,0.0,,,,7.8,,1.4,,18.5,,,-5.0,,-15.0,,,,-7.2,,-13.6,,3.5,,,,False,,,,False,,False,,True,,
02150,29,0.0,,0.0,,,,2.9,,0.1,,1.3,,,-29.0,,-29.0,,,,-26.1,,-28.9,,-27.7,,,,False,,,,True,,True,,True,,
02158,3,10.0,,0.0,,,,,,,,,,,7.0,,-3.0,,,,,,,,,,,,True,,,,,,,,,,
02164,12,0.0,,0.0,,,,24.7,,,,,,,-12.0,,-12.0,,,,12.7,,,,,,,,False,,,,False,,,,,,
02170,207,185.0,526.7,358.0,,,,654.2,,118.5,,101.8,,,-22.0,319.7,151.0,,,,447.2,,-88.5,,-105.2,,,False,False,,,,False,,False,,False,,
02180,32,10.0,,0.0,,,,3.0,,0.5,,,,,-22.0,,-32.0,,,,-29.0,,-31.5,,,,,,False,,,,False,,False,,,,
02185,46,25.0,,0.0,,,,21.3,,0.4,,,,,-21.0,,-46.0,,,,-24.7,,-45.6,,,,,,False,,,,False,,False,,,,
02188,35,55.0,,3.0,,,,22.5,,1.6,,,,,20.0,,-32.0,,,,-12.5,,-33.4,,,,,,False,,,,True,,False,,,,
02195,2,0.0,,0.0,,,,0.9,,0.1,,0.3,,,-2.0,,-2.0,,,,-1.1,,-1.9,,-1.7,,,,False,,,,True,,True,,True,,
02198,22,15.0,,0.0,,,,14.7,,0.2,,5.6,,,-7.0,,-22.0,,,,-7.3,,-21.8,,-16.4,,,,False,,,,False,,False,,False,,
02220,17,20.0,,0.0,,,,15.7,,0.9,,36.1,,,3.0,,-17.0,,,,-1.3,,-16.1,,19.1,,,,False,,,,True,,False,,False,,
02230,0,0.0,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,True,,,,True,,,,,,
02240,7,10.0,,0.0,,,,4.9,,1.4,,,,,3.0,,-7.0,,,,-2.1,,-5.6,,,,,,False,,,,True,,False,,,,
02261,26,25.0,,2.0,,,,69.0,,2.1,,,,,-1.0,,-24.0,,,,43.0,,-23.9,,,,,,False,,,,False,,False,,,,
02275,4,20.0,,0.0,,,,6.4,,,,,,,16.0,,-4.0,,,,2.4,,,,,,,,True,,,,True,,,,,,
02282,14,0.0,,0.0,,,,0.0,,,,0.5,,,-14.0,,-14.0,,,,-14.0,,,,-13.5,,,,False,,,,False,,,,True,,
02290,24,30.0,,0.0,,,,23.8,,4.8,,,,,6.0,,-24.0,,,,-0.2,,-19.2,,,,,,False,,,,True,,False,,,,
04001,242,505.0,425.5,768.0,,,,346.3,,226.3,,463.8,,,263.0,183.5,526.0,,,,104.3,,-15.7,,221.8,,,True,False,,,,True,,True,,True,,
04003,264,385.0,1469.0,254.0,,,,678.8,,67.1,,274.4,,,121.0,1205.0,-10.0,,,,414.8,,-196.9,,10.4,,,False,True,,,,False,,False,,True,,
04005,417,560.0,2046.0,339.0,,,,323.6,,301.4,,465.6,,,143.0,1629.0,-78.0,,,,-93.4,,-115.6,,48.6,,,False,True,,,,True,,True,,True,,
04007,265,415.0,1007.1,507.0,,,,462.7,,275.4,,350.9,,,150.0,742.1,242.0,,,,197.7,,10.4,,85.9,,,False,False,,,,False,,True,,True,,
04009,235,305.0,,449.0,,,,301.9,,185.2,,621.1,,,70.0,,214.0,,,,66.9,,-49.8,,386.1,,,,False,,,,True,,True,,False,,
04011,3,10.0,,0.0,,,,33.7,,0.1,,10.9,,,7.0,,-3.0,,,,30.7,,-2.9,,7.9,,,,True,,,,False,,True,,False,,
04012,51,30.0,,5.0,,,,41.7,,0.6,,36.9,,,-21.0,,-46.0,,,,-9.3,,-50.4,,-14.1,,,,False,,,,True,,False,,True,,
04013,11747,31250.0,53806.9,12210.0,,,,17773.7,,22662.8,,16199.7,,,19503.0,42059.9,463.0,,,,6026.7,,10915.8,,4452.7,,,False,True,,,,True,,True,,True,,
04015,642,800.0,4787.0,320.0,,,,893.2,,417.8,,1450.3,,,158.0,4145.0,-322.0,,,,251.2,,-224.2,,808.3,,,False,False,,,,False,,False,,False,,
04017,321,565.0,1956.1,393.0,,,,289.6,,222.5,,590.6,,,244.0,1635.1,72.0,,,,-31.4,,-98.5,,269.6,,,False,True,,,,True,,True,,False,,
04019,4637,6265.0,16661.5,3850.0,,,,4860.4,,5489.5,,3491.6,,,1628.0,12024.5,-787.0,,,,223.4,,852.5,,-1145.4,,,False,True,,,,True,,True,,True,,
04021,1814,1015.0,4194.1,414.0,,,,702.0,,290.0,,716.5,,,-799.0,2380.1,-1400.0,,,,-1112.0,,-1524.0,,-1097.5,,,False,False,,,,False,,False,,False,,
04023,157,240.0,,182.0,,,,151.4,,65.4,,133.5,,,83.0,,25.0,,,,-5.6,,-91.6,,-23.5,,,,True,,,,True,,False,,True,,
04025,438,1010.0,2813.8,897.0,,,,1665.1,,719.3,,681.3,,,572.0,2375.8,459.0,,,,1227.1,,281.3,,243.3,,,False,True,,,,False,,True,,True,,
04027,868,2170.0,4278.2,1827.0,,,,892.4,,636.1,,2743.2,,,1302.0,3410.2,959.0,,,,24.4,,-231.9,,1875.2,,,False,True,,,,True,,True,,False,,
05001,99,90.0,,41.0,,,,196.2,,22.9,,303.4,,,-9.0,,-58.0,,,,97.2,,-76.1,,204.4,,,,False,,,,False,,False,,False,,
05003,77,420.0,,668.0,,,,268.2,,492.9,,515.0,,,343.0,,591.0,,,,191.2,,415.9,,438.0,,,,False,,,,True,,False,,False,,
05005,128,55.0,,109.0,,,,207.5,,15.5,,42.5,,,-73.0,,-19.0,,,,79.5,,-112.5,,-85.5,,,,True,,,,False,,False,,False,,
05007,1077,1300.0,894.4,1111.0,,,,1165.0,,448.7,,907.4,,,223.0,-182.6,34.0,,,,88.0,,-628.3,,-169.6,,,True,True,,,,True,,False,,True,,
05009,269,230.0,,365.0,,,,487.2,,108.5,,634.0,,,-39.0,,96.0,,,,218.2,,-160.5,,365.0,,,,False,,,,False,,False,,False,,
05011,134,220.0,,275.0,,,,145.6,,133.4,,117.7,,,86.0,,141.0,,,,11.6,,-0.6,,-16.3,,,,False,,,,True,,True,,True,,
05013,14,15.0,,0.0,,,,22.4,,,,,,,1.0,,-14.0,,,,8.4,,,,,,,,False,,,,False,,,,,,
05015,190,80.0,,17.0,,,,128.9,,20.6,,129.6,,,-110.0,,-173.0,,,,-61.1,,-169.4,,-60.4,,,,False,,,,True,,False,,True,,
05017,250,1035.0,,760.0,,,,163.8,,325.9,,686.7,,,785.0,,510.0,,,,-86.2,,75.9,,436.7,,,,True,,,,True,,True,,True,,
05019,102,125.0,,105.0,,,,133.2,,19.1,,254.2,,,23.0,,3.0,,,,31.2,,-82.9,,152.2,,,,True,,,,False,,False,,False,,
05021,99,125.0,,118.0,,,,103.6,,146.1,,66.8,,,26.0,,19.0,,,,4.6,,47.1,,-32.2,,,,True,,,,True,,False,,False,,
05023,101,75.0,,33.0,,,,69.8,,52.4,,38.1,,,-26.0,,-68.0,,,,-31.2,,-48.6,,-62.9,,,,False,,,,False,,False,,False,,
05025,60,150.0,,180.0,,,,57.8,,20.3,,173.2,,,90.0,,120.0,,,,-2.2,,-39.7,,113.2,,,,False,,,,True,,True,,False,,
05027,123,140.0,,193.0,,,,222.5,,15.3,,117.2,,,17.0,,70.0,,,,99.5,,-107.7,,-5.8,,,,False,,,,False,,False,,True,,
05029,81,80.0,,66.0,,,,132.7,,43.3,,150.5,,,-1.0,,-15.0,,,,51.7,,-37.7,,69.5,,,,False,,,,False,,False,,False,,
05031,1001,1160.0,1490.0,1816.0,,,,1109.1,,553.0,,1327.5,,,159.0,489.0,815.0,,,,108.1,,-448.0,,326.5,,,False,False,,,,True,,False,,False,,
05033,458,490.0,926.0,444.0,,,,116.4,,197.2,,517.4,,,32.0,468.0,-14.0,,,,-341.6,,-260.8,,59.4,,,False,True,,,,False,,False,,False,,
05035,448,800.0,,974.0,,,,367.3,,263.8,,707.8,,,352.0,,526.0,,,,-80.7,,-184.2,,259.8,,,,False,,,,True,,True,,True,,
05037,166,165.0,,326.0,,,,145.1,,46.2,,303.8,,,-1.0,,160.0,,,,-20.9,,-119.8,,137.8,,,,False,,,,False,,False,,False,,
05039,93,25.0,,39.0,,,,38.0,,31.1,,,,,-68.0,,-54.0,,,,-55.0,,-61.9,,,,,,True,,,,True,,True,,,,
05041,68,240.0,,459.0,,,,149.8,,129.0,,151.9,,,172.0,,391.0,,,,81.8,,61.0,,83.9,,,,False,,,,True,,True,,True,,
05043,135,215.0,,284.0,,,,192.5,,190.7,,179.3,,,80.0,,149.0,,,,57.5,,55.7,,44.3,,,,False,,,,True,,True,,True,,
05045,672,500.0,1502.4,278.0,,,,933.1,,375.5,,965.3,,,-172.0,830.4,-394.0,,,,261.1,,-296.5,,293.3,,,False,False,,,,False,,False,,False,,
05047,82,105.0,,85.0,,,,195.8,,70.2,,347.3,,,23.0,,3.0,,,,113.8,,-11.8,,265.3,,,,True,,,,False,,True,,False,,
05049,58,65.0,,88.0,,,,81.4,,15.0,,60.7,,,7.0,,30.0,,,,23.4,,-43.0,,2.7,,,,False,,,,False,,False,,True,,
05051,618,775.0,1113.8,476.0,,,,1286.9,,892.7,,2748.0,,,157.0,495.8,-142.0,,,,668.9,,274.7,,2130.0,,,False,True,,,,False,,False,,False,,
05053,87,55.0,,12.0,,,,105.4,,12.1,,18.9,,,-32.0,,-75.0,,,,18.4,,-74.9,,-68.1,,,,False,,,,True,,False,,False,,
05055,240,570.0,,862.0,,,,509.5,,438.1,,638.2,,,330.0,,622.0,,,,269.5,,198.1,,398.2,,,,False,,,,True,,True,,False,,
05057,105,160.0,,140.0,,,,220.3,,55.6,,159.9,,,55.0,,35.0,,,,115.3,,-49.4,,54.9,,,,True,,,,False,,True,,True,,
05059,252,395.0,,37.0,,,,448.8,,338.7,,193.3,,,143.0,,-215.0,,,,196.8,,86.7,,-58.7,,,,False,,,,False,,True,,True,,
05061,112,210.0,,188.0,,,,146.5,,104.6,,98.7,,,98.0,,76.0,,,,34.5,,-7.4,,-13.3,,,,True,,,,True,,True,,True,,
05063,413,735.0,,683.0,,,,603.4,,596.6,,869.9,,,322.0,,270.0,,,,190.4,,183.6,,456.9,,,,True,,,,True,,True,,False,,
05065,80,40.0,,61.0,,,,90.8,,12.0,,59.6,,,-40.0,,-19.0,,,,10.8,,-68.0,,-20.4,,,,True,,,,True,,False,,True,,
05067,135,255.0,,547.0,,,,97.6,,1419.9,,190.1,,,120.0,,412.0,,,,-37.4,,1284.9,,55.1,,,,False,,,,True,,False,,True,,
05069,956,1020.0,489.2,1130.0,,,,954.4,,710.3,,969.8,,,64.0,-466.8,174.0,,,,-1.6,,-245.7,,13.8,,,False,False,,,,True,,False,,True,,
05071,136,230.0,,102.0,,,,172.8,,59.3,,183.2,,,94.0,,-34.0,,,,36.8,,-76.7,,47.2,,,,True,,,,True,,True,,True,,
05073,28,20.0,,18.0,,,,43.6,,15.0,,18.0,,,-8.0,,-10.0,,,,15.6,,-13.0,,-10.0,,,,False,,,,False,,False,,False,,
05075,101,135.0,,158.0,,,,199.0,,46.3,,121.3,,,34.0,,57.0,,,,98.0,,-54.7,,20.3,,,,False,,,,False,,False,,True,,
05077,128,40.0,,0.0,,,,37.8,,2.2,,239.1,,,-88.0,,-128.0,,,,-90.2,,-125.8,,111.1,,,,False,,,,False,,False,,False,,
05079,563,220.0,,,,,,145.3,,49.1,,287.0,,,-343.0,,,,,,-417.7,,-513.9,,-276.0,,,,,,,,False,,False,,True,,
05081,143,140.0,,188.0,,,,239.4,,98.9,,148.0,,,-3.0,,45.0,,,,96.4,,-44.1,,5.0,,,,False,,,,False,,False,,False,,
05083,131,555.0,,1525.0,,,,278.3,,549.9,,398.0,,,424.0,,1394.0,,,,147.3,,418.9,,267.0,,,,False,,,,True,,True,,True,,
05085,402,460.0,552.7,422.0,,,,556.1,,153.2,,519.4,,,58.0,150.7,20.0,,,,154.1,,-248.8,,117.4,,,False,True,,,,False,,False,,False,,
05087,49,80.0,,43.0,,,,63.4,,2.8,,116.8,,,31.0,,-6.0,,,,14.4,,-46.2,,67.8,,,,True,,,,True,,False,,False,,
05089,35,10.0,,22.0,,,,20.0,,11.3,,11.8,,,-25.0,,-13.0,,,,-15.0,,-23.7,,-23.2,,,,True,,,,True,,True,,True,,
05091,210,255.0,,236.0,,,,425.8,,118.0,,145.4,,,45.0,,26.0,,,,215.8,,-92.0,,-64.6,,,,True,,,,False,,False,,False,,
05093,509,1150.0,,1601.0,,,,872.4,,1272.4,,702.2,,,641.0,,1092.0,,,,363.4,,763.4,,193.2,,,,False,,,,True,,False,,True,,
