,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,322,198.0,205.9,,183.0,135.0,,,,,,204.0,212.7,,154.5,192.4,127.0,212.0,,123.7,,211.7,,,,,198.3,-124.0,-116.1,,-139.0,-187.0,,,,,,-118.0,-109.3,,-167.5,-129.6,-195.0,-110.0,,-198.3,,-110.3,,,,,-123.7,True,,False,False,,,,,,True,True,,False,False,False,True,,False,,True,,,,,True
01023,25,36.0,34.8,,30.0,21.0,,,,,,60.0,32.6,,11.4,29.2,32.0,26.0,,30.3,,34.9,,,,,41.7,11.0,9.8,,5.0,-4.0,,,,,,35.0,7.6,,-13.6,4.2,7.0,1.0,,5.3,,9.9,,,,,16.7,True,,True,True,,,,,,False,True,,False,True,True,True,,True,,True,,,,,False
01025,62,141.0,140.4,,115.0,280.0,,,,,,148.0,112.6,,74.2,100.7,105.0,8.0,,119.4,,124.5,,,,,171.5,79.0,78.4,,53.0,218.0,,,,,,86.0,50.6,,12.2,38.7,43.0,-54.0,,57.4,,62.5,,,,,109.5,True,,True,False,,,,,,False,True,,True,True,True,True,,True,,True,,,,,False
01027,109,60.0,50.2,,42.0,60.0,,,,,,54.0,64.2,,7.0,33.0,33.0,86.0,,14.3,,57.9,,,,,93.8,-49.0,-58.8,,-67.0,-49.0,,,,,,-55.0,-44.8,,-102.0,-76.0,-76.0,-23.0,,-94.7,,-51.1,,,,,-15.2,False,,False,False,,,,,,False,True,,False,False,False,True,,False,,False,,,,,True
01029,93,132.0,118.2,,55.0,58.0,,,,,,46.0,41.3,,61.6,56.9,51.0,129.0,,20.2,,84.1,,,,,74.6,39.0,25.2,,-38.0,-35.0,,,,,,-47.0,-51.7,,-31.4,-36.1,-42.0,36.0,,-72.8,,-8.9,,,,,-18.4,True,,True,True,,,,,,False,False,,True,True,False,True,,False,,True,,,,,True
01031,148,282.0,305.0,,206.0,393.0,,,,,,228.0,222.0,,109.9,182.0,135.0,155.0,,125.5,,263.6,,,,,236.8,134.0,157.0,,58.0,245.0,,,,,,80.0,74.0,,-38.1,34.0,-13.0,7.0,,-22.5,,115.6,,,,,88.8,False,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,True
01033,170,216.0,224.8,,154.0,137.0,,,,,,258.0,210.4,,90.3,171.7,153.0,247.0,,104.6,,122.6,,,,,261.3,46.0,54.8,,-16.0,-33.0,,,,,,88.0,40.4,,-79.7,1.7,-17.0,77.0,,-65.4,,-47.4,,,,,91.3,False,,True,True,,,,,,False,True,,False,True,True,False,,False,,False,,,,,False
01035,29,54.0,58.1,,34.0,21.0,,,,,,76.0,43.4,,15.6,37.7,49.0,25.0,,9.0,,46.2,,,,,78.2,25.0,29.1,,5.0,-8.0,,,,,,47.0,14.4,,-13.4,8.7,20.0,-4.0,,-20.0,,17.2,,,,,49.2,False,,True,True,,,,,,False,True,,True,True,True,True,,True,,True,,,,,False
01037,10,18.0,19.0,,9.0,2.0,,,,,,40.0,25.2,,2.2,9.7,,35.0,,2.6,,34.6,,,,,23.5,8.0,9.0,,-1.0,-8.0,,,,,,30.0,15.2,,-7.8,-0.3,,25.0,,-7.3,,24.6,,,,,13.5,False,,True,False,,,,,,False,False,,True,True,,False,,True,,False,,,,,False
01039,63,138.0,143.2,,112.0,49.0,,,,,,178.0,184.4,,65.1,110.9,96.0,89.0,,106.6,,103.6,,,,,140.2,75.0,80.2,,49.0,-14.0,,,,,,115.0,121.4,,2.1,47.9,33.0,26.0,,43.6,,40.6,,,,,77.2,False,,True,True,,,,,,False,False,,True,True,True,True,,True,,True,,,,,False
01041,54,57.0,57.3,,48.0,29.0,,,,,,63.0,55.9,,17.5,36.9,40.0,92.0,,61.0,,79.7,,,,,55.0,3.0,3.3,,-6.0,-25.0,,,,,,9.0,1.9,,-36.5,-17.1,-14.0,38.0,,7.0,,25.7,,,,,1.0,False,,False,False,,,,,,False,True,,False,False,False,False,,False,,False,,,,,True
01043,161,309.0,260.0,,249.0,449.0,,,,,,363.0,352.5,,108.3,203.4,165.0,310.0,,96.5,,323.2,,,,,304.6,148.0,99.0,,88.0,288.0,,,,,,202.0,191.5,,-52.7,42.4,4.0,149.0,,-64.5,,162.2,,,,,143.6,True,,True,False,,,,,,False,False,,True,True,True,False,,True,,False,,,,,True
01045,142,249.0,300.7,,186.0,337.0,,,,,,205.0,180.6,,180.0,168.3,130.0,40.0,,101.7,,211.4,,,,,248.0,107.0,158.7,,44.0,195.0,,,,,,63.0,38.6,,38.0,26.3,-12.0,-102.0,,-40.3,,69.4,,,,,106.0,False,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,True
01047,93,117.0,115.4,,91.0,60.0,,,,,,239.0,100.2,,49.7,96.1,140.0,172.0,,148.1,,83.6,,,,,146.9,24.0,22.4,,-2.0,-33.0,,,,,,146.0,7.2,,-43.3,3.1,47.0,79.0,,55.1,,-9.4,,,,,53.9,True,,True,False,,,,,,False,True,,False,True,False,False,,False,,True,,,,,False
01049,166,249.0,239.4,,204.0,148.0,,,,,,373.0,253.0,,138.7,207.8,220.0,152.0,,125.3,,226.2,,,,,269.6,83.0,73.4,,38.0,-18.0,,,,,,207.0,87.0,,-27.3,41.8,54.0,-14.0,,-40.7,,60.2,,,,,103.6,True,,True,True,,,,,,False,False,,True,True,True,True,,True,,True,,,,,False
01051,283,327.0,335.3,,233.0,317.0,,,,,,277.0,209.4,,166.6,194.1,212.0,413.0,,89.5,,335.8,,,,,405.5,44.0,52.3,,-50.0,34.0,,,,,,-6.0,-73.6,,-116.4,-88.9,-71.0,130.0,,-193.5,,52.8,,,,,122.5,False,,False,True,,,,,,True,False,,False,False,False,False,,False,,False,,,,,False
01053,131,195.0,195.2,,141.0,59.0,,,,,,215.0,214.3,,75.0,113.7,132.0,263.0,,130.8,,152.0,,,,,233.9,64.0,64.2,,10.0,-72.0,,,,,,84.0,83.3,,-56.0,-17.3,1.0,132.0,,-0.2,,21.0,,,,,102.9,False,,True,False,,,,,,False,False,,True,True,True,False,,True,,True,,,,,False
01055,376,753.0,708.5,,565.0,1379.0,,,,,,451.0,604.5,,574.7,591.0,360.0,507.0,,546.6,,573.7,,,,,709.7,377.0,332.5,,189.0,1003.0,,,,,,75.0,228.5,,198.7,215.0,-16.0,131.0,,170.6,,197.7,,,,,333.7,True,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,True
01057,76,84.0,91.7,,76.0,75.0,,,,,,82.0,87.3,,60.0,76.7,38.0,83.0,,77.2,,79.5,,,,,85.7,8.0,15.7,,0.0,-1.0,,,,,,6.0,11.3,,-16.0,0.7,-38.0,7.0,,1.2,,3.5,,,,,9.7,False,,True,True,,,,,,True,False,,False,True,False,True,,True,,True,,,,,False
01059,219,294.0,285.6,,201.0,257.0,,,,,,210.0,80.1,,127.1,184.5,167.0,420.0,,191.0,,241.4,,,,,308.1,75.0,66.6,,-18.0,38.0,,,,,,-9.0,-138.9,,-91.9,-34.5,-52.0,201.0,,-28.0,,22.4,,,,,89.1,True,,True,True,,,,,,True,False,,False,True,True,False,,True,,True,,,,,False
01061,71,201.0,219.7,,142.0,261.0,,,,,,144.0,151.7,,119.7,137.5,81.0,126.0,,84.7,,168.6,,,,,122.5,130.0,148.7,,71.0,190.0,,,,,,73.0,80.7,,48.7,66.5,10.0,55.0,,13.7,,97.6,,,,,51.5,False,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,True
01063,16,33.0,36.0,,19.0,21.0,,,,,,45.0,20.0,,8.4,18.1,30.0,45.0,,8.3,,25.2,,,,,39.2,17.0,20.0,,3.0,5.0,,,,,,29.0,4.0,,-7.6,2.1,14.0,29.0,,-7.7,,9.2,,,,,23.2,False,,True,True,,,,,,False,True,,True,True,True,False,,True,,True,,,,,False
01065,44,51.0,52.2,,40.0,37.0,,,,,,97.0,36.4,,15.7,37.7,52.0,90.0,,36.2,,66.2,,,,,72.5,7.0,8.2,,-4.0,-7.0,,,,,,53.0,-7.6,,-28.3,-6.3,8.0,46.0,,-7.8,,22.2,,,,,28.5,False,,True,False,,,,,,False,False,,False,True,False,False,,False,,False,,,,,False
01067,61,81.0,76.5,,59.0,39.0,,,,,,64.0,47.3,,48.5,65.3,47.0,0.0,,51.8,,75.4,,,,,67.7,20.0,15.5,,-2.0,-22.0,,,,,,3.0,-13.7,,-12.5,4.3,-14.0,-61.0,,-9.2,,14.4,,,,,6.7,True,,True,False,,,,,,True,True,,True,True,True,False,,True,,True,,,,,True
01069,269,645.0,623.8,,507.0,2057.0,,,,,,405.0,457.5,,600.9,434.1,296.0,309.0,,270.3,,591.8,,,,,654.5,376.0,354.8,,238.0,1788.0,,,,,,136.0,188.5,,331.9,165.1,27.0,40.0,,1.3,,322.8,,,,,385.5,True,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,False
01071,147,264.0,296.9,,205.0,159.0,,,,,,205.0,330.4,,146.0,197.9,158.0,156.0,,135.3,,249.2,,,,,277.3,117.0,149.9,,58.0,12.0,,,,,,58.0,183.4,,-1.0,50.9,11.0,9.0,,-11.7,,102.2,,,,,130.3,False,,True,True,,,,,,True,False,,True,True,True,True,,True,,True,,,,,False
01073,2698,2022.0,1850.7,2366.9,1551.0,1324.0,,,,,,2273.0,2276.2,,1376.7,1250.5,1559.0,1966.0,,638.7,,1733.9,870.0,,,,2906.6,-676.0,-847.3,-331.1,-1147.0,-1374.0,,,,,,-425.0,-421.8,,-1321.3,-1447.5,-1139.0,-732.0,,-2059.3,,-964.1,-1828.0,,,,208.6,False,True,False,False,,,,,,True,True,,False,False,False,False,,False,,False,False,,,,True
01075,31,60.0,57.4,,42.0,41.0,,,,,,63.0,55.5,,19.3,41.8,31.0,46.0,,21.0,,48.0,,,,,72.3,29.0,26.4,,11.0,10.0,,,,,,32.0,24.5,,-11.7,10.8,0.0,15.0,,-10.0,,17.0,,,,,41.3,True,,True,True,,,,,,False,True,,True,True,True,True,,True,,True,,,,,False
01077,198,267.0,253.7,,233.0,206.0,,,,,,366.0,357.0,,148.0,228.9,171.0,83.0,,172.1,,275.6,,,,,265.0,69.0,55.7,,35.0,8.0,,,,,,168.0,159.0,,-50.0,30.9,-27.0,-115.0,,-25.9,,77.6,,,,,67.0,True,,True,True,,,,,,False,False,,True,True,True,False,,True,,False,,,,,True
01079,133,87.0,91.1,,82.0,32.0,,,,,,182.0,123.5,,62.3,85.0,57.0,62.0,,62.0,,94.2,,,,,78.4,-46.0,-41.9,,-51.0,-101.0,,,,,,49.0,-9.5,,-70.7,-48.0,-76.0,-71.0,,-71.0,,-38.8,,,,,-54.6,True,,False,False,,,,,,False,True,,False,False,False,False,,False,,True,,,,,False
01081,701,468.0,466.2,,438.0,596.0,,,,,,504.0,605.5,,168.7,288.4,341.0,469.0,,211.8,,438.1,182.0,,,,527.1,-233.0,-234.8,,-263.0,-105.0,,,,,,-197.0,-95.5,,-532.3,-412.6,-360.0,-232.0,,-489.2,,-262.9,-519.0,,,,-173.9,False,,False,True,,,,,,True,True,,False,False,False,True,,False,,False,False,,,,True
01083,255,270.0,256.8,,195.0,192.0,,,,,,366.0,263.1,,160.7,198.7,177.0,232.0,,175.8,,239.2,,,,,348.0,15.0,1.8,,-60.0,-63.0,,,,,,111.0,8.1,,-94.3,-56.3,-78.0,-23.0,,-79.2,,-15.8,,,,,93.0,True,,False,False,,,,,,False,True,,False,False,False,False,,False,,False,,,,,False
01085,28,24.0,12.1,,18.0,2.0,,,,,,51.0,14.2,,2.4,23.2,51.0,14.0,,100.6,,21.5,,,,,41.7,-4.0,-15.9,,-10.0,-26.0,,,,,,23.0,-13.8,,-25.6,-4.8,23.0,-14.0,,72.6,,-6.5,,,,,13.7,False,,False,False,,,,,,False,False,,False,False,False,False,,False,,False,,,,,False
01087,49,84.0,75.2,,57.0,56.0,,,,,,67.0,67.7,,17.5,56.9,50.0,52.0,,28.9,,78.6,,,,,72.1,35.0,26.2,,8.0,7.0,,,,,,18.0,18.7,,-31.5,7.9,1.0,3.0,,-20.1,,29.6,,,,,23.1,True,,True,True,,,,,,True,True,,True,True,True,True,,True,,True,,,,,True
01089,913,651.0,648.3,592.4,543.0,445.0,,,,,,1172.0,1389.5,,439.4,533.8,596.0,535.0,,323.1,,577.3,255.0,,,,920.3,-262.0,-264.7,-320.6,-370.0,-468.0,,,,,,259.0,476.5,,-473.6,-379.2,-317.0,-378.0,,-589.9,,-335.7,-658.0,,,,7.3,False,False,False,False,,,,,,True,False,,False,False,False,False,,False,,False,False,,,,True
01091,51,69.0,68.3,,60.0,65.0,,,,,,124.0,62.6,,18.6,56.5,59.0,51.0,,39.4,,98.2,,,,,89.0,18.0,17.3,,9.0,14.0,,,,,,73.0,11.6,,-32.4,5.5,8.0,0.0,,-11.6,,47.2,,,,,38.0,True,,True,True,,,,,,False,True,,False,True,True,True,,True,,False,,,,,False
01093,134,147.0,133.5,,116.0,133.0,,,,,,147.0,131.2,,92.4,131.8,86.0,88.0,,43.2,,110.3,,,,,147.6,13.0,-0.5,,-18.0,-1.0,,,,,,13.0,-2.8,,-41.6,-2.2,-48.0,-46.0,,-90.8,,-23.7,,,,,13.6,True,,False,True,,,,,,False,True,,False,True,False,False,,False,,False,,,,,False
01095,139,546.0,532.5,,405.0,577.0,,,,,,463.0,375.3,,282.7,380.2,398.0,320.0,,270.5,,482.5,,,,,546.6,407.0,393.5,,266.0,438.0,,,,,,324.0,236.3,,143.7,241.2,259.0,181.0,,131.5,,343.5,,,,,407.6,True,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,,,,,False
01097,968,1647.0,1721.4,1602.2,1438.0,794.0,,,,,,1817.0,2010.8,,1282.0,1008.7,1245.0,1219.0,,580.0,,1874.8,690.0,,,,1899.0,679.0,753.4,634.2,470.0,-174.0,,,,,,849.0,1042.8,,314.0,40.7,277.0,251.0,,-388.0,,906.8,-278.0,,,,931.0,False,True,True,True,,,,,,False,False,,True,True,True,True,,True,,False,True,,,,False
01099,18,42.0,38.9,,38.0,14.0,,,,,,102.0,56.3,,12.1,38.6,49.0,78.0,,46.3,,30.4,,,,,67.4,24.0,20.9,,20.0,-4.0,,,,,,84.0,38.3,,-5.9,20.6,31.0,60.0,,28.3,,12.4,,,,,49.4,True,,True,True,,,,,,False,False,,True,True,False,False,,False,,True,,,,,False
01101,699,984.0,1024.1,765.1,529.0,606.0,,,,,,911.0,532.0,,397.6,531.7,762.0,756.0,,371.8,,449.3,427.0,,,,1301.5,285.0,325.1,66.1,-170.0,-93.0,,,,,,212.0,-167.0,,-301.4,-167.3,63.0,57.0,,-327.2,,-249.7,-272.0,,,,602.5,False,True,True,True,,,,,,True,True,,False,True,True,True,,False,,True,True,,,,False
01103,332,372.0,376.7,,304.0,369.0,,,,,,509.0,308.5,,132.4,249.4,284.0,179.0,,215.2,,375.4,,,,,503.1,40.0,44.7,,-28.0,37.0,,,,,,177.0,-23.5,,-199.6,-82.6,-48.0,-153.0,,-116.8,,43.4,,,,,171.1,False,,True,True,,,,,,False,True,,False,False,False,False,,False,,False,,,,,False
01105,18,39.0,26.9,,27.0,21.0,,,,,,55.0,34.7,,21.2,47.2,50.0,0.0,,24.4,,67.3,,,,,63.3,21.0,8.9,,9.0,3.0,,,,,,37.0,16.7,,3.2,29.2,32.0,-18.0,,6.4,,49.3,,,,,45.3,True,,True,True,,,,,,False,True,,True,False,False,True,,True,,False,,,,,False
01107,70,174.0,175.3,,149.0,160.0,,,,,,123.0,79.7,,146.6,131.9,,116.0,,165.5,,171.8,,,,,122.3,104.0,105.3,,79.0,90.0,,,,,,53.0,9.7,,76.6,61.9,,46.0,,95.5,,101.8,,,,,52.3,False,,True,True,,,,,,True,True,,True,True,,True,,True,,True,,,,,True
01109,105,156.0,140.0,,125.0,102.0,,,,,,146.0,89.8,,85.7,135.0,103.0,240.0,,118.8,,132.3,,,,,117.2,51.0,35.0,,20.0,-3.0,,,,,,41.0,-15.2,,-19.3,30.0,-2.0,135.0,,13.8,,27.3,,,,,12.2,True,,True,True,,,,,,True,True,,True,True,True,False,,True,,True,,,,,True
01111,73,63.0,65.2,,59.0,5.0,,,,,,87.0,82.6,,33.3,69.5,56.0,41.0,,24.6,,86.1,,,,,59.0,-10.0,-7.8,,-14.0,-68.0,,,,,,14.0,9.6,,-39.7,-3.5,-17.0,-32.0,,-48.4,,13.1,,,,,-14.0,True,,False,False,,,,,,False,True,,False,True,False,False,,False,,False,,,,,False
01113,94,264.0,271.3,,157.0,134.0,,,,,,222.0,184.8,,84.1,154.5,182.0,268.0,,194.2,,163.6,,,,,242.0,170.0,177.3,,63.0,40.0,,,,,,128.0,90.8,,-9.9,60.5,88.0,174.0,,100.2,,69.6,,,,,148.0,False,,True,True,,,,,,True,True,,True,True,True,False,,True,,True,,,,,True
01115,289,357.0,348.5,,328.0,534.0,,,,,,312.0,369.7,,345.1,372.0,223.0,,,230.6,,314.8,,,,,311.2,68.0,59.5,,39.0,245.0,,,,,,23.0,80.7,,56.1,83.0,-66.0,,,-58.4,,25.8,,,,,22.2,True,,True,False,,,,,,True,False,,True,False,True,,,True,,True,,,,,True
01117,959,477.0,472.6,,412.0,315.0,,,,,,739.0,765.0,,298.4,355.2,381.0,377.0,,423.6,,420.1,194.0,,,,659.6,-482.0,-486.4,,-547.0,-644.0,,,,,,-220.0,-194.0,,-660.6,-603.8,-578.0,-582.0,,-535.4,,-538.9,-765.0,,,,-299.4,False,,False,False,,,,,,True,True,,False,False,False,False,,False,,False,False,,,,True
01119,14,51.0,64.0,,43.0,48.0,,,,,,72.0,14.0,,7.1,35.5,,2.0,,39.9,,50.2,,,,,57.5,37.0,50.0,,29.0,34.0,,,,,,58.0,-0.0,,-6.9,21.5,,-12.0,,25.9,,36.2,,,,,43.5,False,,True,True,,,,,,False,True,,True,True,,True,,True,,True,,,,,False
01121,191,264.0,268.2,,244.0,236.0,,,,,,338.0,511.8,,110.2,172.2,151.0,311.0,,120.2,,252.6,,,,,337.1,73.0,77.2,,53.0,45.0,,,,,,147.0,320.8,,-80.8,-18.8,-40.0,120.0,,-70.8,,61.6,,,,,146.1,False,,True,True,,,,,,False,False,,False,True,True,False,,True,,True,,,,,False
01123,49,90.0,86.8,,81.0,49.0,,,,,,166.0,121.2,,24.7,76.2,92.0,95.0,,53.6,,99.3,,,,,102.6,41.0,37.8,,32.0,0.0,,,,,,117.0,72.2,,-24.3,27.2,43.0,46.0,,4.6,,50.3,,,,,53.6,True,,True,True,,,,,,False,False,,True,True,False,False,,True,,False,,,,,False
01125,731,1074.0,1124.8,,887.0,1915.0,,,,,,874.0,571.0,,886.6,887.4,602.0,771.0,,742.2,,1009.5,614.0,,,,965.7,343.0,393.8,,156.0,1184.0,,,,,,143.0,-160.0,,155.6,156.4,-129.0,40.0,,11.2,,278.5,-117.0,,,,234.7,False,,True,False,,,,,,True,True,,True,True,True,True,,True,,True,True,,,,True
01127,301,321.0,334.8,,233.0,632.0,,,,,,309.0,143.4,,131.3,240.0,196.0,346.0,,162.3,,225.7,,,,,359.9,20.0,33.8,,-68.0,331.0,,,,,,8.0,-157.6,,-169.7,-61.0,-105.0,45.0,,-138.7,,-75.3,,,,,58.9,False,,False,False,,,,,,True,False,,False,False,False,False,,False,,False,,,,,False
01129,31,57.0,66.7,,53.0,104.0,,,,,,76.0,78.6,,5.2,42.0,53.0,13.0,,25.5,,50.8,,,,,108.9,26.0,35.7,,22.0,73.0,,,,,,45.0,47.6,,-25.8,11.0,22.0,-18.0,,-5.5,,19.8,,,,,77.9,False,,True,False,,,,,,False,False,,True,True,True,True,,True,,True,,,,,False
01131,19,60.0,59.6,,44.0,43.0,,,,,,58.0,32.2,,12.6,48.9,48.0,0.0,,43.5,,46.4,,,,,62.5,41.0,40.6,,25.0,24.0,,,,,,39.0,13.2,,-6.4,29.9,29.0,-19.0,,24.5,,27.4,,,,,43.5,True,,True,True,,,,,,True,True,,True,True,True,True,,True,,True,,,,,False
