,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01041,267,504.0,,,,,,285.0,102.2,76.3,168.7,,,237.0,,,,,,18.0,-164.8,-190.7,-98.3,,,,,,,,True,True,True,True,,
01043,768,1106.0,1361.2,,,,,1741.0,393.2,823.5,1662.1,,,338.0,593.2,,,,,973.0,-374.8,55.5,894.1,,,False,,,,,False,False,True,False,,
01045,553,1183.0,,,,,,1081.0,1298.0,399.6,1723.8,,,630.0,,,,,,528.0,745.0,-153.4,1170.8,,,,,,,,True,False,True,False,,
01047,463,581.0,,,,,,914.0,107.6,118.0,340.2,,,118.0,,,,,,451.0,-355.4,-345.0,-122.8,,,,,,,,False,False,False,False,,
01049,759,1386.0,1790.6,,,,,1778.0,1312.4,545.1,844.6,,,627.0,1031.6,,,,,1019.0,553.4,-213.9,85.6,,,False,,,,,False,True,True,True,,
01051,951,1456.0,876.9,,,,,1485.0,1186.4,540.8,772.5,,,505.0,-74.1,,,,,534.0,235.4,-410.2,-178.5,,,True,,,,,False,True,True,True,,
01053,654,1512.0,,,,,,1470.0,695.8,299.9,783.2,,,858.0,,,,,,816.0,41.8,-354.1,129.2,,,,,,,,True,True,True,True,,
01055,1512,2457.0,2423.1,,,,,2262.0,2322.9,887.1,1763.4,,,945.0,911.1,,,,,750.0,810.9,-624.9,251.4,,,True,,,,,True,True,True,True,,
01057,259,119.0,,,,,,225.0,113.1,146.3,17.0,,,-140.0,,,,,,-34.0,-145.9,-112.7,-242.0,,,,,,,,True,False,True,False,,
01059,588,448.0,,,,,,1061.0,152.0,66.1,180.6,,,-140.0,,,,,,473.0,-436.0,-521.9,-407.4,,,,,,,,False,False,False,False,,
01061,302,343.0,,,,,,787.0,127.3,214.8,304.6,,,41.0,,,,,,485.0,-174.7,-87.2,2.6,,,,,,,,False,False,False,True,,
01063,58,98.0,,,,,,127.0,16.3,1.4,32.3,,,40.0,,,,,,69.0,-41.7,-56.6,-25.7,,,,,,,,False,False,False,True,,
01065,170,182.0,,,,,,332.0,49.8,9.7,68.4,,,12.0,,,,,,162.0,-120.2,-160.3,-101.6,,,,,,,,False,False,False,False,,
01067,208,175.0,,,,,,188.0,45.3,72.6,115.5,,,-33.0,,,,,,-20.0,-162.7,-135.4,-92.5,,,,,,,,True,False,False,False,,
01069,1375,2002.0,1319.4,,,,,2473.0,1094.0,1099.4,3253.0,,,627.0,-55.6,,,,,1098.0,-281.0,-275.6,1878.0,,,True,,,,,False,True,True,False,,
01071,750,644.0,1525.6,,,,,870.0,453.4,445.4,4170.6,,,-106.0,775.6,,,,,120.0,-296.6,-304.6,3420.6,,,False,,,,,False,False,False,False,,
01073,7703,11865.0,20103.0,,,,,15880.0,12337.8,5944.1,10989.4,,,4162.0,12400.0,,,,,8177.0,4634.8,-1758.9,3286.4,,,False,,,,,False,False,True,True,,
01075,145,315.0,,,,,,257.0,167.6,122.8,137.6,,,170.0,,,,,,112.0,22.6,-22.2,-7.4,,,,,,,,True,True,True,True,,
01077,662,1078.0,1110.3,,,,,1889.0,794.2,807.7,838.5,,,416.0,448.3,,,,,1227.0,132.2,145.7,176.5,,,False,,,,,False,True,True,True,,
01079,303,399.0,,,,,,472.0,386.3,268.0,482.5,,,96.0,,,,,,169.0,83.3,-35.0,179.5,,,,,,,,False,True,True,False,,
01081,3065,1820.0,3849.2,,,,,2757.0,1306.0,1352.1,729.7,,,-1245.0,784.2,,,,,-308.0,-1759.0,-1712.9,-2335.3,,,True,,,,,True,False,False,False,,
01083,834,1309.0,1817.1,,,,,1680.0,856.1,1006.3,1257.7,,,475.0,983.1,,,,,846.0,22.1,172.3,423.7,,,False,,,,,False,True,True,True,,
01085,90,133.0,,,,,,170.0,10.9,2.7,46.8,,,43.0,,,,,,80.0,-79.1,-87.3,-43.2,,,,,,,,False,False,False,False,,
01087,168,252.0,,,,,,195.0,35.1,81.0,369.1,,,84.0,,,,,,27.0,-132.9,-87.0,201.1,,,,,,,,True,False,False,False,,
01089,2867,5733.0,7556.5,,,,,6104.0,7639.9,3497.6,43947.1,,,2866.0,4689.5,,,,,3237.0,4772.9,630.6,41080.1,,,False,,,,,False,False,True,False,,
01091,213,420.0,,,,,,604.0,199.6,142.0,555.3,,,207.0,,,,,,391.0,-13.4,-71.0,342.3,,,,,,,,False,True,True,False,,
01093,376,378.0,,,,,,580.0,274.8,223.6,2352.4,,,2.0,,,,,,204.0,-101.2,-152.4,1976.4,,,,,,,,False,False,False,False,,
01095,1063,2359.0,2944.7,,,,,2785.0,2088.2,889.6,1210.4,,,1296.0,1881.7,,,,,1722.0,1025.2,-173.4,147.4,,,False,,,,,False,True,True,True,,
01097,5587,8379.0,5220.0,,,,,10459.0,11281.3,2914.6,20446.1,,,2792.0,-367.0,,,,,4872.0,5694.3,-2672.4,14859.1,,,True,,,,,False,False,True,False,,
01099,169,266.0,,,,,,572.0,88.0,151.1,69.6,,,97.0,,,,,,403.0,-81.0,-17.9,-99.4,,,,,,,,False,True,True,False,,
01101,2658,4333.0,4873.4,,,,,5867.0,1947.1,1627.9,3849.3,,,1675.0,2215.4,,,,,3209.0,-710.9,-1030.1,1191.3,,,False,,,,,False,True,True,True,,
01103,1110,2044.0,1907.3,,,,,2746.0,960.4,869.1,1512.1,,,934.0,797.3,,,,,1636.0,-149.6,-240.9,402.1,,,True,,,,,False,True,True,True,,
01105,128,455.0,,,,,,122.0,357.0,57.3,346.2,,,327.0,,,,,,-6.0,229.0,-70.7,218.2,,,,,,,,True,True,True,True,,
01107,275,217.0,,,,,,377.0,102.9,118.2,118.8,,,-58.0,,,,,,102.0,-172.1,-156.8,-156.2,,,,,,,,False,False,False,False,,
01109,498,357.0,,,,,,850.0,97.1,128.6,177.2,,,-141.0,,,,,,352.0,-400.9,-369.4,-320.8,,,,,,,,False,False,False,False,,
01111,199,399.0,,,,,,281.0,65.2,146.5,280.1,,,200.0,,,,,,82.0,-133.8,-52.5,81.1,,,,,,,,True,True,True,True,,
01113,591,1022.0,1267.1,,,,,867.0,578.1,415.4,1034.9,,,431.0,676.1,,,,,276.0,-12.9,-175.6,443.9,,,False,,,,,True,True,True,False,,
01115,1063,1365.0,1150.6,,,,,1189.0,1218.5,1000.8,3755.3,,,302.0,87.6,,,,,126.0,155.5,-62.2,2692.3,,,True,,,,,True,True,True,False,,
01117,2533,3129.0,3638.1,,,,,3852.0,3085.8,1796.0,3358.3,,,596.0,1105.1,,,,,1319.0,552.8,-737.0,825.3,,,False,,,,,False,True,False,False,,
01119,75,161.0,,,,,,268.0,13.6,1.8,63.0,,,86.0,,,,,,193.0,-61.4,-73.2,-12.0,,,,,,,,False,True,True,True,,
01121,1116,945.0,2586.1,,,,,1350.0,819.2,856.8,4116.2,,,-171.0,1470.1,,,,,234.0,-296.8,-259.2,3000.2,,,False,,,,,False,False,False,False,,
01123,310,448.0,,,,,,666.0,284.4,136.5,292.9,,,138.0,,,,,,356.0,-25.6,-173.5,-17.1,,,,,,,,False,True,False,True,,
01125,3140,3066.0,6390.3,,,,,4883.0,2335.8,1364.6,2246.9,,,-74.0,3250.3,,,,,1743.0,-804.2,-1775.4,-893.1,,,False,,,,,False,False,False,False,,
01127,752,910.0,2687.1,,,,,1562.0,317.5,380.2,444.6,,,158.0,1935.1,,,,,810.0,-434.5,-371.8,-307.4,,,False,,,,,False,False,False,False,,
01129,259,497.0,,,,,,521.0,129.0,90.0,609.5,,,238.0,,,,,,262.0,-130.0,-169.0,350.5,,,,,,,,False,True,True,False,,
01131,135,273.0,,,,,,145.0,68.5,56.7,134.6,,,138.0,,,,,,10.0,-66.5,-78.3,-0.4,,,,,,,,True,True,True,True,,
01133,281,259.0,,,,,,428.0,130.2,187.2,186.1,,,-22.0,,,,,,147.0,-150.8,-93.8,-94.9,,,,,,,,False,False,False,False,,
02013,7,7.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
02016,9,7.0,,,,,,,,,4.6,,,-2.0,,,,,,,,,-4.4,,,,,,,,,,,False,,
02020,2375,2170.0,3141.0,,,,,,2945.6,2181.8,2176.8,,,-205.0,766.0,,,,,,570.6,-193.2,-198.2,,,False,,,,,,False,True,True,,
02050,64,14.0,,,,,,,7.3,,,,,-50.0,,,,,,,-56.7,,,,,,,,,,,False,,,,
02060,0,7.0,,,,,,,2.3,,8.2,,,7.0,,,,,,,2.3,,8.2,,,,,,,,,True,,False,,
02068,2,7.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
02070,6,0.0,,,,,,,0.2,,0.0,,,-6.0,,,,,,,-5.8,,-6.0,,,,,,,,,True,,False,,
02090,523,406.0,693.9,,,,,,475.3,578.6,1935.4,,,-117.0,170.9,,,,,,-47.7,55.6,1412.4,,,False,,,,,,True,True,False,,
02100,0,7.0,,,,,,,,,6.6,,,7.0,,,,,,,,,6.6,,,,,,,,,,,True,,
02105,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
02110,205,105.0,,,,,,,57.8,,53.3,,,-100.0,,,,,,,-147.2,,-151.7,,,,,,,,,False,,False,,
02122,256,259.0,774.0,,,,,,27.8,393.3,231.0,,,3.0,518.0,,,,,,-228.2,137.3,-25.0,,,False,,,,,,False,False,False,,
02130,23,56.0,,,,,,,12.2,,28.9,,,33.0,,,,,,,-10.8,,5.9,,,,,,,,,True,,True,,
02150,49,0.0,,,,,,,0.7,,2.0,,,-49.0,,,,,,,-48.3,,-47.0,,,,,,,,,True,,True,,
02158,6,0.0,,,,,,,,,1.8,,,-6.0,,,,,,,,,-4.2,,,,,,,,,,,True,,
02164,20,0.0,,,,,,,,,,,,-20.0,,,,,,,,,,,,,,,,,,,,,,
02170,317,343.0,457.0,,,,,,199.5,603.2,324.3,,,26.0,140.0,,,,,,-117.5,286.2,7.3,,,False,,,,,,False,False,True,,
02180,34,14.0,,,,,,,3.4,,,,,-20.0,,,,,,,-30.6,,,,,,,,,,,False,,,,
02185,60,14.0,,,,,,,1.1,,18.7,,,-46.0,,,,,,,-58.9,,-41.3,,,,,,,,,False,,True,,
02188,60,42.0,,,,,,,3.4,,35.1,,,-18.0,,,,,,,-56.6,,-24.9,,,,,,,,,False,,False,,
02195,2,0.0,,,,,,,1.1,,0.0,,,-2.0,,,,,,,-0.9,,-2.0,,,,,,,,,True,,True,,
02198,27,0.0,,,,,,,1.5,,0.0,,,-27.0,,,,,,,-25.5,,-27.0,,,,,,,,,True,,True,,
02220,29,21.0,,,,,,,6.2,,18.2,,,-8.0,,,,,,,-22.8,,-10.8,,,,,,,,,False,,False,,
02230,0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
02240,10,21.0,,,,,,,2.3,,14.4,,,11.0,,,,,,,-7.7,,4.4,,,,,,,,,True,,True,,
02261,45,140.0,,,,,,,12.5,,,,,95.0,,,,,,,-32.5,,,,,,,,,,,True,,,,
02275,9,0.0,,,,,,,,,0.1,,,-9.0,,,,,,,,,-8.9,,,,,,,,,,,True,,
02282,22,7.0,,,,,,,,,,,,-15.0,,,,,,,,,,,,,,,,,,,,,,
02290,34,154.0,,,,,,,32.8,,,,,120.0,,,,,,,-1.2,,,,,,,,,,,True,,,,
04001,489,1211.0,990.8,,,,,807.0,372.0,53.1,556.4,,,722.0,501.8,,,,,318.0,-117.0,-435.9,67.4,,,True,,,,,True,True,True,True,,
04003,504,1022.0,5470.1,,,,,1361.0,233.5,796.1,516.8,,,518.0,4966.1,,,,,857.0,-270.5,292.1,12.8,,,False,,,,,False,True,True,True,,
04005,644,1414.0,1643.7,,,,,1637.0,606.2,580.7,2211.8,,,770.0,999.7,,,,,993.0,-37.8,-63.3,1567.8,,,False,,,,,False,True,True,False,,
04007,495,945.0,819.1,,,,,726.0,1004.7,350.4,456.6,,,450.0,324.1,,,,,231.0,509.7,-144.6,-38.4,,,True,,,,,True,False,True,True,,
04009,419,588.0,,,,,,318.0,352.5,284.8,1672.6,,,169.0,,,,,,-101.0,-66.5,-134.2,1253.6,,,,,,,,True,True,True,False,,
04011,23,7.0,,,,,,155.0,14.3,,0.2,,,-16.0,,,,,,132.0,-8.7,,-22.8,,,,,,,,False,True,,False,,
04012,67,196.0,,,,,,196.0,16.3,36.8,91.7,,,129.0,,,,,,129.0,-50.7,-30.2,24.7,,,,,,,,False,True,True,True,,
04013,30001,93947.0,151000.0,,,,,81339.0,82401.7,45120.0,46923.0,,,63946.0,120999.0,,,,,51338.0,52400.7,15119.0,16922.0,,,False,,,,,True,True,True,True,,
04015,1111,3164.0,7103.6,,,,,3042.0,1394.4,1612.7,2539.0,,,2053.0,5992.6,,,,,1931.0,283.4,501.7,1428.0,,,False,,,,,True,True,True,True,,
04017,640,1967.0,3349.0,,,,,1526.0,1104.4,179.6,843.0,,,1327.0,2709.0,,,,,886.0,464.4,-460.4,203.0,,,False,,,,,True,True,True,True,,
04019,7565,10710.0,23418.0,,,,,11288.0,7985.4,5950.7,6224.9,,,3145.0,15853.0,,,,,3723.0,420.4,-1614.3,-1340.1,,,False,,,,,False,True,True,True,,
04021,2799,5894.0,12813.3,,,,,3796.0,4911.8,2405.8,2222.6,,,3095.0,10014.3,,,,,997.0,2112.8,-393.2,-576.4,,,False,,,,,True,True,True,True,,
04023,322,1575.0,,,,,,1340.0,397.5,54.3,724.4,,,1253.0,,,,,,1018.0,75.5,-267.7,402.4,,,,,,,,True,True,True,True,,
04025,879,1428.0,2707.5,,,,,2389.0,1000.7,1410.4,599.4,,,549.0,1828.5,,,,,1510.0,121.7,531.4,-279.6,,,False,,,,,False,True,True,True,,
04027,2242,7364.0,3288.1,,,,,4785.0,1612.7,461.5,6717.2,,,5122.0,1046.1,,,,,2543.0,-629.3,-1780.5,4475.2,,,True,,,,,True,True,True,True,,
05001,144,420.0,,,,,,294.0,89.2,105.1,193.9,,,276.0,,,,,,150.0,-54.8,-38.9,49.9,,,,,,,,True,True,True,True,,
05003,227,329.0,,,,,,356.0,508.4,212.3,397.5,,,102.0,,,,,,129.0,281.4,-14.7,170.5,,,,,,,,False,False,True,False,,
05005,146,105.0,,,,,,279.0,28.7,,71.0,,,-41.0,,,,,,133.0,-117.3,,-75.0,,,,,,,,False,False,,False,,
05007,1676,2569.0,7748.1,,,,,3644.0,964.5,820.3,1629.9,,,893.0,6072.1,,,,,1968.0,-711.5,-855.7,-46.1,,,False,,,,,False,True,True,True,,
05009,371,224.0,,,,,,321.0,247.4,275.7,288.8,,,-147.0,,,,,,-50.0,-123.6,-95.3,-82.2,,,,,,,,True,True,True,True,,
05011,206,161.0,,,,,,165.0,23.0,91.8,89.1,,,-45.0,,,,,,-41.0,-183.0,-114.2,-116.9,,,,,,,,True,False,False,False,,
05013,21,35.0,,,,,,20.0,,,23.4,,,14.0,,,,,,-1.0,,,2.4,,,,,,,,True,,,True,,
05015,229,364.0,,,,,,176.0,120.1,233.3,567.2,,,135.0,,,,,,-53.0,-108.9,4.3,338.2,,,,,,,,True,True,True,False,,
05017,687,280.0,,,,,,299.0,88.0,13.5,306.6,,,-407.0,,,,,,-388.0,-599.0,-673.5,-380.4,,,,,,,,True,False,False,True,,
05019,151,245.0,,,,,,265.0,84.9,136.1,515.9,,,94.0,,,,,,114.0,-66.1,-14.9,364.9,,,,,,,,False,True,True,False,,
05021,130,98.0,,,,,,133.0,62.1,83.1,67.2,,,-32.0,,,,,,3.0,-67.9,-46.9,-62.8,,,,,,,,True,False,False,False,,
05023,122,140.0,,,,,,327.0,48.2,150.4,57.3,,,18.0,,,,,,205.0,-73.8,28.4,-64.7,,,,,,,,False,False,False,False,,
05025,102,98.0,,,,,,72.0,24.2,,131.5,,,-4.0,,,,,,-30.0,-77.8,,29.5,,,,,,,,False,False,,False,,
05027,175,210.0,,,,,,403.0,182.3,203.9,150.9,,,35.0,,,,,,228.0,7.3,28.9,-24.1,,,,,,,,False,True,True,True,,
05029,110,70.0,,,,,,431.0,19.4,155.4,151.1,,,-40.0,,,,,,321.0,-90.6,45.4,41.1,,,,,,,,False,False,False,False,,
05031,1406,1610.0,1876.2,,,,,2164.0,484.1,991.2,2157.9,,,204.0,470.2,,,,,758.0,-921.9,-414.8,751.9,,,False,,,,,False,False,False,False,,
05033,640,637.0,577.0,,,,,1309.0,406.6,660.4,712.3,,,-3.0,-63.0,,,,,669.0,-233.4,20.4,72.3,,,False,,,,,False,False,False,False,,
05035,727,1001.0,,,,,,1091.0,524.1,252.4,481.9,,,274.0,,,,,,364.0,-202.9,-474.6,-245.1,,,,,,,,False,True,False,True,,
05037,214,238.0,,,,,,370.0,92.6,90.8,222.9,,,24.0,,,,,,156.0,-121.4,-123.2,8.9,,,,,,,,False,False,False,True,,
05039,125,63.0,,,,,,63.0,50.8,,,,,-62.0,,,,,,-62.0,-74.2,,,,,,,,,,False,False,,,,
05041,135,189.0,,,,,,208.0,37.7,113.1,297.3,,,54.0,,,,,,73.0,-97.3,-21.9,162.3,,,,,,,,False,False,True,False,,
05043,204,126.0,,,,,,321.0,173.6,147.9,120.7,,,-78.0,,,,,,117.0,-30.4,-56.1,-83.3,,,,,,,,False,True,True,False,,
05045,916,1106.0,3416.3,,,,,1841.0,1180.2,962.4,5558.6,,,190.0,2500.3,,,,,925.0,264.2,46.4,4642.6,,,False,,,,,False,False,True,False,,
05047,142,203.0,,,,,,225.0,282.4,,163.5,,,61.0,,,,,,83.0,140.4,,21.5,,,,,,,,False,False,,True,,
05049,75,21.0,,,,,,75.0,20.2,,38.8,,,-54.0,,,,,,0.0,-54.8,,-36.2,,,,,,,,True,False,,True,,
05051,968,1400.0,541.4,,,,,1724.0,2418.0,1423.9,1619.7,,,432.0,-426.6,,,,,756.0,1450.0,455.9,651.7,,,True,,,,,False,False,False,False,,
05053,111,238.0,,,,,,186.0,311.5,154.1,196.4,,,127.0,,,,,,75.0,200.5,43.1,85.4,,,,,,,,True,False,True,True,,
05055,497,336.0,,,,,,708.0,525.5,349.4,190.8,,,-161.0,,,,,,211.0,28.5,-147.6,-306.2,,,,,,,,False,True,True,False,,
05057,181,357.0,,,,,,313.0,389.5,175.0,358.5,,,176.0,,,,,,132.0,208.5,-6.0,177.5,,,,,,,,True,False,True,False,,
05059,390,336.0,,,,,,820.0,139.2,17.7,184.3,,,-54.0,,,,,,430.0,-250.8,-372.3,-205.7,,,,,,,,False,False,False,False,,
05061,220,427.0,,,,,,222.0,150.1,124.5,477.9,,,207.0,,,,,,2.0,-69.9,-95.5,257.9,,,,,,,,True,True,True,False,,
05063,718,560.0,,,,,,922.0,1307.6,399.4,501.5,,,-158.0,,,,,,204.0,589.6,-318.6,-216.5,,,,,,,,False,False,False,False,,
05065,98,42.0,,,,,,62.0,16.2,,29.0,,,-56.0,,,,,,-36.0,-81.8,,-69.0,,,,,,,,True,False,,False,,
05067,192,56.0,,,,,,413.0,219.8,,84.9,,,-136.0,,,,,,221.0,27.8,,-107.1,,,,,,,,False,True,,True,,
05069,1329,1239.0,523.8,,,,,1293.0,808.5,268.6,1159.7,,,-90.0,-805.2,,,,,-36.0,-520.5,-1060.4,-169.3,,,False,,,,,True,False,False,False,,
05071,239,588.0,,,,,,637.0,246.9,101.6,266.6,,,349.0,,,,,,398.0,7.9,-137.4,27.6,,,,,,,,False,True,True,True,,
05073,36,63.0,,,,,,41.0,32.3,,43.3,,,27.0,,,,,,5.0,-3.7,,7.3,,,,,,,,True,True,,True,,
05075,155,154.0,,,,,,283.0,17.4,78.6,111.8,,,-1.0,,,,,,128.0,-137.6,-76.4,-43.2,,,,,,,,False,False,False,False,,
05077,150,84.0,,,,,,163.0,12.0,18.0,940.3,,,-66.0,,,,,,13.0,-138.0,-132.0,790.3,,,,,,,,True,False,False,False,,
05079,632,175.0,,,,,,247.0,26.0,2.3,9.4,,,-457.0,,,,,,-385.0,-606.0,-629.7,-622.6,,,,,,,,True,False,False,False,,
05081,245,126.0,,,,,,179.0,337.4,,92.0,,,-119.0,,,,,,-66.0,92.4,,-153.0,,,,,,,,True,True,,False,,
05083,263,119.0,,,,,,387.0,40.5,173.4,109.1,,,-144.0,,,,,,124.0,-222.5,-89.6,-153.9,,,,,,,,True,False,True,False,,
05085,577,609.0,569.1,,,,,973.0,766.3,682.6,654.9,,,32.0,-7.9,,,,,396.0,189.3,105.6,77.9,,,True,,,,,False,False,False,False,,
05087,74,126.0,,,,,,156.0,9.0,68.6,212.1,,,52.0,,,,,,82.0,-65.0,-5.4,138.1,,,,,,,,False,False,True,False,,
05089,43,21.0,,,,,,90.0,16.9,,,,,-22.0,,,,,,47.0,-26.1,,,,,,,,,,False,False,,,,
05091,315,518.0,,,,,,782.0,269.3,477.2,315.0,,,203.0,,,,,,467.0,-45.7,162.2,0.0,,,,,,,,False,True,True,True,,
05093,956,938.0,,,,,,1046.0,622.9,431.8,916.0,,,-18.0,,,,,,90.0,-333.1,-524.2,-40.0,,,,,,,,False,False,False,False,,
05095,62,84.0,,,,,,49.0,63.5,,107.1,,,22.0,,,,,,-13.0,1.5,,45.1,,,,,,,,True,True,,False,,
05097,104,49.0,,,,,,57.0,6.0,,,,,-55.0,,,,,,-47.0,-98.0,,,,,,,,,,True,False,,,,
05099,55,49.0,,,,,,122.0,4.9,15.6,90.3,,,-6.0,,,,,,67.0,-50.1,-39.4,35.3,,,,,,,,False,False,False,False,,
05101,92,483.0,,,,,,67.0,84.1,,,,,391.0,,,,,,-25.0,-7.9,,,,,,,,,,True,True,,,,
05103,151,119.0,,,,,,315.0,92.1,,148.2,,,-32.0,,,,,,164.0,-58.9,,-2.8,,,,,,,,False,False,,True,,
05105,33,14.0,,,,,,78.0,63.8,,3.9,,,-19.0,,,,,,45.0,30.8,,-29.1,,,,,,,,False,False,,False,,
05107,188,259.0,,,,,,539.0,144.0,24.3,315.1,,,71.0,,,,,,351.0,-44.0,-163.7,127.1,,,,,,,,False,True,False,False,,
05109,157,175.0,,,,,,100.0,35.8,,,,,18.0,,,,,,-57.0,-121.2,,,,,,,,,,False,False,,,,
05111,444,189.0,,,,,,528.0,24.0,168.4,460.0,,,-255.0,,,,,,84.0,-420.0,-275.6,16.0,,,,,,,,True,False,False,True,,
05113,127,133.0,,,,,,303.0,73.4,120.4,124.0,,,6.0,,,,,,176.0,-53.6,-6.6,-3.0,,,,,,,,False,False,False,True,,
05115,921,1428.0,2401.0,,,,,1132.0,607.9,599.5,2571.1,,,507.0,1480.0,,,,,211.0,-313.1,-321.5,1650.1,,,False,,,,,True,True,True,False,,
05117,74,84.0,,,,,,53.0,83.7,,78.2,,,10.0,,,,,,-21.0,9.7,,4.2,,,,,,,,False,True,,True,,
