,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Maryland,15840,20448.0,20189.5,16490.0,25651.0,,,5313.0,27419.2,14815.0,18498.9,16024.1,12521.8,13871.6,,16472.8,1634.2,22821.2,12313.2,13237.8,15313.0,4608.0,4349.5,650.0,9811.0,,,-10527.0,11579.2,-1025.0,2658.9,184.1,-3318.2,-1968.4,,632.8,-14205.8,6981.2,-3526.8,-2602.2,-527.0,True,True,False,,,False,False,True,True,True,True,True,,True,False,False,True,True,True
Massachusetts,8762,9952.0,9961.7,7976.0,1293.0,,,4567.0,22150.0,8637.0,6927.3,15301.5,7168.8,10900.8,,631.7,0.0,12819.2,622.9,2363.7,8814.0,1190.0,1199.7,-786.0,-7469.0,,,-4195.0,13388.0,-125.0,-1834.7,6539.5,-1593.2,2138.8,,-8130.3,-8762.0,4057.2,-8139.1,-6398.3,52.0,False,True,False,,,False,False,True,False,False,False,False,,False,False,False,False,False,True
Michigan,21276,22364.0,22550.6,21994.0,34350.0,,,1160.0,41922.0,21888.0,42190.3,25022.1,14750.5,20212.3,,13941.4,35218.2,26409.3,,19923.7,22102.0,1088.0,1274.6,718.0,13074.0,,,-20116.0,20646.0,612.0,20914.3,3746.1,-6525.5,-1063.7,,-7334.6,13942.2,5133.3,,-1352.3,826.0,False,True,False,,,False,False,True,False,False,False,True,,False,False,False,,False,True
Minnesota,19175,17248.0,17376.1,16142.0,15403.0,,,5102.0,18924.8,18334.0,20177.8,19089.8,14431.9,13955.8,,13726.2,11796.1,11832.6,16622.1,17439.0,14055.0,-1927.0,-1798.9,-3033.0,-3772.0,,,-14073.0,-250.2,-841.0,1002.8,-85.2,-4743.1,-5219.2,,-5448.8,-7378.9,-7342.4,-2552.9,-1736.0,-5120.0,True,False,False,,,False,True,True,True,True,False,False,,False,False,False,False,True,False
Mississippi,17865,20436.0,20525.8,16803.0,15129.0,,,23534.0,24072.7,22275.0,20784.2,19050.6,11044.3,13258.5,,9594.4,22894.4,16599.0,39378.2,10198.9,12403.0,2571.0,2660.8,-1062.0,-2736.0,,,5669.0,6207.7,4410.0,2919.2,1185.6,-6820.7,-4606.5,,-8270.6,5029.4,-1266.0,21513.2,-7666.1,-5462.0,False,True,False,,,False,False,False,False,True,False,False,,False,False,True,False,False,False
Missouri,36443,35932.0,32984.6,31568.0,62876.0,,,29846.0,42760.0,24804.0,37542.8,32076.1,27166.4,27451.3,,19687.8,72492.3,73036.4,60155.9,39575.2,27616.0,-511.0,-3458.4,-4875.0,26433.0,,,-6597.0,6317.0,-11639.0,1099.8,-4366.9,-9276.6,-8991.7,,-16755.2,36049.3,36593.4,23712.9,3132.2,-8827.0,False,False,False,,,False,False,False,False,False,False,False,,False,False,False,False,False,False
Montana,3266,3080.0,3053.2,2998.0,2119.0,,,2415.0,5020.8,4397.0,4592.1,3774.2,2712.2,2798.4,,1964.2,5906.6,1595.4,2674.5,3213.9,3067.0,-186.0,-212.8,-268.0,-1147.0,,,-851.0,1754.8,1131.0,1326.1,508.2,-553.8,-467.6,,-1301.8,2640.6,-1670.6,-591.5,-52.1,-199.0,False,False,False,,,False,False,False,False,False,False,False,,False,False,False,False,True,False
Nebraska,7879,7984.0,7755.7,6302.0,10393.0,,,1110.0,6537.0,6254.0,7171.3,11666.1,4856.1,6273.9,,4563.9,235.4,7947.0,4905.1,6162.1,6416.0,105.0,-123.3,-1577.0,2514.0,,,-6769.0,-1342.0,-1625.0,-707.7,3787.1,-3022.9,-1605.1,,-3315.1,-7643.6,68.0,-2973.9,-1716.9,-1463.0,False,False,False,,,False,False,False,False,False,False,False,,False,False,True,False,False,False
Nevada,12612,20756.0,20943.5,15682.0,14468.0,,,24870.0,22723.4,16459.0,15252.6,18359.6,15764.4,13995.2,,13566.2,42107.7,15436.0,11430.6,14935.3,13248.0,8144.0,8331.5,3070.0,1856.0,,,12258.0,10111.4,3847.0,2640.6,5747.6,3152.4,1383.2,,954.2,29495.7,2824.0,-1181.4,2323.3,636.0,False,True,True,,,False,False,True,True,True,True,True,,True,False,True,True,True,True
New Hampshire,672,648.0,661.0,571.0,898.0,,,29.0,773.3,588.0,1633.6,185.1,396.8,533.2,,479.9,0.0,670.9,431.1,540.6,566.0,-24.0,-11.0,-101.0,226.0,,,-643.0,101.3,-84.0,961.6,-486.9,-275.2,-138.8,,-192.1,-672.0,-1.1,-240.9,-131.4,-106.0,True,False,False,,,False,False,False,False,False,False,False,,False,False,True,False,False,False
