,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,79478,117075.0,129403.0,,97456.0,350306.3,83255.6,98022.6,84913.6,,97124.0,87602.4,67641.0,37597.0,49925.0,,17978.0,270828.3,3777.6,18544.6,5435.6,,17646.0,8124.4,-11837.0,False,,True,False,True,True,True,,True,True,True
Hawaii,7376,5745.0,8027.0,,3932.0,23.8,12198.8,10607.0,7148.5,,5167.3,21458.4,18195.0,-1631.0,651.0,,-3444.0,-7352.2,4822.8,3231.0,-227.5,,-2208.7,14082.4,10819.0,True,,False,False,False,False,True,,False,False,False
Idaho,10670,16935.0,25447.0,,12914.0,25698.3,21830.1,17391.9,9953.6,,12896.6,11640.6,15194.0,6265.0,14777.0,,2244.0,15028.3,11160.1,6721.9,-716.4,,2226.6,970.6,4524.0,False,,True,False,False,False,True,,True,True,True
Illinois,68001,61220.0,91512.0,,2767.0,66483.0,79113.2,93901.7,38674.5,,75946.9,75495.6,68163.0,-6781.0,23511.0,,-65234.0,-1518.0,11112.2,25900.7,-29326.5,,7945.9,7494.6,162.0,False,,False,True,False,False,False,,False,False,True
Indiana,31274,30825.0,45887.0,,8273.0,43293.8,42634.2,33245.9,25319.6,,31002.7,56164.4,30889.0,-449.0,14613.0,,-23001.0,12019.8,11360.2,1971.9,-5954.4,,-271.3,24890.4,-385.0,False,,False,False,False,False,False,,True,False,True
Iowa,25670,16210.0,19728.0,,2882.0,21761.3,19981.1,15418.7,10794.0,,12411.7,14511.3,13247.0,-9460.0,-5942.0,,-22788.0,-3908.7,-5688.9,-10251.3,-14876.0,,-13258.3,-11158.7,-12423.0,True,,False,True,True,False,False,,False,False,False
Kansas,18176,14355.0,18173.0,,10589.0,40359.8,23542.7,9945.8,7820.3,,14492.3,8540.5,11257.0,-3821.0,-3.0,,-7587.0,22183.8,5366.7,-8230.2,-10355.7,,-3683.7,-9635.5,-6919.0,True,,False,False,False,False,False,,True,False,False
Kentucky,21837,19275.0,26150.0,,12775.0,53441.0,34149.1,21581.3,12641.3,,17119.5,15123.6,15345.0,-2562.0,4313.0,,-9062.0,31604.0,12312.1,-255.7,-9195.7,,-4717.5,-6713.4,-6492.0,False,,False,False,False,True,False,,False,False,False
Louisiana,28363,62330.0,61353.0,,37535.0,143688.5,41882.5,51808.1,40881.3,,50152.9,28576.8,18639.0,33967.0,32990.0,,9172.0,115325.5,13519.5,23445.1,12518.3,,21789.9,213.8,-9724.0,True,,True,False,True,True,True,,True,True,True
Maine,807,455.0,574.0,,189.0,943.1,1584.2,409.1,244.0,,415.9,360.4,321.0,-352.0,-233.0,,-618.0,136.1,777.2,-397.9,-563.0,,-391.1,-446.6,-486.0,True,,False,True,False,False,False,,False,False,False
Maryland,20952,26080.0,18942.0,,7978.0,41117.4,23291.2,51690.5,17664.5,,25931.7,19484.4,16363.0,5128.0,-2010.0,,-12974.0,20165.4,2339.2,30738.5,-3287.5,,4979.7,-1467.6,-4589.0,True,,False,False,True,False,True,,True,True,True
Massachusetts,10770,13355.0,13617.0,,73.0,36125.8,25944.1,31274.6,7525.9,,22734.0,16759.9,13026.0,2585.0,2847.0,,-10697.0,25355.8,15174.1,20504.6,-3244.1,,11964.0,5989.9,2256.0,False,,False,False,False,False,False,,False,False,True
Michigan,26867,24295.0,23362.0,,4920.0,35290.1,58574.6,47672.6,15120.7,,19021.5,17977.0,17988.0,-2572.0,-3505.0,,-21947.0,8423.1,31707.6,20805.6,-11746.3,,-7845.5,-8890.0,-8879.0,False,,False,False,False,False,False,,False,False,False
Minnesota,23487,24565.0,29856.0,,5340.0,17649.3,28538.3,39519.4,18888.3,,24924.3,28245.0,21113.0,1078.0,6369.0,,-18147.0,-5837.7,5051.3,16032.4,-4598.7,,1437.3,4758.0,-2374.0,False,,False,False,False,False,False,,False,False,False
Mississippi,22974,33825.0,29378.0,,37822.0,71385.2,29772.5,90201.1,16605.5,,48081.2,15510.4,14242.0,10851.0,6404.0,,14848.0,48411.2,6798.5,67227.1,-6368.5,,25107.2,-7463.6,-8732.0,True,,False,False,True,False,True,,False,True,True
Missouri,44149,31945.0,19671.0,,41374.0,106736.6,50011.1,155169.2,22571.7,,44892.2,12861.1,17363.0,-12204.0,-24478.0,,-2775.0,62587.6,5862.1,111020.2,-21577.3,,743.2,-31287.9,-26786.0,False,,True,False,True,False,False,,True,False,False
Montana,4036,4040.0,4106.0,,2640.0,3560.8,6320.3,5114.4,2679.8,,2635.3,3453.3,3444.0,4.0,70.0,,-1396.0,-475.2,2284.3,1078.4,-1356.2,,-1400.7,-582.7,-592.0,False,,False,False,False,False,False,,False,False,False
Nebraska,9875,9270.0,8626.0,,1318.0,8976.8,9957.2,14768.8,5163.8,,12657.0,5818.3,5900.0,-605.0,-1249.0,,-8557.0,-898.2,82.2,4893.8,-4711.2,,2782.0,-4056.7,-3975.0,False,,False,False,True,False,False,,False,False,False
Nevada,17801,31725.0,21289.0,,38704.0,90846.3,22169.9,34944.0,19784.2,,23426.6,16216.4,18932.0,13924.0,3488.0,,20903.0,73045.3,4368.9,17143.0,1983.2,,5625.6,-1584.6,1131.0,True,,False,False,True,False,True,,True,True,True
New Hampshire,834,1020.0,1499.0,,46.0,3729.1,2297.2,214.3,597.0,,927.4,959.3,987.0,186.0,665.0,,-788.0,2895.1,1463.2,-619.7,-237.0,,93.4,125.3,153.0,False,,False,False,False,False,False,,True,True,True
New Jersey,13431,12000.0,12723.0,,167.0,15849.5,20091.9,15912.1,7179.9,,25580.2,28743.5,5932.0,-1431.0,-708.0,,-13264.0,2418.5,6660.9,2481.1,-6251.1,,12149.2,15312.5,-7499.0,True,,False,False,False,False,False,,False,False,False
New Mexico,4546,6595.0,6091.0,,5543.0,20173.7,11809.4,10868.2,4086.0,,8273.7,3563.9,3555.0,2049.0,1545.0,,997.0,15627.7,7263.4,6322.2,-460.0,,3727.7,-982.1,-991.0,True,,True,False,False,False,True,,False,True,True
New York,22851,22890.0,24168.0,,298.0,30101.3,87371.2,27538.5,13136.0,,23380.7,20325.0,20437.0,39.0,1317.0,,-22553.0,7250.3,64520.2,4687.5,-9715.0,,529.7,-2526.0,-2414.0,False,,False,False,False,False,False,,False,False,False
North Carolina,50718,54710.0,54562.0,,67226.0,141844.0,68323.3,56011.0,34854.0,,51244.6,33108.9,39126.0,3992.0,3844.0,,16508.0,91126.0,17605.3,5293.0,-15864.0,,526.6,-17609.1,-11592.0,True,,False,False,False,False,False,,True,False,False
North Dakota,7643,4530.0,3951.0,,487.0,2772.3,4498.5,4647.7,3293.4,,5480.8,4893.6,4226.0,-3113.0,-3692.0,,-7156.0,-4870.7,-3144.5,-2995.3,-4349.6,,-2162.2,-2749.4,-3417.0,False,,False,False,False,True,False,,True,True,False
Ohio,36599,39410.0,45397.0,,21275.0,120950.3,75232.3,37350.4,22662.6,,33012.0,28768.2,30475.0,2811.0,8798.0,,-15324.0,84351.3,38633.3,751.4,-13936.4,,-3587.0,-7830.8,-6124.0,False,,False,False,False,True,False,,False,False,False
Oklahoma,25579,26745.0,23558.0,,30757.0,53236.7,43953.3,65833.2,14328.8,,21423.1,13850.6,16498.0,1166.0,-2021.0,,5178.0,27657.7,18374.3,40254.2,-11250.2,,-4155.9,-11728.4,-9081.0,False,,False,False,False,False,False,,False,False,False
Oregon,8146,10965.0,13004.0,,12766.0,41464.9,24345.6,12354.1,7622.3,,9369.9,9369.0,9165.0,2819.0,4858.0,,4620.0,33318.9,16199.6,4208.1,-523.7,,1223.9,1223.0,1019.0,False,,False,False,False,False,True,,True,True,True
Pennsylvania,25970,25985.0,22957.0,,720.0,37530.5,67455.6,47716.3,15082.6,,20996.9,18986.3,15051.0,15.0,-3013.0,,-25250.0,11560.5,41485.6,21746.3,-10887.4,,-4973.1,-6983.7,-10919.0,False,,False,False,False,False,False,,False,False,False
Rhode Island,3167,3580.0,3650.0,,21.0,2384.5,1168.7,1180.6,1379.7,,3545.4,2926.4,2216.0,413.0,483.0,,-3146.0,-782.5,-1998.3,-1986.4,-1787.3,,378.4,-240.6,-951.0,False,,False,False,False,False,False,,True,True,False
South Carolina,30518,44305.0,39489.0,,40344.0,63165.1,44000.6,39339.3,23995.5,,31863.2,23770.6,25623.0,13787.0,8971.0,,9826.0,32647.1,13482.6,8821.3,-6522.5,,1345.2,-6747.4,-4895.0,True,,True,False,True,True,True,,True,True,True
South Dakota,6960,3050.0,2867.0,,620.0,3053.8,2065.8,3416.3,2539.2,,5840.4,6080.3,3722.0,-3910.0,-4093.0,,-6340.0,-3906.2,-4894.2,-3543.7,-4420.8,,-1119.6,-879.7,-3238.0,False,,False,True,False,True,False,,True,True,True
Tennessee,50306,62005.0,55985.0,,62121.0,46848.2,61398.5,57961.8,52348.9,,64325.4,44391.6,29034.0,11699.0,5679.0,,11815.0,-3457.8,11092.5,7655.8,2042.9,,14019.4,-5914.4,-21272.0,True,,False,True,True,True,True,,False,True,False
Texas,179245,264470.0,294970.0,,240829.0,975926.1,230470.3,224761.6,136576.9,,220676.6,165281.4,171213.0,85225.0,115725.0,,61584.0,796681.1,51225.3,45516.6,-42668.1,,41431.6,-13963.6,-8032.0,False,,True,False,True,True,True,,True,True,True
Utah,13496,15245.0,13970.0,,13981.0,23663.6,15023.7,12830.2,9707.1,,15511.2,9602.1,9713.0,1749.0,474.0,,485.0,10167.6,1527.7,-665.8,-3788.9,,2015.2,-3893.9,-3783.0,True,,True,False,True,True,False,,False,False,False
Vermont,223,165.0,298.0,,24.0,111.1,953.7,387.1,108.8,,266.0,159.1,120.0,-58.0,75.0,,-199.0,-111.9,730.7,164.1,-114.2,,43.0,-63.9,-103.0,False,,False,False,False,False,False,,True,False,False
Virginia,33679,41940.0,66501.0,,11196.0,126858.7,51333.1,38307.9,25205.6,,55805.1,49862.4,0.0,8261.0,32822.0,,-22483.0,93179.7,17654.1,4628.9,-8473.4,,22126.1,16183.4,-33679.0,False,,False,False,False,True,False,,False,False,False
Washington,17549,24910.0,25558.0,,26351.0,61936.6,35402.0,33281.0,16354.6,,26556.3,20063.7,19462.0,7361.0,8009.0,,8802.0,44387.6,17853.0,15732.0,-1194.4,,9007.3,2514.7,1913.0,False,,False,False,False,False,True,,False,True,True
West Virginia,4965,4125.0,5630.0,,3945.0,3139.9,10372.8,7056.5,3247.8,,3075.6,3707.6,4322.0,-840.0,665.0,,-1020.0,-1825.1,5407.8,2091.5,-1717.2,,-1889.4,-1257.4,-643.0,True,,False,False,False,False,False,,False,False,True
Wisconsin,27670,29655.0,41152.0,,12115.0,44411.3,42150.5,25836.5,20012.8,,27588.2,27450.2,25451.0,1985.0,13482.0,,-15555.0,16741.3,14480.5,-1833.5,-7657.2,,-81.8,-219.8,-2219.0,False,,False,False,False,True,False,,True,True,False
Wyoming,1298,1230.0,902.0,,1076.0,26.0,2363.2,3555.1,743.3,,1353.2,612.0,1139.0,-68.0,-396.0,,-222.0,-1272.0,1065.2,2257.1,-554.7,,55.2,-686.0,-159.0,False,,False,False,False,False,False,,True,False,False
US,1486377,1886685.0,1893910.0,1213129.0,1706991.0,4197308.3,2168670.9,2181487.0,1104307.7,1766698.9,1446192.3,1310321.3,1192232.0,400308.0,407533.0,-273248.0,220614.0,2710931.3,682293.9,695110.0,-382069.3,280321.9,-40184.7,-176055.7,-294145.0,False,True,True,False,False,False,True,True,True,True,True
