,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,40683,51162.0,50119.9,42405.0,48833.0,,37683.7,52074.0,44448.8,49760.0,40365.8,54250.5,33471.1,37279.9,36375.0,,34008.2,58069.8,46573.8,45935.0,36124.5,32071.0,10479.0,9436.9,1722.0,8150.0,,-2999.3,11391.0,3765.8,9077.0,-317.2,13567.5,-7211.9,-3403.1,-4308.0,,-6674.8,17386.8,5890.8,5252.0,-4558.5,-8612.0,True,True,True,,True,False,True,True,True,False,True,True,True,,True,False,True,True,True,True
Hawaii,4366,4593.0,4511.0,4771.0,5648.0,,8311.6,4270.0,6572.9,,7011.0,15220.3,4911.4,4611.4,8381.0,,4101.6,2162.3,5914.9,6537.2,5781.2,4617.0,227.0,145.0,405.0,1282.0,,3945.6,-96.0,2206.9,,2645.0,10854.3,545.4,245.4,4015.0,,-264.4,-2203.7,1548.9,2171.2,1415.2,251.0,True,False,False,,False,True,False,,False,False,False,False,False,,False,False,False,False,False,False
Idaho,5508,6552.0,6408.3,5893.0,4731.0,,4400.2,7319.0,16841.0,5996.0,9652.6,7662.8,4041.2,5073.4,4296.0,,4206.4,11155.8,5871.1,5987.3,3599.2,4049.0,1044.0,900.3,385.0,-777.0,,-1107.8,1811.0,11333.0,488.0,4144.6,2154.8,-1466.8,-434.6,-1212.0,,-1301.6,5647.8,363.1,479.3,-1908.8,-1459.0,True,True,True,,False,False,False,True,False,False,False,True,False,,False,False,True,True,False,False
Illinois,42298,41550.0,41413.2,39255.0,56577.0,,35691.8,7149.0,40293.0,34657.0,41959.6,58006.8,33317.0,39220.5,48549.0,,39748.6,25280.4,43862.9,30449.7,49316.5,42397.0,-748.0,-884.8,-3043.0,14279.0,,-6606.2,-35149.0,-2005.0,-7641.0,-338.4,15708.8,-8981.0,-3077.5,6251.0,,-2549.4,-17017.6,1564.9,-11848.3,7018.5,99.0,False,False,False,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,True
Indiana,19244,16923.0,16999.9,14986.0,16720.0,,15713.3,5995.0,16105.1,14774.0,23010.5,21127.5,12750.3,13543.7,16536.0,,12287.1,9929.7,13208.3,14437.4,15122.0,14470.0,-2321.0,-2244.1,-4258.0,-2524.0,,-3530.7,-13249.0,-3138.9,-4470.0,3766.5,1883.5,-6493.7,-5700.3,-2708.0,,-6956.9,-9314.3,-6035.7,-4806.6,-4122.0,-4774.0,True,False,False,,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Iowa,18209,11793.0,11847.0,10229.0,19802.0,,9981.9,2417.0,8210.7,10229.0,10139.4,9722.4,10036.7,10449.6,15605.0,,10941.2,4162.2,13850.6,8152.1,14496.7,11678.0,-6416.0,-6362.0,-7980.0,1593.0,,-8227.1,-15792.0,-9998.3,-7980.0,-8069.6,-8486.6,-8172.3,-7759.4,-2604.0,,-7267.8,-14046.8,-4358.4,-10056.9,-3712.3,-6531.0,True,False,True,,False,False,False,False,False,False,False,False,True,,False,False,True,False,True,False
Kansas,11270,10509.0,10622.8,9192.0,14988.0,,8097.6,7609.0,7476.3,12492.0,13174.4,9462.2,8132.5,9850.5,15462.0,,6751.9,10462.3,7530.9,9310.4,11456.7,11352.0,-761.0,-647.2,-2078.0,3718.0,,-3172.4,-3661.0,-3793.7,1222.0,1904.4,-1807.8,-3137.5,-1419.5,4192.0,,-4518.1,-807.7,-3739.1,-1959.6,186.7,82.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,True,True
Kentucky,13349,12408.0,12356.1,11430.0,15479.0,,10293.7,11490.0,15178.4,14353.0,14069.9,13424.6,6097.6,9180.7,12891.0,,3323.2,13088.3,12321.9,9509.5,8758.4,14167.0,-941.0,-992.9,-1919.0,2130.0,,-3055.3,-1859.0,1829.4,1004.0,720.9,75.6,-7251.4,-4168.3,-458.0,,-10025.8,-260.7,-1027.1,-3839.5,-4590.6,818.0,False,False,False,,False,False,False,False,True,True,False,False,True,,False,True,False,False,False,True
Louisiana,15389,14949.0,14081.2,11871.0,10105.0,,6674.6,20136.0,34814.4,20860.0,12002.5,10504.7,12798.7,10132.4,7141.0,,11868.2,20909.9,13606.1,,8340.7,7275.0,-440.0,-1307.8,-3518.0,-5284.0,,-8714.4,4747.0,19425.4,5471.0,-3386.5,-4884.3,-2590.3,-5256.6,-8248.0,,-3520.8,5520.9,-1782.9,,-7048.3,-8114.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False
Maine,517,522.0,506.7,438.0,860.0,,433.2,147.0,412.5,431.0,869.3,238.2,372.5,490.0,988.0,,234.7,885.9,457.1,473.8,809.6,794.0,5.0,-10.3,-79.0,343.0,,-83.8,-370.0,-104.5,-86.0,352.3,-278.8,-144.5,-27.0,471.0,,-282.3,368.9,-59.9,-43.2,292.6,277.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maryland,12010,11490.0,10848.0,9791.0,11469.0,,9064.7,2997.0,13862.3,11600.0,12437.9,10112.4,9082.9,9431.9,9026.0,,9312.1,23318.9,13518.5,,9815.4,8926.0,-520.0,-1162.0,-2219.0,-541.0,,-2945.3,-9013.0,1852.3,-410.0,427.9,-1897.6,-2927.1,-2578.1,-2984.0,,-2697.9,11308.9,1508.5,,-2194.6,-3084.0,False,False,False,,False,False,False,True,True,False,False,False,False,,False,False,False,,False,False
Massachusetts,6693,6483.0,6630.2,3910.0,323.0,,6690.6,2624.0,7237.3,16279.0,5085.0,10726.0,3225.7,3648.5,5485.0,,3403.5,1263.0,8349.0,,262.4,5853.0,-210.0,-62.8,-2783.0,-6370.0,,-2.4,-4069.0,544.3,9586.0,-1608.0,4033.0,-3467.3,-3044.5,-1208.0,,-3289.5,-5430.0,1656.0,,-6430.6,-840.0,True,False,False,,True,False,False,False,False,False,False,False,False,,False,False,False,,False,False
Michigan,17014,12786.0,12541.1,13116.0,12845.0,,12225.5,7841.0,18249.5,14132.0,26146.3,16274.8,11775.0,11913.4,12359.0,,11247.6,20729.4,15497.6,,15070.5,8733.0,-4228.0,-4472.9,-3898.0,-4169.0,,-4788.5,-9173.0,1235.5,-2882.0,9132.3,-739.2,-5239.0,-5100.6,-4655.0,,-5766.4,3715.4,-1516.4,,-1943.5,-8281.0,False,True,True,,False,False,True,True,False,True,False,False,False,,False,True,True,,True,False
Minnesota,14721,13362.0,13286.9,13042.0,15918.0,,10426.3,3608.0,11998.9,13226.0,14759.8,12866.6,11826.6,11211.7,11962.0,,10432.3,3258.8,14167.1,10578.0,16799.1,13259.0,-1359.0,-1434.1,-1679.0,1197.0,,-4294.7,-11113.0,-2722.1,-1495.0,38.8,-1854.4,-2894.4,-3509.3,-2759.0,,-4288.7,-11462.2,-553.9,-4143.0,2078.1,-1462.0,False,False,True,,False,False,False,False,True,False,False,False,False,,False,False,True,False,False,False
Mississippi,12352,16539.0,16820.8,13311.0,18825.0,,9453.5,12738.0,14143.3,13910.0,12595.4,11174.3,13318.9,13115.8,13998.0,,9509.2,12338.6,19369.7,13636.4,15781.5,8064.0,4187.0,4468.8,959.0,6473.0,,-2898.5,386.0,1791.3,1558.0,243.4,-1177.7,966.9,763.8,1646.0,,-2842.8,-13.4,7017.7,1284.4,3429.5,-4288.0,False,True,False,,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,False
Missouri,27338,23844.0,19535.8,19536.0,26310.0,,17869.0,21219.0,22232.7,21536.0,27056.8,20613.1,16092.7,19103.8,23824.0,,14547.9,28605.8,13562.4,16680.4,17263.6,20515.0,-3494.0,-7802.2,-7802.0,-1028.0,,-9469.0,-6119.0,-5105.3,-5802.0,-281.2,-6724.9,-11245.3,-8234.2,-3514.0,,-12790.1,1267.8,-13775.6,-10657.6,-10074.4,-6823.0,False,False,True,,False,False,False,False,True,False,False,False,False,,False,True,False,False,False,False
Montana,2549,2151.0,2150.9,1980.0,1704.0,,1788.2,2086.0,2325.5,3402.0,2799.2,2534.1,1792.1,1714.9,1821.0,,1087.0,6462.7,1411.0,1992.5,1957.0,2068.0,-398.0,-398.1,-569.0,-845.0,,-760.8,-463.0,-223.5,853.0,250.2,-14.9,-756.9,-834.1,-728.0,,-1462.0,3913.7,-1138.0,-556.5,-592.0,-481.0,False,False,False,,False,False,True,False,True,True,False,False,False,,False,False,False,False,False,False
Nebraska,6340,4617.0,4685.7,4210.0,4255.0,,4263.7,1173.0,4101.2,5249.0,5045.2,8144.4,2797.0,3701.7,4208.0,,3079.7,4745.8,4685.2,4574.9,3075.0,3388.0,-1723.0,-1654.3,-2130.0,-2085.0,,-2076.3,-5167.0,-2238.8,-1091.0,-1294.8,1804.4,-3543.0,-2638.3,-2132.0,,-3260.3,-1594.2,-1654.8,-1765.1,-3265.0,-2952.0,True,False,False,,False,False,False,True,True,False,False,False,False,,False,True,True,False,False,False
Nevada,8151,13383.0,13627.3,11396.0,12622.0,,8187.7,14180.0,11823.2,12259.0,8612.9,11619.0,9221.2,9094.5,9337.0,,8936.5,14967.9,12365.3,11859.9,8880.3,9170.0,5232.0,5476.3,3245.0,4471.0,,36.7,6029.0,3672.2,4108.0,461.9,3468.0,1070.2,943.5,1186.0,,785.5,6816.9,4214.3,3708.9,729.3,1019.0,False,True,True,,True,False,True,True,True,True,True,True,True,,True,False,True,True,True,True
New Hampshire,558,342.0,347.4,332.0,355.0,,391.0,16.0,491.7,357.0,851.3,115.2,243.3,283.2,273.0,,254.4,104.9,333.2,760.2,329.5,243.0,-216.0,-210.6,-226.0,-203.0,,-167.0,-542.0,-66.3,-201.0,293.3,-442.8,-314.7,-274.8,-285.0,,-303.6,-453.1,-224.8,202.2,-228.5,-315.0,True,False,True,,True,False,True,True,False,False,False,False,False,,False,False,False,True,False,False
New Jersey,6991,5712.0,5759.3,6349.0,8123.0,,7591.8,221.0,7961.3,7031.0,10616.8,9019.1,3648.4,4695.2,5767.0,,11182.1,2329.1,5319.8,,6071.6,3437.0,-1279.0,-1231.7,-642.0,1132.0,,600.8,-6770.0,970.3,40.0,3625.8,2028.1,-3342.6,-2295.8,-1224.0,,4191.1,-4661.9,-1671.2,,-919.4,-3554.0,True,True,True,,True,False,True,True,False,False,False,False,True,,False,False,False,,True,False
New Mexico,2359,3000.0,2958.0,2559.0,2537.0,,1368.8,2243.0,2874.2,3443.0,3541.3,2195.3,2520.0,2443.3,2277.0,,2541.7,5875.8,2483.1,3167.2,3364.6,2127.0,641.0,599.0,200.0,178.0,,-990.2,-116.0,515.2,1084.0,1182.3,-163.7,161.0,84.3,-82.0,,182.7,3516.8,124.1,808.2,1005.6,-232.0,True,True,True,,False,True,True,False,False,True,True,True,True,,True,False,True,False,False,True
New York,14475,12792.0,12927.2,11913.0,13934.0,,11166.6,163.0,17156.0,8172.0,25521.5,14905.7,9183.7,11825.4,12829.0,,11726.6,213.2,9721.2,,12578.3,12234.0,-1683.0,-1547.8,-2562.0,-541.0,,-3308.4,-14312.0,2681.0,-6303.0,11046.5,430.7,-5291.3,-2649.6,-1646.0,,-2748.4,-14261.8,-4753.8,,-1896.7,-2241.0,True,False,True,,False,False,False,False,False,True,False,False,True,,False,False,False,,False,False
North Carolina,30056,29808.0,29687.6,27398.0,43723.0,,19892.8,41994.0,22223.8,25045.0,30441.6,24645.0,26070.0,27354.9,29884.0,,22481.9,44212.0,27461.5,27119.3,40647.3,21434.0,-248.0,-368.4,-2658.0,13667.0,,-10163.2,11938.0,-7832.2,-5011.0,385.6,-5411.0,-3986.0,-2701.1,-172.0,,-7574.1,14156.0,-2594.5,-2936.7,10591.3,-8622.0,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
North Dakota,5415,3876.0,3860.9,3611.0,6356.0,,3189.8,160.0,3543.8,2842.0,2563.5,3155.0,3799.7,3651.2,5902.0,,4043.5,2770.7,4121.0,3789.9,6678.6,4255.0,-1539.0,-1554.1,-1804.0,941.0,,-2225.2,-5255.0,-1871.2,-2573.0,-2851.5,-2260.0,-1615.3,-1763.8,487.0,,-1371.5,-2644.3,-1294.0,-1625.1,1263.6,-1160.0,False,False,True,,False,False,False,False,False,False,False,False,True,,True,False,True,False,True,True
Ohio,22403,19473.0,19651.5,17119.0,20394.0,,13417.4,17072.0,16851.3,19523.0,33803.3,19010.9,13461.6,16328.5,15684.0,,13259.7,3092.3,18978.7,16333.5,16426.7,16637.0,-2930.0,-2751.5,-5284.0,-2009.0,,-8985.6,-5331.0,-5551.7,-2880.0,11400.3,-3392.1,-8941.4,-6074.5,-6719.0,,-9143.3,-19310.7,-3424.3,-6069.5,-5976.3,-5766.0,True,False,True,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
Oklahoma,16060,14403.0,13165.3,13021.0,20548.0,,9660.7,14129.0,11771.2,14872.0,19474.0,11447.0,12206.4,11171.6,13498.0,,7833.4,16504.5,13408.9,11800.5,16963.1,12203.0,-1657.0,-2894.7,-3039.0,4488.0,,-6399.3,-1931.0,-4288.8,-1188.0,3414.0,-4613.0,-3853.6,-4888.4,-2562.0,,-8226.6,444.5,-2651.1,-4259.5,903.1,-3857.0,False,False,False,,False,False,False,True,False,False,False,False,False,,False,True,False,False,True,False
Oregon,4446,5076.0,5072.6,4574.0,4545.0,,4430.7,7903.0,4454.5,4564.0,10694.2,5481.8,4123.9,4309.1,4088.0,,3694.4,11158.5,4653.1,4413.1,4547.9,5067.0,630.0,626.6,128.0,99.0,,-15.3,3457.0,8.5,118.0,6248.2,1035.8,-322.1,-136.9,-358.0,,-751.6,6712.5,207.1,-32.9,101.9,621.0,True,True,True,,True,False,True,True,False,False,True,True,True,,False,False,True,True,True,True
Pennsylvania,15475,13887.0,13470.2,12037.0,11982.0,,12085.6,3449.0,14833.7,10376.0,26021.0,12472.5,9966.0,12178.9,12284.0,,9558.0,14536.9,12464.5,12874.5,11740.5,11651.0,-1588.0,-2004.8,-3438.0,-3493.0,,-3389.4,-12026.0,-641.3,-5099.0,10546.0,-3002.5,-5509.0,-3296.1,-3191.0,,-5917.0,-938.1,-3010.5,-2600.5,-3734.5,-3824.0,False,False,False,,False,False,True,False,False,False,False,False,False,,False,True,False,False,False,False
Rhode Island,1883,2061.0,2141.6,1525.0,1522.0,,1706.4,5.0,2870.8,4962.0,1488.1,2876.2,913.1,1332.9,1705.0,,868.8,178.5,2334.2,,1742.4,1195.0,178.0,258.6,-358.0,-361.0,,-176.6,-1878.0,987.8,3079.0,-394.9,993.2,-969.9,-550.1,-178.0,,-1014.2,-1704.5,451.2,,-140.6,-688.0,False,False,False,,True,False,False,False,False,False,False,False,False,,False,False,False,,True,False
South Carolina,18683,16239.0,15844.0,13396.0,14138.0,,8779.8,13237.0,13039.7,14968.0,10883.4,14650.0,13167.2,13200.8,10959.0,,10290.7,25207.1,14397.8,15846.2,14773.6,10488.0,-2444.0,-2839.0,-5287.0,-4545.0,,-9903.2,-5446.0,-5643.3,-3715.0,-7799.6,-4033.0,-5515.8,-5482.2,-7724.0,,-8392.3,6524.1,-4285.2,-2836.8,-3909.4,-8195.0,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
South Dakota,5302,3051.0,3030.5,3000.0,3985.0,,3256.3,285.0,2328.9,2082.0,1209.3,2748.7,2932.8,3124.4,5375.0,,3466.1,865.3,3612.8,1380.8,6726.7,3867.0,-2251.0,-2271.5,-2302.0,-1317.0,,-2045.7,-5017.0,-2973.1,-3220.0,-4092.7,-2553.3,-2369.2,-2177.6,73.0,,-1835.9,-4436.7,-1689.2,-3921.2,1424.7,-1435.0,False,False,True,,True,False,False,False,False,False,False,True,True,,True,False,True,False,True,True
Tennessee,28808,31008.0,32263.6,25899.0,29093.0,,16423.3,23936.0,29223.5,25678.0,29544.2,22943.4,28094.5,22405.3,21673.0,,25189.6,26969.3,25143.5,25490.5,27239.4,20725.0,2200.0,3455.6,-2909.0,285.0,,-12384.7,-4872.0,415.5,-3130.0,736.2,-5864.6,-713.5,-6402.7,-7135.0,,-3618.4,-1838.7,-3664.5,-3317.5,-1568.6,-8083.0,False,False,True,,False,False,True,False,True,False,True,False,False,,False,True,False,False,True,False
Texas,89780,128391.0,129400.9,96524.0,100162.0,,89477.6,113286.0,93051.9,156940.0,97538.4,114709.5,75430.7,93740.0,87567.0,,80339.3,312396.0,117362.2,111701.9,65854.3,97568.0,38611.0,39620.9,6744.0,10382.0,,-302.4,23506.0,3271.9,67160.0,7758.4,24929.5,-14349.3,3960.0,-2213.0,,-9440.7,222616.0,27582.2,21921.9,-23925.7,7788.0,False,True,True,,True,True,True,False,True,True,True,True,True,,True,False,True,True,True,True
Utah,8433,7479.0,7872.0,6005.0,6498.0,,5129.4,5787.0,5577.2,6675.0,6372.9,5965.6,6001.8,6252.6,6082.0,,4542.9,8996.6,7987.6,7181.8,5685.7,5429.0,-954.0,-561.0,-2428.0,-1935.0,,-3303.6,-2646.0,-2855.8,-1758.0,-2060.1,-2467.4,-2431.2,-2180.4,-2351.0,,-3890.1,563.6,-445.4,-1251.2,-2747.3,-3004.0,True,False,False,,False,False,False,False,False,False,False,False,False,,False,True,True,False,False,False
Vermont,124,132.0,136.2,129.0,174.0,,158.6,29.0,155.5,92.0,426.2,205.9,69.4,124.0,186.0,,81.4,94.6,140.7,,166.1,127.0,8.0,12.2,5.0,50.0,,34.6,-95.0,31.5,-32.0,302.2,81.9,-54.6,-0.0,62.0,,-42.6,-29.4,16.7,,42.1,3.0,False,True,False,,False,False,False,False,False,False,False,True,False,,False,False,False,,False,True
Virginia,20796,18954.0,18545.7,17250.0,19634.0,,14974.6,7060.0,18962.9,15693.0,21964.0,18029.8,15519.9,16004.2,16650.0,,12682.5,6016.0,17679.5,15269.7,18096.2,0.0,-1842.0,-2250.3,-3546.0,-1162.0,,-5821.4,-13736.0,-1833.1,-5103.0,1168.0,-2766.2,-5276.1,-4791.8,-4146.0,,-8113.5,-14780.0,-3116.5,-5526.3,-2699.8,-20796.0,False,False,True,,False,False,True,False,True,False,False,False,False,,False,False,False,False,False,False
Washington,8881,11130.0,11189.1,10291.0,10580.0,,9417.8,15975.0,11236.9,9214.0,16447.8,9630.1,8597.3,8560.0,8417.0,,8080.6,23028.3,11058.3,8878.5,10004.8,10375.0,2249.0,2308.1,1410.0,1699.0,,536.8,7094.0,2355.9,333.0,7566.8,749.1,-283.7,-321.0,-464.0,,-800.4,14147.3,2177.3,-2.5,1123.8,1494.0,False,True,True,,True,False,False,True,False,True,True,True,True,,True,False,True,True,True,True
West Virginia,3343,2169.0,2212.6,1894.0,2701.0,,1445.9,2440.0,2479.0,2045.0,4421.3,2111.2,1560.0,1845.4,1735.0,,1458.4,2161.0,1711.2,1968.0,1807.3,2104.0,-1174.0,-1130.4,-1449.0,-642.0,,-1897.1,-903.0,-864.0,-1298.0,1078.3,-1231.8,-1783.0,-1497.6,-1608.0,,-1884.6,-1182.0,-1631.8,-1375.0,-1535.7,-1239.0,True,False,True,,False,True,True,False,True,False,False,False,False,,False,False,False,False,False,False
Wisconsin,17594,14859.0,15174.3,13066.0,16894.0,,11321.3,11771.0,13337.2,13817.0,19589.2,14298.3,12148.9,10260.4,12199.0,,8041.1,14117.7,12815.3,13408.0,13205.9,12446.0,-2735.0,-2419.7,-4528.0,-700.0,,-6272.7,-5823.0,-4256.8,-3777.0,1995.2,-3295.7,-5445.1,-7333.6,-5395.0,,-9552.9,-3476.3,-4778.7,-4186.0,-4388.1,-5148.0,True,False,True,,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False
