,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Illinois,28933,26730.0,26682.1,25967.0,25557.0,,26127.2,7435.0,32599.2,13702.3,27642.0,26988.0,21182.6,26187.4,38646.5,23771.4,25199.6,29523.0,,20647.9,28288.9,20966.5,25801.2,25884.0,-2203.0,-2250.9,-2966.0,-3376.0,,-2805.8,-21498.0,3666.2,-15230.7,-1291.0,-1945.0,-7750.4,-2745.6,9713.5,-5161.6,-3733.4,590.0,,-8285.1,-644.1,-7966.5,-3131.8,-3049.0,False,False,False,,False,False,False,False,True,True,False,False,False,False,False,True,,False,True,False,False,False
Indiana,12127,14234.0,14205.1,13343.0,18645.0,,12564.7,10298.0,13659.3,6323.5,14631.0,11677.0,10668.8,15811.5,14325.0,11116.6,12841.7,14842.0,,10450.2,14949.7,10234.5,14824.6,15074.0,2107.0,2078.1,1216.0,6518.0,,437.7,-1829.0,1532.3,-5803.5,2504.0,-450.0,-1458.2,3684.5,2198.0,-1010.4,714.7,2715.0,,-1676.8,2822.7,-1892.5,2697.6,2947.0,True,True,False,,True,True,True,False,False,True,True,False,False,True,True,False,,True,False,True,False,False
Iowa,10593,15232.0,14797.1,14483.0,22035.0,,13634.3,13762.0,13922.9,7188.5,17182.0,11195.0,16957.6,6880.4,16884.1,13621.2,13058.1,21887.0,,17108.9,14235.7,9135.4,24107.6,15453.0,4639.0,4204.1,3890.0,11442.0,,3041.3,3169.0,3329.9,-3404.5,6589.0,602.0,6364.6,-3712.6,6291.1,3028.2,2465.1,11294.0,,6515.9,3642.7,-1457.6,13514.6,4860.0,True,True,False,,True,True,True,True,False,True,False,True,False,True,True,False,,False,True,True,False,False
Kansas,7063,8414.0,8324.9,7273.0,10110.0,,7651.4,5648.0,8046.5,4729.1,10425.0,8758.0,10155.3,7667.4,7260.1,5342.4,6216.9,10688.0,,5085.5,6891.5,6943.9,6129.0,8455.0,1351.0,1261.9,210.0,3047.0,,588.4,-1415.0,983.5,-2333.9,3362.0,1695.0,3092.3,604.4,197.1,-1720.6,-846.1,3625.0,,-1977.5,-171.5,-119.1,-934.0,1392.0,True,True,False,,True,False,True,False,False,False,False,True,True,False,True,False,,False,True,True,True,False
Kentucky,8838,9022.0,8999.8,8945.0,11372.0,,8927.9,8505.0,16706.1,4685.8,12642.0,10063.0,9515.6,9342.1,9016.9,7492.1,8836.2,10068.0,,6543.1,8417.1,6541.9,9942.7,9528.0,184.0,161.8,107.0,2534.0,,89.9,-333.0,7868.1,-4152.2,3804.0,1225.0,677.6,504.1,178.9,-1345.9,-1.8,1230.0,,-2294.9,-420.9,-2296.1,1104.7,690.0,True,True,False,,True,False,False,False,False,False,False,False,True,False,True,False,,False,False,False,False,False
Louisiana,9931,9046.0,9073.8,8855.0,8302.0,,7832.8,9804.0,15704.4,3513.6,7492.0,9973.0,4287.1,5726.2,5873.5,10284.3,9241.9,4745.0,,1919.2,9231.3,9675.0,7940.2,6019.0,-885.0,-857.2,-1076.0,-1629.0,,-2098.2,-127.0,5773.4,-6417.4,-2439.0,42.0,-5643.9,-4204.8,-4057.5,353.3,-689.1,-5186.0,,-8011.8,-699.7,-256.0,-1990.8,-3912.0,True,False,False,,False,True,False,False,False,True,False,False,False,True,True,False,,False,True,True,False,False
Maine,343,348.0,376.6,344.0,593.0,,342.4,215.0,303.3,180.8,323.0,209.0,422.9,617.4,162.0,329.8,349.8,568.0,,277.7,322.9,330.0,510.7,398.0,5.0,33.6,1.0,250.0,,-0.6,-128.0,-39.7,-162.2,-20.0,-134.0,79.9,274.4,-181.0,-13.2,6.8,225.0,,-65.3,-20.1,-13.0,167.7,55.0,False,True,False,,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Maryland,8239,7542.0,7398.6,6779.0,7913.0,,6454.0,1448.0,7388.5,3776.7,7966.0,7897.0,5105.3,7768.0,6247.3,6232.5,6778.9,6172.0,,4201.3,6262.8,,7710.7,7000.0,-697.0,-840.4,-1460.0,-326.0,,-1785.0,-6791.0,-850.5,-4462.3,-273.0,-342.0,-3133.7,-471.0,-1991.7,-2006.5,-1460.1,-2067.0,,-4037.7,-1976.2,,-528.3,-1239.0,False,False,True,,False,False,False,False,True,True,False,True,False,False,False,False,,False,False,,True,False
Massachusetts,4409,5340.0,5318.4,4278.0,4278.0,,3767.4,1362.0,4314.5,2589.7,4989.0,4894.0,1910.5,3996.2,5847.3,3761.8,4690.4,5505.0,,15593.0,5919.9,,251.1,5030.0,931.0,909.4,-131.0,-131.0,,-641.6,-3047.0,-94.5,-1819.3,580.0,485.0,-2498.5,-412.8,1438.3,-647.2,281.4,1096.0,,11184.0,1510.9,,-4157.9,621.0,True,True,True,,True,False,True,False,True,True,False,True,False,True,True,False,,False,False,,False,True
Michigan,11922,10184.0,10458.9,10615.0,10961.0,,10896.0,5698.0,11296.1,8176.4,11266.0,11665.0,7492.6,15707.1,11223.4,12246.3,10919.4,8794.0,,5976.3,12134.5,,12498.1,10715.0,-1738.0,-1463.1,-1307.0,-961.0,,-1026.0,-6224.0,-625.9,-3745.6,-656.0,-257.0,-4429.4,3785.1,-698.6,324.3,-1002.6,-3128.0,,-5945.7,212.5,,576.1,-1207.0,True,True,True,,True,False,True,False,True,True,False,False,True,True,True,False,,False,True,,True,True
Minnesota,9331,10780.0,10620.4,10587.0,12962.0,,10509.5,2197.0,13434.9,6106.1,13486.0,11765.0,8753.8,9266.8,8797.1,11217.6,11548.4,12248.0,,8644.9,10527.3,8102.2,16459.9,11511.0,1449.0,1289.4,1256.0,3631.0,,1178.5,-7134.0,4103.9,-3224.9,4155.0,2434.0,-577.2,-64.2,-533.9,1886.6,2217.4,2917.0,,-686.1,1196.3,-1228.8,7128.9,2180.0,True,True,False,,True,False,False,False,False,False,True,True,True,False,False,False,,True,True,True,False,False
Mississippi,7591,9522.0,9664.1,8129.0,10206.0,,8406.5,7844.0,9255.8,4787.6,10619.0,10078.0,6311.6,7440.8,7286.1,7227.8,8757.9,8632.0,,5230.7,8135.5,8599.5,8103.3,8013.0,1931.0,2073.1,538.0,2615.0,,815.5,253.0,1664.8,-2803.4,3028.0,2487.0,-1279.4,-150.2,-304.9,-363.2,1166.9,1041.0,,-2360.3,544.5,1008.5,512.3,422.0,False,True,False,,True,True,True,False,False,False,True,True,True,True,True,True,,False,True,True,True,True
Missouri,19122,16432.0,15713.6,15687.0,16276.0,,17609.1,14174.0,16565.2,7963.9,14973.0,15244.0,15417.6,16135.5,13867.0,17086.9,15913.9,17332.0,,13342.9,13174.9,15760.6,20397.0,16104.0,-2690.0,-3408.4,-3435.0,-2846.0,,-1512.9,-4948.0,-2556.8,-11158.1,-4149.0,-3878.0,-3704.4,-2986.5,-5255.0,-2035.1,-3208.1,-1790.0,,-5779.1,-5947.1,-3361.4,1275.0,-3018.0,False,False,False,,True,False,True,False,False,False,False,False,False,True,False,True,,False,False,False,True,False
Montana,1674,1750.0,1733.6,1687.0,1504.0,,1620.4,1424.0,1350.2,871.3,2352.0,2091.0,2291.5,1736.3,1645.8,1693.3,1681.2,2019.0,,1989.6,1389.0,1561.1,2263.4,1698.0,76.0,59.6,13.0,-170.0,,-53.6,-250.0,-323.8,-802.7,678.0,417.0,617.5,62.3,-28.2,19.3,7.2,345.0,,315.6,-285.0,-112.9,589.4,24.0,True,True,False,,True,False,False,False,False,False,False,True,True,True,True,False,,False,False,False,False,True
Nebraska,4367,3946.0,3844.7,4092.0,5263.0,,4105.1,1167.0,4875.3,1864.5,4790.0,4156.0,4643.4,3197.6,5029.9,3892.9,4144.0,4364.0,,2589.8,3844.9,3161.1,5689.0,3692.0,-421.0,-522.3,-275.0,896.0,,-261.9,-3200.0,508.3,-2502.5,423.0,-211.0,276.4,-1169.4,662.9,-474.1,-223.0,-3.0,,-1777.2,-522.1,-1205.9,1322.0,-675.0,False,True,False,,True,False,False,False,False,True,True,False,False,False,True,True,,False,False,False,False,False
Nevada,4759,6784.0,6768.7,6118.0,4755.0,,6618.7,7627.0,6295.8,3002.3,7543.0,6559.0,5587.7,4650.4,6791.3,5824.3,5754.4,4985.0,,4405.2,6620.4,6537.4,5375.0,5201.0,2025.0,2009.7,1359.0,-4.0,,1859.7,2868.0,1536.8,-1756.7,2784.0,1800.0,828.7,-108.6,2032.3,1065.3,995.4,226.0,,-353.8,1861.4,1778.4,616.0,442.0,True,True,True,,True,False,True,True,False,True,True,True,False,True,True,True,,True,True,True,True,True
New Hampshire,406,304.0,308.2,247.0,379.0,,212.5,8.0,232.5,149.1,318.0,254.0,364.9,641.4,78.1,204.8,254.5,288.0,,213.5,256.5,477.8,246.8,257.0,-102.0,-97.8,-159.0,-27.0,,-193.5,-398.0,-173.5,-256.9,-88.0,-152.0,-41.1,235.4,-327.9,-201.2,-151.5,-118.0,,-192.5,-149.5,71.8,-159.2,-149.0,True,False,True,,False,False,False,False,True,False,True,False,False,False,False,False,,False,False,True,False,False
New Jersey,5017,3948.0,3774.6,3948.0,4287.0,,3077.0,95.0,3434.3,1859.9,3053.0,4857.0,1487.1,6660.2,5696.1,3509.5,4074.5,3809.0,,2840.9,4034.3,,4416.7,3621.0,-1069.0,-1242.4,-1069.0,-730.0,,-1940.0,-4922.0,-1582.7,-3157.1,-1964.0,-160.0,-3529.9,1643.2,679.1,-1507.5,-942.5,-1208.0,,-2176.1,-982.7,,-600.3,-1396.0,False,False,True,,False,False,False,False,False,True,False,False,True,False,True,False,,False,True,,True,False
New Mexico,1483,1752.0,1698.6,1659.0,1901.0,,1636.0,1261.0,1626.6,845.6,1886.0,1946.0,1687.8,2144.1,1355.1,1469.0,1686.3,1557.0,,1066.0,1528.1,1906.6,1766.0,1756.0,269.0,215.6,176.0,418.0,,153.0,-222.0,143.6,-637.4,403.0,463.0,204.8,661.1,-127.9,-14.0,203.3,74.0,,-417.0,45.1,423.6,283.0,273.0,True,True,False,,True,True,True,False,False,False,True,False,True,True,True,True,,False,True,False,False,False
New York,10238,8474.0,8448.0,8014.0,9516.0,,5142.7,108.0,7204.8,4229.9,7607.0,6563.0,3639.0,14328.9,9344.0,7406.3,8839.2,8246.0,,9682.9,7413.3,,7837.0,8245.0,-1764.0,-1790.0,-2224.0,-722.0,,-5095.3,-10130.0,-3033.2,-6008.1,-2631.0,-3675.0,-6599.0,4090.9,-894.0,-2831.7,-1398.8,-1992.0,,-555.1,-2824.7,,-2401.0,-1993.0,False,False,True,,False,False,False,False,False,False,False,False,True,False,True,False,,True,False,,False,False
North Carolina,18568,22872.0,22919.7,21410.0,27507.0,,19468.8,27717.0,17372.5,12097.6,24515.0,22577.0,22947.4,18318.7,16315.8,17079.1,21148.6,28829.0,,18484.2,20424.9,20291.1,25946.8,23983.0,4304.0,4351.7,2842.0,8939.0,,900.8,9149.0,-1195.5,-6470.4,5947.0,4009.0,4379.4,-249.3,-2252.2,-1488.9,2580.6,10261.0,,-83.8,1856.9,1723.1,7378.8,5415.0,False,True,False,,True,False,True,False,False,True,False,True,True,True,True,False,,True,True,True,False,False
North Dakota,3667,3496.0,3430.4,3711.0,4885.0,,3926.3,80.0,4590.7,2222.4,4807.0,3021.0,4030.6,1707.1,3966.4,3627.7,3642.2,5644.0,,4998.2,3169.0,3584.2,4947.9,3627.0,-171.0,-236.6,44.0,1218.0,,259.3,-3587.0,923.7,-1444.6,1140.0,-646.0,363.6,-1959.9,299.4,-39.3,-24.8,1977.0,,1331.2,-498.0,-82.8,1280.9,-40.0,False,True,False,,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,True,False,True
Ohio,15248,14310.0,14227.7,13901.0,18443.0,,12654.5,11288.0,13069.3,7277.4,16342.0,14014.0,13112.5,19777.8,12080.5,12526.5,14353.8,14615.0,,9092.3,14048.0,10867.9,17159.7,12434.0,-938.0,-1020.3,-1347.0,3195.0,,-2593.5,-3960.0,-2178.7,-7970.6,1094.0,-1234.0,-2135.5,4529.8,-3167.5,-2721.5,-894.2,-633.0,,-6155.7,-1200.0,-4380.1,1911.7,-2814.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,,False,False,False,False,False
Oklahoma,11306,9508.0,9561.1,9505.0,10223.0,,9400.2,9169.0,9266.4,4747.5,11858.0,10981.0,11372.2,11446.4,7585.1,9974.1,9879.8,10138.0,,6595.3,8663.1,8010.9,12594.4,9573.0,-1798.0,-1744.9,-1801.0,-1083.0,,-1905.8,-2137.0,-2039.6,-6558.5,552.0,-325.0,66.2,140.4,-3720.9,-1331.9,-1426.2,-1168.0,,-4710.7,-2642.9,-3295.1,1288.4,-1733.0,True,False,True,,False,False,False,False,True,True,True,True,False,True,True,True,,False,False,False,True,True
Oregon,2863,3166.0,3188.6,3138.0,2776.0,,3110.3,3349.0,3309.3,1566.2,3615.0,3111.0,3625.9,6280.7,3293.8,2761.8,3079.5,2614.0,,2012.8,2965.4,2806.4,3194.8,2946.0,303.0,325.6,275.0,-87.0,,247.3,486.0,446.3,-1296.8,752.0,248.0,762.9,3417.7,430.8,-101.2,216.5,-249.0,,-850.2,102.4,-56.6,331.8,83.0,False,True,True,,True,False,False,False,False,True,False,False,False,True,True,True,,False,True,True,False,True
Pennsylvania,11059,8832.0,8269.7,8176.0,8913.0,,8392.3,1796.0,7951.1,4399.6,9406.0,6974.0,6434.6,14137.4,8264.8,7727.4,8809.6,8331.0,,5818.4,8290.9,7780.4,8979.0,8089.0,-2227.0,-2789.3,-2883.0,-2146.0,,-2666.7,-9263.0,-3107.9,-6659.4,-1653.0,-4085.0,-4624.4,3078.4,-2794.2,-3331.6,-2249.4,-2728.0,,-5240.6,-2768.1,-3278.6,-2080.0,-2970.0,False,False,True,,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,True,False
Rhode Island,1222,1322.0,1308.3,986.0,1700.0,,847.2,2.0,1875.4,652.5,988.0,1608.0,670.3,1250.4,1846.0,615.4,887.9,1223.0,,143.6,1376.3,1377.2,1077.9,1128.0,100.0,86.3,-236.0,478.0,,-374.8,-1220.0,653.4,-569.5,-234.0,386.0,-551.7,28.4,624.0,-606.6,-334.1,1.0,,-1078.4,154.3,155.2,-144.1,-94.0,True,False,False,,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,False,True
South Carolina,12729,11908.0,12028.2,11481.0,15063.0,,10555.3,7538.0,9502.1,5916.4,14092.0,11444.0,10148.1,5642.9,8707.8,12192.2,12594.1,11963.0,,10124.1,12300.6,11746.6,17411.0,11770.0,-821.0,-700.8,-1248.0,2334.0,,-2173.7,-5191.0,-3226.9,-6812.6,1363.0,-1285.0,-2580.9,-7086.1,-4021.2,-536.8,-134.9,-766.0,,-2604.9,-428.4,-982.4,4682.0,-959.0,True,False,False,,False,False,False,False,False,False,False,False,False,True,True,True,,False,True,False,False,False
South Dakota,3495,3614.0,3791.4,3913.0,5315.0,,4047.7,166.0,4124.0,2114.4,3700.0,2478.0,4461.6,852.1,6133.2,5205.8,3787.7,5560.0,,3711.4,3174.0,2425.2,10495.7,4425.0,119.0,296.4,418.0,1820.0,,552.7,-3329.0,629.0,-1380.6,205.0,-1017.0,966.6,-2642.9,2638.2,1710.8,292.7,2065.0,,216.4,-321.0,-1069.8,7000.7,930.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Tennessee,18611,20394.0,20278.9,16762.0,20886.0,,16855.5,14273.0,17970.9,9703.0,25615.0,17405.0,28542.0,17523.5,14874.0,14501.9,14801.9,17054.0,,13393.1,17236.5,17660.8,15835.3,17193.0,1783.0,1667.9,-1849.0,2275.0,,-1755.5,-4338.0,-640.1,-8908.0,7004.0,-1206.0,9931.0,-1087.5,-3737.0,-4109.1,-3809.1,-1557.0,,-5217.9,-1374.5,-950.2,-2775.7,-1418.0,True,False,False,,True,False,True,False,False,True,False,True,False,False,False,True,,False,True,True,False,True
Texas,50874,74944.0,74930.6,60744.0,88228.0,,61042.5,64875.0,60638.4,37646.4,70253.0,78102.0,57964.0,52074.6,70105.1,43775.0,58847.0,58153.0,,32975.1,65130.4,68791.2,50344.9,56711.0,24070.0,24056.6,9870.0,37354.0,,10168.5,14001.0,9764.4,-13227.6,19379.0,27228.0,7090.0,1200.6,19231.1,-7099.0,7973.0,7279.0,,-17898.9,14256.4,17917.2,-529.1,5837.0,True,True,False,,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True
Utah,5841,5184.0,5152.6,4768.0,4712.0,,5635.2,3638.0,4388.6,2599.5,5966.0,4669.0,4569.9,3781.2,3738.8,4924.7,5537.5,5271.0,,2875.5,5332.5,4855.7,5500.3,5071.0,-657.0,-688.4,-1073.0,-1129.0,,-205.8,-2203.0,-1452.4,-3241.5,125.0,-1172.0,-1271.1,-2059.8,-2102.2,-916.3,-303.5,-570.0,,-2965.5,-508.5,-985.3,-340.7,-770.0,False,False,False,,True,False,False,False,True,False,False,False,False,False,True,True,,False,True,False,True,False
