,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Iowa,35892,29240.0,,48177.1,4860.0,23983.6,21252.0,29269.9,21473.9,45010.6,-6652.0,,12285.1,-31032.0,-11908.4,-14640.0,-6622.1,-14418.1,9118.6,,False,False,False,False,True,False,False
Kansas,26965,24048.0,,46064.0,3082.0,6100.6,21325.0,25142.0,14285.0,77589.4,-2917.0,,19099.0,-23883.0,-20864.4,-5640.0,-1823.0,-12680.0,50624.4,,False,False,False,False,True,False,False
Kentucky,34231,24504.0,,31953.6,15937.0,34213.5,23779.0,59500.3,166575.2,10458.3,-9727.0,,-2277.4,-18294.0,-17.5,-10452.0,25269.3,132344.2,-23772.7,,True,False,True,False,False,False,False
Louisiana,68519,94296.0,,149358.3,47032.0,101226.6,121657.0,449027.9,57432.7,33565.7,25777.0,,80839.3,-21487.0,32707.6,53138.0,380508.9,-11086.3,-34953.3,,False,True,False,False,False,True,False
Maine,1191,1000.0,,402.7,448.0,2540.2,173.0,831.6,658.4,3321.7,-191.0,,-788.3,-743.0,1349.2,-1018.0,-359.4,-532.6,2130.7,,False,False,False,False,False,False,False
Maryland,38327,37912.0,,23554.7,3464.0,51319.9,19651.0,109832.7,122695.2,35392.7,-415.0,,-14772.3,-34863.0,12992.9,-18676.0,71505.7,84368.2,-2934.3,,False,False,False,False,False,False,False
Massachusetts,16662,14720.0,,10629.3,514.0,81247.2,8132.0,21347.8,23212.4,15608.5,-1942.0,,-6032.7,-16148.0,64585.2,-8530.0,4685.8,6550.4,-1053.5,,False,False,False,False,False,False,True
Michigan,41720,39744.0,,46765.8,4946.0,86046.3,47757.0,83821.6,73799.9,97734.6,-1976.0,,5045.8,-36774.0,44326.3,6037.0,42101.6,32079.9,56014.6,,False,False,False,False,False,False,False
Minnesota,38118,31192.0,,32747.6,5625.0,9531.4,42707.0,37500.1,39511.7,9030.0,-6926.0,,-5370.4,-32493.0,-28586.6,4589.0,-617.9,1393.7,-29088.0,,True,False,False,True,True,True,False
Mississippi,47774,51416.0,,56213.1,23886.0,129864.3,46308.0,47673.2,48637.9,32050.1,3642.0,,8439.1,-23888.0,82090.3,-1466.0,-100.8,863.9,-15723.9,,False,False,False,True,True,True,False
Missouri,69586,40784.0,,52652.1,23705.0,29894.6,33633.0,98403.0,91837.0,30286.6,-28802.0,,-16933.9,-45881.0,-39691.4,-35953.0,28817.0,22251.0,-39299.4,,True,False,False,False,False,True,False
Montana,6454,6352.0,,17780.0,2904.0,28318.0,8433.0,4775.2,3672.9,24437.3,-102.0,,11326.0,-3550.0,21864.0,1979.0,-1678.8,-2781.1,17983.3,,False,False,False,False,False,False,False
Nebraska,15639,11864.0,,7945.0,672.0,1008.8,11338.0,14609.2,6654.9,6392.4,-3775.0,,-7694.0,-14967.0,-14630.2,-4301.0,-1029.8,-8984.1,-9246.6,,False,False,False,False,True,False,False
Nevada,38743,61112.0,,108382.2,43093.0,171601.4,49287.0,60256.5,76430.5,59179.4,22369.0,,69639.2,4350.0,132858.4,10544.0,21513.5,37687.5,20436.4,,False,True,False,True,True,False,True
New Hampshire,1464,1312.0,,196.6,140.0,3135.5,894.0,857.8,1620.2,470.5,-152.0,,-1267.4,-1324.0,1671.5,-570.0,-606.2,156.2,-993.5,,False,False,False,False,False,False,False
New Jersey,19554,14840.0,,13206.2,464.0,166375.5,10262.0,7411.0,5143.2,29693.1,-4714.0,,-6347.8,-19090.0,146821.5,-9292.0,-12143.0,-14410.8,10139.1,,False,False,False,False,False,False,False
New Mexico,9925,15704.0,,17094.7,4132.0,29851.0,14596.0,16434.4,13022.4,24318.2,5779.0,,7169.7,-5793.0,19926.0,4671.0,6509.4,3097.4,14393.2,,False,False,False,True,False,True,False
New York,37335,42208.0,,33715.4,1764.0,151441.0,15954.0,73305.9,36966.2,69775.4,4873.0,,-3619.6,-35571.0,114106.0,-21381.0,35970.9,-368.8,32440.4,,True,False,False,False,False,True,False
North Carolina,88451,113488.0,,98602.8,166901.0,43439.8,135350.0,134213.8,89214.3,81592.4,25037.0,,10151.8,78450.0,-45011.2,46899.0,45762.8,763.3,-6858.6,,True,False,False,False,False,True,True
North Dakota,10244,5312.0,,8112.7,326.0,16959.5,5010.0,12749.6,13588.1,8457.3,-4932.0,,-2131.3,-9918.0,6715.5,-5234.0,2505.6,3344.1,-1786.7,,True,False,False,False,True,True,True
Ohio,62747,76856.0,,88920.7,25493.0,74054.1,69458.0,85045.8,82453.7,166395.5,14109.0,,26173.7,-37254.0,11307.1,6711.0,22298.8,19706.7,103648.5,,False,False,True,True,False,False,False
Oklahoma,43602,42224.0,,57452.7,27560.0,33091.2,73683.0,31740.2,10055.2,45834.0,-1378.0,,13850.7,-16042.0,-10510.8,30081.0,-11861.8,-33546.8,2232.0,,False,False,False,False,False,False,False
Oregon,15007,18384.0,,21030.4,16839.0,16694.9,16370.0,16556.5,40723.4,33636.5,3377.0,,6023.4,1832.0,1687.9,1363.0,1549.5,25716.4,18629.5,,False,True,True,True,True,False,False
Pennsylvania,43855,44512.0,,57392.6,3527.0,68267.2,27441.0,50701.0,41848.4,69416.3,657.0,,13537.6,-40328.0,24412.2,-16414.0,6846.0,-2006.6,25561.3,,False,False,False,False,False,False,False
Rhode Island,5112,3848.0,,3160.1,109.0,2505.8,7358.0,2825.1,4056.8,705.0,-1264.0,,-1951.9,-5003.0,-2606.2,2246.0,-2286.9,-1055.2,-4407.0,,False,False,False,False,False,True,False
South Carolina,62366,103304.0,,140077.4,42609.0,228392.0,99517.0,80734.8,82976.5,80371.0,40938.0,,77711.4,-19757.0,166026.0,37151.0,18368.8,20610.5,18005.0,,False,True,False,True,True,True,True
South Dakota,8575,3264.0,,2438.9,858.0,6916.8,2875.0,28706.3,3176.6,4762.0,-5311.0,,-6136.1,-7717.0,-1658.2,-5700.0,20131.3,-5398.4,-3813.0,,False,False,True,False,False,False,True
Tennessee,94555,122640.0,,146919.6,114479.0,68238.2,105104.0,110995.1,97982.9,85539.0,28085.0,,52364.6,19924.0,-26316.8,10549.0,16440.1,3427.9,-9016.0,,False,True,True,True,True,True,True
Texas,354305,581528.0,,767458.3,579962.0,1418011.8,807894.0,475314.5,261166.1,249791.7,227223.0,,413153.3,225657.0,1063706.8,453589.0,121009.5,-93138.9,-104513.3,,False,True,False,False,True,True,True
Utah,23915,35816.0,,30089.0,42498.0,76187.6,29982.0,31930.4,49433.2,15901.7,11901.0,,6174.0,18583.0,52272.6,6067.0,8015.4,25518.2,-8013.3,,True,False,False,True,True,False,True
Vermont,339,440.0,,95.4,16.0,12.1,320.0,486.1,791.6,291.3,101.0,,-243.6,-323.0,-326.9,-19.0,147.1,452.6,-47.7,,False,False,False,True,False,False,True
Virginia,56495,52728.0,,47063.4,13574.0,141301.7,40981.0,76797.1,109152.6,5232.0,-3767.0,,-9431.6,-42921.0,84806.7,-15514.0,20302.1,52657.6,-51263.0,,False,False,False,False,False,False,False
Washington,33450,54464.0,,51597.9,25896.0,83570.8,38351.0,56811.7,89478.0,67434.7,21014.0,,18147.9,-7554.0,50120.8,4901.0,23361.7,56028.0,33984.7,,True,True,False,True,False,False,False
West Virginia,7634,5984.0,,18565.4,4858.0,1009.8,4108.0,9380.2,3175.5,29343.3,-1650.0,,10931.4,-2776.0,-6624.2,-3526.0,1746.2,-4458.5,21709.3,,False,False,False,False,False,False,False
Wisconsin,46118,46448.0,,56671.5,15205.0,8275.9,41447.0,75300.0,58479.6,57345.0,330.0,,10553.5,-30913.0,-37842.1,-4671.0,29182.0,12361.6,11227.0,,False,False,False,False,False,False,False
Wyoming,2205,2152.0,,3730.9,1056.0,14.4,2236.0,2841.6,1160.1,1571.9,-53.0,,1525.9,-1149.0,-2190.6,31.0,636.6,-1044.9,-633.1,,False,False,False,True,False,False,False
US,2774089,3723904.0,2858812.0,4921434.4,2758411.0,5468727.8,4102352.0,4145312.1,2933122.5,4226339.8,949815.0,84723.0,2147345.4,-15678.0,2694638.8,1328263.0,1371223.1,159033.5,1452250.8,True,False,True,False,False,False,True,False
