,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01035,127,204.0,,247.0,,,,,275.0,103.2,92.7,103.7,,,77.0,,120.0,,,,,148.0,-23.8,-34.3,-23.3,,,,False,,,,,False,True,True,True,,
01037,62,48.0,,57.0,,,,,63.0,4.3,,55.5,,,-14.0,,-5.0,,,,,1.0,-57.7,,-6.5,,,,True,,,,,True,False,,True,,
01039,432,354.0,,282.0,,,,,830.0,356.9,263.0,180.2,,,-78.0,,-150.0,,,,,398.0,-75.1,-169.0,-251.8,,,,False,,,,,False,True,False,False,,
01041,201,336.0,,444.0,,,,,206.0,261.4,73.4,184.2,,,135.0,,243.0,,,,,5.0,60.4,-127.6,-16.8,,,,False,,,,,True,True,True,True,,
01043,570,948.0,1385.1,935.0,,,,,1264.0,401.7,675.8,1663.7,,,378.0,815.1,365.0,,,,,694.0,-168.3,105.8,1093.7,,,False,True,,,,,False,True,True,False,,
01045,453,546.0,,210.0,,,,,797.0,359.1,297.7,494.6,,,93.0,,-243.0,,,,,344.0,-93.9,-155.3,41.6,,,,False,,,,,False,False,False,True,,
01047,359,486.0,,350.0,,,,,854.0,239.0,13.0,324.0,,,127.0,,-9.0,,,,,495.0,-120.0,-346.0,-35.0,,,,True,,,,,False,True,False,True,,
01049,566,1086.0,1394.1,694.0,,,,,1288.0,1154.7,502.2,1084.8,,,520.0,828.1,128.0,,,,,722.0,588.7,-63.8,518.8,,,False,True,,,,,False,False,True,True,,
01051,797,792.0,909.9,313.0,,,,,1064.0,672.2,457.1,581.0,,,-5.0,112.9,-484.0,,,,,267.0,-124.8,-339.9,-216.0,,,False,False,,,,,False,False,False,False,,
01053,487,852.0,,759.0,,,,,1043.0,422.8,280.2,377.3,,,365.0,,272.0,,,,,556.0,-64.2,-206.8,-109.7,,,,True,,,,,False,True,True,True,,
01055,1198,1614.0,1823.7,1137.0,,,,,1531.0,1410.0,835.4,868.8,,,416.0,625.7,-61.0,,,,,333.0,212.0,-362.6,-329.2,,,False,True,,,,,True,True,True,True,,
01057,224,198.0,,437.0,,,,,194.0,97.2,129.5,161.6,,,-26.0,,213.0,,,,,-30.0,-126.8,-94.5,-62.4,,,,False,,,,,False,False,False,False,,
01059,475,540.0,,703.0,,,,,694.0,357.1,226.7,430.0,,,65.0,,228.0,,,,,219.0,-117.9,-248.3,-45.0,,,,False,,,,,False,False,False,True,,
01061,258,198.0,,218.0,,,,,536.0,97.1,175.0,138.3,,,-60.0,,-40.0,,,,,278.0,-160.9,-83.0,-119.7,,,,True,,,,,False,False,False,False,,
01063,45,48.0,,48.0,,,,,103.0,4.1,0.5,37.1,,,3.0,,3.0,,,,,58.0,-40.9,-44.5,-7.9,,,,False,,,,,False,False,False,False,,
01065,137,174.0,,203.0,,,,,258.0,25.9,6.6,231.6,,,37.0,,66.0,,,,,121.0,-111.1,-130.4,94.6,,,,False,,,,,False,False,False,False,,
01067,177,192.0,,239.0,,,,,155.0,38.0,79.2,209.7,,,15.0,,62.0,,,,,-22.0,-139.0,-97.8,32.7,,,,False,,,,,False,False,False,False,,
01069,1121,1296.0,2661.2,667.0,,,,,1739.0,872.8,790.0,2841.5,,,175.0,1540.2,-454.0,,,,,618.0,-248.2,-331.0,1720.5,,,False,False,,,,,False,False,False,False,,
01071,586,870.0,1079.8,1704.0,,,,,645.0,1519.3,374.0,796.5,,,284.0,493.8,1118.0,,,,,59.0,933.3,-212.0,210.5,,,False,False,,,,,True,False,True,True,,
01073,6241,8220.0,11859.2,9229.0,,,,,10578.0,8858.3,3858.9,6555.6,,,1979.0,5618.2,2988.0,,,,,4337.0,2617.3,-2382.1,314.6,,,False,False,,,,,False,False,False,True,,
01075,109,174.0,,292.0,,,,,180.0,106.3,128.7,287.3,,,65.0,,183.0,,,,,71.0,-2.7,19.7,178.3,,,,False,,,,,False,True,True,False,,
01077,505,864.0,1361.6,702.0,,,,,1424.0,990.3,637.0,869.9,,,359.0,856.6,197.0,,,,,919.0,485.3,132.0,364.9,,,False,True,,,,,False,False,True,False,,
01079,238,348.0,,455.0,,,,,512.0,364.6,272.9,121.3,,,110.0,,217.0,,,,,274.0,126.6,34.9,-116.7,,,,False,,,,,False,False,True,False,,
01081,2804,1410.0,3333.1,879.0,,,,,2284.0,1268.9,908.4,1013.7,,,-1394.0,529.1,-1925.0,,,,,-520.0,-1535.1,-1895.6,-1790.3,,,True,False,,,,,True,False,False,False,,
01083,646,924.0,1908.6,605.0,,,,,1213.0,1071.6,675.9,1118.7,,,278.0,1262.6,-41.0,,,,,567.0,425.6,29.9,472.7,,,False,True,,,,,False,False,True,False,,
01085,77,90.0,,37.0,,,,,136.0,5.0,1.4,43.9,,,13.0,,-40.0,,,,,59.0,-72.0,-75.6,-33.1,,,,False,,,,,False,False,False,False,,
01087,143,120.0,,104.0,,,,,156.0,18.8,40.2,202.9,,,-23.0,,-39.0,,,,,13.0,-124.2,-102.8,59.9,,,,False,,,,,True,False,False,False,,
01089,2146,4050.0,7076.9,4743.0,,,,,3786.0,4511.0,2646.4,8336.2,,,1904.0,4930.9,2597.0,,,,,1640.0,2365.0,500.4,6190.2,,,False,False,,,,,True,False,True,False,,
01091,166,198.0,,283.0,,,,,417.0,69.0,124.8,340.8,,,32.0,,117.0,,,,,251.0,-97.0,-41.2,174.8,,,,False,,,,,False,False,False,False,,
01093,310,390.0,,247.0,,,,,473.0,316.0,233.5,2308.8,,,80.0,,-63.0,,,,,163.0,6.0,-76.5,1998.8,,,,True,,,,,False,True,True,False,,
01095,762,1542.0,3266.1,919.0,,,,,1681.0,1608.6,748.1,876.5,,,780.0,2504.1,157.0,,,,,919.0,846.6,-13.9,114.5,,,False,True,,,,,False,False,True,True,,
01097,3784,8220.0,8108.3,13242.0,,,,,8211.0,17857.2,3111.4,6433.5,,,4436.0,4324.3,9458.0,,,,,4427.0,14073.2,-672.6,2649.5,,,True,False,,,,,True,False,True,True,,
01099,131,222.0,,204.0,,,,,408.0,28.0,97.3,153.9,,,91.0,,73.0,,,,,277.0,-103.0,-33.7,22.9,,,,True,,,,,False,False,True,True,,
01101,2093,2934.0,5521.5,1430.0,,,,,4300.0,1663.3,1519.4,3096.8,,,841.0,3428.5,-663.0,,,,,2207.0,-429.7,-573.6,1003.8,,,False,True,,,,,False,True,True,False,,
01103,834,1452.0,2000.8,986.0,,,,,1771.0,1039.2,758.2,1353.1,,,618.0,1166.8,152.0,,,,,937.0,205.2,-75.8,519.1,,,False,True,,,,,False,True,True,True,,
01105,82,252.0,,186.0,,,,,140.0,160.0,0.0,116.4,,,170.0,,104.0,,,,,58.0,78.0,-82.0,34.4,,,,True,,,,,True,True,True,True,,
01107,241,174.0,,155.0,,,,,329.0,99.8,87.5,103.6,,,-67.0,,-86.0,,,,,88.0,-141.2,-153.5,-137.4,,,,False,,,,,False,False,False,False,,
01109,438,360.0,,451.0,,,,,677.0,91.8,116.2,239.8,,,-78.0,,13.0,,,,,239.0,-346.2,-321.8,-198.2,,,,True,,,,,False,False,False,False,,
01111,169,174.0,,97.0,,,,,271.0,38.3,124.9,130.6,,,5.0,,-72.0,,,,,102.0,-130.7,-44.1,-38.4,,,,False,,,,,False,False,False,False,,
01113,418,924.0,1402.3,549.0,,,,,858.0,674.6,389.9,484.9,,,506.0,984.3,131.0,,,,,440.0,256.6,-28.1,66.9,,,False,True,,,,,True,True,True,True,,
01115,847,1266.0,1547.2,1165.0,,,,,995.0,1148.2,757.7,1338.7,,,419.0,700.2,318.0,,,,,148.0,301.2,-89.3,491.7,,,False,True,,,,,True,True,True,False,,
01117,2137,2154.0,4457.5,1897.0,,,,,2402.0,2154.3,1206.4,2050.8,,,17.0,2320.5,-240.0,,,,,265.0,17.3,-930.6,-86.2,,,False,False,,,,,False,False,False,False,,
01119,49,138.0,,128.0,,,,,202.0,8.9,1.1,84.9,,,89.0,,79.0,,,,,153.0,-40.1,-47.9,35.9,,,,True,,,,,False,True,True,True,,
01121,901,960.0,1292.1,1074.0,,,,,1090.0,920.6,616.4,4136.2,,,59.0,391.1,173.0,,,,,189.0,19.6,-284.6,3235.2,,,False,False,,,,,False,True,False,False,,
01123,250,282.0,,289.0,,,,,544.0,136.9,78.8,390.3,,,32.0,,39.0,,,,,294.0,-113.1,-171.2,140.3,,,,False,,,,,False,False,False,False,,
01125,2714,2070.0,1681.5,1452.0,,,,,3660.0,1531.7,1160.2,1803.7,,,-644.0,-1032.5,-1262.0,,,,,946.0,-1182.3,-1553.8,-910.3,,,False,False,,,,,False,False,False,False,,
01127,658,564.0,1488.7,286.0,,,,,1132.0,110.1,300.2,331.2,,,-94.0,830.7,-372.0,,,,,474.0,-547.9,-357.8,-326.8,,,False,False,,,,,False,False,False,False,,
01129,220,210.0,,383.0,,,,,318.0,35.0,79.1,192.4,,,-10.0,,163.0,,,,,98.0,-185.0,-140.9,-27.6,,,,False,,,,,False,False,False,False,,
01131,114,120.0,,109.0,,,,,174.0,25.9,3.1,71.9,,,6.0,,-5.0,,,,,60.0,-88.1,-110.9,-42.1,,,,True,,,,,False,False,False,False,,
01133,229,288.0,,260.0,,,,,389.0,178.4,157.5,146.2,,,59.0,,31.0,,,,,160.0,-50.6,-71.5,-82.8,,,,True,,,,,False,True,False,False,,
02013,7,0.0,,0.0,,,,,,,,,,,-7.0,,-7.0,,,,,,,,,,,,False,,,,,,,,,,
02016,7,18.0,,0.0,,,,,,,,,,,11.0,,-7.0,,,,,,,,,,,,True,,,,,,,,,,
02020,1776,3534.0,2643.4,6487.0,,,,,,2950.8,2151.8,3548.4,,,1758.0,867.4,4711.0,,,,,,1174.8,375.8,1772.4,,,True,False,,,,,,True,True,False,,
02050,62,12.0,,0.0,,,,,,2.8,,,,,-50.0,,-62.0,,,,,,-59.2,,,,,,False,,,,,,False,,,,
02060,0,0.0,,0.0,,,,,,0.4,,,,,0.0,,0.0,,,,,,0.4,,,,,,True,,,,,,False,,,,
02068,2,0.0,,0.0,,,,,,,,,,,-2.0,,-2.0,,,,,,,,,,,,False,,,,,,,,,,
02070,6,0.0,,0.0,,,,,,0.0,,,,,-6.0,,-6.0,,,,,,-6.0,,,,,,False,,,,,,True,,,,
02090,473,270.0,557.6,,,,,,,143.1,432.4,1578.2,,,-203.0,84.6,,,,,,,-329.9,-40.6,1105.2,,,True,,,,,,,False,True,False,,
02100,0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,True,,,,,,,,,,
02105,0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,True,,,,,,,,,,
02110,167,84.0,,101.0,,,,,,16.1,,357.8,,,-83.0,,-66.0,,,,,,-150.9,,190.8,,,,True,,,,,,False,,False,,
02122,140,180.0,491.8,113.0,,,,,,33.2,281.4,193.4,,,40.0,351.8,-27.0,,,,,,-106.8,141.4,53.4,,,False,True,,,,,,False,False,False,,
02130,17,18.0,,0.0,,,,,,2.6,,19.8,,,1.0,,-17.0,,,,,,-14.4,,2.8,,,,False,,,,,,False,,False,,
02150,47,6.0,,0.0,,,,,,0.2,,,,,-41.0,,-47.0,,,,,,-46.8,,,,,,False,,,,,,False,,,,
02158,5,6.0,,0.0,,,,,,,,,,,1.0,,-5.0,,,,,,,,,,,,False,,,,,,,,,,
02164,17,0.0,,0.0,,,,,,,,,,,-17.0,,-17.0,,,,,,,,,,,,False,,,,,,,,,,
02170,244,384.0,752.3,480.0,,,,,,646.1,446.1,361.8,,,140.0,508.3,236.0,,,,,,402.1,202.1,117.8,,,False,False,,,,,,False,False,True,,
02180,34,0.0,,0.0,,,,,,0.8,,,,,-34.0,,-34.0,,,,,,-33.2,,,,,,False,,,,,,True,,,,
02185,52,30.0,,0.0,,,,,,0.5,,,,,-22.0,,-52.0,,,,,,-51.5,,,,,,False,,,,,,False,,,,
02188,46,84.0,,12.0,,,,,,5.5,,,,,38.0,,-34.0,,,,,,-40.5,,,,,,True,,,,,,False,,,,
02195,2,0.0,,0.0,,,,,,0.2,,,,,-2.0,,-2.0,,,,,,-1.8,,,,,,False,,,,,,True,,,,
02198,24,18.0,,0.0,,,,,,2.4,,,,,-6.0,,-24.0,,,,,,-21.6,,,,,,False,,,,,,False,,,,
02220,25,24.0,,0.0,,,,,,2.5,,15.2,,,-1.0,,-25.0,,,,,,-22.5,,-9.8,,,,False,,,,,,False,,False,,
02230,0,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,True,,,,,,,,,,
02240,9,6.0,,0.0,,,,,,0.6,,,,,-3.0,,-9.0,,,,,,-8.4,,,,,,False,,,,,,False,,,,
02261,32,36.0,,8.0,,,,,,6.9,,,,,4.0,,-24.0,,,,,,-25.1,,,,,,False,,,,,,False,,,,
02275,7,12.0,,0.0,,,,,,,,,,,5.0,,-7.0,,,,,,,,,,,,False,,,,,,,,,,
02282,15,36.0,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,
02290,30,24.0,,0.0,,,,,,7.9,,,,,-6.0,,-30.0,,,,,,-22.1,,,,,,False,,,,,,False,,,,
04001,343,876.0,778.5,1112.0,,,,,855.0,284.1,39.6,583.1,,,533.0,435.5,769.0,,,,,512.0,-58.9,-303.4,240.1,,,True,False,,,,,True,True,True,True,,
04003,344,960.0,1369.6,802.0,,,,,2357.0,259.4,567.4,558.4,,,616.0,1025.6,458.0,,,,,2013.0,-84.6,223.4,214.4,,,False,True,,,,,False,True,True,True,,
04005,529,690.0,1034.5,386.0,,,,,1037.0,537.7,436.4,669.1,,,161.0,505.5,-143.0,,,,,508.0,8.7,-92.6,140.1,,,False,True,,,,,False,True,True,True,,
04007,348,816.0,897.9,1255.0,,,,,641.0,737.0,258.5,360.9,,,468.0,549.9,907.0,,,,,293.0,389.0,-89.5,12.9,,,False,False,,,,,True,True,True,True,,
04009,296,696.0,,1302.0,,,,,842.0,312.4,241.7,1890.5,,,400.0,,1006.0,,,,,546.0,16.4,-54.3,1594.5,,,,False,,,,,False,True,True,False,,
04011,6,90.0,,1.0,,,,,29.0,0.4,,54.0,,,84.0,,-5.0,,,,,23.0,-5.6,,48.0,,,,True,,,,,True,True,,True,,
04012,57,60.0,,48.0,,,,,373.0,4.4,24.9,54.6,,,3.0,,-9.0,,,,,316.0,-52.6,-32.1,-2.4,,,,False,,,,,False,False,False,True,,
04013,17997,72024.0,106091.8,53412.0,,,,,68031.0,61903.8,13911.6,36834.3,,,54027.0,88094.8,35415.0,,,,,50034.0,43906.8,-4085.4,18837.3,,,False,True,,,,,True,True,True,True,,
04015,802,1854.0,4110.6,1236.0,,,,,3900.0,1026.9,1196.6,1987.2,,,1052.0,3308.6,434.0,,,,,3098.0,224.9,394.6,1185.2,,,False,True,,,,,False,True,True,False,,
04017,434,1236.0,3046.2,793.0,,,,,1300.0,694.0,123.4,1066.5,,,802.0,2612.2,359.0,,,,,866.0,260.0,-310.6,632.5,,,False,True,,,,,False,True,True,True,,
04019,5890,10050.0,27698.1,16286.0,,,,,10036.0,9120.4,4645.0,6389.4,,,4160.0,21808.1,10396.0,,,,,4146.0,3230.4,-1245.0,499.4,,,False,False,,,,,True,True,True,True,,
04021,2024,4650.0,8965.4,5462.0,,,,,3787.0,4310.1,1693.9,2474.5,,,2626.0,6941.4,3438.0,,,,,1763.0,2286.1,-330.1,450.5,,,False,False,,,,,True,True,True,True,,
04023,207,690.0,,436.0,,,,,2115.0,158.1,32.7,263.6,,,483.0,,229.0,,,,,1908.0,-48.9,-174.3,56.6,,,,True,,,,,False,True,True,True,,
04025,640,1434.0,2207.5,1711.0,,,,,2086.0,1688.6,1167.3,994.4,,,794.0,1567.5,1071.0,,,,,1446.0,1048.6,527.3,354.4,,,False,False,,,,,False,False,True,True,,
04027,1302,5640.0,10790.0,4296.0,,,,,3746.0,1396.7,327.4,5181.2,,,4338.0,9488.0,2994.0,,,,,2444.0,94.7,-974.6,3879.2,,,False,True,,,,,True,True,True,True,,
05001,118,156.0,,78.0,,,,,294.0,104.7,83.7,632.2,,,38.0,,-40.0,,,,,176.0,-13.3,-34.3,514.2,,,,False,,,,,False,True,True,False,,
05003,161,396.0,,724.0,,,,,247.0,642.0,166.5,463.7,,,235.0,,563.0,,,,,86.0,481.0,5.5,302.7,,,,False,,,,,True,False,True,False,,
05005,139,30.0,,115.0,,,,,276.0,9.5,,21.5,,,-109.0,,-24.0,,,,,137.0,-129.5,,-117.5,,,,True,,,,,False,False,,False,,
05007,1337,2034.0,2667.3,1745.0,,,,,2576.0,676.6,641.4,1644.4,,,697.0,1330.3,408.0,,,,,1239.0,-660.4,-695.6,307.4,,,False,True,,,,,False,True,True,True,,
05009,315,336.0,,799.0,,,,,290.0,440.5,202.2,731.2,,,21.0,,484.0,,,,,-25.0,125.5,-112.8,416.2,,,,False,,,,,False,False,False,False,,
05011,178,168.0,,195.0,,,,,135.0,60.0,72.0,94.7,,,-10.0,,17.0,,,,,-43.0,-118.0,-106.0,-83.3,,,,False,,,,,False,False,False,False,,
05013,17,18.0,,0.0,,,,,19.0,,,,,,1.0,,-17.0,,,,,2.0,,,,,,,False,,,,,False,,,,,
05015,206,138.0,,138.0,,,,,162.0,24.9,142.4,149.7,,,-68.0,,-68.0,,,,,-44.0,-181.1,-63.6,-56.3,,,,False,,,,,True,False,True,True,,
05017,457,1380.0,,853.0,,,,,218.0,710.7,227.0,678.9,,,923.0,,396.0,,,,,-239.0,253.7,-230.0,221.9,,,,True,,,,,True,True,True,True,,
05019,127,138.0,,256.0,,,,,259.0,11.2,92.4,566.3,,,11.0,,129.0,,,,,132.0,-115.8,-34.6,439.3,,,,False,,,,,False,False,False,False,,
05021,124,18.0,,63.0,,,,,110.0,4.5,59.5,30.5,,,-106.0,,-61.0,,,,,-14.0,-119.5,-64.5,-93.5,,,,True,,,,,True,False,True,True,,
05023,116,36.0,,9.0,,,,,202.0,9.0,114.5,21.7,,,-80.0,,-107.0,,,,,86.0,-107.0,-1.5,-94.3,,,,False,,,,,False,False,True,False,,
05025,90,72.0,,91.0,,,,,43.0,9.1,,119.6,,,-18.0,,1.0,,,,,-47.0,-80.9,,29.6,,,,True,,,,,False,False,,False,,
05027,151,144.0,,189.0,,,,,240.0,132.5,40.5,95.4,,,-7.0,,38.0,,,,,89.0,-18.5,-110.5,-55.6,,,,False,,,,,False,False,False,False,,
05029,97,78.0,,42.0,,,,,303.0,43.6,91.2,140.0,,,-19.0,,-55.0,,,,,206.0,-53.4,-5.8,43.0,,,,False,,,,,False,False,True,False,,
05031,1233,1038.0,1642.8,623.0,,,,,1742.0,312.4,850.5,1599.7,,,-195.0,409.8,-610.0,,,,,509.0,-920.6,-382.5,366.7,,,False,False,,,,,False,False,False,False,,
05033,556,504.0,1076.2,554.0,,,,,1089.0,242.1,433.1,432.8,,,-52.0,520.2,-2.0,,,,,533.0,-313.9,-122.9,-123.2,,,False,True,,,,,False,False,False,False,,
05035,608,714.0,,915.0,,,,,945.0,376.6,244.7,577.7,,,106.0,,307.0,,,,,337.0,-231.4,-363.3,-30.3,,,,False,,,,,False,False,False,True,,
05037,199,90.0,,268.0,,,,,203.0,18.2,109.4,149.4,,,-109.0,,69.0,,,,,4.0,-180.8,-89.6,-49.6,,,,True,,,,,True,False,True,True,,
05039,98,162.0,,222.0,,,,,57.0,21.5,,,,,64.0,,124.0,,,,,-41.0,-76.5,,,,,,False,,,,,True,False,,,,
05041,116,114.0,,207.0,,,,,163.0,71.9,28.6,108.6,,,-2.0,,91.0,,,,,47.0,-44.1,-87.4,-7.4,,,,False,,,,,False,False,False,False,,
05043,178,156.0,,188.0,,,,,252.0,69.9,99.7,201.0,,,-22.0,,10.0,,,,,74.0,-108.1,-78.3,23.0,,,,True,,,,,False,False,False,False,,
05045,772,864.0,1916.4,1037.0,,,,,1571.0,521.6,718.1,3016.1,,,92.0,1144.4,265.0,,,,,799.0,-250.4,-53.9,2244.1,,,False,False,,,,,False,False,True,False,,
05047,103,234.0,,612.0,,,,,202.0,197.8,103.0,227.2,,,131.0,,509.0,,,,,99.0,94.8,0.0,124.2,,,,False,,,,,True,True,True,True,,
05049,71,24.0,,0.0,,,,,49.0,7.2,,34.2,,,-47.0,,-71.0,,,,,-22.0,-63.8,,-36.8,,,,False,,,,,True,False,,True,,
05051,773,1170.0,1305.1,900.0,,,,,1603.0,1346.9,1029.6,3313.7,,,397.0,532.1,127.0,,,,,830.0,573.9,256.6,2540.7,,,False,True,,,,,False,False,True,False,,
05053,98,78.0,,75.0,,,,,132.0,17.1,129.9,30.9,,,-20.0,,-23.0,,,,,34.0,-80.9,31.9,-67.1,,,,False,,,,,False,False,False,False,,
05055,354,858.0,,3226.0,,,,,559.0,3381.3,490.2,538.7,,,504.0,,2872.0,,,,,205.0,3027.3,136.2,184.7,,,,False,,,,,True,False,True,True,,
05057,137,264.0,,444.0,,,,,232.0,197.8,149.3,327.4,,,127.0,,307.0,,,,,95.0,60.8,12.3,190.4,,,,False,,,,,True,True,True,False,,
05059,331,354.0,,45.0,,,,,571.0,226.6,25.6,180.6,,,23.0,,-286.0,,,,,240.0,-104.4,-305.4,-150.4,,,,False,,,,,False,False,False,False,,
05061,154,396.0,,521.0,,,,,194.0,42.1,130.4,257.6,,,242.0,,367.0,,,,,40.0,-111.9,-23.6,103.6,,,,False,,,,,True,True,True,True,,
05063,560,948.0,,2504.0,,,,,644.0,879.5,309.6,796.5,,,388.0,,1944.0,,,,,84.0,319.5,-250.4,236.5,,,,False,,,,,True,True,True,True,,
05065,88,60.0,,93.0,,,,,90.0,5.8,,41.5,,,-28.0,,5.0,,,,,2.0,-82.2,,-46.5,,,,True,,,,,True,False,,False,,
05067,186,36.0,,43.0,,,,,260.0,32.7,,49.1,,,-150.0,,-143.0,,,,,74.0,-153.3,,-136.9,,,,True,,,,,True,False,,True,,
05069,1160,1014.0,837.1,1151.0,,,,,1175.0,962.8,160.1,1128.5,,,-146.0,-322.9,-9.0,,,,,15.0,-197.2,-999.9,-31.5,,,False,True,,,,,True,False,False,True,,
05071,182,342.0,,164.0,,,,,487.0,114.3,12.5,211.4,,,160.0,,-18.0,,,,,305.0,-67.7,-169.5,29.4,,,,True,,,,,False,True,False,True,,
05073,32,24.0,,41.0,,,,,30.0,8.0,,39.0,,,-8.0,,9.0,,,,,-2.0,-24.0,,7.0,,,,False,,,,,True,False,,True,,
05075,128,162.0,,193.0,,,,,182.0,45.4,91.6,150.0,,,34.0,,65.0,,,,,54.0,-82.6,-36.4,22.0,,,,False,,,,,False,False,False,True,,
05077,136,84.0,,1.0,,,,,231.0,7.4,10.5,460.1,,,-52.0,,-135.0,,,,,95.0,-128.6,-125.5,324.1,,,,False,,,,,False,False,False,False,,
