,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01051,249,166.0,167.0,,166.0,175.0,,,,,,203.0,214.1,123.0,,125.6,190.4,82.3,328.0,255.0,,69.2,146.0,,,,,281.0,469.1,-83.0,-82.0,,-83.0,-74.0,,,,,,-46.0,-34.9,-126.0,,-123.4,-58.6,-166.7,79.0,6.0,,-179.8,-103.0,,,,,32.0,220.1,True,,False,True,,,,,,True,True,False,,False,True,False,True,True,,False,False,,,,,True,False
01053,113,80.0,79.8,,65.0,34.0,,,,,,190.0,116.1,107.0,,19.2,62.4,0.6,178.0,96.0,,33.1,62.6,,,,,150.0,438.0,-33.0,-33.2,,-48.0,-79.0,,,,,,77.0,3.1,-6.0,,-93.8,-50.6,-112.4,65.0,-17.0,,-79.9,-50.4,,,,,37.0,325.0,False,,False,False,,,,,,False,True,True,,False,False,False,False,True,,False,False,,,,,False,False
01055,381,330.0,300.1,,282.0,300.0,,,,,,277.0,352.1,384.4,,193.7,241.9,174.1,460.0,460.0,,262.3,266.2,,,,,454.9,862.1,-51.0,-80.9,,-99.0,-81.0,,,,,,-104.0,-28.9,3.4,,-187.3,-139.1,-206.9,79.0,79.0,,-118.7,-114.8,,,,,73.9,481.1,False,,False,False,,,,,,False,True,True,,False,False,False,False,False,,False,False,,,,,False,False
01057,80,38.0,39.3,,39.0,30.0,,,,,,47.0,70.3,54.4,,14.4,29.0,42.2,56.0,7.0,,20.7,45.0,,,,,60.8,108.9,-42.0,-40.7,,-41.0,-50.0,,,,,,-33.0,-9.7,-25.6,,-65.6,-51.0,-37.8,-24.0,-73.0,,-59.3,-35.0,,,,,-19.2,28.9,True,,True,False,,,,,,True,True,True,,False,False,True,True,False,,False,True,,,,,True,True
01059,134,210.0,202.0,,151.0,178.0,,,,,,146.0,139.0,51.8,,128.8,157.5,120.8,294.0,377.0,,123.7,165.9,,,,,259.5,318.5,76.0,68.0,,17.0,44.0,,,,,,12.0,5.0,-82.2,,-5.2,23.5,-13.2,160.0,243.0,,-10.3,31.9,,,,,125.5,184.5,True,,True,True,,,,,,True,True,False,,True,True,True,False,False,,True,True,,,,,False,False
01061,68,60.0,70.8,,65.0,102.0,,,,,,110.0,128.7,102.4,,25.7,56.3,58.8,70.0,0.0,,37.8,60.6,,,,,80.7,189.7,-8.0,2.8,,-3.0,34.0,,,,,,42.0,60.7,34.4,,-42.3,-11.7,-9.2,2.0,-68.0,,-30.2,-7.4,,,,,12.7,121.7,True,,True,False,,,,,,False,False,False,,False,False,False,True,False,,False,True,,,,,False,False
01063,6,12.0,13.5,,11.0,8.0,,,,,,27.0,26.8,12.2,,7.8,14.7,0.2,44.0,12.0,,8.1,10.4,,,,,15.5,31.5,6.0,7.5,,5.0,2.0,,,,,,21.0,20.8,6.2,,1.8,8.7,-5.8,38.0,6.0,,2.1,4.4,,,,,9.5,25.5,False,,True,True,,,,,,False,False,False,,True,False,True,False,False,,True,True,,,,,False,False
01065,36,30.0,30.3,,29.0,23.0,,,,,,58.0,44.0,22.5,,11.7,29.5,1.6,,51.0,,4.5,37.3,,,,,47.8,85.2,-6.0,-5.7,,-7.0,-13.0,,,,,,22.0,8.0,-13.5,,-24.3,-6.5,-34.4,,15.0,,-31.5,1.3,,,,,11.8,49.2,True,,False,False,,,,,,False,False,False,,False,False,False,,False,,False,True,,,,,False,False
01067,63,36.0,32.0,,33.0,41.0,,,,,,51.0,63.4,38.3,,10.7,31.9,24.7,48.0,0.0,,9.9,31.6,,,,,57.1,76.4,-27.0,-31.0,,-30.0,-22.0,,,,,,-12.0,0.4,-24.7,,-52.3,-31.1,-38.3,-15.0,-63.0,,-53.1,-31.4,,,,,-5.9,13.4,False,,False,True,,,,,,True,True,True,,False,False,False,True,False,,False,False,,,,,True,True
01069,416,164.0,152.1,,172.0,163.0,,,,,,378.0,347.3,303.8,,123.4,176.9,145.3,305.0,0.0,,56.7,167.5,,,,,296.5,341.3,-252.0,-263.9,,-244.0,-253.0,,,,,,-38.0,-68.7,-112.2,,-292.6,-239.1,-270.7,-111.0,-416.0,,-359.3,-248.5,,,,,-119.5,-74.7,False,,True,False,,,,,,True,True,True,,False,True,False,True,False,,False,True,,,,,True,True
01071,100,100.0,121.3,,106.0,46.0,,,,,,137.0,159.2,162.4,,87.1,117.8,105.3,,8.0,,51.1,103.2,,,,,213.2,344.0,0.0,21.3,,6.0,-54.0,,,,,,37.0,59.2,62.4,,-12.9,17.8,5.3,,-92.0,,-48.9,3.2,,,,,113.2,244.0,False,,False,False,,,,,,False,False,False,,False,False,False,,False,,False,False,,,,,False,False
01073,1861,2024.0,1900.6,2096.2,1881.0,4018.0,,,,,,1280.0,1901.7,1670.5,,2384.2,1847.9,505.1,3157.0,5019.0,,1046.7,1747.6,2061.0,,,,3381.1,4529.6,163.0,39.6,235.2,20.0,2157.0,,,,,,-581.0,40.7,-190.5,,523.2,-13.1,-1355.9,1296.0,3158.0,,-814.3,-113.4,200.0,,,,1520.1,2668.6,True,False,True,False,,,,,,False,True,False,,False,True,False,False,False,,False,True,False,,,,False,False
01075,22,18.0,18.0,,21.0,14.0,,,,,,49.0,36.9,32.7,,7.7,21.6,26.3,,37.0,,8.7,27.8,,,,,31.5,17.3,-4.0,-4.0,,-1.0,-8.0,,,,,,27.0,14.9,10.7,,-14.3,-0.4,4.3,,15.0,,-13.3,5.8,,,,,9.5,-4.7,False,,True,False,,,,,,False,False,False,,False,True,False,,False,,False,False,,,,,False,False
01077,122,156.0,150.8,,148.0,185.0,,,,,,283.0,215.7,192.9,,89.7,143.0,96.4,255.0,36.0,,90.1,145.3,,,,,218.8,271.7,34.0,28.8,,26.0,63.0,,,,,,161.0,93.7,70.9,,-32.3,21.0,-25.6,133.0,-86.0,,-31.9,23.3,,,,,96.8,149.7,True,,True,False,,,,,,False,False,False,,True,True,True,False,False,,True,True,,,,,False,False
01079,77,92.0,96.2,,93.0,87.0,,,,,,94.0,119.1,79.8,,85.5,107.3,56.4,94.0,76.0,,15.7,90.6,,,,,127.5,197.2,15.0,19.2,,16.0,10.0,,,,,,17.0,42.1,2.8,,8.5,30.3,-20.6,17.0,-1.0,,-61.3,13.6,,,,,50.5,120.2,False,,False,True,,,,,,False,False,True,,True,False,False,False,True,,False,True,,,,,False,False
01081,1035,568.0,568.4,,540.0,1125.0,,,,,,507.0,429.9,367.0,,674.1,514.8,199.3,742.0,1735.0,,1347.1,467.0,898.0,,,,630.8,4227.5,-467.0,-466.6,,-495.0,90.0,,,,,,-528.0,-605.1,-668.0,,-360.9,-520.2,-835.7,-293.0,700.0,,312.1,-568.0,-137.0,,,,-404.2,3192.5,True,,False,True,,,,,,False,False,False,,True,False,False,True,False,,True,False,True,,,,True,False
01083,168,192.0,185.3,,185.0,171.0,,,,,,250.0,244.4,138.8,,190.3,201.7,114.9,306.0,292.0,,137.4,176.8,,,,,301.3,517.2,24.0,17.3,,17.0,3.0,,,,,,82.0,76.4,-29.2,,22.3,33.7,-53.1,138.0,124.0,,-30.6,8.8,,,,,133.3,349.2,True,,True,True,,,,,,False,False,False,,True,False,False,False,False,,False,True,,,,,False,False
01085,13,28.0,18.8,,19.0,0.0,,,,,,37.0,27.0,10.3,,5.8,23.3,0.5,91.0,96.0,,14.6,23.0,,,,,39.0,95.4,15.0,5.8,,6.0,-13.0,,,,,,24.0,14.0,-2.7,,-7.2,10.3,-12.5,78.0,83.0,,1.6,10.0,,,,,26.0,82.4,True,,True,True,,,,,,False,True,True,,True,True,True,False,False,,True,True,,,,,False,False
01087,31,34.0,37.2,,31.0,29.0,,,,,,43.0,69.4,39.0,,12.4,37.2,0.0,70.0,66.0,,26.4,31.3,,,,,50.5,175.2,3.0,6.2,,0.0,-2.0,,,,,,12.0,38.4,8.0,,-18.6,6.2,-31.0,39.0,35.0,,-4.6,0.3,,,,,19.5,144.2,False,,True,True,,,,,,False,False,False,,False,False,False,False,False,,False,True,,,,,False,False
01089,716,570.0,533.1,605.4,564.0,931.0,,,,,,720.0,684.8,808.3,,611.0,582.0,209.3,1099.0,894.0,,0.0,484.8,540.0,,,,906.1,1520.7,-146.0,-182.9,-110.6,-152.0,215.0,,,,,,4.0,-31.2,92.3,,-105.0,-134.0,-506.7,383.0,178.0,,-716.0,-231.2,-176.0,,,,190.1,804.7,False,True,False,False,,,,,,True,True,True,,True,True,False,False,False,,False,False,False,,,,False,False
01091,46,34.0,35.4,,30.0,29.0,,,,,,99.0,50.7,31.9,,5.8,27.0,0.3,,69.0,,17.9,39.1,,,,,51.7,43.2,-12.0,-10.6,,-16.0,-17.0,,,,,,53.0,4.7,-14.1,,-40.2,-19.0,-45.7,,23.0,,-28.1,-6.9,,,,,5.7,-2.8,True,,False,False,,,,,,False,True,False,,False,False,False,,False,,False,True,,,,,True,True
01093,98,120.0,116.4,,94.0,157.0,,,,,,94.0,131.4,89.5,,51.9,90.9,39.1,140.0,66.0,,34.9,91.0,,,,,161.4,128.8,22.0,18.4,,-4.0,59.0,,,,,,-4.0,33.4,-8.5,,-46.1,-7.1,-58.9,42.0,-32.0,,-63.1,-7.0,,,,,63.4,30.8,True,,True,False,,,,,,True,False,True,,False,True,False,False,False,,False,True,,,,,False,False
01095,120,124.0,146.7,,128.0,109.0,,,,,,302.0,240.9,180.4,,54.9,114.3,40.1,503.0,0.0,,47.2,180.7,,,,,278.5,513.9,4.0,26.7,,8.0,-11.0,,,,,,182.0,120.9,60.4,,-65.1,-5.7,-79.9,383.0,-120.0,,-72.8,60.7,,,,,158.5,393.9,False,,False,False,,,,,,False,False,False,,False,False,False,False,False,,False,False,,,,,False,False
01097,641,822.0,841.0,1011.5,827.0,719.0,,,,,,1023.0,946.9,1074.3,,881.1,710.7,585.5,,756.0,,296.1,1430.7,521.0,,,,1430.8,1547.3,181.0,200.0,370.5,186.0,78.0,,,,,,382.0,305.9,433.3,,240.1,69.7,-55.5,,115.0,,-344.9,789.7,-120.0,,,,789.8,906.3,False,False,False,True,,,,,,False,False,False,,False,True,True,,True,,False,False,True,,,,False,False
01099,24,0.0,0.0,,7.0,5.0,,,,,,89.0,29.4,41.9,,3.9,11.9,14.0,59.0,3.0,,4.4,0.9,,,,,14.6,130.2,-24.0,-24.0,,-17.0,-19.0,,,,,,65.0,5.4,17.9,,-20.1,-12.1,-10.0,35.0,-21.0,,-19.6,-23.1,,,,,-9.4,106.2,False,,True,True,,,,,,False,True,True,,True,True,True,False,True,,True,True,,,,,True,False
01101,463,506.0,503.9,622.9,505.0,406.0,,,,,,606.0,502.9,312.4,,528.8,598.2,150.2,,941.0,,480.5,510.7,561.0,,,,891.0,1087.2,43.0,40.9,159.9,42.0,-57.0,,,,,,143.0,39.9,-150.6,,65.8,135.2,-312.8,,478.0,,17.5,47.7,98.0,,,,428.0,624.2,True,False,True,False,,,,,,False,True,False,,False,False,False,,False,,True,False,False,,,,False,False
01103,186,330.0,306.3,,309.0,460.0,,,,,,316.0,353.9,218.7,,301.8,308.4,97.4,545.0,567.0,,114.4,307.9,,,,,497.4,933.7,144.0,120.3,,123.0,274.0,,,,,,130.0,167.9,32.7,,115.8,122.4,-88.6,359.0,381.0,,-71.6,121.9,,,,,311.4,747.7,True,,True,False,,,,,,True,False,True,,True,True,True,False,False,,True,True,,,,,False,False
01105,16,18.0,20.1,,14.0,8.0,,,,,,33.0,24.8,20.2,,2.6,10.7,0.0,,0.0,,4.9,22.3,,,,,36.0,53.6,2.0,4.1,,-2.0,-8.0,,,,,,17.0,8.8,4.2,,-13.4,-5.3,-16.0,,-16.0,,-11.1,6.3,,,,,20.0,37.6,False,,False,False,,,,,,False,False,False,,False,False,False,,False,,False,False,,,,,False,False
01107,51,68.0,74.2,,61.0,92.0,,,,,,78.0,93.8,47.9,,36.4,60.6,40.5,100.0,0.0,,51.6,49.8,,,,,102.5,142.9,17.0,23.2,,10.0,41.0,,,,,,27.0,42.8,-3.1,,-14.6,9.6,-10.5,49.0,-51.0,,0.6,-1.2,,,,,51.5,91.9,False,,True,False,,,,,,False,False,True,,True,True,True,False,False,,True,True,,,,,False,False
01109,151,86.0,69.7,,72.0,85.0,,,,,,171.0,124.2,62.1,,37.2,67.4,35.1,147.0,0.0,,25.8,80.7,,,,,120.7,288.8,-65.0,-81.3,,-79.0,-66.0,,,,,,20.0,-26.8,-88.9,,-113.8,-83.6,-115.9,-4.0,-151.0,,-125.2,-70.3,,,,,-30.3,137.8,False,,False,False,,,,,,True,True,False,,False,False,False,True,False,,False,False,,,,,True,False
01111,53,60.0,57.9,,57.0,14.0,,,,,,66.0,78.4,53.4,,39.2,60.3,21.0,86.0,3.0,,4.4,57.7,,,,,80.3,99.0,7.0,4.9,,4.0,-39.0,,,,,,13.0,25.4,0.4,,-13.8,7.3,-32.0,33.0,-50.0,,-48.6,4.7,,,,,27.3,46.0,True,,True,False,,,,,,False,False,True,,False,False,False,False,False,,False,True,,,,,False,False
