,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01067,238,224.0,,,,,,184.0,69.0,,,,-14.0,,,,,,-54.0,-169.0,,,,,,,,,False,False,,,
01069,1620,1504.0,1999.5,,,,,2756.0,931.3,2048.1,,,-116.0,379.5,,,,,1136.0,-688.7,428.1,,,False,,,,,False,False,False,,
01071,839,1024.0,1370.4,,,,,1095.0,576.5,,,,185.0,531.4,,,,,256.0,-262.5,,,,False,,,,,False,False,,,
01073,9318,15736.0,23179.8,,,,,22732.0,7352.0,22302.9,,,6418.0,13861.8,,,,,13414.0,-1966.0,12984.9,,,False,,,,,False,True,False,,
01075,180,240.0,,,,,,163.0,124.4,,,,60.0,,,,,,-17.0,-55.6,,,,,,,,,True,True,,,
01077,805,1296.0,1733.2,,,,,1820.0,924.7,,,,491.0,928.2,,,,,1015.0,119.7,,,,False,,,,,False,True,,,
01079,367,464.0,,,,,,477.0,283.7,,,,97.0,,,,,,110.0,-83.3,,,,,,,,,False,True,,,
01081,3363,3104.0,3226.7,,,,,3766.0,1423.9,2577.4,,,-259.0,-136.3,,,,,403.0,-1939.1,-785.6,,,True,,,,,False,False,False,,
01083,1012,1536.0,1393.6,,,,,2085.0,1094.4,,,,524.0,381.6,,,,,1073.0,82.4,,,,True,,,,,False,True,,,
01085,115,240.0,,,,,,94.0,3.8,,,,125.0,,,,,,-21.0,-111.2,,,,,,,,,True,True,,,
01087,203,264.0,,,,,,142.0,113.1,,,,61.0,,,,,,-61.0,-89.9,,,,,,,,,False,False,,,
01089,3591,9632.0,7729.0,,,,,8212.0,4363.6,10564.8,,,6041.0,4138.0,,,,,4621.0,772.6,6973.8,,,True,,,,,True,True,False,,
01091,271,488.0,,,,,,416.0,115.4,,,,217.0,,,,,,145.0,-155.6,,,,,,,,,True,True,,,
01093,443,1072.0,,,,,,547.0,269.7,,,,629.0,,,,,,104.0,-173.3,,,,,,,,,True,True,,,
01095,1384,2864.0,2843.1,,,,,3589.0,874.2,1549.3,,,1480.0,1459.1,,,,,2205.0,-509.8,165.3,,,True,,,,,False,True,True,,
01097,6745,9168.0,5054.6,,,,,12429.0,2600.6,27196.4,,,2423.0,-1690.4,,,,,5684.0,-4144.4,20451.4,,,True,,,,,False,False,False,,
01099,239,440.0,,,,,,393.0,141.6,,,,201.0,,,,,,154.0,-97.4,,,,,,,,,True,True,,,
01101,3256,4440.0,1405.1,,,,,6418.0,1544.7,3421.9,,,1184.0,-1850.9,,,,,3162.0,-1711.3,165.9,,,False,,,,,False,False,True,,
01103,1388,2824.0,2169.5,,,,,3262.0,956.6,,,,1436.0,781.5,,,,,1874.0,-431.4,,,,True,,,,,False,True,,,
01105,203,608.0,,,,,,83.0,50.2,,,,405.0,,,,,,-120.0,-152.8,,,,,,,,,True,True,,,
01107,303,240.0,,,,,,328.0,152.0,,,,-63.0,,,,,,25.0,-151.0,,,,,,,,,True,False,,,
01109,557,488.0,,,,,,768.0,161.1,,,,-69.0,,,,,,211.0,-395.9,,,,,,,,,False,False,,,
01111,245,336.0,,,,,,294.0,153.9,,,,91.0,,,,,,49.0,-91.1,,,,,,,,,True,False,,,
01113,738,1680.0,1682.3,,,,,858.0,461.2,,,,942.0,944.3,,,,,120.0,-276.8,,,,False,,,,,True,True,,,
01115,1281,2000.0,1799.4,,,,,1677.0,1096.1,,,,719.0,518.4,,,,,396.0,-184.9,,,,True,,,,,True,True,,,
01117,3006,4048.0,4933.9,,,,,4593.0,2100.8,4609.6,,,1042.0,1927.9,,,,,1587.0,-905.2,1603.6,,,False,,,,,False,True,False,,
01119,101,192.0,,,,,,210.0,6.9,,,,91.0,,,,,,109.0,-94.1,,,,,,,,,False,False,,,
01121,1295,1424.0,1310.4,,,,,1659.0,893.0,1197.3,,,129.0,15.4,,,,,364.0,-402.0,-97.7,,,True,,,,,False,False,True,,
01123,382,496.0,,,,,,704.0,141.7,,,,114.0,,,,,,322.0,-240.3,,,,,,,,,False,False,,,
01125,3510,3488.0,4890.5,,,,,6071.0,1308.5,2522.0,,,-22.0,1380.5,,,,,2561.0,-2201.5,-988.0,,,False,,,,,False,False,False,,
01127,875,1320.0,742.3,,,,,1822.0,400.4,2672.7,,,445.0,-132.7,,,,,947.0,-474.6,1797.7,,,True,,,,,False,False,False,,
01129,324,456.0,,,,,,361.0,95.5,,,,132.0,,,,,,37.0,-228.5,,,,,,,,,True,False,,,
01131,181,304.0,,,,,,104.0,55.1,,,,123.0,,,,,,-77.0,-125.9,,,,,,,,,True,False,,,
01133,318,360.0,,,,,,403.0,187.7,,,,42.0,,,,,,85.0,-130.3,,,,,,,,,False,False,,,
02013,8,0.0,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,,,,
02016,83,0.0,,,,,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,,
02020,2702,1592.0,1885.1,,,,,,1635.4,1423.8,,,-1110.0,-816.9,,,,,,-1066.6,-1278.2,,,True,,,,,,True,False,,
02050,66,24.0,,,,,,,,,,,-42.0,,,,,,,,,,,,,,,,,,,,
02060,0,16.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
02068,3,0.0,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,
02070,6,8.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
02090,577,608.0,284.4,,,,,,456.0,,,,31.0,-292.6,,,,,,-121.0,,,,False,,,,,,False,,,
02100,1,8.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,
02105,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
02110,250,80.0,,,,,,,,,,,-170.0,,,,,,,,,,,,,,,,,,,,
02122,351,336.0,533.2,,,,,,363.4,,,,-15.0,182.2,,,,,,12.4,,,,False,,,,,,True,,,
02130,31,8.0,,,,,,,,,,,-23.0,,,,,,,,,,,,,,,,,,,,
02150,49,8.0,,,,,,,,,,,-41.0,,,,,,,,,,,,,,,,,,,,
02158,6,8.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
02164,21,0.0,,,,,,,,,,,-21.0,,,,,,,,,,,,,,,,,,,,
02170,368,320.0,471.7,,,,,,468.5,,,,-48.0,103.7,,,,,,100.5,,,,False,,,,,,False,,,
02180,36,24.0,,,,,,,,,,,-12.0,,,,,,,,,,,,,,,,,,,,
02185,62,16.0,,,,,,,,,,,-46.0,,,,,,,,,,,,,,,,,,,,
02188,66,16.0,,,,,,,,,,,-50.0,,,,,,,,,,,,,,,,,,,,
02195,2,0.0,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,
02198,27,0.0,,,,,,,,,,,-27.0,,,,,,,,,,,,,,,,,,,,
02220,32,16.0,,,,,,,,,,,-16.0,,,,,,,,,,,,,,,,,,,,
02230,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
02240,13,0.0,,,,,,,,,,,-13.0,,,,,,,,,,,,,,,,,,,,
02261,69,104.0,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,
02275,9,0.0,,,,,,,,,,,-9.0,,,,,,,,,,,,,,,,,,,,
02282,24,0.0,,,,,,,,,,,-24.0,,,,,,,,,,,,,,,,,,,,
02290,57,96.0,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,
04001,663,1472.0,2361.6,,,,,1043.0,58.8,1348.3,,,809.0,1698.6,,,,,380.0,-604.2,685.3,,,False,,,,,True,True,True,,
04003,650,1576.0,1747.3,,,,,1420.0,924.8,,,,926.0,1097.3,,,,,770.0,274.8,,,,False,,,,,True,True,,,
04005,855,1760.0,2783.1,,,,,1696.0,721.5,8187.6,,,905.0,1928.1,,,,,841.0,-133.5,7332.6,,,False,,,,,True,True,False,,
04007,630,896.0,989.6,,,,,430.0,303.7,,,,266.0,359.6,,,,,-200.0,-326.3,,,,False,,,,,True,False,,,
04009,503,616.0,,,,,,431.0,242.7,,,,113.0,,,,,,-72.0,-260.3,,,,,,,,,True,False,,,
04011,25,56.0,,,,,,67.0,,,,,31.0,,,,,,42.0,,,,,,,,,,False,,,,
04012,95,288.0,,,,,,359.0,52.1,,,,193.0,,,,,,264.0,-42.9,,,,,,,,,False,True,,,
04013,43422,123112.0,375480.9,,,,,116995.0,50441.9,71133.7,,,79690.0,332058.9,,,,,73573.0,7019.9,27711.7,,,False,,,,,True,True,True,,
04015,1563,3760.0,3466.2,,,,,4314.0,1833.5,9771.0,,,2197.0,1903.2,,,,,2751.0,270.5,8208.0,,,True,,,,,False,True,False,,
04017,921,3912.0,1268.6,,,,,2036.0,1100.4,2783.7,,,2991.0,347.6,,,,,1115.0,179.4,1862.7,,,True,,,,,True,True,True,,
04019,9095,14616.0,22353.0,,,,,15688.0,6625.5,9787.8,,,5521.0,13258.0,,,,,6593.0,-2469.5,692.8,,,False,,,,,False,True,True,,
04021,3644,8184.0,15307.7,,,,,6487.0,2915.4,4647.0,,,4540.0,11663.7,,,,,2843.0,-728.6,1003.0,,,False,,,,,True,True,True,,
04023,547,864.0,,,,,,1468.0,59.9,,,,317.0,,,,,,921.0,-487.1,,,,,,,,,False,False,,,
04025,1083,2024.0,5323.5,,,,,2537.0,1614.9,2662.8,,,941.0,4240.5,,,,,1454.0,531.9,1579.8,,,False,,,,,False,True,False,,
04027,3294,7544.0,14734.4,,,,,6908.0,545.5,7068.4,,,4250.0,11440.4,,,,,3614.0,-2748.5,3774.4,,,False,,,,,True,True,True,,
05001,204,416.0,,,,,,198.0,119.4,,,,212.0,,,,,,-6.0,-84.6,,,,,,,,,True,True,,,
05003,274,224.0,,,,,,274.0,187.4,,,,-50.0,,,,,,0.0,-86.6,,,,,,,,,True,False,,,
05005,161,88.0,,,,,,143.0,,,,,-73.0,,,,,,-18.0,,,,,,,,,,True,,,,
05007,2043,2984.0,2865.1,,,,,4330.0,1108.5,1615.7,,,941.0,822.1,,,,,2287.0,-934.5,-427.3,,,True,,,,,False,True,True,,
05009,403,224.0,,,,,,327.0,,,,,-179.0,,,,,,-76.0,,,,,,,,,,True,,,,
05011,229,128.0,,,,,,166.0,,,,,-101.0,,,,,,-63.0,,,,,,,,,,True,,,,
05013,26,24.0,,,,,,28.0,,,,,-2.0,,,,,,2.0,,,,,,,,,,False,,,,
05015,281,296.0,,,,,,181.0,244.5,,,,15.0,,,,,,-100.0,-36.5,,,,,,,,,False,False,,,
05017,727,336.0,,,,,,196.0,122.5,,,,-391.0,,,,,,-531.0,-604.5,,,,,,,,,False,False,,,
05019,186,152.0,,,,,,259.0,,,,,-34.0,,,,,,73.0,,,,,,,,,,False,,,,
05021,144,64.0,,,,,,105.0,,,,,-80.0,,,,,,-39.0,,,,,,,,,,True,,,,
05023,142,184.0,,,,,,199.0,134.4,,,,42.0,,,,,,57.0,-7.6,,,,,,,,,False,True,,,
05025,116,48.0,,,,,,74.0,,,,,-68.0,,,,,,-42.0,,,,,,,,,,True,,,,
05027,205,200.0,,,,,,400.0,171.1,,,,-5.0,,,,,,195.0,-33.9,,,,,,,,,False,False,,,
05029,120,176.0,,,,,,357.0,195.7,,,,56.0,,,,,,237.0,75.7,,,,,,,,,False,False,,,
05031,1636,1280.0,1178.1,,,,,1879.0,696.1,1036.3,,,-356.0,-457.9,,,,,243.0,-939.9,-599.7,,,False,,,,,True,False,False,,
05033,731,616.0,1557.6,,,,,1399.0,603.6,,,,-115.0,826.6,,,,,668.0,-127.4,,,,False,,,,,False,False,,,
05035,870,768.0,,,,,,689.0,146.4,,,,-102.0,,,,,,-181.0,-723.6,,,,,,,,,False,False,,,
05037,248,144.0,,,,,,158.0,70.8,,,,-104.0,,,,,,-90.0,-177.2,,,,,,,,,True,False,,,
05039,134,80.0,,,,,,63.0,,,,,-54.0,,,,,,-71.0,,,,,,,,,,False,,,,
05041,162,152.0,,,,,,138.0,,,,,-10.0,,,,,,-24.0,,,,,,,,,,False,,,,
05043,222,176.0,,,,,,278.0,133.9,,,,-46.0,,,,,,56.0,-88.1,,,,,,,,,False,False,,,
05045,1074,1048.0,2719.5,,,,,1901.0,1257.7,,,,-26.0,1645.5,,,,,827.0,183.7,,,,False,,,,,False,False,,,
05047,171,56.0,,,,,,177.0,,,,,-115.0,,,,,,6.0,,,,,,,,,,True,,,,
05049,78,24.0,,,,,,49.0,,,,,-54.0,,,,,,-29.0,,,,,,,,,,True,,,,
05051,1168,976.0,340.5,,,,,1994.0,847.8,,,,-192.0,-827.5,,,,,826.0,-320.2,,,,False,,,,,False,False,,,
05053,145,192.0,,,,,,107.0,,,,,47.0,,,,,,-38.0,,,,,,,,,,True,,,,
05055,545,168.0,,,,,,477.0,310.3,,,,-377.0,,,,,,-68.0,-234.7,,,,,,,,,True,True,,,
05057,232,288.0,,,,,,342.0,214.2,,,,56.0,,,,,,110.0,-17.8,,,,,,,,,False,True,,,
05059,438,1048.0,,,,,,889.0,748.8,,,,610.0,,,,,,451.0,310.8,,,,,,,,,True,True,,,
05061,281,256.0,,,,,,191.0,148.9,,,,-25.0,,,,,,-90.0,-132.1,,,,,,,,,False,False,,,
05063,798,288.0,,,,,,685.0,295.3,,,,-510.0,,,,,,-113.0,-502.7,,,,,,,,,True,True,,,
05065,104,24.0,,,,,,95.0,,,,,-80.0,,,,,,-9.0,,,,,,,,,,True,,,,
05067,201,24.0,,,,,,221.0,,,,,-177.0,,,,,,20.0,,,,,,,,,,True,,,,
05069,1506,952.0,303.2,,,,,1187.0,204.4,2498.7,,,-554.0,-1202.8,,,,,-319.0,-1301.6,992.7,,,False,,,,,True,False,False,,
05071,323,904.0,,,,,,723.0,289.9,,,,581.0,,,,,,400.0,-33.1,,,,,,,,,True,True,,,
05073,45,96.0,,,,,,45.0,,,,,51.0,,,,,,0.0,,,,,,,,,,True,,,,
05075,177,144.0,,,,,,153.0,47.9,,,,-33.0,,,,,,-24.0,-129.1,,,,,,,,,True,False,,,
05077,162,272.0,,,,,,158.0,33.4,,,,110.0,,,,,,-4.0,-128.6,,,,,,,,,True,False,,,
05079,657,560.0,,,,,,339.0,2.6,,,,-97.0,,,,,,-318.0,-654.4,,,,,,,,,False,False,,,
05081,263,144.0,,,,,,133.0,,,,,-119.0,,,,,,-130.0,,,,,,,,,,False,,,,
05083,280,208.0,,,,,,374.0,167.6,,,,-72.0,,,,,,94.0,-112.4,,,,,,,,,False,False,,,
05085,664,416.0,424.0,,,,,779.0,589.5,,,,-248.0,-240.0,,,,,115.0,-74.5,,,,True,,,,,True,True,,,
05087,92,40.0,,,,,,137.0,87.4,,,,-52.0,,,,,,45.0,-4.6,,,,,,,,,True,True,,,
05089,46,16.0,,,,,,60.0,,,,,-30.0,,,,,,14.0,,,,,,,,,,True,,,,
05091,389,600.0,,,,,,772.0,532.2,,,,211.0,,,,,,383.0,143.2,,,,,,,,,False,True,,,
05093,1090,776.0,,,,,,715.0,515.6,,,,-314.0,,,,,,-375.0,-574.4,,,,,,,,,False,False,,,
05095,74,72.0,,,,,,67.0,,,,,-2.0,,,,,,-7.0,,,,,,,,,,False,,,,
05097,111,32.0,,,,,,60.0,,,,,-79.0,,,,,,-51.0,,,,,,,,,,True,,,,
05099,62,56.0,,,,,,120.0,19.4,,,,-6.0,,,,,,58.0,-42.6,,,,,,,,,False,False,,,
05101,161,48.0,,,,,,29.0,,,,,-113.0,,,,,,-132.0,,,,,,,,,,False,,,,
05103,170,88.0,,,,,,322.0,,,,,-82.0,,,,,,152.0,,,,,,,,,,False,,,,
05105,36,48.0,,,,,,62.0,,,,,12.0,,,,,,26.0,,,,,,,,,,False,,,,
05107,225,264.0,,,,,,366.0,1.5,,,,39.0,,,,,,141.0,-223.5,,,,,,,,,False,False,,,
05109,182,56.0,,,,,,125.0,,,,,-126.0,,,,,,-57.0,,,,,,,,,,True,,,,
05111,471,144.0,,,,,,276.0,,,,,-327.0,,,,,,-195.0,,,,,,,,,,True,,,,
05113,146,120.0,,,,,,309.0,102.2,,,,-26.0,,,,,,163.0,-43.8,,,,,,,,,False,False,,,
05115,1125,1408.0,2117.6,,,,,1260.0,670.2,,,,283.0,992.6,,,,,135.0,-454.8,,,,False,,,,,True,False,,,
05117,86,128.0,,,,,,65.0,,,,,42.0,,,,,,-21.0,,,,,,,,,,True,,,,
05119,4432,5536.0,9872.2,,,,,6079.0,3495.1,8064.7,,,1104.0,5440.2,,,,,1647.0,-936.9,3632.7,,,False,,,,,False,True,False,,
05121,245,152.0,,,,,,198.0,,,,,-93.0,,,,,,-47.0,,,,,,,,,,True,,,,
05123,444,312.0,,,,,,682.0,13.5,,,,-132.0,,,,,,238.0,-430.5,,,,,,,,,False,False,,,
05125,1241,960.0,2465.8,,,,,1911.0,1390.2,,,,-281.0,1224.8,,,,,670.0,149.2,,,,False,,,,,False,True,,,
05127,73,24.0,,,,,,72.0,,,,,-49.0,,,,,,-1.0,,,,,,,,,,True,,,,
05129,110,16.0,,,,,,44.0,,,,,-94.0,,,,,,-66.0,,,,,,,,,,True,,,,
05131,2061,2368.0,1619.0,,,,,5349.0,1473.1,,,,307.0,-442.0,,,,,3288.0,-587.9,,,,False,,,,,False,False,,,
05133,335,368.0,,,,,,673.0,36.9,,,,33.0,,,,,,338.0,-298.1,,,,,,,,,False,False,,,
05135,97,120.0,,,,,,98.0,,,,,23.0,,,,,,1.0,,,,,,,,,,True,,,,
05137,240,40.0,,,,,,65.0,,,,,-200.0,,,,,,-175.0,,,,,,,,,,True,,,,
05139,480,256.0,,,,,,765.0,73.1,,,,-224.0,,,,,,285.0,-406.9,,,,,,,,,False,False,,,
05141,117,24.0,,,,,,69.0,,,,,-93.0,,,,,,-48.0,,,,,,,,,,True,,,,
05143,3135,4824.0,16841.6,,,,,5745.0,1037.4,2858.0,,,1689.0,13706.6,,,,,2610.0,-2097.6,-277.0,,,False,,,,,False,False,True,,
05145,466,320.0,412.1,,,,,1313.0,680.8,,,,-146.0,-53.9,,,,,847.0,214.8,,,,True,,,,,False,False,,,
05147,16,40.0,,,,,,43.0,,,,,24.0,,,,,,27.0,,,,,,,,,,False,,,,
05149,293,648.0,,,,,,566.0,22.7,,,,355.0,,,,,,273.0,-270.3,,,,,,,,,True,True,,,
06001,10727,11080.0,8689.5,,,,,10467.0,9796.0,27007.8,,,353.0,-2037.5,,,,,-260.0,-931.0,16280.8,,,False,,,,,True,False,False,,
06003,0,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,True,,,,
06005,229,88.0,,,,,,183.0,,,,,-141.0,,,,,,-46.0,,,,,,,,,,True,,,,
06007,2083,1472.0,1495.2,,,,,1290.0,2402.8,,,,-611.0,-587.8,,,,,-793.0,319.8,,,,True,,,,,False,True,,,
06009,211,160.0,,,,,,208.0,,,,,-51.0,,,,,,-3.0,,,,,,,,,,True,,,,
06011,319,480.0,,,,,,312.0,244.2,,,,161.0,,,,,,-7.0,-74.8,,,,,,,,,True,True,,,
06013,9657,7464.0,12038.2,,,,,7700.0,12364.7,7267.5,,,-2193.0,2381.2,,,,,-1957.0,2707.7,-2389.5,,,False,,,,,True,False,False,,
06015,64,48.0,,,,,,59.0,,,,,-16.0,,,,,,-5.0,,,,,,,,,,True,,,,
06017,638,696.0,1110.2,,,,,1304.0,2117.0,,,,58.0,472.2,,,,,666.0,1479.0,,,,False,,,,,False,False,,,
06019,16963,16384.0,33391.3,,,,,16552.0,10100.2,9072.5,,,-579.0,16428.3,,,,,-411.0,-6862.8,-7890.5,,,False,,,,,True,False,False,,
06021,338,400.0,,,,,,296.0,313.9,,,,62.0,,,,,,-42.0,-24.1,,,,,,,,,True,True,,,
06023,266,128.0,96.1,,,,,492.0,317.9,,,,-138.0,-169.9,,,,,226.0,51.9,,,,False,,,,,False,True,,,
06025,2743,5632.0,4407.6,,,,,5235.0,370.1,4680.4,,,2889.0,1664.6,,,,,2492.0,-2372.9,1937.4,,,True,,,,,True,True,True,,
06027,175,24.0,,,,,,7.0,,,,,-151.0,,,,,,-168.0,,,,,,,,,,False,,,,
06029,22835,11112.0,13414.6,,,,,14180.0,6217.7,17691.4,,,-11723.0,-9420.4,,,,,-8655.0,-16617.3,-5143.6,,,True,,,,,True,False,True,,
06031,3830,2488.0,1678.7,,,,,3416.0,690.5,4391.6,,,-1342.0,-2151.3,,,,,-414.0,-3139.5,561.6,,,False,,,,,True,False,True,,
06033,251,256.0,88.4,,,,,265.0,488.9,,,,5.0,-162.6,,,,,14.0,237.9,,,,False,,,,,False,False,,,
06035,261,1728.0,,,,,,228.0,266.7,,,,1467.0,,,,,,-33.0,5.7,,,,,,,,,True,True,,,
06037,100024,182064.0,134510.4,,,,,151604.0,80992.5,266122.0,,,82040.0,34486.4,,,,,51580.0,-19031.5,166098.0,,,True,,,,,True,True,False,,
06039,2971,2288.0,3421.3,,,,,2789.0,1969.5,,,,-683.0,450.3,,,,,-182.0,-1001.5,,,,True,,,,,True,False,,,
06041,2301,5840.0,12526.4,,,,,1568.0,3447.5,4625.2,,,3539.0,10225.4,,,,,-733.0,1146.5,2324.2,,,False,,,,,True,True,True,,
06043,40,32.0,,,,,,31.0,,,,,-8.0,,,,,,-9.0,,,,,,,,,,False,,,,
06045,593,576.0,550.8,,,,,200.0,456.5,,,,-17.0,-42.2,,,,,-393.0,-136.5,,,,False,,,,,False,False,,,
06047,6138,4152.0,5303.2,,,,,9295.0,2875.2,2548.2,,,-1986.0,-834.8,,,,,3157.0,-3262.8,-3589.8,,,True,,,,,False,False,False,,
06049,24,0.0,,,,,,7.0,,,,,-24.0,,,,,,-17.0,,,,,,,,,,True,,,,
06051,87,208.0,,,,,,12.0,,,,,121.0,,,,,,-75.0,,,,,,,,,,True,,,,
06053,5599,4976.0,5976.5,,,,,6873.0,4892.5,3027.7,,,-623.0,377.5,,,,,1274.0,-706.5,-2571.3,,,True,,,,,False,False,False,,
06055,960,848.0,1642.8,,,,,1369.0,1285.8,,,,-112.0,682.8,,,,,409.0,325.8,,,,False,,,,,False,False,,,
