,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,34363,48464.0,48607.4,38686.0,41181.0,,38779.0,30398.0,76358.2,,48867.0,45404.8,47557.8,24440.3,35937.9,30987.1,44601.0,,21705.9,37289.2,50522.9,36213.1,33963.0,14101.0,14244.4,4323.0,6818.0,,4416.0,-3965.0,41995.2,,14504.0,11041.8,13194.8,-9922.7,1574.9,-3375.9,10238.0,,-12657.1,2926.2,16159.9,1850.1,-400.0,False,True,True,,True,True,False,,False,True,True,True,True,True,True,,True,True,False,True,True
Hawaii,2658,2952.0,3304.5,2233.0,1122.0,,2294.0,2312.0,3377.5,,,1885.6,3046.4,4329.7,3637.3,1979.6,1809.1,,922.4,3312.1,2459.9,1783.3,1676.0,294.0,646.5,-425.0,-1536.0,,-364.0,-346.0,719.5,,,-772.4,388.4,1671.7,979.3,-678.4,-848.9,,-1735.6,654.1,-198.1,-874.7,-982.0,False,False,False,,False,False,False,,,False,False,False,False,False,False,,False,False,True,False,False
Idaho,15335,8320.0,8150.0,7493.0,8401.0,,7356.5,5187.0,34106.2,,7618.0,7386.2,11467.5,6444.1,5186.7,5481.4,9279.4,,5320.6,5929.3,7387.6,9369.6,6933.0,-7015.0,-7185.0,-7842.0,-6934.0,,-7978.5,-10148.0,18771.2,,-7717.0,-7948.8,-3867.5,-8890.9,-10148.3,-9853.6,-6055.6,,-10014.4,-9405.7,-7947.4,-5965.4,-8402.0,False,False,True,,False,False,False,,False,False,True,False,False,False,True,,False,False,False,True,False
Illinois,68345,52168.0,53269.4,44178.0,74708.0,,42988.0,11234.0,87825.6,,43154.0,56232.7,48005.3,40337.0,43128.7,35226.5,43328.6,,36157.8,47936.0,43781.1,47180.7,40045.0,-16177.0,-15075.6,-24167.0,6363.0,,-25357.0,-57111.0,19480.6,,-25191.0,-12112.3,-20339.7,-28008.0,-25216.3,-33118.5,-25016.4,,-32187.2,-20409.0,-24563.9,-21164.3,-28300.0,True,False,True,,False,False,False,,False,True,False,False,False,False,False,,False,False,False,False,False
Indiana,35218,24792.0,24419.8,22365.0,29729.0,,22646.5,18246.0,34032.2,,16153.0,24651.1,29515.7,21719.6,27780.5,16705.0,19419.2,,15074.0,21575.0,23051.8,23259.9,21504.0,-10426.0,-10798.2,-12853.0,-5489.0,,-12571.5,-16972.0,-1185.8,,-19065.0,-10566.9,-5702.3,-13498.4,-7437.5,-18513.0,-15798.8,,-20144.0,-13643.0,-12166.2,-11958.1,-13714.0,False,False,True,,False,False,True,,False,False,True,False,True,False,False,,False,False,False,False,False
Iowa,26894,22396.0,20000.7,19867.0,28301.0,,18210.5,19699.0,24827.3,,20190.0,19750.3,26175.5,12802.6,28111.5,16834.3,18173.2,,16089.3,18264.8,16022.0,27909.3,15093.0,-4498.0,-6893.3,-7027.0,1407.0,,-8683.5,-7195.0,-2066.7,,-6704.0,-7143.7,-718.5,-14091.4,1217.5,-10059.7,-8720.8,,-10804.7,-8629.2,-10872.0,1015.3,-11801.0,False,False,True,,False,False,True,,False,False,True,False,True,False,False,,False,False,False,True,False
Kansas,20084,15312.0,15059.6,14272.0,18942.0,,12416.9,14437.0,20828.1,,12758.0,11494.5,22597.8,10358.2,17286.4,8875.5,13091.6,,5675.9,15687.1,13784.4,11730.0,11800.0,-4772.0,-5024.4,-5812.0,-1142.0,,-7667.1,-5647.0,744.1,,-7326.0,-8589.5,2513.8,-9725.8,-2797.6,-11208.5,-6992.4,,-14408.1,-4396.9,-6299.6,-8354.0,-8284.0,False,False,True,,False,False,True,,False,False,True,False,True,False,False,,False,True,False,False,False
Kentucky,25691,18764.0,18815.3,17450.0,19646.0,,17176.0,17209.0,74009.1,,21234.0,18542.0,23932.9,16315.3,19321.2,12954.3,17361.3,,11870.1,16813.5,13953.2,18551.9,17279.0,-6927.0,-6875.7,-8241.0,-6045.0,,-8515.0,-8482.0,48318.1,,-4457.0,-7149.0,-1758.1,-9375.7,-6369.8,-12736.7,-8329.7,,-13820.9,-8877.5,-11737.8,-7139.1,-8412.0,True,False,True,,False,False,False,,True,False,True,False,True,False,False,,False,False,False,False,False
Louisiana,16404,16436.0,17135.2,14245.0,20627.0,,12479.2,9747.0,49602.1,,25154.0,11393.7,14209.5,10581.8,12430.1,11535.5,13639.0,,8744.1,15340.7,22814.1,9736.9,11492.0,32.0,731.2,-2159.0,4223.0,,-3924.8,-6657.0,33198.1,,8750.0,-5010.3,-2194.5,-5822.2,-3973.9,-4868.5,-2765.0,,-7659.9,-1063.3,6410.1,-6667.1,-4912.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Maine,878,800.0,791.4,816.0,1132.0,,677.4,254.0,1129.3,,1906.0,943.9,1706.3,1289.1,917.4,625.7,967.0,,300.4,639.6,767.2,1419.1,971.0,-78.0,-86.6,-62.0,254.0,,-200.6,-624.0,251.3,,1028.0,65.9,828.3,411.1,39.4,-252.3,89.0,,-577.6,-238.4,-110.8,541.1,93.0,False,True,False,,False,False,False,,False,True,False,False,True,False,False,,False,False,False,False,False
Maryland,15383,16844.0,16658.5,15117.0,19418.0,,14755.3,733.0,19113.6,,15271.0,18408.3,14767.7,19207.3,18934.6,10492.2,15066.0,,8297.9,15095.6,19087.4,15350.0,14432.0,1461.0,1275.5,-266.0,4035.0,,-627.7,-14650.0,3730.6,,-112.0,3025.3,-615.3,3824.3,3551.6,-4890.8,-317.0,,-7085.1,-287.4,3704.4,-33.0,-951.0,True,True,False,,True,False,False,,True,False,True,False,False,False,True,,False,True,False,True,True
Massachusetts,15749,10564.0,16425.3,9255.0,14216.0,,2930.3,105.0,13301.3,,6968.0,10225.7,7369.9,9768.9,13461.8,8225.8,13915.6,,3365.0,9515.9,12484.9,22898.9,14757.0,-5185.0,676.3,-6494.0,-1533.0,,-12818.7,-15644.0,-2447.7,,-8781.0,-5523.3,-8379.1,-5980.1,-2287.2,-7523.2,-1833.4,,-12384.0,-6233.1,-3264.1,7149.9,-992.0,True,False,True,,False,False,True,,False,False,False,False,True,False,True,,False,False,True,False,True
Michigan,33018,20116.0,19642.7,19611.0,21999.0,,18416.1,7266.0,43658.7,,26130.0,22230.7,20695.3,25363.3,23841.5,8387.6,16275.6,,3913.6,14487.3,18082.0,12715.2,10374.0,-12902.0,-13375.3,-13407.0,-11019.0,,-14601.9,-25752.0,10640.7,,-6888.0,-10787.3,-12322.7,-7654.7,-9176.5,-24630.4,-16742.4,,-29104.4,-18530.7,-14936.0,-20302.8,-22644.0,False,False,True,,False,False,True,,True,True,True,True,True,False,False,,False,False,False,False,False
Minnesota,32369,20532.0,21454.5,20501.0,20200.0,,16279.5,3696.0,37100.6,,21369.0,20414.9,21640.7,14121.3,13204.4,22849.3,22220.0,,16811.5,19215.5,17596.0,56705.6,28870.0,-11837.0,-10914.5,-11868.0,-12169.0,,-16089.5,-28673.0,4731.6,,-11000.0,-11954.1,-10728.3,-18247.7,-19164.6,-9519.7,-10149.0,,-15557.5,-13153.5,-14773.0,24336.6,-3499.0,True,False,False,,False,False,True,,True,False,True,False,False,True,True,,False,False,False,False,True
Mississippi,16919,13868.0,13286.3,10315.0,8929.0,,10130.7,7380.0,16896.3,,14494.0,14675.8,12173.5,7923.1,8952.8,9762.3,11984.7,,5572.9,10023.9,15914.7,10587.9,8998.0,-3051.0,-3632.7,-6604.0,-7990.0,,-6788.3,-9539.0,-22.7,,-2425.0,-2243.2,-4745.5,-8995.9,-7966.2,-7156.7,-4934.3,,-11346.1,-6895.1,-1004.3,-6331.1,-7921.0,False,False,False,,False,False,True,,True,True,False,False,False,False,False,,False,False,True,False,False
Missouri,46679,42296.0,42489.7,36141.0,49286.0,,39610.3,30333.0,91334.4,,30636.0,40377.4,48350.3,24099.3,35274.1,28647.6,35649.6,,23716.6,31489.2,43859.0,37684.4,33635.0,-4383.0,-4189.3,-10538.0,2607.0,,-7068.7,-16346.0,44655.4,,-16043.0,-6301.6,1671.3,-22579.7,-11404.9,-18031.4,-11029.4,,-22962.4,-15189.8,-2820.0,-8994.6,-13044.0,True,False,True,,False,False,False,,False,False,True,False,False,False,False,,False,False,True,False,False
Montana,12062,4952.0,4777.3,4512.0,2030.0,,4081.8,2227.0,15597.9,,5444.0,3976.6,6251.7,2822.0,3699.2,4559.5,5371.5,,2615.1,3137.6,4324.6,10313.2,5486.0,-7110.0,-7284.7,-7550.0,-10032.0,,-7980.2,-9835.0,3535.9,,-6618.0,-8085.4,-5810.3,-9240.0,-8362.8,-7502.5,-6690.5,,-9446.9,-8924.4,-7737.4,-1748.8,-6576.0,False,False,False,,False,False,True,,True,False,True,False,False,False,True,,False,False,False,True,True
Nebraska,16535,10708.0,10697.7,9917.0,12449.0,,9794.3,1475.0,11425.0,,7180.0,13316.7,14006.0,5868.3,11419.0,7692.0,11791.6,,5041.2,9844.9,7458.3,11946.0,7844.0,-5827.0,-5837.3,-6618.0,-4086.0,,-6740.7,-15060.0,-5110.0,,-9355.0,-3218.3,-2529.0,-10666.7,-5116.0,-8843.0,-4743.4,,-11493.8,-6690.1,-9076.7,-4589.0,-8691.0,False,False,True,,False,False,True,,False,True,True,False,True,False,True,,False,False,False,True,False
Nevada,14233,8796.0,8681.2,7689.0,7740.0,,7618.9,5387.0,15438.6,,4982.0,7164.3,7781.3,4763.0,5748.0,6697.8,9128.2,,6659.6,7379.2,11165.7,8341.4,8813.0,-5437.0,-5551.8,-6544.0,-6493.0,,-6614.1,-8846.0,1205.6,,-9251.0,-7068.7,-6451.7,-9470.0,-8485.0,-7535.2,-5104.8,,-7573.4,-6853.8,-3067.3,-5891.6,-5420.0,False,False,False,,False,False,True,,False,False,False,False,False,False,True,,False,False,True,False,True
New Hampshire,1705,1072.0,1072.7,1065.0,2316.0,,1123.4,2.0,1163.1,,786.0,1037.0,1219.5,1392.8,2016.6,734.9,1122.5,,614.4,1008.5,1161.7,1807.1,1050.0,-633.0,-632.3,-640.0,611.0,,-581.6,-1703.0,-541.9,,-919.0,-668.0,-485.5,-312.2,311.6,-970.1,-582.5,,-1090.7,-696.5,-543.3,102.1,-655.0,True,False,True,,True,False,True,,False,False,True,True,True,False,True,,False,False,True,True,False
New Jersey,22580,11888.0,11927.6,13190.0,19690.0,,7682.8,74.0,22550.9,,10242.0,12949.9,8843.6,25500.7,12370.7,8511.5,15564.8,,19727.5,14642.2,11250.6,17763.2,14430.0,-10692.0,-10652.4,-9390.0,-2890.0,,-14897.2,-22506.0,-29.1,,-12338.0,-9630.1,-13736.4,2920.7,-10209.3,-14068.5,-7015.2,,-2852.5,-7937.8,-11329.4,-4816.8,-8150.0,True,True,True,,False,False,True,,False,True,False,True,True,False,True,,True,True,False,True,True
New Mexico,8831,3404.0,3321.3,3124.0,2453.0,,2779.8,1227.0,3324.3,,4959.0,3257.9,3672.0,4232.4,1462.0,2427.9,3566.2,,1430.3,2793.0,4457.6,3606.3,3319.0,-5427.0,-5509.7,-5707.0,-6378.0,,-6051.2,-7604.0,-5506.7,,-3872.0,-5573.1,-5159.0,-4598.6,-7369.0,-6403.1,-5264.8,,-7400.7,-6038.0,-4373.4,-5224.7,-5512.0,False,False,False,,False,False,False,,True,False,True,True,False,False,True,,False,False,True,True,False
New York,34552,21592.0,20701.5,20027.0,23354.0,,9098.0,26.0,59638.2,,10519.0,23582.8,18900.7,28686.2,19013.8,15172.2,23972.7,,24540.4,19327.7,23988.6,20072.8,23285.0,-12960.0,-13850.5,-14525.0,-11198.0,,-25454.0,-34526.0,25086.2,,-24033.0,-10969.2,-15651.3,-5865.8,-15538.2,-19379.8,-10579.3,,-10011.6,-15224.3,-10563.4,-14479.2,-11267.0,False,False,True,,False,False,False,,False,True,False,True,False,False,True,,True,False,True,False,True
North Carolina,45459,34036.0,34971.7,32865.0,29342.0,,29470.4,45503.0,54899.7,,35438.0,35429.7,38488.8,32055.1,28795.2,25761.0,31058.2,,22239.0,28022.4,36991.4,36165.8,26843.0,-11423.0,-10487.3,-12594.0,-16117.0,,-15988.6,44.0,9440.7,,-10021.0,-10029.3,-6970.2,-13403.9,-16663.8,-19698.0,-14400.8,,-23220.0,-17436.6,-8467.6,-9293.2,-18616.0,True,False,False,,False,True,True,,True,True,True,False,False,False,False,,False,False,True,True,False
North Dakota,13654,9824.0,9922.6,9026.0,5471.0,,9309.7,23.0,15483.4,,9166.0,8772.1,10618.9,2740.9,15201.1,8306.0,8874.7,,6603.0,6575.6,13484.7,10482.3,6588.0,-3830.0,-3731.4,-4628.0,-8183.0,,-4344.3,-13631.0,1829.4,,-4488.0,-4881.9,-3035.1,-10913.1,1547.1,-5348.0,-4779.3,,-7051.0,-7078.4,-169.3,-3171.7,-7066.0,True,False,False,,False,False,True,,False,False,True,False,True,False,False,,False,False,True,True,False
Ohio,36678,27916.0,29270.3,24789.0,25647.0,,26273.9,23025.0,48353.6,,22259.0,28606.5,33281.5,29137.4,25222.3,17285.1,24515.3,,13738.0,21839.5,26522.8,22617.2,23536.0,-8762.0,-7407.7,-11889.0,-11031.0,,-10404.1,-13653.0,11675.6,,-14419.0,-8071.5,-3396.5,-7540.6,-11455.7,-19392.9,-12162.7,,-22940.0,-14838.5,-10155.2,-14060.8,-13142.0,True,False,False,,False,False,False,,False,True,True,True,False,False,False,,False,False,False,False,False
Oklahoma,30664,28580.0,28483.8,27782.0,30253.0,,23804.1,19547.0,61231.4,,22208.0,33080.7,38193.0,16835.8,27986.4,22704.0,30459.7,,22593.3,17504.1,21618.2,36364.3,24209.0,-2084.0,-2180.2,-2882.0,-411.0,,-6859.9,-11117.0,30567.4,,-8456.0,2416.7,7529.0,-13828.2,-2677.6,-7960.0,-204.3,,-8070.7,-13159.9,-9045.8,5700.3,-6455.0,False,False,True,,False,False,False,,False,False,False,False,False,False,True,,False,False,False,False,False
Oregon,8716,4744.0,4718.0,4985.0,3707.0,,5665.8,3846.0,8329.3,,4934.0,5508.0,7601.7,8495.5,4424.1,4948.1,6006.0,,3779.0,3187.5,5557.1,9443.7,6042.0,-3972.0,-3998.0,-3731.0,-5009.0,,-3050.2,-4870.0,-386.7,,-3782.0,-3208.0,-1114.3,-220.5,-4291.9,-3767.9,-2710.0,,-4937.0,-5528.5,-3158.9,727.7,-2674.0,False,True,False,,True,False,True,,True,True,True,True,False,True,True,,False,False,True,True,True
Pennsylvania,31432,22404.0,22798.1,22152.0,46410.0,,22774.2,2008.0,36228.4,,19977.0,25118.6,24675.0,26060.5,18973.0,13513.5,23160.7,,11869.2,17723.5,22018.1,20592.3,21075.0,-9028.0,-8633.9,-9280.0,14978.0,,-8657.8,-29424.0,4796.4,,-11455.0,-6313.4,-6757.0,-5371.5,-12459.0,-17918.5,-8271.3,,-19562.8,-13708.5,-9413.9,-10839.7,-10357.0,True,False,False,,True,False,True,,False,True,True,True,False,False,True,,False,False,False,False,False
Rhode Island,4201,2860.0,2970.6,2361.0,1483.0,,2685.4,0.0,3042.3,,4530.0,3425.5,2403.9,3545.8,3677.2,1250.3,2568.4,,480.2,2713.4,3380.9,1515.6,2006.0,-1341.0,-1230.4,-1840.0,-2718.0,,-1515.6,-4201.0,-1158.7,,329.0,-775.5,-1797.1,-655.2,-523.8,-2950.7,-1632.6,,-3720.8,-1487.6,-820.1,-2685.4,-2195.0,True,False,False,,False,False,True,,True,True,False,True,True,False,False,,False,False,True,False,False
South Carolina,25974,29048.0,29014.3,23209.0,28304.0,,25341.9,10003.0,46523.0,,24165.0,24912.1,28707.2,7220.5,31658.2,14238.9,20418.1,,5662.7,20115.0,28651.7,17197.0,20512.0,3074.0,3040.3,-2765.0,2330.0,,-632.1,-15971.0,20549.0,,-1809.0,-1061.9,2733.2,-18753.5,5684.2,-11735.1,-5555.9,,-20311.3,-5859.0,2677.7,-8777.0,-5462.0,True,True,True,,True,False,False,,True,True,True,False,False,False,False,,False,False,True,False,False
South Dakota,14167,8028.0,8339.1,6978.0,6012.0,,6646.0,116.0,6062.7,,8248.0,9106.9,9260.0,1368.9,11491.8,7155.6,7261.1,,5403.2,6475.9,5298.8,11959.4,6129.0,-6139.0,-5827.9,-7189.0,-8155.0,,-7521.0,-14051.0,-8104.3,,-5919.0,-5060.1,-4907.0,-12798.1,-2675.2,-7011.4,-6905.9,,-8763.8,-7691.1,-8868.2,-2207.6,-8038.0,True,False,False,,False,False,False,,True,True,True,False,True,False,False,,False,False,False,True,False
Tennessee,44700,42192.0,41678.5,37117.0,42676.0,,34238.6,21539.0,111358.4,,36605.0,24996.8,58180.3,22290.8,22867.4,35927.6,41738.9,,29873.0,26585.9,37742.6,40273.3,36366.0,-2508.0,-3021.5,-7583.0,-2024.0,,-10461.4,-23161.0,66658.4,,-8095.0,-19703.2,13480.3,-22409.2,-21832.6,-8772.4,-2961.1,,-14827.0,-18114.1,-6957.4,-4426.7,-8334.0,False,False,True,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False
Texas,144633,121260.0,123566.6,115461.0,169533.0,,79028.5,58402.0,217713.8,,129594.0,85324.2,132757.1,58465.2,78577.2,84530.2,117848.6,,36332.2,98538.9,126704.9,122178.4,118085.0,-23373.0,-21066.4,-29172.0,24900.0,,-65604.5,-86231.0,73080.8,,-15039.0,-59308.8,-11875.9,-86167.8,-66055.8,-60102.8,-26784.4,,-108300.8,-46094.1,-17928.1,-22454.6,-26548.0,True,False,False,,False,False,False,,True,False,True,False,False,False,False,,False,False,True,True,False
Utah,30445,22420.0,22233.3,21228.0,41077.0,,19679.5,6056.0,44805.3,,15891.0,20897.3,19287.6,6259.2,24811.1,20460.0,27394.8,,23246.5,13415.7,18910.4,53291.2,25111.0,-8025.0,-8211.7,-9217.0,10632.0,,-10765.5,-24389.0,14360.3,,-14554.0,-9547.7,-11157.4,-24185.8,-5633.9,-9985.0,-3050.2,,-7198.5,-17029.3,-11534.6,22846.2,-5334.0,False,False,False,,False,False,False,,False,False,False,False,True,False,True,,True,False,False,False,True
Vermont,216,132.0,136.3,138.0,274.0,,233.0,59.0,166.8,,140.0,86.1,743.5,494.6,146.3,41.9,111.7,,142.5,187.6,202.2,100.1,109.0,-84.0,-79.7,-78.0,58.0,,17.0,-157.0,-49.2,,-76.0,-129.9,527.5,278.6,-69.7,-174.1,-104.3,,-73.5,-28.4,-13.8,-115.9,-107.0,True,True,True,,True,False,True,,True,False,False,False,True,False,False,,True,True,True,False,False
Virginia,25583,26712.0,26788.7,24605.0,32442.0,,25535.0,4665.0,34156.9,,18637.0,26957.1,38769.6,21491.3,25229.7,18611.8,24664.1,,17989.9,20807.1,24835.8,23168.3,849.0,1129.0,1205.7,-978.0,6859.0,,-48.0,-20918.0,8573.9,,-6946.0,1374.1,13186.6,-4091.7,-353.3,-6971.2,-918.9,,-7593.1,-4775.9,-747.2,-2414.7,-24734.0,False,True,False,,True,False,False,,False,False,False,False,True,False,True,,False,False,True,False,False
