,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01031,172,208.0,132.9,,155.0,217.0,,,,,154.1,,93.0,,131.6,141.1,,160.7,142.6,247.0,71.0,,197.1,,170.4,,,239.0,161.9,36.0,-39.1,,-17.0,45.0,,,,,-17.9,,-79.0,,-40.4,-30.9,,-11.3,-29.4,75.0,-101.0,,25.1,,-1.6,,,67.0,-10.1,False,,True,False,,,,,True,,False,,False,True,,True,True,False,False,,True,,True,,,False,True
01033,163,152.0,162.2,,133.0,175.0,,,,,127.2,,189.0,,109.1,69.0,,94.8,133.6,154.0,206.0,,96.3,,157.6,,,142.0,91.4,-11.0,-0.8,,-30.0,12.0,,,,,-35.8,,26.0,,-53.9,-94.0,,-68.2,-29.4,-9.0,43.0,,-66.7,,-5.4,,,-21.0,-71.6,True,,False,False,,,,,False,,False,,False,False,,False,False,True,False,,False,,True,,,False,False
01035,17,10.0,27.6,,8.0,0.0,,,,,48.3,,18.0,,7.5,10.3,,0.3,8.3,12.0,1.0,,1.8,,9.1,,,3.0,37.0,-7.0,10.6,,-9.0,-17.0,,,,,31.3,,1.0,,-9.5,-6.7,,-16.7,-8.7,-5.0,-16.0,,-15.2,,-7.9,,,-14.0,20.0,False,,False,False,,,,,False,,True,,False,True,,False,False,True,False,,False,,False,,,False,False
01037,18,16.0,22.9,,10.0,1.0,,,,,40.8,,11.0,,10.5,10.0,,4.4,11.0,7.0,11.0,,12.1,,16.3,,,9.0,11.6,-2.0,4.9,,-8.0,-17.0,,,,,22.8,,-7.0,,-7.5,-8.0,,-13.6,-7.0,-11.0,-7.0,,-5.9,,-1.7,,,-9.0,-6.4,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,True,,,False,False
01039,173,152.0,151.5,,99.0,124.0,,,,,113.7,,90.0,,107.4,73.9,,95.7,90.9,150.0,24.0,,23.1,,101.7,,,69.0,138.7,-21.0,-21.5,,-74.0,-49.0,,,,,-59.3,,-83.0,,-65.6,-99.1,,-77.3,-82.1,-23.0,-149.0,,-149.9,,-71.3,,,-104.0,-34.3,False,,False,False,,,,,False,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
01041,41,18.0,18.1,,17.0,6.0,,,,,51.9,,24.0,,15.3,21.9,,2.9,15.4,14.0,3.0,,22.1,,27.8,,,6.0,47.9,-23.0,-22.9,,-24.0,-35.0,,,,,10.9,,-17.0,,-25.7,-19.1,,-38.1,-25.6,-27.0,-38.0,,-18.9,,-13.2,,,-35.0,6.9,True,,False,False,,,,,True,,True,,False,True,,False,False,False,False,,True,,True,,,False,True
01043,288,94.0,102.2,,86.0,86.0,,,,,212.2,,242.0,,67.6,81.3,,53.4,93.1,72.0,54.0,,61.4,,81.6,,,38.0,186.5,-194.0,-185.8,,-202.0,-202.0,,,,,-75.8,,-46.0,,-220.4,-206.7,,-234.6,-194.9,-216.0,-234.0,,-226.7,,-206.4,,,-250.0,-101.5,True,,False,False,,,,,True,,True,,False,False,,False,False,False,False,,False,,False,,,False,True
01045,116,236.0,198.0,,138.0,184.0,,,,,127.1,,79.0,,109.6,102.2,,177.5,110.6,280.0,245.0,,30.5,,200.6,,,325.0,134.8,120.0,82.0,,22.0,68.0,,,,,11.1,,-37.0,,-6.4,-13.8,,61.5,-5.4,164.0,129.0,,-85.5,,84.6,,,209.0,18.8,True,,True,True,,,,,True,,True,,True,True,,True,True,False,False,,True,,True,,,False,True
01047,43,32.0,129.4,,31.0,41.0,,,,,158.3,,83.0,,27.2,25.0,,8.1,32.5,,0.0,,24.6,,24.9,,,14.0,142.1,-11.0,86.4,,-12.0,-2.0,,,,,115.3,,40.0,,-15.8,-18.0,,-34.9,-10.5,,-43.0,,-18.4,,-18.1,,,-29.0,99.1,False,,False,True,,,,,False,,False,,False,False,,False,True,,False,,False,,False,,,False,False
01049,525,290.0,273.7,,284.0,422.0,,,,,214.1,,209.0,,184.5,98.3,,387.7,317.5,356.0,383.0,,1711.0,,268.8,,,299.0,157.2,-235.0,-251.3,,-241.0,-103.0,,,,,-310.9,,-316.0,,-340.5,-426.7,,-137.3,-207.5,-169.0,-142.0,,1186.0,,-256.2,,,-226.0,-367.8,False,,False,True,,,,,False,,False,,False,False,,True,True,True,True,,False,,False,,,True,False
01051,261,300.0,281.8,,228.0,363.0,,,,,198.3,,121.0,,253.6,99.4,,195.8,215.0,291.0,199.0,,89.8,,255.8,,,195.0,209.0,39.0,20.8,,-33.0,102.0,,,,,-62.7,,-140.0,,-7.4,-161.6,,-65.2,-46.0,30.0,-62.0,,-171.2,,-5.2,,,-66.0,-52.0,True,,True,False,,,,,False,,False,,True,False,,False,False,True,False,,False,,True,,,False,False
01053,61,84.0,88.2,,60.0,2.0,,,,,120.8,,112.0,,53.6,51.0,,37.6,50.6,92.0,4.0,,66.3,,55.2,,,35.0,139.3,23.0,27.2,,-1.0,-59.0,,,,,59.8,,51.0,,-7.4,-10.0,,-23.4,-10.4,31.0,-57.0,,5.3,,-5.8,,,-26.0,78.3,False,,True,False,,,,,False,,False,,True,True,,False,True,False,False,,True,,True,,,False,False
01055,329,358.0,356.8,,290.0,423.0,,,,,283.3,,286.0,,324.3,238.8,,272.5,248.0,318.0,572.0,,219.7,,281.7,,,349.0,324.9,29.0,27.8,,-39.0,94.0,,,,,-45.7,,-43.0,,-4.7,-90.2,,-56.5,-81.0,-11.0,243.0,,-109.3,,-47.3,,,20.0,-4.1,True,,False,False,,,,,False,,False,,True,False,,False,False,True,False,,False,,False,,,True,True
01057,54,38.0,27.4,,37.0,44.0,,,,,50.6,,40.0,,38.0,27.6,,28.0,46.7,28.0,10.0,,32.7,,36.8,,,28.0,48.3,-16.0,-26.6,,-17.0,-10.0,,,,,-3.4,,-14.0,,-16.0,-26.4,,-26.0,-7.3,-26.0,-44.0,,-21.3,,-17.2,,,-26.0,-5.7,False,,False,True,,,,,True,,True,,False,False,,False,True,False,False,,False,,False,,,False,True
01059,142,130.0,142.9,,91.0,85.0,,,,,157.1,,132.0,,89.6,52.9,,66.7,95.9,145.0,121.0,,83.1,,112.5,,,133.0,70.3,-12.0,0.9,,-51.0,-57.0,,,,,15.1,,-10.0,,-52.4,-89.1,,-75.3,-46.1,3.0,-21.0,,-58.9,,-29.5,,,-9.0,-71.7,True,,False,False,,,,,False,,True,,False,False,,False,False,True,False,,False,,False,,,True,False
01061,98,210.0,190.7,,106.0,291.0,,,,,71.6,,49.0,,106.9,84.3,,123.4,99.5,244.0,81.0,,33.0,,163.3,,,226.0,71.6,112.0,92.7,,8.0,193.0,,,,,-26.4,,-49.0,,8.9,-13.7,,25.4,1.5,146.0,-17.0,,-65.0,,65.3,,,128.0,-26.4,True,,True,False,,,,,True,,True,,True,True,,True,True,False,True,,True,,True,,,False,True
01063,25,8.0,12.3,,7.0,0.0,,,,,44.9,,12.0,,9.9,7.2,,1.7,5.5,6.0,18.0,,12.3,,7.1,,,3.0,6.4,-17.0,-12.7,,-18.0,-25.0,,,,,19.9,,-13.0,,-15.1,-17.9,,-23.3,-19.5,-19.0,-7.0,,-12.7,,-17.9,,,-22.0,-18.6,True,,False,False,,,,,False,,True,,True,False,,False,False,False,True,,True,,False,,,False,False
01065,68,60.0,71.1,,34.0,14.0,,,,,61.4,,41.0,,50.8,18.9,,11.1,33.7,43.0,44.0,,26.2,,51.5,,,37.0,24.8,-8.0,3.1,,-34.0,-54.0,,,,,-6.6,,-27.0,,-17.2,-49.1,,-56.9,-34.3,-25.0,-24.0,,-41.8,,-16.5,,,-31.0,-43.2,True,,False,False,,,,,True,,False,,False,False,,False,False,False,False,,False,,False,,,False,False
01067,63,104.0,119.5,,63.0,50.0,,,,,51.2,,21.0,,49.1,40.4,,78.7,76.2,126.0,30.0,,50.4,,92.7,,,108.0,154.9,41.0,56.5,,0.0,-13.0,,,,,-11.8,,-42.0,,-13.9,-22.6,,15.7,13.2,63.0,-33.0,,-12.6,,29.7,,,45.0,91.9,False,,True,True,,,,,True,,False,,True,True,,True,True,False,True,,True,,True,,,False,False
01069,288,856.0,680.2,,503.0,1433.0,,,,,279.0,,181.0,,226.2,329.8,,682.4,327.7,1067.0,463.0,,142.1,,740.5,,,1093.0,637.4,568.0,392.2,,215.0,1145.0,,,,,-9.0,,-107.0,,-61.8,41.8,,394.4,39.7,779.0,175.0,,-145.9,,452.5,,,805.0,349.4,True,,True,False,,,,,True,,True,,True,True,,True,True,False,True,,True,,True,,,False,True
01071,296,190.0,190.0,,179.0,189.0,,,,,131.1,,174.0,,166.4,81.0,,195.9,203.0,233.0,322.0,,83.4,,144.9,,,179.0,149.2,-106.0,-106.0,,-117.0,-107.0,,,,,-164.9,,-122.0,,-129.6,-215.0,,-100.1,-93.0,-63.0,26.0,,-212.6,,-151.1,,,-117.0,-146.8,False,,False,False,,,,,False,,False,,False,False,,True,True,True,True,,False,,False,,,False,False
01073,1672,1816.0,1519.6,1657.5,1524.0,1320.0,,,,,1349.4,,1367.0,,1602.6,1113.1,,1684.0,1353.4,1572.0,1673.0,,1630.2,,1478.4,1058.0,,1602.0,1368.7,144.0,-152.4,-14.5,-148.0,-352.0,,,,,-322.6,,-305.0,,-69.4,-558.9,,12.0,-318.6,-100.0,1.0,,-41.8,,-193.6,-614.0,,-70.0,-303.3,False,True,False,False,,,,,False,,False,,True,False,,True,False,True,True,,True,,False,False,,True,False
01075,56,60.0,63.4,,44.0,16.0,,,,,59.2,,37.0,,52.5,18.5,,22.2,48.7,43.0,108.0,,19.5,,52.3,,,40.0,49.5,4.0,7.4,,-12.0,-40.0,,,,,3.2,,-19.0,,-3.5,-37.5,,-33.8,-7.3,-13.0,52.0,,-36.5,,-3.7,,,-16.0,-6.5,False,,False,False,,,,,True,,False,,True,False,,False,False,False,False,,False,,True,,,False,False
01077,237,188.0,188.0,,160.0,326.0,,,,,103.6,,288.0,,158.0,98.4,,118.3,151.5,207.0,182.0,,154.1,,175.3,,,175.0,118.9,-49.0,-49.0,,-77.0,89.0,,,,,-133.4,,51.0,,-79.0,-138.6,,-118.7,-85.5,-30.0,-55.0,,-82.9,,-61.7,,,-62.0,-118.1,False,,False,False,,,,,False,,False,,False,False,,False,False,True,False,,False,,False,,,False,False
01079,136,64.0,59.8,,55.0,61.0,,,,,91.7,,88.0,,60.2,36.8,,23.9,47.9,56.0,21.0,,22.3,,54.1,,,42.0,54.0,-72.0,-76.2,,-81.0,-75.0,,,,,-44.3,,-48.0,,-75.8,-99.2,,-112.1,-88.1,-80.0,-115.0,,-113.7,,-81.9,,,-94.0,-82.0,False,,False,False,,,,,True,,True,,False,False,,False,False,False,False,,False,,False,,,False,False
01081,314,440.0,751.5,,369.0,943.0,,,,,461.7,,291.0,,343.4,355.0,,348.3,378.4,296.0,19.0,,355.1,,360.1,193.0,,125.0,,126.0,437.5,,55.0,629.0,,,,,147.7,,-23.0,,29.4,41.0,,34.3,64.4,-18.0,-295.0,,41.1,,46.1,-121.0,,-189.0,,False,,True,False,,,,,False,,True,,True,True,,True,True,True,False,,True,,True,True,,False,
01083,395,256.0,256.3,,246.0,256.0,,,,,261.6,,258.0,,217.1,111.6,,252.3,268.1,286.0,144.0,,77.7,,177.2,,,204.0,166.0,-139.0,-138.7,,-149.0,-139.0,,,,,-133.4,,-137.0,,-177.9,-283.4,,-142.7,-126.9,-109.0,-251.0,,-317.3,,-217.8,,,-191.0,-229.0,True,,False,False,,,,,True,,True,,False,False,,False,True,True,False,,False,,False,,,False,False
01085,36,18.0,10.6,,11.0,0.0,,,,,66.0,,12.0,,11.7,6.4,,1.3,9.6,14.0,21.0,,4.2,,18.6,,,0.0,20.4,-18.0,-25.4,,-25.0,-36.0,,,,,30.0,,-24.0,,-24.3,-29.6,,-34.7,-26.4,-22.0,-15.0,,-31.8,,-17.4,,,-36.0,-15.6,False,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,False,,True,,,False,True
01087,36,22.0,0.0,,14.0,13.0,,,,,63.4,,16.0,,15.0,15.0,,4.2,14.6,14.0,27.0,,1.5,,22.9,,,7.0,31.7,-14.0,-36.0,,-22.0,-23.0,,,,,27.4,,-20.0,,-21.0,-21.0,,-31.8,-21.4,-22.0,-9.0,,-34.5,,-13.1,,,-29.0,-4.3,False,,False,False,,,,,False,,False,,False,False,,False,False,False,True,,False,,True,,,False,True
01089,791,602.0,476.2,584.4,543.0,503.0,,,,,588.6,,650.0,,518.0,626.6,,572.2,570.3,548.0,495.0,,534.5,,408.7,380.0,,400.0,612.6,-189.0,-314.8,-206.6,-248.0,-288.0,,,,,-202.4,,-141.0,,-273.0,-164.4,,-218.8,-220.7,-243.0,-296.0,,-256.5,,-382.3,-411.0,,-391.0,-178.4,False,False,False,False,,,,,False,,True,,False,True,,False,False,False,False,,False,,False,False,,False,True
01091,224,42.0,40.8,,30.0,3.0,,,,,77.5,,58.0,,29.4,19.4,,16.2,34.0,20.0,3.0,,21.1,,33.2,,,34.0,28.6,-182.0,-183.2,,-194.0,-221.0,,,,,-146.5,,-166.0,,-194.6,-204.6,,-207.8,-190.0,-204.0,-221.0,,-202.9,,-190.8,,,-190.0,-195.4,False,,False,False,,,,,True,,True,,False,False,,False,False,False,False,,False,,False,,,False,False
01093,53,56.0,78.4,,50.0,54.0,,,,,82.9,,75.0,,47.9,51.1,,31.6,48.2,36.0,110.0,,49.7,,43.7,,,24.0,106.4,3.0,25.4,,-3.0,1.0,,,,,29.9,,22.0,,-5.1,-1.9,,-21.4,-4.8,-17.0,57.0,,-3.3,,-9.3,,,-29.0,53.4,False,,False,True,,,,,False,,False,,False,True,,False,False,False,False,,False,,False,,,False,False
01095,224,164.0,96.3,,125.0,271.0,,,,,367.2,,269.0,,120.4,146.5,,88.3,115.0,155.0,42.0,,59.3,,131.1,,,93.0,163.0,-60.0,-127.7,,-99.0,47.0,,,,,143.2,,45.0,,-103.6,-77.5,,-135.7,-109.0,-69.0,-182.0,,-164.7,,-92.9,,,-131.0,-61.0,False,,False,True,,,,,False,,True,,False,False,,False,False,False,False,,False,,False,,,False,False
01097,561,638.0,632.5,525.7,590.0,725.0,,,,,753.7,,959.0,,521.0,434.7,,521.3,536.5,560.0,685.0,,574.4,,642.9,424.0,,563.0,566.3,77.0,71.5,-35.3,29.0,164.0,,,,,192.7,,398.0,,-40.0,-126.3,,-39.7,-24.5,-1.0,124.0,,13.4,,81.9,-137.0,,2.0,5.3,True,True,True,False,,,,,False,,False,,True,False,,True,True,True,False,,True,,False,False,,True,True
01099,29,12.0,39.2,,12.0,0.0,,,,,64.2,,40.0,,12.7,12.9,,4.1,14.9,14.0,3.0,,11.6,,10.7,,,5.0,28.2,-17.0,10.2,,-17.0,-29.0,,,,,35.2,,11.0,,-16.4,-16.1,,-24.9,-14.1,-15.0,-26.0,,-17.4,,-18.3,,,-24.0,-0.8,True,,False,False,,,,,False,,True,,True,True,,False,True,True,False,,False,,False,,,False,True
01101,631,308.0,255.7,307.1,265.0,251.0,,,,,397.9,,403.0,,243.2,227.0,,221.5,270.8,259.0,330.0,,161.4,,305.4,187.0,,197.0,,-323.0,-375.3,-323.9,-366.0,-380.0,,,,,-233.1,,-228.0,,-387.8,-404.0,,-409.5,-360.2,-372.0,-301.0,,-469.6,,-325.6,-444.0,,-434.0,,False,False,False,False,,,,,True,,True,,False,False,,False,False,False,True,,False,,False,False,,False,
01103,477,256.0,308.0,,264.0,288.0,,,,,300.1,,308.0,,196.9,102.5,,251.3,286.5,254.0,305.0,,408.8,,220.9,,,223.0,236.2,-221.0,-169.0,,-213.0,-189.0,,,,,-176.9,,-169.0,,-280.1,-374.5,,-225.7,-190.5,-223.0,-172.0,,-68.2,,-256.1,,,-254.0,-240.8,True,,True,True,,,,,True,,True,,False,False,,False,True,False,True,,True,,False,,,False,False
01105,37,4.0,11.8,,4.0,0.0,,,,,60.5,,11.0,,4.2,5.6,,1.3,5.3,,0.0,,3.9,,4.8,,,1.0,33.7,-33.0,-25.2,,-33.0,-37.0,,,,,23.5,,-26.0,,-32.8,-31.4,,-35.7,-31.7,,-37.0,,-33.1,,-32.2,,,-36.0,-3.3,True,,False,False,,,,,True,,True,,True,True,,False,True,,False,,False,,True,,,False,True
01107,113,34.0,8.6,,31.0,30.0,,,,,75.5,,50.0,,30.5,28.2,,18.9,37.4,17.0,6.0,,29.0,,32.0,,,23.0,47.4,-79.0,-104.4,,-82.0,-83.0,,,,,-37.5,,-63.0,,-82.5,-84.8,,-94.1,-75.6,-96.0,-107.0,,-84.0,,-81.0,,,-90.0,-65.6,False,,False,False,,,,,True,,True,,False,False,,False,True,False,False,,False,,False,,,False,True
