,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01025,325,40.0,43.7,,36.0,22.0,,,,,,,,132.0,,181.1,84.5,,2.6,34.6,,,6.0,,18.8,,,,,,,37.9,293.6,-285.0,-281.3,,-289.0,-303.0,,,,,,,,-193.0,,-143.9,-240.5,,-322.4,-290.4,,,-319.0,,-306.2,,,,,,,-287.1,-31.4,True,,False,False,,,,,,,,True,,True,True,,False,False,,,False,,False,,,,,,,False,True
01027,277,145.0,93.6,,77.0,71.0,,,,,,,,37.0,,319.8,68.7,,90.5,117.1,,166.0,15.0,,61.2,,,,,,,66.7,301.2,-132.0,-183.4,,-200.0,-206.0,,,,,,,,-240.0,,42.8,-208.3,,-186.5,-159.9,,-111.0,-262.0,,-215.8,,,,,,,-210.3,24.2,False,,False,False,,,,,,,,False,,True,False,,False,False,,True,False,,False,,,,,,,False,True
01029,246,185.0,123.8,,129.0,241.0,,,,,,,,53.0,,462.5,63.1,,159.8,145.2,,190.0,77.0,,123.7,,,,,,,55.1,1290.8,-61.0,-122.2,,-117.0,-5.0,,,,,,,,-193.0,,216.5,-182.9,,-86.2,-100.8,,-56.0,-169.0,,-122.3,,,,,,,-190.9,1044.8,False,,False,True,,,,,,,,False,,False,False,,False,False,,True,False,,False,,,,,,,False,False
01031,577,340.0,320.8,,215.0,1054.0,,,,,,,,268.0,,338.3,228.1,,242.2,174.7,,212.0,99.0,,34.4,,,,,,,91.3,469.7,-237.0,-256.2,,-362.0,477.0,,,,,,,,-309.0,,-238.7,-348.9,,-334.8,-402.3,,-365.0,-478.0,,-542.6,,,,,,,-485.7,-107.3,False,,False,False,,,,,,,,False,,False,False,,False,False,,False,False,,False,,,,,,,False,True
01033,376,165.0,143.5,,141.0,389.0,,,,,,,,253.0,,315.5,164.3,,71.0,136.6,,60.0,57.0,,11.8,,216.8,,,,,85.4,295.0,-211.0,-232.5,,-235.0,13.0,,,,,,,,-123.0,,-60.5,-211.7,,-305.0,-239.4,,-316.0,-319.0,,-364.2,,-159.2,,,,,-290.6,-81.0,False,,False,True,,,,,,,,True,,True,False,,False,False,,False,False,,False,,True,,,,,False,True
01035,112,45.0,42.6,,25.0,0.0,,,,,,,,42.0,,38.7,37.6,,5.5,27.1,0.0,,45.0,,9.1,,,,,,,14.6,125.2,-67.0,-69.4,,-87.0,-112.0,,,,,,,,-70.0,,-73.3,-74.4,,-106.5,-84.9,-112.0,,-67.0,,-102.9,,,,,,,-97.4,13.2,False,,False,False,,,,,,,,False,,False,False,,False,False,False,,False,,False,,,,,,,False,True
01037,82,25.0,23.3,,17.0,0.0,,,,,,,,41.0,,19.4,32.3,,9.1,20.1,8.9,,31.0,,97.9,,,,,,,7.3,327.5,-57.0,-58.7,,-65.0,-82.0,,,,,,,,-41.0,,-62.6,-49.7,,-72.9,-61.9,-73.1,,-51.0,,15.9,,,,,,,-74.7,245.5,False,,False,False,,,,,,,,True,,False,True,,False,False,False,,True,,True,,,,,,,False,False
01039,805,115.0,108.4,,87.0,35.0,,,,,,,,129.0,,232.2,172.8,,50.5,83.2,38.3,,110.0,,55.7,,,,,,,16.0,937.7,-690.0,-696.6,,-718.0,-770.0,,,,,,,,-676.0,,-572.8,-632.2,,-754.5,-721.8,-766.7,,-695.0,,-749.3,,,,,,,-789.0,132.7,False,,False,False,,,,,,,,True,,True,True,,False,False,False,,False,,False,,,,,,,False,True
01041,169,90.0,72.1,,41.0,0.0,,,,,,,,87.0,,195.0,61.4,,27.8,47.6,0.0,,40.0,,1.5,,,,,,,26.2,477.6,-79.0,-96.9,,-128.0,-169.0,,,,,,,,-82.0,,26.0,-107.6,,-141.2,-121.4,-169.0,,-129.0,,-167.5,,,,,,,-142.8,308.6,False,,False,False,,,,,,,,False,,True,False,,False,False,False,,False,,False,,,,,,,False,False
01043,706,260.0,143.7,,184.0,415.0,,,,,,,,391.0,,384.1,325.2,,74.0,208.7,139.2,166.0,134.0,,6.5,,222.1,,,,,161.4,679.0,-446.0,-562.3,,-522.0,-291.0,,,,,,,,-315.0,,-321.9,-380.8,,-632.0,-497.3,-566.8,-540.0,-572.0,,-699.5,,-483.9,,,,,-544.6,-27.0,False,,False,True,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,False,,,,,False,True
01045,517,315.0,316.9,,161.0,1763.0,,,,,,,,209.0,,322.9,187.2,,188.6,150.7,140.5,205.0,147.0,,40.6,,198.9,,,,,59.7,772.5,-202.0,-200.1,,-356.0,1246.0,,,,,,,,-308.0,,-194.1,-329.8,,-328.4,-366.3,-376.5,-312.0,-370.0,,-476.4,,-318.1,,,,,-457.3,255.5,True,,False,False,,,,,,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,False
01047,375,170.0,134.9,,102.0,99.0,,,,,,,,126.0,,288.6,92.6,,42.9,98.7,1.2,137.0,102.0,,93.9,,141.8,,,,,70.3,502.3,-205.0,-240.1,,-273.0,-276.0,,,,,,,,-249.0,,-86.4,-282.4,,-332.1,-276.3,-373.8,-238.0,-273.0,,-281.1,,-233.2,,,,,-304.7,127.3,False,,False,False,,,,,,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,True
01049,953,190.0,146.1,,149.0,112.0,,,,,,,,321.0,,370.0,207.1,,149.3,195.2,72.2,127.0,89.0,,99.2,,227.9,,,,,99.4,817.9,-763.0,-806.9,,-804.0,-841.0,,,,,,,,-632.0,,-583.0,-745.9,,-803.7,-757.8,-880.8,-826.0,-864.0,,-853.8,,-725.1,,,,,-853.6,-135.1,False,,False,False,,,,,,,,True,,True,True,,False,True,False,False,False,,False,,True,,,,,False,True
01051,888,465.0,378.6,,321.0,1274.0,,,,,,,,271.0,,577.4,197.8,,290.3,342.0,149.0,357.0,169.0,,306.6,,384.8,,,,,237.6,664.8,-423.0,-509.4,,-567.0,386.0,,,,,,,,-617.0,,-310.6,-690.2,,-597.7,-546.0,-739.0,-531.0,-719.0,,-581.4,,-503.2,,,,,-650.4,-223.2,False,,False,True,,,,,,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,True
01053,417,215.0,172.9,,110.0,50.0,,,,,,,,196.0,,323.5,161.5,,81.1,167.9,0.5,169.0,47.0,,60.2,,122.4,,,,,101.4,2451.1,-202.0,-244.1,,-307.0,-367.0,,,,,,,,-221.0,,-93.5,-255.5,,-335.9,-249.1,-416.5,-248.0,-370.0,,-356.8,,-294.6,,,,,-315.6,2034.1,False,,False,False,,,,,,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,False
01055,1096,540.0,380.4,,378.0,2879.0,,,,,,,,442.0,,633.5,571.7,,440.9,449.8,258.6,356.0,256.0,,282.2,,392.3,,,,,263.1,2191.2,-556.0,-715.6,,-718.0,1783.0,,,,,,,,-654.0,,-462.5,-524.3,,-655.1,-646.2,-837.4,-740.0,-840.0,,-813.8,,-703.7,,,,,-832.9,1095.2,False,,False,False,,,,,,,,False,,True,True,,False,False,False,False,False,,False,,False,,,,,False,False
01057,195,150.0,125.1,,101.0,60.0,,,,,,,,55.0,,279.4,106.8,,168.4,123.3,66.9,212.0,61.0,,103.0,,,,,,,51.1,703.8,-45.0,-69.9,,-94.0,-135.0,,,,,,,,-140.0,,84.4,-88.2,,-26.6,-71.7,-128.1,17.0,-134.0,,-92.0,,,,,,,-143.9,508.8,False,,False,False,,,,,,,,False,,False,False,,True,False,False,True,False,,False,,,,,,,False,False
01059,332,250.0,198.4,,172.0,223.0,,,,,,,,221.0,,320.5,91.3,,169.8,226.4,14.6,176.0,70.0,,111.8,,174.6,,,,,138.8,361.4,-82.0,-133.6,,-160.0,-109.0,,,,,,,,-111.0,,-11.5,-240.7,,-162.2,-105.6,-317.4,-156.0,-262.0,,-220.2,,-157.4,,,,,-193.2,29.4,False,,False,False,,,,,,,,False,,True,False,,False,False,False,False,False,,False,,False,,,,,False,True
01061,412,80.0,102.5,,80.0,66.0,,,,,,,,106.0,,181.1,150.9,,27.1,78.2,106.1,,55.0,,45.6,,,,,,,51.3,754.2,-332.0,-309.5,,-332.0,-346.0,,,,,,,,-306.0,,-230.9,-261.1,,-384.9,-333.8,-305.9,,-357.0,,-366.4,,,,,,,-360.7,342.2,True,,False,False,,,,,,,,True,,True,True,,False,False,True,,False,,False,,,,,,,False,False
01063,48,0.0,4.2,,3.0,0.0,,,,,,,,20.0,,23.0,15.8,,0.3,2.7,0.0,71.0,15.0,,12.4,,,,,,,13.3,66.8,-48.0,-43.8,,-45.0,-48.0,,,,,,,,-28.0,,-25.0,-32.2,,-47.7,-45.3,-48.0,23.0,-33.0,,-35.6,,,,,,,-34.7,18.8,True,,True,False,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,,True,True
01065,184,75.0,64.4,,37.0,16.0,,,,,,,,64.0,,183.9,32.0,,15.8,57.2,1.1,,42.0,,2.3,,,,,,,40.1,157.0,-109.0,-119.6,,-147.0,-168.0,,,,,,,,-120.0,,-0.1,-152.0,,-168.2,-126.8,-182.9,,-142.0,,-181.7,,,,,,,-143.9,-27.0,False,,False,False,,,,,,,,False,,True,False,,False,False,False,,False,,False,,,,,,,False,True
01067,262,75.0,55.7,,47.0,35.0,,,,,,,,57.0,,165.3,68.2,,23.1,56.1,45.9,,36.0,,47.2,,,,,,,24.5,275.3,-187.0,-206.3,,-215.0,-227.0,,,,,,,,-205.0,,-96.7,-193.8,,-238.9,-205.9,-216.1,,-226.0,,-214.8,,,,,,,-237.5,13.3,False,,False,False,,,,,,,,False,,True,False,,False,False,False,,False,,False,,,,,,,False,True
01069,1605,435.0,318.4,,337.0,96.0,,,,,,,,417.0,,460.9,551.5,,289.3,330.1,352.3,228.0,155.0,,134.8,,504.7,,,,,186.8,1256.5,-1170.0,-1286.6,,-1268.0,-1509.0,,,,,,,,-1188.0,,-1144.1,-1053.5,,-1315.7,-1274.9,-1252.7,-1377.0,-1450.0,,-1470.2,,-1100.3,,,,,-1418.2,-348.5,False,,False,False,,,,,,,,False,,True,True,,False,False,False,False,False,,False,,True,,,,,False,True
01071,611,205.0,181.6,,141.0,45.0,,,,,,,,206.0,,325.7,228.4,,109.6,167.1,140.9,97.0,55.0,,54.8,,143.9,,,,,102.6,1654.3,-406.0,-429.4,,-470.0,-566.0,,,,,,,,-405.0,,-285.3,-382.6,,-501.4,-443.9,-470.1,-514.0,-556.0,,-556.2,,-467.1,,,,,-508.4,1043.3,False,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,False,,,,,False,False
01073,4917,3955.0,2943.1,2287.9,2325.0,2288.0,,,,,,,,2236.0,,3359.9,2483.7,,3498.8,2919.9,756.4,2190.0,2338.0,,1201.2,,2660.2,2317.0,,,,2016.3,9608.1,-962.0,-1973.9,-2629.1,-2592.0,-2629.0,,,,,,,,-2681.0,,-1557.1,-2433.3,,-1418.2,-1997.1,-4160.6,-2727.0,-2579.0,,-3715.8,,-2256.8,-2600.0,,,,-2900.7,4691.1,False,False,False,False,,,,,,,,False,,False,False,,False,False,False,False,False,,False,,False,False,,,,False,False
01075,158,45.0,32.0,,30.0,0.0,,,,,,,,55.0,,157.8,48.9,,17.8,38.8,26.7,,41.0,,1.6,,,,,,,16.7,100.2,-113.0,-126.0,,-128.0,-158.0,,,,,,,,-103.0,,-0.2,-109.1,,-140.2,-119.2,-131.3,,-117.0,,-156.4,,,,,,,-141.3,-57.8,False,,False,False,,,,,,,,True,,True,True,,False,False,False,,False,,False,,,,,,,False,True
01077,511,255.0,210.3,,200.0,700.0,,,,,,,,427.0,,370.7,289.5,,154.4,201.5,196.9,131.0,123.0,,177.2,,152.6,,,,,126.4,557.4,-256.0,-300.7,,-311.0,189.0,,,,,,,,-84.0,,-140.3,-221.5,,-356.6,-309.5,-314.1,-380.0,-388.0,,-333.8,,-358.4,,,,,-384.6,46.4,False,,False,True,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,False,,,,,False,True
01079,253,140.0,122.1,,97.0,186.0,,,,,,,,113.0,,333.1,137.5,,80.0,86.8,105.6,79.0,139.0,,60.2,,,,,,,45.5,1509.6,-113.0,-130.9,,-156.0,-67.0,,,,,,,,-140.0,,80.1,-115.5,,-173.0,-166.2,-147.4,-174.0,-114.0,,-192.8,,,,,,,-207.5,1256.6,False,,False,True,,,,,,,,False,,True,False,,False,False,False,False,False,,False,,,,,,,False,False
01081,2828,635.0,455.8,,401.0,460.0,,,,,,,,897.0,,846.4,721.5,,372.8,407.3,354.2,258.0,416.0,,11.1,,357.5,310.0,,,,473.9,3365.3,-2193.0,-2372.2,,-2427.0,-2368.0,,,,,,,,-1931.0,,-1981.6,-2106.5,,-2455.2,-2420.7,-2473.8,-2570.0,-2412.0,,-2816.9,,-2470.5,-2518.0,,,,-2354.1,537.3,False,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,False,False,,,,False,True
01083,882,390.0,304.0,,280.0,118.0,,,,,,,,426.0,,480.6,226.9,,346.5,361.9,226.1,361.0,263.0,,181.0,,253.8,,,,,118.4,2191.2,-492.0,-578.0,,-602.0,-764.0,,,,,,,,-456.0,,-401.4,-655.1,,-535.5,-520.1,-655.9,-521.0,-619.0,,-701.0,,-628.2,,,,,-763.6,1309.2,False,,False,False,,,,,,,,True,,True,False,,False,False,False,False,False,,False,,False,,,,,False,False
01085,92,5.0,1.1,,5.0,0.0,,,,,,,,48.0,,26.7,13.6,,0.2,8.8,0.2,,12.0,,8.1,,,,,,,13.2,155.9,-87.0,-90.9,,-87.0,-92.0,,,,,,,,-44.0,,-65.3,-78.4,,-91.8,-83.2,-91.8,,-80.0,,-83.9,,,,,,,-78.8,63.9,False,,False,False,,,,,,,,True,,True,True,,False,True,False,,True,,True,,,,,,,True,True
01087,108,55.0,39.8,,34.0,57.0,,,,,,,,39.0,,385.2,56.2,,5.7,40.4,0.0,,21.0,,25.0,,,,,,,24.9,650.3,-53.0,-68.2,,-74.0,-51.0,,,,,,,,-69.0,,277.2,-51.8,,-102.3,-67.6,-108.0,,-87.0,,-83.0,,,,,,,-83.1,542.3,False,,False,True,,,,,,,,False,,False,True,,False,False,False,,False,,False,,,,,,,False,False
01089,2102,1230.0,862.6,1002.0,937.0,494.0,,,,,,,,1422.0,,1498.8,1405.2,,1133.0,1077.3,491.2,1009.0,522.0,,78.0,,647.1,1112.0,,,,603.3,5213.9,-872.0,-1239.4,-1100.0,-1165.0,-1608.0,,,,,,,,-680.0,,-603.2,-696.8,,-969.0,-1024.7,-1610.8,-1093.0,-1580.0,,-2024.0,,-1454.9,-990.0,,,,-1498.7,3111.9,False,False,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,False,False,,,,False,False
01091,301,65.0,54.1,,42.0,2.0,,,,,,,,79.0,,202.1,49.8,,23.7,59.0,0.3,,49.0,,35.5,,,,,,,21.6,177.1,-236.0,-246.9,,-259.0,-299.0,,,,,,,,-222.0,,-98.9,-251.2,,-277.3,-242.0,-300.7,,-252.0,,-265.5,,,,,,,-279.4,-123.9,False,,False,False,,,,,,,,True,,True,False,,False,False,False,,False,,False,,,,,,,False,True
01093,259,245.0,179.6,,100.0,64.0,,,,,,,,102.0,,340.6,140.4,,129.6,146.7,59.9,163.0,159.0,,32.3,,,,,,,116.0,374.3,-14.0,-79.4,,-159.0,-195.0,,,,,,,,-157.0,,81.6,-118.6,,-129.4,-112.3,-199.1,-96.0,-100.0,,-226.7,,,,,,,-143.0,115.3,False,,False,False,,,,,,,,False,,False,False,,False,False,False,False,False,,False,,,,,,,False,False
01095,704,220.0,209.4,,160.0,16.0,,,,,,,,499.0,,351.6,222.7,,78.6,159.5,15.5,96.0,161.0,,32.6,,311.9,,,,,174.7,1983.3,-484.0,-494.6,,-544.0,-688.0,,,,,,,,-205.0,,-352.4,-481.3,,-625.4,-544.5,-688.5,-608.0,-543.0,,-671.4,,-392.1,,,,,-529.3,1279.3,False,,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,True,,,,,False,False
01097,1739,1145.0,880.9,980.5,925.0,2517.0,,,,,,,,1517.0,,1387.7,1300.0,,1083.7,883.4,680.3,457.0,488.0,,94.3,,2254.3,636.0,,,,658.5,2739.1,-594.0,-858.1,-758.5,-814.0,778.0,,,,,,,,-222.0,,-351.3,-439.0,,-655.3,-855.6,-1058.7,-1282.0,-1251.0,,-1644.7,,515.3,-1103.0,,,,-1080.5,1000.1,False,False,False,False,,,,,,,,True,,True,True,,False,False,False,False,False,,False,,True,False,,,,False,False
01099,181,40.0,43.2,,21.0,0.0,,,,,,,,75.0,,142.1,45.9,,2.9,18.4,14.2,,44.0,,3.0,,,,,,,12.0,351.3,-141.0,-137.8,,-160.0,-181.0,,,,,,,,-106.0,,-38.9,-135.1,,-178.1,-162.6,-166.8,,-137.0,,-177.9,,,,,,,-169.0,170.3,True,,False,False,,,,,,,,True,,True,True,,False,False,False,,True,,False,,,,,,,False,False
01101,1488,1025.0,817.0,777.5,706.0,368.0,,,,,,,,884.0,,960.8,503.4,,619.0,835.5,78.8,590.0,690.0,,265.4,,530.4,716.0,,,,679.3,2232.3,-463.0,-671.0,-710.5,-782.0,-1120.0,,,,,,,,-604.0,,-527.2,-984.6,,-869.0,-652.5,-1409.2,-898.0,-798.0,,-1222.6,,-957.6,-772.0,,,,-808.7,744.3,False,False,False,False,,,,,,,,False,,False,False,,False,False,False,False,False,,False,,False,False,,,,False,False
