,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,25511,26556.0,25600.2,23851.0,30386.0,,25453.7,20962.0,40575.9,,33179.0,24237.7,24101.8,20975.8,24955.0,15707.2,21970.6,29729.0,,15950.7,9439.9,19586.6,29154.8,20923.2,22100.0,1045.0,89.2,-1660.0,4875.0,,-57.3,-4549.0,15064.9,,7668.0,-1273.3,-1409.2,-4535.2,-556.0,-9803.8,-3540.4,4218.0,,-9560.3,-16071.1,-5924.4,3643.8,-4587.8,-3411.0,True,False,False,,True,False,False,,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Hawaii,1938,2076.0,2134.0,2002.0,3980.0,,1988.6,1293.0,3405.4,,,1042.8,1990.4,3487.4,2081.3,1924.1,2097.6,1354.0,,995.1,795.8,1904.1,1585.2,2183.5,1665.0,138.0,196.0,64.0,2042.0,,50.6,-645.0,1467.4,,,-895.2,52.4,1549.4,143.3,-13.9,159.6,-584.0,,-942.9,-1142.2,-33.9,-352.8,245.5,-273.0,False,True,False,,True,False,False,,,False,True,False,False,True,False,False,,False,False,True,False,False,False
Idaho,12286,9147.0,9153.1,7720.0,14003.0,,7367.7,4126.0,13842.6,,6138.0,10111.0,10696.1,5893.7,6650.3,6271.4,9631.4,12866.0,,3412.2,3485.1,6240.9,7449.1,9497.9,8590.0,-3139.0,-3132.9,-4566.0,1717.0,,-4918.3,-8160.0,1556.6,,-6148.0,-2175.0,-1589.9,-6392.3,-5635.7,-6014.6,-2654.6,580.0,,-8873.8,-8800.9,-6045.1,-4836.9,-2788.1,-3696.0,True,False,True,,False,False,True,,False,True,True,False,False,False,True,True,,False,False,False,False,True,False
Illinois,54613,41196.0,42519.5,37377.0,53780.0,,34638.5,8433.0,55888.0,,37978.0,46910.3,36010.8,36376.4,33133.9,30955.3,40924.3,48660.0,,28537.1,60284.1,42656.2,32634.9,42927.7,38642.0,-13417.0,-12093.5,-17236.0,-833.0,,-19974.5,-46180.0,1275.0,,-16635.0,-7702.7,-18602.2,-18236.6,-21479.1,-23657.7,-13688.7,-5953.0,,-26075.9,5671.1,-11956.8,-21978.1,-11685.3,-15971.0,True,False,True,,False,False,True,,False,True,False,False,False,False,False,True,,False,True,True,False,True,False
Indiana,29428,17370.0,17565.4,17418.0,23919.0,,16912.7,13527.0,25329.8,,11313.0,17439.1,14569.5,21123.6,19792.3,16155.1,17988.5,20003.0,,11165.4,27963.5,14312.6,16706.8,21831.9,16774.0,-12058.0,-11862.6,-12010.0,-5509.0,,-12515.3,-15901.0,-4098.2,,-18115.0,-11988.9,-14858.5,-8304.4,-9635.7,-13272.9,-11439.5,-9425.0,,-18262.6,-1464.5,-15115.4,-12721.2,-7596.1,-12654.0,True,True,True,,False,False,True,,False,True,False,True,True,False,True,True,,False,True,False,False,True,False
Iowa,20790,18312.0,17517.5,17720.0,18029.0,,15975.8,14379.0,21804.0,,19900.0,19053.4,20320.1,11138.0,21830.1,14443.5,18067.6,23651.0,,10058.4,7268.0,16629.0,16482.8,18327.8,14017.0,-2478.0,-3272.5,-3070.0,-2761.0,,-4814.2,-6411.0,1014.0,,-890.0,-1736.6,-469.9,-9652.0,1040.1,-6346.5,-2722.4,2861.0,,-10731.6,-13522.0,-4161.0,-4307.2,-2462.2,-6773.0,False,False,False,,False,False,True,,True,True,True,False,True,False,False,False,,False,False,False,False,True,False
Kansas,14447,12501.0,12387.4,10905.0,10021.0,,10411.2,10905.0,10270.1,,11617.0,10120.7,16355.7,9560.3,12916.3,7520.1,11944.2,15033.0,,4078.9,14007.5,12543.2,11751.0,9714.0,13184.0,-1946.0,-2059.6,-3542.0,-4426.0,,-4035.8,-3542.0,-4176.9,,-2830.0,-4326.3,1908.7,-4886.7,-1530.7,-6926.9,-2502.8,586.0,,-10368.1,-439.5,-1903.8,-2696.0,-4733.0,-1263.0,False,False,False,,False,False,False,,False,False,True,False,True,False,False,True,,False,True,True,False,False,True
Kentucky,20761,14790.0,14723.9,14583.0,27527.0,,13317.7,13006.0,34962.2,,16703.0,16602.2,15334.2,12917.5,14595.9,10748.2,14551.2,19787.0,,8813.3,17152.6,12570.9,14264.1,16150.3,15227.0,-5971.0,-6037.1,-6178.0,6766.0,,-7443.3,-7755.0,14201.2,,-4058.0,-4158.8,-5426.8,-7843.5,-6165.1,-10012.8,-6209.8,-974.0,,-11947.7,-3608.4,-8190.1,-6496.9,-4610.7,-5534.0,False,False,False,,False,False,False,,True,True,True,False,False,False,False,True,,False,True,False,False,True,True
Louisiana,12574,10935.0,10846.6,9642.0,12063.0,,8639.2,6599.0,32446.6,,16123.0,9738.1,9638.6,10251.0,9165.2,8373.4,9842.1,9549.0,,6207.8,0.0,7232.7,16317.2,7832.7,7086.0,-1639.0,-1727.4,-2932.0,-511.0,,-3934.8,-5975.0,19872.6,,3549.0,-2835.9,-2935.4,-2323.0,-3408.8,-4200.6,-2731.9,-3025.0,,-6366.2,-12574.0,-5341.3,3743.2,-4741.3,-5488.0,False,False,True,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Maine,654,672.0,689.8,664.0,1110.0,,628.8,235.0,862.1,,553.0,772.9,813.3,1145.1,726.7,436.6,628.9,645.0,,409.1,306.6,697.9,594.2,592.1,764.0,18.0,35.8,10.0,456.0,,-25.2,-419.0,208.1,,-101.0,118.9,159.3,491.1,72.7,-217.4,-25.1,-9.0,,-244.9,-347.4,43.9,-59.8,-61.9,110.0,False,True,False,,False,False,False,,False,False,False,False,False,False,False,True,,False,False,False,False,False,False
Maryland,12155,9684.0,10018.0,9267.0,7743.0,,9518.0,726.0,15119.6,,10389.0,10016.9,7600.2,16450.5,12269.7,7546.4,9581.3,9906.0,,5243.0,13785.5,7145.8,12941.7,8013.9,8188.0,-2471.0,-2137.0,-2888.0,-4412.0,,-2637.0,-11429.0,2964.6,,-1766.0,-2138.1,-4554.8,4295.5,114.7,-4608.6,-2573.7,-2249.0,,-6912.0,1630.5,-5009.2,786.7,-4141.1,-3967.0,True,False,False,,False,False,False,,True,True,False,False,True,False,False,True,,False,True,False,True,False,False
Massachusetts,12880,8607.0,8556.8,8463.0,10430.0,,7574.4,275.0,13195.2,,6145.0,11089.2,6301.4,9755.7,8042.8,8762.0,11268.8,10815.0,,10369.5,6599.7,8646.1,7446.8,13439.4,11010.0,-4273.0,-4323.2,-4417.0,-2450.0,,-5305.6,-12605.0,315.2,,-6735.0,-1790.8,-6578.6,-3124.3,-4837.2,-4118.0,-1611.2,-2065.0,,-2510.5,-6280.3,-4233.9,-5433.2,559.4,-1870.0,False,False,True,,False,False,True,,False,True,False,True,False,True,True,True,,True,False,True,False,True,True
Michigan,26732,18858.0,19129.6,17487.0,30045.0,,15727.7,2586.0,19610.2,,20864.0,22177.3,18187.3,28444.9,17947.7,9879.0,16508.1,22197.0,,2113.6,27673.6,22260.1,13286.6,13610.1,17634.0,-7874.0,-7602.4,-9245.0,3313.0,,-11004.3,-24146.0,-7121.8,,-5868.0,-4554.7,-8544.7,1712.9,-8784.3,-16853.0,-10223.9,-4535.0,,-24618.4,941.6,-4471.9,-13445.4,-13121.9,-9098.0,True,False,True,,False,False,True,,True,True,False,True,False,False,False,True,,False,True,True,False,False,False
Minnesota,25431,20814.0,20970.2,18896.0,55815.0,,14733.6,2960.0,22756.1,,25524.0,16494.1,16998.1,13246.0,15471.8,19182.1,22706.9,30306.0,,17256.1,20184.1,18687.0,15850.6,33991.2,23025.0,-4617.0,-4460.8,-6535.0,30384.0,,-10697.4,-22471.0,-2674.9,,93.0,-8936.9,-8432.9,-12185.0,-9959.2,-6248.9,-2724.1,4875.0,,-8174.9,-5246.9,-6744.0,-9580.4,8560.2,-2406.0,True,False,False,,False,False,True,,True,False,False,False,False,False,True,False,,False,False,False,False,False,True
Mississippi,13329,10770.0,10648.8,9007.0,10365.0,,8894.4,5301.0,11837.4,,9356.0,10289.8,10060.4,5656.9,6371.4,7449.4,10085.4,13404.0,,5105.4,40.0,8729.2,11998.5,9161.6,8832.0,-2559.0,-2680.2,-4322.0,-2964.0,,-4434.6,-8028.0,-1491.6,,-3973.0,-3039.2,-3268.6,-7672.1,-6957.6,-5879.6,-3243.6,75.0,,-8223.6,-13289.0,-4599.8,-1330.5,-4167.4,-4497.0,False,False,False,,False,False,True,,False,False,False,False,False,False,False,True,,False,False,False,True,False,False
Missouri,35356,31926.0,32360.5,29606.0,35798.0,,31722.7,24024.0,48687.0,,24794.0,35734.7,31124.0,20128.0,28435.4,27568.1,30467.2,38959.0,,18940.4,95744.8,22594.4,31717.6,34417.7,25843.0,-3430.0,-2995.5,-5750.0,442.0,,-3633.3,-11332.0,13331.0,,-10562.0,378.7,-4232.0,-15228.0,-6920.6,-7787.9,-4888.8,3603.0,,-16415.6,60388.8,-12761.6,-3638.4,-938.3,-9513.0,True,False,True,,False,False,False,,False,True,False,False,False,False,False,False,,False,False,False,False,True,False
Montana,10318,5232.0,5223.4,4949.0,4213.0,,4285.8,1607.0,8153.2,,6115.0,5138.7,7388.5,2242.4,4459.6,4856.8,6027.0,8445.0,,3378.0,8519.1,3383.6,5748.5,9359.1,6095.0,-5086.0,-5094.6,-5369.0,-6105.0,,-6032.2,-8711.0,-2164.8,,-4203.0,-5179.3,-2929.5,-8075.6,-5858.4,-5461.2,-4291.0,-1873.0,,-6940.0,-1798.9,-6934.4,-4569.5,-958.9,-4223.0,False,False,False,,False,False,True,,True,False,True,False,False,False,True,True,,False,True,False,True,True,True
Nebraska,13736,8397.0,8453.6,8430.0,23182.0,,8487.5,1503.0,9715.1,,6663.0,10524.2,9281.6,7227.0,8832.3,7351.1,10247.7,11746.0,,5268.9,5714.1,6767.8,6210.8,10271.1,7242.0,-5339.0,-5282.4,-5306.0,9446.0,,-5248.5,-12233.0,-4020.9,,-7073.0,-3211.8,-4454.4,-6509.0,-4903.7,-6384.9,-3488.3,-1990.0,,-8467.1,-8021.9,-6968.2,-7525.2,-3464.9,-6494.0,True,True,False,,True,False,True,,False,True,True,False,True,False,True,True,,False,False,False,False,True,False
Nevada,11297,8808.0,8513.1,7164.0,15316.0,,6386.6,3524.0,9373.3,,4759.0,8765.6,7417.3,4808.3,3944.7,7429.7,9941.5,13673.0,,5024.5,17386.5,6694.2,10068.0,11552.2,9105.0,-2489.0,-2783.9,-4133.0,4019.0,,-4910.4,-7773.0,-1923.7,,-6538.0,-2531.4,-3879.7,-6488.7,-7352.3,-3867.3,-1355.5,2376.0,,-6272.5,6089.5,-4602.8,-1229.0,255.2,-2192.0,False,False,False,,False,False,True,,False,False,False,False,False,False,True,True,,False,False,False,True,True,True
New Hampshire,1504,603.0,607.1,686.0,712.0,,701.6,1.0,1033.6,,723.0,750.8,579.9,1579.4,1422.2,581.4,770.8,772.0,,443.1,69.0,586.3,778.2,885.5,571.0,-901.0,-896.9,-818.0,-792.0,,-802.4,-1503.0,-470.4,,-781.0,-753.2,-924.1,75.4,-81.8,-922.6,-733.2,-732.0,,-1060.9,-1435.0,-917.7,-725.8,-618.5,-933.0,True,True,True,,True,False,True,,True,True,False,True,True,False,True,True,,False,False,False,True,True,False
New Jersey,18524,10623.0,10525.1,10277.0,34059.0,,7296.3,42.0,15920.9,,8548.0,10210.1,7434.1,27159.4,9385.2,9603.4,14201.2,11374.0,,10033.8,2265.1,10574.4,8910.6,16047.6,12815.0,-7901.0,-7998.9,-8247.0,15535.0,,-11227.7,-18482.0,-2603.1,,-9976.0,-8313.9,-11089.9,8635.4,-9138.8,-8920.6,-4322.8,-7150.0,,-8490.2,-16258.9,-7949.6,-9613.4,-2476.4,-5709.0,False,False,False,,False,False,True,,False,False,False,False,False,False,True,True,,False,False,False,False,True,True
New Mexico,7651,3540.0,3642.0,3543.0,5721.0,,2673.5,997.0,3393.8,,5616.0,3589.6,3612.0,4360.9,2993.9,3277.6,4183.0,5754.0,,,13042.8,2790.9,3971.9,6983.0,4387.0,-4111.0,-4009.0,-4108.0,-1930.0,,-4977.5,-6654.0,-4257.2,,-2035.0,-4061.4,-4039.0,-3290.1,-4657.1,-4373.4,-3468.0,-1897.0,,,5391.8,-4860.1,-3679.1,-668.0,-3264.0,True,True,True,,False,False,False,,True,True,True,True,False,False,True,True,,,False,False,True,True,True
New York,28634,17166.0,17365.9,15272.0,21543.0,,8930.8,25.0,28021.5,,8085.0,19240.4,13068.1,34620.9,14862.1,13300.8,17968.2,16983.0,,12674.3,11578.8,12301.2,15576.4,20346.2,18485.0,-11468.0,-11268.1,-13362.0,-7091.0,,-19703.2,-28609.0,-612.5,,-20549.0,-9393.6,-15565.9,5986.9,-13771.9,-15333.2,-10665.8,-11651.0,,-15959.7,-17055.2,-16332.8,-13057.6,-8287.8,-10149.0,True,False,True,,False,False,True,,False,True,False,True,False,False,True,False,,False,False,False,False,True,True
North Carolina,35951,41439.0,40947.2,32098.0,40105.0,,29426.4,32979.0,53395.4,,28438.0,28665.0,42900.4,28712.3,21826.8,26318.4,34911.8,61301.0,,18868.4,63630.7,30758.8,35687.0,84510.7,44905.0,5488.0,4996.2,-3853.0,4154.0,,-6524.6,-2972.0,17444.4,,-7513.0,-7286.0,6949.4,-7238.7,-14124.2,-9632.6,-1039.2,25350.0,,-17082.6,27679.7,-5192.2,-264.0,48559.7,8954.0,True,True,True,,False,True,False,,False,False,False,False,False,False,True,False,,False,False,True,True,False,False
North Dakota,10881,8319.0,8378.4,7749.0,7220.0,,7374.6,12.0,9611.7,,9140.0,10266.8,9747.6,2697.9,11761.4,7408.8,7979.8,11723.0,,5690.5,7381.6,7176.0,11125.2,8004.7,5319.0,-2562.0,-2502.6,-3132.0,-3661.0,,-3506.4,-10869.0,-1269.3,,-1741.0,-614.2,-1133.4,-8183.1,880.4,-3472.2,-2901.2,842.0,,-5190.5,-3499.4,-3705.0,244.2,-2876.3,-5562.0,True,False,False,,False,False,True,,True,True,True,False,True,False,False,True,,False,False,False,True,False,False
Ohio,30216,19386.0,19512.2,18326.0,23202.0,,17267.5,17193.0,26389.1,,15284.0,17537.4,17443.7,27048.3,18686.1,15152.5,19875.3,19986.0,,10536.7,11628.5,12953.6,19351.5,18766.7,17060.0,-10830.0,-10703.8,-11890.0,-7014.0,,-12948.5,-13023.0,-3826.9,,-14932.0,-12678.6,-12772.3,-3167.7,-11529.9,-15063.5,-10340.7,-10230.0,,-19679.3,-18587.5,-17262.4,-10864.5,-11449.3,-13156.0,True,False,True,,False,False,True,,False,False,False,True,False,False,True,True,,False,False,False,False,False,False
Oklahoma,22958,23118.0,23618.2,20939.0,26110.0,,21819.6,16017.0,30447.9,,19502.0,27112.2,32432.6,15113.0,25116.4,15734.4,20968.3,31155.0,,12867.9,23120.5,14872.8,20778.8,18523.4,19583.0,160.0,660.2,-2019.0,3152.0,,-1138.4,-6941.0,7489.9,,-3456.0,4154.2,9474.6,-7845.0,2158.4,-7223.6,-1989.7,8197.0,,-10090.1,162.5,-8085.2,-2179.2,-4434.6,-3375.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Oregon,6734,5946.0,6045.3,5802.0,10864.0,,4855.5,3025.0,6168.4,,5439.0,5576.9,6718.8,8295.8,3345.1,4680.7,6863.8,8335.0,,4030.7,14092.8,4215.2,5217.4,8894.6,7059.0,-788.0,-688.7,-932.0,4130.0,,-1878.5,-3709.0,-565.6,,-1295.0,-1157.1,-15.2,1561.8,-3388.9,-2053.3,129.8,1601.0,,-2703.3,7358.8,-2518.8,-1516.6,2160.6,325.0,True,False,False,,False,False,True,,False,False,True,False,False,False,True,False,,False,False,False,False,False,True
Pennsylvania,25735,17091.0,17418.1,16080.0,16874.0,,15287.5,2639.0,23571.1,,13008.0,18424.0,16080.6,29717.5,14672.7,13174.9,18376.3,19468.0,,10054.5,46013.9,16396.0,16185.0,18436.8,15453.0,-8644.0,-8316.9,-9655.0,-8861.0,,-10447.5,-23096.0,-2163.9,,-12727.0,-7311.0,-9654.4,3982.5,-11062.3,-12560.1,-7358.7,-6267.0,,-15680.5,20278.9,-9339.0,-9550.0,-7298.2,-10282.0,True,False,False,,False,False,True,,False,True,False,True,False,False,True,True,,False,False,False,False,True,False
Rhode Island,3510,1683.0,1700.2,1583.0,2142.0,,1963.6,0.0,1858.0,,4390.0,2418.3,1639.5,2425.3,2680.9,720.0,1301.7,2410.0,,283.7,3040.9,1610.0,1911.5,1281.7,897.0,-1827.0,-1809.8,-1927.0,-1368.0,,-1546.4,-3510.0,-1652.0,,880.0,-1091.7,-1870.5,-1084.7,-829.1,-2790.0,-2208.3,-1100.0,,-3226.3,-469.1,-1900.0,-1598.5,-2228.3,-2613.0,True,False,True,,True,False,True,,True,True,False,True,True,False,False,True,,False,True,False,True,False,False
South Carolina,17941,24099.0,24313.6,19255.0,20997.0,,18689.3,8741.0,32963.5,,18388.0,20348.2,23487.3,7098.5,24760.8,14059.3,19600.1,29646.0,,,25617.5,16916.2,23095.6,18082.3,19065.0,6158.0,6372.6,1314.0,3056.0,,748.3,-9200.0,15022.5,,447.0,2407.2,5546.3,-10842.5,6819.8,-3881.7,1659.1,11705.0,,,7676.5,-1024.8,5154.6,141.3,1124.0,False,True,True,,True,False,False,,True,True,True,False,False,True,True,False,,,False,True,True,True,True
South Dakota,11478,8067.0,8292.9,7655.0,5905.0,,6075.2,73.0,9623.2,,7440.0,8341.3,10019.1,1331.3,5791.5,8429.2,9830.3,12135.0,,6833.8,9069.8,7958.6,7288.4,12444.6,6352.0,-3411.0,-3185.1,-3823.0,-5573.0,,-5402.8,-11405.0,-1854.8,,-4038.0,-3136.7,-1458.9,-10146.7,-5686.5,-3048.8,-1647.7,657.0,,-4644.2,-2408.2,-3519.4,-4189.6,966.6,-5126.0,True,False,False,,False,False,True,,False,True,True,False,False,True,True,True,,False,True,False,False,True,False
Tennessee,35248,28356.0,28021.4,26571.0,28300.0,,26819.6,17066.0,44013.2,,25898.0,24727.4,25592.8,17369.4,22165.0,29782.0,31867.7,31095.0,,20375.8,57050.1,16630.2,28682.4,27916.6,22400.0,-6892.0,-7226.6,-8677.0,-6948.0,,-8428.4,-18182.0,8765.2,,-9350.0,-10520.6,-9655.2,-17878.6,-13083.0,-5466.0,-3380.3,-4153.0,,-14872.2,21802.1,-18617.8,-6565.6,-7331.4,-12848.0,False,False,False,,False,False,False,,False,False,False,False,False,True,True,True,,False,False,False,True,False,False
