,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01021,622,791.0,,,,505.0,1130.7,,335.7,515.0,,,169.0,,,,-117.0,508.7,,-286.3,-107.0,,,,,,True,False,,False,True,,
01023,61,84.0,,,,125.0,1.5,,1.9,87.4,,,23.0,,,,64.0,-59.5,,-59.1,26.4,,,,,,False,False,,False,False,,
01025,281,224.0,,,,369.0,106.5,,193.9,322.8,,,-57.0,,,,88.0,-174.5,,-87.1,41.8,,,,,,False,False,,False,True,,
01027,338,182.0,,,,127.0,80.7,,13.2,121.4,,,-156.0,,,,-211.0,-257.3,,-324.8,-216.6,,,,,,False,False,,False,False,,
01029,297,168.0,,,,98.0,31.1,,90.0,123.1,,,-129.0,,,,-199.0,-265.9,,-207.0,-173.9,,,,,,False,False,,False,False,,
01031,558,343.0,,,,670.0,158.7,,22.6,271.5,,,-215.0,,,,112.0,-399.3,,-535.4,-286.5,,,,,,True,False,,False,False,,
01033,443,567.0,,,,610.0,314.8,,231.0,489.4,,,124.0,,,,167.0,-128.2,,-212.0,46.4,,,,,,False,False,,False,True,,
01035,73,98.0,,,,178.0,8.9,0.0,41.6,58.1,,,25.0,,,,105.0,-64.1,-73.0,-31.4,-14.9,,,,,,False,False,False,False,True,,
01037,64,0.0,,,,84.0,2.6,26.6,5.5,47.4,,,-64.0,,,,20.0,-61.4,-37.4,-58.5,-16.6,,,,,,True,True,True,True,True,,
01039,567,0.0,,,,519.0,34.0,79.7,118.6,57.4,,,-567.0,,,,-48.0,-533.0,-487.3,-448.4,-509.6,,,,,,True,True,True,True,True,,
01041,123,154.0,,,,191.0,58.1,0.0,2.8,351.5,,,31.0,,,,68.0,-64.9,-123.0,-120.2,228.5,,,,,,False,False,False,False,False,,
01043,633,441.0,,,,849.0,108.9,190.3,18.6,393.0,,,-192.0,,,,216.0,-524.1,-442.7,-614.4,-240.0,,,,,,False,False,False,False,False,,
01045,539,336.0,,,,574.0,176.8,174.2,267.8,154.1,,,-203.0,,,,35.0,-362.2,-364.8,-271.2,-384.9,,,,,,True,False,False,False,False,,
01047,245,70.0,,,,555.0,49.3,2.3,93.4,104.8,,,-175.0,,,,310.0,-195.7,-242.7,-151.6,-140.2,,,,,,False,False,False,True,True,,
01049,983,476.0,,,,703.0,245.5,143.9,147.3,706.8,,,-507.0,,,,-280.0,-737.5,-839.1,-835.7,-276.2,,,,,,True,False,False,False,True,,
01051,914,581.0,,,,669.0,334.7,176.8,141.4,417.3,,,-333.0,,,,-245.0,-579.3,-737.2,-772.6,-496.7,,,,,,True,False,False,False,False,,
01053,310,280.0,,,,614.0,34.3,0.9,58.6,136.0,,,-30.0,,,,304.0,-275.7,-309.1,-251.4,-174.0,,,,,,False,False,False,False,False,,
01055,1200,1155.0,,,,900.0,553.5,359.6,655.6,677.3,,,-45.0,,,,-300.0,-646.5,-840.4,-544.4,-522.7,,,,,,False,False,False,False,False,,
01057,212,133.0,,,,154.0,53.1,101.6,43.5,205.1,,,-79.0,,,,-58.0,-158.9,-110.4,-168.5,-6.9,,,,,,True,False,False,False,True,,
01059,435,735.0,,,,483.0,337.6,322.9,359.4,417.5,,,300.0,,,,48.0,-97.4,-112.1,-75.6,-17.5,,,,,,True,True,True,True,True,,
01061,396,210.0,,,,377.0,40.2,132.2,93.0,197.7,,,-186.0,,,,-19.0,-355.8,-263.8,-303.1,-198.3,,,,,,True,False,False,False,False,,
01063,44,42.0,,,,81.0,15.8,0.2,15.9,28.5,,,-2.0,,,,37.0,-28.2,-43.8,-28.1,-15.5,,,,,,False,False,False,False,False,,
01065,175,105.0,,,,169.0,20.3,2.5,7.3,136.6,,,-70.0,,,,-6.0,-154.7,-172.5,-167.7,-38.4,,,,,,True,False,False,False,True,,
01067,257,126.0,,,,170.0,16.0,56.0,17.1,100.3,,,-131.0,,,,-87.0,-241.0,-201.0,-239.8,-156.7,,,,,,True,False,False,False,False,,
01069,1589,574.0,,,,1279.0,265.4,317.8,183.0,464.5,,,-1015.0,,,,-310.0,-1323.6,-1271.2,-1406.0,-1124.5,,,,,,True,False,False,False,False,,
01071,673,350.0,,,,429.0,223.9,226.1,69.4,281.7,,,-323.0,,,,-244.0,-449.1,-446.9,-603.6,-391.3,,,,,,True,False,False,False,False,,
01073,6104,7084.0,,,,4265.0,7543.9,898.8,2347.8,4175.6,,,980.0,,,,-1839.0,1439.9,-5205.2,-3756.2,-1928.4,,,,,,False,False,False,False,False,,
01075,167,63.0,,,,158.0,16.9,58.4,11.1,103.2,,,-104.0,,,,-9.0,-150.1,-108.6,-155.9,-63.8,,,,,,True,False,False,False,True,,
01077,616,546.0,,,,972.0,257.3,233.1,176.9,451.7,,,-70.0,,,,356.0,-358.7,-382.9,-439.1,-164.3,,,,,,False,False,False,False,False,,
01079,303,322.0,,,,319.0,305.8,136.6,26.8,256.7,,,19.0,,,,16.0,2.8,-166.4,-276.2,-46.3,,,,,,True,True,False,False,False,,
01081,2027,1988.0,,,,1649.0,2386.3,500.3,4899.6,1109.3,,,-39.0,,,,-378.0,359.3,-1526.7,2872.6,-917.7,,,,,,False,False,False,False,False,,
01083,978,672.0,,,,821.0,569.2,259.9,303.8,461.2,,,-306.0,,,,-157.0,-408.8,-718.1,-674.2,-516.8,,,,,,True,False,False,False,False,,
01085,81,98.0,,,,106.0,9.5,0.9,32.9,55.7,,,17.0,,,,25.0,-71.5,-80.1,-48.1,-25.3,,,,,,False,False,False,False,False,,
01087,94,119.0,,,,128.0,17.2,0.0,72.6,88.0,,,25.0,,,,34.0,-76.8,-94.0,-21.4,-6.0,,,,,,False,False,False,True,True,,
01089,2644,1995.0,,,,2384.0,1937.3,405.6,0.0,1154.8,,,-649.0,,,,-260.0,-706.7,-2238.4,-2644.0,-1489.2,,,,,,True,False,False,False,False,,
01091,327,119.0,,,,316.0,12.1,0.6,27.7,123.2,,,-208.0,,,,-11.0,-314.9,-326.4,-299.3,-203.8,,,,,,True,False,False,False,True,,
01093,272,420.0,,,,314.0,177.3,82.6,72.1,186.8,,,148.0,,,,42.0,-94.7,-189.4,-199.9,-85.2,,,,,,True,True,False,False,True,,
01095,679,434.0,,,,973.0,143.5,65.9,65.2,673.7,,,-245.0,,,,294.0,-535.5,-613.1,-613.8,-5.3,,,,,,False,False,False,False,True,,
01097,2160,2877.0,,,,3348.0,2744.1,1130.5,446.6,6131.1,,,717.0,,,,1188.0,584.1,-1029.5,-1713.3,3971.1,,,,,,False,True,False,False,False,,
01099,81,0.0,,,,288.0,5.7,30.4,5.3,12.6,,,-81.0,,,,207.0,-75.3,-50.6,-75.7,-68.4,,,,,,False,True,True,True,True,,
01101,1728,1771.0,,,,2013.0,1067.0,270.8,1423.1,1664.9,,,43.0,,,,285.0,-661.0,-1457.2,-304.9,-63.1,,,,,,False,False,False,False,False,,
01103,1044,1155.0,,,,1063.0,650.1,192.8,310.5,826.3,,,111.0,,,,19.0,-393.9,-851.2,-733.5,-217.7,,,,,,True,False,False,False,False,,
01105,65,63.0,,,,96.0,8.0,0.0,6.9,66.9,,,-2.0,,,,31.0,-57.0,-65.0,-58.1,1.9,,,,,,False,False,False,False,True,,
01107,239,238.0,,,,247.0,110.3,91.3,106.2,108.0,,,-1.0,,,,8.0,-128.7,-147.7,-132.8,-131.0,,,,,,False,False,False,False,False,,
01109,346,301.0,,,,576.0,58.0,80.8,64.3,243.2,,,-45.0,,,,230.0,-288.0,-265.2,-281.7,-102.8,,,,,,False,False,False,False,False,,
01111,280,210.0,,,,213.0,88.2,44.7,7.2,165.6,,,-70.0,,,,-67.0,-191.8,-235.3,-272.8,-114.4,,,,,,True,False,False,False,False,,
01113,299,266.0,,,,580.0,73.8,123.6,28.1,352.5,,,-33.0,,,,281.0,-225.2,-175.4,-270.9,53.5,,,,,,False,False,False,False,False,,
01115,948,749.0,,,,611.0,418.1,222.0,133.7,413.7,,,-199.0,,,,-337.0,-529.9,-726.0,-814.3,-534.3,,,,,,False,False,False,False,False,,
01117,2524,2100.0,,,,1447.0,3398.4,935.4,3538.9,1102.8,,,-424.0,,,,-1077.0,874.4,-1588.6,1014.9,-1421.2,,,,,,False,False,False,False,False,,
01119,57,35.0,,,,137.0,2.6,0.3,2.2,51.6,,,-22.0,,,,80.0,-54.4,-56.7,-54.8,-5.4,,,,,,False,False,False,False,True,,
01121,787,504.0,,,,688.0,260.4,273.5,131.7,353.8,,,-283.0,,,,-99.0,-526.6,-513.5,-655.3,-433.2,,,,,,True,False,False,False,False,,
01123,229,35.0,,,,420.0,37.1,35.5,61.5,111.1,,,-194.0,,,,191.0,-191.9,-193.5,-167.5,-117.9,,,,,,True,True,True,True,True,,
01125,3948,2177.0,,,,2200.0,1946.1,380.7,876.7,1406.7,,,-1771.0,,,,-1748.0,-2001.9,-3567.3,-3071.3,-2541.3,,,,,,True,False,False,False,False,,
01127,731,714.0,,,,649.0,181.4,88.6,41.9,349.3,,,-17.0,,,,-82.0,-549.6,-642.4,-689.1,-381.7,,,,,,False,False,False,False,False,,
01129,102,84.0,,,,217.0,10.2,0.0,13.4,78.4,,,-18.0,,,,115.0,-91.8,-102.0,-88.6,-23.6,,,,,,False,False,False,False,False,,
01131,43,70.0,,,,123.0,8.1,0.6,66.8,51.8,,,27.0,,,,80.0,-34.9,-42.4,23.8,8.8,,,,,,False,False,False,True,True,,
01133,315,280.0,,,,269.0,180.8,71.2,96.3,193.9,,,-35.0,,,,-46.0,-134.2,-243.8,-218.7,-121.1,,,,,,False,False,False,False,False,,
02013,11,0.0,,,,,,,0.0,0.6,,,-11.0,,,,,,,-11.0,-10.4,,,,,,,,,False,True,,
02016,4,14.0,,,,,,,8.2,11.2,,,10.0,,,,,,,4.2,7.2,,,,,,,,,True,True,,
02020,3086,2086.0,,,,,980.5,1005.2,1210.0,1203.0,,,-1000.0,,,,,-2105.5,-2080.8,-1876.0,-1883.0,,,,,,,False,False,False,False,,
02050,185,133.0,,,,,8.2,,23.4,85.7,,,-52.0,,,,,-176.8,,-161.6,-99.3,,,,,,,False,,False,False,,
02060,0,0.0,,,,,0.7,,0.5,,,,0.0,,,,,0.7,,0.5,,,,,,,,False,,False,,,
02068,16,0.0,,,,,,,0.0,,,,-16.0,,,,,,,-16.0,,,,,,,,,,False,,,
02070,10,0.0,,,,,0.3,,0.2,1.6,,,-10.0,,,,,-9.7,,-9.8,-8.4,,,,,,,True,,True,True,,
02090,1107,497.0,,,,,632.8,286.8,288.1,258.1,,,-610.0,,,,,-474.2,-820.2,-818.9,-848.9,,,,,,,True,False,False,False,,
02100,3,0.0,,,,,,,0.0,4.7,,,-3.0,,,,,,,-3.0,1.7,,,,,,,,,False,True,,
02105,0,0.0,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,True,,,
02110,191,98.0,,,,,12.9,51.3,29.6,39.3,,,-93.0,,,,,-178.1,-139.7,-161.4,-151.7,,,,,,,False,False,False,False,,
02122,149,77.0,,,,,7.0,253.2,8.9,68.8,,,-72.0,,,,,-142.0,104.2,-140.1,-80.2,,,,,,,False,False,False,False,,
02130,17,14.0,,,,,4.9,,11.5,22.9,,,-3.0,,,,,-12.1,,-5.5,5.9,,,,,,,False,,False,False,,
02150,34,0.0,,,,,0.5,,2.7,,,,-34.0,,,,,-33.5,,-31.3,,,,,,,,True,,True,,,
02158,24,0.0,,,,,,,0.0,1.9,,,-24.0,,,,,,,-24.0,-22.1,,,,,,,,,True,True,,
02164,23,0.0,,,,,,,0.0,,,,-23.0,,,,,,,-23.0,,,,,,,,,,False,,,
02170,355,322.0,,,,,97.6,504.4,91.0,196.7,,,-33.0,,,,,-257.4,149.4,-264.0,-158.3,,,,,,,False,False,False,False,,
02180,72,42.0,,,,,5.0,,18.9,44.4,,,-30.0,,,,,-67.0,,-53.1,-27.6,,,,,,,False,,False,True,,
02185,166,42.0,,,,,5.0,,7.0,,,,-124.0,,,,,-161.0,,-159.0,,,,,,,,False,,False,,,
02188,139,21.0,,,,,6.5,,0.5,,,,-118.0,,,,,-132.5,,-138.5,,,,,,,,False,,False,,,
02195,4,0.0,,,,,0.2,,0.0,0.6,,,-4.0,,,,,-3.8,,-4.0,-3.4,,,,,,,True,,False,True,,
02198,10,21.0,,,,,3.9,,13.4,,,,11.0,,,,,-6.1,,3.4,,,,,,,,True,,True,,,
02220,17,28.0,,,,,2.3,,8.4,18.6,,,11.0,,,,,-14.7,,-8.6,1.6,,,,,,,False,,True,True,,
02230,1,0.0,,,,,,,0.0,,,,-1.0,,,,,,,-1.0,,,,,,,,,,False,,,
02240,26,0.0,,,,,0.6,,0.3,10.0,,,-26.0,,,,,-25.4,,-25.7,-16.0,,,,,,,True,,True,True,,
02261,27,28.0,,,,,5.5,,18.2,19.4,,,1.0,,,,,-21.5,,-8.8,-7.6,,,,,,,False,,False,False,,
02275,2,14.0,,,,,,,1.5,19.1,,,12.0,,,,,,,-0.5,17.1,,,,,,,,,True,False,,
02282,11,63.0,,,,,,,248.1,32.3,,,52.0,,,,,,,237.1,21.3,,,,,,,,,False,True,,
02290,27,35.0,,,,,9.6,,7.0,95.4,,,8.0,,,,,-17.4,,-20.0,68.4,,,,,,,False,,False,False,,
04001,462,273.0,,,,299.0,54.1,7.1,75.8,386.2,,,-189.0,,,,-163.0,-407.9,-454.9,-386.2,-75.8,,,,,,True,False,False,False,True,,
04003,214,168.0,,,,594.0,19.2,213.0,20.9,159.4,,,-46.0,,,,380.0,-194.8,-1.0,-193.1,-54.6,,,,,,False,False,True,False,False,,
04005,1400,525.0,,,,473.0,213.4,101.5,11.5,436.7,,,-875.0,,,,-927.0,-1186.6,-1298.5,-1388.5,-963.3,,,,,,False,False,False,False,False,,
04007,624,210.0,,,,142.0,71.4,37.0,92.8,105.3,,,-414.0,,,,-482.0,-552.6,-587.0,-531.2,-518.7,,,,,,False,False,False,False,False,,
04009,309,350.0,,,,171.0,64.4,0.0,211.6,179.2,,,41.0,,,,-138.0,-244.6,-309.0,-97.4,-129.8,,,,,,False,False,False,False,False,,
04011,18,7.0,,,,28.0,8.3,,4.7,10.4,,,-11.0,,,,10.0,-9.7,,-13.3,-7.6,,,,,,True,True,,False,True,,
04012,95,21.0,,,,97.0,0.8,0.0,5.0,29.8,,,-74.0,,,,2.0,-94.2,-95.0,-90.0,-65.2,,,,,,True,False,False,False,True,,
04013,15813,11928.0,,,,11059.0,8330.2,2221.7,656.3,9374.9,,,-3885.0,,,,-4754.0,-7482.8,-13591.3,-15156.7,-6438.1,,,,,,False,False,False,False,False,,
04015,590,791.0,,,,1231.0,208.5,212.2,231.1,597.4,,,201.0,,,,641.0,-381.5,-377.8,-358.9,7.4,,,,,,False,False,False,False,True,,
04017,553,644.0,,,,343.0,268.8,20.1,11.3,581.2,,,91.0,,,,-210.0,-284.2,-532.9,-541.7,28.2,,,,,,False,False,False,False,True,,
04019,5710,4809.0,,,,4198.0,1306.2,1851.2,2477.2,2702.8,,,-901.0,,,,-1512.0,-4403.8,-3858.8,-3232.8,-3007.2,,,,,,False,False,False,False,False,,
04021,1793,2555.0,,,,1693.0,1806.3,384.2,598.1,2721.5,,,762.0,,,,-100.0,13.3,-1408.8,-1194.9,928.5,,,,,,True,True,False,False,False,,
04023,226,0.0,,,,549.0,1.9,3.5,15.0,76.3,,,-226.0,,,,323.0,-224.1,-222.5,-211.0,-149.7,,,,,,False,True,True,True,True,,
04025,479,364.0,,,,887.0,207.3,385.0,216.3,327.1,,,-115.0,,,,408.0,-271.7,-94.0,-262.7,-151.9,,,,,,False,False,True,False,False,,
04027,978,1190.0,,,,1802.0,257.8,22.3,217.8,2081.5,,,212.0,,,,824.0,-720.2,-955.7,-760.2,1103.5,,,,,,False,False,False,False,False,,
05001,322,98.0,,,,212.0,41.3,43.8,39.5,126.8,,,-224.0,,,,-110.0,-280.7,-278.2,-282.5,-195.2,,,,,,True,False,False,False,True,,
05003,110,84.0,,,,203.0,12.7,0.2,13.3,187.8,,,-26.0,,,,93.0,-97.3,-109.8,-96.7,77.8,,,,,,False,False,False,False,False,,
05005,400,175.0,,,,236.0,37.1,192.6,18.2,63.7,,,-225.0,,,,-164.0,-362.9,-207.4,-381.8,-336.3,,,,,,True,False,True,False,False,,
05007,2245,1729.0,,,,2057.0,637.7,255.2,290.0,1021.1,,,-516.0,,,,-188.0,-1607.3,-1989.8,-1955.0,-1223.9,,,,,,True,False,False,False,False,,
05009,631,413.0,,,,360.0,955.6,251.8,0.0,462.9,,,-218.0,,,,-271.0,324.6,-379.2,-631.0,-168.1,,,,,,False,False,False,False,True,,
05011,66,266.0,,,,141.0,50.5,80.3,118.2,153.3,,,200.0,,,,75.0,-15.5,14.3,52.2,87.3,,,,,,True,True,True,True,True,,
05013,20,0.0,,,,26.0,,,1.7,,,,-20.0,,,,6.0,,,-18.3,,,,,,,True,,,True,,,
05015,465,210.0,,,,203.0,85.4,30.7,94.3,134.2,,,-255.0,,,,-262.0,-379.6,-434.3,-370.7,-330.8,,,,,,False,False,False,False,False,,
05017,71,161.0,,,,187.0,17.8,1.9,19.4,669.0,,,90.0,,,,116.0,-53.2,-69.1,-51.6,598.0,,,,,,False,True,True,True,False,,
05019,241,140.0,,,,212.0,21.2,80.7,3.1,60.9,,,-101.0,,,,-29.0,-219.8,-160.3,-237.9,-180.1,,,,,,True,False,False,False,False,,
05021,248,91.0,,,,152.0,74.9,95.2,145.0,99.2,,,-157.0,,,,-96.0,-173.1,-152.8,-103.0,-148.8,,,,,,True,False,True,True,True,,
05023,175,91.0,,,,251.0,30.5,108.8,4.6,32.5,,,-84.0,,,,76.0,-144.5,-66.2,-170.4,-142.5,,,,,,True,False,True,False,False,,
05025,67,56.0,,,,60.0,3.8,9.7,5.3,128.0,,,-11.0,,,,-7.0,-63.2,-57.3,-61.7,61.0,,,,,,True,False,False,False,False,,
05027,355,126.0,,,,266.0,20.9,74.4,18.3,81.4,,,-229.0,,,,-89.0,-334.1,-280.6,-336.7,-273.6,,,,,,True,False,False,False,False,,
05029,127,91.0,,,,328.0,23.3,117.2,4.8,46.4,,,-36.0,,,,201.0,-103.7,-9.8,-122.2,-80.6,,,,,,False,False,True,False,False,,
05031,2163,1078.0,,,,1383.0,390.2,450.6,948.5,697.8,,,-1085.0,,,,-780.0,-1772.8,-1712.4,-1214.5,-1465.2,,,,,,True,False,False,False,False,,
05033,945,581.0,,,,670.0,214.1,301.6,422.5,523.2,,,-364.0,,,,-275.0,-730.9,-643.4,-522.5,-421.8,,,,,,True,False,False,False,False,,
05035,541,504.0,,,,616.0,119.6,10.7,214.2,824.6,,,-37.0,,,,75.0,-421.4,-530.3,-326.8,283.6,,,,,,False,False,False,False,False,,
05037,269,196.0,,,,203.0,90.5,90.3,39.3,131.6,,,-73.0,,,,-66.0,-178.5,-178.7,-229.7,-137.4,,,,,,True,False,False,False,False,,
05039,66,189.0,,,,61.0,118.9,31.5,57.2,134.2,,,123.0,,,,-5.0,52.9,-34.5,-8.8,68.2,,,,,,True,True,True,True,True,,
05041,131,119.0,,,,144.0,39.0,0.0,43.5,78.1,,,-12.0,,,,13.0,-92.0,-131.0,-87.5,-52.9,,,,,,False,False,False,False,False,,
05043,99,42.0,,,,244.0,17.0,0.0,8.5,73.5,,,-57.0,,,,145.0,-82.0,-99.0,-90.5,-25.5,,,,,,False,False,False,False,True,,
05045,1464,1148.0,,,,1169.0,672.6,411.7,472.8,685.3,,,-316.0,,,,-295.0,-791.4,-1052.3,-991.2,-778.7,,,,,,True,False,False,False,False,,
05047,294,77.0,,,,211.0,21.6,85.0,15.8,98.7,,,-217.0,,,,-83.0,-272.4,-209.0,-278.2,-195.3,,,,,,True,False,True,False,True,,
05049,200,84.0,,,,54.0,17.4,,25.9,210.5,,,-116.0,,,,-146.0,-182.6,,-174.1,10.5,,,,,,False,False,,False,True,,
05051,832,784.0,,,,931.0,621.5,493.2,215.8,620.3,,,-48.0,,,,99.0,-210.5,-338.8,-616.2,-211.7,,,,,,False,False,False,False,False,,
05053,153,133.0,,,,113.0,133.6,122.1,40.9,72.8,,,-20.0,,,,-40.0,-19.4,-30.9,-112.1,-80.2,,,,,,False,True,False,False,False,,
05055,606,357.0,,,,455.0,258.2,227.5,105.5,361.6,,,-249.0,,,,-151.0,-347.8,-378.5,-500.5,-244.4,,,,,,True,False,False,False,True,,
05057,167,182.0,,,,185.0,60.2,107.6,23.0,154.7,,,15.0,,,,18.0,-106.8,-59.4,-144.0,-12.3,,,,,,False,False,False,False,True,,
05059,385,252.0,,,,361.0,120.3,12.5,372.2,98.7,,,-133.0,,,,-24.0,-264.7,-372.5,-12.8,-286.3,,,,,,True,False,False,True,False,,
05061,117,224.0,,,,125.0,53.8,1.5,83.2,158.8,,,107.0,,,,8.0,-63.2,-115.5,-33.8,41.8,,,,,,True,True,False,True,True,,
05063,610,553.0,,,,540.0,187.5,224.7,93.1,746.3,,,-57.0,,,,-70.0,-422.5,-385.3,-516.9,136.3,,,,,,False,False,False,False,False,,
05065,300,140.0,,,,117.0,46.5,43.2,143.9,119.9,,,-160.0,,,,-183.0,-253.5,-256.8,-156.1,-180.1,,,,,,False,False,False,True,False,,
05067,427,77.0,,,,189.0,7.0,59.9,181.3,134.2,,,-350.0,,,,-238.0,-420.0,-367.1,-245.7,-292.8,,,,,,True,False,False,True,True,,
05069,1839,1407.0,,,,742.0,1118.2,424.7,599.8,1106.4,,,-432.0,,,,-1097.0,-720.8,-1414.3,-1239.2,-732.6,,,,,,False,False,False,False,False,,
05071,184,133.0,,,,431.0,15.2,4.8,25.4,90.9,,,-51.0,,,,247.0,-168.8,-179.2,-158.6,-93.1,,,,,,False,False,False,False,False,,
05073,84,7.0,,,,46.0,9.6,,6.4,13.4,,,-77.0,,,,-38.0,-74.4,,-77.6,-70.6,,,,,,True,True,,False,True,,
05075,470,63.0,,,,151.0,1.4,83.3,4.0,39.0,,,-407.0,,,,-319.0,-468.6,-386.7,-466.0,-431.0,,,,,,True,False,True,False,False,,
05077,96,70.0,,,,135.0,5.1,3.0,0.4,333.9,,,-26.0,,,,39.0,-90.9,-93.0,-95.6,237.9,,,,,,False,False,False,False,False,,
05079,641,1372.0,,,,267.0,822.5,3.9,648.1,944.6,,,731.0,,,,-374.0,181.5,-637.1,7.1,303.6,,,,,,True,True,True,True,True,,
05081,137,154.0,,,,93.0,47.9,0.0,17.2,235.6,,,17.0,,,,-44.0,-89.1,-137.0,-119.8,98.6,,,,,,False,False,False,False,False,,
05083,177,105.0,,,,271.0,32.1,3.4,56.8,262.3,,,-72.0,,,,94.0,-144.9,-173.6,-120.2,85.3,,,,,,False,False,False,False,False,,
05085,808,441.0,,,,569.0,237.2,380.9,382.4,383.8,,,-367.0,,,,-239.0,-570.8,-427.1,-425.6,-424.2,,,,,,True,False,False,False,False,,
05087,113,63.0,,,,164.0,7.6,29.9,6.5,108.7,,,-50.0,,,,51.0,-105.4,-83.1,-106.5,-4.3,,,,,,False,False,False,False,True,,
05089,85,21.0,,,,84.0,9.4,,3.6,57.5,,,-64.0,,,,-1.0,-75.6,,-81.4,-27.5,,,,,,True,False,,False,True,,
05091,564,231.0,,,,352.0,55.7,81.9,20.7,126.3,,,-333.0,,,,-212.0,-508.3,-482.1,-543.3,-437.7,,,,,,True,False,False,False,False,,
05093,677,672.0,,,,673.0,440.3,7.0,100.1,507.3,,,-5.0,,,,-4.0,-236.7,-670.0,-576.9,-169.7,,,,,,True,False,False,False,False,,
05095,107,21.0,,,,43.0,30.8,,7.4,40.5,,,-86.0,,,,-64.0,-76.2,,-99.6,-66.5,,,,,,True,True,,False,True,,
05097,88,252.0,,,,67.0,15.4,,20.9,261.5,,,164.0,,,,-21.0,-72.6,,-67.2,173.5,,,,,,True,True,,True,False,,
05099,102,42.0,,,,70.0,1.8,9.3,38.1,47.0,,,-60.0,,,,-32.0,-100.2,-92.7,-63.9,-55.0,,,,,,True,False,False,False,True,,
05101,168,63.0,,,,76.0,16.5,9.1,0.0,68.0,,,-105.0,,,,-92.0,-151.5,-158.9,-168.0,-100.0,,,,,,True,False,False,False,True,,
05103,184,119.0,,,,202.0,111.3,108.1,103.9,144.2,,,-65.0,,,,18.0,-72.7,-75.9,-80.1,-39.8,,,,,,True,False,False,False,True,,
