,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha
Georgia,17215,16592.0,17298.6,14786.0,14487.0,,16508.6,12844.0,17323.4,7647.8,17704.0,12066.0,13223.3,14955.2,24378.3,14757.7,15295.6,13401.5,14279.1,15562.0,,10379.3,4258.9,14124.4,15304.5,13304.0,-623.0,83.6,-2429.0,-2728.0,,-706.4,-4371.0,108.4,-9567.2,489.0,-5149.0,-3991.7,-2259.8,7163.3,-2457.3,-1919.4,-3813.5,-2935.9,-1653.0,,-6835.7,-12956.1,-3090.6,-1910.5,-3911.0,True,False,False,,False,False,True,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Hawaii,1215,1432.0,1456.2,1218.0,1249.0,,1310.0,715.0,1047.0,772.9,,,1362.6,1341.3,1993.2,2029.4,1176.6,1179.5,1299.9,1296.0,,786.0,443.2,1227.8,1417.1,1321.0,217.0,241.2,3.0,34.0,,95.0,-500.0,-168.0,-442.1,,,147.6,126.3,778.2,814.4,-38.4,-35.5,84.9,81.0,,-429.0,-771.8,12.8,202.1,106.0,False,True,True,,True,False,True,False,,,True,True,False,False,True,True,True,True,,False,False,True,True,True
Idaho,8880,6812.0,6800.4,6569.0,7939.0,,6658.6,3083.0,9888.7,3686.7,6985.0,5319.0,8333.5,7949.8,7111.8,4632.1,4667.9,5006.4,6730.6,9937.0,,4323.5,2127.7,4941.5,7217.1,6721.0,-2068.0,-2079.6,-2311.0,-941.0,,-2221.4,-5797.0,1008.7,-5193.3,-1895.0,-3561.0,-546.5,-930.2,-1768.2,-4247.9,-4212.1,-3873.6,-2149.4,1057.0,,-4556.5,-6752.3,-3938.5,-1662.9,-2159.0,False,False,True,,False,False,True,False,True,False,True,True,True,False,False,False,False,True,,False,False,False,True,False
Illinois,40604,28018.0,28716.1,24996.0,28754.0,,25890.8,11194.0,28633.0,13935.0,29391.0,25218.0,33609.3,24996.7,29570.2,25838.0,23428.1,21998.2,26071.3,32394.0,,19549.1,41302.0,24573.1,23793.4,29168.0,-12586.0,-11887.9,-15608.0,-11850.0,,-14713.2,-29410.0,-11971.0,-26669.0,-11213.0,-15386.0,-6994.7,-15607.3,-11033.8,-14766.0,-17175.9,-18605.8,-14532.7,-8210.0,,-21054.9,698.0,-16030.9,-16810.6,-11436.0,True,False,True,,False,False,True,False,True,False,True,False,True,False,False,False,False,True,,False,True,False,False,True
Indiana,21918,15020.0,15138.8,14469.0,17723.0,,13874.6,9199.0,13681.2,7693.3,15861.0,12529.0,13590.4,13304.7,21476.6,15890.8,13072.8,14172.7,16565.6,18482.0,,18876.4,18867.0,12821.2,14431.9,18093.0,-6898.0,-6779.2,-7449.0,-4195.0,,-8043.4,-12719.0,-8236.8,-14224.7,-6057.0,-9389.0,-8327.6,-8613.3,-441.4,-6027.2,-8845.2,-7745.3,-5352.4,-3436.0,,-3041.6,-3051.0,-9096.8,-7486.1,-3825.0,True,False,True,,False,False,False,False,True,False,False,False,True,True,False,False,True,True,,True,True,False,False,True
Iowa,14397,12786.0,12738.1,11186.0,13528.0,,13375.4,10273.0,11174.0,6567.7,13413.0,10620.0,15488.9,13488.7,11577.5,7926.6,15031.6,8211.5,11094.3,15289.0,,7601.1,4237.7,11402.6,12161.6,13436.0,-1611.0,-1658.9,-3211.0,-869.0,,-1021.6,-4124.0,-3223.0,-7829.3,-984.0,-3777.0,1091.9,-908.3,-2819.5,-6470.4,634.6,-6185.5,-3302.7,892.0,,-6795.9,-10159.3,-2994.4,-2235.4,-961.0,False,False,True,,True,False,False,False,True,False,True,True,False,False,True,False,False,True,,False,False,False,False,True
Kansas,9298,8144.0,7855.4,7660.0,7081.0,,8518.5,7249.0,9279.6,4167.5,8052.0,8531.0,8069.1,9407.9,,7172.0,8684.9,5027.0,7196.7,9111.0,,4499.4,9036.7,7488.8,8108.5,6595.0,-1154.0,-1442.6,-1638.0,-2217.0,,-779.5,-2049.0,-18.4,-5130.5,-1246.0,-767.0,-1228.9,109.9,,-2126.0,-613.1,-4271.0,-2101.3,-187.0,,-4798.6,-261.3,-1809.2,-1189.5,-2703.0,False,False,False,,True,False,True,False,False,True,False,True,,False,True,False,False,True,,False,True,False,False,False
Kentucky,14796,11930.0,11751.1,11248.0,13777.0,,11114.9,9448.0,22703.0,6058.4,13366.0,11242.0,13033.4,11293.8,19560.7,9789.1,10083.7,10267.9,12814.4,15895.0,,9663.2,11487.7,9925.6,12098.4,13875.0,-2866.0,-3044.9,-3548.0,-1019.0,,-3681.1,-5348.0,7907.0,-8737.6,-1430.0,-3554.0,-1762.6,-3502.2,4764.7,-5006.9,-4712.3,-4528.1,-1981.6,1099.0,,-5132.8,-3308.3,-4870.4,-2697.6,-921.0,False,False,True,,False,False,False,False,True,False,True,False,False,False,False,False,True,True,,False,False,False,True,True
Louisiana,7237,6946.0,6986.5,6516.0,6876.0,,6506.3,3977.0,22783.2,3681.5,5379.0,5849.0,7638.7,6733.9,1335.0,7475.1,5860.1,6380.0,6680.4,6100.0,,7777.7,0.0,5239.8,9467.3,5058.0,-291.0,-250.5,-721.0,-361.0,,-730.7,-3260.0,15546.2,-3555.5,-1858.0,-1388.0,401.7,-503.1,-5902.0,238.1,-1376.9,-857.0,-556.6,-1137.0,,540.7,-7237.0,-1997.2,2230.3,-2179.0,True,False,False,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False
Maine,428,452.0,444.3,451.0,548.0,,456.4,334.0,447.3,227.2,426.0,341.0,441.6,486.5,406.2,852.2,505.8,419.1,480.9,483.0,,363.8,200.0,398.4,423.2,423.0,24.0,16.3,23.0,120.0,,28.4,-94.0,19.3,-200.8,-2.0,-87.0,13.6,58.5,-21.8,424.2,77.8,-8.9,52.9,55.0,,-64.2,-228.0,-29.6,-4.8,-5.0,True,True,False,,False,False,True,False,True,False,True,False,True,False,False,True,False,False,,False,False,False,True,True
Maryland,8308,7694.0,7728.1,7637.0,9216.0,,7254.9,1747.0,7600.8,3935.0,7720.0,6604.0,7210.5,6668.4,9366.2,12138.9,7556.0,6563.9,7823.7,8197.0,,6842.6,9085.8,7219.5,8484.2,8484.0,-614.0,-579.9,-671.0,908.0,,-1053.1,-6561.0,-707.2,-4373.0,-588.0,-1704.0,-1097.5,-1639.6,1058.2,3830.9,-752.0,-1744.1,-484.3,-111.0,,-1465.4,777.8,-1088.5,176.2,176.0,True,False,False,,False,False,False,False,True,False,False,False,False,False,False,False,True,True,,False,False,False,True,True
Massachusetts,8627,8506.0,8503.6,8506.0,10995.0,,8795.6,2619.0,9574.9,4833.6,6401.0,5726.0,10259.5,7389.2,10866.9,9878.5,8207.5,7770.2,9742.1,9524.0,,10636.4,4388.4,7614.9,6020.5,10059.0,-121.0,-123.4,-121.0,2368.0,,168.6,-6008.0,947.9,-3793.4,-2226.0,-2901.0,1632.5,-1237.8,2239.9,1251.5,-419.5,-856.8,1115.1,897.0,,2009.4,-4238.6,-1012.1,-2606.5,1432.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Michigan,19834,13796.0,13715.2,13340.0,16650.0,,13275.9,2986.0,12507.1,7170.9,13555.0,16934.0,16268.0,13031.0,17724.2,20936.9,12320.8,7651.1,12582.3,17720.0,,4201.3,18932.2,13896.4,9075.3,14771.0,-6038.0,-6118.8,-6494.0,-3184.0,,-6558.1,-16848.0,-7326.9,-12663.1,-6279.0,-2900.0,-3566.0,-6803.0,-2109.8,1102.9,-7513.2,-12182.9,-7251.7,-2114.0,,-15632.7,-901.8,-5937.6,-10758.7,-5063.0,False,False,True,,False,False,False,False,False,True,True,False,True,True,False,False,False,True,,False,True,True,False,True
Minnesota,18303,14256.0,14438.7,13043.0,16102.0,,12837.3,6928.0,13386.2,7222.1,15227.0,17189.0,17172.4,13009.8,20982.8,10175.3,12332.1,13342.4,14464.4,18942.0,,11741.6,13380.9,12431.1,14493.4,15972.0,-4047.0,-3864.3,-5260.0,-2201.0,,-5465.7,-11375.0,-4916.8,-11080.9,-3076.0,-1114.0,-1130.6,-5293.2,2679.8,-8127.7,-5970.9,-4960.6,-3838.6,639.0,,-6561.4,-4922.1,-5871.9,-3809.6,-2331.0,True,False,True,,False,False,False,False,True,True,True,False,True,False,False,False,True,True,,False,False,False,True,True
Mississippi,9839,6980.0,6887.9,6621.0,7434.0,,6903.4,3498.0,6897.6,3309.5,7512.0,5987.0,8977.5,7099.3,9463.7,4038.6,4151.1,5725.4,6952.1,8362.0,,4472.8,0.0,5724.9,7648.2,7178.0,-2859.0,-2951.1,-3218.0,-2405.0,,-2935.6,-6341.0,-2941.4,-6529.5,-2327.0,-3852.0,-861.5,-2739.7,-375.3,-5800.4,-5687.9,-4113.6,-2886.9,-1477.0,,-5366.2,-9839.0,-4114.1,-2190.8,-2661.0,False,False,True,,False,False,False,False,True,False,True,True,True,False,False,False,False,True,,False,False,False,True,True
Missouri,24478,18248.0,18247.2,18327.0,20680.0,,19660.8,18026.0,20598.8,6359.3,19792.0,17911.0,20687.7,17153.2,27256.4,14131.9,19408.3,55988.6,16084.4,22050.0,,21720.2,17597.5,12963.5,20810.5,16833.0,-6230.0,-6230.8,-6151.0,-3798.0,,-4817.2,-6452.0,-3879.2,-18118.7,-4686.0,-6567.0,-3790.3,-7324.8,2778.4,-10346.1,-5069.7,31510.6,-8393.6,-2428.0,,-2757.8,-6880.5,-11514.5,-3667.5,-7645.0,False,True,True,,True,False,True,False,True,False,True,False,True,False,True,False,False,True,,True,False,False,True,False
Montana,7869,4898.0,4893.2,4825.0,5123.0,,4828.8,2858.0,3688.9,2768.4,4873.0,5797.0,6250.7,6283.5,8078.6,1639.2,4889.1,4636.5,5459.0,6922.0,,3620.9,6322.8,3463.0,6852.8,6048.0,-2971.0,-2975.8,-3044.0,-2746.0,,-3040.2,-5011.0,-4180.1,-5100.6,-2996.0,-2072.0,-1618.3,-1585.5,209.6,-6229.8,-2979.9,-3232.5,-2410.0,-947.0,,-4248.1,-1546.2,-4406.0,-1016.2,-1821.0,False,False,True,,False,False,False,False,False,True,True,True,True,False,False,False,True,True,,False,True,False,True,True
Nebraska,9929,7614.0,7688.3,7078.0,7134.0,,7044.4,4442.0,6990.4,3800.1,7260.0,5612.0,6959.5,7992.1,7527.0,6076.1,6259.7,5927.8,7422.2,10020.0,,6293.8,3748.4,7483.2,6602.6,7575.0,-2315.0,-2240.7,-2851.0,-2795.0,,-2884.6,-5487.0,-2938.6,-6128.9,-2669.0,-4317.0,-2969.5,-1936.9,-2402.0,-3852.9,-3669.3,-4001.2,-2506.8,91.0,,-3635.2,-6180.6,-2445.8,-3326.4,-2354.0,True,False,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,False,False,False,False
Nevada,7944,6706.0,6827.3,6326.0,6736.0,,6325.7,2106.0,6065.6,3507.7,6755.0,4135.0,7523.1,6284.9,8703.1,4100.2,5116.0,5485.6,6913.5,9575.0,,6999.0,0.0,5364.9,8680.1,7411.0,-1238.0,-1116.7,-1618.0,-1208.0,,-1618.3,-5838.0,-1878.4,-4436.3,-1189.0,-3809.0,-420.9,-1659.1,759.1,-3843.8,-2828.0,-2458.4,-1030.5,1631.0,,-945.0,-7944.0,-2579.1,736.1,-533.0,True,False,True,,False,False,False,False,True,False,True,False,True,False,False,False,True,False,,True,False,False,True,True
New Hampshire,1028,952.0,975.4,792.0,889.0,,703.0,118.0,736.2,456.1,828.0,466.0,643.7,855.7,1420.8,1314.8,986.1,862.5,789.3,1236.0,,611.8,40.3,829.6,792.8,1288.0,-76.0,-52.6,-236.0,-139.0,,-325.0,-910.0,-291.8,-571.9,-200.0,-562.0,-384.3,-172.3,392.8,286.8,-41.9,-165.5,-238.7,208.0,,-416.2,-987.7,-198.4,-235.2,260.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False
New Jersey,11162,9452.0,9433.8,9434.0,12416.0,,8181.2,3827.0,9504.1,5795.8,5502.0,7973.0,9756.7,7282.7,13784.8,21300.2,9889.1,8182.6,10774.6,9713.0,,8969.1,1453.1,8669.1,7276.5,11974.0,-1710.0,-1728.2,-1728.0,1254.0,,-2980.8,-7335.0,-1657.9,-5366.2,-5660.0,-3189.0,-1405.3,-3879.3,2622.8,10138.2,-1272.9,-2979.4,-387.4,-1449.0,,-2192.9,-9708.9,-2492.9,-3885.5,812.0,False,False,True,,False,False,True,False,False,False,True,False,False,False,True,False,True,True,,False,False,False,False,True
New Mexico,6047,3208.0,3241.8,3058.0,4140.0,,3034.2,872.0,2758.1,1996.7,3260.0,2791.0,3857.5,3212.5,5535.6,2979.7,1907.4,2919.3,3847.0,4711.0,,2353.7,3109.5,2868.8,3496.8,3649.0,-2839.0,-2805.2,-2989.0,-1907.0,,-3012.8,-5175.0,-3288.9,-4050.3,-2787.0,-3256.0,-2189.5,-2834.5,-511.4,-3067.3,-4139.6,-3127.7,-2200.0,-1336.0,,-3693.3,-2937.5,-3178.2,-2550.2,-2398.0,True,False,True,,False,False,False,False,True,False,True,True,True,False,False,False,True,True,,False,False,False,True,True
New York,19531,17200.0,17773.9,17644.0,24076.0,,17570.5,4536.0,17225.4,8804.4,9571.0,7840.0,14985.9,13315.6,27281.1,29348.2,23851.0,15548.8,21108.5,16951.0,,21967.9,7589.6,16511.2,12189.4,20588.0,-2331.0,-1757.1,-1887.0,4545.0,,-1960.5,-14995.0,-2305.6,-10726.6,-9960.0,-11691.0,-4545.1,-6215.4,7750.1,9817.2,4320.0,-3982.2,1577.5,-2580.0,,2436.9,-11941.4,-3019.8,-7341.6,1057.0,True,True,False,,True,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,True
North Carolina,26839,18224.0,17992.8,17011.0,26269.0,,18190.0,12336.0,13904.0,10373.8,25054.0,17929.0,20453.4,16524.2,,19161.4,14792.1,13945.0,18151.9,22896.0,,12944.8,11752.2,15031.9,22604.4,18201.0,-8615.0,-8846.2,-9828.0,-570.0,,-8649.0,-14503.0,-12935.0,-16465.2,-1785.0,-8910.0,-6385.6,-10314.8,,-7677.6,-12046.9,-12894.0,-8687.1,-3943.0,,-13894.2,-15086.8,-11807.1,-4234.6,-8638.0,False,False,True,,False,False,False,False,True,False,True,False,,True,False,False,False,True,,False,False,False,True,False
North Dakota,8127,5508.0,5562.7,5470.0,4715.0,,5544.2,4558.0,6009.9,2698.9,6504.0,5218.0,6644.1,6618.3,6993.6,2303.6,7973.9,5260.0,5538.1,6558.0,,4645.8,4954.3,4885.0,7139.7,5871.0,-2619.0,-2564.3,-2657.0,-3412.0,,-2582.8,-3569.0,-2117.1,-5428.1,-1623.0,-2909.0,-1482.9,-1508.7,-1133.4,-5823.4,-153.1,-2867.0,-2588.9,-1569.0,,-3481.2,-3172.7,-3242.0,-987.3,-2256.0,True,False,False,,True,False,True,False,True,False,True,True,True,False,True,False,True,True,,False,False,False,True,True
Ohio,22259,15914.0,16152.8,15695.0,19280.0,,13769.9,11829.0,15779.4,8097.3,16200.0,13356.0,15869.7,15734.2,16865.2,22720.8,12451.5,12716.0,16585.2,18726.0,,14422.0,7145.9,14070.9,16015.1,17503.0,-6345.0,-6106.2,-6564.0,-2979.0,,-8489.1,-10430.0,-6479.6,-14161.7,-6059.0,-8903.0,-6389.3,-6524.8,-5393.8,461.8,-9807.5,-9543.0,-5673.8,-3533.0,,-7837.0,-15113.1,-8188.1,-6243.9,-4756.0,True,False,True,,False,False,False,False,True,False,False,False,True,True,False,False,True,True,,False,False,False,True,True
Oklahoma,15720,14476.0,14814.6,13208.0,15089.0,,15400.8,11987.0,12053.5,7113.9,15716.0,13208.0,16718.1,14797.6,18155.8,11406.8,17342.1,6812.3,11706.6,17341.0,,2864.8,10712.8,9784.6,15346.1,12687.0,-1244.0,-905.4,-2512.0,-631.0,,-319.2,-3733.0,-3666.5,-8606.1,-4.0,-2512.0,998.1,-922.4,2435.8,-4313.2,1622.1,-8907.7,-4013.4,1621.0,,-12855.2,-5007.2,-5935.4,-373.9,-3033.0,True,False,True,,True,False,False,False,True,False,True,True,False,False,False,False,False,False,,False,False,False,True,False
Oregon,4804,3860.0,3784.1,3855.0,4038.0,,3943.4,2347.0,3662.7,1919.8,4026.0,3556.0,4619.0,4140.6,5483.7,6747.7,3517.1,3410.9,4294.7,5333.0,,3072.3,1679.1,2696.2,4060.3,3839.0,-944.0,-1019.9,-949.0,-766.0,,-860.6,-2457.0,-1141.3,-2884.2,-778.0,-1248.0,-185.0,-663.4,679.7,1943.7,-1286.9,-1393.1,-509.3,529.0,,-1731.7,-3124.9,-2107.8,-743.7,-965.0,False,False,True,,True,False,False,False,True,False,True,True,True,False,False,False,True,True,,False,False,False,True,False
Pennsylvania,19430,12610.0,12488.5,12918.0,13970.0,,12909.1,3103.0,16484.0,6677.6,10845.0,9752.0,13182.9,14157.9,,20955.6,10381.9,13374.3,17014.1,13236.0,,17839.8,13264.8,13111.4,11423.6,13058.0,-6820.0,-6941.5,-6512.0,-5460.0,,-6520.9,-16327.0,-2946.0,-12752.4,-8585.0,-9678.0,-6247.1,-5272.1,,1525.6,-9048.1,-6055.7,-2415.9,-6194.0,,-1590.2,-6165.2,-6318.6,-8006.4,-6372.0,False,True,True,,True,False,True,False,False,False,True,True,,True,False,True,True,True,,True,True,True,False,True
Rhode Island,2615,1790.0,1832.2,1517.0,1499.0,,1544.2,318.0,3918.2,869.1,1297.0,1992.0,2106.6,1855.3,,2242.0,1730.7,1011.4,1412.0,1724.0,,223.2,2112.4,1662.5,1404.3,1451.0,-825.0,-782.8,-1098.0,-1116.0,,-1070.8,-2297.0,1303.2,-1745.9,-1318.0,-623.0,-508.4,-759.7,,-373.0,-884.3,-1603.6,-1203.0,-891.0,,-2391.8,-502.6,-952.5,-1210.7,-1164.0,True,False,False,,False,False,False,False,False,True,True,True,,True,False,False,False,False,,False,True,False,False,False
