,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,70,73.0,82.4,,66.0,51.0,,,,,,151.2,,,49.0,,66.0,36.1,,41.0,65.5,,59.0,134.0,,,,75.6,,,,65.0,88.6,,3.0,12.4,,-4.0,-19.0,,,,,,81.2,,,-21.0,,-4.0,-33.9,,-29.0,-4.5,,-11.0,64.0,,,,5.6,,,,-5.0,18.6,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,,False,False,,,,False,,,,False,False,
01023,10,14.0,13.5,,12.0,7.0,,,,,,38.3,,,16.0,,13.3,5.7,,3.6,9.9,,9.0,39.0,,,,,,,,20.0,7.8,,4.0,3.5,,2.0,-3.0,,,,,,28.3,,,6.0,,3.3,-4.3,,-6.4,-0.1,,-1.0,29.0,,,,,,,,10.0,-2.2,,True,,True,True,,,,,,False,,,False,,True,False,,False,True,,True,False,,,,,,,,False,True,
01025,43,73.0,61.2,,50.0,53.0,,,,,,48.3,,,43.0,,63.8,10.9,,41.9,49.8,,81.0,174.0,,,,72.0,,,,58.0,31.4,,30.0,18.2,,7.0,10.0,,,,,,5.3,,,0.0,,20.8,-32.1,,-1.1,6.8,,38.0,131.0,,,,29.0,,,,15.0,-11.6,,True,,True,True,,,,,,True,,,True,,True,False,,True,True,,False,False,,,,True,,,,True,True,
01027,57,33.0,27.3,,30.0,31.0,,,,,,36.0,,,12.0,,30.0,11.1,,21.1,30.5,,31.0,91.0,,,,,,,,29.0,37.6,,-24.0,-29.7,,-27.0,-26.0,,,,,,-21.0,,,-45.0,,-27.0,-45.9,,-35.9,-26.5,,-26.0,34.0,,,,,,,,-28.0,-19.4,,False,,False,False,,,,,,True,,,False,,False,False,,False,False,,False,False,,,,,,,,False,True,
01029,52,43.0,41.3,,32.0,33.0,,,,,,48.0,,,17.0,,32.5,11.0,,18.2,29.8,,41.0,34.0,,,,,,,,17.0,32.2,,-9.0,-10.7,,-20.0,-19.0,,,,,,-4.0,,,-35.0,,-19.5,-41.0,,-33.8,-22.2,,-11.0,-18.0,,,,,,,,-35.0,-19.8,,False,,False,False,,,,,,True,,,False,,False,False,,False,False,,False,False,,,,,,,,False,False,
01031,97,69.0,120.8,,64.0,90.0,,,,,,57.1,,,49.0,,74.8,51.5,,43.5,63.6,,87.0,253.0,,,,60.3,,,,107.0,75.9,,-28.0,23.8,,-33.0,-7.0,,,,,,-39.9,,,-48.0,,-22.2,-45.5,,-53.5,-33.4,,-10.0,156.0,,,,-36.7,,,,10.0,-21.1,,True,,False,True,,,,,,False,,,False,,True,False,,False,False,,True,False,,,,False,,,,True,True,
01033,77,82.0,88.0,,78.0,90.0,,,,,,68.5,,,81.0,,69.4,30.9,,50.8,78.4,,97.0,108.0,,,,81.4,,,,77.0,42.2,,5.0,11.0,,1.0,13.0,,,,,,-8.5,,,4.0,,-7.6,-46.1,,-26.2,1.4,,20.0,31.0,,,,4.4,,,,0.0,-34.8,,False,,True,False,,,,,,False,,,True,,False,False,,False,True,,False,False,,,,True,,,,True,False,
01035,8,7.0,10.1,,7.0,0.0,,,,,,25.9,,,11.0,,6.6,4.2,,1.3,6.2,0.0,4.0,26.0,,,,,,,,4.0,16.6,,-1.0,2.1,,-1.0,-8.0,,,,,,17.9,,,3.0,,-1.4,-3.8,,-6.7,-1.8,-8.0,-4.0,18.0,,,,,,,,-4.0,8.6,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01037,9,8.0,8.5,,6.0,0.0,,,,,,36.0,,,6.0,,9.5,5.8,,2.0,5.6,0.0,5.0,34.0,,,,,,,,11.0,11.6,,-1.0,-0.5,,-3.0,-9.0,,,,,,27.0,,,-3.0,,0.5,-3.2,,-7.0,-3.4,-9.0,-4.0,25.0,,,,,,,,2.0,2.6,,True,,False,False,,,,,,False,,,False,,True,False,,False,False,False,False,False,,,,,,,,False,False,
01039,84,64.0,54.1,,63.0,76.0,,,,,,61.3,,,47.0,,78.5,37.5,,68.5,84.4,0.1,81.0,225.0,,,,53.6,,,,87.0,99.3,,-20.0,-29.9,,-21.0,-8.0,,,,,,-22.7,,,-37.0,,-5.5,-46.5,,-15.5,0.4,-83.9,-3.0,141.0,,,,-30.4,,,,3.0,15.3,,False,,False,True,,,,,,False,,,False,,True,False,,True,True,False,True,False,,,,False,,,,True,True,
01041,20,16.0,34.4,,14.0,0.0,,,,,,30.7,,,13.0,,13.7,8.6,,11.3,18.6,0.0,8.0,36.0,,,,,,,,9.0,18.7,8.6,-4.0,14.4,,-6.0,-20.0,,,,,,10.7,,,-7.0,,-6.3,-11.4,,-8.7,-1.4,-20.0,-12.0,16.0,,,,,,,,-11.0,-1.3,-11.4,False,,False,False,,,,,,False,,,False,,False,False,,False,True,False,False,False,,,,,,,,False,True,False
01043,193,90.0,131.0,,83.0,95.0,,,,,,102.5,,,129.0,,83.5,41.8,,57.0,80.6,44.9,90.0,224.0,,,,82.9,,,,92.0,71.8,,-103.0,-62.0,,-110.0,-98.0,,,,,,-90.5,,,-64.0,,-109.5,-151.2,,-136.0,-112.4,-148.1,-103.0,31.0,,,,-110.1,,,,-101.0,-121.2,,True,,False,True,,,,,,True,,,True,,False,False,,False,False,False,False,True,,,,False,,,,True,False,
01045,72,38.0,82.8,,38.0,107.0,,,,,,72.1,,,43.0,,37.6,33.8,,18.5,37.9,0.1,,128.0,,,,37.5,,,,102.0,51.8,,-34.0,10.8,,-34.0,35.0,,,,,,0.1,,,-29.0,,-34.4,-38.2,,-53.5,-34.1,-71.9,,56.0,,,,-34.5,,,,30.0,-20.2,,True,,False,False,,,,,,True,,,True,,False,False,,False,False,False,,False,,,,False,,,,True,True,
01047,16,23.0,38.9,,22.0,16.0,,,,,,57.3,,,37.0,,23.5,14.0,,9.1,21.8,0.1,17.0,82.0,,,,21.3,,,,19.0,76.6,,7.0,22.9,,6.0,0.0,,,,,,41.3,,,21.0,,7.5,-2.0,,-6.9,5.8,-15.9,1.0,66.0,,,,5.3,,,,3.0,60.6,,False,,True,True,,,,,,False,,,False,,False,True,,True,True,False,True,False,,,,True,,,,True,False,
01049,291,242.0,245.7,,209.0,371.0,,,,,,117.0,,,131.0,,235.4,41.9,,212.8,204.3,9.3,295.0,497.0,,,,220.9,,,,310.0,88.6,,-49.0,-45.3,,-82.0,80.0,,,,,,-174.0,,,-160.0,,-55.6,-249.1,,-78.2,-86.7,-281.7,4.0,206.0,,,,-70.1,,,,19.0,-202.4,,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,False,,,,True,False,
01051,132,128.0,121.2,,110.0,152.0,,,,,,233.1,,,57.0,,118.7,44.4,,97.9,106.0,2.6,143.0,159.0,,,,115.0,,,,125.0,98.0,,-4.0,-10.8,,-22.0,20.0,,,,,,101.1,,,-75.0,,-13.3,-87.6,,-34.1,-26.0,-129.4,11.0,27.0,,,,-17.0,,,,-7.0,-34.0,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,False,
01053,23,34.0,36.9,,31.0,0.0,,,,,,44.3,,,57.0,,39.8,23.8,,15.1,25.9,0.1,38.0,85.0,,,,27.9,,,,49.0,67.6,,11.0,13.9,,8.0,-23.0,,,,,,21.3,,,34.0,,16.8,0.8,,-7.9,2.9,-22.9,15.0,62.0,,,,4.9,,,,26.0,44.6,,False,,True,False,,,,,,False,,,False,,False,True,,True,True,False,False,False,,,,True,,,,False,False,
01055,197,100.0,78.2,,97.0,87.0,,,,,,144.4,,,163.0,,98.0,83.2,,95.4,117.5,2.3,100.0,173.0,,,,90.7,,,,108.0,172.0,,-97.0,-118.8,,-100.0,-110.0,,,,,,-52.6,,,-34.0,,-99.0,-113.8,,-101.6,-79.5,-194.7,-97.0,-24.0,,,,-106.3,,,,-89.0,-25.0,,False,,False,False,,,,,,True,,,True,,False,False,,False,True,False,False,True,,,,False,,,,True,True,
01057,28,21.0,30.3,,21.0,19.0,,,,,,34.0,,,20.0,,12.8,12.5,,23.5,32.0,0.1,13.0,27.0,,,,,,,,7.0,26.2,,-7.0,2.3,,-7.0,-9.0,,,,,,6.0,,,-8.0,,-15.2,-15.5,,-4.5,4.0,-27.9,-15.0,-1.0,,,,,,,,-21.0,-1.8,,True,,False,False,,,,,,True,,,False,,False,False,,True,True,False,False,True,,,,,,,,False,True,
01059,90,50.0,56.0,,43.0,35.0,,,,,,71.4,,,58.0,,38.9,18.4,,22.6,43.7,3.5,63.0,3.0,,,,45.0,,,,56.0,41.7,,-40.0,-34.0,,-47.0,-55.0,,,,,,-18.6,,,-32.0,,-51.1,-71.6,,-67.4,-46.3,-86.5,-27.0,-87.0,,,,-45.0,,,,-34.0,-48.3,,True,,False,False,,,,,,True,,,True,,False,False,,False,False,False,True,False,,,,False,,,,True,False,
01061,37,55.0,58.7,,45.0,100.0,,,,,,47.0,,,29.0,,72.4,31.2,,33.1,45.2,0.0,102.0,203.0,,,,,,,,104.0,34.0,,18.0,21.7,,8.0,63.0,,,,,,10.0,,,-8.0,,35.4,-5.8,,-3.9,8.2,-37.0,65.0,166.0,,,,,,,,67.0,-3.0,,False,,True,False,,,,,,True,,,True,,False,True,,True,True,False,False,False,,,,,,,,False,True,
01063,8,19.0,17.3,,6.0,0.0,,,,,,32.7,,,6.0,,18.7,2.9,,5.4,7.9,0.0,7.0,44.0,,,,,,,,27.0,5.2,,11.0,9.3,,-2.0,-8.0,,,,,,24.7,,,-2.0,,10.7,-5.1,,-2.6,-0.1,-8.0,-1.0,36.0,,,,,,,,19.0,-2.8,,True,,True,True,,,,,,False,,,True,,True,True,,True,True,True,True,False,,,,,,,,False,True,
01065,38,31.0,32.4,,21.0,11.0,,,,,,33.8,,,18.0,,32.1,9.2,,13.2,23.3,0.3,32.0,67.0,,,,,,,,34.0,20.5,,-7.0,-5.6,,-17.0,-27.0,,,,,,-4.2,,,-20.0,,-5.9,-28.8,,-24.8,-14.7,-37.7,-6.0,29.0,,,,,,,,-4.0,-17.5,,True,,False,False,,,,,,True,,,False,,True,False,,False,False,False,True,False,,,,,,,,True,False,
01067,33,36.0,44.9,,26.0,26.0,,,,,,36.1,,,14.0,,43.2,14.2,,15.4,26.9,0.0,58.0,154.0,,,,,,,,68.0,24.3,,3.0,11.9,,-7.0,-7.0,,,,,,3.1,,,-19.0,,10.2,-18.9,,-17.6,-6.1,-33.0,25.0,121.0,,,,,,,,35.0,-8.7,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01069,136,151.0,189.0,,134.0,257.0,,,,,,224.9,,,93.0,,206.6,102.6,,78.7,107.1,0.5,,902.0,,,,134.2,,,,507.0,176.0,,15.0,53.0,,-2.0,121.0,,,,,,88.9,,,-43.0,,70.6,-33.4,,-57.3,-28.9,-135.5,,766.0,,,,-1.8,,,,371.0,40.0,,False,,True,False,,,,,,False,,,False,,False,False,,False,False,False,,False,,,,True,,,,False,False,
01071,164,129.0,134.6,,115.0,146.0,,,,,,67.7,,,106.0,,120.7,35.7,,119.0,119.7,0.7,167.0,225.0,,,,111.7,,,,141.0,58.9,,-35.0,-29.4,,-49.0,-18.0,,,,,,-96.3,,,-58.0,,-43.3,-128.3,,-45.0,-44.3,-163.3,3.0,61.0,,,,-52.3,,,,-23.0,-105.1,,True,,False,True,,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,False,,,,True,False,
01073,881,751.0,582.5,728.3,673.0,772.0,,,,,,986.5,,,598.0,,632.7,417.0,,676.8,733.7,94.6,786.0,1694.0,,,,667.3,602.0,,,632.0,744.2,,-130.0,-298.5,-152.7,-208.0,-109.0,,,,,,105.5,,,-283.0,,-248.3,-464.0,,-204.2,-147.3,-786.4,-95.0,813.0,,,,-213.7,-279.0,,,-249.0,-136.8,,False,False,False,True,,,,,,True,,,False,,False,False,,False,False,False,True,False,,,,False,False,,,False,False,
01075,33,16.0,14.8,,16.0,8.0,,,,,,36.8,,,18.0,,12.0,7.6,,15.7,24.9,0.1,19.0,4.0,,,,,,,,11.0,21.1,,-17.0,-18.2,,-17.0,-25.0,,,,,,3.8,,,-15.0,,-21.0,-25.4,,-17.3,-8.1,-32.9,-14.0,-29.0,,,,,,,,-22.0,-11.9,,False,,False,False,,,,,,True,,,True,,False,False,,False,True,False,True,False,,,,,,,,False,True,
01077,130,107.0,106.9,,100.0,125.0,,,,,,110.6,,,132.0,,98.5,41.2,,58.7,93.7,54.5,122.0,152.0,,,,102.5,,,,106.0,33.1,,-23.0,-23.1,,-30.0,-5.0,,,,,,-19.4,,,2.0,,-31.5,-88.8,,-71.3,-36.3,-75.5,-8.0,22.0,,,,-27.5,,,,-24.0,-96.9,,False,,False,True,,,,,,True,,,True,,False,False,,False,False,False,True,True,,,,False,,,,False,False,
01079,71,59.0,59.7,,46.0,45.0,,,,,,146.2,,,46.0,,52.5,20.9,,34.2,49.8,27.7,68.0,128.0,,,,,,,,33.0,31.3,,-12.0,-11.3,,-25.0,-26.0,,,,,,75.2,,,-25.0,,-18.5,-50.1,,-36.8,-21.2,-43.3,-3.0,57.0,,,,,,,,-38.0,-39.7,,True,,False,False,,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,,,,,False,False,
01081,158,164.0,213.1,,164.0,215.0,,,,,,912.6,,,132.0,,167.8,153.9,,113.8,167.2,1.6,140.0,217.0,,,,163.4,82.0,,,171.0,368.2,,6.0,55.1,,6.0,57.0,,,,,,754.6,,,-26.0,,9.8,-4.1,,-44.2,9.2,-156.4,-18.0,59.0,,,,5.4,-76.0,,,13.0,210.2,,False,,False,False,,,,,,False,,,False,,False,True,,False,False,False,False,False,,,,True,False,,,False,False,
01083,176,249.0,249.4,,205.0,255.0,,,,,,142.6,,,131.0,,235.8,45.0,,201.2,208.0,151.5,295.0,405.0,,,,213.3,,,,261.0,84.5,,73.0,73.4,,29.0,79.0,,,,,,-33.4,,,-45.0,,59.8,-131.0,,25.2,32.0,-24.5,119.0,229.0,,,,37.3,,,,85.0,-91.5,,False,,True,False,,,,,,True,,,True,,True,False,,True,True,True,False,False,,,,True,,,,False,False,
01085,17,17.0,6.5,,7.0,0.0,,,,,,35.4,,,6.0,,13.8,3.1,,7.3,14.2,0.0,8.0,29.0,,,,,,,,0.0,7.8,,0.0,-10.5,,-10.0,-17.0,,,,,,18.4,,,-11.0,,-3.2,-13.9,,-9.7,-2.8,-17.0,-9.0,12.0,,,,,,,,-17.0,-9.2,,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,False,
01087,16,21.0,14.1,,13.0,7.0,,,,,,41.3,,,7.0,,18.0,7.1,,8.4,15.7,0.0,25.0,33.0,,,,,,,,23.0,13.1,4.0,5.0,-1.9,,-3.0,-9.0,,,,,,25.3,,,-9.0,,2.0,-8.9,,-7.6,-0.3,-16.0,9.0,17.0,,,,,,,,7.0,-2.9,-12.0,True,,True,False,,,,,,False,,,False,,True,False,,False,True,False,False,False,,,,,,,,False,True,False
01089,412,301.0,272.6,330.2,301.0,301.0,,,,,,326.2,,,350.0,,274.7,227.2,,300.4,362.6,64.8,279.0,375.0,,,,256.9,270.0,,,287.0,325.2,,-111.0,-139.4,-81.8,-111.0,-111.0,,,,,,-85.8,,,-62.0,,-137.3,-184.8,,-111.6,-49.4,-347.2,-133.0,-37.0,,,,-155.1,-142.0,,,-125.0,-86.8,,False,True,False,False,,,,,,True,,,True,,False,False,,False,True,False,False,True,,,,False,False,,,False,True,
01091,85,135.0,150.4,,47.0,3.0,,,,,,68.6,,,28.0,,114.3,8.0,,106.8,47.3,19.2,118.0,292.0,,,,,,,,105.0,24.9,,50.0,65.4,,-38.0,-82.0,,,,,,-16.4,,,-57.0,,29.3,-77.0,,21.8,-37.7,-65.8,33.0,207.0,,,,,,,,20.0,-60.1,,False,,True,False,,,,,,True,,,False,,True,False,,True,True,False,True,False,,,,,,,,True,False,
01093,25,28.0,19.7,,23.0,23.0,,,,,,56.6,,,38.0,,29.3,18.2,,8.7,20.7,0.1,24.0,43.0,,,,,,,,37.0,41.9,,3.0,-5.3,,-2.0,-2.0,,,,,,31.6,,,13.0,,4.3,-6.8,,-16.3,-4.3,-24.9,-1.0,18.0,,,,,,,,12.0,16.9,,False,,True,True,,,,,,False,,,False,,False,False,,False,False,False,True,False,,,,,,,,False,False,
01095,103,112.0,113.0,,103.0,123.0,,,,,,116.5,,,159.0,,104.2,59.0,,92.6,98.8,3.9,120.0,308.0,,,,102.4,,,,106.0,85.5,,9.0,10.0,,0.0,20.0,,,,,,13.5,,,56.0,,1.2,-44.0,,-10.4,-4.2,-99.1,17.0,205.0,,,,-0.6,,,,3.0,-17.5,,False,,True,False,,,,,,False,,,False,,True,False,,False,True,False,False,False,,,,True,,,,True,False,
01097,325,228.0,236.4,216.6,226.0,225.0,,,,,,266.2,,,532.0,,193.0,200.0,,193.2,230.4,8.9,207.0,394.0,,,,225.2,213.0,,,177.0,245.8,,-97.0,-88.6,-108.4,-99.0,-100.0,,,,,,-58.8,,,207.0,,-132.0,-125.0,,-131.8,-94.6,-316.1,-118.0,69.0,,,,-99.8,-112.0,,,-148.0,-79.2,,True,False,False,False,,,,,,True,,,False,,False,False,,False,True,False,False,True,,,,False,False,,,False,True,
01099,17,13.0,0.0,,11.0,0.0,,,,,,36.6,,,23.0,,12.7,5.9,,2.6,10.9,0.0,6.0,46.0,,,,,,,,12.0,14.0,0.9,-4.0,-17.0,,-6.0,-17.0,,,,,,19.6,,,6.0,,-4.3,-11.1,,-14.4,-6.1,-17.0,-11.0,29.0,,,,,,,,-5.0,-3.0,-16.1,False,,False,False,,,,,,False,,,False,,False,False,,False,False,False,False,False,,,,,,,,False,True,False
