,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New York,44119,32220.0,58022.0,,14494.6,90.0,,13798.0,29005.1,51182.7,17798.8,34392.9,25608.6,35267.7,36693.0,-11899.0,13903.0,,-29624.4,-44029.0,,-30321.0,-15113.9,7063.7,-26320.2,-9726.1,-18510.4,-8851.3,-7426.0,False,,False,False,,False,False,True,False,True,False,True,True
North Carolina,63030,64434.0,71676.0,,59135.4,72325.0,,70846.0,58822.7,43720.0,32970.9,27184.6,41563.7,45668.9,61296.0,1404.0,8646.0,,-3894.6,9295.0,,7816.0,-4207.3,-19310.0,-30059.1,-35845.4,-21466.3,-17361.1,-1734.0,False,,False,False,,False,False,False,False,False,False,False,False
North Dakota,17927,11100.0,13938.0,,15461.9,71.0,,11638.0,11746.5,4203.7,10244.5,6674.7,9082.3,12548.2,9669.0,-6827.0,-3989.0,,-2465.1,-17856.0,,-6289.0,-6180.5,-13723.3,-7682.5,-11252.3,-8844.7,-5378.8,-8258.0,True,,True,False,,True,True,False,False,False,False,True,False
Ohio,50440,50790.0,62533.0,,46419.2,30607.0,,47962.0,48236.4,52930.1,25803.0,14573.9,35436.3,54893.3,49800.0,350.0,12093.0,,-4020.8,-19833.0,,-2478.0,-2203.6,2490.1,-24637.0,-35866.1,-15003.7,4453.3,-640.0,False,,False,False,,False,False,False,False,False,False,False,False
Oklahoma,43281,35004.0,57659.0,,32969.3,22525.0,,33730.0,29406.6,28070.5,19461.7,14967.2,22720.4,34940.7,30871.0,-8277.0,14378.0,,-10311.7,-20756.0,,-9551.0,-13874.4,-15210.5,-23819.3,-28313.8,-20560.6,-8340.3,-12410.0,False,,False,False,,False,False,False,False,False,False,False,False
Oregon,11459,9378.0,10063.0,,8719.8,7317.0,,7697.0,7972.6,16287.0,5438.7,5042.6,5595.2,9669.5,8475.0,-2081.0,-1396.0,,-2739.2,-4142.0,,-3762.0,-3486.4,4828.0,-6020.3,-6416.4,-5863.8,-1789.5,-2984.0,True,,False,False,,False,False,False,False,False,False,True,False
Pennsylvania,42388,34224.0,73579.0,,35265.6,2271.0,,24486.0,32087.7,43364.7,18378.4,12671.3,36329.4,45120.2,42860.0,-8164.0,31191.0,,-7122.4,-40117.0,,-17902.0,-10300.3,976.7,-24009.6,-29716.7,-6058.6,2732.2,472.0,False,,True,False,,False,False,True,False,False,True,True,True
Rhode Island,5578,3360.0,3058.0,,1949.6,1.0,,4132.0,2838.2,5051.0,1001.8,222.7,4012.7,2637.1,1329.0,-2218.0,-2520.0,,-3628.4,-5577.0,,-1446.0,-2739.8,-527.0,-4576.2,-5355.3,-1565.3,-2940.9,-4249.0,False,,False,False,,True,False,True,False,False,True,False,False
South Carolina,38925,42240.0,66406.0,,33817.7,13695.0,,32749.0,35081.8,11681.2,23040.1,13534.1,29831.1,36728.2,33440.0,3315.0,27481.0,,-5107.3,-25230.0,,-6176.0,-3843.2,-27243.8,-15884.9,-25390.9,-9093.9,-2196.8,-5485.0,False,,False,False,,False,False,False,False,False,False,True,False
South Dakota,17722,11682.0,19608.0,,14274.4,245.0,,12098.0,15618.2,2079.1,5995.2,6334.7,16637.5,6672.3,7679.0,-6040.0,1886.0,,-3447.6,-17477.0,,-5624.0,-2103.8,-15642.9,-11726.8,-11387.3,-1084.5,-11049.7,-10043.0,True,,True,False,,True,True,False,False,False,True,False,False
Tennessee,63777,60492.0,63923.0,,61441.9,29612.0,,50845.0,48871.9,38894.5,42282.1,32915.7,33863.9,54500.1,34057.0,-3285.0,146.0,,-2335.1,-34165.0,,-12932.0,-14905.1,-24882.5,-21494.9,-30861.3,-29913.1,-9276.9,-29720.0,True,,True,False,,False,False,False,False,False,False,False,False
Texas,196272,174384.0,334118.0,,135877.4,114885.0,,197168.0,121103.7,106051.7,72059.1,66904.9,106351.8,95691.3,113580.0,-21888.0,137846.0,,-60394.6,-81387.0,,896.0,-75168.3,-90220.3,-124212.9,-129367.1,-89920.2,-100580.7,-82692.0,False,,False,False,,True,False,False,False,False,False,False,False
Utah,39025,17196.0,15542.0,,18306.1,7304.0,,14940.0,15987.0,8537.5,10951.7,6427.4,11781.6,16885.3,14832.0,-21829.0,-23483.0,,-20718.9,-31721.0,,-24085.0,-23038.0,-30487.5,-28073.3,-32597.6,-27243.4,-22139.7,-24193.0,False,,True,False,,False,False,False,False,False,False,False,False
Vermont,279,252.0,521.0,,181.0,56.0,,296.0,345.5,896.6,38.3,129.7,329.7,127.8,210.0,-27.0,242.0,,-98.0,-223.0,,17.0,66.5,617.6,-240.7,-149.3,50.7,-151.2,-69.0,False,,False,False,,True,False,False,False,False,False,False,False
Virginia,39511,41322.0,58190.0,,40403.0,6657.0,,28021.0,37077.5,36010.4,27290.5,28546.6,32805.9,46171.9,0.0,1811.0,18679.0,,892.0,-32854.0,,-11490.0,-2433.5,-3500.6,-12220.5,-10964.4,-6705.1,6660.9,-39511.0,False,,True,False,,False,False,False,False,False,False,False,False
Washington,20835,17742.0,20438.0,,13263.7,30305.0,,12095.0,15657.9,21190.5,10989.1,10194.1,12801.1,13533.6,14574.0,-3093.0,-397.0,,-7571.3,9470.0,,-8740.0,-5177.1,355.5,-9845.9,-10640.9,-8033.9,-7301.4,-6261.0,True,,False,False,,False,False,True,False,False,False,False,False
West Virginia,8512,7938.0,24810.0,,10064.6,4687.0,,5730.0,9349.1,9237.5,4810.7,4429.4,4189.7,16084.4,12002.0,-574.0,16298.0,,1552.6,-3825.0,,-2782.0,837.1,725.5,-3701.3,-4082.6,-4322.3,7572.4,3490.0,False,,False,False,,False,False,False,False,False,False,False,False
Wisconsin,85886,33000.0,50401.0,,35820.2,21021.0,,30009.0,25488.6,30014.5,24050.1,24393.9,28582.4,60035.9,28617.0,-52886.0,-35485.0,,-50065.8,-64865.0,,-55877.0,-60397.4,-55871.5,-61835.9,-61492.1,-57303.6,-25850.1,-57269.0,True,,True,False,,False,False,False,False,False,False,True,False
Wyoming,4826,1170.0,1687.0,,1081.8,828.0,,2511.0,1026.3,1775.9,665.0,926.1,857.4,1707.8,398.0,-3656.0,-3139.0,,-3744.2,-3998.0,,-2315.0,-3799.7,-3050.1,-4161.0,-3899.8,-3968.6,-3118.2,-4428.0,True,,False,False,,True,False,True,False,False,False,True,False
US,1857016,1703256.0,2522875.0,1877756.0,1187581.5,943586.0,1489559.5,1792095.0,1424063.6,1339924.8,795278.2,776729.9,1118279.2,1448119.1,1236258.0,-153760.0,665859.0,20740.0,-669434.5,-913430.0,-367456.5,-64921.0,-432952.4,-517091.2,-1061737.8,-1080286.1,-738736.8,-408896.9,-620758.0,False,True,False,False,False,True,False,False,False,False,False,False,False
