,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,9115,8100.0,8252.6,7628.0,9071.0,,7851.7,5669.0,7989.9,7815.8,4596.3,,8512.0,6664.0,7995.0,7991.7,6121.9,7104.5,7982.8,8653.1,9005.0,,7070.9,1764.9,7460.7,8144.8,6320.0,8282.0,-1015.0,-862.4,-1487.0,-44.0,,-1263.3,-3446.0,-1125.1,-1299.2,-4518.7,,-603.0,-2451.0,-1120.0,-1123.3,-2993.1,-2010.5,-1132.2,-461.9,-110.0,,-2044.1,-7350.1,-1654.3,-970.2,-2795.0,-833.0,True,False,True,,False,False,False,False,False,,True,False,False,False,False,False,False,True,True,,False,False,False,True,False,True
Hawaii,578,637.0,647.0,640.0,658.0,,640.0,356.0,508.3,636.4,1081.3,,,,796.3,692.6,953.3,635.2,677.4,697.5,647.0,,396.2,374.2,549.3,609.4,694.7,411.0,59.0,69.0,62.0,80.0,,62.0,-222.0,-69.7,58.4,503.3,,,,218.3,114.6,375.3,57.2,99.4,119.5,69.0,,-181.8,-203.8,-28.7,31.4,116.7,-167.0,False,False,False,,False,False,False,True,False,,,,False,False,False,True,False,False,False,,False,False,True,True,False,False
Idaho,4881,3999.0,4010.4,3566.0,3995.0,,3717.1,1559.0,5607.5,4601.1,2791.8,,4102.0,3144.0,4871.0,4225.9,1663.3,3476.8,3241.4,4053.6,5113.0,,3236.3,1103.3,3425.3,3921.6,3885.0,3868.0,-882.0,-870.6,-1315.0,-886.0,,-1163.9,-3322.0,726.5,-279.9,-2089.2,,-779.0,-1737.0,-10.0,-655.1,-3217.7,-1404.2,-1639.6,-827.4,232.0,,-1644.7,-3777.7,-1455.7,-959.4,-996.0,-1013.0,True,False,False,,False,False,True,True,False,,True,False,True,True,False,False,False,True,True,,False,False,False,False,False,False
Illinois,23935,16669.0,16903.5,15881.0,17509.0,,14437.3,7029.0,14989.8,17353.7,14337.1,,18222.0,14784.0,18386.5,15371.0,11150.4,12597.1,18200.6,19350.2,18777.0,,19550.7,17187.6,16441.1,15504.8,21917.7,17091.0,-7266.0,-7031.5,-8054.0,-6426.0,,-9497.7,-16906.0,-8945.2,-6581.3,-9597.9,,-5713.0,-9151.0,-5548.5,-8564.0,-12784.6,-11337.9,-5734.4,-4584.8,-5158.0,,-4384.3,-6747.4,-7493.9,-8430.2,-2017.3,-6844.0,True,False,True,,False,False,False,True,False,,True,False,True,False,False,False,True,True,True,,True,True,False,False,True,True
Indiana,12566,9352.0,9206.6,8784.0,10221.0,,7546.7,5479.0,8409.7,10529.8,7525.2,,9885.0,7271.0,9964.5,8579.1,6981.5,9090.8,10745.4,11186.3,11286.0,,12161.2,9504.4,8456.7,10503.6,14070.2,10393.0,-3214.0,-3359.4,-3782.0,-2345.0,,-5019.3,-7087.0,-4156.3,-2036.2,-5040.8,,-2681.0,-5295.0,-2601.5,-3986.9,-5584.5,-3475.2,-1820.6,-1379.7,-1280.0,,-404.8,-3061.6,-4109.3,-2062.4,1504.2,-2173.0,False,False,True,,False,False,False,True,False,,True,False,True,False,False,False,True,True,True,,True,True,False,True,True,True
Iowa,7656,6741.0,6716.1,6696.0,6390.0,,6652.7,5074.0,7075.0,7357.4,6676.4,,7359.0,5602.0,7279.3,6715.2,3193.9,7524.0,6896.1,7434.1,7705.0,,5892.5,2430.1,5941.7,6559.7,7738.2,6888.0,-915.0,-939.9,-960.0,-1266.0,,-1003.3,-2582.0,-581.0,-298.6,-979.6,,-297.0,-2054.0,-376.7,-940.8,-4462.1,-132.0,-759.9,-221.9,49.0,,-1763.5,-5225.9,-1714.3,-1096.3,82.2,-768.0,False,False,False,,False,False,True,True,False,,True,False,True,False,False,True,True,True,True,,False,False,False,False,True,True
Kansas,5213,4314.0,4370.6,4234.0,3851.0,,4337.6,4408.0,4426.2,4370.9,3074.5,,4303.0,4884.0,3720.3,5152.7,2906.9,4362.1,3049.4,4189.1,4656.0,,3324.7,4486.0,4207.3,4410.5,3788.4,4045.0,-899.0,-842.4,-979.0,-1362.0,,-875.4,-805.0,-786.8,-842.1,-2138.5,,-910.0,-329.0,-1492.7,-60.3,-2306.1,-850.9,-2163.6,-1023.9,-557.0,,-1888.3,-727.0,-1005.7,-802.5,-1424.6,-1168.0,True,False,False,,True,True,True,True,False,,False,True,False,True,False,True,False,False,True,,False,True,False,True,False,False
Kentucky,7352,7444.0,7324.0,7300.0,5978.0,,6588.2,5165.0,10716.4,6226.2,6291.1,,7977.0,7296.0,7268.3,8296.2,4491.9,8189.0,6393.3,7303.5,9014.0,,6196.9,5664.4,7509.0,7245.7,7544.3,8275.0,92.0,-28.0,-52.0,-1374.0,,-763.8,-2187.0,3364.4,-1125.8,-1060.9,,625.0,-56.0,-83.7,944.2,-2860.1,837.0,-958.7,-48.5,1662.0,,-1155.1,-1687.6,157.0,-106.3,192.3,923.0,True,True,False,,False,False,False,False,False,,False,True,True,False,False,False,False,True,False,,False,False,False,False,False,False
Louisiana,4320,3477.0,3490.4,3427.0,3564.0,,3377.5,1801.0,7002.5,3472.5,878.6,,2833.0,3658.0,2422.4,3649.3,2696.7,2899.1,4350.3,4043.0,3295.0,,1165.3,62.5,3009.1,4349.8,3145.1,2905.0,-843.0,-829.6,-893.0,-756.0,,-942.5,-2519.0,2682.5,-847.5,-3441.4,,-1487.0,-662.0,-1897.6,-670.7,-1623.3,-1420.9,30.3,-277.0,-1025.0,,-3154.7,-4257.5,-1310.9,29.8,-1174.9,-1415.0,True,False,True,,False,False,False,False,False,,False,True,False,True,False,False,True,True,False,,False,False,False,True,False,False
Maine,217,211.0,207.5,215.0,225.0,,219.6,170.0,237.3,213.9,224.5,,203.0,260.0,209.9,213.6,391.1,258.4,186.3,215.6,237.0,,139.2,156.6,199.8,200.8,199.4,209.0,-6.0,-9.5,-2.0,8.0,,2.6,-47.0,20.3,-3.1,7.5,,-14.0,43.0,-7.1,-3.4,174.1,41.4,-30.7,-1.4,20.0,,-77.8,-60.4,-17.2,-16.2,-17.6,-8.0,False,True,False,,True,False,False,True,False,,False,False,False,True,False,False,False,True,False,,False,False,False,False,False,False
Maryland,4332,3976.0,3798.5,3700.0,4083.0,,3662.1,895.0,3837.4,4003.3,3531.2,,4127.0,3933.0,4466.3,3536.0,4402.7,3741.0,3861.2,4382.6,4483.0,,3430.5,4122.9,3664.7,4455.2,4367.2,4290.0,-356.0,-533.5,-632.0,-249.0,,-669.9,-3437.0,-494.6,-328.7,-800.8,,-205.0,-399.0,134.3,-796.0,70.7,-591.0,-470.8,50.6,151.0,,-901.5,-209.1,-667.3,123.2,35.2,-42.0,False,False,True,,False,False,False,True,False,,True,False,True,False,True,False,False,True,True,,False,True,False,True,True,True
Massachusetts,4590,4037.0,4069.2,3851.0,3818.0,,4310.8,3682.0,4606.5,4045.5,3883.9,,3487.0,3636.0,4864.5,3634.5,4244.0,4822.9,3598.0,4278.8,4789.0,,3575.3,2780.9,3561.1,3254.7,4476.0,4151.0,-553.0,-520.8,-739.0,-772.0,,-279.2,-908.0,16.5,-544.5,-706.1,,-1103.0,-954.0,274.5,-955.5,-346.0,232.9,-992.0,-311.2,199.0,,-1014.7,-1809.1,-1028.9,-1335.3,-114.0,-439.0,True,False,False,,True,False,True,True,False,,False,False,True,False,True,True,False,True,True,,False,False,False,False,True,True
Michigan,11652,8182.0,8367.6,7640.0,9356.0,,7160.0,4200.0,5875.4,9396.5,6987.5,,8575.0,7675.0,9839.5,7589.1,9072.9,7967.2,4640.8,8147.4,9960.0,,8544.3,9604.4,7752.5,4775.1,6952.7,8956.0,-3470.0,-3284.4,-4012.0,-2296.0,,-4492.0,-7452.0,-5776.6,-2255.5,-4664.5,,-3077.0,-3977.0,-1812.5,-4062.9,-2579.1,-3684.8,-7011.2,-3504.6,-1692.0,,-3107.7,-2047.6,-3899.5,-6876.9,-4699.3,-2696.0,True,False,True,,False,False,False,True,False,,True,False,True,False,True,False,False,False,True,,True,True,False,False,False,True
Minnesota,10262,8041.0,8043.0,7898.0,8428.0,,7749.2,8089.0,7364.6,9048.9,6895.8,,8560.0,7540.0,8877.8,7478.5,4458.6,8521.2,9291.2,9251.1,9512.0,,7817.8,6386.7,7610.9,8559.6,11015.6,8493.0,-2221.0,-2219.0,-2364.0,-1834.0,,-2512.8,-2173.0,-2897.4,-1213.1,-3366.2,,-1702.0,-2722.0,-1384.2,-2783.5,-5803.4,-1740.8,-970.8,-1010.9,-750.0,,-2444.2,-3875.3,-2651.1,-1702.4,753.6,-1769.0,True,False,True,,False,True,False,True,False,,True,False,True,False,False,True,True,True,True,,False,False,False,True,True,True
Mississippi,5368,4471.0,4406.6,4071.0,4031.0,,3650.6,1755.0,3229.0,4491.0,2596.0,,4890.0,3201.0,5244.0,4110.5,1816.4,4018.2,3520.6,4370.7,4989.0,,5308.0,745.4,4230.8,4651.0,4276.6,4684.0,-897.0,-961.4,-1297.0,-1337.0,,-1717.4,-3613.0,-2139.0,-877.0,-2772.0,,-478.0,-2167.0,-124.0,-1257.5,-3551.6,-1349.8,-1847.4,-997.3,-379.0,,-60.0,-4622.6,-1137.2,-717.0,-1091.4,-684.0,False,False,False,,False,False,False,True,False,,True,False,True,False,False,False,False,False,True,,True,False,False,True,False,True
Missouri,12053,13052.0,12922.6,9823.0,9938.0,,9664.9,9684.0,9741.6,13080.7,14077.7,,15112.0,9924.0,10763.8,10271.4,6114.6,9729.9,7503.0,9723.0,15193.0,,9568.9,9018.4,12126.3,12391.9,14565.6,14198.0,999.0,869.6,-2230.0,-2115.0,,-2388.1,-2369.0,-2311.4,1027.7,2024.7,,3059.0,-2129.0,-1289.2,-1781.6,-5938.4,-2323.1,-4550.0,-2330.0,3140.0,,-2484.1,-3034.6,73.3,338.9,2512.6,2145.0,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,True,False,False
Montana,4108,3761.0,3824.6,3592.0,3359.0,,3095.0,1831.0,3348.6,5133.0,3063.1,,3591.0,3424.0,4137.7,4820.2,689.4,3726.1,4424.2,4272.5,4723.0,,5119.9,3554.9,3234.2,5847.2,5497.7,3945.0,-347.0,-283.4,-516.0,-749.0,,-1013.0,-2277.0,-759.4,1025.0,-1044.9,,-517.0,-684.0,29.7,712.2,-3418.6,-381.9,316.2,164.5,615.0,,1011.9,-553.1,-873.8,1739.2,1389.7,-163.0,True,False,False,,False,False,False,False,False,,False,False,True,False,False,False,True,True,False,,False,False,False,False,False,True
Nebraska,5445,4484.0,4514.1,4198.0,4162.0,,3764.4,3829.0,4365.4,4093.9,4658.8,,5407.0,3362.0,3403.4,3280.3,2476.6,4440.5,4643.5,4560.4,5521.0,,6174.5,1836.9,4092.6,4237.2,6065.6,4665.0,-961.0,-930.9,-1247.0,-1283.0,,-1680.6,-1616.0,-1079.6,-1351.1,-786.2,,-38.0,-2083.0,-2041.6,-2164.7,-2968.4,-1004.5,-801.5,-884.6,76.0,,729.5,-3608.1,-1352.4,-1207.8,620.6,-780.0,True,False,False,,False,False,False,False,True,,True,False,False,False,False,False,True,True,True,,True,False,False,False,True,True
Nevada,4253,3691.0,3725.4,3364.0,3411.0,,3565.1,1281.0,3033.4,4112.3,1832.4,,4060.0,2362.0,4580.0,3296.6,1846.7,5115.9,3316.6,4077.1,4700.0,,4475.8,0.0,3244.1,4479.6,4136.5,3955.0,-562.0,-527.6,-889.0,-842.0,,-687.9,-2972.0,-1219.6,-140.7,-2420.6,,-193.0,-1891.0,327.0,-956.4,-2406.3,862.9,-936.4,-175.9,447.0,,222.8,-4253.0,-1008.9,226.6,-116.5,-298.0,True,False,False,,False,False,False,True,False,,True,False,True,False,False,False,False,True,True,,True,False,False,True,True,True
New Hampshire,533,495.0,497.2,473.0,681.0,,408.0,423.0,450.9,556.1,370.5,,531.0,384.0,384.4,464.5,589.9,558.7,482.1,487.9,713.0,,607.1,22.1,433.8,491.5,740.8,694.0,-38.0,-35.8,-60.0,148.0,,-125.0,-110.0,-82.1,23.1,-162.5,,-2.0,-149.0,-148.6,-68.5,56.9,25.7,-50.9,-45.1,180.0,,74.1,-510.9,-99.2,-41.5,207.8,161.0,True,False,False,,False,False,False,True,False,,True,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
New Jersey,7104,5301.0,5287.1,5294.0,5772.0,,5138.7,2192.0,5526.0,5258.0,3592.6,,3632.0,4878.0,6044.6,4543.7,8678.0,6004.8,5264.1,5940.2,5404.0,,5524.8,2958.9,5085.2,4143.3,5389.5,6114.0,-1803.0,-1816.9,-1810.0,-1332.0,,-1965.3,-4912.0,-1578.0,-1846.0,-3511.4,,-3472.0,-2226.0,-1059.4,-2560.3,1574.0,-1099.2,-1839.9,-1163.8,-1700.0,,-1579.2,-4145.1,-2018.8,-2960.7,-1714.5,-990.0,False,False,True,,False,False,True,False,False,,False,False,True,False,True,True,False,True,True,,True,False,False,False,True,True
New Mexico,3621,2426.0,2427.2,2399.0,2694.0,,1938.6,654.0,1968.7,3368.0,1450.0,,2507.0,1954.0,3144.2,2383.4,1594.7,2118.6,2415.4,2649.3,3029.0,,2694.0,1083.0,2185.5,2620.3,3053.2,2667.0,-1195.0,-1193.8,-1222.0,-927.0,,-1682.4,-2967.0,-1652.3,-253.0,-2171.0,,-1114.0,-1667.0,-476.8,-1237.6,-2026.3,-1502.4,-1205.6,-971.7,-592.0,,-927.0,-2538.0,-1435.5,-1000.7,-567.8,-954.0,True,False,True,,False,False,False,True,False,,True,False,True,False,False,False,False,True,True,,True,False,False,True,True,True
New York,9810,9783.0,9765.2,9480.0,11730.0,,8642.6,4157.0,8898.2,12465.2,4604.7,,5697.0,7545.0,13174.0,9077.8,12291.3,13466.2,8533.8,10334.8,10183.0,,12210.6,5417.3,9392.5,7332.7,10995.0,11865.0,-27.0,-44.8,-330.0,1920.0,,-1167.4,-5653.0,-911.8,2655.2,-5205.3,,-4113.0,-2265.0,3364.0,-732.2,2481.3,3656.2,-1276.2,524.8,373.0,,2400.6,-4392.7,-417.5,-2477.3,1185.0,2055.0,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
North Carolina,13973,12866.0,12661.5,12746.0,14909.0,,9989.7,7566.0,10993.0,11882.0,8345.8,,13959.0,11152.0,15258.9,12830.2,6925.2,12225.2,12203.0,14602.4,15640.0,,14064.2,5362.8,13250.1,11312.9,15774.2,14744.0,-1107.0,-1311.5,-1227.0,936.0,,-3983.3,-6407.0,-2980.0,-2091.0,-5627.2,,-14.0,-2821.0,1285.9,-1142.8,-7047.8,-1747.8,-1770.0,629.4,1667.0,,91.2,-8610.2,-722.9,-2660.1,1801.2,771.0,False,False,True,,False,False,False,False,False,,True,False,False,False,False,False,False,True,False,,True,False,True,False,False,True
North Dakota,4634,3493.0,3563.7,3528.0,2791.0,,3003.4,2867.0,3571.5,3574.6,3845.1,,3591.0,2733.0,3933.4,3720.5,1280.5,4067.6,4018.4,3962.5,3971.0,,3240.0,2521.8,3745.3,3867.7,4694.9,3632.0,-1141.0,-1070.3,-1106.0,-1843.0,,-1630.6,-1767.0,-1062.5,-1059.4,-788.9,,-1043.0,-1901.0,-700.6,-913.5,-3353.5,-566.4,-615.6,-671.5,-663.0,,-1394.0,-2112.2,-888.7,-766.3,60.9,-1002.0,True,True,False,,False,False,True,True,True,,True,False,True,True,False,True,True,True,True,,False,False,True,True,True,True
Ohio,12767,9492.0,9403.1,9246.0,10621.0,,7857.6,6220.0,8883.9,9455.9,6922.3,,9687.0,8659.0,9733.6,9670.5,10400.8,10824.1,8961.9,11222.0,11368.0,,9384.0,3501.6,8529.5,9655.8,11171.0,9721.0,-3275.0,-3363.9,-3521.0,-2146.0,,-4909.4,-6547.0,-3883.1,-3311.1,-5844.7,,-3080.0,-4108.0,-3033.4,-3096.5,-2366.2,-1942.9,-3805.1,-1545.0,-1399.0,,-3383.0,-9265.4,-4237.5,-3111.2,-1596.0,-3046.0,False,False,True,,False,False,False,False,False,,True,False,True,True,True,True,False,True,True,,False,False,False,True,True,True
Oklahoma,7847,7873.0,7811.5,7842.0,8077.0,,7683.9,6130.0,8395.0,8653.1,8902.4,,8855.0,7457.0,9124.7,7558.1,4854.5,8611.1,6553.8,8509.9,9142.0,,7964.3,5733.4,6727.2,8161.4,8903.7,7876.0,26.0,-35.5,-5.0,230.0,,-163.1,-1717.0,548.0,806.1,1055.4,,1008.0,-390.0,1277.7,-288.9,-2992.5,764.1,-1293.2,662.9,1295.0,,117.3,-2113.6,-1119.8,314.4,1056.7,29.0,False,True,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Oregon,2391,2413.0,2373.1,2372.0,2547.0,,2233.6,1324.0,2190.0,2533.4,2014.7,,2518.0,1901.0,2677.1,2522.2,2820.9,2310.3,2371.2,2635.2,2901.0,,2285.5,1177.2,2162.7,2382.1,2973.8,2571.0,22.0,-17.9,-19.0,156.0,,-157.4,-1067.0,-201.0,142.4,-376.3,,127.0,-490.0,286.1,131.2,429.9,-80.7,-19.8,244.2,510.0,,-105.5,-1213.8,-228.3,-8.9,582.8,180.0,True,True,False,,False,False,False,False,False,,False,False,False,False,False,False,True,False,False,,False,False,False,True,False,False
