,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01069,900,2820.0,2713.2,,1560.0,10244.0,,,,,,765.0,,1477.8,409.3,,2612.6,649.9,541.0,,327.1,1662.1,,,,,2854.3,1920.0,1813.2,,660.0,9344.0,,,,,,-135.0,,577.8,-490.7,,1712.6,-250.1,-359.0,,-572.9,762.1,,,,,1954.3,True,,True,False,,,,,,True,,True,True,,True,True,True,,True,True,,,,,False
01071,470,560.0,595.2,,376.0,503.0,,,,,,463.0,,106.3,179.0,,361.5,360.2,105.3,,148.7,424.2,,,,,559.5,90.0,125.2,,-94.0,33.0,,,,,,-7.0,,-363.7,-291.0,,-108.5,-109.8,-364.7,,-321.3,-45.8,,,,,89.5,False,,False,True,,,,,,True,,False,False,,False,False,False,,False,True,,,,,True
01073,3283,6536.0,6149.4,2584.9,4730.0,22867.0,,,,,,5300.0,,162.6,1866.6,,6109.3,3250.4,2414.1,,2036.0,3954.3,8401.0,,,,7548.1,3253.0,2866.4,-698.1,1447.0,19584.0,,,,,,2017.0,,-3120.4,-1416.4,,2826.3,-32.6,-868.9,,-1247.0,671.3,5118.0,,,,4265.1,True,True,True,False,,,,,,True,,True,True,,True,True,True,,True,True,False,,,,False
01075,102,224.0,207.2,,127.0,0.0,,,,,,133.0,,178.0,40.7,,154.0,85.4,35.7,,38.0,,,,,,172.8,122.0,105.2,,25.0,-102.0,,,,,,31.0,,76.0,-61.3,,52.0,-16.6,-66.3,,-64.0,,,,,,70.8,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01077,388,492.0,510.7,,387.0,985.0,,,,,,863.0,,49.7,206.4,,371.2,360.6,168.6,,173.4,388.2,,,,,508.0,104.0,122.7,,-1.0,597.0,,,,,,475.0,,-338.3,-181.6,,-16.8,-27.4,-219.4,,-214.6,0.2,,,,,120.0,False,,True,False,,,,,,False,,False,False,,True,True,False,,False,True,,,,,False
01079,200,212.0,223.4,,109.0,32.0,,,,,,276.0,,83.7,114.2,,105.3,106.6,85.6,,49.6,,,,,,254.7,12.0,23.4,,-91.0,-168.0,,,,,,76.0,,-116.3,-85.8,,-94.7,-93.4,-114.4,,-150.4,,,,,,54.7,False,,False,False,,,,,,False,,False,False,,False,False,False,,False,,,,,,False
01081,716,8448.0,7988.5,,4255.0,27745.0,,,,,,1784.0,,4308.7,563.8,,7399.4,2525.4,1884.4,,448.2,3979.7,,,,,7960.9,7732.0,7272.5,,3539.0,27029.0,,,,,,1068.0,,3592.7,-152.2,,6683.4,1809.4,1168.4,,-267.8,3263.7,,,,,7244.9,True,,True,False,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True
01083,685,788.0,751.3,,667.0,1607.0,,,,,,896.0,,123.9,178.3,,730.0,589.8,336.9,,161.0,446.6,,,,,839.7,103.0,66.3,,-18.0,922.0,,,,,,211.0,,-561.1,-506.7,,45.0,-95.2,-348.1,,-524.0,-238.4,,,,,154.7,True,,True,False,,,,,,False,,False,False,,True,True,False,,False,False,,,,,False
01085,51,164.0,150.7,,43.0,0.0,,,,,,59.0,,2.0,9.1,,43.7,65.5,0.3,,13.7,,,,,,164.6,113.0,99.7,,-8.0,-51.0,,,,,,8.0,,-49.0,-41.9,,-7.3,14.5,-50.7,,-37.3,,,,,,113.6,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
01087,52,224.0,215.3,,67.0,97.0,,,,,,65.0,,365.3,44.6,,29.3,66.9,35.3,,23.2,,,,,,191.5,172.0,163.3,,15.0,45.0,,,,,,13.0,,313.3,-7.4,,-22.7,14.9,-16.7,,-28.8,,,,,,139.5,True,,True,True,,,,,,True,,False,True,,True,True,True,,True,,,,,,True
01089,1386,2864.0,2618.9,1197.7,2116.0,2851.0,,,,,,2335.0,,117.2,1116.2,,3253.7,1925.4,515.3,,389.2,1517.9,3344.0,,,,3204.8,1478.0,1232.9,-188.3,730.0,1465.0,,,,,,949.0,,-1268.8,-269.8,,1867.7,539.4,-870.7,,-996.8,131.9,1958.0,,,,1818.8,True,True,True,True,,,,,,True,,True,True,,False,True,True,,True,True,False,,,,False
01091,257,172.0,179.5,,83.0,0.0,,,,,,207.0,,141.2,38.8,,72.8,81.7,0.3,,22.6,,,,,,167.1,-85.0,-77.5,,-174.0,-257.0,,,,,,-50.0,,-115.8,-218.2,,-184.2,-175.3,-256.7,,-234.3,,,,,,-89.9,True,,False,False,,,,,,True,,False,False,,False,False,False,,False,,,,,,False
01093,101,632.0,598.5,,240.0,0.0,,,,,,237.0,,320.6,107.7,,758.1,211.7,120.9,,28.5,,,,,,647.4,531.0,497.5,,139.0,-101.0,,,,,,136.0,,219.6,6.7,,657.1,110.7,19.9,,-72.5,,,,,,546.4,True,,True,True,,,,,,True,,True,True,,False,True,True,,True,,,,,,False
01095,419,1140.0,1199.0,,549.0,58.0,,,,,,1041.0,,77.8,174.4,,852.8,474.3,274.9,,61.4,661.1,,,,,1014.6,721.0,780.0,,130.0,-361.0,,,,,,622.0,,-341.2,-244.6,,433.8,55.3,-144.1,,-357.6,242.1,,,,,595.6,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,True
01097,1178,2244.0,2211.2,956.6,1273.0,605.0,,,,,,2068.0,,67.1,836.7,,1841.6,1169.4,369.4,,54.5,2313.8,1377.0,,,,3322.0,1066.0,1033.2,-221.4,95.0,-573.0,,,,,,890.0,,-1110.9,-341.3,,663.6,-8.6,-808.6,,-1123.5,1135.8,199.0,,,,2144.0,True,True,True,True,,,,,,True,,False,True,,True,True,True,,False,False,True,,,,False
01099,49,524.0,578.3,,99.0,0.0,,,,,,147.0,,296.3,37.1,,32.7,99.9,24.8,,21.2,,,,,,693.2,475.0,529.3,,50.0,-49.0,,,,,,98.0,,247.3,-11.9,,-16.3,50.9,-24.2,,-27.8,,,,,,644.2,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
01101,956,2128.0,2117.4,752.0,1511.0,8629.0,,,,,,1696.0,,98.1,368.8,,1310.4,1038.0,770.3,,426.2,1806.5,2993.0,,,,2339.7,1172.0,1161.4,-204.0,555.0,7673.0,,,,,,740.0,,-857.9,-587.2,,354.4,82.0,-185.7,,-529.8,850.5,2037.0,,,,1383.7,True,True,True,False,,,,,,True,,True,True,,True,True,True,,True,True,False,,,,False
01103,704,948.0,882.2,,652.0,1936.0,,,,,,1040.0,,92.2,224.4,,623.1,509.3,139.9,,210.1,663.2,,,,,1060.5,244.0,178.2,,-52.0,1232.0,,,,,,336.0,,-611.8,-479.6,,-80.9,-194.7,-564.1,,-493.9,-40.8,,,,,356.5,True,,True,False,,,,,,False,,False,False,,True,True,False,,False,True,,,,,False
01105,41,208.0,204.5,,24.0,0.0,,,,,,46.0,,7.7,14.3,,23.9,44.8,0.0,,2.8,,,,,,166.9,167.0,163.5,,-17.0,-41.0,,,,,,5.0,,-33.3,-26.7,,-17.1,3.8,-41.0,,-38.2,,,,,,125.9,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01107,147,280.0,290.4,,140.0,145.0,,,,,,166.0,,242.1,52.0,,117.2,114.7,66.1,,63.6,,,,,,265.4,133.0,143.4,,-7.0,-2.0,,,,,,19.0,,95.1,-95.0,,-29.8,-32.3,-80.9,,-83.4,,,,,,118.4,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01109,148,1088.0,881.2,,549.0,449.0,,,,,,561.0,,605.7,83.4,,469.4,198.3,138.4,,94.7,,,,,,1077.5,940.0,733.2,,401.0,301.0,,,,,,413.0,,457.7,-64.6,,321.4,50.3,-9.6,,-53.3,,,,,,929.5,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,True
01111,174,420.0,457.9,,207.0,0.0,,,,,,214.0,,255.7,77.5,,248.7,127.2,54.0,,0.8,,,,,,440.7,246.0,283.9,,33.0,-174.0,,,,,,40.0,,81.7,-96.5,,74.7,-46.8,-120.0,,-173.2,,,,,,266.7,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
01113,191,544.0,553.9,,197.0,24.0,,,,,,468.0,,227.7,90.6,,140.9,181.2,30.8,,42.3,326.3,,,,,590.1,353.0,362.9,,6.0,-167.0,,,,,,277.0,,36.7,-100.4,,-50.1,-9.8,-160.2,,-148.7,135.3,,,,,399.1,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,True,,,,,False
01115,522,1676.0,1672.3,,928.0,4919.0,,,,,,671.0,,950.2,313.1,,1723.4,442.2,375.9,,94.5,907.3,,,,,1542.1,1154.0,1150.3,,406.0,4397.0,,,,,,149.0,,428.2,-208.9,,1201.4,-79.8,-146.1,,-427.5,385.3,,,,,1020.1,True,,True,False,,,,,,True,,True,True,,False,True,True,,True,True,,,,,True
01117,1310,4276.0,4223.8,,2439.0,14864.0,,,,,,1602.0,,1990.2,763.0,,4963.2,1507.6,1398.7,,415.2,2149.2,10546.0,,,,3830.0,2966.0,2913.8,,1129.0,13554.0,,,,,,292.0,,680.2,-547.0,,3653.2,197.6,88.7,,-894.8,839.2,9236.0,,,,2520.0,True,,True,False,,,,,,True,,True,True,,False,True,True,,True,True,False,,,,True
01119,50,56.0,53.3,,14.0,,,,,,,79.0,,2.1,11.8,,2.2,25.2,0.0,,3.0,,,,,,54.3,6.0,3.3,,-36.0,,,,,,,29.0,,-47.9,-38.2,,-47.8,-24.8,-50.0,,-47.0,,,,,,4.3,True,,False,,,,,,,False,,False,False,,False,False,False,,False,,,,,,True
01121,479,2796.0,2387.0,,1470.0,4542.0,,,,,,686.0,,1746.4,292.6,,2937.9,533.6,556.8,,123.3,1357.9,,,,,2229.9,2317.0,1908.0,,991.0,4063.0,,,,,,207.0,,1267.4,-186.4,,2458.9,54.6,77.8,,-355.7,878.9,,,,,1750.9,True,,True,False,,,,,,True,,True,True,,False,True,True,,True,True,,,,,True
01123,137,712.0,805.6,,382.0,309.0,,,,,,369.0,,398.6,77.7,,515.3,193.2,53.4,,49.8,,,,,,934.4,575.0,668.6,,245.0,172.0,,,,,,232.0,,261.6,-59.3,,378.3,56.2,-83.6,,-87.2,,,,,,797.4,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
01125,2602,6720.0,6698.7,1397.2,2948.0,3546.0,,,,,,2948.0,,4804.0,525.9,,7170.3,1895.2,1244.5,,943.1,3521.3,,,,,6025.4,4118.0,4096.7,-1204.8,346.0,944.0,,,,,,346.0,,2202.0,-2076.1,,4568.3,-706.8,-1357.5,,-1658.9,919.3,,,,,3423.4,True,True,True,True,,,,,,True,,True,True,,False,True,True,,True,True,,,,,True
01127,420,800.0,773.7,,442.0,3355.0,,,,,,694.0,,129.4,115.1,,420.2,365.3,183.6,,186.4,425.3,,,,,881.4,380.0,353.7,,22.0,2935.0,,,,,,274.0,,-290.6,-304.9,,0.2,-54.7,-236.4,,-233.6,5.3,,,,,461.4,True,,True,False,,,,,,True,,True,True,,True,True,True,,True,True,,,,,False
01129,72,152.0,139.4,,52.0,0.0,,,,,,130.0,,61.9,35.4,,16.2,57.9,0.0,,1.9,,,,,,173.2,80.0,67.4,,-20.0,-72.0,,,,,,58.0,,-10.1,-36.6,,-55.8,-14.1,-72.0,,-70.1,,,,,,101.2,True,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
01131,25,204.0,217.5,,25.0,11.0,,,,,,49.0,,10.0,15.6,,9.3,47.2,18.7,,2.5,,,,,,218.9,179.0,192.5,,0.0,-14.0,,,,,,24.0,,-15.0,-9.4,,-15.7,22.2,-6.3,,-22.5,,,,,,193.9,False,,True,True,,,,,,True,,True,True,,True,True,True,,True,,,,,,False
