,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01027,306,300.0,186.0,,,,,103.0,,84.5,96.2,,84.9,233.8,,,-6.0,-120.0,,,,,-203.0,,-221.5,-209.8,,-221.1,-72.2,,,False,,,,,False,,False,False,,False,False,,
01029,283,192.0,240.0,,,,,92.0,,65.0,95.4,,14.2,186.4,,,-91.0,-43.0,,,,,-191.0,,-218.0,-187.6,,-268.8,-96.6,,,True,,,,,False,,False,False,,False,False,,
01031,645,132.0,141.0,,,,,564.0,,284.2,27.5,,31.7,165.2,,,-513.0,-504.0,,,,,-81.0,,-360.8,-617.5,,-613.3,-479.8,,,True,,,,,True,,True,False,,False,True,,
01033,409,336.0,372.0,,,,,615.0,,206.9,107.8,,15.5,286.1,,,-73.0,-37.0,,,,,206.0,,-202.1,-301.2,,-393.5,-122.9,,,True,,,,,False,,False,False,,False,False,,
01035,121,0.0,7.0,,,,,91.0,,47.5,75.9,0.0,22.4,11.6,,,-121.0,-114.0,,,,,-30.0,,-73.5,-45.1,-121.0,-98.6,-109.4,,,True,,,,,True,,True,True,True,True,True,,
01037,88,0.0,4.0,,,,,62.0,,41.2,0.0,15.1,10.6,19.0,,,-88.0,-84.0,,,,,-26.0,,-46.8,-88.0,-72.9,-77.4,-69.0,,,True,,,,,True,,True,True,True,True,True,,
01039,828,36.0,83.0,,,,,397.0,,232.3,35.7,63.0,17.1,52.3,,,-792.0,-745.0,,,,,-431.0,,-595.7,-792.3,-765.0,-810.9,-775.7,,,True,,,,,True,,True,False,True,False,True,,
01041,187,66.0,43.0,,,,,181.0,,81.4,2.0,0.0,1.8,198.1,,,-121.0,-144.0,,,,,-6.0,,-105.6,-185.0,-187.0,-185.2,11.1,,,False,,,,,True,,True,False,False,False,True,,
01043,758,180.0,216.0,,,,,860.0,,426.1,6.7,169.2,62.8,220.4,,,-578.0,-542.0,,,,,102.0,,-331.9,-751.3,-588.8,-695.2,-537.6,,,True,,,,,True,,True,False,False,False,True,,
01045,580,132.0,136.0,,,,,443.0,,251.0,10.3,178.9,69.8,132.0,,,-448.0,-444.0,,,,,-137.0,,-329.0,-569.7,-401.1,-510.2,-448.0,,,True,,,,,True,,True,False,True,False,True,,
01047,409,162.0,128.0,,,,,385.0,,119.1,14.6,1.5,77.5,116.0,,,-247.0,-281.0,,,,,-24.0,,-289.9,-394.4,-407.5,-331.5,-293.0,,,False,,,,,True,,False,False,False,False,False,,
01049,991,360.0,256.0,,,,,590.0,,256.8,135.1,106.5,129.6,402.9,,,-631.0,-735.0,,,,,-401.0,,-734.2,-855.9,-884.5,-861.4,-588.1,,,False,,,,,True,,False,False,False,False,True,,
01051,981,618.0,878.0,,,,,622.0,,299.5,233.5,172.8,323.2,573.4,,,-363.0,-103.0,,,,,-359.0,,-681.5,-747.5,-808.2,-657.8,-407.6,,,True,,,,,True,,False,False,False,False,False,,
01053,460,216.0,77.0,,,,,457.0,,197.8,6.6,0.7,92.0,126.8,,,-244.0,-383.0,,,,,-3.0,,-262.2,-453.4,-459.3,-368.0,-333.2,,,False,,,,,True,,False,False,False,False,False,,
01055,1204,618.0,252.0,,,,,836.0,,754.8,216.4,313.4,328.1,347.4,,,-586.0,-952.0,,,,,-368.0,,-449.2,-987.6,-890.6,-875.9,-856.6,,,False,,,,,True,,True,False,False,False,False,,
01057,225,162.0,86.0,,,,,144.0,,123.4,106.7,82.9,86.3,169.8,,,-63.0,-139.0,,,,,-81.0,,-101.6,-118.3,-142.1,-138.7,-55.2,,,False,,,,,False,,False,False,False,False,True,,
01059,382,384.0,378.0,,,,,531.0,,110.2,134.6,293.1,73.3,285.7,,,2.0,-4.0,,,,,149.0,,-271.8,-247.4,-88.9,-308.7,-96.3,,,False,,,,,False,,False,False,False,False,False,,
01061,428,120.0,119.0,,,,,247.0,,231.5,14.0,145.6,72.8,91.1,,,-308.0,-309.0,,,,,-181.0,,-196.5,-414.0,-282.4,-355.1,-336.9,,,False,,,,,True,,True,False,True,False,False,,
01063,48,48.0,9.0,,,,,36.0,,27.5,3.0,0.2,80.2,28.8,,,0.0,-39.0,,,,,-12.0,,-20.5,-45.0,-47.8,32.2,-19.2,,,False,,,,,False,,False,False,False,False,False,,
01065,199,54.0,43.0,,,,,123.0,,44.0,2.8,1.4,14.5,93.2,,,-145.0,-156.0,,,,,-76.0,,-154.9,-196.2,-197.6,-184.6,-105.8,,,False,,,,,True,,False,False,False,False,True,,
01067,277,150.0,154.0,,,,,114.0,,95.0,17.3,54.1,74.8,155.2,,,-127.0,-123.0,,,,,-163.0,,-182.0,-259.7,-222.9,-202.2,-121.8,,,True,,,,,False,,False,False,False,False,True,,
01069,1692,600.0,297.0,,,,,856.0,,754.3,175.2,378.7,170.8,453.0,,,-1092.0,-1395.0,,,,,-836.0,,-937.7,-1516.8,-1313.3,-1521.2,-1239.0,,,False,,,,,True,,True,False,False,False,False,,
01071,652,330.0,176.0,,,,,391.0,,357.9,128.2,177.4,49.1,256.6,,,-322.0,-476.0,,,,,-261.0,,-294.1,-523.8,-474.6,-602.9,-395.4,,,False,,,,,True,,True,False,False,False,False,,
01073,5708,5370.0,2640.0,,,,,4398.0,,3592.9,3083.2,792.9,1814.4,3484.6,,,-338.0,-3068.0,,,,,-1310.0,,-2115.1,-2624.8,-4915.1,-3893.6,-2223.4,,,False,,,,,False,,False,False,False,False,False,,
01075,167,72.0,42.0,,,,,149.0,,67.9,9.1,41.4,16.3,33.3,,,-95.0,-125.0,,,,,-18.0,,-99.1,-157.9,-125.6,-150.7,-133.7,,,False,,,,,True,,False,False,False,False,False,,
01077,562,414.0,443.0,,,,,1007.0,,445.1,193.2,200.2,96.7,243.7,,,-148.0,-119.0,,,,,445.0,,-116.9,-368.8,-361.8,-465.3,-318.3,,,True,,,,,False,,True,False,False,False,False,,
01079,281,354.0,930.0,,,,,305.0,,215.4,150.8,110.8,25.3,281.4,,,73.0,649.0,,,,,24.0,,-65.6,-130.2,-170.2,-255.7,0.4,,,False,,,,,True,,True,False,False,False,True,,
01081,2955,1596.0,2314.0,,,,,1786.0,,883.2,555.0,560.6,412.4,1053.6,,,-1359.0,-641.0,,,,,-1169.0,,-2071.8,-2400.0,-2394.4,-2542.6,-1901.4,,,True,,,,,True,,False,False,False,False,False,,
01083,960,480.0,499.0,,,,,846.0,,272.4,153.5,245.3,246.2,307.4,,,-480.0,-461.0,,,,,-114.0,,-687.6,-806.5,-714.7,-713.8,-652.6,,,True,,,,,True,,False,False,False,False,False,,
01085,95,24.0,0.0,,,,,86.0,,18.4,1.3,0.5,8.2,19.0,,,-71.0,-95.0,,,,,-9.0,,-76.6,-93.7,-94.5,-86.8,-76.0,,,False,,,,,True,,False,False,False,False,False,,
01087,119,114.0,122.0,,,,,65.0,,86.8,8.8,0.0,37.0,92.5,,,-5.0,3.0,,,,,-54.0,,-32.2,-110.2,-119.0,-82.0,-26.5,,,True,,,,,False,,False,False,False,False,False,,
01089,2348,2292.0,3821.0,,,,,2233.0,,2138.3,1584.3,394.4,566.2,1146.5,,,-56.0,1473.0,,,,,-115.0,,-209.7,-763.7,-1953.6,-1781.8,-1201.5,,,False,,,,,False,,False,False,False,False,False,,
01091,314,120.0,46.0,,,,,211.0,,62.2,19.2,0.4,33.7,111.7,,,-194.0,-268.0,,,,,-103.0,,-251.8,-294.8,-313.6,-280.3,-202.3,,,False,,,,,True,,False,False,False,False,False,,
01093,308,126.0,134.0,,,,,296.0,,177.6,34.2,74.1,50.8,61.4,,,-182.0,-174.0,,,,,-12.0,,-130.4,-273.8,-233.9,-257.2,-246.6,,,True,,,,,True,,True,False,False,False,False,,
01095,748,126.0,27.0,,,,,936.0,,273.6,24.9,37.5,63.2,355.6,,,-622.0,-721.0,,,,,188.0,,-474.4,-723.1,-710.5,-684.8,-392.4,,,False,,,,,True,,True,False,False,False,True,,
01097,1968,1968.0,2390.0,,,,,2415.0,,2083.7,940.9,902.0,227.7,3913.1,,,0.0,422.0,,,,,447.0,,115.7,-1027.1,-1066.0,-1740.3,1945.1,,,False,,,,,False,,False,False,False,False,False,,
01099,189,0.0,0.0,,,,,177.0,,65.3,0.0,23.8,2.4,8.4,,,-189.0,-189.0,,,,,-12.0,,-123.7,-189.0,-165.2,-186.6,-180.6,,,False,,,,,True,,True,True,True,True,True,,
01101,1693,1446.0,1847.0,,,,,1635.0,,656.9,402.1,198.7,372.1,1425.6,,,-247.0,154.0,,,,,-58.0,,-1036.1,-1290.9,-1494.3,-1320.9,-267.4,,,True,,,,,True,,False,False,False,False,False,,
01103,1014,564.0,277.0,,,,,1009.0,,359.8,135.0,174.3,220.4,284.6,,,-450.0,-737.0,,,,,-5.0,,-654.2,-879.0,-839.7,-793.6,-729.4,,,False,,,,,True,,False,False,False,False,False,,
01105,100,18.0,0.0,,,,,52.0,,29.4,4.3,0.0,5.5,23.4,,,-82.0,-100.0,,,,,-48.0,,-70.6,-95.7,-100.0,-94.5,-76.6,,,False,,,,,True,,True,False,False,False,True,,
01107,238,90.0,100.0,,,,,195.0,,81.2,28.9,1.7,6.3,72.0,,,-148.0,-138.0,,,,,-43.0,,-156.8,-209.1,-236.3,-231.7,-166.0,,,True,,,,,True,,False,False,False,False,False,,
01109,453,174.0,159.0,,,,,555.0,,132.8,19.3,0.2,93.3,153.0,,,-279.0,-294.0,,,,,102.0,,-320.2,-433.7,-452.8,-359.7,-300.0,,,False,,,,,True,,False,False,False,False,False,,
01111,290,186.0,171.0,,,,,180.0,,131.1,28.7,36.6,57.9,116.9,,,-104.0,-119.0,,,,,-110.0,,-158.9,-261.3,-253.4,-232.1,-173.1,,,False,,,,,False,,False,False,False,False,False,,
01113,342,174.0,138.0,,,,,502.0,,204.5,11.5,84.1,56.7,230.2,,,-168.0,-204.0,,,,,160.0,,-137.5,-330.5,-257.9,-285.3,-111.8,,,False,,,,,True,,True,False,False,False,True,,
01115,1037,462.0,508.0,,,,,567.0,,535.0,132.0,185.3,61.5,255.9,,,-575.0,-529.0,,,,,-470.0,,-502.0,-905.0,-851.7,-975.5,-781.1,,,True,,,,,True,,True,False,False,False,False,,
01117,2693,2022.0,2375.0,,,,,1380.0,,1170.2,714.7,943.0,288.0,1057.4,,,-671.0,-318.0,,,,,-1313.0,,-1522.8,-1978.3,-1750.0,-2405.0,-1635.6,,,True,,,,,False,,False,False,False,False,False,,
01119,65,48.0,42.0,,,,,80.0,,20.0,2.1,0.2,9.1,42.0,,,-17.0,-23.0,,,,,15.0,,-45.0,-62.9,-64.8,-55.9,-23.0,,,False,,,,,True,,False,False,False,False,False,,
01121,1233,84.0,434.0,,,,,562.0,,593.2,45.6,234.8,45.0,150.3,,,-1149.0,-799.0,,,,,-671.0,,-639.8,-1187.4,-998.2,-1188.0,-1082.7,,,True,,,,,True,,True,False,True,False,True,,
01123,327,114.0,124.0,,,,,328.0,,157.4,30.3,31.9,19.4,100.7,,,-213.0,-203.0,,,,,1.0,,-169.6,-296.7,-295.1,-307.6,-226.3,,,True,,,,,True,,True,False,False,False,False,,
01125,4500,1212.0,455.0,,,,,2526.0,,904.3,534.1,682.4,810.9,851.7,,,-3288.0,-4045.0,,,,,-1974.0,,-3595.7,-3965.9,-3817.6,-3689.1,-3648.3,,,False,,,,,True,,False,False,False,False,False,,
01127,719,600.0,794.0,,,,,627.0,,203.4,223.1,76.5,319.2,252.8,,,-119.0,75.0,,,,,-92.0,,-515.6,-495.9,-642.5,-399.8,-466.2,,,True,,,,,True,,False,False,False,False,False,,
01129,118,24.0,9.0,,,,,147.0,,80.4,85.2,0.0,5.5,36.9,,,-94.0,-109.0,,,,,29.0,,-37.6,-32.8,-118.0,-112.5,-81.1,,,False,,,,,True,,True,True,False,False,True,,
01131,81,0.0,5.0,,,,,70.0,,31.2,162.9,0.3,3.2,21.3,,,-81.0,-76.0,,,,,-11.0,,-49.8,81.9,-80.7,-77.8,-59.7,,,True,,,,,True,,True,False,True,True,True,,
01133,319,150.0,203.0,,,,,246.0,,109.0,37.9,88.3,117.9,113.8,,,-169.0,-116.0,,,,,-73.0,,-210.0,-281.1,-230.7,-201.1,-205.2,,,True,,,,,True,,False,False,False,False,False,,
02013,5,0.0,0.0,,,,,,,2.3,,,0.0,0.3,,,-5.0,-5.0,,,,,,,-2.7,,,-5.0,-4.7,,,False,,,,,,,True,,,False,True,,
02016,3,0.0,0.0,,,,,,,2.0,,,0.4,0.2,,,-3.0,-3.0,,,,,,,-1.0,,,-2.6,-2.8,,,False,,,,,,,True,,,True,True,,
02020,2816,1692.0,1781.0,,,,,,,2699.4,1168.8,1140.5,814.1,856.9,,,-1124.0,-1035.0,,,,,,,-116.6,-1647.2,-1675.5,-2001.9,-1959.1,,,True,,,,,,,True,False,False,False,False,,
02050,181,12.0,0.0,,,,,,,26.3,11.3,,28.7,20.4,,,-169.0,-181.0,,,,,,,-154.7,-169.7,,-152.3,-160.6,,,False,,,,,,,True,False,,True,True,,
02060,0,0.0,0.0,,,,,,,0.0,0.3,,6.8,,,,0.0,0.0,,,,,,,0.0,0.3,,6.8,,,,True,,,,,,,True,False,,False,,,
02068,15,6.0,0.0,,,,,,,4.3,,,0.1,,,,-9.0,-15.0,,,,,,,-10.7,,,-14.9,,,,False,,,,,,,False,,,False,,,
02070,10,0.0,0.0,,,,,,,6.8,0.1,,0.6,0.5,,,-10.0,-10.0,,,,,,,-3.2,-9.9,,-9.4,-9.5,,,False,,,,,,,True,True,,True,True,,
02090,999,660.0,0.0,,,,,,,585.4,901.4,482.2,1348.9,342.3,,,-339.0,-999.0,,,,,,,-413.6,-97.6,-516.8,349.9,-656.7,,,False,,,,,,,False,True,False,False,False,,
02100,3,0.0,0.0,,,,,,,0.3,,,0.0,1.2,,,-3.0,-3.0,,,,,,,-2.7,,,-3.0,-1.8,,,False,,,,,,,True,,,True,True,,
02105,0,0.0,0.0,,,,,,,8.1,,,0.0,,,,0.0,0.0,,,,,,,8.1,,,0.0,,,,True,,,,,,,False,,,True,,,
02110,176,90.0,45.0,,,,,,,142.1,29.9,92.9,40.4,70.3,,,-86.0,-131.0,,,,,,,-33.9,-146.1,-83.1,-135.6,-105.7,,,False,,,,,,,True,False,True,False,False,,
02122,137,72.0,51.0,,,,,,,163.3,9.3,200.4,12.1,70.6,,,-65.0,-86.0,,,,,,,26.3,-127.7,63.4,-124.9,-66.4,,,False,,,,,,,True,False,True,False,False,,
02130,13,18.0,0.0,,,,,,,9.0,1.3,,0.7,22.4,,,5.0,-13.0,,,,,,,-4.0,-11.7,,-12.3,9.4,,,False,,,,,,,True,False,,False,False,,
02150,30,18.0,0.0,,,,,,,6.2,1.3,,10.6,,,,-12.0,-30.0,,,,,,,-23.8,-28.7,,-19.4,,,,False,,,,,,,False,False,,False,,,
02158,24,0.0,0.0,,,,,,,,,,0.0,0.5,,,-24.0,-24.0,,,,,,,,,,-24.0,-23.5,,,False,,,,,,,,,,True,True,,
02164,21,0.0,0.0,,,,,,,1.3,,,0.0,,,,-21.0,-21.0,,,,,,,-19.7,,,-21.0,,,,False,,,,,,,True,,,False,,,
02170,322,204.0,218.0,,,,,,,542.8,134.7,561.5,93.5,112.4,,,-118.0,-104.0,,,,,,,220.8,-187.3,239.5,-228.5,-209.6,,,True,,,,,,,False,False,False,False,False,,
02180,64,48.0,0.0,,,,,,,19.9,2.1,,6.5,,,,-16.0,-64.0,,,,,,,-44.1,-61.9,,-57.5,,,,False,,,,,,,False,False,,False,,,
02185,154,72.0,0.0,,,,,,,45.2,4.4,,44.8,,,,-82.0,-154.0,,,,,,,-108.8,-149.6,,-109.2,,,,False,,,,,,,False,False,,False,,,
02188,134,30.0,0.0,,,,,,,29.0,2.7,,0.4,,,,-104.0,-134.0,,,,,,,-105.0,-131.3,,-133.6,,,,False,,,,,,,False,False,,False,,,
02195,4,0.0,0.0,,,,,,,0.1,0.1,,0.0,0.4,,,-4.0,-4.0,,,,,,,-3.9,-3.9,,-4.0,-3.6,,,False,,,,,,,True,True,,False,True,,
02198,6,24.0,0.0,,,,,,,17.0,0.9,,2.4,,,,18.0,-6.0,,,,,,,11.0,-5.1,,-3.6,,,,True,,,,,,,True,True,,True,,,
02220,17,0.0,0.0,,,,,,,12.9,1.0,,2.7,3.4,,,-17.0,-17.0,,,,,,,-4.1,-16.0,,-14.3,-13.6,,,False,,,,,,,True,True,,True,True,,
02230,1,0.0,0.0,,,,,,,0.0,,,0.0,,,,-1.0,-1.0,,,,,,,-1.0,,,-1.0,,,,False,,,,,,,False,,,False,,,
02240,25,6.0,0.0,,,,,,,0.7,0.3,,1.2,,,,-19.0,-25.0,,,,,,,-24.3,-24.7,,-23.8,,,,False,,,,,,,False,False,,False,,,
02261,25,12.0,0.0,,,,,,,6.7,2.5,,0.5,,,,-13.0,-25.0,,,,,,,-18.3,-22.5,,-24.5,,,,False,,,,,,,False,False,,False,,,
02275,1,6.0,0.0,,,,,,,1.8,,,1.4,,,,5.0,-1.0,,,,,,,0.8,,,0.4,,,,True,,,,,,,True,,,True,,,
02282,9,12.0,0.0,,,,,,,0.0,,,8.7,,,,3.0,-9.0,,,,,,,-9.0,,,-0.3,,,,False,,,,,,,False,,,True,,,
02290,26,6.0,0.0,,,,,,,4.1,4.1,,0.5,,,,-20.0,-26.0,,,,,,,-21.9,-21.9,,-25.6,,,,False,,,,,,,False,False,,False,,,
04001,440,114.0,386.0,,,,,249.0,,120.9,44.7,5.0,32.3,223.8,,,-326.0,-54.0,,,,,-191.0,,-319.1,-395.3,-435.0,-407.7,-216.2,,,True,,,,,True,,True,False,False,False,True,,
04003,187,162.0,49.0,,,,,285.0,,184.6,20.5,166.0,38.7,142.0,,,-25.0,-138.0,,,,,98.0,,-2.4,-166.5,-21.0,-148.3,-45.0,,,False,,,,,False,,True,False,True,False,False,,
04005,1319,486.0,502.0,,,,,644.0,,180.7,244.6,93.0,10.0,289.2,,,-833.0,-817.0,,,,,-675.0,,-1138.3,-1074.4,-1226.0,-1309.0,-1029.8,,,True,,,,,True,,False,False,False,False,False,,
04007,600,144.0,55.0,,,,,65.0,,121.2,47.1,24.9,45.3,83.3,,,-456.0,-545.0,,,,,-535.0,,-478.8,-552.9,-575.1,-554.7,-516.7,,,False,,,,,False,,False,False,False,False,False,,
04009,267,252.0,168.0,,,,,117.0,,160.4,170.2,0.0,137.3,375.1,,,-15.0,-99.0,,,,,-150.0,,-106.6,-96.8,-267.0,-129.7,108.1,,,False,,,,,False,,False,False,False,False,False,,
04011,18,0.0,0.0,,,,,12.0,,8.7,1.0,,8.5,2.1,,,-18.0,-18.0,,,,,-6.0,,-9.3,-17.0,,-9.5,-15.9,,,False,,,,,True,,True,True,,True,True,,
04012,76,114.0,18.0,,,,,66.0,,36.0,4.1,0.0,3.4,55.7,,,38.0,-58.0,,,,,-10.0,,-40.0,-71.9,-76.0,-72.6,-20.3,,,False,,,,,True,,False,False,False,False,True,,
04013,13346,14802.0,23752.0,,,,,10332.0,,7588.3,9940.7,1702.3,406.6,9307.7,,,1456.0,10406.0,,,,,-3014.0,,-5757.7,-3405.3,-11643.7,-12939.4,-4038.3,,,False,,,,,False,,False,False,False,False,False,,
04015,440,900.0,886.0,,,,,892.0,,400.1,413.6,220.3,247.3,569.4,,,460.0,446.0,,,,,452.0,,-39.9,-26.4,-219.7,-192.7,129.4,,,True,,,,,True,,True,True,True,True,True,,
04017,495,348.0,194.0,,,,,274.0,,137.4,149.1,14.9,33.1,318.6,,,-147.0,-301.0,,,,,-221.0,,-357.6,-345.9,-480.1,-461.9,-176.4,,,False,,,,,False,,False,False,False,False,False,,
04019,5009,4206.0,8187.0,,,,,2389.0,,2074.9,2641.2,1795.8,1926.5,2531.3,,,-803.0,3178.0,,,,,-2620.0,,-2934.1,-2367.8,-3213.2,-3082.5,-2477.7,,,False,,,,,False,,False,False,False,False,False,,
04021,1368,2550.0,3220.0,,,,,1020.0,,478.9,1980.7,370.6,453.7,1833.5,,,1182.0,1852.0,,,,,-348.0,,-889.1,612.7,-997.4,-914.3,465.5,,,False,,,,,True,,True,True,True,True,True,,
04023,175,306.0,69.0,,,,,169.0,,40.0,55.0,2.4,26.9,176.3,,,131.0,-106.0,,,,,-6.0,,-135.0,-120.0,-172.6,-148.1,1.3,,,True,,,,,True,,False,True,False,False,True,,
04025,412,402.0,383.0,,,,,655.0,,489.0,174.3,376.1,121.2,365.7,,,-10.0,-29.0,,,,,243.0,,77.0,-237.7,-35.9,-290.8,-46.3,,,False,,,,,False,,False,False,False,False,False,,
04027,880,588.0,486.0,,,,,3769.0,,300.6,105.0,15.7,128.4,2183.5,,,-292.0,-394.0,,,,,2889.0,,-579.4,-775.0,-864.3,-751.6,1303.5,,,False,,,,,False,,False,False,False,False,False,,
05001,305,102.0,82.0,,,,,152.0,,136.0,29.7,25.7,8.9,64.0,,,-203.0,-223.0,,,,,-153.0,,-169.0,-275.3,-279.3,-296.1,-241.0,,,False,,,,,True,,True,False,False,False,False,,
05003,109,6.0,0.0,,,,,97.0,,47.1,1.8,0.1,2.4,110.2,,,-103.0,-109.0,,,,,-12.0,,-61.9,-107.2,-108.9,-106.6,1.2,,,False,,,,,True,,True,False,False,False,True,,
05005,385,90.0,112.0,,,,,193.0,,150.8,12.4,179.4,24.7,134.9,,,-295.0,-273.0,,,,,-192.0,,-234.2,-372.6,-205.6,-360.3,-250.1,,,True,,,,,True,,True,False,True,False,True,,
05007,1959,1716.0,2312.0,,,,,2378.0,,398.5,689.8,237.3,897.3,1333.9,,,-243.0,353.0,,,,,419.0,,-1560.5,-1269.2,-1721.7,-1061.7,-625.1,,,False,,,,,False,,False,False,False,False,False,,
05009,554,462.0,1225.0,,,,,388.0,,312.3,153.8,259.1,95.8,300.0,,,-92.0,671.0,,,,,-166.0,,-241.7,-400.2,-294.9,-458.2,-254.0,,,False,,,,,False,,False,False,False,False,False,,
05011,52,84.0,83.0,,,,,66.0,,74.9,34.8,0.0,91.1,132.8,,,32.0,31.0,,,,,14.0,,22.9,-17.2,-52.0,39.1,80.8,,,True,,,,,True,,True,True,False,False,False,,
05013,19,0.0,0.0,,,,,6.0,,5.4,,,16.0,,,,-19.0,-19.0,,,,,-13.0,,-13.6,,,-3.0,,,,False,,,,,True,,True,,,True,,,
05015,438,162.0,189.0,,,,,286.0,,77.6,102.3,0.1,91.8,82.7,,,-276.0,-249.0,,,,,-152.0,,-360.4,-335.7,-437.9,-346.2,-355.3,,,True,,,,,True,,False,False,False,False,False,,
