,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Idaho,20914,14063.0,,10891.5,11634.0,11399.0,7107.6,4598.1,11803.5,7795.2,6331.0,-6851.0,,-10022.5,-9280.0,-9515.0,-13806.4,-16315.9,-9110.5,-13118.8,-14583.0,,False,False,False,False,False,False,False,False
Illinois,110320,93555.0,,82128.7,10408.0,80876.0,54153.3,57163.1,101579.5,68660.5,62141.0,-16765.0,,-28191.3,-99912.0,-29444.0,-56166.7,-53156.9,-8740.5,-41659.5,-48179.0,,False,False,False,False,False,True,False,False
Indiana,53543,49819.0,,41874.8,30106.0,39205.0,26142.6,27572.2,49283.7,49268.5,44266.0,-3724.0,,-11668.2,-23437.0,-14338.0,-27400.4,-25970.8,-4259.3,-4274.5,-9277.0,,False,False,False,False,False,False,False,False
Iowa,43086,53312.0,,55743.3,31336.0,38091.0,33528.7,33050.5,40214.2,76691.6,33369.0,10226.0,,12657.3,-11750.0,-4995.0,-9557.3,-10035.5,-2871.8,33605.6,-9717.0,,False,False,True,True,True,True,False,True
Kansas,28428,29449.0,,27140.4,18019.0,25611.0,13231.4,12568.5,17080.1,16296.4,20831.0,1021.0,,-1287.6,-10409.0,-2817.0,-15196.6,-15859.5,-11347.9,-12131.6,-7597.0,,False,False,False,False,False,False,False,False
Kentucky,39220,31577.0,,29805.9,29057.0,29993.0,17964.6,16374.1,22179.4,33375.0,31368.0,-7643.0,,-9414.1,-10163.0,-9227.0,-21255.4,-22845.9,-17040.6,-5845.0,-7852.0,,False,False,False,False,False,False,True,False
Louisiana,28395,31661.0,,18815.3,23320.0,34448.0,22129.1,3320.2,25868.5,17859.8,10644.0,3266.0,,-9579.7,-5075.0,6053.0,-6265.9,-25074.8,-2526.5,-10535.2,-17751.0,,False,False,False,False,False,True,False,False
Maine,1421,1218.0,,1181.7,431.0,800.0,756.8,886.9,1032.0,3151.4,1629.0,-203.0,,-239.3,-990.0,-621.0,-664.2,-534.1,-389.0,1730.4,208.0,,False,False,False,False,False,False,False,False
Maryland,27833,26397.0,,18897.2,2107.0,21770.0,13907.5,11257.3,16988.7,21670.7,19166.0,-1436.0,,-8935.8,-25726.0,-6063.0,-13925.5,-16575.7,-10844.3,-6162.3,-8667.0,,False,False,False,False,False,False,False,False
Massachusetts,22799,18690.0,,10190.2,1851.0,12801.0,8458.4,39600.9,21294.3,412.7,15820.0,-4109.0,,-12608.8,-20948.0,-9998.0,-14340.6,16801.9,-1504.7,-22386.3,-6979.0,,False,False,False,False,False,True,False,False
Michigan,49969,35644.0,,33117.3,14705.0,36064.0,27593.7,34764.8,46352.9,48900.2,37384.0,-14325.0,,-16851.7,-35264.0,-13905.0,-22375.3,-15204.2,-3616.1,-1068.8,-12585.0,,False,False,True,False,False,True,True,True
Minnesota,46833,37730.0,,37677.2,3174.0,45525.0,26563.8,25060.3,32085.6,72315.7,35088.0,-9103.0,,-9155.8,-43659.0,-1308.0,-20269.2,-21772.7,-14747.4,25482.7,-11745.0,,False,False,True,False,False,False,False,False
Mississippi,27977,33327.0,,23733.9,18696.0,34150.0,14648.1,12257.5,20993.2,18029.9,13989.0,5350.0,,-4243.1,-9281.0,6173.0,-13328.9,-15719.5,-6983.8,-9947.1,-13988.0,,True,False,False,False,False,False,False,False
Missouri,73940,57512.0,,59987.6,42470.0,47412.0,41304.8,33374.0,30350.9,70639.1,44990.0,-16428.0,,-13952.4,-31470.0,-26528.0,-32635.2,-40566.0,-43589.1,-3300.9,-28950.0,,True,False,False,False,False,False,True,False
Montana,14974,6125.0,,5855.4,4311.0,8156.0,4218.8,4692.0,3186.0,9789.8,5413.0,-8849.0,,-9118.6,-10663.0,-6818.0,-10755.2,-10282.0,-11788.0,-5184.2,-9561.0,,False,False,True,False,False,False,True,False
Nebraska,23579,13811.0,,14630.7,1718.0,13847.0,8933.3,6813.4,11811.7,23362.8,9747.0,-9768.0,,-8948.3,-21861.0,-9732.0,-14645.7,-16765.6,-11767.3,-216.2,-13832.0,,True,False,True,False,False,False,True,False
Nevada,21191,23744.0,,21131.3,19502.0,18204.0,13370.7,8588.2,21127.7,11175.4,9362.0,2553.0,,-59.7,-1689.0,-2987.0,-7820.3,-12602.8,-63.3,-10015.6,-11829.0,,True,True,False,False,False,True,False,False
New Hampshire,2379,1064.0,,662.9,12.0,865.0,462.1,672.0,645.0,783.5,774.0,-1315.0,,-1716.1,-2367.0,-1514.0,-1916.9,-1707.0,-1734.0,-1595.5,-1605.0,,False,False,False,False,False,False,False,False
New Jersey,27418,13818.0,,6661.5,123.0,10690.0,7741.0,7791.8,14037.7,12622.9,10044.0,-13600.0,,-20756.5,-27295.0,-16728.0,-19677.0,-19626.2,-13380.3,-14795.1,-17374.0,,False,False,False,False,False,True,False,False
New Mexico,11165,6132.0,,5463.0,2698.0,5818.0,3135.6,2503.2,3949.9,5496.5,5144.0,-5033.0,,-5702.0,-8467.0,-5347.0,-8029.4,-8661.8,-7215.1,-5668.5,-6021.0,,False,False,False,False,False,False,False,False
New York,49489,29659.0,,7628.9,138.0,13706.0,15948.2,30416.8,21322.2,25974.5,25790.0,-19830.0,,-41860.1,-49351.0,-35783.0,-33540.8,-19072.2,-28166.8,-23514.5,-23699.0,,False,False,False,False,True,False,False,False
North Carolina,73348,80052.0,,68399.6,86374.0,79418.0,40018.3,45598.6,53254.6,92335.8,64763.0,6704.0,,-4948.4,13026.0,6070.0,-33329.7,-27749.4,-20093.4,18987.8,-8585.0,,True,False,True,False,False,False,False,False
North Dakota,19777,12236.0,,16569.7,121.0,11954.0,9557.6,11274.7,9526.2,15701.1,7994.0,-7541.0,,-3207.3,-19656.0,-7823.0,-10219.4,-8502.3,-10250.8,-4075.9,-11783.0,,True,False,False,False,False,False,True,False
Ohio,58905,50085.0,,39234.3,30942.0,49152.0,29119.6,24353.2,43828.8,66840.6,34423.0,-8820.0,,-19670.7,-27963.0,-9753.0,-29785.4,-34551.8,-15076.2,7935.6,-24482.0,,False,False,False,False,False,False,True,False
Oklahoma,49115,33278.0,,31776.2,27244.0,40427.0,23963.4,15202.2,24762.4,41269.1,23160.0,-15837.0,,-17338.8,-21871.0,-8688.0,-25151.6,-33912.8,-24352.6,-7845.9,-25955.0,,False,False,True,False,False,False,True,False
Oregon,13022,11081.0,,10466.0,9844.0,8518.0,6323.9,5246.8,9264.6,9477.6,7899.0,-1941.0,,-2556.0,-3178.0,-4504.0,-6698.1,-7775.2,-3757.4,-3544.4,-5123.0,,False,False,False,False,False,False,False,False
Pennsylvania,48092,30912.0,,27147.6,2505.0,21076.0,17326.6,16927.1,23100.4,27461.0,22645.0,-17180.0,,-20944.4,-45587.0,-27016.0,-30765.4,-31164.9,-24991.6,-20631.0,-25447.0,,False,False,False,False,False,False,False,False
Rhode Island,6138,4627.0,,2339.6,2.0,3126.0,1467.6,349.2,5290.0,3262.0,3003.0,-1511.0,,-3798.4,-6136.0,-3012.0,-4670.4,-5788.8,-848.0,-2876.0,-3135.0,,False,False,False,False,False,True,False,False
South Carolina,45965,41678.0,,35048.1,16175.0,34431.0,27925.2,36977.5,39687.7,60668.8,27875.0,-4287.0,,-10916.9,-29790.0,-11534.0,-18039.8,-8987.5,-6277.3,14703.8,-18090.0,,False,False,False,False,False,False,False,False
South Dakota,19669,12649.0,,17823.6,338.0,8848.0,13936.0,11461.5,9570.2,30092.2,11669.0,-7020.0,,-1845.4,-19331.0,-10821.0,-5733.0,-8207.5,-10098.8,10423.2,-8000.0,,True,False,False,True,False,False,False,False
Tennessee,73859,71379.0,,56256.8,33314.0,58075.0,34549.6,32028.0,40066.4,37262.1,34730.0,-2480.0,,-17602.2,-40545.0,-15784.0,-39309.4,-41831.0,-33792.6,-36596.9,-39129.0,,False,False,False,False,False,False,False,False
Texas,221691,262304.0,,182151.3,159255.0,267498.0,100515.7,73066.5,191605.4,102676.4,119617.0,40613.0,,-39539.7,-62436.0,45807.0,-121175.3,-148624.5,-30085.6,-119014.6,-102074.0,,True,False,False,False,False,True,False,False
Utah,41891,18144.0,,19868.4,8584.0,16509.0,11131.5,7842.4,17715.7,20356.9,13422.0,-23747.0,,-22022.6,-33307.0,-25382.0,-30759.5,-34048.6,-24175.3,-21534.1,-28469.0,,True,False,False,False,False,False,True,False
Vermont,321,364.0,,301.3,55.0,405.0,221.5,121.9,398.3,879.5,428.0,43.0,,-19.7,-266.0,84.0,-99.5,-199.1,77.3,558.5,107.0,,True,False,False,False,False,False,False,False
Virginia,46429,47082.0,,40629.6,7918.0,33480.0,26912.1,25064.4,42440.3,59943.4,0.0,653.0,,-5799.4,-38511.0,-12949.0,-19516.9,-21364.6,-3988.7,13514.4,-46429.0,,False,False,False,False,False,False,False,False
Washington,23792,22988.0,,12999.6,35634.0,17676.0,13890.7,7868.0,18784.3,19497.2,20920.0,-804.0,,-10792.4,11842.0,-6116.0,-9901.3,-15924.0,-5007.7,-4294.8,-2872.0,,False,False,False,False,False,False,False,False
West Virginia,9835,5495.0,,4878.9,4811.0,5408.0,4340.6,2392.3,4023.1,11168.3,4971.0,-4340.0,,-4956.1,-5024.0,-4427.0,-5494.4,-7442.7,-5811.9,1333.3,-4864.0,,False,False,False,False,False,False,True,False
Wisconsin,91386,33537.0,,39150.1,20634.0,36437.0,16650.3,13303.1,19552.4,28551.1,26017.0,-57849.0,,-52235.9,-70752.0,-54949.0,-74735.7,-78082.9,-71833.6,-62834.9,-65369.0,,True,False,True,False,False,False,False,False
Wyoming,5021,1764.0,,1507.5,1021.0,2328.0,1136.5,57.5,1446.6,367.5,1658.0,-3257.0,,-3513.5,-4000.0,-2693.0,-3884.5,-4963.5,-3574.4,-4653.5,-3363.0,,False,False,True,False,False,False,False,False
US,2148196,2058168.0,1484720.0,1088483.7,1197441.0,2151044.0,959511.0,1035414.8,1881332.6,1530063.8,1257373.0,-90028.0,-663476.0,-1059712.3,-950755.0,2848.0,-1188685.0,-1112781.2,-266863.4,-618132.2,-890823.0,False,False,False,True,False,False,False,False,False
