,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,46479,56785.0,43389.5,38734.0,65055.0,,49309.0,42356.0,37805.3,10439.9,,24743.0,51886.0,57039.5,56504.6,32841.4,49418.7,34500.7,41023.8,30662.0,,24263.8,25771.8,37546.6,46079.8,39257.9,39168.0,10306.0,-3089.5,-7745.0,18576.0,,2830.0,-4123.0,-8673.7,-36039.1,,-21736.0,5407.0,10560.5,10025.6,-13637.6,2939.7,-11978.3,-5455.2,-15817.0,,-22215.2,-20707.2,-8932.4,-399.2,-7221.1,-7311.0,True,True,False,,True,True,True,False,,False,True,False,True,False,True,False,True,False,,False,False,True,True,True,True
Hawaii,3361,4475.0,3697.3,3394.0,1654.0,,3738.5,4389.0,6007.8,340.6,,,,1748.9,6151.7,7382.1,6970.9,2713.4,2808.7,1888.0,,1661.3,388.4,5492.6,2943.5,1790.1,2349.0,1114.0,336.3,33.0,-1707.0,,377.5,1028.0,2646.8,-3020.4,,,,-1612.1,2790.7,4021.1,3609.9,-647.6,-552.3,-1473.0,,-1699.7,-2972.6,2131.6,-417.5,-1570.9,-1012.0,True,True,False,,True,True,False,False,,,,False,False,False,False,True,True,False,,False,False,False,True,False,True
Idaho,17415,8465.0,6624.0,6608.0,8521.0,,8319.6,7400.0,9842.0,1678.7,,4068.0,11552.0,8842.9,11685.3,8579.6,6981.3,6775.5,5515.1,7090.0,,1902.5,5940.1,6038.6,6962.0,11485.9,6141.0,-8950.0,-10791.0,-10807.0,-8894.0,,-9095.4,-10015.0,-7573.0,-15736.3,,-13347.0,-5863.0,-8572.1,-5729.7,-8835.4,-10433.7,-10639.5,-11899.9,-10325.0,,-15512.5,-11474.9,-11376.4,-10453.0,-5929.1,-11274.0,False,False,True,,False,False,True,False,,False,True,True,True,True,False,False,False,False,,False,False,False,False,True,False
Illinois,81387,59485.0,47016.0,41970.0,101602.0,,51483.0,13290.0,47636.7,11193.3,,25441.0,62060.0,73064.9,69706.7,51649.4,123710.7,33168.4,39807.8,38767.0,,42698.9,90253.0,46512.0,47338.5,43660.6,47128.0,-21902.0,-34371.0,-39417.0,20215.0,,-29904.0,-68097.0,-33750.3,-70193.7,,-55946.0,-19327.0,-8322.1,-11680.3,-29737.6,42323.7,-48218.6,-41579.2,-42620.0,,-38688.1,8866.0,-34875.0,-34048.5,-37726.4,-34259.0,False,False,True,,False,False,False,False,,False,True,True,True,False,False,False,False,False,,False,True,False,False,False,False
Indiana,41416,28000.0,23688.9,22994.0,35652.0,,29392.8,22782.0,23626.1,5506.0,,11922.0,26220.0,23941.0,32767.6,29495.8,36477.5,26750.0,23408.1,21905.0,,16897.3,38157.7,19557.1,23091.8,42230.2,20834.0,-13416.0,-17727.1,-18422.0,-5764.0,,-12023.2,-18634.0,-17789.9,-35910.0,,-29494.0,-15196.0,-17475.0,-8648.4,-11920.2,-4938.5,-14666.0,-18007.9,-19511.0,,-24518.7,-3258.3,-21858.9,-18324.2,814.2,-20582.0,False,False,True,,True,False,False,False,,False,False,False,True,True,True,False,False,False,,False,True,False,False,True,False
Iowa,32493,22575.0,17015.0,16288.0,27718.0,,22614.7,25657.0,16623.6,3404.6,,10068.0,22634.0,14156.0,29655.9,16562.8,61241.0,13377.4,14054.8,14357.0,,12103.9,12384.7,14458.3,15426.2,10693.4,11996.0,-9918.0,-15478.0,-16205.0,-4775.0,,-9878.3,-6836.0,-15869.4,-29088.4,,-22425.0,-9859.0,-18337.0,-2837.1,-15930.2,28748.0,-19115.6,-18438.2,-18136.0,,-20389.1,-20108.3,-18034.7,-17066.8,-21799.6,-20497.0,False,False,True,,True,True,False,False,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,False
Kansas,21365,15010.0,11462.1,11083.0,14480.0,,13892.2,16929.0,8946.5,2548.3,,6429.0,17841.0,10635.2,26004.6,14183.4,22413.3,5766.5,8868.0,7629.0,,5366.3,19940.1,10220.9,12345.3,5094.6,7153.0,-6355.0,-9902.9,-10282.0,-6885.0,,-7472.8,-4436.0,-12418.5,-18816.7,,-14936.0,-3524.0,-10729.8,4639.6,-7181.6,1048.3,-15598.5,-12497.0,-13736.0,,-15998.7,-1424.9,-11144.1,-9019.7,-16270.4,-14212.0,False,False,False,,False,True,False,False,,False,True,False,True,False,True,False,False,False,,False,True,False,False,False,False
Kentucky,30382,19755.0,15693.4,16488.0,27612.0,,22330.8,21082.0,24494.3,3720.7,,9347.0,26932.0,24472.0,27205.6,21990.7,24368.8,15133.6,15366.7,13553.0,,11384.3,23008.6,11922.4,13892.3,19912.5,12498.0,-10627.0,-14688.6,-13894.0,-2770.0,,-8051.2,-9300.0,-5887.7,-26661.3,,-21035.0,-3450.0,-5910.0,-3176.4,-8391.3,-6013.2,-15248.4,-15015.3,-16829.0,,-18997.7,-7373.4,-18459.6,-16489.7,-10469.5,-17884.0,False,False,True,,True,True,True,False,,False,True,True,True,True,True,False,False,False,,False,True,False,False,True,False
Louisiana,18464,23505.0,18985.8,16507.0,56313.0,,13843.2,13516.0,40976.8,4964.2,,7304.0,25492.0,11170.9,16906.4,10431.8,6995.4,17616.8,16542.6,15828.0,,8915.6,2260.7,21632.4,23405.5,19423.9,10270.0,5041.0,521.8,-1957.0,37849.0,,-4620.8,-4948.0,22512.8,-13499.8,,-11160.0,7028.0,-7293.1,-1557.6,-8032.2,-11468.6,-847.2,-1921.4,-2636.0,,-9548.4,-16203.3,3168.4,4941.5,959.9,-8194.0,True,True,False,,True,True,False,False,,False,False,False,True,False,False,True,True,True,,False,False,True,True,True,False
Maine,1078,1005.0,810.9,765.0,623.0,,850.4,290.0,712.7,215.7,,398.0,1939.0,1253.4,1549.9,1615.2,1059.3,651.5,736.9,731.0,,600.8,307.4,934.6,746.3,1593.9,833.0,-73.0,-267.1,-313.0,-455.0,,-227.6,-788.0,-365.3,-862.3,,-680.0,861.0,175.4,471.9,537.2,-18.7,-426.5,-341.1,-347.0,,-477.2,-770.6,-143.4,-331.7,515.9,-245.0,False,False,False,,False,False,False,False,,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False
Maryland,19594,19630.0,15641.4,14165.0,57672.0,,22716.5,1342.0,14831.3,3888.8,,7923.0,17874.0,22643.5,16316.3,22968.0,12066.2,12808.4,15449.3,13058.0,,12294.7,18931.9,16716.5,18643.6,18656.5,17756.0,36.0,-3952.6,-5429.0,38078.0,,3122.5,-18252.0,-4762.7,-15705.2,,-11671.0,-1720.0,3049.5,-3277.7,3374.0,-7527.8,-6785.6,-4144.7,-6536.0,,-7299.3,-662.1,-2877.5,-950.4,-937.5,-1838.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Massachusetts,18390,11720.0,9192.8,8059.0,25838.0,,3283.6,254.0,8971.8,2156.5,,3634.0,8462.0,12180.7,545.7,11407.7,16501.6,8045.1,9581.1,3424.0,,3707.8,5377.3,8598.9,,49674.6,10643.0,-6670.0,-9197.2,-10331.0,7448.0,,-15106.4,-18136.0,-9418.2,-16233.5,,-14756.0,-9928.0,-6209.3,-17844.3,-6982.3,-1888.4,-10344.9,-8808.9,-14966.0,,-14682.2,-13012.7,-9791.1,,31284.6,-7747.0,False,False,False,,False,False,False,False,,False,False,True,False,False,True,False,False,False,,False,False,False,,False,False
Michigan,38047,29335.0,23822.7,21130.0,75379.0,,26071.5,10408.0,16111.4,6055.1,,11220.0,25880.0,33099.5,25952.1,34591.3,29477.3,14066.7,18119.0,17000.0,,3393.5,33814.2,40554.3,17838.9,22855.9,32807.0,-8712.0,-14224.3,-16917.0,37332.0,,-11975.5,-27639.0,-21935.6,-31991.9,,-26827.0,-12167.0,-4947.5,-12094.9,-3455.7,-8569.7,-23980.3,-19928.0,-21047.0,,-34653.5,-4232.8,2507.3,-20208.1,-15191.1,-5240.0,False,False,False,,False,False,False,False,,False,False,True,False,True,True,False,False,False,,False,True,True,False,False,True
Minnesota,37502,18540.0,14927.3,14086.0,17395.0,,23407.2,2847.0,16714.0,3695.5,,8068.0,25427.0,12672.7,22930.2,18220.7,28696.0,11560.9,13392.0,11138.0,,13295.8,26970.5,12676.2,14604.0,13695.4,9705.0,-18962.0,-22574.7,-23416.0,-20107.0,,-14094.8,-34655.0,-20788.0,-33806.5,,-29434.0,-12075.0,-24829.3,-14571.8,-19281.3,-8806.0,-25941.1,-24110.0,-26364.0,,-24206.2,-10531.5,-24825.8,-22898.0,-23806.6,-27797.0,False,False,False,,True,False,False,False,,False,True,False,True,False,True,False,False,False,,False,True,False,False,False,False
Mississippi,20386,15710.0,13368.8,9831.0,14163.0,,13447.4,10502.0,11848.1,3090.8,,6732.0,17831.0,9342.4,13964.3,10922.0,12155.1,8699.2,9936.1,7062.0,,7355.9,1830.8,9255.0,16434.5,7779.2,7942.0,-4676.0,-7017.2,-10555.0,-6223.0,,-6938.6,-9884.0,-8537.9,-17295.2,,-13654.0,-2555.0,-11043.6,-6421.7,-9464.0,-8230.9,-11686.8,-10449.9,-13324.0,,-13030.1,-18555.2,-11131.0,-3951.5,-12606.8,-12444.0,False,False,False,,False,False,False,False,,False,True,False,False,False,False,False,False,False,,False,False,False,True,False,False
Missouri,54818,45595.0,35179.5,33537.0,46937.0,,48304.0,36217.0,31973.2,8813.7,,20814.0,36388.0,54555.2,56259.1,30763.1,38741.6,43351.7,36189.8,36236.0,,24581.2,108223.0,27236.6,37020.4,57233.7,33792.0,-9223.0,-19638.5,-21281.0,-7881.0,,-6514.0,-18601.0,-22844.8,-46004.3,,-34004.0,-18430.0,-262.8,1441.1,-24054.9,-16076.4,-11466.3,-18628.2,-18582.0,,-30236.8,53405.0,-27581.4,-17797.6,2415.7,-21026.0,False,False,True,,True,False,False,False,,False,False,True,True,False,False,False,False,False,,False,False,False,False,True,False
Montana,13300,3805.0,2936.1,2691.0,3124.0,,4060.2,2887.0,3134.1,757.0,,1609.0,5683.0,4632.5,6398.9,3397.8,4438.9,2647.8,2631.3,2143.0,,1751.2,8313.2,1269.7,3188.1,3243.4,2745.0,-9495.0,-10363.9,-10609.0,-10176.0,,-9239.8,-10413.0,-10165.9,-12543.0,,-11691.0,-7617.0,-8667.5,-6901.1,-9902.2,-8861.1,-10652.2,-10668.7,-11157.0,,-11548.8,-4986.8,-12030.3,-10111.9,-10056.6,-10555.0,False,False,False,,True,False,False,False,,False,True,True,True,False,True,False,False,False,,False,True,False,False,False,False
Nebraska,19212,11575.0,9318.7,7107.0,8835.0,,10399.1,551.0,6562.0,2209.6,,4770.0,9938.0,13567.2,14482.5,6999.8,14270.7,6590.3,6945.2,7239.0,,4503.5,6961.9,9807.1,7167.4,8258.4,10061.0,-7637.0,-9893.3,-12105.0,-10377.0,,-8812.9,-18661.0,-12650.0,-17002.4,,-14442.0,-9274.0,-5644.8,-4729.5,-12212.2,-4941.3,-12621.7,-12266.8,-11973.0,,-14708.5,-12250.1,-9404.9,-12044.6,-10953.6,-9151.0,False,False,False,,False,False,False,False,,False,False,True,True,False,True,False,False,False,,False,False,False,False,False,False
Nevada,16432,10590.0,8418.8,6963.0,8248.0,,11000.6,8158.0,8563.1,1368.2,,4406.0,9273.0,5005.1,9297.9,5856.9,9385.2,6093.2,6475.6,4051.0,,4662.0,24839.4,8043.3,10261.3,5751.2,5502.0,-5842.0,-8013.2,-9469.0,-8184.0,,-5431.4,-8274.0,-7868.9,-15063.8,,-12026.0,-7159.0,-11426.9,-7134.1,-10575.1,-7046.8,-10338.8,-9956.4,-12381.0,,-11770.0,8407.4,-8388.7,-6170.7,-10680.8,-10930.0,False,False,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
New Hampshire,1973,1140.0,926.6,897.0,6594.0,,1280.4,4.0,850.9,317.3,,442.0,1053.0,1819.9,1171.9,1841.0,128.9,887.2,1049.4,1197.0,,824.7,74.0,1055.1,1131.0,3047.6,2453.0,-833.0,-1046.4,-1076.0,4621.0,,-692.6,-1969.0,-1122.1,-1655.7,,-1531.0,-920.0,-153.1,-801.1,-132.0,-1844.1,-1085.8,-923.6,-776.0,,-1148.3,-1899.0,-917.9,-842.0,1074.6,480.0,False,False,False,,True,False,False,False,,False,False,True,True,True,False,False,False,True,,False,False,False,False,False,True
New Jersey,22401,12950.0,9932.4,10403.0,51428.0,,8640.0,124.0,9189.1,2628.3,,3163.0,12998.0,17850.6,8889.7,32132.9,15785.7,8067.0,11221.2,7823.0,,13559.6,3079.7,15263.7,8992.2,9171.7,14141.0,-9451.0,-12468.6,-11998.0,29027.0,,-13761.0,-22277.0,-13211.9,-19772.7,,-19238.0,-9403.0,-4550.4,-13511.3,9731.9,-6615.3,-14334.0,-11179.8,-14578.0,,-8841.4,-19321.3,-7137.3,-13408.8,-13229.3,-8260.0,False,False,False,,False,False,False,False,,False,True,True,False,False,True,False,False,False,,True,False,True,False,False,True
New Mexico,9682,3065.0,2421.9,2296.0,2140.0,,3587.0,1504.0,2683.0,369.2,,1337.0,4026.0,2729.3,3816.7,5689.9,1897.4,2164.3,2551.2,1848.0,,1413.2,15711.3,2027.7,4294.3,2594.6,1823.0,-6617.0,-7260.1,-7386.0,-7542.0,,-6095.0,-8178.0,-6999.0,-9312.8,,-8345.0,-5656.0,-6952.7,-5865.3,-3992.1,-7784.6,-7517.7,-7130.8,-7834.0,,-8268.8,6029.3,-7654.3,-5387.7,-7087.4,-7859.0,False,False,False,,True,False,False,False,,False,True,False,True,True,False,False,False,False,,False,True,False,True,False,False
New York,39251,24340.0,19383.2,19191.0,47366.0,,12886.8,57.0,18840.9,5020.5,,5280.0,12202.0,32548.7,22648.9,38098.5,23198.7,15525.0,21106.0,15021.0,,19452.7,3671.0,28061.6,22112.9,27984.8,21393.0,-14911.0,-19867.8,-20060.0,8115.0,,-26364.2,-39194.0,-20410.1,-34230.5,,-33971.0,-27049.0,-6702.3,-16602.1,-1152.5,-16052.3,-23726.0,-18145.0,-24230.0,,-19798.3,-35580.0,-11189.4,-17138.1,-11266.2,-17858.0,False,False,True,,False,False,False,False,,False,False,True,False,True,False,False,False,False,,False,False,True,False,True,False
North Carolina,54780,39615.0,29946.9,29059.0,35111.0,,37259.6,58657.0,29936.9,6131.3,,17359.0,45417.0,29572.0,48230.7,45452.8,36329.6,28340.3,28846.5,24414.0,,26199.2,83204.7,22826.9,37182.9,25588.7,20572.0,-15165.0,-24833.1,-25721.0,-19669.0,,-17520.4,3877.0,-24843.1,-48648.7,,-37421.0,-9363.0,-25208.0,-6549.3,-9327.2,-18450.4,-26439.7,-25933.5,-30366.0,,-28580.8,28424.7,-31953.1,-17597.1,-29191.3,-34208.0,False,False,False,,False,True,False,False,,False,True,False,True,True,False,False,False,False,,False,False,False,False,False,False
North Dakota,16110,9085.0,7161.2,7116.0,7824.0,,13716.2,41.0,7486.4,1650.9,,4331.0,7680.0,10251.7,9090.7,3398.5,18940.0,10733.9,7113.2,8841.0,,9322.8,6683.6,6949.1,8342.7,13023.0,6789.0,-7025.0,-8948.8,-8994.0,-8286.0,,-2393.8,-16069.0,-8623.6,-14459.1,,-11779.0,-8430.0,-5858.3,-7019.3,-12711.5,2830.0,-5376.1,-8996.8,-7269.0,,-6787.2,-9426.4,-9160.9,-7767.3,-3087.0,-9321.0,False,False,False,,True,False,False,False,,False,False,True,True,False,True,True,False,False,,True,False,False,False,True,False
Ohio,43657,33915.0,27115.7,25472.0,29871.0,,36581.8,26077.0,22167.7,6753.1,,14585.0,32316.0,40672.3,38599.7,39305.4,31360.6,23983.4,27842.4,23037.0,,13859.4,18271.2,18512.6,26703.6,31774.9,27437.0,-9742.0,-16541.3,-18185.0,-13786.0,,-7075.2,-17580.0,-21489.3,-36903.9,,-29072.0,-11341.0,-2984.7,-5057.3,-4351.6,-12296.4,-19673.6,-15814.6,-20620.0,,-29797.6,-25385.8,-25144.4,-16953.4,-11882.1,-16220.0,False,False,False,,True,False,False,False,,False,False,True,True,True,False,False,False,False,,False,False,False,False,False,False
Oklahoma,37809,27360.0,21843.7,19141.0,36931.0,,28129.4,18075.0,15974.1,5306.5,,12305.0,25447.0,33750.0,38674.2,21781.5,21856.1,19338.7,20884.2,20129.0,,15354.3,81797.4,15069.5,18866.2,28076.9,21216.0,-10449.0,-15965.3,-18668.0,-878.0,,-9679.6,-19734.0,-21834.9,-32502.5,,-25504.0,-12362.0,-4059.0,865.2,-16027.5,-15952.9,-18470.3,-16924.8,-17680.0,,-22454.7,43988.4,-22739.5,-18942.8,-9732.1,-16593.0,False,False,True,,True,False,False,False,,False,False,True,True,False,False,False,False,False,,False,False,False,False,True,False
Oregon,10159,6500.0,5308.9,5105.0,8765.0,,6637.6,5212.0,4541.5,1064.3,,2790.0,5972.0,6637.6,8825.7,11795.1,6297.0,4401.6,5217.1,3505.0,,3372.8,15702.3,3744.8,5394.9,6766.6,5755.0,-3659.0,-4850.1,-5054.0,-1394.0,,-3521.4,-4947.0,-5617.5,-9094.7,,-7369.0,-4187.0,-3521.4,-1333.3,1636.1,-3862.0,-5757.4,-4941.9,-6654.0,,-6786.2,5543.3,-6414.2,-4764.1,-3392.4,-4404.0,False,False,True,,True,False,False,False,,False,False,True,True,True,False,False,False,False,,False,False,False,False,True,False
