,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IowaStateLW-STEM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New York,54664,34112.0,,24211.0,12771.0,30118.1,19758.1,31912.9,25666.0,-20552.0,,-30453.0,-41893.0,-24545.9,-34905.9,-22751.1,-28998.0,,False,False,False,False,False,False
North Carolina,84836,79488.0,,54970.0,66728.0,50415.8,57603.8,112188.2,39713.0,-5348.0,,-29866.0,-18108.0,-34420.2,-27232.2,27352.2,-45123.0,,False,False,False,False,False,False
North Dakota,21525,10336.0,,10448.1,8457.0,7944.4,11344.4,16918.9,10438.0,-11189.0,,-11076.9,-13068.0,-13580.6,-10180.6,-4606.1,-11087.0,,True,False,False,True,True,True
Ohio,66060,51928.0,,33143.3,51842.0,27632.9,48333.6,32837.9,30920.0,-14132.0,,-32916.7,-14218.0,-38427.1,-17726.4,-33222.1,-35140.0,,False,False,False,False,False,False
Oklahoma,53869,38408.0,,23012.8,40982.0,15833.3,30999.2,39272.3,23360.0,-15461.0,,-30856.2,-12887.0,-38035.7,-22869.8,-14596.7,-30509.0,,False,True,False,False,True,False
Oregon,14605,13536.0,,10949.8,9652.0,7695.3,11721.1,9330.3,10905.0,-1069.0,,-3655.2,-4953.0,-6909.7,-2883.9,-5274.7,-3700.0,,False,False,False,False,False,False
Pennsylvania,52508,37032.0,,29957.2,24526.0,21647.8,26841.3,23532.4,22728.0,-15476.0,,-22550.8,-27982.0,-30860.2,-25666.7,-28975.6,-29780.0,,False,False,False,False,False,False
Rhode Island,6799,5496.0,,3514.5,9360.0,2006.3,6782.1,3922.8,2195.0,-1303.0,,-3284.5,2561.0,-4792.7,-16.9,-2876.2,-4604.0,,False,False,False,True,False,False
South Carolina,51919,43304.0,,20250.5,33780.0,20156.2,36136.8,27340.0,16145.0,-8615.0,,-31668.5,-18139.0,-31762.8,-15782.2,-24579.0,-35774.0,,False,False,False,False,False,False
South Dakota,21476,8136.0,,10651.0,5751.0,9142.2,15215.1,18869.0,12147.0,-13340.0,,-10825.0,-15725.0,-12333.8,-6260.9,-2607.0,-9329.0,,True,False,True,True,True,True
Tennessee,84056,82688.0,,33912.4,65411.0,55539.0,46696.8,50463.3,32613.0,-1368.0,,-50143.6,-18645.0,-28517.0,-37359.2,-33592.7,-51443.0,,False,False,False,False,False,False
Texas,262566,342376.0,,243435.0,416701.0,165511.7,286923.0,99681.7,160675.0,79810.0,,-19131.0,154135.0,-97054.3,24357.0,-162884.3,-101891.0,,True,False,False,True,False,False
Utah,44483,19944.0,,13632.1,17808.0,10106.4,21242.4,12593.9,9969.0,-24539.0,,-30850.9,-26675.0,-34376.6,-23240.6,-31889.1,-34514.0,,False,False,False,True,False,False
Vermont,373,352.0,,391.7,232.0,182.9,401.7,503.9,267.0,-21.0,,18.7,-141.0,-190.1,28.7,130.9,-106.0,,True,False,False,False,False,False
Virginia,53166,50544.0,,33593.7,34203.0,28956.4,44170.8,37679.3,0.0,-2622.0,,-19572.3,-18963.0,-24209.6,-8995.2,-15486.7,-53166.0,,False,False,False,False,False,False
Washington,28634,29680.0,,29263.3,18596.0,17429.9,25599.1,20050.5,20675.0,1046.0,,629.3,-10038.0,-11204.1,-3034.9,-8583.5,-7959.0,,True,False,False,False,False,False
West Virginia,10620,5784.0,,3051.3,5303.0,3354.7,3899.2,3617.8,4329.0,-4836.0,,-7568.7,-5317.0,-7265.4,-6720.8,-7002.2,-6291.0,,False,False,False,False,False,False
Wisconsin,96177,39624.0,,34997.3,38510.0,16056.5,25184.1,27749.7,20329.0,-56553.0,,-61179.7,-57667.0,-80120.5,-70992.9,-68427.3,-75848.0,,False,False,False,False,False,False
Wyoming,5281,2528.0,,1392.5,2004.0,861.6,2341.8,2999.8,2922.0,-2753.0,,-3888.5,-3277.0,-4419.4,-2939.2,-2281.2,-2359.0,,False,False,False,False,True,True
US,2446922,2447576.0,1291674.0,1415333.0,2357509.0,1350652.8,1951156.0,1352546.3,1180096.0,654.0,-1155248.0,-1031589.0,-89413.0,-1096269.2,-495766.0,-1094375.7,-1266826.0,False,False,False,False,False,False,False
