,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,69853,108705.0,90919.0,,76678.7,89183.0,91169.0,77443.1,98061.1,47578.9,,58167.7,82218.7,56231.4,78390.0,38852.0,21066.0,,6825.7,19330.0,21316.0,7590.1,28208.1,-22274.1,,-11685.3,12365.7,-13621.6,8537.0,True,,True,True,True,True,True,True,,True,True,True,True
Hawaii,6660,7395.0,9647.0,,14240.3,6643.0,,14028.6,55096.4,9709.0,,5354.9,11240.5,15828.8,8814.0,735.0,2987.0,,7580.3,-17.0,,7368.6,48436.4,3049.0,,-1305.1,4580.5,9168.8,2154.0,False,,False,True,,False,False,False,,False,False,False,False
Idaho,9772,14890.0,14257.0,,9114.4,11962.0,11844.0,20449.5,16241.3,6847.3,,7781.6,8244.7,7697.2,8239.0,5118.0,4485.0,,-657.6,2190.0,2072.0,10677.5,6469.3,-2924.7,,-1990.4,-1527.3,-2074.8,-1533.0,True,,True,True,True,False,False,True,,True,True,True,True
Illinois,69190,59265.0,81114.0,,57386.5,6518.0,46506.0,69970.9,103353.9,38862.1,,54509.2,89430.2,60760.0,49735.0,-9925.0,11924.0,,-11803.5,-62672.0,-22684.0,780.9,34163.9,-30327.9,,-14680.8,20240.2,-8430.0,-19455.0,False,,False,False,False,True,False,False,,False,False,True,False
Indiana,31083,31945.0,43333.0,,35202.4,8984.0,23015.0,41069.7,39939.0,20556.0,,26110.6,39904.1,27601.3,35933.0,862.0,12250.0,,4119.4,-22099.0,-8068.0,9986.7,8856.0,-10527.0,,-4972.4,8821.1,-3481.7,4850.0,False,,False,False,False,False,False,False,,False,False,False,False
Iowa,27739,17650.0,30360.0,,13081.5,2697.0,12448.0,18149.6,14827.4,13241.6,,11938.0,13628.9,24028.0,10608.0,-10089.0,2621.0,,-14657.5,-25042.0,-15291.0,-9589.4,-12911.6,-14497.4,,-15801.0,-14110.1,-3711.0,-17131.0,True,,False,False,False,True,False,False,,False,False,True,False
Kansas,18601,17110.0,37949.0,,,11312.0,15904.0,20854.2,15581.2,9305.3,,5929.8,10551.2,15459.9,14660.0,-1491.0,19348.0,,,-7289.0,-2697.0,2253.2,-3019.8,-9295.7,,-12671.2,-8049.8,-3141.1,-3941.0,False,,,False,False,False,False,False,,False,False,False,False
Kentucky,22176,21760.0,33201.0,,,14733.0,19426.0,31490.7,16652.7,10192.7,,7565.5,22859.4,15165.5,18002.0,-416.0,11025.0,,,-7443.0,-2750.0,9314.7,-5523.3,-11983.3,,-14610.5,683.4,-7010.5,-4174.0,False,,,False,False,False,False,False,,False,False,False,False
Louisiana,24585,39955.0,25865.0,,,33505.0,45924.0,29763.3,36530.8,20641.1,,21311.5,31079.8,13780.1,13453.0,15370.0,1280.0,,,8920.0,21339.0,5178.3,11945.8,-3943.9,,-3273.5,6494.8,-10804.9,-11132.0,True,,,True,False,True,True,True,,True,True,True,True
Maine,891,580.0,777.0,,,191.0,128.0,1435.5,383.1,502.4,,604.2,630.4,1119.9,475.0,-311.0,-114.0,,,-700.0,-763.0,544.5,-507.9,-388.6,,-286.8,-260.6,228.9,-416.0,True,,,False,False,False,False,False,,True,True,True,False
Maryland,20051,25560.0,33205.0,,,5604.0,17545.0,22744.2,19177.7,14326.1,,20270.6,29182.6,15196.2,17886.0,5509.0,13154.0,,,-14447.0,-2506.0,2693.2,-873.3,-5724.9,,219.6,9131.6,-4854.8,-2165.0,False,,,False,True,True,True,False,,True,False,True,True
Massachusetts,11403,12440.0,1362.0,,,4800.0,10298.0,9165.4,20213.6,8169.7,,710.5,16681.3,2576.0,10605.0,1037.0,-10041.0,,,-6603.0,-1105.0,-2237.6,8810.6,-3233.3,,-10692.5,5278.3,-8827.0,-798.0,False,,,False,False,False,False,False,,False,False,False,True
Michigan,26305,27955.0,45445.0,,,1233.0,26884.0,54774.1,32055.4,16927.1,,16886.0,33776.9,24668.9,27368.0,1650.0,19140.0,,,-25072.0,579.0,28469.1,5750.4,-9377.9,,-9419.0,7471.9,-1636.1,1063.0,False,,,False,True,False,False,False,,False,False,True,True
Minnesota,24308,21560.0,19290.0,,,5378.0,23499.0,25067.2,23855.9,16620.8,,16369.3,14056.9,20932.4,16545.0,-2748.0,-5018.0,,,-18930.0,-809.0,759.2,-452.1,-7687.2,,-7938.7,-10251.1,-3375.6,-7763.0,False,,,False,True,True,True,False,,False,False,False,False
Mississippi,21332,25545.0,18419.0,,,28166.0,27607.0,24959.4,22538.7,12396.9,,11163.1,19893.0,11185.1,13644.0,4213.0,-2913.0,,,6834.0,6275.0,3627.4,1206.7,-8935.1,,-10168.9,-1439.0,-10146.9,-7688.0,True,,,False,False,True,True,False,,False,True,False,False
Missouri,45860,44915.0,84664.0,,,36293.0,30012.0,46721.0,39724.5,31555.5,,23951.6,99061.1,49831.8,32465.0,-945.0,38804.0,,,-9567.0,-15848.0,861.0,-6135.5,-14304.5,,-21908.4,53201.1,3971.8,-13395.0,False,,,False,False,True,False,False,,False,False,False,False
Montana,4504,3850.0,2669.0,,,2896.0,5640.0,5759.6,4804.4,3141.0,,2373.0,1764.2,3939.1,3757.0,-654.0,-1835.0,,,-1608.0,1136.0,1255.6,300.4,-1363.0,,-2131.0,-2739.8,-564.9,-747.0,False,,,False,False,False,True,False,,False,False,True,False
Nebraska,10556,9980.0,13529.0,,,1172.0,7694.0,8935.3,15351.2,5605.4,,5497.1,9993.1,7320.2,7615.0,-576.0,2973.0,,,-9384.0,-2862.0,-1620.7,4795.2,-4950.6,,-5058.9,-562.9,-3235.8,-2941.0,False,,,False,False,False,False,False,,False,True,False,False
Nevada,14811,25945.0,17471.0,,,30296.0,19737.0,18330.1,21972.2,18276.1,,15650.0,18339.4,16950.5,14572.0,11134.0,2660.0,,,15485.0,4926.0,3519.1,7161.2,3465.1,,839.0,3528.4,2139.5,-239.0,True,,,False,True,True,True,True,,True,True,True,True
New Hampshire,940,810.0,1161.0,,,30.0,732.0,2170.3,206.8,443.1,,585.7,846.2,649.5,670.0,-130.0,221.0,,,-910.0,-208.0,1230.3,-733.2,-496.9,,-354.3,-93.8,-290.5,-270.0,False,,,False,False,False,False,False,,False,True,False,False
New Jersey,11867,15065.0,22465.0,,,340.0,8825.0,20516.9,15621.3,7466.8,,11033.4,19826.2,15002.6,14207.0,3198.0,10598.0,,,-11527.0,-3042.0,8649.9,3754.3,-4400.2,,-833.6,7959.2,3135.6,2340.0,False,,,False,True,False,False,False,,True,False,True,True
New Mexico,4210,5935.0,5214.0,,,4532.0,7271.0,8909.1,3746.6,3209.8,,3270.3,5227.0,3600.0,3315.0,1725.0,1004.0,,,322.0,3061.0,4699.1,-463.4,-1000.2,,-939.7,1017.0,-610.0,-895.0,True,,,True,False,False,True,True,,True,True,True,True
New York,24353,22780.0,26328.0,,,196.0,10471.0,62614.8,25102.6,14199.1,,16674.9,19622.9,28812.7,24073.0,-1573.0,1975.0,,,-24157.0,-13882.0,38261.8,749.6,-10153.9,,-7678.1,-4730.1,4459.7,-280.0,False,,,False,False,False,True,False,,False,False,False,True
North Carolina,50246,43780.0,43825.0,,,56074.0,45726.0,59896.1,40174.4,28923.6,,30164.8,36452.2,29124.2,29492.0,-6466.0,-6421.0,,,5828.0,-4520.0,9650.1,-10071.6,-21322.4,,-20081.2,-13793.8,-21121.8,-20754.0,True,,,True,True,False,False,False,,False,False,False,False
North Dakota,9163,4680.0,5002.0,,,305.0,4044.0,4498.3,4776.4,3436.4,,5437.4,5559.9,5009.7,4003.0,-4483.0,-4161.0,,,-8858.0,-5119.0,-4664.7,-4386.6,-5726.6,,-3725.6,-3603.1,-4153.3,-5160.0,True,,,False,False,False,True,False,,True,True,True,False
Ohio,35873,38525.0,44919.0,,,22763.0,34218.0,66440.2,33543.7,21025.1,,19141.3,34479.7,23991.3,30756.0,2652.0,9046.0,,,-13110.0,-1655.0,30567.2,-2329.3,-14847.9,,-16731.7,-1393.3,-11881.7,-5117.0,False,,,False,True,False,True,False,,False,True,False,False
Oklahoma,28006,23590.0,22037.0,,,29047.0,28459.0,37009.7,19004.0,14164.1,,10014.6,19581.6,20078.7,17910.0,-4416.0,-5969.0,,,1041.0,453.0,9003.7,-9002.0,-13841.9,,-17991.4,-8424.4,-7927.3,-10096.0,False,,,True,True,False,False,False,,False,False,False,False
Oregon,7581,10040.0,9657.0,,,11150.0,7704.0,21426.7,11489.6,7064.9,,7922.5,7624.6,9338.0,9123.0,2459.0,2076.0,,,3569.0,123.0,13845.7,3908.6,-516.1,,341.5,43.6,1757.0,1542.0,True,,,False,True,False,False,True,,True,True,True,True
Pennsylvania,25705,29330.0,47752.0,,,5444.0,16843.0,61574.4,25173.1,16286.5,,18887.2,33877.3,27590.5,24177.0,3625.0,22047.0,,,-20261.0,-8862.0,35869.4,-531.9,-9418.5,,-6817.8,8172.3,1885.5,-1528.0,False,,,False,False,False,True,False,,False,False,True,True
Rhode Island,3285,2985.0,4736.0,,,11.0,2281.0,1672.6,5253.3,1032.8,,874.4,3069.3,2946.6,1495.0,-300.0,1451.0,,,-3274.0,-1004.0,-1612.4,1968.3,-2252.2,,-2410.6,-215.7,-338.4,-1790.0,False,,,False,False,False,False,False,,False,True,False,False
South Carolina,31358,32110.0,23510.0,,,27628.0,29361.0,36556.7,27124.0,15356.8,,17372.9,24152.0,15305.9,13907.0,752.0,-7848.0,,,-3730.0,-1997.0,5198.7,-4234.0,-16001.2,,-13985.1,-7206.0,-16052.1,-17451.0,False,,,False,False,False,False,False,,False,False,False,False
South Dakota,8326,3205.0,3357.0,,,490.0,2383.0,2016.0,4288.1,2722.6,,3264.3,4975.8,5563.2,3151.0,-5121.0,-4969.0,,,-7836.0,-5943.0,-6310.0,-4037.9,-5603.4,,-5061.7,-3350.2,-2762.8,-5175.0,True,,,False,False,False,True,False,,True,True,True,False
Tennessee,49692,55810.0,57473.0,,,48259.0,47427.0,55253.1,45493.3,44776.5,,34270.1,38314.7,39325.0,31843.0,6118.0,7781.0,,,-1433.0,-2265.0,5561.1,-4198.7,-4915.5,,-15421.9,-11377.3,-10367.0,-17849.0,False,,,True,True,True,True,True,,False,False,False,False
Texas,162762,244600.0,261269.0,,,226640.0,282333.0,197482.4,209592.9,214200.5,,106194.5,153618.6,160215.3,141891.0,81838.0,98507.0,,,63878.0,119571.0,34720.4,46830.9,51438.5,,-56567.5,-9143.4,-2546.7,-20871.0,False,,,True,False,True,True,True,,True,True,True,True
Utah,16531,12850.0,10912.0,,,10271.0,10358.0,12729.0,10090.2,8423.9,,6492.5,13322.7,8516.3,7244.0,-3681.0,-5619.0,,,-6260.0,-6173.0,-3802.0,-6440.8,-8107.1,,-10038.5,-3208.3,-8014.7,-9287.0,False,,,False,False,False,False,False,,False,True,False,False
Vermont,201,275.0,393.0,,,16.0,156.0,964.6,365.5,177.0,,92.6,288.5,514.1,288.0,74.0,192.0,,,-185.0,-45.0,763.6,164.5,-24.0,,-108.4,87.5,313.1,87.0,False,,,False,True,False,False,True,,False,False,False,False
Virginia,33905,32805.0,33471.0,,,10074.0,24555.0,42530.1,39503.8,22200.7,,18644.8,23283.6,25980.0,0.0,-1100.0,-434.0,,,-23831.0,-9350.0,8625.1,5598.8,-11704.3,,-15260.2,-10621.4,-7925.0,-33905.0,True,,,False,False,False,False,False,,False,False,False,False
Washington,16041,21810.0,21039.0,,,25867.0,15519.0,35102.6,20717.3,15172.7,,16231.5,23514.1,16508.4,18931.0,5769.0,4998.0,,,9826.0,-522.0,19061.6,4676.3,-868.3,,190.5,7473.1,467.4,2890.0,True,,,False,True,False,True,True,,True,False,True,True
West Virginia,5427,4495.0,6440.0,,,4092.0,3397.0,9835.1,5730.4,3384.6,,2806.7,3316.7,5355.6,4820.0,-932.0,1013.0,,,-1335.0,-2030.0,4408.1,303.4,-2042.4,,-2620.3,-2110.3,-71.4,-607.0,False,,,False,False,False,True,False,,False,False,True,True
Wisconsin,34506,25615.0,27479.0,,,19722.0,21573.0,35607.2,24558.0,18440.3,,15927.4,10114.0,24202.4,17439.0,-8891.0,-7027.0,,,-14784.0,-12933.0,1101.2,-9948.0,-16065.7,,-18578.6,-24392.0,-10303.6,-17067.0,True,,,False,False,True,False,False,,False,False,False,False
Wyoming,1562,1060.0,647.0,,,917.0,1054.0,1884.4,3249.0,1058.4,,585.8,1259.9,2795.6,960.0,-502.0,-915.0,,,-645.0,-508.0,322.4,1687.0,-503.6,,-976.2,-302.1,1233.6,-602.0,False,,,False,False,True,False,False,,False,True,False,False
US,1413067,1816180.0,2233769.0,1344151.0,1252828.5,1393568.0,1542638.0,1868677.4,1644914.2,995205.8,1799358.5,1022409.1,1400332.5,1314379.7,1142359.0,403113.0,820702.0,-68916.0,-160238.5,-19499.0,129571.0,455610.4,231847.2,-417861.2,386291.5,-390657.9,-12734.5,-98687.3,-270708.0,False,True,True,True,True,False,True,False,True,True,True,True,True
