,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Nevada,6958,10176.0,10109.1,8794.0,6336.0,,9828.6,10758.0,8879.9,9315.0,8264.0,6463.6,9587.4,8020.5,8380.7,6471.0,,5771.3,9822.3,10209.6,7226.0,6768.0,3218.0,3151.1,1836.0,-622.0,,2870.6,3800.0,1921.9,2357.0,1306.0,-494.4,2629.4,1062.5,1422.7,-487.0,,-1186.7,2864.3,3251.6,268.0,-190.0,True,True,True,,True,False,True,True,True,True,True,True,True,True,,True,True,False,True,True
New Hampshire,674,456.0,456.0,363.0,675.0,,315.0,10.0,341.2,377.0,582.6,1001.9,98.4,282.6,391.8,434.0,,312.7,352.3,754.9,363.0,375.0,-218.0,-218.0,-311.0,1.0,,-359.0,-664.0,-332.8,-297.0,-91.4,327.9,-575.6,-391.4,-282.2,-240.0,,-361.3,-321.7,80.9,-311.0,-299.0,False,False,True,,False,False,False,False,True,False,False,False,False,False,,False,False,True,False,False
New Jersey,7989,5922.0,5570.5,5744.0,6723.0,,4145.8,110.0,4972.3,6579.0,1839.2,10271.7,8694.3,4776.6,6101.9,5539.0,,4026.9,6088.2,,6379.9,5191.0,-2067.0,-2418.5,-2245.0,-1266.0,,-3843.2,-7879.0,-3016.7,-1410.0,-6149.8,2282.7,705.3,-3212.4,-1887.1,-2450.0,,-3962.1,-1900.8,,-1609.1,-2798.0,False,False,True,,False,False,False,True,False,False,True,False,True,False,,False,True,,True,False
New Mexico,2334,2628.0,2526.1,2481.0,2991.0,,2448.2,1708.0,2311.0,2806.0,2634.8,3190.9,1879.6,1992.9,2520.1,2162.0,,1469.3,2139.4,3092.7,2599.8,2549.0,294.0,192.1,147.0,657.0,,114.2,-626.0,-23.0,472.0,300.8,856.9,-454.4,-341.1,186.1,-172.0,,-864.7,-194.6,758.7,265.8,215.0,True,True,False,,True,False,True,False,False,False,False,False,True,True,,False,True,False,True,True
New York,15636,12711.0,12665.7,11843.0,15449.0,,6241.8,125.0,10493.7,8727.0,4890.0,22964.1,14018.9,9956.3,13027.5,12159.0,,14181.0,10574.7,,11666.0,12137.0,-2925.0,-2970.3,-3793.0,-187.0,,-9394.2,-15511.0,-5142.3,-6909.0,-10746.0,7328.1,-1617.1,-5679.7,-2608.5,-3477.0,,-1455.0,-5061.3,,-3970.0,-3499.0,False,False,True,,False,False,False,False,False,False,True,False,True,False,,True,False,,False,False
North Carolina,27889,34308.0,34498.9,32006.0,44742.0,,29370.2,40871.0,25172.8,33933.0,36447.9,26542.2,23652.0,23723.7,31744.3,47328.0,,26257.2,28572.8,31491.9,39993.5,35101.0,6419.0,6609.9,4117.0,16853.0,,1481.2,12982.0,-2716.2,6044.0,8558.9,-1346.8,-4237.0,-4165.3,3855.3,19439.0,,-1631.8,683.8,3602.9,12104.5,7212.0,False,True,False,,True,False,True,True,False,True,True,True,True,False,,True,True,True,False,False
North Dakota,6123,5244.0,5141.8,5635.0,8380.0,,6100.8,98.0,7866.4,4679.0,6550.0,2474.4,6526.1,5199.1,5566.0,9840.0,,7428.5,4532.3,6155.0,7771.6,5146.0,-879.0,-981.2,-488.0,2257.0,,-22.2,-6025.0,1743.4,-1444.0,427.0,-3648.6,403.1,-923.9,-557.0,3717.0,,1305.5,-1590.7,32.0,1648.6,-977.0,False,True,False,,True,False,False,False,True,False,True,False,True,False,,False,False,True,False,False
Ohio,22227,21465.0,21264.5,20804.0,31161.0,,18533.6,16150.0,19027.5,21024.0,20015.3,29524.9,17559.3,17329.9,21612.2,21805.0,,13588.6,20637.6,17213.8,26677.4,17875.0,-762.0,-962.5,-1423.0,8934.0,,-3693.4,-6077.0,-3199.5,-1203.0,-2211.7,7297.9,-4667.7,-4897.1,-614.8,-422.0,,-8638.4,-1589.4,-5013.2,4450.4,-4352.0,False,False,False,,False,False,False,False,False,False,False,False,True,True,,False,False,False,False,False
Oklahoma,18451,14262.0,14206.1,14150.0,16588.0,,14004.3,13346.0,13499.5,16743.0,18986.6,16745.5,10897.6,13914.9,14553.1,14904.0,,9149.8,12399.2,12237.2,19093.9,13595.0,-4189.0,-4244.9,-4301.0,-1863.0,,-4446.7,-5105.0,-4951.5,-1708.0,535.6,-1705.5,-7553.4,-4536.1,-3897.9,-3547.0,,-9301.2,-6051.8,-6213.8,642.9,-4856.0,False,False,True,,False,False,False,True,True,True,False,False,True,True,,False,False,False,True,False
Oregon,4306,4749.0,4812.4,4593.0,4184.0,,4635.8,4863.0,4813.1,4404.0,5940.0,9417.0,4815.2,3776.4,4572.5,3592.0,,2806.8,4358.4,4304.0,4649.9,4207.0,443.0,506.4,287.0,-122.0,,329.8,557.0,507.1,98.0,1634.0,5111.0,509.2,-529.6,266.5,-714.0,,-1499.2,52.4,-2.0,343.9,-99.0,False,True,True,,True,False,False,True,False,False,False,False,True,False,,False,True,True,True,True
Pennsylvania,16660,13248.0,12256.3,11765.0,14354.0,,12418.6,2144.0,11421.0,10074.0,9392.9,21973.5,11976.8,10558.7,13290.5,11968.0,,8390.8,11885.0,12832.4,13153.2,11625.0,-3412.0,-4403.7,-4895.0,-2306.0,,-4241.4,-14516.0,-5239.0,-6586.0,-7267.1,5313.5,-4683.2,-6101.3,-3369.5,-4692.0,,-8269.2,-4775.0,-3827.6,-3506.8,-5035.0,False,False,True,,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
Rhode Island,1937,1983.0,1955.5,1486.0,2879.0,,1222.9,2.0,2829.4,2110.0,887.8,2031.3,2891.1,863.1,1297.6,1756.0,,199.4,2119.3,2120.2,1583.4,1610.0,46.0,18.5,-451.0,942.0,,-714.1,-1935.0,892.4,173.0,-1049.2,94.3,954.1,-1073.9,-639.4,-181.0,,-1737.6,182.3,183.2,-353.6,-327.0,True,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
South Carolina,19991,17862.0,18280.8,16729.0,25688.0,,15677.2,10216.0,13278.7,16538.0,15396.5,7989.2,12176.3,16748.5,19084.3,17936.0,,17083.7,18224.9,18575.4,27124.9,16721.0,-2129.0,-1710.2,-3262.0,5697.0,,-4313.8,-9775.0,-6712.3,-3453.0,-4594.5,-12001.8,-7814.7,-3242.5,-906.7,-2055.0,,-2907.3,-1766.1,-1415.6,7133.9,-3270.0,True,False,False,,False,False,False,False,False,False,False,False,True,True,,False,True,True,False,False
South Dakota,5502,5421.0,5723.4,6060.0,9923.0,,6278.1,222.0,6741.0,3735.0,7565.0,1233.8,9554.7,7466.6,5806.4,9806.0,,5858.4,4478.8,4085.9,17919.9,6733.0,-81.0,221.4,558.0,4421.0,,776.1,-5280.0,1239.0,-1767.0,2063.0,-4268.2,4052.7,1964.6,304.4,4304.0,,356.4,-1023.2,-1416.1,12417.9,1231.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Tennessee,29159,30591.0,30812.2,24033.0,33474.0,,25259.3,19726.0,26150.0,25773.0,49826.0,25269.5,20953.3,20205.7,21347.6,23597.0,,18679.5,23502.6,26909.5,22031.9,23327.0,1432.0,1653.2,-5126.0,4315.0,,-3899.7,-9433.0,-3009.0,-3386.0,20667.0,-3889.5,-8205.7,-8953.3,-7811.4,-5562.0,,-10479.5,-5656.4,-2249.5,-7127.1,-5832.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False
Texas,81812,112416.0,112374.0,88587.0,160595.0,,89239.5,90762.0,85674.6,116406.0,87733.3,74771.7,100517.3,60388.3,86689.6,78653.0,,44838.8,93533.1,105625.9,67307.0,76741.0,30604.0,30562.0,6775.0,78783.0,,7427.5,8950.0,3862.6,34594.0,5921.3,-7040.3,18705.3,-21423.7,4877.6,-3159.0,,-36973.2,11721.1,23813.9,-14505.0,-5071.0,True,True,False,,True,True,True,False,True,True,True,True,True,True,,False,True,True,True,True
Utah,11446,7776.0,7781.7,7360.0,7460.0,,8437.9,5047.0,6264.1,7038.0,7345.3,5436.0,5315.6,6732.7,8173.5,7918.0,,4091.4,7979.6,7599.4,8478.6,7310.0,-3670.0,-3664.3,-4086.0,-3986.0,,-3008.1,-6399.0,-5181.9,-4408.0,-4100.7,-6010.0,-6130.4,-4713.3,-3272.5,-3528.0,,-7354.6,-3466.4,-3846.6,-2967.4,-4136.0,True,False,False,,True,False,False,False,False,False,False,False,True,True,,False,True,False,True,False
Vermont,105,156.0,158.2,163.0,173.0,,155.2,33.0,128.0,173.0,225.2,443.6,208.9,136.6,180.3,201.0,,72.8,170.1,,251.5,167.0,51.0,53.2,58.0,68.0,,50.2,-72.0,23.0,68.0,120.2,338.6,103.9,31.6,75.3,96.0,,-32.2,65.1,,146.5,62.0,False,False,False,,True,False,True,False,False,False,False,True,False,False,,True,False,,False,False
Virginia,20846,20178.0,18776.4,18686.0,26299.0,,18184.1,6292.0,21092.9,16964.0,18625.4,20906.1,17035.8,16119.9,18725.6,19502.0,,12951.5,19352.9,16853.2,25331.2,0.0,-668.0,-2069.6,-2160.0,5453.0,,-2661.9,-14554.0,246.9,-3882.0,-2220.6,60.1,-3810.2,-4726.1,-2120.4,-1344.0,,-7894.5,-1493.1,-3992.8,4485.2,-20846.0,False,False,False,,False,False,True,False,False,True,False,False,False,False,,False,False,False,False,False
Washington,8320,9852.0,9866.4,9100.0,11480.0,,7463.4,15794.0,8197.5,8990.0,8438.8,12941.8,8337.6,8360.5,9107.2,7251.0,,4844.1,9283.4,9030.7,9549.2,10234.0,1532.0,1546.4,780.0,3160.0,,-856.6,7474.0,-122.5,670.0,118.8,4621.8,17.6,40.5,787.2,-1069.0,,-3475.9,963.4,710.7,1229.2,1914.0,False,True,False,,True,False,True,True,True,False,True,True,True,True,,False,True,True,True,False
West Virginia,3919,2355.0,2350.8,2346.0,2851.0,,2195.0,2222.0,2341.8,2348.0,4240.8,4118.0,1917.6,2514.1,2446.5,2150.0,,1456.7,2001.5,2154.1,3862.0,2274.0,-1564.0,-1568.2,-1573.0,-1068.0,,-1724.0,-1697.0,-1577.2,-1571.0,321.8,199.0,-2001.4,-1404.9,-1472.5,-1769.0,,-2462.3,-1917.5,-1764.9,-57.0,-1645.0,False,False,True,,False,False,False,False,True,True,False,True,True,False,,False,False,False,True,False
Wisconsin,24762,14373.0,14487.2,14003.0,16172.0,,15875.7,11108.0,14075.9,14961.0,17455.7,17127.1,13261.0,10712.0,12480.8,13135.0,,7705.5,11245.4,13561.5,14166.6,14112.0,-10389.0,-10274.8,-10759.0,-8590.0,,-8886.3,-13654.0,-10686.1,-9801.0,-7306.3,-7634.9,-11501.0,-14050.0,-12281.2,-11627.0,,-17056.5,-13516.6,-11200.5,-10595.4,-10650.0,True,False,True,,True,False,False,True,True,True,False,False,False,False,,False,False,False,False,False
