,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01021,237,84.0,86.5,,70.0,89.0,,,,,,,,36.0,,123.8,56.1,,61.9,67.7,,84.0,120.0,,33.7,,72.7,,,,,46.3,203.6,-153.0,-150.5,,-167.0,-148.0,,,,,,,,-201.0,,-113.2,-180.9,,-175.1,-169.3,,-153.0,-117.0,,-203.3,,-164.3,,,,,-190.7,-33.4,True,,False,True,,,,,,,,False,,True,False,,False,False,,False,True,,False,,False,,,,,False,True
01023,16,4.0,3.9,,4.0,7.0,,,,,,,,8.0,,24.8,7.2,,4.3,8.0,,,10.0,,1.3,,,,,,,3.6,9.2,-12.0,-12.1,,-12.0,-9.0,,,,,,,,-8.0,,8.8,-8.8,,-11.7,-8.0,,,-6.0,,-14.7,,,,,,,-12.4,-6.8,False,,False,True,,,,,,,,True,,True,True,,True,True,,,True,,False,,,,,,,False,True
01025,114,8.0,0.6,,9.0,15.0,,,,,,,,30.0,,30.4,22.1,,0.6,7.4,,,6.0,,9.3,,,,,,,11.6,60.2,-106.0,-113.4,,-105.0,-99.0,,,,,,,,-84.0,,-83.6,-91.9,,-113.4,-106.6,,,-108.0,,-104.7,,,,,,,-102.4,-53.8,False,,True,True,,,,,,,,True,,True,True,,False,False,,,False,,True,,,,,,,True,True
01027,115,29.0,27.0,,27.0,14.0,,,,,,,,9.0,,59.4,17.4,,32.6,39.4,,58.0,10.0,,16.9,,,,,,,16.5,48.9,-86.0,-88.0,,-88.0,-101.0,,,,,,,,-106.0,,-55.6,-97.6,,-82.4,-75.6,,-57.0,-105.0,,-98.1,,,,,,,-98.5,-66.1,False,,False,False,,,,,,,,False,,True,False,,True,True,,True,False,,False,,,,,,,False,True
01029,51,37.0,33.9,,34.0,25.0,,,,,,,,12.0,,69.3,14.0,,39.5,43.6,,61.0,32.0,,34.4,,,,,,,17.6,61.0,-14.0,-17.1,,-17.0,-26.0,,,,,,,,-39.0,,18.3,-37.0,,-11.5,-7.4,,10.0,-19.0,,-16.6,,,,,,,-33.4,10.0,False,,False,False,,,,,,,,False,,False,False,,True,True,,True,False,,False,,,,,,,False,True
01031,232,68.0,86.6,,54.0,73.0,,,,,,,,54.0,,72.3,56.7,,51.3,45.8,,56.0,47.0,,9.9,,,,,,,24.1,92.7,-164.0,-145.4,,-178.0,-159.0,,,,,,,,-178.0,,-159.7,-175.3,,-180.7,-186.2,,-176.0,-185.0,,-222.1,,,,,,,-207.9,-139.3,True,,False,True,,,,,,,,False,,True,False,,False,False,,False,False,,False,,,,,,,False,True
01033,86,33.0,35.7,,37.0,50.0,,,,,,,,52.0,,63.4,41.8,,21.6,37.5,,29.0,27.0,,5.0,,39.1,,,,,25.9,59.1,-53.0,-50.3,,-49.0,-36.0,,,,,,,,-34.0,,-22.6,-44.2,,-64.4,-48.5,,-57.0,-59.0,,-81.0,,-46.9,,,,,-60.1,-26.9,True,,True,True,,,,,,,,True,,True,True,,False,True,,False,False,,False,,True,,,,,False,True
01035,80,9.0,9.5,,7.0,0.0,,,,,,,,9.0,,10.3,10.4,,2.2,6.8,0.0,,24.0,,3.7,,,,,,,3.7,25.9,-71.0,-70.5,,-73.0,-80.0,,,,,,,,-71.0,,-69.7,-69.6,,-77.8,-73.2,-80.0,,-56.0,,-76.3,,,,,,,-76.3,-54.1,True,,False,False,,,,,,,,False,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01037,47,5.0,5.1,,5.0,0.0,,,,,,,,8.0,,3.5,7.5,,4.3,6.4,2.5,,16.0,,8.2,,,,,,,1.8,16.4,-42.0,-41.9,,-42.0,-47.0,,,,,,,,-39.0,,-43.5,-39.5,,-42.7,-40.6,-44.5,,-31.0,,-38.9,,,,,,,-45.2,-30.6,True,,False,False,,,,,,,,True,,False,True,,False,True,False,,True,,True,,,,,,,False,True
01039,467,23.0,21.6,,22.0,8.0,,,,,,,,34.0,,43.8,44.0,,14.0,21.4,11.8,,53.0,,12.6,,,,,,,4.8,120.3,-444.0,-445.4,,-445.0,-459.0,,,,,,,,-433.0,,-423.2,-423.0,,-453.0,-445.6,-455.2,,-414.0,,-454.4,,,,,,,-462.2,-346.7,False,,False,False,,,,,,,,True,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01041,105,18.0,18.2,,13.0,0.0,,,,,,,,18.0,,32.6,15.6,,9.9,15.1,0.0,,20.0,,0.7,,,,,,,6.4,38.4,-87.0,-86.8,,-92.0,-105.0,,,,,,,,-87.0,,-72.4,-89.4,,-95.1,-89.9,-105.0,,-85.0,,-104.3,,,,,,,-98.6,-66.6,True,,False,False,,,,,,,,False,,True,False,,False,False,False,,True,,False,,,,,,,False,True
01043,324,52.0,51.6,,52.0,67.0,,,,,,,,89.0,,70.3,76.4,,38.2,61.4,37.1,57.0,64.0,,3.0,,51.3,,,,,39.6,94.5,-272.0,-272.4,,-272.0,-257.0,,,,,,,,-235.0,,-253.7,-247.6,,-285.8,-262.6,-286.9,-267.0,-260.0,,-321.0,,-272.7,,,,,-284.4,-229.5,False,,False,True,,,,,,,,True,,True,True,,False,True,False,True,True,,False,,False,,,,,False,True
01045,240,63.0,71.6,,42.0,59.0,,,,,,,,42.0,,67.0,46.1,,40.5,37.2,35.1,52.0,77.0,,18.8,,57.5,,,,,17.4,139.3,-177.0,-168.4,,-198.0,-181.0,,,,,,,,-198.0,,-173.0,-193.9,,-199.5,-202.8,-204.9,-188.0,-163.0,,-221.2,,-182.5,,,,,-222.6,-100.7,True,,False,False,,,,,,,,False,,True,False,,False,False,False,False,True,,False,,False,,,,,False,True
01047,263,34.0,31.2,,29.0,23.0,,,,,,,,30.0,,57.4,25.0,,12.7,25.0,0.4,34.0,57.0,,29.1,,34.1,,,,,18.6,97.0,-229.0,-231.8,,-234.0,-240.0,,,,,,,,-233.0,,-205.6,-238.0,,-250.3,-238.0,-262.6,-229.0,-206.0,,-233.9,,-228.9,,,,,-244.4,-166.0,False,,False,False,,,,,,,,False,,True,False,,False,False,False,False,True,,False,,True,,,,,False,True
01049,204,38.0,37.6,,40.0,34.0,,,,,,,,73.0,,76.7,53.9,,40.9,55.5,23.7,50.0,46.0,,32.0,,43.3,,,,,28.4,131.5,-166.0,-166.4,,-164.0,-170.0,,,,,,,,-131.0,,-127.3,-150.1,,-163.1,-148.5,-180.3,-154.0,-158.0,,-172.0,,-160.7,,,,,-175.6,-72.5,False,,True,False,,,,,,,,True,,True,True,,True,True,False,True,True,,False,,True,,,,,False,True
01051,333,93.0,93.4,,90.0,147.0,,,,,,,,58.0,,129.9,51.3,,78.7,100.1,42.9,118.0,80.0,,71.5,,89.3,,,,,56.1,127.3,-240.0,-239.6,,-243.0,-186.0,,,,,,,,-275.0,,-203.1,-281.7,,-254.3,-232.9,-290.1,-215.0,-253.0,,-261.5,,-243.7,,,,,-276.9,-205.7,True,,False,True,,,,,,,,False,,True,False,,False,True,False,True,False,,False,,False,,,,,False,True
01053,269,43.0,41.9,,39.0,13.0,,,,,,,,43.0,,61.0,42.6,,32.1,47.8,0.2,52.0,21.0,,19.4,,38.8,,,,,26.4,117.5,-226.0,-227.1,,-230.0,-256.0,,,,,,,,-226.0,,-208.0,-226.4,,-236.9,-221.2,-268.8,-217.0,-248.0,,-249.6,,-230.2,,,,,-242.6,-151.5,False,,False,False,,,,,,,,False,,True,False,,False,True,False,True,False,,False,,False,,,,,False,True
01055,479,108.0,107.1,,108.0,182.0,,,,,,,,102.0,,144.1,140.0,,116.2,129.4,75.7,127.0,126.0,,78.8,,104.8,,,,,71.4,223.7,-371.0,-371.9,,-371.0,-297.0,,,,,,,,-377.0,,-334.9,-339.0,,-362.8,-349.6,-403.3,-352.0,-353.0,,-400.2,,-374.2,,,,,-407.6,-255.3,False,,False,True,,,,,,,,False,,True,True,,True,True,False,True,True,,False,,False,,,,,False,True
01057,77,30.0,30.1,,27.0,11.0,,,,,,,,14.0,,48.1,26.5,,36.0,38.3,18.8,56.0,36.0,,22.1,,,,,,,13.6,59.8,-47.0,-46.9,,-50.0,-66.0,,,,,,,,-63.0,,-28.9,-50.5,,-41.0,-38.7,-58.2,-21.0,-41.0,,-54.9,,,,,,,-63.4,-17.2,True,,False,False,,,,,,,,False,,True,False,,True,True,False,True,True,,False,,,,,,,False,True
01059,99,50.0,46.5,,47.0,62.0,,,,,,,,47.0,,73.7,24.1,,55.6,67.1,5.8,72.0,42.0,,34.6,,45.1,,,,,36.9,68.6,-49.0,-52.5,,-52.0,-37.0,,,,,,,,-52.0,,-25.3,-74.9,,-43.4,-31.9,-93.2,-27.0,-57.0,,-64.3,,-53.9,,,,,-62.1,-30.4,False,,False,True,,,,,,,,False,,True,False,,True,True,False,True,False,,False,,False,,,,,False,True
01061,152,16.0,17.7,,22.0,22.0,,,,,,,,22.0,,28.9,35.1,,13.8,22.7,26.4,,24.0,,12.8,,,,,,,13.7,49.7,-136.0,-134.3,,-130.0,-130.0,,,,,,,,-130.0,,-123.1,-116.9,,-138.2,-129.3,-125.6,,-128.0,,-139.2,,,,,,,-138.3,-102.3,True,,True,True,,,,,,,,True,,True,True,,False,True,True,,True,,False,,,,,,,False,True
01063,18,0.0,0.3,,0.0,0.0,,,,,,,,4.0,,5.6,4.1,,0.1,0.6,0.0,25.0,9.0,,3.4,,,,,,,3.4,13.6,-18.0,-17.7,,-18.0,-18.0,,,,,,,,-14.0,,-12.4,-13.9,,-17.9,-17.4,-18.0,7.0,-9.0,,-14.6,,,,,,,-14.6,-4.4,True,,False,False,,,,,,,,True,,True,True,,True,True,True,True,True,,True,,,,,,,True,True
01065,62,15.0,15.4,,12.0,7.0,,,,,,,,15.0,,31.1,8.5,,8.5,17.2,0.4,,23.0,,0.9,,,,,,,9.0,34.5,-47.0,-46.6,,-50.0,-55.0,,,,,,,,-47.0,,-30.9,-53.5,,-53.5,-44.8,-61.6,,-39.0,,-61.1,,,,,,,-53.0,-27.5,True,,False,False,,,,,,,,False,,True,False,,False,True,False,,True,,False,,,,,,,False,True
01067,108,15.0,12.9,,13.0,7.0,,,,,,,,11.0,,26.9,16.8,,8.8,14.8,12.7,,14.0,,16.0,,,,,,,7.6,47.6,-93.0,-95.1,,-95.0,-101.0,,,,,,,,-97.0,,-81.1,-91.2,,-99.2,-93.2,-95.3,,-94.0,,-92.0,,,,,,,-100.4,-60.4,False,,False,False,,,,,,,,False,,True,True,,False,False,False,,False,,True,,,,,,,False,True
01069,705,87.0,94.1,,88.0,48.0,,,,,,,,88.0,,102.2,135.0,,80.9,88.4,84.0,85.0,98.0,,42.9,,96.5,,,,,52.4,233.1,-618.0,-610.9,,-617.0,-657.0,,,,,,,,-617.0,,-602.8,-570.0,,-624.1,-616.6,-621.0,-620.0,-607.0,,-662.1,,-608.5,,,,,-652.6,-471.9,True,,True,False,,,,,,,,True,,True,True,,False,True,False,False,True,,False,,True,,,,,False,True
01071,141,41.0,43.6,,41.0,22.0,,,,,,,,48.0,,64.3,56.8,,30.4,44.6,39.8,40.0,27.0,,24.5,,38.8,,,,,27.8,110.4,-100.0,-97.4,,-100.0,-119.0,,,,,,,,-93.0,,-76.7,-84.2,,-110.6,-96.4,-101.2,-101.0,-114.0,,-116.5,,-102.2,,,,,-113.2,-30.6,True,,False,False,,,,,,,,True,,True,True,,False,True,False,False,False,,False,,False,,,,,False,True
01073,1634,791.0,729.4,715.6,726.0,811.0,,,,,,,,502.0,,870.6,619.7,,802.5,787.1,255.2,783.0,1124.0,,352.5,,725.9,669.0,,,,502.8,1228.8,-843.0,-904.6,-918.4,-908.0,-823.0,,,,,,,,-1132.0,,-763.4,-1014.3,,-831.5,-846.9,-1378.8,-851.0,-510.0,,-1281.5,,-908.1,-965.0,,,,-1131.2,-405.2,False,False,False,True,,,,,,,,False,,True,False,,True,False,False,False,True,,False,,False,False,,,,False,True
01075,56,9.0,8.8,,9.0,0.0,,,,,,,,13.0,,23.1,11.9,,6.1,11.1,8.2,,21.0,,0.8,,,,,,,4.9,17.3,-47.0,-47.2,,-47.0,-56.0,,,,,,,,-43.0,,-32.9,-44.1,,-49.9,-44.9,-47.8,,-35.0,,-55.2,,,,,,,-51.1,-38.7,False,,False,False,,,,,,,,True,,True,True,,False,True,False,,True,,False,,,,,,,False,True
01077,123,51.0,53.7,,52.0,78.0,,,,,,,,89.0,,79.2,67.4,,39.8,55.5,49.0,53.0,67.0,,48.6,,45.5,,,,,34.0,104.7,-72.0,-69.3,,-71.0,-45.0,,,,,,,,-34.0,,-43.8,-55.6,,-83.2,-67.5,-74.0,-70.0,-56.0,,-74.4,,-77.5,,,,,-89.0,-18.3,True,,True,True,,,,,,,,True,,True,True,,False,True,False,True,True,,False,,False,,,,,False,True
01079,53,28.0,25.9,,25.0,21.0,,,,,,,,25.0,,58.4,32.7,,17.0,25.0,29.8,31.0,66.0,,17.1,,,,,,,16.0,76.5,-25.0,-27.1,,-28.0,-32.0,,,,,,,,-28.0,,5.4,-20.3,,-36.0,-28.0,-23.2,-22.0,13.0,,-35.9,,,,,,,-37.0,23.5,False,,False,False,,,,,,,,False,,True,True,,False,False,True,True,True,,False,,,,,,,False,True
01081,2112,127.0,124.1,,120.0,219.0,,,,,,,,205.0,,198.9,177.4,,89.7,115.2,95.6,118.0,202.0,,9.6,,111.1,111.0,,,,131.0,481.2,-1985.0,-1987.9,,-1992.0,-1893.0,,,,,,,,-1907.0,,-1913.1,-1934.6,,-2022.3,-1996.8,-2016.4,-1994.0,-1910.0,,-2102.4,,-2000.9,-2001.0,,,,-1981.0,-1630.8,False,,False,True,,,,,,,,True,,True,True,,False,False,False,False,True,,False,,False,False,,,,True,True
01083,197,78.0,76.5,,76.0,56.0,,,,,,,,104.0,,98.7,60.1,,85.7,97.2,57.7,101.0,145.0,,51.5,,71.9,,,,,32.7,181.0,-119.0,-120.5,,-121.0,-141.0,,,,,,,,-93.0,,-98.3,-136.9,,-111.3,-99.8,-139.3,-96.0,-52.0,,-145.4,,-125.1,,,,,-164.3,-16.0,False,,False,False,,,,,,,,True,,True,False,,True,True,False,True,True,,False,,False,,,,,False,True
01085,41,1.0,0.9,,1.0,0.0,,,,,,,,10.0,,7.0,4.0,,0.1,1.8,0.1,,7.0,,2.9,,,,,,,3.4,25.6,-40.0,-40.1,,-40.0,-41.0,,,,,,,,-31.0,,-34.0,-37.0,,-40.9,-39.2,-40.9,,-34.0,,-38.1,,,,,,,-37.6,-15.4,False,,False,False,,,,,,,,True,,True,True,,False,True,False,,True,,True,,,,,,,True,True
01087,56,11.0,11.5,,10.0,14.0,,,,,,,,9.0,,52.7,14.2,,2.4,9.4,0.0,,9.0,,7.2,,,,,,,6.6,33.6,-45.0,-44.5,,-46.0,-42.0,,,,,,,,-47.0,,-3.3,-41.9,,-53.6,-46.6,-56.0,,-47.0,,-48.8,,,,,,,-49.4,-22.4,True,,False,True,,,,,,,,False,,True,True,,False,False,False,,False,,False,,,,,,,False,True
01089,716,246.0,218.4,269.6,264.0,268.0,,,,,,,,316.0,,363.8,334.9,,263.7,289.2,129.0,334.0,326.0,,32.0,,209.6,311.0,,,,197.9,563.7,-470.0,-497.6,-446.4,-452.0,-448.0,,,,,,,,-400.0,,-352.2,-381.1,,-452.3,-426.8,-587.0,-382.0,-390.0,,-684.0,,-506.4,-405.0,,,,-518.1,-152.3,False,True,True,True,,,,,,,,True,,True,True,,True,True,False,True,True,,False,,False,True,,,,False,True
01091,44,13.0,12.5,,12.0,1.0,,,,,,,,17.0,,32.6,13.2,,9.0,16.9,0.1,,23.0,,10.8,,,,,,,6.1,34.6,-31.0,-31.5,,-32.0,-43.0,,,,,,,,-27.0,,-11.4,-30.8,,-35.0,-27.1,-43.9,,-21.0,,-33.2,,,,,,,-37.9,-9.4,False,,False,False,,,,,,,,True,,True,True,,False,True,False,,True,,False,,,,,,,False,True
01093,158,49.0,47.7,,29.0,5.0,,,,,,,,22.0,,66.2,35.2,,29.9,40.0,17.9,48.0,79.0,,17.7,,,,,,,30.7,63.6,-109.0,-110.3,,-129.0,-153.0,,,,,,,,-136.0,,-91.8,-122.8,,-128.1,-118.0,-140.1,-110.0,-79.0,,-140.3,,,,,,,-127.3,-94.4,False,,False,False,,,,,,,,False,,True,False,,False,False,False,False,True,,False,,,,,,,False,True
01095,285,44.0,47.1,,41.0,9.0,,,,,,,,111.0,,75.3,58.8,,23.5,41.4,5.8,34.0,76.0,,15.8,,55.5,,,,,44.1,164.8,-241.0,-237.9,,-244.0,-276.0,,,,,,,,-174.0,,-209.7,-226.2,,-261.5,-243.6,-279.2,-251.0,-209.0,,-269.2,,-229.5,,,,,-240.9,-120.2,True,,False,False,,,,,,,,True,,True,True,,False,False,False,False,True,,False,,True,,,,,True,True
01097,561,229.0,214.8,267.5,254.0,264.0,,,,,,,,347.0,,357.9,327.7,,254.4,247.7,207.8,216.0,281.0,,40.8,,325.4,222.0,,,,201.1,399.0,-332.0,-346.2,-293.5,-307.0,-297.0,,,,,,,,-214.0,,-203.1,-233.3,,-306.6,-313.3,-353.2,-345.0,-280.0,,-520.2,,-235.6,-339.0,,,,-359.9,-162.0,False,True,True,True,,,,,,,,True,,True,True,,True,True,False,False,True,,False,,True,False,,,,False,True
01099,132,8.0,7.9,,6.0,0.0,,,,,,,,16.0,,19.6,11.2,,1.8,5.6,4.2,,17.0,,1.4,,,,,,,3.3,42.9,-124.0,-124.1,,-126.0,-132.0,,,,,,,,-116.0,,-112.4,-120.8,,-130.2,-126.4,-127.8,,-115.0,,-130.6,,,,,,,-128.7,-89.1,False,,False,False,,,,,,,,True,,True,True,,False,False,False,,True,,False,,,,,,,False,True
01101,532,205.0,205.1,212.9,201.0,167.0,,,,,,,,176.0,,250.8,132.1,,208.3,231.6,27.5,219.0,352.0,,93.0,,173.0,201.0,,,,163.8,331.2,-327.0,-326.9,-319.1,-331.0,-365.0,,,,,,,,-356.0,,-281.2,-399.9,,-323.7,-300.4,-504.5,-313.0,-180.0,,-439.0,,-359.0,-331.0,,,,-368.2,-200.8,True,True,False,False,,,,,,,,False,,True,False,,True,True,False,True,True,,False,,False,False,,,,False,True
