,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Indiana,49239,46928.0,,50035.7,31169.1,43806.0,120546.0,71478.3,66659.0,-2311.0,,796.7,-18069.9,-5433.0,71307.0,22239.3,17420.0,,True,False,False,False,False,False
Iowa,37918,28584.0,,39166.7,55565.6,20275.0,27542.7,19860.3,15546.0,-9334.0,,1248.7,17647.6,-17643.0,-10375.3,-18057.7,-22372.0,,True,False,False,False,False,False
Kansas,27477,26528.0,,44589.7,5820.2,24681.0,21287.1,19948.2,19753.0,-949.0,,17112.7,-21656.8,-2796.0,-6189.9,-7528.8,-7724.0,,False,False,False,False,False,False
Kentucky,34342,36640.0,,56634.0,26161.7,29302.0,78104.9,49072.1,30181.0,2298.0,,22292.0,-8180.3,-5040.0,43762.9,14730.1,-4161.0,,False,False,False,False,False,False
Louisiana,56549,121152.0,,148748.1,83192.2,146701.0,136983.2,60364.0,57563.0,64603.0,,92199.1,26643.2,90152.0,80434.2,3815.0,1014.0,,False,True,False,False,True,True
Maine,1245,1160.0,,285.1,3109.8,506.0,1205.8,2222.5,1485.0,-85.0,,-959.9,1864.8,-739.0,-39.2,977.5,240.0,,False,False,False,True,False,False
Maryland,36690,46784.0,,47475.5,46726.8,28161.0,93198.4,67188.9,60186.0,10094.0,,10785.5,10036.8,-8529.0,56508.4,30498.9,23496.0,,False,True,True,False,False,False
Massachusetts,17567,16240.0,,14500.7,76968.5,13459.0,37004.9,47808.2,17399.0,-1327.0,,-3066.3,59401.5,-4108.0,19437.9,30241.2,-168.0,,False,False,False,False,False,True
Michigan,42465,34272.0,,48396.5,50578.9,49822.0,61820.4,43434.2,26235.0,-8193.0,,5931.5,8113.9,7357.0,19355.4,969.2,-16230.0,,True,True,True,False,True,False
Minnesota,38430,38568.0,,38370.6,15920.8,50178.0,73688.7,71020.4,44804.0,138.0,,-59.4,-22509.2,11748.0,35258.7,32590.4,6374.0,,True,False,False,False,False,False
Mississippi,42106,73080.0,,90991.5,67503.2,61277.0,59555.4,59792.1,32911.0,30974.0,,48885.5,25397.2,19171.0,17449.4,17686.1,-9195.0,,False,True,True,True,True,True
Missouri,71830,66640.0,,122892.7,25773.8,43339.0,69098.8,146586.4,62846.0,-5190.0,,51062.7,-46056.2,-28491.0,-2731.2,74756.4,-8984.0,,False,False,False,True,False,False
Montana,6904,6304.0,,17985.1,,8353.0,4237.8,9139.9,4140.0,-600.0,,11081.1,,1449.0,-2666.2,2235.9,-2764.0,,False,,False,False,False,False
Nebraska,16402,15312.0,,18140.8,2857.5,12355.0,21182.9,20710.9,13337.0,-1090.0,,1738.8,-13544.5,-4047.0,4780.9,4308.9,-3065.0,,False,False,False,False,False,False
Nevada,33603,58712.0,,76026.7,79980.8,47292.0,42079.3,26489.6,25513.0,25109.0,,42423.7,46377.8,13689.0,8476.3,-7113.4,-8090.0,,False,False,True,True,True,True
New Hampshire,1505,1816.0,,954.3,2623.6,1278.0,1978.1,4374.0,2619.0,311.0,,-550.7,1118.6,-227.0,473.1,2869.0,1114.0,,False,False,True,False,False,False
New Jersey,20451,16352.0,,14400.4,103200.9,11409.0,8737.7,20641.1,26417.0,-4099.0,,-6050.6,82749.9,-9042.0,-11713.3,190.1,5966.0,,False,False,False,False,True,False
New Mexico,8724,16416.0,,18551.1,17142.6,13462.0,16616.2,15583.7,10805.0,7692.0,,9827.1,8418.6,4738.0,7892.2,6859.7,2081.0,,False,False,True,False,True,True
New York,37838,39160.0,,33007.8,136981.5,15587.0,31385.0,39589.5,34397.0,1322.0,,-4830.2,99143.5,-22251.0,-6453.0,1751.5,-3441.0,,False,False,False,False,False,False
North Carolina,84139,106632.0,,108071.1,82496.0,127048.0,95184.9,69758.7,54436.0,22493.0,,23932.1,-1643.0,42909.0,11045.9,-14380.3,-29703.0,,False,True,False,True,True,False
North Dakota,11871,6632.0,,10634.8,5442.9,6004.0,9190.3,10431.0,5957.0,-5239.0,,-1236.2,-6428.1,-5867.0,-2680.7,-1440.0,-5914.0,,True,False,False,True,True,False
Ohio,60363,74904.0,,96567.5,35312.5,66732.0,59409.6,56351.8,50576.0,14541.0,,36204.5,-25050.5,6369.0,-953.4,-4011.2,-9787.0,,False,False,True,True,True,True
Oklahoma,45723,40192.0,,47134.1,65243.4,64627.0,25966.6,73619.8,46727.0,-5531.0,,1411.1,19520.4,18904.0,-19756.4,27896.8,1004.0,,True,False,False,False,False,True
Oregon,14107,15640.0,,17265.0,23024.9,13260.0,14522.6,16101.5,13853.0,1533.0,,3158.0,8917.9,-847.0,415.6,1994.5,-254.0,,False,False,True,True,False,True
Pennsylvania,43121,50680.0,,64852.9,46471.7,37953.0,55191.9,56435.9,52526.0,7559.0,,21731.9,3350.7,-5168.0,12070.9,13314.9,9405.0,,False,True,True,False,False,False
Rhode Island,5396,3448.0,,5653.3,4034.3,4680.0,3394.8,3249.2,1503.0,-1948.0,,257.3,-1361.7,-716.0,-2001.2,-2146.8,-3893.0,,True,True,True,False,False,False
South Carolina,57232,99168.0,,112917.6,119070.5,76903.0,66108.1,35146.7,32680.0,41936.0,,55685.6,61838.5,19671.0,8876.1,-22085.3,-24552.0,,False,False,True,True,True,True
South Dakota,10139,3544.0,,2284.1,6490.6,2553.0,9128.2,7411.8,4037.0,-6595.0,,-7854.9,-3648.4,-7586.0,-1010.8,-2727.2,-6102.0,,False,True,False,True,True,True
Tennessee,90643,115680.0,,190766.9,72771.2,95833.0,90630.0,88129.4,81564.0,25037.0,,100123.9,-17871.8,5190.0,-13.0,-2513.6,-9079.0,,False,True,True,True,True,True
Texas,317654,505440.0,,696997.5,1366732.8,757687.0,354460.4,152670.9,163626.0,187786.0,,379343.5,1049078.8,440033.0,36806.4,-164983.1,-154028.0,,False,False,False,True,True,True
Utah,25229,34328.0,,33208.8,49741.9,28686.0,29860.6,14696.5,15772.0,9099.0,,7979.8,24512.9,3457.0,4631.6,-10532.5,-9457.0,,True,False,True,True,False,False
Vermont,314,464.0,,359.0,5.4,225.0,607.4,662.8,291.0,150.0,,45.0,-308.6,-89.0,293.4,348.8,-23.0,,True,False,True,False,False,True
Virginia,56046,57888.0,,60141.9,32563.7,44831.0,112251.5,61436.6,5041.0,1842.0,,4095.9,-23482.3,-11215.0,56205.5,5390.6,-51005.0,,False,False,False,False,False,False
Washington,30350,46584.0,,48102.1,101527.8,33575.0,55218.4,34343.9,34103.0,16234.0,,17752.1,71177.8,3225.0,24868.4,3993.9,3753.0,,False,False,True,False,True,True
West Virginia,8114,7048.0,,12699.7,1104.2,3852.0,6088.0,12197.9,7831.0,-1066.0,,4585.7,-7009.8,-4262.0,-2026.0,4083.9,-283.0,,False,False,False,False,False,True
Wisconsin,51692,51080.0,,57187.1,10496.6,44566.0,43778.9,59323.2,36442.0,-612.0,,5495.1,-41195.4,-7126.0,-7913.1,7631.2,-15250.0,,False,False,False,False,False,False
Wyoming,2351,2704.0,,4140.0,,1677.0,4354.9,3832.9,2450.0,353.0,,1789.0,,-674.0,2003.9,1481.9,99.0,,False,,False,False,False,True
US,2598327,3732864.0,2573475.0,4877285.7,5135296.2,3554828.0,3708134.6,2721163.4,1955723.0,1134537.0,-24852.0,2278958.7,2536969.2,956501.0,1109807.6,122836.4,-642604.0,True,False,False,True,True,True,True
