,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01057,134,57.0,61.3,,58.0,38.0,,,,,69.0,112.0,79.8,,22.3,45.3,59.2,84.0,,26.9,74.3,,,,,87.5,221.0,-77.0,-72.7,,-76.0,-96.0,,,,,-65.0,-22.0,-54.2,,-111.7,-88.7,-74.8,-50.0,,-107.2,-59.7,,,,,-46.5,87.0,True,,True,False,,,,,True,True,True,,False,False,True,True,,False,True,,,,,True,False
01059,213,315.0,306.9,,221.0,266.0,,,,,216.0,181.2,72.2,,182.9,232.8,173.0,455.0,,177.2,226.0,,,,,437.3,561.7,102.0,93.9,,8.0,53.0,,,,,3.0,-31.8,-140.8,,-30.1,19.8,-40.0,242.0,,-35.8,13.0,,,,,224.3,348.7,True,,True,True,,,,,True,True,False,,True,True,True,False,,True,True,,,,,False,False
01061,193,90.0,112.4,,97.0,162.0,,,,,164.0,196.9,149.7,,31.4,82.6,81.0,110.0,,52.7,90.5,,,,,125.9,469.2,-103.0,-80.6,,-96.0,-31.0,,,,,-29.0,3.9,-43.3,,-161.6,-110.4,-112.0,-83.0,,-140.3,-102.5,,,,,-67.1,276.2,True,,True,True,,,,,True,True,True,,False,False,False,True,,False,True,,,,,True,False
01063,27,18.0,20.8,,15.0,8.0,,,,,39.0,40.1,17.2,,9.9,21.1,0.2,72.0,,10.7,14.9,,,,,23.5,47.9,-9.0,-6.2,,-12.0,-19.0,,,,,12.0,13.1,-9.8,,-17.1,-5.9,-26.8,45.0,,-16.3,-12.1,,,,,-3.5,20.9,True,,False,False,,,,,False,False,False,,False,True,False,False,,False,False,,,,,True,False
01065,90,45.0,45.4,,44.0,32.0,,,,,83.0,63.5,31.2,,14.8,45.2,2.0,,,5.6,58.4,,,,,75.3,131.2,-45.0,-44.6,,-46.0,-58.0,,,,,-7.0,-26.5,-58.8,,-75.2,-44.8,-88.0,,,-84.4,-31.6,,,,,-14.7,41.2,True,,False,False,,,,,True,True,False,,False,True,False,,,False,True,,,,,True,True
01067,148,54.0,49.6,,49.0,65.0,,,,,76.0,93.6,54.7,,12.8,47.6,33.9,81.0,,12.6,46.0,,,,,81.2,121.7,-94.0,-98.4,,-99.0,-83.0,,,,,-72.0,-54.4,-93.3,,-135.2,-100.4,-114.1,-67.0,,-135.4,-102.0,,,,,-66.8,-26.3,False,,False,True,,,,,True,True,True,,False,False,False,True,,False,False,,,,,True,True
01069,892,246.0,220.8,,249.0,198.0,,,,,562.0,505.5,434.8,,165.3,254.9,198.1,491.0,,82.6,244.6,,,,,444.5,519.6,-646.0,-671.2,,-643.0,-694.0,,,,,-330.0,-386.5,-457.2,,-726.7,-637.1,-693.9,-401.0,,-809.4,-647.4,,,,,-447.5,-372.4,False,,True,False,,,,,True,True,True,,False,True,False,True,,False,False,,,,,True,True
01071,237,150.0,176.0,,156.0,53.0,,,,,199.0,237.1,233.2,,120.9,170.6,143.1,,,60.5,150.5,,,,,325.4,805.1,-87.0,-61.0,,-81.0,-184.0,,,,,-38.0,0.1,-3.8,,-116.1,-66.4,-93.9,,,-176.5,-86.5,,,,,88.4,568.1,True,,True,False,,,,,True,True,True,,False,True,False,,,False,True,,,,,False,False
01073,3320,3036.0,2797.8,3038.7,2778.0,7735.0,,,,,1897.0,2655.6,2402.3,,3531.7,2797.0,650.8,4807.0,,1427.1,2395.4,3226.0,,,,4971.0,7719.6,-284.0,-522.2,-281.3,-542.0,4415.0,,,,,-1423.0,-664.4,-917.7,,211.7,-523.0,-2669.2,1487.0,,-1892.9,-924.6,-94.0,,,,1651.0,4399.6,False,True,False,False,,,,,False,False,False,,True,False,False,False,,False,False,True,,,,False,False
01075,78,27.0,25.0,,31.0,18.0,,,,,72.0,57.7,46.9,,9.9,33.6,36.0,,,10.1,44.7,,,,,48.6,26.0,-51.0,-53.0,,-47.0,-60.0,,,,,-6.0,-20.3,-31.1,,-68.1,-44.4,-42.0,,,-67.9,-33.3,,,,,-29.4,-52.0,False,,True,False,,,,,True,True,True,,False,True,True,,,False,True,,,,,True,False
01077,243,234.0,220.7,,218.0,297.0,,,,,422.0,326.1,278.0,,129.8,215.5,134.7,400.0,,119.6,212.6,,,,,350.6,433.1,-9.0,-22.3,,-25.0,54.0,,,,,179.0,83.1,35.0,,-113.2,-27.5,-108.3,157.0,,-123.4,-30.4,,,,,107.6,190.1,False,,False,False,,,,,False,False,False,,False,False,False,False,,False,False,,,,,False,False
01079,140,138.0,143.0,,139.0,163.0,,,,,140.0,185.5,115.6,,126.4,158.9,79.1,142.0,,19.9,130.5,,,,,190.8,462.5,-2.0,3.0,,-1.0,23.0,,,,,0.0,45.5,-24.4,,-13.6,18.9,-60.9,2.0,,-120.1,-9.5,,,,,50.8,322.5,False,,True,False,,,,,True,False,False,,False,False,False,False,,False,False,,,,,False,False
01081,2529,852.0,849.2,,812.0,2208.0,,,,,745.0,621.8,521.3,,1020.7,778.0,280.7,1089.0,,2480.5,633.8,1698.0,,,,934.5,7746.3,-1677.0,-1679.8,,-1717.0,-321.0,,,,,-1784.0,-1907.2,-2007.7,,-1508.3,-1751.0,-2248.3,-1440.0,,-48.5,-1895.2,-831.0,,,,-1594.5,5217.3,False,,False,True,,,,,False,False,False,,True,False,False,True,,True,False,True,,,,True,False
01083,356,288.0,273.2,,273.0,262.0,,,,,368.0,372.7,197.3,,275.9,295.2,158.1,475.0,,187.0,248.0,,,,,456.7,1088.8,-68.0,-82.8,,-83.0,-94.0,,,,,12.0,16.7,-158.7,,-80.1,-60.8,-197.9,119.0,,-169.0,-108.0,,,,,100.7,732.8,False,,False,False,,,,,True,True,False,,False,True,False,False,,False,False,,,,,False,False
01085,52,42.0,29.5,,27.0,0.0,,,,,53.0,35.5,14.3,,7.2,36.7,0.7,152.0,,19.9,31.4,,,,,58.6,154.9,-10.0,-22.5,,-25.0,-52.0,,,,,1.0,-16.5,-37.7,,-44.8,-15.3,-51.3,100.0,,-32.1,-20.6,,,,,6.6,102.9,False,,False,False,,,,,True,False,False,,False,False,False,False,,False,False,,,,,True,False
01087,86,51.0,51.2,,45.0,46.0,,,,,62.0,110.2,55.3,,14.7,57.0,0.0,112.0,,37.7,45.3,,,,,78.4,399.8,-35.0,-34.8,,-41.0,-40.0,,,,,-24.0,24.2,-30.7,,-71.3,-29.0,-86.0,26.0,,-48.3,-40.7,,,,,-7.6,313.8,True,,False,False,,,,,True,True,True,,False,True,False,True,,False,False,,,,,True,False
01089,1344,855.0,771.0,903.8,834.0,1717.0,,,,,1063.0,1002.7,1171.8,,893.4,851.6,276.1,1738.0,,0.0,660.4,801.0,,,,1414.7,2934.7,-489.0,-573.0,-440.2,-510.0,373.0,,,,,-281.0,-341.3,-172.2,,-450.6,-492.4,-1067.9,394.0,,-1344.0,-683.6,-543.0,,,,70.7,1590.7,False,True,False,True,,,,,True,True,True,,True,False,False,True,,False,False,False,,,,True,False
01091,77,51.0,54.6,,45.0,38.0,,,,,145.0,71.6,45.3,,7.7,42.2,0.4,,,22.2,59.3,,,,,78.0,64.7,-26.0,-22.4,,-32.0,-39.0,,,,,68.0,-5.4,-31.7,,-69.3,-34.8,-76.6,,,-54.8,-17.7,,,,,1.0,-12.3,True,,False,False,,,,,False,True,False,,False,False,False,,,False,True,,,,,True,True
01093,232,180.0,174.7,,139.0,264.0,,,,,139.0,191.0,128.9,,77.4,137.4,52.7,215.0,,46.6,118.8,,,,,218.1,222.5,-52.0,-57.3,,-93.0,32.0,,,,,-93.0,-41.0,-103.1,,-154.6,-94.6,-179.3,-17.0,,-185.4,-113.2,,,,,-13.9,-9.5,False,,False,True,,,,,False,True,False,,False,False,False,True,,False,False,,,,,True,True
01095,358,186.0,208.0,,181.0,139.0,,,,,444.0,336.8,251.5,,76.9,167.3,50.4,852.0,,56.2,288.9,,,,,418.0,1081.6,-172.0,-150.0,,-177.0,-219.0,,,,,86.0,-21.2,-106.5,,-281.1,-190.7,-307.6,494.0,,-301.9,-69.1,,,,,60.0,723.6,True,,False,False,,,,,True,True,True,,False,False,False,False,,False,True,,,,,True,False
01097,1118,1233.0,1254.0,1465.5,1238.0,1164.0,,,,,1509.0,1283.0,1529.2,,1294.4,1048.0,772.0,,,356.8,2382.3,676.0,,,,2228.6,2802.0,115.0,136.0,347.5,120.0,46.0,,,,,391.0,165.0,411.2,,176.4,-70.0,-346.0,,,-761.2,1264.3,-442.0,,,,1110.6,1684.0,False,False,False,True,,,,,False,False,False,,False,True,False,,,False,False,False,,,,False,False
01099,143,0.0,1.2,,9.0,5.0,,,,,130.0,48.2,59.5,,4.8,18.6,19.0,103.0,,5.0,2.9,,,,,24.6,234.2,-143.0,-141.8,,-134.0,-138.0,,,,,-13.0,-94.8,-83.5,,-138.2,-124.4,-124.0,-40.0,,-138.0,-140.1,,,,,-118.4,91.2,True,,True,True,,,,,True,True,True,,True,True,True,True,,True,True,,,,,True,True
01101,978,759.0,755.7,908.8,756.0,625.0,,,,,898.0,663.9,436.4,,696.7,861.5,194.1,,,694.8,763.0,825.0,,,,1340.6,1994.5,-219.0,-222.3,-69.2,-222.0,-353.0,,,,,-80.0,-314.1,-541.6,,-281.3,-116.5,-783.9,,,-283.2,-215.0,-153.0,,,,362.6,1016.5,False,True,False,False,,,,,True,False,False,,False,True,False,,,False,True,True,,,,False,False
01103,404,495.0,448.6,,451.0,817.0,,,,,469.0,516.2,310.1,,410.2,465.1,129.2,838.0,,162.6,437.1,,,,,739.9,1935.9,91.0,44.6,,47.0,413.0,,,,,65.0,112.2,-93.9,,6.2,61.1,-274.8,434.0,,-241.4,33.1,,,,,335.9,1531.9,True,,True,False,,,,,True,False,False,,True,True,False,False,,False,True,,,,,False,False
01105,63,27.0,26.4,,20.0,8.0,,,,,47.0,32.3,27.5,,3.8,17.8,0.0,,,5.9,33.6,,,,,54.4,80.5,-36.0,-36.6,,-43.0,-55.0,,,,,-16.0,-30.7,-35.5,,-59.2,-45.2,-63.0,,,-57.1,-29.4,,,,,-8.6,17.5,False,,False,False,,,,,True,True,True,,False,False,False,,,False,True,,,,,True,True
01107,106,102.0,109.4,,93.0,139.0,,,,,114.0,137.4,66.4,,52.4,92.2,55.6,156.0,,67.5,66.3,,,,,156.2,263.6,-4.0,3.4,,-13.0,33.0,,,,,8.0,31.4,-39.6,,-53.6,-13.8,-50.4,50.0,,-38.5,-39.7,,,,,50.2,157.6,True,,False,False,,,,,False,False,False,,False,False,False,False,,False,False,,,,,False,False
01109,334,129.0,99.1,,106.0,140.0,,,,,254.0,180.6,87.6,,46.2,101.4,48.4,232.0,,35.8,117.8,,,,,181.1,549.5,-205.0,-234.9,,-228.0,-194.0,,,,,-80.0,-153.4,-246.4,,-287.8,-232.6,-285.6,-102.0,,-298.2,-216.2,,,,,-152.9,215.5,False,,False,True,,,,,True,True,False,,False,False,False,True,,False,False,,,,,True,False
01111,148,90.0,83.1,,82.0,21.0,,,,,98.0,117.3,78.1,,52.4,90.8,28.4,135.0,,5.5,82.9,,,,,114.8,170.9,-58.0,-64.9,,-66.0,-127.0,,,,,-50.0,-30.7,-69.9,,-95.6,-57.2,-119.6,-13.0,,-142.5,-65.1,,,,,-33.2,22.9,False,,False,False,,,,,True,True,False,,False,True,False,True,,False,False,,,,,True,True
01113,185,114.0,123.5,,112.0,78.0,,,,,266.0,179.4,148.0,,45.7,117.2,85.5,385.0,,25.3,164.4,,,,,223.3,671.8,-71.0,-61.5,,-73.0,-107.0,,,,,81.0,-5.6,-37.0,,-139.3,-67.8,-99.5,200.0,,-159.7,-20.6,,,,,38.3,486.8,True,,False,False,,,,,False,True,True,,False,True,False,False,,False,True,,,,,True,False
01115,596,321.0,326.9,,279.0,513.0,,,,,276.0,470.6,311.2,,211.8,301.3,148.8,456.0,,92.7,245.2,,,,,496.2,1865.6,-275.0,-269.1,,-317.0,-83.0,,,,,-320.0,-125.4,-284.8,,-384.2,-294.7,-447.2,-140.0,,-503.3,-350.8,,,,,-99.8,1269.6,True,,False,True,,,,,False,True,False,,False,False,False,True,,False,False,,,,,True,False
01117,1728,900.0,886.1,,888.0,2607.0,,,,,645.0,867.5,777.3,,1572.3,1244.9,479.4,1271.0,,1803.5,654.5,2536.0,,,,1364.3,4221.7,-828.0,-841.9,,-840.0,879.0,,,,,-1083.0,-860.5,-950.7,,-155.7,-483.1,-1248.6,-457.0,,75.5,-1073.5,808.0,,,,-363.7,2493.7,False,,False,False,,,,,False,False,False,,True,True,False,True,,True,False,True,,,,True,False
