,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Mississippi,26441,40590.0,34939.0,,44276.0,78095.2,18028.0,58662.2,16501.8,14701.0,14149.0,8498.0,,17835.0,51654.2,-8413.0,32221.2,-9939.2,-11740.0,True,,False,False,True,False,True,True
Missouri,54743,38334.0,23290.0,,48739.0,135035.2,24463.4,53587.6,13624.7,18306.0,-16409.0,-31453.0,,-6004.0,80292.2,-30279.6,-1155.4,-41118.3,-36437.0,False,,True,False,False,True,False,False
Montana,5274,4848.0,5052.0,,3010.0,4328.0,2931.6,2870.2,3988.5,3904.0,-426.0,-222.0,,-2264.0,-946.0,-2342.4,-2403.8,-1285.5,-1370.0,True,,False,False,False,False,False,False
Nebraska,12552,11124.0,10404.0,,1358.0,10994.8,5704.4,16088.9,6464.6,6433.0,-1428.0,-2148.0,,-11194.0,-1557.2,-6847.6,3536.9,-6087.4,-6119.0,False,,False,False,False,False,False,False
Nevada,20000,38070.0,24791.0,,46037.0,114398.4,22014.8,26544.3,17428.7,20492.0,18070.0,4791.0,,26037.0,94398.4,2014.8,6544.3,-2571.3,492.0,True,,False,False,True,True,True,True
New Hampshire,1102,1224.0,1847.0,,48.0,4472.6,657.6,1095.3,1148.8,1165.0,122.0,745.0,,-1054.0,3370.6,-444.4,-6.7,46.8,63.0,False,,False,False,False,True,True,True
New Jersey,16765,14400.0,15369.0,,170.0,18334.1,7868.3,33766.0,37587.1,6383.0,-2365.0,-1396.0,,-16595.0,1569.1,-8896.7,17001.0,20822.1,-10382.0,True,,False,True,False,False,False,False
New Mexico,5397,7914.0,7320.0,,6233.0,24317.8,4467.8,9944.2,3868.9,3802.0,2517.0,1923.0,,836.0,18920.8,-929.2,4547.2,-1528.1,-1595.0,True,,True,False,True,False,True,True
New York,28478,27468.0,29341.0,,302.0,36151.4,14401.4,27828.6,23828.4,23855.0,-1010.0,863.0,,-28176.0,7673.4,-14076.6,-649.4,-4649.6,-4623.0,True,,False,False,False,True,False,False
North Carolina,60039,65652.0,65667.0,,79466.0,179872.4,38575.6,59087.7,36554.1,43526.0,5613.0,5628.0,,19427.0,119833.4,-21463.4,-951.3,-23484.9,-16513.0,False,,False,False,False,True,False,False
North Dakota,10099,5436.0,4807.0,,505.0,3345.2,3679.9,6679.5,5765.4,4885.0,-4663.0,-5292.0,,-9594.0,-6753.8,-6419.1,-3419.5,-4333.6,-5214.0,False,,False,False,False,True,True,False
Ohio,43578,47292.0,55397.0,,23458.0,147036.5,24830.6,38008.6,32452.3,34633.0,3714.0,11819.0,,-20120.0,103458.5,-18747.4,-5569.4,-11125.7,-8945.0,False,,False,False,False,False,False,False
Oklahoma,32724,32094.0,28203.0,,36738.0,65211.2,15617.4,24334.7,14945.5,17718.0,-630.0,-4521.0,,4014.0,32487.2,-17106.6,-8389.3,-17778.5,-15006.0,False,,False,False,False,False,False,False
Oregon,9589,13158.0,15875.0,,15415.0,54236.0,8483.8,10832.4,10834.8,10457.0,3569.0,6286.0,,5826.0,44647.0,-1105.2,1243.4,1245.8,868.0,False,,False,False,True,True,True,True
Pennsylvania,31571,31182.0,27649.0,,741.0,44584.5,16628.3,24279.3,21393.0,16420.0,-389.0,-3922.0,,-30830.0,13013.5,-14942.7,-7291.7,-10178.0,-15151.0,False,,False,False,False,False,False,False
Rhode Island,3882,4296.0,4455.0,,21.0,2764.3,1528.2,4338.2,3489.9,2452.0,414.0,573.0,,-3861.0,-1117.7,-2353.8,456.2,-392.1,-1430.0,False,,False,False,False,False,True,False
South Carolina,37780,53166.0,47228.0,,45999.0,67902.1,26291.9,36391.5,25709.6,27635.0,15386.0,9448.0,,8219.0,30122.1,-11488.1,-1388.5,-12070.4,-10145.0,True,,True,False,True,True,True,True
South Dakota,8967,3660.0,3486.0,,676.0,3624.9,2819.4,7456.5,7616.3,4440.0,-5307.0,-5481.0,,-8291.0,-5342.1,-6147.6,-1510.5,-1350.7,-4527.0,False,,False,False,False,True,True,True
Tennessee,60854,74406.0,67102.0,,71933.0,55618.1,58194.1,76772.3,48673.6,30332.0,13552.0,6248.0,,11079.0,-5235.9,-2659.9,15918.3,-12180.4,-30522.0,True,,True,True,True,False,True,False
Texas,209488,317364.0,357058.0,,276855.0,1228102.1,151877.9,252753.2,180903.0,187103.0,107876.0,147570.0,,67367.0,1018614.1,-57610.1,43265.2,-28585.0,-22385.0,False,,True,False,True,True,True,True
Utah,19101,18294.0,17058.0,,15971.0,29449.9,10736.4,18257.4,10932.1,10742.0,-807.0,-2043.0,,-3130.0,10348.9,-8364.6,-843.6,-8168.9,-8359.0,False,,False,False,False,False,False,False
Vermont,256,198.0,377.0,,25.0,128.4,118.9,330.0,185.8,138.0,-58.0,121.0,,-231.0,-127.6,-137.1,74.0,-70.2,-118.0,False,,False,False,False,False,False,False
Virginia,40466,50328.0,81440.0,,11671.0,149585.5,27901.7,68552.0,59748.7,0.0,9862.0,40974.0,,-28795.0,109119.5,-12564.3,28086.0,19282.7,-40466.0,False,,False,False,False,False,False,False
Washington,20433,29892.0,30813.0,,31379.0,79696.1,18122.7,31050.8,22967.9,22049.0,9459.0,10380.0,,10946.0,59263.1,-2310.3,10617.8,2534.9,1616.0,False,,False,False,True,False,True,True
West Virginia,6326,4950.0,6883.0,,4655.0,3627.6,3622.6,3520.6,4294.7,5135.0,-1376.0,557.0,,-1671.0,-2698.4,-2703.4,-2805.4,-2031.3,-1191.0,True,,False,False,False,False,False,True
Wisconsin,39629,35586.0,50409.0,,13120.0,56222.1,22310.9,31644.2,31687.6,29091.0,-4043.0,10780.0,,-26509.0,16593.1,-17318.1,-7984.8,-7941.4,-10538.0,False,,False,False,False,False,False,False
Wyoming,1782,1476.0,1087.0,,1241.0,26.5,818.0,1606.4,661.2,1305.0,-306.0,-695.0,,-541.0,-1755.5,-964.0,-175.6,-1120.8,-477.0,False,,False,False,False,True,False,False
US,1769740,2264022.0,2288896.0,1356054.0,1987441.0,5130444.4,1224548.8,1667613.7,1475722.4,1289857.0,494282.0,519156.0,-413686.0,217701.0,3360704.4,-545191.2,-102126.3,-294017.6,-479883.0,False,True,True,False,False,True,True,True
